,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9723,9695.7,9705.4,9605.0,9714.6,9618.0,9741.0,14625.0,9394.0,9337.0,9639.1,9586.6,9324.9,,9682.0,9446.0,9662.4,9641.6,9647.8,9621.5,9608.4,9669.9,9524.3,9568.0,9782.9,,9512.4,9731.6,9430.0,,9606.8,9553.4,,9658.0,9943.0,9547.7,,9798.3,9816.0,10387.6,10085.1,9873.0,10441.5,9471.8,9553.7,9301.0,-27.3,-17.6,-118.0,-8.4,-105.0,18.0,4902.0,-329.0,-386.0,-83.9,-136.4,-398.1,,-41.0,-277.0,-60.6,-81.4,-75.2,-101.5,-114.6,-53.1,-198.7,-155.0,59.9,,-210.6,8.6,-293.0,,-116.2,-169.6,,-65.0,220.0,-175.3,,75.3,93.0,664.6,362.1,150.0,718.5,-251.2,-169.3,-422.0,True,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Michigan,7340,7192.7,7193.8,7192.0,7219.3,7216.0,7393.0,7410.0,7314.6,7180.0,7220.5,7190.2,7176.6,,7085.9,7490.0,7308.1,7674.0,7558.9,7301.4,7047.5,7194.5,7234.7,7260.0,7113.5,8161.0,7097.5,7291.4,7301.0,,7144.8,7191.6,,7292.0,7143.0,7137.5,,7128.7,7193.0,7645.5,8164.0,7121.0,7205.0,7025.3,7202.1,7154.0,-147.3,-146.2,-148.0,-120.7,-124.0,53.0,70.0,-25.4,-160.0,-119.5,-149.8,-163.4,,-254.1,150.0,-31.9,334.0,218.9,-38.6,-292.5,-145.5,-105.3,-80.0,-226.5,821.0,-242.5,-48.6,-39.0,,-195.2,-148.4,,-48.0,-197.0,-202.5,,-211.3,-147.0,305.5,824.0,-219.0,-135.0,-314.7,-137.9,-186.0,True,False,True,True,True,True,True,False,True,False,False,,False,False,True,False,False,True,False,True,True,True,False,False,False,True,True,,False,False,,True,False,False,,False,True,False,False,False,True,False,True,False
Minnesota,2270,2194.4,2250.8,2236.0,2243.3,2234.0,2328.0,2174.0,2184.9,2076.0,2183.4,2193.9,2183.7,,2195.5,2331.0,2231.9,2340.3,2305.6,2192.8,2234.8,2199.5,2129.5,2238.0,2179.9,2593.0,2174.2,2261.9,2282.0,,2227.8,2121.9,,2234.0,2376.0,2247.7,,2195.2,2247.0,2323.2,2666.5,2272.0,2176.0,2059.7,2205.4,2210.0,-75.6,-19.2,-34.0,-26.7,-36.0,58.0,-96.0,-85.1,-194.0,-86.6,-76.1,-86.3,,-74.5,61.0,-38.1,70.3,35.6,-77.2,-35.2,-70.5,-140.5,-32.0,-90.1,323.0,-95.8,-8.1,12.0,,-42.2,-148.1,,-36.0,106.0,-22.3,,-74.8,-23.0,53.2,396.5,2.0,-94.0,-210.3,-64.6,-60.0,True,True,True,True,True,False,False,False,False,False,False,,True,True,True,True,True,False,True,True,False,True,False,False,False,True,True,,True,False,,True,False,True,,True,True,True,False,True,False,False,True,True
Mississippi,3171,3245.9,3257.8,3209.0,3304.9,3193.0,2926.0,3160.0,3039.1,3133.0,3275.3,,3139.8,,2948.3,3469.0,3197.4,3033.2,3079.9,3135.5,3152.5,3065.8,3310.3,3170.0,3274.9,,3023.5,3283.3,2957.0,,3268.2,2959.0,,3247.0,3256.0,3238.7,,3290.1,3167.0,3305.7,3218.5,3153.0,3122.0,3124.7,3114.6,2879.0,74.9,86.8,38.0,133.9,22.0,-245.0,-11.0,-131.9,-38.0,104.3,,-31.2,,-222.7,298.0,26.4,-137.8,-91.1,-35.5,-18.5,-105.2,139.3,-1.0,103.9,,-147.5,112.3,-214.0,,97.2,-212.0,,76.0,85.0,67.7,,119.1,-4.0,134.7,47.5,-18.0,-49.0,-46.3,-56.4,-292.0,False,True,False,True,False,True,False,True,False,,True,,False,False,True,False,False,True,True,False,False,True,False,,False,False,False,,False,False,,False,False,True,,False,True,False,True,True,True,True,True,False
Missouri,2581,2192.4,2162.0,2207.0,2213.2,2213.0,2656.0,2430.0,2195.5,2223.0,2167.6,2035.4,2088.1,,1983.9,2325.0,2261.4,2225.9,2271.4,2236.1,2069.1,2121.3,2345.0,2113.0,2313.2,,2572.6,2293.1,2313.0,,2002.7,1950.1,,2169.0,2278.0,2129.4,,2328.6,2151.0,2121.2,2533.4,2142.0,2065.5,1876.9,2139.4,2116.0,-388.6,-419.0,-374.0,-367.8,-368.0,75.0,-151.0,-385.5,-358.0,-413.4,-545.6,-492.9,,-597.1,-256.0,-319.6,-355.1,-309.6,-344.9,-511.9,-459.7,-236.0,-468.0,-267.8,,-8.4,-287.9,-268.0,,-578.3,-630.9,,-412.0,-303.0,-451.6,,-252.4,-430.0,-459.8,-47.6,-439.0,-515.5,-704.1,-441.6,-465.0,False,True,True,True,True,True,True,True,False,False,False,,False,True,True,True,True,True,False,False,True,False,True,,True,True,True,,False,False,,False,True,False,,True,False,False,True,False,False,False,False,False
Montana,239,241.9,247.7,244.0,248.0,226.0,166.0,244.0,232.9,186.0,289.2,228.4,238.5,,187.0,200.0,228.9,191.5,226.4,222.1,226.1,225.5,268.1,266.0,283.6,,196.9,273.6,220.0,,,180.8,,237.0,309.0,221.8,,299.3,276.0,194.5,222.9,252.0,416.0,189.0,220.8,216.0,2.9,8.7,5.0,9.0,-13.0,-73.0,5.0,-6.1,-53.0,50.2,-10.6,-0.5,,-52.0,-39.0,-10.1,-47.5,-12.6,-16.9,-12.9,-13.5,29.1,27.0,44.6,,-42.1,34.6,-19.0,,,-58.2,,-2.0,70.0,-17.2,,60.3,37.0,-44.5,-16.1,13.0,177.0,-50.0,-18.2,-23.0,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,,False,False,False,False,False,False,False,False,False
Nebraska,547,472.9,466.8,481.0,465.0,520.0,629.0,589.0,565.4,472.0,521.1,524.3,510.5,,580.4,521.0,533.1,532.0,566.2,527.5,493.6,502.1,549.0,627.0,495.7,,528.1,519.9,520.0,,,468.1,,521.0,551.0,465.2,,511.0,519.0,516.5,561.3,520.0,527.0,478.6,499.4,470.0,-74.1,-80.2,-66.0,-82.0,-27.0,82.0,42.0,18.4,-75.0,-25.9,-22.7,-36.5,,33.4,-26.0,-13.9,-15.0,19.2,-19.5,-53.4,-44.9,2.0,80.0,-51.3,,-18.9,-27.1,-27.0,,,-78.9,,-26.0,4.0,-81.8,,-36.0,-28.0,-30.5,14.3,-27.0,-20.0,-68.4,-47.6,-77.0,False,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,,False,,True,True,False,,True,True,True,True,True,True,True,True,False
Nevada,1707,1835.7,1845.3,1768.0,1844.2,1735.0,1698.0,1678.0,1661.3,1735.0,1872.4,1755.2,1866.6,,1688.6,1802.0,1704.8,1633.0,1732.3,1708.3,1747.0,1721.3,1964.3,1704.0,1660.0,,1704.7,1773.4,1710.0,,1798.9,1628.5,,1767.0,1801.0,1850.5,,1675.4,1739.0,1805.3,1702.8,1751.0,1674.0,1725.9,1722.1,1637.0,128.7,138.3,61.0,137.2,28.0,-9.0,-29.0,-45.7,28.0,165.4,48.2,159.6,,-18.4,95.0,-2.2,-74.0,25.3,1.3,40.0,14.3,257.3,-3.0,-47.0,,-2.3,66.4,3.0,,91.9,-78.5,,60.0,94.0,143.5,,-31.6,32.0,98.3,-4.2,44.0,-33.0,18.9,15.1,-70.0,False,True,False,True,True,True,True,True,False,True,False,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,True,True,,True,True,False,,True,True,True,True,True,True,True,True,True
New Hampshire,466,445.7,452.8,448.0,454.0,454.0,471.0,524.0,450.8,439.0,456.5,455.6,444.5,,440.5,450.0,451.6,475.0,466.9,456.6,453.6,439.7,458.4,458.0,455.0,,461.8,454.8,441.0,,,445.5,,454.0,457.0,453.3,,470.3,450.0,497.9,503.4,453.0,443.0,446.9,451.8,,-20.3,-13.2,-18.0,-12.0,-12.0,5.0,58.0,-15.2,-27.0,-9.5,-10.4,-21.5,,-25.5,-16.0,-14.4,9.0,0.9,-9.4,-12.4,-26.3,-7.6,-8.0,-11.0,,-4.2,-11.2,-25.0,,,-20.5,,-12.0,-9.0,-12.7,,4.3,-16.0,31.9,37.4,-13.0,-23.0,-19.1,-14.2,,True,True,True,True,True,False,True,False,True,True,False,,False,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,False,,True,True,True,,True,True,False,False,True,False,True,True,
New Jersey,16204,16205.9,16230.4,16210.0,16355.4,16246.0,16601.0,16526.0,16310.0,16093.0,16233.7,,16082.8,,16567.5,16482.0,16222.1,16512.4,16246.8,16263.3,16175.8,16212.4,16441.3,16231.0,16097.0,,16239.2,16246.2,16103.0,,16191.6,16129.7,,16240.0,16295.0,16184.4,,16112.4,16191.0,18326.7,17128.6,16258.0,16386.0,16275.2,16182.4,16334.0,1.9,26.4,6.0,151.4,42.0,397.0,322.0,106.0,-111.0,29.7,,-121.2,,363.5,278.0,18.1,308.4,42.8,59.3,-28.2,8.4,237.3,27.0,-107.0,,35.2,42.2,-101.0,,-12.4,-74.3,,36.0,91.0,-19.6,,-91.6,-13.0,2122.7,924.6,54.0,182.0,71.2,-21.6,130.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
New Mexico,929,949.3,936.1,928.0,951.0,930.0,856.0,930.0,897.7,896.0,963.6,948.4,922.7,,929.1,1018.0,922.7,903.1,961.6,908.8,923.4,916.5,1079.3,929.0,957.6,,921.2,966.5,914.0,,,875.8,,930.0,1001.0,921.8,,972.9,928.0,987.4,942.5,937.0,898.0,916.2,934.2,868.0,20.3,7.1,-1.0,22.0,1.0,-73.0,1.0,-31.3,-33.0,34.6,19.4,-6.3,,0.1,89.0,-6.3,-25.9,32.6,-20.2,-5.6,-12.5,150.3,0.0,28.6,,-7.8,37.5,-15.0,,,-53.2,,1.0,72.0,-7.2,,43.9,-1.0,58.4,13.5,8.0,-31.0,-12.8,5.2,-61.0,True,True,False,True,False,True,False,False,False,True,True,,True,False,True,False,False,True,True,True,False,True,False,,True,False,True,,,False,,True,False,True,,False,True,False,True,True,False,True,True,False
New York,33547,33333.9,33294.2,33265.0,33530.9,33368.0,33394.0,33383.0,33314.6,33088.0,33280.8,33540.6,33021.6,,33546.2,33568.0,33363.8,33913.9,33619.2,33323.4,33227.1,33269.7,34166.9,33454.0,33797.0,,33463.7,33362.9,33081.0,,33169.8,33877.0,,33245.0,33297.0,33253.4,,33812.1,33368.0,37260.8,34652.7,33338.0,33300.5,33169.3,33325.2,33058.0,-213.1,-252.8,-282.0,-16.1,-179.0,-153.0,-164.0,-232.4,-459.0,-266.2,-6.4,-525.4,,-0.8,21.0,-183.2,366.9,72.2,-223.6,-319.9,-277.3,619.9,-93.0,250.0,,-83.3,-184.1,-466.0,,-377.2,330.0,,-302.0,-250.0,-293.6,,265.1,-179.0,3713.8,1105.7,-209.0,-246.5,-377.7,-221.8,-489.0,False,False,True,True,True,True,False,False,False,True,False,,True,True,True,False,True,False,False,False,False,True,False,,True,True,False,,False,False,,False,False,False,,False,True,False,False,True,False,False,False,False
North Carolina,3929,3979.7,4025.6,3873.0,3986.7,3864.0,3805.0,3809.0,3780.2,3797.0,3913.1,3953.3,3630.7,,3910.9,4160.0,3883.3,3589.8,3988.7,3864.8,3768.0,3810.2,3868.2,3860.0,4084.5,,3679.0,3951.9,3917.0,,3858.0,3609.2,,3898.0,3946.0,3847.1,,4099.8,3810.0,3819.5,3840.7,3829.0,4444.5,3614.8,3820.3,3436.0,50.7,96.6,-56.0,57.7,-65.0,-124.0,-120.0,-148.8,-132.0,-15.9,24.3,-298.3,,-18.1,231.0,-45.7,-339.2,59.7,-64.2,-161.0,-118.8,-60.8,-69.0,155.5,,-250.0,22.9,-12.0,,-71.0,-319.8,,-31.0,17.0,-81.9,,170.8,-119.0,-109.5,-88.3,-100.0,515.5,-314.2,-108.7,-493.0,False,False,False,False,False,False,False,False,True,True,False,,True,False,True,False,False,False,False,False,False,False,False,,False,True,True,,False,False,,True,True,False,,False,False,False,False,False,False,False,False,False
North Dakota,399,284.6,297.5,289.0,292.0,261.0,242.0,280.0,271.7,193.0,268.2,302.1,275.2,,230.5,251.0,279.5,258.5,251.3,318.5,248.4,266.0,247.5,317.0,266.8,,311.7,328.5,275.0,,,231.7,,239.0,276.0,198.1,,282.2,298.0,225.3,310.8,287.0,247.0,218.3,261.4,239.0,-114.4,-101.5,-110.0,-107.0,-138.0,-157.0,-119.0,-127.3,-206.0,-130.8,-96.9,-123.8,,-168.5,-148.0,-119.5,-140.5,-147.7,-80.5,-150.6,-133.0,-151.5,-82.0,-132.2,,-87.3,-70.5,-124.0,,,-167.3,,-160.0,-123.0,-200.9,,-116.8,-101.0,-173.7,-88.2,-112.0,-152.0,-180.7,-137.6,-160.0,True,True,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,True,False,,True,True,False,,,False,,False,False,False,,False,True,False,True,True,False,False,False,False
Ohio,5067,5386.4,5438.8,5263.0,5414.7,5203.0,5237.0,5325.0,5099.7,5145.0,5138.5,4974.9,4937.2,,5117.6,5258.0,5219.6,5199.1,5418.5,5223.0,5016.1,5142.7,5369.9,5046.0,5190.8,5339.0,4615.1,5431.1,5187.0,,5078.4,4816.8,,5343.0,5312.0,5262.4,,5206.4,5118.0,5370.1,5585.2,5233.0,5168.5,5003.2,5154.5,5239.0,319.4,371.8,196.0,347.7,136.0,170.0,258.0,32.7,78.0,71.5,-92.1,-129.8,,50.6,191.0,152.6,132.1,351.5,156.0,-50.9,75.7,302.9,-21.0,123.8,272.0,-451.9,364.1,120.0,,11.4,-250.2,,276.0,245.0,195.4,,139.4,51.0,303.1,518.2,166.0,101.5,-63.8,87.5,172.0,False,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,True,True,,True,True,True,,True,True,True,False,True,True,True,True,True
Oklahoma,1162,1104.1,1122.6,1093.0,1119.1,1180.0,1427.0,1350.0,1132.0,1182.0,1205.8,1142.4,1189.6,,1055.0,1290.0,1220.3,1206.4,1255.9,1180.0,1119.2,1109.4,1295.4,1197.0,1208.8,,1205.8,1167.3,1109.0,,,1026.5,,1178.0,1280.0,1125.7,,1223.9,1209.0,1113.5,1327.0,1156.0,1121.0,1058.5,1124.8,1079.0,-57.9,-39.4,-69.0,-42.9,18.0,265.0,188.0,-30.0,20.0,43.8,-19.6,27.6,,-107.0,128.0,58.3,44.4,93.9,18.0,-42.8,-52.6,133.4,35.0,46.8,,43.8,5.3,-53.0,,,-135.5,,16.0,118.0,-36.3,,61.9,47.0,-48.5,165.0,-6.0,-41.0,-103.5,-37.2,-83.0,True,False,True,True,False,False,True,True,True,True,True,,False,False,False,True,False,True,True,True,False,True,True,,True,True,True,,,False,,True,False,True,,False,True,True,False,True,True,False,True,False
Oregon,619,591.6,585.5,583.0,585.0,609.0,554.0,606.0,597.2,599.0,660.5,580.9,641.5,,580.7,618.0,611.4,593.5,769.1,589.9,606.2,571.3,696.4,630.0,682.7,,625.2,592.8,629.0,,,569.7,,617.0,652.0,598.2,,697.5,608.0,609.8,631.0,609.0,893.0,585.0,616.5,594.0,-27.4,-33.5,-36.0,-34.0,-10.0,-65.0,-13.0,-21.8,-20.0,41.5,-38.1,22.5,,-38.3,-1.0,-7.6,-25.5,150.1,-29.1,-12.8,-47.7,77.4,11.0,63.7,,6.2,-26.2,10.0,,,-49.3,,-2.0,33.0,-20.8,,78.5,-11.0,-9.2,12.0,-10.0,274.0,-34.0,-2.5,-25.0,False,False,False,True,False,True,True,True,False,False,True,,False,True,True,True,False,False,True,False,False,True,False,,True,True,True,,,False,,True,False,True,,False,True,True,True,True,False,False,True,True
Pennsylvania,8442,8465.3,8362.0,8306.0,8392.8,8371.0,8578.0,8431.0,8297.0,8151.0,8373.2,8365.4,8172.7,,8427.2,8276.0,8354.6,8612.2,8591.0,8311.2,8197.6,8383.6,8282.1,8273.0,8501.1,,8312.5,8447.3,8233.0,,8245.5,8561.7,,8380.0,8595.0,8246.8,,8516.4,8318.0,8974.7,9182.3,8409.0,8604.0,8206.1,8298.6,8254.0,23.3,-80.0,-136.0,-49.2,-71.0,136.0,-11.0,-145.0,-291.0,-68.8,-76.6,-269.3,,-14.8,-166.0,-87.4,170.2,149.0,-130.8,-244.4,-58.4,-159.9,-169.0,59.1,,-129.5,5.3,-209.0,,-196.5,119.7,,-62.0,153.0,-195.2,,74.4,-124.0,532.7,740.3,-33.0,162.0,-235.9,-143.4,-188.0,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Rhode Island,1152,1153.6,1158.0,,1158.1,1151.0,1112.0,1194.0,1138.4,1089.0,1147.5,1151.1,1163.1,,1137.3,1124.0,1148.8,1161.3,1186.1,1159.1,1106.9,1128.0,1332.1,1108.0,1201.2,,1136.8,1175.9,1104.0,,,1099.8,,1151.0,1148.0,1133.7,,1216.5,1138.0,1225.5,1184.7,1145.0,1190.0,0.0,1139.1,1139.0,1.6,6.0,,6.1,-1.0,-40.0,42.0,-13.6,-63.0,-4.5,-0.9,11.1,,-14.7,-28.0,-3.2,9.3,34.1,7.1,-45.1,-24.0,180.1,-44.0,49.2,,-15.2,23.9,-48.0,,,-52.2,,-1.0,-4.0,-18.3,,64.5,-14.0,73.5,32.7,-7.0,38.0,-1152.0,-12.9,-13.0,False,,False,True,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,True,False,False,,False,False,False,False,False,False,False,False,False
South Carolina,3637,3719.7,3787.5,3720.0,3780.0,3766.0,3773.0,4366.0,3875.0,3721.0,3942.0,3872.5,3876.6,,3762.4,3877.0,3840.4,3603.5,3553.7,3913.5,3518.5,3570.8,3770.3,3608.0,3731.0,,3654.8,3808.4,3617.0,,3955.3,3454.2,,3870.0,3909.0,3729.9,,3746.3,3700.0,3828.5,3766.1,3765.0,3646.0,3562.7,3671.8,3490.0,82.7,150.5,83.0,143.0,129.0,136.0,729.0,238.0,84.0,305.0,235.5,239.6,,125.4,240.0,203.4,-33.5,-83.3,276.5,-118.5,-66.2,133.3,-29.0,94.0,,17.8,171.4,-20.0,,318.3,-182.8,,233.0,272.0,92.9,,109.3,63.0,191.5,129.1,128.0,9.0,-74.3,34.8,-147.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,True,False,,True,False,True,,False,False,,False,False,False,,False,True,False,False,False,True,True,True,False
South Dakota,315,271.4,267.8,260.0,268.0,257.0,249.0,239.0,257.8,209.0,274.4,,267.8,,216.0,263.0,263.7,253.1,234.4,280.9,240.1,254.8,315.1,325.0,237.4,,263.1,281.1,233.0,,,245.6,,260.0,321.0,218.4,,252.8,281.0,234.5,309.6,265.0,367.0,224.0,263.5,222.0,-43.6,-47.2,-55.0,-47.0,-58.0,-66.0,-76.0,-57.2,-106.0,-40.6,,-47.2,,-99.0,-52.0,-51.3,-61.9,-80.6,-34.1,-74.9,-60.2,0.1,10.0,-77.6,,-51.9,-33.9,-82.0,,,-69.4,,-55.0,6.0,-96.6,,-62.2,-34.0,-80.5,-5.4,-50.0,52.0,-91.0,-51.5,-93.0,False,False,False,False,False,False,False,False,True,,False,,False,False,False,False,False,True,False,False,True,True,False,,False,True,False,,,False,,False,True,False,,False,True,False,True,False,False,False,False,False
Tennessee,2903,2758.0,2770.3,2809.0,2823.9,2804.0,2896.0,3300.0,2842.8,2686.0,2914.9,2889.4,2443.9,,3114.6,3014.0,2737.2,2588.4,2837.0,2677.9,2791.8,2758.0,3136.3,2732.0,2888.0,,2579.3,2824.6,3189.0,,2993.3,2497.5,,2878.0,3190.0,2816.8,,2903.4,2735.0,2735.7,2684.1,2812.0,2668.5,2509.2,2697.4,2708.0,-145.0,-132.7,-94.0,-79.1,-99.0,-7.0,397.0,-60.2,-217.0,11.9,-13.6,-459.1,,211.6,111.0,-165.8,-314.6,-66.0,-225.1,-111.2,-145.0,233.3,-171.0,-15.0,,-323.7,-78.4,286.0,,90.3,-405.5,,-25.0,287.0,-86.2,,0.4,-168.0,-167.3,-218.9,-91.0,-234.5,-393.8,-205.6,-195.0,True,True,True,True,True,False,True,False,True,True,False,,False,True,False,False,True,False,True,False,False,False,True,,False,True,False,,True,False,,True,False,True,,True,False,False,False,True,False,False,False,False
Texas,17509,17722.4,17834.7,17516.0,17927.3,17518.0,17605.0,17149.0,16803.2,17358.0,18235.2,18387.4,16612.8,,16820.6,18306.0,17340.9,17093.8,17319.0,17314.0,17135.4,17183.0,19033.4,17211.0,17027.2,,16760.9,17551.7,17047.0,,18354.8,15941.3,17056.0,17757.0,17982.0,17590.3,,17042.7,17535.0,17895.8,17455.9,17726.0,17762.0,16820.5,17114.5,16348.0,300.4,412.7,94.0,505.3,96.0,183.0,-273.0,-618.8,-64.0,813.2,965.4,-809.2,,-601.4,884.0,-81.1,-328.2,-103.0,-108.0,-286.6,-239.0,1611.4,-211.0,-394.8,,-661.1,129.7,-375.0,,932.8,-1480.7,-366.0,335.0,560.0,168.3,,-379.3,113.0,473.8,33.9,304.0,340.0,-601.5,-307.5,-1074.0,False,True,False,True,True,True,False,True,False,False,False,,False,False,True,False,True,True,True,True,False,True,False,,False,True,False,,False,False,False,False,False,True,,False,True,False,True,False,False,False,False,False
Utah,540,467.0,470.8,468.0,468.5,513.0,683.0,538.0,543.7,486.0,523.0,514.5,396.6,,490.4,523.0,519.1,495.6,541.8,487.9,525.8,503.5,517.5,464.0,477.5,,567.4,486.9,470.0,,,449.0,,496.0,542.0,492.1,,492.7,584.0,508.9,589.1,484.0,750.0,396.6,500.5,449.0,-73.0,-69.2,-72.0,-71.5,-27.0,143.0,-2.0,3.7,-54.0,-17.0,-25.5,-143.4,,-49.6,-17.0,-20.9,-44.4,1.8,-52.1,-14.2,-36.5,-22.5,-76.0,-62.5,,27.4,-53.1,-70.0,,,-91.0,,-44.0,2.0,-47.9,,-47.3,44.0,-31.1,49.1,-56.0,210.0,-143.4,-39.5,-91.0,True,True,True,True,False,True,True,True,True,True,False,,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,,False,,True,True,True,,True,True,True,True,True,False,False,True,False
Vermont,58,58.0,58.0,58.0,59.5,59.0,59.0,58.0,59.1,59.0,61.3,60.4,59.7,,58.5,58.0,58.0,65.9,68.6,58.6,58.4,58.0,62.7,78.0,58.2,,60.2,58.0,58.0,,,58.0,,61.0,71.0,58.3,,73.5,59.0,64.1,62.7,58.0,64.0,57.9,61.8,,0.0,0.0,0.0,1.5,1.0,1.0,0.0,1.1,1.0,3.3,2.4,1.7,,0.5,0.0,0.0,7.9,10.6,0.6,0.4,0.0,4.7,20.0,0.2,,2.2,0.0,0.0,,,0.0,,3.0,13.0,0.3,,15.5,1.0,6.1,4.7,0.0,6.0,-0.1,3.8,,True,True,False,False,False,True,False,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,,False,True,True,,,True,,False,False,False,,False,False,False,False,True,False,False,False,
