,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9723,9706.9,9742.3,9733.4,9720.0,9739.4,9736.0,9843.0,9849.0,9756.2,9673.0,9665.3,9684.8,9737.1,9683.0,9640.0,9779.3,9856.2,9711.1,9673.8,9780.2,9731.5,9701.1,9641.0,9735.9,,9655.8,9797.2,9615.0,,9674.9,9590.0,,9772.0,10037.2,9792.0,9688.6,,9738.5,9724.0,9737.6,9786.0,9736.0,9609.4,9718.9,9492.0,-16.1,19.3,10.4,-3.0,16.4,13.0,120.0,126.0,33.2,-50.0,-57.7,-38.2,14.1,-40.0,-83.0,56.3,133.2,-11.9,-49.2,57.2,8.5,-21.9,-82.0,12.9,,-67.2,74.2,-108.0,,-48.1,-133.0,,49.0,314.2,69.0,-34.4,,15.5,1.0,14.6,63.0,13.0,-113.6,-4.1,-231.0,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,,False,False,False,,False,False,,False,False,False,False,,True,True,True,False,True,False,True,False
Michigan,7340,7272.6,7320.1,7279.4,7279.0,7284.7,7271.0,7336.0,7271.0,7215.7,7207.0,7235.0,,7302.1,7266.0,7250.0,7291.5,7350.2,7336.5,7364.1,7281.2,7206.1,7267.2,7310.0,7349.2,7506.0,7187.5,7322.3,7252.0,,7136.3,7222.2,,7286.0,7743.0,7256.0,7255.7,,7352.4,7303.0,7299.8,7297.0,7230.0,7106.2,7269.9,7162.0,-67.4,-19.9,-60.6,-61.0,-55.3,-69.0,-4.0,-69.0,-124.3,-133.0,-105.0,,-37.9,-74.0,-90.0,-48.5,10.2,-3.5,24.1,-58.8,-133.9,-72.8,-30.0,9.2,166.0,-152.5,-17.7,-88.0,,-203.7,-117.8,,-54.0,403.0,-84.0,-84.3,,12.4,-37.0,-40.2,-43.0,-110.0,-233.8,-70.1,-178.0,True,True,True,True,False,True,False,False,False,False,,True,False,False,True,True,True,True,True,False,False,True,True,False,False,True,False,,False,False,,True,False,False,False,,True,True,True,True,False,False,False,False
Minnesota,2270,2268.6,2289.3,2267.4,2263.0,2266.0,2260.0,2251.0,2294.0,2216.8,2232.0,2247.0,2263.7,2201.6,2274.0,2236.0,2260.8,2284.3,2320.8,2264.9,2244.1,2232.5,2279.2,2297.0,2264.1,2417.0,2219.2,2292.2,2236.0,,2218.6,2269.7,,2262.0,2443.0,2304.0,2263.5,,2270.4,2274.0,2250.9,2298.0,2314.0,2146.0,2266.3,2215.0,-1.4,19.3,-2.6,-7.0,-4.0,-10.0,-19.0,24.0,-53.2,-38.0,-23.0,-6.3,-68.4,4.0,-34.0,-9.2,14.3,50.8,-5.1,-25.9,-37.5,9.2,27.0,-5.9,147.0,-50.8,22.2,-34.0,,-51.4,-0.3,,-8.0,173.0,34.0,-6.5,,0.4,4.0,-19.1,28.0,44.0,-124.0,-3.7,-55.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,False,,True,False,False,False,False,False,False,False
Mississippi,3171,3187.6,3119.8,3218.4,3197.0,3211.0,3171.0,3152.0,3206.0,3167.3,3151.0,3170.7,3129.6,3122.9,3217.0,3206.0,3206.4,3238.4,3218.8,3109.9,3171.1,3170.3,3152.2,3173.0,3122.6,,3147.3,3217.6,3147.0,,3198.5,3171.3,,3210.0,2760.6,3201.0,3204.8,,3119.5,3184.0,3232.9,3220.0,3136.0,3172.5,3186.6,3087.0,16.6,-51.2,47.4,26.0,40.0,0.0,-19.0,35.0,-3.7,-20.0,-0.3,-41.4,-48.1,46.0,35.0,35.4,67.4,47.8,-61.1,0.1,-0.7,-18.8,2.0,-48.4,,-23.7,46.6,-24.0,,27.5,0.3,,39.0,-410.4,30.0,33.8,,-51.5,13.0,61.9,49.0,-35.0,1.5,15.6,-84.0,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,False,,False,True,,False,False,False,False,,False,True,False,False,False,True,True,False
Missouri,2581,2433.0,2423.6,2444.3,2429.0,2423.0,2461.0,2526.0,2498.0,2478.0,2405.0,2383.0,2345.3,2229.8,2435.0,2422.0,2381.8,2351.1,2717.5,2399.9,2497.3,3166.6,2411.2,2489.0,2414.9,,2445.0,2484.6,2527.0,,2308.9,2500.4,,2497.0,2570.0,2488.0,2306.6,,2423.8,2329.0,2382.9,2466.0,2522.0,2154.0,2582.8,2305.0,-148.0,-157.4,-136.7,-152.0,-158.0,-120.0,-55.0,-83.0,-103.0,-176.0,-198.0,-235.7,-351.2,-146.0,-159.0,-199.2,-229.9,136.5,-181.1,-83.7,585.6,-169.8,-92.0,-166.1,,-136.0,-96.4,-54.0,,-272.1,-80.6,,-84.0,-11.0,-93.0,-274.4,,-157.2,-252.0,-198.1,-115.0,-59.0,-427.0,1.8,-276.0,False,True,False,False,True,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,,True,True,True,,False,True,,True,True,True,False,,False,False,False,True,True,False,True,False
Montana,239,213.0,209.4,215.2,221.0,216.0,222.0,220.0,274.0,235.9,220.0,216.8,218.2,242.9,213.0,215.0,235.7,291.2,235.4,224.7,247.7,224.8,222.8,278.0,232.9,,223.4,227.7,215.0,,,192.0,,236.0,290.8,261.0,214.2,,233.1,241.0,217.0,237.0,217.0,205.3,226.7,202.0,-26.0,-29.6,-23.8,-18.0,-23.0,-17.0,-19.0,35.0,-3.1,-19.0,-22.2,-20.8,3.9,-26.0,-24.0,-3.3,52.2,-3.6,-14.3,8.7,-14.2,-16.2,39.0,-6.1,,-15.6,-11.3,-24.0,,,-47.0,,-3.0,51.8,22.0,-24.8,,-5.9,2.0,-22.0,-2.0,-22.0,-33.7,-12.3,-37.0,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,,True,True,True,,,False,,True,False,True,True,,True,True,True,True,True,False,True,False
Nebraska,547,558.6,565.9,549.5,553.0,553.0,548.0,579.0,562.0,538.0,551.0,552.6,573.2,548.0,544.0,538.0,540.8,568.0,560.7,549.0,548.0,539.0,552.2,645.0,545.3,,548.5,568.5,549.0,,,525.9,,554.0,557.5,590.0,512.9,,549.4,553.0,535.7,557.0,566.0,522.8,548.6,530.0,11.6,18.9,2.5,6.0,6.0,1.0,32.0,15.0,-9.0,4.0,5.6,26.2,1.0,-3.0,-9.0,-6.2,21.0,13.7,2.0,1.0,-8.0,5.2,98.0,-1.7,,1.5,21.5,2.0,,,-21.1,,7.0,10.5,43.0,-34.1,,2.4,6.0,-11.3,10.0,19.0,-24.2,1.6,-17.0,False,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,,True,False,True,,,False,,True,True,False,False,,True,True,True,True,False,False,True,False
Nevada,1707,1693.6,1654.0,1698.2,1699.0,1696.0,1707.0,1753.0,1759.0,1721.4,1706.0,1704.5,1708.0,1747.2,1718.0,1701.0,1718.8,1783.2,1755.0,1691.3,1723.7,1719.2,1699.5,1717.0,1669.8,,1712.9,1706.9,1694.0,,1737.8,1696.3,,1723.0,1773.4,1738.0,1719.9,,1669.6,1722.0,1710.3,1710.0,1697.0,1713.7,1704.4,1666.0,-13.4,-53.0,-8.8,-8.0,-11.0,0.0,46.0,52.0,14.4,-1.0,-2.5,1.0,40.2,11.0,-6.0,11.8,76.2,48.0,-15.7,16.7,12.2,-7.5,10.0,-37.2,,5.9,-0.1,-13.0,,30.8,-10.7,,16.0,66.4,31.0,12.9,,-37.4,15.0,3.3,3.0,-10.0,6.7,-2.6,-41.0,False,True,True,True,True,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,,True,True,True,,False,True,,False,False,False,True,,False,False,True,True,True,True,True,False
New Hampshire,466,450.4,460.5,447.8,447.0,448.6,449.0,443.0,446.0,443.6,450.0,451.3,453.3,452.0,450.0,451.0,445.0,447.9,451.8,455.4,448.8,453.8,443.2,456.0,446.2,,454.4,453.2,444.0,,,443.8,,447.0,474.7,451.0,452.8,,448.8,449.0,455.3,450.0,449.0,446.5,449.4,,-15.6,-5.5,-18.2,-19.0,-17.4,-17.0,-23.0,-20.0,-22.4,-16.0,-14.7,-12.7,-14.0,-16.0,-15.0,-21.0,-18.1,-14.2,-10.6,-17.2,-12.2,-22.8,-10.0,-19.8,,-11.6,-12.8,-22.0,,,-22.2,,-19.0,8.7,-15.0,-13.2,,-17.2,-17.0,-10.7,-16.0,-17.0,-19.5,-16.6,,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,False,True,False,True,False,,True,True,False,,,False,,False,True,True,True,,False,False,True,False,False,False,False,
New Jersey,16204,16191.7,16232.6,16196.9,16203.0,16214.0,16227.0,16483.0,16287.0,16269.8,16258.0,16197.2,16288.8,16395.0,16206.0,16259.5,16238.7,16311.8,16215.3,16211.0,16229.0,16226.8,16223.2,16231.0,16248.4,,16215.1,16218.1,16141.0,,16182.8,16161.5,,16232.0,16842.8,16243.0,16186.8,,16244.4,16205.0,16590.6,16220.0,16377.0,16216.0,16221.9,16368.0,-12.3,28.6,-7.1,-1.0,10.0,23.0,279.0,83.0,65.8,54.0,-6.8,84.8,191.0,2.0,55.5,34.7,107.8,11.3,7.0,25.0,22.8,19.2,27.0,44.4,,11.1,14.1,-63.0,,-21.2,-42.5,,28.0,638.8,39.0,-17.2,,40.4,1.0,386.6,16.0,173.0,12.0,17.9,164.0,False,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,True,False,False
New Mexico,929,932.9,929.1,933.3,930.0,930.0,936.0,933.0,990.0,936.0,919.0,938.5,948.6,932.7,942.0,934.0,949.1,994.0,944.7,941.9,949.4,949.7,931.4,946.0,932.3,,936.1,952.3,928.0,,,940.0,,946.0,1082.3,983.0,925.2,,934.3,943.0,946.1,949.0,932.0,925.7,938.6,911.0,3.9,0.1,4.3,1.0,1.0,7.0,4.0,61.0,7.0,-10.0,9.5,19.6,3.7,13.0,5.0,20.1,65.0,15.7,12.9,20.4,20.7,2.4,17.0,3.3,,7.1,23.3,-1.0,,,11.0,,17.0,153.3,54.0,-3.8,,5.3,14.0,17.1,20.0,3.0,-3.3,9.6,-18.0,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,,False,False,True,,,False,,False,False,False,True,,False,False,False,False,True,True,False,False
New York,33347,33342.4,33665.4,33338.7,33303.0,33352.2,33338.0,33456.0,33312.0,33296.1,33342.0,33283.9,33335.3,33182.2,33287.0,33315.0,33286.5,33371.5,33389.9,33412.5,33370.7,33332.4,33353.8,33377.0,33339.7,,33331.7,33395.3,33200.0,,33243.1,33337.9,,33295.0,33675.8,33350.0,33261.7,,33333.6,33379.0,33461.3,33359.0,33376.0,33154.5,33388.5,33165.0,-4.6,318.4,-8.3,-44.0,5.2,-9.0,109.0,-35.0,-50.9,-5.0,-63.1,-11.7,-164.8,-60.0,-32.0,-60.5,24.5,42.9,65.5,23.7,-14.6,6.8,30.0,-7.3,,-15.3,48.3,-147.0,,-103.9,-9.1,,-52.0,328.8,3.0,-85.3,,-13.4,32.0,114.3,12.0,29.0,-192.5,41.5,-182.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False
North Carolina,3929,3992.4,3918.4,3994.1,3989.0,4007.0,3968.0,4004.0,3988.0,3919.6,3889.0,3901.4,3976.8,3908.5,4017.0,3957.0,4020.3,3990.1,3954.6,3987.2,3985.6,3898.9,3937.6,3959.0,4031.4,,3867.4,4062.0,3859.0,,3953.0,3891.0,,4066.0,3251.3,3968.0,3964.7,,4022.5,3950.0,3992.3,4054.0,3943.0,3858.9,3979.2,3807.0,63.4,-10.6,65.1,60.0,78.0,39.0,75.0,59.0,-9.4,-40.0,-27.6,47.8,-20.5,88.0,28.0,91.3,61.1,25.6,58.2,56.6,-30.1,8.6,30.0,102.4,,-61.6,133.0,-70.0,,24.0,-38.0,,137.0,-677.7,39.0,35.7,,93.5,21.0,63.3,125.0,14.0,-70.1,50.2,-122.0,True,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,,True,False,False,,True,True,,False,False,True,True,,False,True,True,False,True,False,True,False
North Dakota,399,353.9,364.0,358.7,351.0,359.0,356.0,333.0,377.0,366.0,324.0,335.8,352.1,323.2,332.0,328.0,355.8,317.4,376.3,306.5,375.3,342.4,347.1,374.0,365.8,,371.6,379.3,390.0,,,299.6,,328.0,266.9,335.0,325.5,,371.1,359.0,403.6,380.0,412.0,300.0,361.0,320.0,-45.1,-35.0,-40.3,-48.0,-40.0,-43.0,-66.0,-22.0,-33.0,-75.0,-63.2,-46.9,-75.8,-67.0,-71.0,-43.2,-81.6,-22.7,-92.5,-23.7,-56.6,-51.9,-25.0,-33.2,,-27.4,-19.7,-9.0,,,-99.4,,-71.0,-132.1,-64.0,-73.5,,-27.9,-40.0,4.6,-19.0,13.0,-99.0,-38.0,-79.0,True,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,,True,True,True,,,False,,False,False,False,False,,True,True,True,True,True,False,True,False
Ohio,5067,5266.7,5305.0,5297.9,5186.0,5294.5,5234.0,5341.0,5218.0,5119.0,5178.0,5145.4,5204.4,5160.7,5242.0,5014.0,5189.7,5214.0,5319.7,5251.6,5258.1,5180.5,5187.1,5183.0,5281.8,5355.0,5069.5,5341.2,5258.0,,5130.7,5233.6,,5234.0,5542.3,5319.0,5185.5,,5297.3,5218.0,5264.0,5228.0,5255.0,5138.6,5247.8,5263.0,199.7,238.0,230.9,119.0,227.5,167.0,274.0,151.0,52.0,111.0,78.4,137.4,93.7,175.0,-53.0,122.7,147.0,252.7,184.6,191.1,113.5,120.1,116.0,214.8,288.0,2.5,274.2,191.0,,63.7,166.6,,167.0,475.3,252.0,118.5,,230.3,151.0,197.0,161.0,188.0,71.6,180.8,196.0,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,False,True,,True,True,,True,False,False,True,,False,True,True,True,True,True,True,True
Oklahoma,1162,1134.6,1122.7,1140.1,1162.0,1145.0,1149.0,1149.0,1166.0,1153.9,1179.0,1124.6,1139.5,1147.6,1147.0,1162.0,1177.3,1172.6,1221.6,1188.5,1174.1,1097.4,1157.5,1218.0,1189.1,,1114.0,1151.0,1112.0,,,1122.3,,1170.0,1585.0,1156.0,1148.9,,1187.5,1170.0,1137.8,1170.0,1128.0,1114.6,1156.3,1106.0,-27.4,-39.3,-21.9,0.0,-17.0,-13.0,-13.0,4.0,-8.1,17.0,-37.4,-22.5,-14.4,-15.0,0.0,15.3,10.6,59.6,26.5,12.1,-64.6,-4.5,56.0,27.1,,-48.0,-11.0,-50.0,,,-39.7,,8.0,423.0,-6.0,-13.1,,25.5,8.0,-24.2,8.0,-34.0,-47.4,-5.7,-56.0,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,False,True,,False,True,False,,,False,,True,False,True,True,,True,True,True,True,False,False,True,False
Oregon,619,625.9,623.4,628.4,621.0,629.0,622.0,612.0,630.0,593.5,609.0,613.3,625.8,622.1,620.0,616.0,615.1,618.6,655.0,674.0,618.9,607.3,613.0,648.0,630.1,,622.5,638.0,591.0,,,606.7,,624.0,684.6,630.0,627.3,,632.6,621.0,616.6,632.0,602.0,603.3,621.4,598.0,6.9,4.4,9.4,2.0,10.0,3.0,-7.0,11.0,-25.5,-10.0,-5.7,6.8,3.1,1.0,-3.0,-3.9,-0.4,36.0,55.0,-0.1,-11.7,-6.0,29.0,11.1,,3.5,19.0,-28.0,,,-12.3,,5.0,65.6,11.0,8.3,,13.6,2.0,-2.4,13.0,-17.0,-15.7,2.4,-21.0,True,False,True,False,True,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True,False,False,,True,False,False,,,False,,True,False,False,False,,False,True,True,False,False,False,True,False
Pennsylvania,8442,8397.4,8332.5,8371.0,8367.0,8374.4,8408.0,8388.0,8447.0,8432.9,8339.0,8409.0,8388.8,8328.5,8371.0,8379.0,8413.2,8547.4,8433.3,8459.2,8421.3,8414.3,8393.0,8403.0,8322.2,,8536.1,8410.2,8282.0,,8404.9,8347.0,,8411.0,8102.3,8534.0,8343.2,,8313.5,8424.0,8463.9,8411.0,8430.5,8318.4,8456.1,8286.0,-44.6,-109.5,-71.0,-75.0,-67.6,-34.0,-54.0,5.0,-9.1,-103.0,-33.0,-53.2,-113.5,-71.0,-63.0,-28.8,105.4,-8.7,17.2,-20.7,-27.7,-49.0,-39.0,-119.8,,94.1,-31.8,-160.0,,-37.1,-95.0,,-31.0,-339.7,92.0,-98.8,,-128.5,-18.0,21.9,-31.0,-11.5,-123.6,14.1,-156.0,False,False,False,False,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,True,False,True,False,,False,True,False,,True,False,,True,False,False,False,,False,True,True,True,True,False,True,False
Rhode Island,1152,1138.4,1127.2,1141.0,,1140.0,1144.0,1132.0,1153.0,1151.6,1136.0,1155.6,1148.1,1158.0,1145.0,1148.0,1153.5,1172.5,1139.9,1156.1,1154.6,1140.0,1132.8,1132.0,1128.2,,1148.3,1144.3,1148.0,,,1119.5,,1144.0,1407.3,1138.0,1136.4,,1129.5,1142.0,1152.8,1145.0,1132.0,0.0,1153.0,1135.0,-13.6,-24.8,-11.0,,-12.0,-8.0,-20.0,1.0,-0.4,-16.0,3.6,-3.9,6.0,-7.0,-4.0,1.5,20.5,-12.1,4.1,2.6,-12.0,-19.2,-20.0,-23.8,,-3.7,-7.7,-4.0,,,-32.5,,-8.0,255.3,-14.0,-15.6,,-22.5,-10.0,0.8,-7.0,-20.0,-1152.0,1.0,-17.0,False,True,,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,,True,True,True,,,False,,True,False,False,False,,False,True,True,True,False,False,True,False
South Carolina,3637,3688.9,3633.0,3680.1,3671.0,3680.0,3649.0,3703.0,3602.0,3601.0,3679.0,3640.3,3662.9,3680.3,3727.0,3654.0,3691.4,3583.6,3803.5,3591.9,3732.7,3607.4,3647.4,3643.0,3595.7,,3609.6,3693.3,3572.0,,3702.0,3594.0,,3697.0,4347.1,3672.0,3678.8,,3591.8,3684.0,3700.7,3704.0,3642.0,3644.9,3677.7,3529.0,51.9,-4.0,43.1,34.0,43.0,12.0,66.0,-35.0,-36.0,42.0,3.3,25.9,43.3,90.0,17.0,54.4,-53.4,166.5,-45.1,95.7,-29.6,10.4,6.0,-41.3,,-27.4,56.3,-65.0,,65.0,-43.0,,60.0,710.1,35.0,41.8,,-45.2,47.0,63.7,67.0,5.0,7.9,40.7,-108.0,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,,True,False,False,,False,True,,False,False,True,True,,True,True,False,False,True,True,True,False
South Dakota,315,303.7,314.5,307.5,300.0,308.0,291.0,275.0,317.0,289.7,287.0,283.5,310.7,285.5,264.0,269.0,287.9,299.9,373.5,265.0,306.8,289.6,287.6,347.0,292.7,,288.9,322.9,293.0,,,253.0,,303.0,259.4,318.0,271.8,,298.8,299.0,272.0,327.0,295.0,265.2,299.4,280.0,-11.3,-0.5,-7.5,-15.0,-7.0,-24.0,-40.0,2.0,-25.3,-28.0,-31.5,-4.3,-29.5,-51.0,-46.0,-27.1,-15.1,58.5,-50.0,-8.2,-25.4,-27.4,32.0,-22.3,,-26.1,7.9,-22.0,,,-62.0,,-12.0,-55.6,3.0,-43.2,,-16.2,-16.0,-43.0,12.0,-20.0,-49.8,-15.6,-35.0,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,False,,,False,,False,False,True,False,,False,False,False,False,False,False,False,False
Tennessee,2903,2948.4,3028.4,2943.4,2900.0,2932.1,2863.0,2803.0,2884.0,2789.3,2829.0,2831.9,,2754.2,2955.0,2778.0,2881.1,2792.4,3190.0,2850.9,2877.1,2863.3,2880.5,2840.0,2946.5,,2787.7,2872.1,2859.0,,2871.0,2746.4,,2896.0,3100.1,2896.0,2917.2,,2950.3,2876.0,2922.4,2939.0,2921.0,2734.9,2866.3,2726.0,45.4,125.4,40.4,-3.0,29.1,-40.0,-100.0,-19.0,-113.7,-74.0,-71.1,,-148.8,52.0,-125.0,-21.9,-110.6,287.0,-52.1,-25.9,-39.7,-22.5,-63.0,43.5,,-115.3,-30.9,-44.0,,-32.0,-156.6,,-7.0,197.1,-7.0,14.2,,47.3,-27.0,19.4,36.0,18.0,-168.1,-36.7,-177.0,False,True,True,True,True,False,True,False,False,False,,False,False,False,True,False,False,False,True,True,True,False,True,,False,True,True,,True,False,,True,False,True,True,,False,True,True,True,True,False,True,False
Texas,17440,17387.9,17397.0,17507.5,17438.0,17471.1,17390.0,17683.0,18065.0,17445.7,17291.0,17012.3,17649.6,17153.2,17527.0,17426.0,17402.9,17869.9,17365.3,17261.6,17379.2,17070.6,17258.8,17355.0,16929.6,,17271.6,17398.7,17168.0,,17757.5,17144.2,17056.0,17601.0,20346.6,17385.0,17434.4,,16910.6,17379.0,17529.1,17614.0,17170.0,17241.3,17416.5,16412.0,-52.1,-43.0,67.5,-2.0,31.1,-50.0,243.0,625.0,5.7,-149.0,-427.7,209.6,-286.8,87.0,-14.0,-37.1,429.9,-74.7,-178.4,-60.8,-369.4,-181.2,-85.0,-510.4,,-168.4,-41.3,-272.0,,317.5,-295.8,-384.0,161.0,2906.6,-55.0,-5.6,,-529.4,-61.0,89.1,174.0,-270.0,-198.7,-23.5,-1028.0,True,False,True,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,False
Utah,540,524.4,574.0,532.9,548.0,532.0,522.0,536.0,514.0,494.6,521.0,505.9,532.7,421.7,520.0,489.0,511.4,430.5,625.7,530.7,525.2,536.2,545.6,548.0,510.8,,533.0,537.5,490.0,,,505.4,,522.0,440.3,564.0,527.4,,514.5,527.0,518.6,554.0,504.0,407.7,526.1,493.0,-15.6,34.0,-7.1,8.0,-8.0,-18.0,-4.0,-26.0,-45.4,-19.0,-34.1,-7.3,-118.3,-20.0,-51.0,-28.6,-109.5,85.7,-9.3,-14.8,-3.8,5.6,8.0,-29.2,,-7.0,-2.5,-50.0,,,-34.6,,-18.0,-99.7,24.0,-12.6,,-25.5,-13.0,-21.4,14.0,-36.0,-132.3,-13.9,-47.0,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,,True,True,False,,,False,,False,False,False,True,,False,True,False,True,False,False,True,False
Vermont,58,58.0,59.1,58.0,58.0,58.0,58.0,59.0,58.0,58.2,59.0,59.0,59.1,59.9,58.0,58.0,58.0,58.1,58.4,62.0,58.3,59.1,58.0,72.0,58.3,,58.9,58.0,58.0,,,58.0,,59.0,59.7,64.0,58.1,,61.1,58.0,60.3,58.0,59.0,57.9,58.5,,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.2,1.0,1.0,1.1,1.9,0.0,0.0,0.0,0.1,0.4,4.0,0.3,1.1,0.0,14.0,0.3,,0.9,0.0,0.0,,,0.0,,1.0,1.7,6.0,0.1,,3.1,0.0,2.3,0.0,1.0,-0.1,0.5,,False,True,True,True,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,,False,True,True,,,True,,False,False,False,False,,False,True,False,True,False,False,False,
