,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Massachusetts,9723,9672.6,9669.5,9645.0,9687.3,9682.0,9715.0,9814.0,9681.6,9482.0,9664.5,9628.4,9666.7,,9685.4,9544.0,9737.9,9691.6,9686.5,9658.4,9698.8,9679.4,9701.2,9561.0,9778.7,,9568.2,9739.8,9431.0,,9640.0,9550.8,9740.0,10037.2,9818.0,9596.6,,9792.4,9712.0,9802.0,9915.0,9805.0,9845.0,9522.9,9630.8,9390.0,-50.4,-53.5,-78.0,-35.7,-41.0,-8.0,91.0,-41.4,-241.0,-58.5,-94.6,-56.3,,-37.6,-179.0,14.9,-31.4,-36.5,-64.6,-24.2,-43.6,-21.8,-162.0,55.7,,-154.8,16.8,-292.0,,-83.0,-172.2,17.0,314.2,95.0,-126.4,,69.4,-11.0,79.0,192.0,82.0,122.0,-200.1,-92.2,-333.0,False,False,True,True,True,False,True,False,False,False,False,,True,False,True,True,True,False,True,True,True,False,False,,False,True,False,,False,False,True,False,False,False,,False,True,False,False,False,False,False,False,False
Michigan,7340,7258.3,7288.3,7246.0,7273.9,7282.0,7461.0,7261.0,7214.1,7120.0,7258.4,7324.2,7293.2,,7251.1,7330.0,7256.8,7687.6,7456.7,7309.0,7141.9,7231.7,7382.0,7328.0,7264.4,7176.0,7151.5,7319.2,7293.0,,7094.4,7142.0,7285.0,7743.0,7214.0,7220.6,,7278.4,7282.0,7398.1,8022.6,7273.0,7206.0,7063.9,7242.4,7064.0,-81.7,-51.7,-94.0,-66.1,-58.0,121.0,-79.0,-125.9,-220.0,-81.6,-15.8,-46.8,,-88.9,-10.0,-83.2,347.6,116.7,-31.0,-198.1,-108.3,42.0,-12.0,-75.6,-164.0,-188.5,-20.8,-47.0,,-245.6,-198.0,-55.0,403.0,-126.0,-119.4,,-61.6,-58.0,58.1,682.6,-67.0,-134.0,-276.1,-97.6,-276.0,True,False,True,True,False,True,False,False,True,True,True,,False,True,False,False,False,True,False,False,True,True,True,False,False,True,True,,False,False,True,False,False,False,,True,True,True,False,True,False,False,False,False
Minnesota,2270,2182.9,2178.0,2198.0,2178.9,2216.0,2669.0,2239.0,2200.2,2105.0,2242.5,2208.4,2206.5,,2301.1,2217.0,2220.0,2325.0,2261.5,2214.9,2220.9,2234.3,2225.7,2284.0,2175.3,2252.0,2109.8,2233.3,2232.0,,2215.9,2113.5,2224.0,2443.0,2240.0,2202.1,,2189.1,2237.0,2236.1,2481.0,2271.0,2135.0,2099.4,2224.5,2162.0,-87.1,-92.0,-72.0,-91.1,-54.0,399.0,-31.0,-69.8,-165.0,-27.5,-61.6,-63.5,,31.1,-53.0,-50.0,55.0,-8.5,-55.1,-49.1,-35.7,-44.3,14.0,-94.7,-18.0,-160.2,-36.7,-38.0,,-54.1,-156.5,-46.0,173.0,-30.0,-67.9,,-80.9,-33.0,-33.9,211.0,1.0,-135.0,-170.6,-45.5,-108.0,False,True,False,True,False,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,False,True,True,,True,True,True,False,True,False,False,True,False
Mississippi,3171,3230.4,3210.7,3198.0,3217.1,3180.0,3041.0,3181.0,3113.9,3147.0,3226.3,3124.9,3143.3,,3294.1,3112.0,3175.5,3100.4,3086.5,3143.4,3146.0,3154.6,3198.4,3140.0,3249.0,,3099.4,3301.2,3129.0,,3218.5,3118.8,3241.0,2760.6,3181.0,3203.4,,3262.7,3197.0,3261.5,3213.1,3215.0,3069.0,3157.1,3182.1,3002.0,59.4,39.7,27.0,46.1,9.0,-130.0,10.0,-57.1,-24.0,55.3,-46.1,-27.7,,123.1,-59.0,4.5,-70.6,-84.5,-27.6,-25.0,-16.4,27.4,-31.0,78.0,,-71.6,130.2,-42.0,,47.5,-52.2,70.0,-410.4,10.0,32.4,,91.7,26.0,90.5,42.1,44.0,-102.0,-13.9,11.1,-169.0,True,True,True,True,False,True,True,True,True,True,True,,False,True,True,False,False,True,True,True,True,True,False,,False,False,True,,True,True,False,False,True,True,,False,True,False,True,True,False,True,True,False
Missouri,2581,2701.6,2735.0,2553.0,2740.7,2456.0,2672.0,2532.0,2263.6,2362.0,2354.3,2583.6,2286.8,,2203.7,2180.0,2384.8,2243.1,2421.3,2452.0,2453.1,2581.3,2551.9,2435.0,2474.3,,2392.7,2719.5,2440.0,,2123.0,2324.2,2624.0,3145.4,2741.0,2545.0,,2488.2,2296.0,2374.9,2614.5,2724.0,2448.0,2079.7,2437.7,2329.0,120.6,154.0,-28.0,159.7,-125.0,91.0,-49.0,-317.4,-219.0,-226.7,2.6,-294.2,,-377.3,-401.0,-196.2,-337.9,-159.7,-129.0,-127.9,0.3,-29.1,-146.0,-106.7,,-188.3,138.5,-141.0,,-458.0,-256.8,43.0,564.4,160.0,-36.0,,-92.8,-285.0,-206.1,33.5,143.0,-133.0,-501.3,-143.3,-252.0,False,True,False,False,True,True,False,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,True,,False,False,False,,False,False,True,False,False,True,,True,False,False,True,False,False,False,False,False
Montana,239,218.7,215.7,226.0,216.0,228.0,196.0,352.0,251.2,193.0,229.7,252.7,237.7,,235.1,215.0,232.2,241.2,227.3,253.2,230.5,226.5,262.5,289.0,227.2,,216.7,246.3,231.0,,,191.3,251.0,290.8,300.0,210.3,,241.3,258.0,209.7,229.1,255.0,218.0,198.9,231.1,210.0,-20.3,-23.3,-13.0,-23.0,-11.0,-43.0,113.0,12.2,-46.0,-9.3,13.7,-1.3,,-3.9,-24.0,-6.8,2.2,-11.7,14.2,-8.5,-12.5,23.5,50.0,-11.8,,-22.3,7.3,-8.0,,,-47.7,12.0,51.8,61.0,-28.7,,2.3,19.0,-29.3,-9.9,16.0,-21.0,-40.1,-7.9,-29.0,False,True,False,True,False,False,True,False,True,True,True,,True,False,True,True,True,True,True,True,False,False,True,,False,True,True,,,False,True,False,False,False,,True,True,False,True,True,False,False,True,False
Nebraska,547,550.0,553.2,538.0,550.0,536.0,738.0,559.0,530.7,500.0,540.6,534.0,559.0,,579.7,545.0,534.6,576.7,558.4,549.8,519.8,524.0,533.7,658.0,514.6,,531.4,555.6,535.0,,,514.1,541.0,557.5,568.0,527.5,,528.4,539.0,525.5,561.3,538.0,525.0,501.5,531.6,525.0,3.0,6.2,-9.0,3.0,-11.0,191.0,12.0,-16.3,-47.0,-6.4,-13.0,12.0,,32.7,-2.0,-12.4,29.7,11.4,2.8,-27.2,-23.0,-13.3,111.0,-32.4,,-15.6,8.6,-12.0,,,-32.9,-6.0,10.5,21.0,-19.5,,-18.6,-8.0,-21.5,14.3,-9.0,-22.0,-45.5,-15.4,-22.0,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Nevada,1707,1739.3,1741.9,1721.0,1744.0,1752.0,1956.0,1879.0,1725.7,1724.0,1772.3,1727.4,1760.2,,1833.7,1748.0,1721.9,1680.9,1725.0,1706.4,1784.5,1740.9,1763.7,1738.0,1799.3,,1702.9,1806.2,1710.0,,1805.3,1658.6,1774.0,2175.7,1801.0,1775.6,,1813.3,1755.0,1756.3,1721.0,1823.0,1720.0,1727.9,1719.1,1699.0,32.3,34.9,14.0,37.0,45.0,249.0,172.0,18.7,17.0,65.3,20.4,53.2,,126.7,41.0,14.9,-26.1,18.0,-0.6,77.5,33.9,56.7,31.0,92.3,,-4.1,99.2,3.0,,98.3,-48.4,67.0,468.7,94.0,68.6,,106.3,48.0,49.3,14.0,116.0,13.0,20.9,12.1,-8.0,False,True,False,False,False,False,True,True,False,True,False,,False,False,True,True,True,True,False,False,False,True,False,,True,False,True,,False,False,False,False,False,False,,False,False,False,True,False,True,True,True,True
New Hampshire,466,441.9,443.0,443.0,446.0,446.0,439.0,445.0,446.7,439.0,452.4,457.2,452.0,,448.3,445.0,444.6,457.4,461.5,450.5,448.0,439.0,456.3,458.0,456.5,,453.8,442.7,441.0,,,443.3,445.0,474.7,459.0,445.8,,470.2,446.0,470.5,481.5,442.0,441.0,445.0,444.5,,-24.1,-23.0,-23.0,-20.0,-20.0,-27.0,-21.0,-19.3,-27.0,-13.6,-8.8,-14.0,,-17.7,-21.0,-21.4,-8.6,-4.5,-15.5,-18.0,-27.0,-9.7,-8.0,-9.5,,-12.2,-23.3,-25.0,,,-22.7,-21.0,8.7,-7.0,-20.2,,4.2,-20.0,4.5,15.5,-24.0,-25.0,-21.0,-21.5,,True,True,True,True,False,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,,True,True,True,True,True,,True,True,True,True,True,False,True,True,
New Jersey,16204,16217.4,16248.2,16210.0,16288.0,16251.0,16640.0,16415.0,16271.7,16125.0,16191.5,16263.2,16284.5,,16504.7,16251.0,16250.1,16492.6,16229.5,16234.7,16236.9,16232.6,16477.8,16239.0,16316.5,,16265.3,16257.0,16106.0,,16186.0,16225.0,16245.0,16842.8,16245.0,16198.7,,16330.4,16251.0,17109.8,16959.3,16235.0,16295.0,16247.5,16241.5,16355.0,13.4,44.2,6.0,84.0,47.0,436.0,211.0,67.7,-79.0,-12.5,59.2,80.5,,300.7,47.0,46.1,288.6,25.5,30.7,32.9,28.6,273.8,35.0,112.5,,61.3,53.0,-98.0,,-18.0,21.0,41.0,638.8,41.0,-5.3,,126.4,47.0,905.8,755.3,31.0,91.0,43.5,37.5,151.0,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
New Mexico,929,930.0,936.2,926.0,939.0,938.0,933.0,982.0,918.0,906.0,951.3,951.2,936.5,,928.6,938.0,935.9,933.9,958.9,949.9,955.5,928.7,971.6,942.0,943.4,,931.1,970.8,901.0,,,892.2,952.0,1202.7,1023.0,924.2,,957.2,940.0,969.2,954.3,969.0,903.0,920.9,951.6,888.0,1.0,7.2,-3.0,10.0,9.0,4.0,53.0,-11.0,-23.0,22.3,22.2,7.5,,-0.4,9.0,6.9,4.9,29.9,20.9,26.5,-0.3,42.6,13.0,14.4,,2.1,41.8,-28.0,,,-36.8,23.0,273.7,94.0,-4.8,,28.2,11.0,40.2,25.3,40.0,-26.0,-8.1,22.6,-41.0,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
New York,33547,33256.7,33244.9,33250.0,33335.1,33276.0,33467.0,33266.0,33308.3,33133.0,33244.6,33293.1,33310.9,,33275.2,33283.0,33286.2,33791.0,33446.7,33272.2,33254.4,33283.0,33949.4,33400.0,33286.5,,33261.6,33289.2,33167.0,,33204.6,33278.0,33234.0,33675.8,33266.0,33236.7,,33301.2,33311.0,33936.4,34507.3,33272.0,32908.0,33131.1,33337.4,33124.0,-128.3,-140.1,-135.0,-49.9,-109.0,82.0,-119.0,-76.7,-252.0,-140.4,-91.9,-74.1,,-109.8,-102.0,-98.8,406.0,61.7,-112.8,-130.6,-102.0,564.4,15.0,-98.5,,-123.4,-95.8,-218.0,,-180.4,-107.0,-151.0,290.8,-119.0,-148.3,,-83.8,-74.0,551.4,1122.3,-113.0,-477.0,-253.9,-47.6,-261.0,False,False,True,True,True,True,True,False,False,True,True,,True,True,True,False,True,True,False,True,False,True,True,,True,True,False,,False,True,False,False,True,False,,True,True,False,False,True,False,False,True,False
North Carolina,3929,4006.7,4045.5,4016.0,4055.4,3951.0,4007.0,4009.0,3802.5,3836.0,3865.8,4024.7,3906.9,,4003.9,3886.0,3970.0,3949.8,4022.0,3936.0,3978.8,3938.6,3947.4,3898.0,4097.9,,3777.7,4120.3,4108.0,,3911.5,3729.6,4064.0,5153.3,3943.0,3954.3,,4111.8,3928.0,3940.2,3952.6,4019.0,3828.5,3750.1,3984.0,3766.0,77.7,116.5,87.0,126.4,22.0,78.0,80.0,-126.5,-93.0,-63.2,95.7,-22.1,,74.9,-43.0,41.0,20.8,93.0,7.0,49.8,9.6,18.4,-31.0,168.9,,-151.3,191.3,179.0,,-17.5,-199.4,135.0,1224.3,14.0,25.3,,182.8,-1.0,11.2,23.6,90.0,-100.5,-178.9,55.0,-163.0,False,False,False,True,False,False,False,False,True,False,True,,True,True,True,True,False,True,True,True,True,True,False,,False,False,False,,True,False,False,False,True,True,,False,True,True,True,False,False,False,True,False
North Dakota,399,342.4,326.6,320.0,332.0,327.0,310.0,338.0,314.7,232.0,325.7,342.6,294.1,,328.3,260.0,330.7,326.8,275.0,347.2,304.7,320.7,299.6,361.0,328.7,,356.5,374.0,371.0,,,351.5,278.0,266.9,301.0,268.2,,342.5,338.0,329.6,320.6,362.0,360.0,259.3,359.7,302.0,-56.6,-72.4,-79.0,-67.0,-72.0,-89.0,-61.0,-84.3,-167.0,-73.3,-56.4,-104.9,,-70.7,-139.0,-68.3,-72.2,-124.0,-51.8,-94.3,-78.3,-99.4,-38.0,-70.3,,-42.5,-25.0,-28.0,,,-47.5,-121.0,-132.1,-98.0,-130.8,,-56.5,-61.0,-69.4,-78.4,-37.0,-39.0,-139.7,-39.3,-97.0,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,True,False,False,False,True,False,,True,True,True,,,True,False,False,False,False,,True,False,False,False,True,True,False,True,False
Ohio,5067,5101.0,5044.8,5107.0,5124.1,5124.0,5283.0,5157.0,5171.9,5126.0,5107.5,5114.6,5050.3,,5210.8,5021.0,5185.9,5080.5,5304.9,5203.1,5081.9,5077.6,5341.7,5099.0,5114.6,5031.0,4923.5,5133.0,5256.0,,5236.2,4894.8,5220.0,5542.3,5084.0,5103.8,,5128.8,5117.0,5244.7,5445.5,5122.0,4936.0,5038.9,5173.7,4968.0,34.0,-22.2,40.0,57.1,57.0,216.0,90.0,104.9,59.0,40.5,47.6,-16.7,,143.8,-46.0,118.9,13.5,237.9,136.1,14.9,10.6,274.7,32.0,47.6,-36.0,-143.5,66.0,189.0,,169.2,-172.2,153.0,475.3,17.0,36.8,,61.8,50.0,177.7,378.5,55.0,-131.0,-28.1,106.7,-99.0,True,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,True,False,False
Oklahoma,1162,1177.4,1186.4,1177.0,1187.1,1187.0,1410.0,1220.0,1141.6,1191.0,1166.8,1187.7,1180.9,,1207.9,1146.0,1217.0,1310.4,1261.5,1202.1,1111.6,1184.3,1218.9,1225.0,1245.0,,1033.0,1228.3,1153.0,,,1076.1,1199.0,1247.5,1119.0,1176.2,,1258.7,1193.0,1132.4,1298.2,1224.0,1109.0,1098.0,1170.9,1137.0,15.4,24.4,15.0,25.1,25.0,248.0,58.0,-20.4,29.0,4.8,25.7,18.9,,45.9,-16.0,55.0,148.4,99.5,40.1,-50.4,22.3,56.9,63.0,83.0,,-129.0,66.3,-9.0,,,-85.9,37.0,85.5,-43.0,14.2,,96.7,31.0,-29.6,136.2,62.0,-53.0,-64.0,8.9,-25.0,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,,False,False,False,False,True,,False,False,False,False,False,False,False,True,False
Oregon,619,591.6,589.5,590.0,593.0,616.0,659.0,647.0,593.7,597.0,607.9,610.4,629.7,,626.3,616.0,603.5,622.0,711.1,594.4,603.2,593.1,625.5,640.0,627.6,,615.6,604.9,673.0,,,568.4,611.0,801.7,637.0,601.5,,640.9,617.0,600.7,622.5,626.0,575.0,586.8,618.2,571.0,-27.4,-29.5,-29.0,-26.0,-3.0,40.0,28.0,-25.3,-22.0,-11.1,-8.6,10.7,,7.3,-3.0,-15.5,3.0,92.1,-24.6,-15.8,-25.9,6.5,21.0,8.6,,-3.4,-14.1,54.0,,,-50.6,-8.0,182.7,18.0,-17.5,,21.9,-2.0,-18.3,3.5,7.0,-44.0,-32.2,-0.8,-48.0,False,False,True,True,False,False,True,True,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,,False,True,False,True,True,,True,True,True,True,True,False,False,True,False
Pennsylvania,8442,8446.0,8509.1,8455.0,8512.5,8459.0,8332.0,8446.0,8447.1,8262.0,8424.8,8411.9,8327.2,,8395.6,8429.0,8421.3,8543.7,8549.1,8418.5,8333.3,8427.6,8603.9,8373.0,8700.5,,8241.4,8472.2,8517.0,,8395.6,8218.6,8525.0,13623.1,8491.0,8394.1,,8714.3,8396.0,8606.7,9058.8,8518.0,8533.0,8275.8,8470.6,8392.0,4.0,67.1,13.0,70.5,17.0,-110.0,4.0,5.1,-180.0,-17.2,-30.1,-114.8,,-46.4,-13.0,-20.7,101.7,107.1,-23.5,-108.7,-14.4,161.9,-69.0,258.5,,-200.6,30.2,75.0,,-46.4,-223.4,83.0,5181.1,49.0,-47.9,,272.3,-46.0,164.7,616.8,76.0,91.0,-166.2,28.6,-50.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Rhode Island,1152,1161.3,1165.0,,1164.2,1164.0,1133.0,1184.0,1168.0,1107.0,1171.2,1159.1,1161.3,,1173.3,1143.0,1153.4,1158.8,1173.4,1170.2,1121.7,1129.9,1205.1,1127.0,1165.1,,1164.3,1152.6,1171.0,,,1119.5,1164.0,1407.3,1136.0,1147.9,,1178.8,1151.0,1189.0,1179.5,1161.0,1141.0,0.0,1159.6,1139.0,9.3,13.0,,12.2,12.0,-19.0,32.0,16.0,-45.0,19.2,7.1,9.3,,21.3,-9.0,1.4,6.8,21.4,18.2,-30.3,-22.1,53.1,-25.0,13.1,,12.3,0.6,19.0,,,-32.5,12.0,255.3,-16.0,-4.1,,26.8,-1.0,37.0,27.5,9.0,-11.0,-1152.0,7.6,-13.0,False,,False,False,False,False,False,False,False,True,True,,False,True,True,True,False,False,False,False,False,False,False,,False,True,False,,,False,False,False,False,True,,False,True,False,False,True,False,False,True,False
South Carolina,3637,3688.9,3728.0,3710.0,3728.1,3712.0,3737.0,3785.0,3680.6,3683.0,3647.8,,3710.9,,3799.5,3611.0,3769.1,3660.4,3595.1,3842.0,3581.6,3681.5,3699.5,3619.0,3920.4,,3633.4,3792.1,3630.0,,3830.2,3476.2,3836.0,5144.0,3733.0,3711.9,,3934.3,3733.0,3742.4,3812.4,3833.0,3566.0,3610.1,3664.6,3532.0,51.9,91.0,73.0,91.1,75.0,100.0,148.0,43.6,46.0,10.8,,73.9,,162.5,-26.0,132.1,23.4,-41.9,205.0,-55.4,44.5,62.5,-18.0,283.4,,-3.6,155.1,-7.0,,193.2,-160.8,199.0,1507.0,96.0,74.9,,297.3,96.0,105.4,175.4,196.0,-71.0,-26.9,27.6,-105.0,False,False,False,False,False,False,True,True,True,,False,,False,True,False,True,True,False,False,True,False,True,False,,True,False,True,,False,False,False,False,False,False,,False,False,False,False,False,False,True,True,False
South Dakota,315,263.7,272.8,272.0,272.0,271.0,252.0,275.0,270.8,222.0,265.7,,266.6,,274.5,250.0,266.7,321.0,247.3,276.7,270.2,269.6,268.4,352.0,261.9,,245.1,292.8,284.0,,,223.6,281.0,259.4,307.0,244.6,,275.6,290.0,245.3,302.9,286.0,266.0,237.4,272.9,260.0,-51.3,-42.2,-43.0,-43.0,-44.0,-63.0,-40.0,-44.2,-93.0,-49.3,,-48.4,,-40.5,-65.0,-48.3,6.0,-67.7,-38.3,-44.8,-45.4,-46.6,37.0,-53.1,,-69.9,-22.2,-31.0,,,-91.4,-34.0,-55.6,-8.0,-70.4,,-39.4,-25.0,-69.7,-12.1,-29.0,-49.0,-77.6,-42.1,-55.0,True,True,True,True,False,True,True,False,True,,True,,True,False,True,True,False,True,True,True,True,True,False,,False,True,True,,,False,True,False,True,False,,True,True,False,True,True,True,False,True,False
Tennessee,2903,2831.3,2853.5,2797.0,2847.8,2796.0,2871.0,2885.0,2794.8,2750.0,2744.5,2808.6,2700.6,,3256.6,2685.0,2783.8,2653.8,2832.6,2872.9,2827.9,2796.9,2819.4,2768.0,2891.8,,2657.2,2861.0,2839.0,,2875.0,2544.0,2868.0,3847.1,2796.0,2842.1,,2905.5,2768.0,2841.8,2716.3,2832.0,2595.5,2604.2,2767.0,2706.0,-71.7,-49.5,-106.0,-55.2,-107.0,-32.0,-18.0,-108.2,-153.0,-158.5,-94.4,-202.4,,353.6,-218.0,-119.2,-249.2,-70.4,-30.1,-75.1,-106.1,-83.6,-135.0,-11.2,,-245.8,-42.0,-64.0,,-28.0,-359.0,-35.0,944.1,-107.0,-60.9,,2.5,-135.0,-61.2,-186.7,-71.0,-307.5,-298.8,-136.0,-197.0,True,False,True,False,True,True,False,False,False,False,False,,False,False,False,False,True,True,False,False,False,False,True,,False,True,True,,True,False,True,False,False,True,,True,False,True,False,True,False,False,False,False
Texas,17445,17622.1,17728.4,17552.0,17676.2,17510.0,16886.0,20454.0,17454.6,17294.0,16918.1,,16970.0,,18137.3,17377.0,17335.2,18006.7,17453.8,17551.9,16938.6,17478.0,17631.4,17274.0,18486.1,,17253.7,18013.4,17153.0,,18336.4,16356.1,18233.0,25338.1,18128.0,17582.1,,18500.1,17374.0,17819.3,17794.5,17787.0,17000.0,17100.6,17463.7,16429.0,192.1,298.4,122.0,246.2,80.0,-544.0,3024.0,24.6,-136.0,-511.9,,-460.0,,707.3,-53.0,-94.8,576.7,23.8,121.9,-491.4,48.0,201.4,-156.0,1056.1,,-176.3,583.4,-277.0,,906.4,-1073.9,803.0,7908.1,698.0,152.1,,1070.1,-56.0,389.3,364.5,357.0,-430.0,-329.4,33.7,-1001.0,False,True,False,True,False,False,True,True,False,,False,,False,True,True,False,True,True,False,True,False,True,False,,True,False,False,,False,False,False,False,False,True,,False,True,False,False,False,False,False,True,False
Utah,540,490.1,469.7,502.0,472.0,496.0,571.0,508.0,531.2,507.0,494.3,,404.8,,471.1,488.0,506.0,580.5,520.6,499.9,527.7,538.7,496.6,546.0,476.8,,539.5,488.9,465.0,,,463.1,490.0,838.4,540.0,486.4,,490.4,525.0,496.7,559.8,494.0,462.0,396.4,505.6,466.0,-49.9,-70.3,-38.0,-68.0,-44.0,31.0,-32.0,-8.8,-33.0,-45.7,,-135.2,,-68.9,-52.0,-34.0,40.5,-19.4,-40.1,-12.3,-1.3,-43.4,6.0,-63.2,,-0.5,-51.1,-75.0,,,-76.9,-50.0,298.4,0.0,-53.6,,-49.6,-15.0,-43.3,19.8,-46.0,-78.0,-143.6,-34.4,-74.0,False,True,False,True,True,True,True,True,True,,False,,False,False,True,True,True,True,True,True,True,True,False,,True,False,False,,,False,False,False,True,False,,True,True,True,True,True,False,False,True,False
Vermont,58,58.0,58.0,58.0,58.5,59.0,59.0,58.0,58.4,59.0,62.6,59.6,59.4,,58.5,58.0,58.0,60.0,65.0,58.4,58.7,58.0,61.2,78.0,58.8,,59.7,58.0,58.0,,,58.0,60.0,59.7,60.0,58.2,,72.6,58.0,60.7,61.3,58.0,58.0,58.1,58.8,,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.4,1.0,4.6,1.6,1.4,,0.5,0.0,0.0,2.0,7.0,0.4,0.7,0.0,3.2,20.0,0.8,,1.7,0.0,0.0,,,0.0,2.0,1.7,2.0,0.2,,14.6,0.0,2.7,3.3,0.0,0.0,0.1,0.8,,True,True,False,False,False,True,False,False,False,False,False,,False,True,True,False,False,False,False,True,False,False,False,,False,True,True,,,True,False,False,False,False,,False,True,False,False,True,True,False,False,
