,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
19047,56,34.0,,34.1,,26.0,32.0,,,,,23.5,,4.3,24.0,61.0,28.0,,18.6,27.6,,,,30.0,,-22.0,,-21.9,,-30.0,-24.0,,,,,-32.5,,-51.7,-32.0,5.0,-28.0,,-37.4,-28.4,,,,-26.0,,,True,,False,False,,,,,False,,False,False,True,False,,False,False,,,,False,
19049,222,222.0,97.8,219.7,,176.0,223.0,,,,,172.7,,140.2,155.8,225.0,242.0,,175.2,202.0,,,,235.0,,0.0,-124.2,-2.3,,-46.0,1.0,,,,,-49.3,,-81.8,-66.2,3.0,20.0,,-46.8,-20.0,,,,13.0,,False,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
19051,21,12.0,,13.0,,9.0,1.0,,,,,9.0,,5.0,7.3,15.0,16.0,,14.7,9.5,,,,18.0,,-9.0,,-8.0,,-12.0,-20.0,,,,,-12.0,,-16.0,-13.7,-6.0,-5.0,,-6.3,-11.5,,,,-3.0,,,True,,False,False,,,,,False,,False,False,True,True,,True,False,,,,True,
19053,9,4.0,,3.3,,2.0,0.0,,,,,5.4,,1.1,1.0,,1.0,,0.0,3.1,,,,3.0,,-5.0,,-5.7,,-7.0,-9.0,,,,,-3.6,,-7.9,-8.0,,-8.0,,-9.0,-5.9,,,,-6.0,,,False,,False,False,,,,,True,,False,False,,False,,False,False,,,,False,
19055,51,48.0,,46.2,,44.0,52.0,,,,,45.0,,35.4,36.2,31.0,34.0,,99.1,42.3,,,,64.0,,-3.0,,-4.8,,-7.0,1.0,,,,,-6.0,,-15.6,-14.8,-20.0,-17.0,,48.1,-8.7,,,,13.0,,,False,,False,True,,,,,False,,False,False,False,False,,False,False,,,,False,
19057,246,62.0,,60.7,,62.0,74.0,,,,,85.7,,55.8,75.8,,70.0,,562.4,53.6,,,,65.0,,-184.0,,-185.3,,-184.0,-172.0,,,,,-160.3,,-190.2,-170.2,,-176.0,,316.4,-192.4,,,,-181.0,,,False,,False,True,,,,,True,,False,True,,True,,False,False,,,,True,
19059,22,12.0,,13.9,,12.0,11.0,,,,,31.9,,2.4,14.5,,64.0,,24.0,11.6,,,,10.0,,-10.0,,-8.1,,-10.0,-11.0,,,,,9.9,,-19.6,-7.5,,42.0,,2.0,-10.4,,,,-12.0,,,True,,False,False,,,,,True,,False,True,,False,,True,False,,,,False,
19061,234,324.0,567.9,328.9,,324.0,395.0,,,,,443.3,,272.7,233.4,253.0,263.0,,297.4,325.7,,,,292.0,,90.0,333.9,94.9,,90.0,161.0,,,,,209.3,,38.7,-0.6,19.0,29.0,,63.4,91.7,,,,58.0,,False,False,,False,False,,,,,False,,True,True,True,True,,True,False,,,,True,
19063,21,26.0,,27.9,,27.0,50.0,,,,,37.8,,10.1,21.6,27.0,0.0,,18.7,38.7,,,,16.0,,5.0,,6.9,,6.0,29.0,,,,,16.8,,-10.9,0.6,6.0,-21.0,,-2.3,17.7,,,,-5.0,,,False,,False,False,,,,,False,,False,True,False,False,,True,False,,,,False,
19065,40,10.0,,11.0,,7.0,5.0,,,,,37.8,,4.8,2.3,,15.0,,10.6,8.5,,,,7.0,,-30.0,,-29.0,,-33.0,-35.0,,,,,-2.2,,-35.2,-37.7,,-25.0,,-29.4,-31.5,,,,-33.0,,,True,,False,False,,,,,True,,False,False,,True,,True,False,,,,False,
19067,43,74.0,,77.6,,52.0,123.0,,,,,50.6,,39.4,47.1,39.0,66.0,,33.0,56.1,,,,121.0,,31.0,,34.6,,9.0,80.0,,,,,7.6,,-3.6,4.1,-4.0,23.0,,-10.0,13.1,,,,78.0,,,False,,True,False,,,,,True,,True,True,True,True,,True,True,,,,False,
19069,39,54.0,,56.3,,49.0,71.0,,,,,62.7,,18.2,42.0,35.0,28.0,,24.1,50.5,,,,39.0,,15.0,,17.3,,10.0,32.0,,,,,23.7,,-20.8,3.0,-4.0,-11.0,,-14.9,11.5,,,,0.0,,,False,,True,False,,,,,False,,False,True,True,True,,True,True,,,,True,
19071,12,14.0,,16.1,,12.0,16.0,,,,,15.7,,2.1,12.6,,0.0,,10.0,,,,,16.0,,2.0,,4.1,,0.0,4.0,,,,,3.7,,-9.9,0.6,,-12.0,,-2.0,,,,,4.0,,,False,,True,False,,,,,False,,False,True,,False,,False,,,,,False,
19073,6,6.0,,6.1,,4.0,0.0,,,,,4.5,,2.6,0.8,,18.0,,4.5,6.7,,,,10.0,,0.0,,0.1,,-2.0,-6.0,,,,,-1.5,,-3.4,-5.2,,12.0,,-1.5,0.7,,,,4.0,,,False,,False,False,,,,,False,,False,False,,False,,False,False,,,,False,
19075,31,14.0,,13.0,,13.0,14.0,,,,,25.8,,5.2,8.5,13.0,0.0,,16.2,12.5,,,,10.0,,-17.0,,-18.0,,-18.0,-17.0,,,,,-5.2,,-25.8,-22.5,-18.0,-31.0,,-14.8,-18.5,,,,-21.0,,,False,,False,False,,,,,True,,False,False,False,False,,True,False,,,,False,
19077,26,12.0,,9.3,,9.0,6.0,,,,,21.9,,2.4,9.0,14.0,19.0,,7.6,18.5,,,,7.0,,-14.0,,-16.7,,-17.0,-20.0,,,,,-4.1,,-23.6,-17.0,-12.0,-7.0,,-18.4,-7.5,,,,-19.0,,,False,,False,False,,,,,True,,False,False,True,True,,False,True,,,,False,
19079,25,16.0,,13.2,,14.0,14.0,,,,,27.3,,1.7,14.8,22.0,50.0,,18.1,13.6,,,,11.0,,-9.0,,-11.8,,-11.0,-11.0,,,,,2.3,,-23.3,-10.2,-3.0,25.0,,-6.9,-11.4,,,,-14.0,,,False,,False,False,,,,,True,,False,False,True,False,,True,False,,,,False,
19081,14,16.0,,14.3,,12.0,18.0,,,,,23.7,,1.5,10.1,13.0,0.0,,9.0,31.5,,,,10.0,,2.0,,0.3,,-2.0,4.0,,,,,9.7,,-12.5,-3.9,-1.0,-14.0,,-5.0,17.5,,,,-4.0,,,True,,False,False,,,,,False,,False,False,True,False,,False,False,,,,False,
19083,33,32.0,,38.4,,31.0,43.0,,,,,59.8,,18.1,35.2,29.0,28.0,,16.9,18.5,,,,22.0,,-1.0,,5.4,,-2.0,10.0,,,,,26.8,,-14.9,2.2,-4.0,-5.0,,-16.1,-14.5,,,,-11.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
19085,29,22.0,,23.3,,20.0,26.0,,,,,29.1,,7.7,17.3,17.0,0.0,,10.6,21.7,,,,28.0,,-7.0,,-5.7,,-9.0,-3.0,,,,,0.1,,-21.3,-11.7,-12.0,-29.0,,-18.4,-7.3,,,,-1.0,,,True,,False,True,,,,,True,,False,False,False,False,,False,False,,,,True,
19087,82,18.0,,17.0,,18.0,23.0,,,,,27.2,,11.8,22.5,18.0,23.0,,11.3,18.0,,,,25.0,,-64.0,,-65.0,,-64.0,-59.0,,,,,-54.8,,-70.2,-59.5,-64.0,-59.0,,-70.7,-64.0,,,,-57.0,,,False,,False,True,,,,,True,,False,True,False,True,,False,True,,,,True,
19089,34,2.0,,1.7,,2.0,0.0,,,,,14.6,,2.5,0.6,,0.0,,8.3,4.5,,,,2.0,,-32.0,,-32.3,,-32.0,-34.0,,,,,-19.4,,-31.5,-33.4,,-34.0,,-25.6,-29.5,,,,-32.0,,,False,,False,False,,,,,True,,True,False,,False,,True,True,,,,False,
19091,29,38.0,,37.8,,35.0,41.0,,,,,22.8,,24.1,32.8,27.0,77.0,,118.8,29.2,,,,45.0,,9.0,,8.8,,6.0,12.0,,,,,-6.2,,-4.9,3.8,-2.0,48.0,,89.8,0.2,,,,16.0,,,True,,True,False,,,,,True,,True,True,True,False,,False,True,,,,False,
19093,8,0.0,,0.2,,0.0,0.0,,,,,2.7,,1.0,0.2,0.0,1.0,,0.9,1.0,,,,0.0,,-8.0,,-7.8,,-8.0,-8.0,,,,,-5.3,,-7.0,-7.8,-8.0,-7.0,,-7.1,-7.0,,,,-8.0,,,True,,False,False,,,,,True,,True,True,False,True,,True,True,,,,False,
19095,12,14.0,,18.3,,15.0,27.0,,,,,28.0,,5.9,15.9,13.0,27.0,,28.2,11.7,,,,16.0,,2.0,,6.3,,3.0,15.0,,,,,16.0,,-6.1,3.9,1.0,15.0,,16.2,-0.3,,,,4.0,,,False,,False,False,,,,,False,,False,False,True,False,,False,True,,,,False,
19097,29,34.0,,33.7,,28.0,16.0,,,,,68.7,,16.5,30.6,26.0,32.0,,25.1,39.3,,,,26.0,,5.0,,4.7,,-1.0,-13.0,,,,,39.7,,-12.5,1.6,-3.0,3.0,,-3.9,10.3,,,,-3.0,,,True,,True,False,,,,,False,,False,True,True,True,,True,False,,,,True,
19099,44,46.0,,36.9,,39.0,97.0,,,,,80.3,,22.0,36.8,56.0,12.0,,45.7,40.1,,,,39.0,,2.0,,-7.1,,-5.0,53.0,,,,,36.3,,-22.0,-7.2,12.0,-32.0,,1.7,-3.9,,,,-5.0,,,False,,False,False,,,,,False,,False,False,False,False,,True,False,,,,False,
19101,20,14.0,,14.2,,12.0,13.0,,,,,27.8,,6.9,11.2,14.0,26.0,,10.0,11.9,,,,16.0,,-6.0,,-5.8,,-8.0,-7.0,,,,,7.8,,-13.1,-8.8,-6.0,6.0,,-10.0,-8.1,,,,-4.0,,,True,,False,False,,,,,False,,False,False,False,False,,False,False,,,,True,
19103,387,332.0,401.8,332.1,,330.0,364.0,,,,,394.8,,325.5,329.2,301.0,462.0,,296.9,302.5,370.0,,,330.0,,-55.0,14.8,-54.9,,-57.0,-23.0,,,,,7.8,,-61.5,-57.8,-86.0,75.0,,-90.1,-84.5,-17.0,,,-57.0,,True,True,,False,True,,,,,True,,False,False,False,False,,False,False,True,,,False,
19105,21,16.0,,15.1,,14.0,11.0,,,,,45.6,,3.2,12.7,13.0,19.0,,9.5,20.5,,,,10.0,,-5.0,,-5.9,,-7.0,-10.0,,,,,24.6,,-17.8,-8.3,-8.0,-2.0,,-11.5,-0.5,,,,-11.0,,,False,,False,False,,,,,False,,False,False,False,True,,False,True,,,,False,
19107,13,8.0,,7.9,,6.0,0.0,,,,,12.0,,2.3,4.4,,7.0,,6.2,7.5,,,,15.0,,-5.0,,-5.1,,-7.0,-13.0,,,,,-1.0,,-10.7,-8.6,,-6.0,,-6.8,-5.5,,,,2.0,,,False,,False,False,,,,,True,,False,False,,False,,False,False,,,,True,
19109,23,24.0,,26.5,,15.0,9.0,,,,,28.6,,8.6,16.3,19.0,30.0,,14.4,28.3,,,,34.0,,1.0,,3.5,,-8.0,-14.0,,,,,5.6,,-14.4,-6.7,-4.0,7.0,,-8.6,5.3,,,,11.0,,,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
19111,132,50.0,,52.8,,36.0,94.0,,,,,49.9,,21.9,35.7,26.0,43.0,,19.6,37.8,,,,47.0,,-82.0,,-79.2,,-96.0,-38.0,,,,,-82.1,,-110.1,-96.3,-106.0,-89.0,,-112.4,-94.2,,,,-85.0,,,True,,False,True,,,,,False,,False,False,False,False,,False,False,,,,False,
19113,381,568.0,196.6,570.2,,569.0,617.0,,,,,811.2,,617.9,461.9,426.0,661.0,,602.0,532.2,594.0,,,626.0,,187.0,-184.4,189.2,,188.0,236.0,,,,,430.2,,236.9,80.9,45.0,280.0,,221.0,151.2,213.0,,,245.0,,True,False,,False,False,,,,,False,,False,True,True,False,,False,True,False,,,False,
19115,4,2.0,,1.7,,2.0,0.0,,,,,8.1,,0.1,3.2,,0.0,,7.0,2.8,,,,0.0,,-2.0,,-2.3,,-2.0,-4.0,,,,,4.1,,-3.9,-0.8,,-4.0,,3.0,-1.2,,,,-4.0,,,False,,False,False,,,,,False,,False,True,,False,,False,True,,,,False,
19117,16,42.0,,39.9,,37.0,51.0,,,,,18.6,,9.2,32.8,32.0,52.0,,99.3,33.4,,,,79.0,,26.0,,23.9,,21.0,35.0,,,,,2.6,,-6.8,16.8,16.0,36.0,,83.3,17.4,,,,63.0,,,True,,True,False,,,,,True,,True,True,True,False,,False,True,,,,False,
19119,23,28.0,,29.6,,26.0,28.0,,,,,44.4,,5.8,15.5,18.0,8.0,,6.6,44.2,,,,21.0,,5.0,,6.6,,3.0,5.0,,,,,21.4,,-17.2,-7.5,-5.0,-15.0,,-16.4,21.2,,,,-2.0,,,False,,True,False,,,,,False,,False,False,False,False,,False,False,,,,True,
19121,28,44.0,,42.8,,36.0,46.0,,,,,55.6,,20.3,35.5,27.0,15.0,,29.7,37.3,,,,52.0,,16.0,,14.8,,8.0,18.0,,,,,27.6,,-7.7,7.5,-1.0,-13.0,,1.7,9.3,,,,24.0,,,True,,True,False,,,,,False,,True,True,True,True,,True,True,,,,False,
19123,19,8.0,,8.6,,6.0,3.0,,,,,19.6,,0.4,3.9,13.0,0.0,,17.0,6.4,,,,12.0,,-11.0,,-10.4,,-13.0,-16.0,,,,,0.6,,-18.6,-15.1,-6.0,-19.0,,-2.0,-12.6,,,,-7.0,,,True,,False,False,,,,,True,,False,False,True,False,,True,False,,,,True,
19125,121,42.0,,38.7,,39.0,40.0,,,,,93.4,,24.5,40.7,33.0,0.0,,34.5,36.5,,,,33.0,,-79.0,,-82.3,,-82.0,-81.0,,,,,-27.6,,-96.5,-80.3,-88.0,-121.0,,-86.5,-84.5,,,,-88.0,,,False,,False,False,,,,,True,,False,False,False,False,,False,False,,,,False,
19127,127,114.0,,128.1,,94.0,91.0,,,,,130.3,,58.3,100.3,156.0,43.0,,88.8,93.3,,,,72.0,,-13.0,,1.1,,-33.0,-36.0,,,,,3.3,,-68.7,-26.7,29.0,-84.0,,-38.2,-33.7,,,,-55.0,,,True,,False,False,,,,,True,,False,False,False,False,,False,False,,,,False,
19129,26,20.0,,19.1,,17.0,28.0,,,,,35.2,,6.8,12.0,13.0,20.0,,14.3,23.0,,,,23.0,,-6.0,,-6.9,,-9.0,2.0,,,,,9.2,,-19.2,-14.0,-13.0,-6.0,,-11.7,-3.0,,,,-3.0,,,False,,False,True,,,,,False,,False,False,False,False,,False,True,,,,True,
19131,14,4.0,,1.7,,3.0,0.0,,,,,11.7,,7.4,0.9,,17.0,,0.7,9.5,,,,1.0,,-10.0,,-12.3,,-11.0,-14.0,,,,,-2.3,,-6.6,-13.1,,3.0,,-13.3,-4.5,,,,-13.0,,,False,,False,False,,,,,True,,True,False,,True,,False,True,,,,False,
19133,11,2.0,,2.7,,2.0,0.0,,,,,11.1,,7.5,1.0,,0.0,,6.5,5.9,,,,2.0,,-9.0,,-8.3,,-9.0,-11.0,,,,,0.1,,-3.5,-10.0,,-11.0,,-4.5,-5.1,,,,-9.0,,,True,,False,False,,,,,True,,True,False,,False,,True,True,,,,False,
19135,19,12.0,,10.4,,8.0,0.0,,,,,8.0,,4.9,6.9,14.0,30.0,,16.9,10.6,,,,13.0,,-7.0,,-8.6,,-11.0,-19.0,,,,,-11.0,,-14.1,-12.1,-5.0,11.0,,-2.1,-8.4,,,,-6.0,,,False,,False,False,,,,,False,,False,False,True,False,,True,False,,,,True,
19137,10,32.0,,31.5,,20.0,28.0,,,,,30.8,,3.0,17.4,24.0,63.0,,19.0,,,,,32.0,,22.0,,21.5,,10.0,18.0,,,,,20.8,,-7.0,7.4,14.0,53.0,,9.0,,,,,22.0,,,True,,True,True,,,,,True,,True,True,True,False,,True,,,,,False,
19139,77,62.0,,55.1,,55.0,80.0,,,,,103.2,,17.8,44.8,82.0,69.0,,55.5,58.6,,,,60.0,,-15.0,,-21.9,,-22.0,3.0,,,,,26.2,,-59.2,-32.2,5.0,-8.0,,-21.5,-18.4,,,,-17.0,,,False,,False,True,,,,,False,,False,False,True,True,,False,False,,,,False,
19141,25,42.0,,42.3,,23.0,36.0,,,,,28.5,,4.6,14.7,14.0,35.0,,16.6,32.5,,,,52.0,,17.0,,17.3,,-2.0,11.0,,,,,3.5,,-20.4,-10.3,-11.0,10.0,,-8.4,7.5,,,,27.0,,,False,,True,True,,,,,True,,False,True,True,True,,True,True,,,,False,
19143,8,12.0,,11.9,,6.0,0.0,,,,,10.8,,5.7,3.7,13.0,7.0,,7.9,8.9,,,,14.0,,4.0,,3.9,,-2.0,-8.0,,,,,2.8,,-2.3,-4.3,5.0,-1.0,,-0.1,0.9,,,,6.0,,,True,,True,False,,,,,True,,True,False,False,True,,True,True,,,,False,
19145,12,46.0,,45.3,,43.0,55.0,,,,,57.6,,5.3,27.6,25.0,121.0,,85.1,42.3,,,,41.0,,34.0,,33.3,,31.0,43.0,,,,,45.6,,-6.7,15.6,13.0,109.0,,73.1,30.3,,,,29.0,,,True,,True,False,,,,,False,,True,True,True,False,,False,True,,,,True,
19147,24,20.0,,22.4,,13.0,14.0,,,,,18.7,,7.8,11.1,13.0,35.0,,12.1,14.2,,,,17.0,,-4.0,,-1.6,,-11.0,-10.0,,,,,-5.3,,-16.2,-12.9,-11.0,11.0,,-11.9,-9.8,,,,-7.0,,,True,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
19149,152,34.0,,34.8,,33.0,36.0,,,,,49.3,,15.7,40.7,51.0,17.0,,46.8,29.6,,,,30.0,,-118.0,,-117.2,,-119.0,-116.0,,,,,-102.7,,-136.3,-111.3,-101.0,-135.0,,-105.2,-122.4,,,,-122.0,,,True,,False,True,,,,,True,,False,True,True,False,,True,False,,,,False,
19151,10,4.0,,3.9,,2.0,0.0,,,,,7.0,,0.2,1.5,11.0,0.0,,0.0,7.8,,,,3.0,,-6.0,,-6.1,,-8.0,-10.0,,,,,-3.0,,-9.8,-8.5,1.0,-10.0,,-10.0,-2.2,,,,-7.0,,,False,,False,False,,,,,True,,False,False,True,False,,False,True,,,,False,
19153,1430,1228.0,1114.0,1234.6,1159.1,1118.0,1357.0,,,,,1048.4,,928.2,1007.1,1292.0,1115.0,,1071.8,1197.3,999.0,,,1210.0,,-202.0,-316.0,-195.4,-270.9,-312.0,-73.0,,,,,-381.6,,-501.8,-422.9,-138.0,-315.0,,-358.2,-232.7,-431.0,,,-220.0,,False,True,False,False,True,,,,,False,,False,False,True,False,,False,False,False,,,False,
19155,196,220.0,174.1,225.1,,186.0,198.0,,,,,243.8,,124.3,213.7,197.0,50.0,,185.9,230.5,,,,266.0,,24.0,-21.9,29.1,,-10.0,2.0,,,,,47.8,,-71.7,17.7,1.0,-146.0,,-10.1,34.5,,,,70.0,,True,False,,True,True,,,,,False,,False,True,True,False,,True,False,,,,False,
19157,20,24.0,,24.3,,24.0,39.0,,,,,38.4,,7.7,29.3,26.0,40.0,,17.5,27.3,,,,36.0,,4.0,,4.3,,4.0,19.0,,,,,18.4,,-12.3,9.3,6.0,20.0,,-2.5,7.3,,,,16.0,,,False,,False,False,,,,,False,,False,False,False,False,,True,False,,,,False,
19159,8,0.0,,0.6,,0.0,0.0,,,,,1.8,,2.0,1.4,1.0,0.0,,4.2,0.9,,,,0.0,,-8.0,,-7.4,,-8.0,-8.0,,,,,-6.2,,-6.0,-6.6,-7.0,-8.0,,-3.8,-7.1,,,,-8.0,,,True,,False,False,,,,,True,,True,True,True,False,,True,True,,,,False,
19161,15,6.0,,5.7,,6.0,0.0,,,,,12.3,,7.4,3.5,14.0,0.0,,7.2,6.1,,,,10.0,,-9.0,,-9.3,,-9.0,-15.0,,,,,-2.7,,-7.6,-11.5,-1.0,-15.0,,-7.8,-8.9,,,,-5.0,,,False,,False,False,,,,,True,,True,False,True,False,,True,True,,,,True,
19163,276,280.0,635.0,273.8,,254.0,377.0,,,,,588.3,,192.6,190.4,240.0,35.0,,153.4,235.9,179.0,,,258.0,,4.0,359.0,-2.2,,-22.0,101.0,,,,,312.3,,-83.4,-85.6,-36.0,-241.0,,-122.6,-40.1,-97.0,,,-18.0,,False,True,,False,False,,,,,False,,False,False,False,False,,False,False,False,,,False,
19165,23,54.0,,53.2,,39.0,28.0,,,,,32.3,,17.4,37.9,36.0,48.0,,43.2,43.2,,,,55.0,,31.0,,30.2,,16.0,5.0,,,,,9.3,,-5.6,14.9,13.0,25.0,,20.2,20.2,,,,32.0,,,True,,True,True,,,,,True,,True,True,True,True,,True,True,,,,False,
19167,137,74.0,,72.5,,67.0,75.0,,,,,72.6,,47.7,87.9,82.0,59.0,,55.5,61.2,,,,68.0,,-63.0,,-64.5,,-70.0,-62.0,,,,,-64.4,,-89.3,-49.1,-55.0,-78.0,,-81.5,-75.8,,,,-69.0,,,False,,False,True,,,,,False,,False,True,True,False,,False,False,,,,False,
19169,404,118.0,245.6,106.3,,106.0,71.0,,,,,207.5,,85.8,108.2,139.0,25.0,,166.5,103.6,,,,101.0,,-286.0,-158.4,-297.7,,-298.0,-333.0,,,,,-196.5,,-318.2,-295.8,-265.0,-379.0,,-237.5,-300.4,,,,-303.0,,True,False,,False,False,,,,,True,,False,False,True,False,,True,False,,,,False,
19171,33,28.0,,28.2,,26.0,28.0,,,,,28.2,,9.7,24.6,53.0,33.0,,25.5,26.1,,,,23.0,,-5.0,,-4.8,,-7.0,-5.0,,,,,-4.8,,-23.3,-8.4,20.0,0.0,,-7.5,-6.9,,,,-10.0,,,True,,False,False,,,,,True,,False,False,False,True,,False,False,,,,False,
19173,7,10.0,,8.5,,5.0,0.0,,,,,10.6,,5.7,3.0,13.0,0.0,,4.3,7.9,,,,6.0,,3.0,,1.5,,-2.0,-7.0,,,,,3.6,,-1.3,-4.0,6.0,-7.0,,-2.7,0.9,,,,-1.0,,,True,,True,False,,,,,False,,True,False,False,False,,True,True,,,,True,
19175,13,14.0,,15.2,,12.0,13.0,,,,,28.2,,6.5,7.7,13.0,13.0,,10.9,10.2,,,,21.0,,1.0,,2.2,,-1.0,0.0,,,,,15.2,,-6.5,-5.3,0.0,0.0,,-2.1,-2.8,,,,8.0,,,False,,False,True,,,,,False,,False,False,True,True,,False,False,,,,False,
19177,12,8.0,,7.3,,6.0,0.0,,,,,7.0,,4.8,9.0,,12.0,,3.5,9.1,,,,9.0,,-4.0,,-4.7,,-6.0,-12.0,,,,,-5.0,,-7.2,-3.0,,0.0,,-8.5,-2.9,,,,-3.0,,,False,,False,False,,,,,False,,False,True,,True,,False,True,,,,True,
19179,119,104.0,,112.5,,108.0,248.0,,,,,74.0,,66.3,127.9,114.0,96.0,,51.7,113.8,,,,83.0,,-15.0,,-6.5,,-11.0,129.0,,,,,-45.0,,-52.7,8.9,-5.0,-23.0,,-67.3,-5.2,,,,-36.0,,,True,,True,False,,,,,False,,False,True,True,False,,False,True,,,,False,
19181,92,80.0,194.4,78.5,,71.0,55.0,,,,,142.8,,37.8,71.1,72.0,48.0,,64.1,61.4,,,,77.0,,-12.0,102.4,-13.5,,-21.0,-37.0,,,,,50.8,,-54.2,-20.9,-20.0,-44.0,,-27.9,-30.6,,,,-15.0,,False,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,False,
19183,18,26.0,,22.6,,15.0,14.0,,,,,27.0,,7.0,16.7,32.0,21.0,,4.5,25.2,,,,24.0,,8.0,,4.6,,-3.0,-4.0,,,,,9.0,,-11.0,-1.3,14.0,3.0,,-13.5,7.2,,,,6.0,,,True,,True,True,,,,,False,,False,True,False,True,,False,True,,,,True,
19185,15,8.0,,8.0,,2.0,0.0,,,,,5.5,,0.8,1.7,2.0,0.0,,1.5,,,,,8.0,,-7.0,,-7.0,,-13.0,-15.0,,,,,-9.5,,-14.2,-13.3,-13.0,-15.0,,-13.5,,,,,-7.0,,,True,,False,False,,,,,False,,False,False,False,False,,False,,,,,False,
19187,106,184.0,,190.5,,176.0,155.0,,,,,236.1,,85.4,110.1,131.0,223.0,,161.6,209.9,,,,151.0,,78.0,,84.5,,70.0,49.0,,,,,130.1,,-20.6,4.1,25.0,117.0,,55.6,103.9,,,,45.0,,,False,,True,True,,,,,False,,True,True,True,False,,True,False,,,,True,
19189,65,16.0,,11.8,,12.0,10.0,,,,,29.0,,11.4,17.7,18.0,10.0,,10.5,11.7,,,,11.0,,-49.0,,-53.2,,-53.0,-55.0,,,,,-36.0,,-53.6,-47.3,-47.0,-55.0,,-54.5,-53.3,,,,-54.0,,,False,,False,False,,,,,True,,False,True,True,False,,False,False,,,,False,
19191,70,34.0,,33.1,,25.0,55.0,,,,,49.7,,8.1,24.7,19.0,51.0,,22.8,23.3,,,,37.0,,-36.0,,-36.9,,-45.0,-15.0,,,,,-20.3,,-61.9,-45.3,-51.0,-19.0,,-47.2,-46.7,,,,-33.0,,,False,,False,True,,,,,True,,False,False,False,True,,False,False,,,,True,
19193,217,172.0,272.5,171.5,,159.0,136.0,,,,,152.7,,68.4,131.3,337.0,254.0,,174.1,159.7,,,,143.0,,-45.0,55.5,-45.5,,-58.0,-81.0,,,,,-64.3,,-148.6,-85.7,120.0,37.0,,-42.9,-57.3,,,,-74.0,,False,False,,False,False,,,,,False,,False,False,False,True,,True,False,,,,False,
19195,9,12.0,,11.2,,12.0,13.0,,,,,28.5,,5.3,4.4,13.0,27.0,,10.1,14.5,,,,10.0,,3.0,,2.2,,3.0,4.0,,,,,19.5,,-3.7,-4.6,4.0,18.0,,1.1,5.5,,,,1.0,,,True,,False,False,,,,,False,,False,False,False,False,,True,False,,,,True,
19197,36,50.0,,50.4,,46.0,14.0,,,,,23.7,,29.4,54.4,60.0,107.0,,43.0,54.9,,,,46.0,,14.0,,14.4,,10.0,-22.0,,,,,-12.3,,-6.6,18.4,24.0,71.0,,7.0,18.9,,,,10.0,,,False,,True,False,,,,,True,,True,False,False,False,,True,False,,,,True,
20001,7,2.0,,1.1,,1.0,0.0,,,,,6.0,,,0.4,,3.0,,1.1,,,,,3.0,,-5.0,,-5.9,,-6.0,-7.0,,,,,-1.0,,,-6.6,,-4.0,,-5.9,,,,,-4.0,,,False,,False,False,,,,,True,,,False,,True,,False,,,,,True,
