,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
North Carolina,83323,65372.0,95240.7,65811.9,70169.0,80454.0,,60233.5,37071.0,114822.8,63222.6,,63405.0,70508.1,71307.5,72463.0,38520.6,68737.5,86455.3,64829.5,76346.9,68549.3,,45694.4,46838.9,71236.4,80796.6,59304.4,70441.0,92999.0,-17951.0,11917.7,-17511.1,-13154.0,-2869.0,,-23089.5,-46252.0,31499.8,-20100.4,,-19918.0,-12814.9,-12015.5,-10860.0,-44802.4,-14585.5,3132.3,-18493.5,-6976.1,-14773.7,,-37628.6,-36484.1,-12086.6,-2526.4,-24018.6,-12882.0,9676.0,True,True,True,True,,False,False,False,False,,False,True,True,True,False,True,True,False,True,True,,False,False,True,True,False,True,True
North Dakota,34019,28168.0,14219.0,27958.1,28110.0,26489.0,,24456.8,10987.0,51189.3,26585.1,,28220.0,36442.1,43402.8,31435.0,4627.2,36916.5,47391.9,38314.0,39420.2,26177.3,,23165.9,25500.7,20783.3,32133.8,47892.7,34080.0,33177.8,-5851.0,-19800.0,-6060.9,-5909.0,-7530.0,,-9562.2,-23032.0,17170.3,-7433.9,,-5799.0,2423.1,9383.8,-2584.0,-29391.8,2897.5,13372.9,4295.0,5401.2,-7841.7,,-10853.1,-8518.3,-13235.7,-1885.2,13873.7,61.0,-841.2,False,False,False,False,,False,False,False,False,,True,True,False,True,False,True,False,True,True,False,,False,False,False,True,False,True,True
Ohio,191006,79564.0,296659.5,79877.2,81737.0,106118.0,,75672.3,34636.0,123115.0,97190.9,,82054.0,82122.4,77346.4,96219.0,70680.7,97850.5,153021.9,136173.5,116014.4,80860.1,,65871.2,25453.6,43442.1,84771.2,115964.4,81162.0,97836.7,-111442.0,105653.5,-111128.8,-109269.0,-84888.0,,-115333.7,-156370.0,-67891.0,-93815.1,,-108952.0,-108883.6,-113659.6,-94787.0,-120325.3,-93155.5,-37984.1,-54832.5,-74991.6,-110145.9,,-125134.8,-165552.4,-147563.9,-106234.8,-75041.6,-109844.0,-93169.3,True,True,True,True,,False,False,True,True,,True,True,False,True,False,True,True,True,True,True,,False,False,False,True,True,True,True
Oklahoma,71062,28308.0,52312.0,27679.6,31190.0,24479.0,,32788.0,21079.0,42907.7,28560.6,,37618.0,41514.0,44369.2,30129.0,15466.8,36127.5,40425.4,26843.5,34696.3,39828.9,,21813.0,33425.2,13132.7,47655.3,31788.0,20791.0,35928.7,-42754.0,-18750.0,-43382.4,-39872.0,-46583.0,,-38274.0,-49983.0,-28154.3,-42501.4,,-33444.0,-29548.0,-26692.8,-40933.0,-55595.2,-34934.5,-30636.6,-44218.5,-36365.7,-31233.1,,-49249.0,-37636.8,-57929.3,-23406.7,-39274.0,-50271.0,-35133.3,True,False,True,False,,True,False,True,True,,True,True,True,True,False,True,True,False,True,True,,False,True,False,True,True,False,True
Oregon,27585,12728.0,14540.2,12534.2,13389.0,15781.0,,12088.8,7345.0,15774.7,14733.5,,12275.0,13030.5,17129.7,17925.0,10737.7,13315.0,16378.2,14719.5,18800.5,17490.6,,12408.7,15261.6,7323.8,13735.9,12189.7,15881.0,18056.4,-14857.0,-13044.8,-15050.8,-14196.0,-11804.0,,-15496.2,-20240.0,-11810.3,-12851.5,,-15310.0,-14554.5,-10455.3,-9660.0,-16847.3,-14270.0,-11206.8,-12865.5,-8784.5,-10094.4,,-15176.3,-12323.4,-20261.2,-13849.1,-15395.3,-11704.0,-9528.6,True,False,True,True,,False,False,True,True,,False,True,True,True,False,True,True,True,True,True,,False,True,False,True,False,True,True
Pennsylvania,143154,61684.0,57634.9,62130.1,65421.0,86757.0,,63893.0,39109.0,101708.2,60839.0,,59578.0,60711.3,67251.8,73076.0,68555.2,71870.5,99595.0,82045.5,75109.5,61223.0,,68810.6,27317.2,46279.3,66123.8,88947.1,64848.0,80356.5,-81470.0,-85519.1,-81023.9,-77733.0,-56397.0,,-79261.0,-104045.0,-41445.8,-82315.0,,-83576.0,-82442.7,-75902.2,-70078.0,-74598.8,-71283.5,-43559.0,-61108.5,-68044.5,-81931.0,,-74343.4,-115836.8,-96874.7,-77030.2,-54206.9,-78306.0,-62797.5,False,True,True,True,,True,False,True,False,,False,False,True,True,True,True,True,True,True,False,,True,False,False,True,True,True,True
Rhode Island,21080,11024.0,10367.7,11181.8,12580.0,13389.0,,12953.3,10532.0,89345.5,9054.3,,33074.0,12563.5,10582.5,12630.0,3833.1,13665.5,22458.8,24617.0,12632.0,15002.9,,20298.3,23981.8,5902.5,14115.0,7696.3,6699.0,17214.1,-10056.0,-10712.3,-9898.2,-8500.0,-7691.0,,-8126.7,-10548.0,68265.5,-12025.7,,11994.0,-8516.5,-10497.5,-8450.0,-17246.9,-7414.5,1378.8,3537.0,-8448.0,-6077.1,,-781.7,2901.8,-15177.5,-6965.0,-13383.7,-14381.0,-3865.9,False,True,True,True,,True,False,False,False,,False,True,False,True,False,True,True,True,True,True,,True,True,False,True,False,False,True
South Carolina,38299,29084.0,56917.8,29726.3,29693.0,33794.0,,29973.6,13173.0,36160.2,22516.0,,27763.0,29182.2,29996.1,33273.0,11921.5,28337.5,25417.1,30759.0,36581.8,34201.2,,29361.0,20149.3,16246.3,29460.1,28996.9,26458.0,33623.7,-9215.0,18618.8,-8572.7,-8606.0,-4505.0,,-8325.4,-25126.0,-2138.8,-15783.0,,-10536.0,-9116.8,-8302.9,-5026.0,-26377.5,-9961.5,-12881.9,-7540.0,-1717.2,-4097.8,,-8938.0,-18149.7,-22052.7,-8838.9,-9302.1,-11841.0,-4675.3,False,True,True,True,,True,False,True,False,,False,True,True,True,False,False,False,True,True,True,,True,False,False,True,False,False,True
South Dakota,33107,31404.0,30664.4,31986.5,32515.0,34314.0,,27915.9,22464.0,63808.5,24197.9,,31152.0,37486.0,48335.6,37388.0,2869.1,41440.5,49096.0,44922.0,43328.5,31703.6,,28919.1,27592.1,20403.4,33057.8,53270.0,10340.0,32523.9,-1703.0,-2442.6,-1120.5,-592.0,1207.0,,-5191.1,-10643.0,30701.5,-8909.1,,-1955.0,4379.0,15228.6,4281.0,-30237.8,8333.5,15989.0,11815.0,10221.5,-1403.4,,-4187.9,-5514.9,-12703.6,-49.2,20163.0,-22767.0,-583.1,False,True,True,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,False,False,True
Tennessee,102794,66340.0,112799.4,67693.2,68680.0,59348.0,,73009.2,34079.0,92071.5,54920.2,,68567.0,84252.1,91398.9,82041.0,24473.7,85328.5,107127.7,62031.0,47533.2,59655.6,,61831.8,19536.9,52754.5,93750.3,62860.1,51669.0,91599.8,-36454.0,10005.4,-35100.8,-34114.0,-43446.0,,-29784.8,-68715.0,-10722.5,-47873.8,,-34227.0,-18541.9,-11395.1,-20753.0,-78320.3,-17465.5,4333.7,-40763.0,-55260.8,-43138.4,,-40962.2,-83257.1,-50039.5,-9043.7,-39933.9,-51125.0,-11194.2,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,True,False,False,False,,False,False,False,True,False,False,True
Texas,272265,175596.0,168905.2,169232.6,183754.0,217795.0,,179521.2,60448.0,239414.5,132083.8,,216253.0,180958.2,235806.2,194228.0,95168.8,161296.0,247149.4,213202.5,186947.9,153706.0,,127663.2,120077.0,93029.2,191981.6,174118.1,195372.0,131898.7,-96669.0,-103359.8,-103032.4,-88511.0,-54470.0,,-92743.8,-211817.0,-32850.5,-140181.2,,-56012.0,-91306.8,-36458.8,-78037.0,-177096.2,-110969.0,-25115.6,-59062.5,-85317.1,-118559.0,,-144601.8,-152188.0,-179235.8,-80283.4,-98146.9,-76893.0,-140366.3,False,False,True,True,,True,False,True,False,,True,True,True,True,False,False,True,True,True,False,,False,False,False,True,False,True,False
Utah,77431,46156.0,26344.7,45825.5,45618.0,41543.0,,43867.5,13468.0,92579.6,45689.5,,46921.0,52519.0,27659.8,39796.0,22264.5,53830.5,53975.5,57253.0,56248.4,49016.3,,46060.5,63360.3,26277.5,56375.8,57672.0,36515.0,53422.2,-31275.0,-51086.3,-31605.5,-31813.0,-35888.0,,-33563.5,-63963.0,15148.6,-31741.5,,-30510.0,-24912.0,-49771.2,-37635.0,-55166.5,-23600.5,-23455.5,-20178.0,-21182.6,-28414.7,,-31370.5,-14070.7,-51153.5,-21055.2,-19759.0,-40916.0,-24008.8,False,False,False,False,,False,False,True,False,,True,True,False,False,False,True,True,True,True,True,,False,True,False,True,True,False,True
Vermont,1854,544.0,106.8,530.8,621.0,1049.0,,84.4,197.0,717.0,871.3,,738.0,422.8,2412.6,842.0,624.5,789.0,1073.9,607.5,636.0,2001.6,,914.5,245.9,442.5,670.0,237.2,772.0,676.1,-1310.0,-1747.2,-1323.2,-1233.0,-805.0,,-1769.6,-1657.0,-1137.0,-982.7,,-1116.0,-1431.2,558.6,-1012.0,-1229.5,-1065.0,-780.1,-1246.5,-1218.0,147.6,,-939.5,-1608.1,-1411.5,-1184.0,-1616.8,-1082.0,-1177.9,False,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,True,True,,True,False,False,True,False,True,True
Virginia,52427,35272.0,67039.0,34902.1,35345.0,44592.0,,33074.5,8143.0,62152.8,37694.1,,31620.0,34379.2,45650.2,41227.0,27297.6,36853.0,39460.3,40174.5,48877.5,40823.0,,26600.5,18702.7,30830.2,34894.0,29069.5,38615.0,45080.7,-17155.0,14612.0,-17524.9,-17082.0,-7835.0,,-19352.5,-44284.0,9725.8,-14732.9,,-20807.0,-18047.8,-6776.8,-11200.0,-25129.4,-15574.0,-12966.7,-12252.5,-3549.5,-11604.0,,-25826.5,-33724.3,-21596.8,-17533.0,-23357.5,-13812.0,-7346.3,True,False,True,True,,False,False,True,True,,False,False,True,True,False,True,True,True,True,True,,False,False,False,False,False,True,True
Washington,53133,20948.0,27614.4,21494.4,23030.0,26056.0,,25185.7,11275.0,30684.7,20385.0,,18698.0,21718.5,20670.0,24965.0,23650.5,24266.5,25692.8,24866.0,30005.4,27069.9,,15850.2,24630.8,16502.9,25998.8,19157.6,24523.0,25546.1,-32185.0,-25518.6,-31638.6,-30103.0,-27077.0,,-27947.3,-41858.0,-22448.3,-32748.0,,-34435.0,-31414.5,-32463.0,-28168.0,-29482.5,-28866.5,-27440.2,-28267.0,-23127.6,-26063.1,,-37282.8,-28502.2,-36630.1,-27134.2,-33975.4,-28610.0,-27586.9,True,True,True,True,,True,False,True,False,,False,True,False,True,True,True,True,True,True,True,,False,True,False,True,False,True,True
West Virginia,21385,10976.0,18767.3,11277.3,11370.0,15910.0,,9574.8,7819.0,12055.9,11875.3,,8843.0,12060.7,27462.3,12872.0,6587.1,11980.5,16632.3,16317.0,15736.7,,,8631.8,9584.8,6407.1,10312.2,12825.5,9814.0,16801.1,-10409.0,-2617.7,-10107.7,-10015.0,-5475.0,,-11810.2,-13566.0,-9329.1,-9509.7,,-12542.0,-9324.3,6077.3,-8513.0,-14797.9,-9404.5,-4752.7,-5068.0,-5648.3,,,-12753.2,-11800.2,-14977.9,-11072.8,-8559.5,-11571.0,-4583.9,True,True,True,True,,False,False,True,True,,False,True,True,True,False,True,True,True,True,,,False,False,False,False,True,False,True
Wisconsin,167130,123316.0,212124.4,122484.3,144726.0,138076.0,,121389.9,54614.0,264554.9,104003.2,,111746.0,167654.2,203726.2,132112.0,38834.9,153690.5,236835.8,142302.0,156948.4,,,149391.3,209237.9,158601.8,161193.6,196503.3,78837.0,117039.5,-43814.0,44994.4,-44645.7,-22404.0,-29054.0,,-45740.1,-112516.0,97424.9,-63126.8,,-55384.0,524.2,36596.2,-35018.0,-128295.1,-13439.5,69705.8,-24828.0,-10181.6,,,-17738.7,42107.9,-8528.2,-5936.4,29373.3,-88293.0,-50090.5,False,False,True,True,,False,False,False,False,,False,True,True,True,False,True,False,True,True,,,True,True,True,True,True,False,False
Wyoming,18630,9972.0,30105.2,9997.6,11533.0,10358.0,,10655.8,5754.0,17215.5,13274.6,,10985.0,14134.3,30817.3,11223.0,1712.8,12550.5,18389.3,17622.5,13322.7,,,10205.9,19801.3,12272.9,11701.0,20538.0,8829.0,15529.9,-8658.0,11475.2,-8632.4,-7097.0,-8272.0,,-7974.2,-12876.0,-1414.5,-5355.4,,-7645.0,-4495.7,12187.3,-7407.0,-16917.2,-6079.5,-240.7,-1007.5,-5307.3,,,-8424.1,1171.3,-6357.1,-6929.0,1908.0,-9801.0,-3100.1,False,True,True,True,,True,False,True,True,,True,True,False,True,False,True,True,True,True,,,True,True,True,True,True,False,True
US,4111603,2194656.0,2396533.9,2189671.5,2550972.0,2695031.0,5338010.0,2670501.3,1500590.0,3880789.4,,2328335.0,2180245.0,2345889.6,2565688.7,,1332356.4,,3456304.9,3158881.5,2790256.8,2174185.9,2697713.4,2861728.3,1798864.0,2331827.7,,2458194.0,2320422.0,2548375.7,-1916947.0,-1715069.1,-1921931.5,-1560631.0,-1416572.0,1226407.0,-1441101.7,-2611013.0,-230813.6,,-1783268.0,-1931358.0,-1765713.4,-1545914.3,,-2779246.6,,-655298.1,-952721.5,-1321346.2,-1937417.1,-1413889.6,-1249874.7,-2312739.0,-1779775.3,,-1653409.0,-1791181.0,-1563227.3,True,False,True,True,True,True,False,True,,True,False,True,True,,False,,True,True,True,False,True,True,False,True,,True,True,True
