,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New Hampshire,5704,4160.0,8427.9,4123.2,5266.0,5907.0,,3833.0,5921.5,6719.1,,3933.0,4282.0,3380.0,6314.1,5360.0,3400.3,3998.5,7835.8,7585.0,6200.6,5840.2,5603.0,,6840.3,3811.0,,3585.8,3005.0,5757.4,7977.5,6969.5,5187.0,4993.7,-1544.0,2723.9,-1580.8,-438.0,203.0,,-1871.0,217.5,1015.1,,-1771.0,-1422.0,-2324.0,610.1,-344.0,-2303.7,-1705.5,2131.8,1881.0,496.6,136.2,-101.0,,1136.3,-1893.0,,-2118.2,-2699.0,53.4,2273.5,1265.5,-517.0,-710.3,False,False,True,True,,False,True,True,,False,True,False,True,True,False,False,False,False,True,True,True,,True,False,,False,False,True,False,True,True,True
New Jersey,63625,44308.0,65206.8,44076.8,53272.0,56474.0,,35254.0,77658.2,48996.8,,29942.0,43021.0,44278.5,48702.0,59910.0,56566.7,45298.0,67532.9,71005.0,74587.3,62071.3,60928.0,,71916.3,40180.6,,38068.8,39119.1,61828.4,82397.3,72816.0,48076.0,66769.1,-19317.0,1581.8,-19548.2,-10353.0,-7151.0,,-28371.0,14033.2,-14628.2,,-33683.0,-20604.0,-19346.5,-14923.0,-3715.0,-7058.3,-18327.0,3907.9,7380.0,10962.3,-1553.7,-2697.0,,8291.3,-23444.4,,-25556.2,-24505.9,-1796.6,18772.3,9191.0,-15549.0,3144.1,True,False,True,True,,False,True,True,,False,False,False,True,True,True,True,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
New Mexico,30811,19000.0,19561.9,18937.2,20745.0,20399.0,,5540.0,36843.6,22167.6,,20636.0,20049.0,22921.6,33440.7,25643.0,15330.4,22033.5,29881.4,25967.5,20644.1,22507.7,21594.0,,22746.2,92963.5,,16798.6,20151.8,22626.3,26701.6,15046.4,16707.0,22169.7,-11811.0,-11249.1,-11873.8,-10066.0,-10412.0,,-25271.0,6032.6,-8643.4,,-10175.0,-10762.0,-7889.4,2629.7,-5168.0,-15480.6,-8777.5,-929.6,-4843.5,-10166.9,-8303.3,-9217.0,,-8064.8,62152.5,,-14012.4,-10659.2,-8184.7,-4109.4,-15764.6,-14104.0,-8641.3,True,False,True,True,,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,True,True,False,False,True
New York,81242,61886.0,53402.4,62275.3,74204.0,84175.0,,27950.0,78765.9,102532.9,,37504.0,61386.0,53538.8,127115.7,79262.0,88005.8,57992.0,98892.4,97550.0,84754.0,75703.3,77303.0,,92299.0,40373.4,,52825.5,46771.8,88836.4,135368.9,85736.8,73124.0,80743.9,-19356.0,-27839.6,-18966.7,-7038.0,2933.0,,-53292.0,-2476.1,21290.9,,-43738.0,-19856.0,-27703.2,45873.7,-1980.0,6763.8,-23250.0,17650.4,16308.0,3512.0,-5538.7,-3939.0,,11057.0,-40868.6,,-28416.5,-34470.2,7594.4,54126.9,4494.8,-8118.0,-498.1,False,True,True,True,,False,True,False,,False,False,False,False,True,True,False,True,True,True,True,True,,True,False,,False,False,True,False,True,True,True
North Carolina,48840,35746.0,27350.4,35599.8,38627.0,36832.0,,20548.0,57117.0,40173.0,,39755.0,37423.0,40387.9,31306.5,47310.0,38038.5,37345.5,39404.7,40116.5,48096.2,46552.2,45510.0,,43969.5,22922.6,,40005.3,45365.2,50263.5,32482.7,44486.2,35546.0,47671.4,-13094.0,-21489.6,-13240.2,-10213.0,-12008.0,,-28292.0,8277.0,-8667.0,,-9085.0,-11417.0,-8452.1,-17533.5,-1530.0,-10801.5,-11494.5,-9435.3,-8723.5,-743.8,-2287.8,-3330.0,,-4870.5,-25917.4,,-8834.7,-3474.8,1423.5,-16357.3,-4353.8,-13294.0,-1168.6,False,False,True,True,,False,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,,True,True,True,False,True,False,True
North Dakota,15063,19336.0,19634.0,19203.1,20409.0,17203.0,,21084.0,24797.6,26254.0,,20730.0,20050.0,24932.5,13687.6,24417.0,8116.0,24343.0,27342.0,18114.0,21241.8,23653.9,21720.0,,24712.7,14977.5,,17841.1,24642.1,20775.8,23259.6,13105.0,17978.0,23232.1,4273.0,4571.0,4140.1,5346.0,2140.0,,6021.0,9734.6,11191.0,,5667.0,4987.0,9869.5,-1375.4,9354.0,-6947.0,9280.0,12279.0,3051.0,6178.8,8590.9,6657.0,,9649.7,-85.5,,2778.1,9579.1,5712.8,8196.6,-1958.0,2915.0,8169.1,False,True,False,True,,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,,False,True,,True,False,False,False,True,True,False
Ohio,116460,89032.0,122141.5,88534.7,109642.0,113096.0,,23034.0,115019.6,121438.6,,96422.0,99365.0,90265.1,144358.7,115174.0,84540.7,96980.5,125665.3,162474.0,139511.5,118523.7,119868.0,,136212.0,103728.7,,62363.5,78848.9,121428.6,181837.4,137888.6,88225.0,137464.3,-27428.0,5681.5,-27925.3,-6818.0,-3364.0,,-93426.0,-1440.4,4978.6,,-20038.0,-17095.0,-26194.9,27898.7,-1286.0,-31919.3,-19479.5,9205.3,46014.0,23051.5,2063.7,3408.0,,19752.0,-12731.3,,-54096.5,-37611.1,4968.6,65377.4,21428.6,-28235.0,21004.3,True,False,True,True,,False,True,True,,True,True,True,False,True,False,True,True,False,True,True,True,,True,True,,False,False,True,False,True,False,True
Oklahoma,43619,36908.0,42196.6,37224.9,38162.0,46936.0,,15503.0,38178.1,38831.6,,33224.0,42564.0,29397.8,56849.8,39739.0,16414.2,29144.5,45678.0,53854.5,50574.3,43948.6,45594.0,,54437.6,16283.3,,26227.8,20962.7,49233.1,29718.2,54872.3,29072.0,45802.0,-6711.0,-1422.4,-6394.1,-5457.0,3317.0,,-28116.0,-5440.9,-4787.4,,-10395.0,-1055.0,-14221.2,13230.8,-3880.0,-27204.8,-14474.5,2059.0,10235.5,6955.3,329.6,1975.0,,10818.6,-27335.7,,-17391.2,-22656.3,5614.1,-13900.8,11253.3,-14547.0,2183.0,True,True,True,True,,False,True,True,,False,True,False,False,True,False,False,True,False,False,True,True,,False,False,,False,False,True,False,False,False,True
Oregon,16488,12862.0,13720.3,13047.4,15048.0,15031.0,,5489.0,13476.2,15778.3,,13625.0,14054.0,13881.6,21443.4,17382.0,14103.0,13081.5,25015.4,17842.5,16987.1,16279.0,17272.0,,20437.9,8696.1,,9102.8,11468.9,22168.2,19895.7,17224.9,15066.0,17627.5,-3626.0,-2767.7,-3440.6,-1440.0,-1457.0,,-10999.0,-3011.8,-709.7,,-2863.0,-2434.0,-2606.4,4955.4,894.0,-2385.0,-3406.5,8527.4,1354.5,499.1,-209.0,784.0,,3949.9,-7791.9,,-7385.2,-5019.1,5680.2,3407.7,736.9,-1422.0,1139.5,True,True,True,True,,False,True,True,,True,True,True,False,True,True,True,False,True,True,True,True,,False,False,,False,False,False,True,True,True,True
Pennsylvania,91723,63458.0,101221.8,64218.3,84425.0,91695.0,,53262.0,92301.6,75705.9,,62537.0,65958.0,64624.4,118318.9,85283.0,74939.3,63696.5,101346.4,101511.5,91434.5,79972.5,78992.0,,,35921.8,,55494.9,52975.4,87622.7,119794.8,84438.1,67634.0,90106.1,-28265.0,9498.8,-27504.7,-7298.0,-28.0,,-38461.0,578.6,-16017.1,,-29186.0,-25765.0,-27098.6,26595.9,-6440.0,-16783.7,-28026.5,9623.4,9788.5,-288.5,-11750.5,-12731.0,,,-55801.2,,-36228.1,-38747.6,-4100.3,28071.8,-7284.9,-24089.0,-1616.9,True,True,True,True,,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,,False,,False,False,True,True,True,True,True
Rhode Island,12425,10298.0,11079.4,10239.3,10442.0,7898.0,,9294.0,328644.2,11952.3,,7954.0,10848.0,10446.8,14107.4,13281.0,5950.3,9849.5,14676.9,10543.0,10819.5,13368.3,7414.0,,9969.7,14947.8,,9142.9,9992.3,10349.7,15332.9,4432.2,6841.0,9707.3,-2127.0,-1345.6,-2185.7,-1983.0,-4527.0,,-3131.0,316219.2,-472.7,,-4471.0,-1577.0,-1978.2,1682.4,856.0,-6474.7,-2575.5,2251.9,-1882.0,-1605.5,943.3,-5011.0,,-2455.3,2522.8,,-3282.1,-2432.7,-2075.3,2907.9,-7992.8,-5584.0,-2717.7,True,False,True,False,,False,False,True,,False,True,True,True,True,False,False,False,True,True,True,False,,False,False,,False,False,True,False,False,False,False
South Carolina,20897,18544.0,16378.2,18500.1,19412.0,20865.0,,7296.0,21309.5,28475.3,,20119.0,19415.0,19397.8,16239.2,24620.0,15123.4,17494.0,14331.9,19538.5,27385.8,24923.4,24945.0,,27138.5,10711.0,,13176.1,19773.7,28440.8,17339.5,26330.7,20521.0,21611.8,-2353.0,-4518.8,-2396.9,-1485.0,-32.0,,-13601.0,412.5,7578.3,,-778.0,-1482.0,-1499.2,-4657.8,3723.0,-5773.6,-3403.0,-6565.1,-1358.5,6488.8,4026.4,4048.0,,6241.5,-10186.0,,-7720.9,-1123.3,7543.8,-3557.5,5433.7,-376.0,714.8,False,False,True,True,,False,True,False,,True,True,True,False,False,False,False,False,True,False,False,False,,False,False,,False,True,False,False,False,True,True
South Dakota,14917,20412.0,21214.8,20591.7,21202.0,20931.0,,15535.0,29619.1,22666.3,,23716.0,19600.0,24722.0,18436.7,27371.0,7549.2,23870.0,26035.3,19994.0,21412.1,24224.6,24001.0,,29747.2,14911.5,,16197.6,23043.4,24785.6,24417.4,16094.0,0.0,26916.7,5495.0,6297.8,5674.7,6285.0,6014.0,,618.0,14702.1,7749.3,,8799.0,4683.0,9805.0,3519.7,12454.0,-7367.8,8953.0,11118.3,5077.0,6495.1,9307.6,9084.0,,14830.2,-5.5,,1280.6,8126.4,9868.6,9500.4,1177.0,-14917.0,11999.7,False,False,False,False,,True,False,False,,False,True,False,True,False,False,False,False,True,False,False,False,,False,True,,True,False,False,False,True,False,False
Tennessee,58346,53810.0,78282.6,54835.3,57461.0,64854.0,,21402.0,75127.5,65486.3,,55269.0,54590.0,54619.2,77571.5,68780.0,32791.1,50608.5,70704.7,71395.5,75386.4,65338.9,74855.0,,62733.6,39012.8,,49123.9,47743.4,69641.5,44990.4,69239.3,47065.0,68444.2,-4536.0,19936.6,-3510.7,-885.0,6508.0,,-36944.0,16781.5,7140.3,,-3077.0,-3756.0,-3726.8,19225.5,10434.0,-25554.9,-7737.5,12358.7,13049.5,17040.4,6992.9,16509.0,,4387.6,-19333.2,,-9222.1,-10602.6,11295.5,-13355.6,10893.3,-11281.0,10098.2,False,True,True,False,,False,False,False,,True,True,True,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False,False
Texas,159560,134336.0,165252.6,134619.1,145114.0,157280.0,,36941.0,166127.7,140227.8,,132993.0,156646.0,146391.8,214393.6,157419.0,108351.3,125900.0,146612.9,160323.5,161977.1,132907.9,158584.0,,194751.0,81028.7,,94998.9,137937.0,194384.5,112451.1,133930.3,131826.0,147449.1,-25224.0,5692.6,-24940.9,-14446.0,-2280.0,,-122619.0,6567.7,-19332.2,,-26567.0,-2914.0,-13168.2,54833.6,-2141.0,-51208.7,-33660.0,-12947.1,763.5,2417.1,-26652.1,-976.0,,35191.0,-78531.3,,-64561.1,-21623.0,34824.5,-47108.9,-25629.7,-27734.0,-12110.9,True,True,True,True,,False,True,True,,False,True,True,False,True,False,False,True,True,True,False,True,,False,False,,False,True,False,False,False,False,True
Utah,40946,41812.0,41986.0,42222.9,42169.0,34487.0,,9647.0,51192.7,47435.5,,48822.0,42358.0,45845.3,35533.9,44848.0,26778.0,43880.5,57025.4,48906.0,51883.5,49437.5,49470.0,,54743.4,31711.6,,38090.2,39331.5,40300.1,54222.6,35864.3,31403.0,34969.2,866.0,1040.0,1276.9,1223.0,-6459.0,,-31299.0,10246.7,6489.5,,7876.0,1412.0,4899.3,-5412.1,3902.0,-14168.0,2934.5,16079.4,7960.0,10937.5,8491.5,8524.0,,13797.4,-9234.4,,-2855.8,-1614.5,-645.9,13276.6,-5081.7,-9543.0,-5976.8,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False
Vermont,1190,992.0,594.9,1030.7,1061.0,1891.0,,377.0,1006.3,1809.2,,440.0,1057.0,577.5,8219.3,1342.0,975.4,860.5,2481.2,2671.5,1162.4,1574.2,1110.0,,2804.4,508.5,,728.8,468.0,1937.1,3603.3,2429.0,1392.0,1023.7,-198.0,-595.1,-159.3,-129.0,701.0,,-813.0,-183.7,619.2,,-750.0,-133.0,-612.5,7029.3,152.0,-214.6,-329.5,1291.2,1481.5,-27.6,384.2,-80.0,,1614.4,-681.5,,-461.2,-722.0,747.1,2413.3,1239.0,202.0,-166.3,False,True,True,False,,False,True,False,,False,True,False,False,True,False,False,False,False,True,False,True,,False,False,,False,False,False,False,False,False,True
Virginia,32818,19852.0,42549.5,19670.5,21334.0,20954.0,,12973.0,30309.3,24191.1,,20826.0,21621.0,22602.4,24190.0,29057.0,23613.0,21386.0,22894.9,21004.5,20195.1,25301.5,22825.0,,21678.2,8814.5,,16682.2,24954.5,35236.5,18785.1,16479.5,22060.0,23866.6,-12966.0,9731.5,-13147.5,-11484.0,-11864.0,,-19845.0,-2508.7,-8626.9,,-11992.0,-11197.0,-10215.6,-8628.0,-3761.0,-9205.0,-11432.0,-9923.1,-11813.5,-12622.9,-7516.5,-9993.0,,-11139.8,-24003.5,,-16135.8,-7863.5,2418.5,-14032.9,-16338.5,-10758.0,-8951.4,True,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,True,False,False,True,True
Washington,33840,23440.0,34624.3,23731.7,28371.0,33304.0,,6533.0,27655.6,38110.1,,24937.0,24672.0,21215.8,37300.9,29905.0,27430.8,23857.0,49858.5,40059.0,35501.3,33915.8,32608.0,,34937.9,14750.5,,19329.7,20763.2,36743.5,29987.0,46473.7,27902.0,37602.2,-10400.0,784.3,-10108.3,-5469.0,-536.0,,-27307.0,-6184.4,4270.1,,-8903.0,-9168.0,-12624.2,3460.9,-3935.0,-6409.2,-9983.0,16018.5,6219.0,1661.3,75.8,-1232.0,,1097.9,-19089.5,,-14510.3,-13076.8,2903.5,-3853.0,12633.7,-5938.0,3762.2,True,True,True,True,,False,True,True,,True,True,False,True,True,True,True,False,True,True,True,True,,True,False,,False,False,True,True,False,True,True
West Virginia,13053,10366.0,14157.9,10419.2,11446.0,15009.0,,5043.0,11895.9,14322.3,,11155.0,9306.0,10182.5,19792.0,13039.0,7723.2,10365.5,11474.6,12984.0,14737.3,13213.3,13503.0,,16610.5,6211.9,,7521.2,8441.8,15720.3,15799.7,17467.2,8885.0,13109.3,-2687.0,1104.9,-2633.8,-1607.0,1956.0,,-8010.0,-1157.1,1269.3,,-1898.0,-3747.0,-2870.5,6739.0,-14.0,-5329.8,-2687.5,-1578.4,-69.0,1684.3,160.3,450.0,,3557.5,-6841.1,,-5531.8,-4611.2,2667.3,2746.7,4414.2,-4168.0,56.3,True,True,True,True,,False,True,True,,True,False,False,False,True,False,False,True,True,True,True,True,,False,False,,False,False,True,False,False,False,True
Wisconsin,81395,92202.0,51747.1,92110.0,105650.0,97012.0,,40161.0,147477.9,95419.9,,115385.0,111973.0,113524.7,101586.2,120064.0,52436.5,108113.5,113827.8,113531.5,113695.3,104150.5,116098.0,,125505.3,95032.5,,101449.2,110646.9,97114.4,103023.5,69450.2,47199.0,138256.1,10807.0,-29647.9,10715.0,24255.0,15617.0,,-41234.0,66082.9,14024.9,,33990.0,30578.0,32129.7,20191.2,38669.0,-28958.5,26718.5,32432.8,32136.5,32300.3,22755.5,34703.0,,44110.3,13637.5,,20054.2,29251.9,15719.4,21628.5,-11944.8,-34196.0,56861.1,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Wyoming,10047,10568.0,12773.9,10641.7,11264.0,9223.0,,6976.0,13441.2,11468.9,,11894.0,11486.0,9878.7,19403.3,14120.0,5407.6,12043.0,14078.8,14180.5,10940.3,12213.5,12496.0,,14348.4,11823.7,,10872.5,9014.2,11916.5,15108.2,7279.3,7701.0,14631.8,521.0,2726.9,594.7,1217.0,-824.0,,-3071.0,3394.2,1421.9,,1847.0,1439.0,-168.3,9356.3,4073.0,-4639.4,1996.0,4031.8,4133.5,893.3,2166.5,2449.0,,4301.4,1776.7,,825.5,-1032.8,1869.5,5061.2,-2767.7,-2346.0,4584.8,False,False,False,False,,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
US,2356603,2035620.0,2602405.4,2051904.9,2424583.0,2358452.0,3445233.0,1524670.0,3356109.6,,2383105.0,2085436.0,2112460.0,2135559.7,2851979.1,2541188.0,1643269.4,,2766879.6,2930634.5,2706841.9,2440513.1,2532350.0,2368480.5,3200776.0,1433265.0,1828200.0,2293167.4,,2631140.0,2968834.9,2239489.2,1926737.0,2779078.7,-320983.0,245802.4,-304698.1,67980.0,1849.0,1088630.0,-831933.0,999506.6,,26502.0,-271167.0,-244143.0,-221043.3,495376.1,184585.0,-713333.6,,410276.6,574031.5,350238.9,83910.1,175747.0,11877.5,844173.0,-923338.0,-528403.0,-63435.6,,274537.0,612231.9,-117113.8,-429866.0,422475.7,True,True,True,True,False,False,False,,True,True,True,True,False,True,False,,False,False,False,True,True,True,False,False,False,True,,True,False,True,False,False
