,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
06059,12175,5686.0,,5505.7,7637.6,5841.0,7689.0,,,,6892.3,,,6207.0,,4989.6,,4773.8,5230.5,,6563.5,9339.6,,8303.0,1807.0,,,,,4028.5,8807.3,7284.0,,,,6960.1,-6489.0,,-6669.3,-4537.4,-6334.0,-4486.0,,,,-5282.7,,,-5968.0,,-7185.4,,-7401.2,-6944.5,,-5611.5,-2835.4,,-3872.0,-10368.0,,,,,-8146.5,-3367.7,-4891.0,,,,-5214.9,,False,True,True,True,,,,True,,,True,,False,,False,False,,True,True,,True,False,,,,,False,True,True,,,,True
06061,1220,884.0,,884.4,,947.0,924.0,,,,561.7,,,808.0,,1004.3,,877.6,888.0,,1590.0,1073.0,,1202.0,596.0,,,,,632.1,1652.0,1016.0,,,,1191.3,-336.0,,-335.6,,-273.0,-296.0,,,,-658.3,,,-412.0,,-215.7,,-342.4,-332.0,,370.0,-147.0,,-18.0,-624.0,,,,,-587.9,432.0,-204.0,,,,-28.7,,True,,True,True,,,,False,,,False,,True,,False,True,,False,True,,True,False,,,,,False,False,True,,,,True
06063,69,74.0,,74.7,,75.0,41.0,,,,41.6,,,32.0,,141.4,,30.6,,,139.0,74.6,,80.0,53.0,,,,,,93.5,,,,,103.4,5.0,,5.7,,6.0,-28.0,,,,-27.4,,,-37.0,,72.4,,-38.4,,,70.0,5.6,,11.0,-16.0,,,,,,24.5,,,,,34.4,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,False,,,,,False
06065,11594,6968.0,,7006.0,10596.9,7007.0,8616.0,,,,6770.6,,,8256.0,,6669.0,,7856.2,6063.5,,8317.5,8674.1,,9536.0,3551.0,,,,,5285.3,9830.3,5682.0,,,,9714.3,-4626.0,,-4588.0,-997.1,-4587.0,-2978.0,,,,-4823.4,,,-3338.0,,-4925.0,,-3737.8,-5530.5,,-3276.5,-2919.9,,-2058.0,-8043.0,,,,,-6308.7,-1763.7,-5912.0,,,,-1879.7,,True,True,True,True,,,,False,,,True,,False,,True,False,,True,True,,True,False,,,,,False,True,False,,,,True
06067,6742,4614.0,,4768.0,7456.4,5151.0,6901.0,,,,5820.8,,,3238.0,,7104.0,,2832.9,4271.5,,5642.5,7125.6,,6494.0,1435.0,,,,,3424.7,7756.4,5110.0,,,,4911.6,-2128.0,,-1974.0,714.4,-1591.0,159.0,,,,-921.2,,,-3504.0,,362.0,,-3909.1,-2470.5,,-1099.5,383.6,,-248.0,-5307.0,,,,,-3317.3,1014.4,-1632.0,,,,-1830.4,,True,True,True,True,,,,True,,,False,,True,,False,False,,True,True,,True,False,,,,,False,True,True,,,,True
06069,272,168.0,,174.6,,175.0,247.0,,,,102.2,,,125.0,,310.4,,72.6,144.0,,242.0,250.7,,252.0,51.0,,,,,143.5,340.6,,,,,189.8,-104.0,,-97.4,,-97.0,-25.0,,,,-169.8,,,-147.0,,38.4,,-199.4,-128.0,,-30.0,-21.3,,-20.0,-221.0,,,,,-128.5,68.6,,,,,-82.2,,True,,True,True,,,,False,,,False,,True,,False,False,,True,True,,True,False,,,,,False,True,,,,,True
06071,18249,11346.0,,11156.8,16446.0,11157.0,17210.0,,,,10143.5,,,7839.0,,13408.2,,8471.9,10061.0,,10182.5,12684.3,,13372.0,3428.0,,,,,8108.7,13102.3,7495.0,,,,11516.3,-6903.0,,-7092.2,-1803.0,-7092.0,-1039.0,,,,-8105.5,,,-10410.0,,-4840.8,,-9777.1,-8188.0,,-8066.5,-5564.7,,-4877.0,-14821.0,,,,,-10140.3,-5146.7,-10754.0,,,,-6732.7,,False,True,False,True,,,,False,,,False,,True,,False,False,,False,True,,True,False,,,,,False,True,False,,,,True
06073,16337,8050.0,,8075.2,11062.9,8076.0,10542.0,,,,10274.3,,,5845.0,,9170.6,,7413.1,7423.0,,10872.0,13500.8,,10798.0,4423.0,,,,,5888.0,9767.5,8499.0,,,,8246.4,-8287.0,,-8261.8,-5274.1,-8261.0,-5795.0,,,,-6062.7,,,-10492.0,,-7166.4,,-8923.9,-8914.0,,-5465.0,-2836.2,,-5539.0,-11914.0,,,,,-10449.0,-6569.5,-7838.0,,,,-8090.6,,True,True,True,True,,,,True,,,False,,True,,False,False,,True,True,,True,False,,,,,False,True,True,,,,True
06075,1861,1312.0,,1321.2,1954.4,1392.0,1256.0,,,,1409.3,,,1190.0,,2221.9,,1687.1,,,2202.5,2036.8,,1952.0,1070.0,,,,,1088.0,2122.6,1918.0,,,,1463.5,-549.0,,-539.8,93.4,-469.0,-605.0,,,,-451.7,,,-671.0,,360.9,,-173.9,,,341.5,175.8,,91.0,-791.0,,,,,-773.0,261.6,57.0,,,,-397.5,,True,True,True,False,,,,True,,,False,,True,,True,,,True,True,,True,False,,,,,False,True,True,,,,True
06077,2224,1764.0,,1802.2,2639.4,1742.0,2396.0,,,,3312.6,,,1927.0,,834.1,,1022.3,1386.0,,1489.0,1799.5,,2118.0,508.0,,,,,1641.6,2944.2,1674.0,,,,1897.4,-460.0,,-421.8,415.4,-482.0,172.0,,,,1088.6,,,-297.0,,-1389.9,,-1201.7,-838.0,,-735.0,-424.5,,-106.0,-1716.0,,,,,-582.4,720.2,-550.0,,,,-326.6,,True,True,False,True,,,,False,,,True,,False,,False,False,,False,True,,True,False,,,,,False,False,False,,,,True
06079,1091,940.0,,915.7,,903.0,1671.0,,,,581.4,,,661.0,,1917.0,,768.0,785.0,,1069.0,895.9,,1173.0,506.0,,,,,673.6,1650.7,1010.0,,,,936.6,-151.0,,-175.3,,-188.0,580.0,,,,-509.6,,,-430.0,,826.0,,-323.0,-306.0,,-22.0,-195.1,,82.0,-585.0,,,,,-417.4,559.7,-81.0,,,,-154.4,,False,,False,False,,,,False,,,False,,False,,False,False,,True,False,,True,False,,,,,False,False,True,,,,False
06081,1683,1310.0,,1294.0,1862.4,1310.0,1958.0,,,,1632.1,,,941.0,,1142.3,,1487.2,1043.5,,1472.0,1439.4,,1554.0,240.0,,,,,1051.3,1886.6,1574.0,,,,1451.1,-373.0,,-389.0,179.4,-373.0,275.0,,,,-50.9,,,-742.0,,-540.7,,-195.8,-639.5,,-211.0,-243.6,,-129.0,-1443.0,,,,,-631.7,203.6,-109.0,,,,-231.9,,False,True,False,True,,,,True,,,False,,False,,True,False,,True,True,,True,False,,,,,False,True,True,,,,True
06083,927,574.0,,574.0,,574.0,884.0,,,,733.9,,,975.0,,461.1,,895.5,474.5,,863.5,930.7,,878.0,202.0,,,,,443.6,1354.3,364.0,,,,1143.4,-353.0,,-353.0,,-353.0,-43.0,,,,-193.1,,,48.0,,-465.9,,-31.5,-452.5,,-63.5,3.7,,-49.0,-725.0,,,,,-483.4,427.3,-563.0,,,,216.4,,True,,False,True,,,,True,,,True,,False,,True,False,,True,True,,True,False,,,,,False,False,False,,,,True
06085,5755,3680.0,,3674.0,4719.4,3680.0,4426.0,,,,4969.9,,,2605.0,,4138.6,,3796.7,3300.5,,4539.0,5304.0,,5055.0,1641.0,,,,,3044.3,4966.2,2700.0,,,,3698.7,-2075.0,,-2081.0,-1035.6,-2075.0,-1329.0,,,,-785.1,,,-3150.0,,-1616.4,,-1958.3,-2454.5,,-1216.0,-451.0,,-700.0,-4114.0,,,,,-2710.7,-788.8,-3055.0,,,,-2056.3,,False,True,False,True,,,,True,,,False,,True,,True,False,,True,True,,True,False,,,,,False,True,False,,,,True
06087,1004,564.0,,571.0,,564.0,715.0,,,,284.6,,,289.0,,670.3,,578.1,467.5,,679.5,632.5,,773.0,251.0,,,,,455.8,943.6,521.0,,,,522.5,-440.0,,-433.0,,-440.0,-289.0,,,,-719.4,,,-715.0,,-333.7,,-425.9,-536.5,,-324.5,-371.5,,-231.0,-753.0,,,,,-548.2,-60.4,-483.0,,,,-481.5,,True,,False,True,,,,False,,,False,,True,,True,False,,True,True,,True,False,,,,,False,True,False,,,,False
06089,1735,1016.0,,984.8,,1016.0,1580.0,,,,409.6,,,454.0,,959.3,,1064.6,908.5,,1515.5,1469.6,,1739.0,316.0,,,,,661.5,1444.9,1431.0,,,,1130.9,-719.0,,-750.2,,-719.0,-155.0,,,,-1325.4,,,-1281.0,,-775.7,,-670.4,-826.5,,-219.5,-265.4,,4.0,-1419.0,,,,,-1073.5,-290.1,-304.0,,,,-604.1,,False,,False,True,,,,False,,,False,,False,,True,False,,True,True,,True,False,,,,,False,True,True,,,,True
06091,8,8.0,,7.3,,7.0,0.0,,,,2.2,,,10.0,,112.1,,0.9,,,0.0,2.8,,,2.0,,,,,,13.0,,,,,6.9,0.0,,-0.7,,-1.0,-8.0,,,,-5.8,,,2.0,,104.1,,-7.1,,,-8.0,-5.2,,,-6.0,,,,,,5.0,,,,,-1.1,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,,False,,,,,,False,,,,,False
06093,252,160.0,,157.2,,146.0,155.0,,,,102.0,,,51.0,,42.7,,145.5,142.0,,272.0,139.0,,168.0,402.0,,,,,,180.1,,,,,298.7,-92.0,,-94.8,,-106.0,-97.0,,,,-150.0,,,-201.0,,-209.3,,-106.5,-110.0,,20.0,-113.0,,-84.0,150.0,,,,,,-71.9,,,,,46.7,,False,,False,False,,,,False,,,False,,False,,False,False,,True,False,,True,False,,,,,,True,,,,,True
06095,1315,1194.0,,1191.6,,1122.0,1229.0,,,,1195.9,,,766.0,,1423.9,,1069.5,1005.5,,1077.0,1176.6,,1352.0,538.0,,,,,890.1,2052.4,671.0,,,,1730.6,-121.0,,-123.4,,-193.0,-86.0,,,,-119.1,,,-549.0,,108.9,,-245.5,-309.5,,-238.0,-138.4,,37.0,-777.0,,,,,-424.9,737.4,-644.0,,,,415.6,,False,,False,True,,,,True,,,False,,True,,False,False,,False,False,,True,False,,,,,False,False,False,,,,False
06097,1302,998.0,,966.6,,935.0,845.0,,,,757.8,,,819.0,,918.7,,1394.4,1023.0,,1016.0,1378.8,,1168.0,1034.0,,,,,797.3,1431.8,711.0,,,,1359.3,-304.0,,-335.4,,-367.0,-457.0,,,,-544.2,,,-483.0,,-383.3,,92.4,-279.0,,-286.0,76.8,,-134.0,-268.0,,,,,-504.7,129.8,-591.0,,,,57.3,,False,,False,False,,,,False,,,False,,False,,True,True,,True,True,,True,True,,,,,False,True,False,,,,True
06099,2441,1552.0,,1562.7,2426.4,1651.0,2602.0,,,,2332.2,,,1630.0,,2024.4,,1201.9,1333.5,,2054.0,2453.4,,2129.0,571.0,,,,,1112.0,2687.3,1631.0,,,,1828.1,-889.0,,-878.3,-14.6,-790.0,161.0,,,,-108.8,,,-811.0,,-416.6,,-1239.1,-1107.5,,-387.0,12.4,,-312.0,-1870.0,,,,,-1329.0,246.3,-810.0,,,,-612.9,,True,True,True,True,,,,True,,,True,,True,,False,False,,True,True,,True,False,,,,,False,True,True,,,,True
06101,1010,284.0,,281.7,,292.0,421.0,,,,166.3,,,204.0,,447.3,,260.0,283.5,,416.0,391.6,,473.0,359.0,,,,,250.1,667.6,,,,,323.3,-726.0,,-728.3,,-718.0,-589.0,,,,-843.7,,,-806.0,,-562.7,,-750.0,-726.5,,-594.0,-618.4,,-537.0,-651.0,,,,,-759.9,-342.4,,,,,-686.7,,False,,True,True,,,,False,,,False,,True,,False,False,,True,True,,True,True,,,,,False,True,,,,,True
06103,482,286.0,,294.2,,273.0,291.0,,,,186.6,,,132.0,,202.3,,331.1,286.0,,232.0,381.2,,431.0,66.0,,,,,204.3,373.8,,,,,341.3,-196.0,,-187.8,,-209.0,-191.0,,,,-295.4,,,-350.0,,-279.7,,-150.9,-196.0,,-250.0,-100.8,,-51.0,-416.0,,,,,-277.7,-108.2,,,,,-140.7,,True,,False,True,,,,False,,,False,,False,,True,False,,False,True,,True,False,,,,,False,True,,,,,True
06105,90,50.0,,50.7,,45.0,5.0,,,,20.7,,,13.0,,173.9,,63.8,,,50.0,33.4,,51.0,99.0,,,,,,47.4,,,,,84.1,-40.0,,-39.3,,-45.0,-85.0,,,,-69.3,,,-77.0,,83.9,,-26.2,,,-40.0,-56.6,,-39.0,9.0,,,,,,-42.6,,,,,-5.9,,True,,False,False,,,,False,,,False,,False,,True,,,False,False,,True,True,,,,,,False,,,,,True
06107,1753,1168.0,,1158.9,1675.2,1129.0,1441.0,,,,1514.3,,,1649.0,,843.6,,1259.3,927.0,,983.0,1260.7,,1419.0,522.0,,,,,876.7,1783.1,597.0,,,,1129.1,-585.0,,-594.1,-77.8,-624.0,-312.0,,,,-238.7,,,-104.0,,-909.4,,-493.7,-826.0,,-770.0,-492.3,,-334.0,-1231.0,,,,,-876.3,30.1,-1156.0,,,,-623.9,,False,True,False,True,,,,True,,,True,,False,,True,False,,False,True,,True,False,,,,,False,True,False,,,,False
06109,514,276.0,,273.6,,263.0,624.0,,,,124.5,,,91.0,,681.3,,331.1,204.0,,292.0,219.6,,289.0,37.0,,,,,,331.2,,,,,389.2,-238.0,,-240.4,,-251.0,110.0,,,,-389.5,,,-423.0,,167.3,,-182.9,-310.0,,-222.0,-294.4,,-225.0,-477.0,,,,,,-182.8,,,,,-124.8,,False,,False,True,,,,False,,,False,,True,,True,False,,True,False,,True,False,,,,,,True,,,,,True
06111,3207,1900.0,,1921.7,3151.7,1921.0,2415.0,,,,1723.6,,,1787.0,,2677.1,,2031.3,1683.0,,2386.5,2375.4,,2586.0,602.0,,,,,1412.3,3531.7,2006.0,,,,1799.7,-1307.0,,-1285.3,-55.3,-1286.0,-792.0,,,,-1483.4,,,-1420.0,,-529.9,,-1175.7,-1524.0,,-820.5,-831.6,,-621.0,-2605.0,,,,,-1794.7,324.7,-1201.0,,,,-1407.3,,True,True,True,True,,,,False,,,False,,True,,True,False,,True,True,,True,False,,,,,False,True,True,,,,False
06113,976,596.0,,579.3,,695.0,1071.0,,,,373.5,,,342.0,,976.6,,636.6,544.5,,801.0,826.4,,829.0,197.0,,,,,427.7,1118.2,1235.0,,,,880.1,-380.0,,-396.7,,-281.0,95.0,,,,-602.5,,,-634.0,,0.6,,-339.4,-431.5,,-175.0,-149.6,,-147.0,-779.0,,,,,-548.3,142.2,259.0,,,,-95.9,,False,,True,True,,,,False,,,False,,True,,True,False,,True,True,,True,False,,,,,False,True,True,,,,True
06115,452,190.0,,190.2,,190.0,230.0,,,,136.8,,,188.0,,157.2,,178.5,185.5,,225.0,237.3,,294.0,175.0,,,,,157.5,499.9,,,,,213.2,-262.0,,-261.8,,-262.0,-222.0,,,,-315.2,,,-264.0,,-294.8,,-273.5,-266.5,,-227.0,-214.7,,-158.0,-277.0,,,,,-294.5,47.9,,,,,-238.8,,True,,False,True,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,True
08001,6995,7790.0,,7622.4,11496.7,8853.0,8853.0,,,,9016.8,,,6939.0,,5563.2,,6429.6,9162.5,,10917.5,9656.1,,8982.0,,,,,,7142.2,9484.7,9938.0,,,,13651.8,795.0,,627.4,4501.7,1858.0,1858.0,,,,2021.8,,,-56.0,,-1431.8,,-565.4,2167.5,,3922.5,2661.1,,1987.0,,,,,,147.2,2489.7,2943.0,,,,6656.8,,True,False,False,False,,,,False,,,True,,False,,True,False,,False,False,,False,,,,,,True,False,False,,,,False
08003,145,120.0,,129.9,,132.0,152.0,,,,58.4,,,157.0,,74.1,,69.0,,,169.0,137.0,,137.0,255.0,,,,,,163.9,,,,,116.1,-25.0,,-15.1,,-13.0,7.0,,,,-86.6,,,12.0,,-70.9,,-76.0,,,24.0,-8.0,,-8.0,110.0,,,,,,18.9,,,,,-28.9,,True,,True,True,,,,False,,,True,,False,,False,,,True,True,,True,False,,,,,,True,,,,,False
08005,6961,6930.0,,6952.2,11239.8,7944.0,7944.0,,,,5816.0,,,7012.0,,6568.8,,5389.5,8111.5,,12284.5,9000.1,,8374.0,3371.0,,,,,5973.4,9971.4,11591.0,,,,12879.9,-31.0,,-8.8,4278.8,983.0,983.0,,,,-1145.0,,,51.0,,-392.2,,-1571.5,1150.5,,5323.5,2039.1,,1413.0,-3590.0,,,,,-987.6,3010.4,4630.0,,,,5918.9,,True,False,False,False,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,False,,,,False
08007,131,42.0,,42.2,,42.0,33.0,,,,24.4,,,33.0,,139.9,,18.2,,,48.0,45.5,,60.0,,,,,,,71.8,,,,,74.8,-89.0,,-88.8,,-89.0,-98.0,,,,-106.6,,,-98.0,,8.9,,-112.8,,,-83.0,-85.5,,-71.0,,,,,,,-59.2,,,,,-56.2,,True,,False,False,,,,False,,,False,,True,,False,,,True,True,,True,,,,,,,True,,,,,True
08009,61,6.0,,5.6,,2.0,0.0,,,,4.7,,,38.0,,1.9,,0.5,,,0.0,2.6,,6.0,29.0,,,,,,18.0,,,,,4.8,-55.0,,-55.4,,-59.0,-61.0,,,,-56.3,,,-23.0,,-59.1,,-60.5,,,-61.0,-58.4,,-55.0,-32.0,,,,,,-43.0,,,,,-56.2,,False,,False,False,,,,False,,,True,,False,,False,,,False,False,,False,True,,,,,,True,,,,,False
08011,142,18.0,,17.8,,19.0,,,,,12.6,,,40.0,,21.7,,16.5,,,14.0,17.2,,18.0,15.0,,,,,,32.5,,,,,23.1,-124.0,,-124.2,,-123.0,,,,,-129.4,,,-102.0,,-120.3,,-125.5,,,-128.0,-124.8,,-124.0,-127.0,,,,,,-109.5,,,,,-118.9,,False,,True,,,,,False,,,True,,True,,False,,,False,False,,False,False,,,,,,True,,,,,True
08013,2527,3024.0,,2969.6,,3537.0,4309.0,,,,3724.4,,,2135.0,,4423.6,,1882.5,3481.5,,5634.5,4066.9,,3827.0,,,,,,2505.7,4238.7,4306.0,,,,3525.3,497.0,,442.6,,1010.0,1782.0,,,,1197.4,,,-392.0,,1896.6,,-644.5,954.5,,3107.5,1539.9,,1300.0,,,,,,-21.3,1711.7,1779.0,,,,998.3,,True,,False,False,,,,False,,,True,,False,,False,False,,False,False,,False,,,,,,True,False,False,,,,False
08014,495,490.0,,489.4,,519.0,594.0,,,,224.6,,,656.0,,318.5,,319.4,614.0,,700.0,547.6,,618.0,,,,,,426.2,,,,,,,-5.0,,-5.6,,24.0,99.0,,,,-270.4,,,161.0,,-176.5,,-175.6,119.0,,205.0,52.6,,123.0,,,,,,-68.8,,,,,,,,False,,False,False,,,,False,,,False,,False,,False,False,,False,False,,False,,,,,,False,,,,,,
08015,140,52.0,,51.3,,62.0,69.0,,,,29.1,,,154.0,,20.9,,33.6,,,103.0,92.4,,105.0,100.0,,,,,,101.7,,,,,64.5,-88.0,,-88.7,,-78.0,-71.0,,,,-110.9,,,14.0,,-119.1,,-106.4,,,-37.0,-47.6,,-35.0,-40.0,,,,,,-38.3,,,,,-75.5,,False,,True,True,,,,False,,,True,,False,,False,,,True,True,,True,True,,,,,,True,,,,,True
08017,31,22.0,,21.2,,20.0,0.0,,,,10.9,,,21.0,,150.9,,2.2,,,2.0,8.7,,,1.0,,,,,,36.5,,,,,20.9,-9.0,,-9.8,,-11.0,-31.0,,,,-20.1,,,-10.0,,119.9,,-28.8,,,-29.0,-22.3,,,-30.0,,,,,,5.5,,,,,-10.1,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,,False,,,,,,True,,,,,False
08019,46,78.0,,85.3,,67.0,73.0,,,,32.3,,,45.0,,47.5,,6.0,,,141.0,62.5,,74.0,29.0,,,,,,77.4,,,,,61.9,32.0,,39.3,,21.0,27.0,,,,-13.7,,,-1.0,,1.5,,-40.0,,,95.0,16.5,,28.0,-17.0,,,,,,31.4,,,,,15.9,,False,,True,True,,,,True,,,True,,True,,False,,,False,True,,True,True,,,,,,True,,,,,True
08021,44,40.0,,39.7,,39.0,14.0,,,,37.6,,,37.0,,10.2,,32.1,,,45.0,58.2,,68.0,80.0,,,,,,46.2,,,,,50.1,-4.0,,-4.3,,-5.0,-30.0,,,,-6.4,,,-7.0,,-33.8,,-11.9,,,1.0,14.2,,24.0,36.0,,,,,,2.2,,,,,6.1,,False,,False,False,,,,False,,,False,,False,,False,,,True,False,,False,False,,,,,,True,,,,,False
08023,25,24.0,,24.4,,24.0,,,,,12.6,,,31.0,,27.2,,3.2,,,9.0,19.0,,21.0,9.0,,,,,,18.3,,,,,36.7,-1.0,,-0.6,,-1.0,,,,,-12.4,,,6.0,,2.2,,-21.8,,,-16.0,-6.0,,-4.0,-16.0,,,,,,-6.7,,,,,11.7,,True,,False,,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,False,,,,,False
08025,608,824.0,,869.8,,596.0,162.0,,,,396.3,,,99.0,,397.3,,21.9,,,2273.0,595.7,,,6.0,,,,,,434.5,,,,,1012.5,216.0,,261.8,,-12.0,-446.0,,,,-211.7,,,-509.0,,-210.7,,-586.1,,,1665.0,-12.3,,,-602.0,,,,,,-173.5,,,,,404.5,,False,,True,False,,,,True,,,False,,True,,False,,,False,True,,,False,,,,,,True,,,,,False
08027,17,36.0,,36.2,,27.0,1.0,,,,15.1,,,23.0,,54.4,,10.2,,,11.0,26.6,,,18.0,,,,,,48.2,,,,,76.4,19.0,,19.2,,10.0,-16.0,,,,-1.9,,,6.0,,37.4,,-6.8,,,-6.0,9.6,,,1.0,,,,,,31.2,,,,,59.4,,False,,True,True,,,,True,,,True,,False,,True,,,True,True,,,True,,,,,,False,,,,,False
08029,252,158.0,,160.0,,165.0,207.0,,,,85.2,,,108.0,,238.6,,108.7,142.0,,632.0,206.3,,218.0,56.0,,,,,,166.4,,,,,168.1,-94.0,,-92.0,,-87.0,-45.0,,,,-166.8,,,-144.0,,-13.4,,-143.3,-110.0,,380.0,-45.7,,-34.0,-196.0,,,,,,-85.6,,,,,-83.9,,True,,True,True,,,,False,,,False,,True,,False,False,,False,True,,True,False,,,,,,True,,,,,True
08031,8918,8702.0,,8591.6,13555.1,9109.0,9200.0,,,,10452.9,,,7686.0,,8407.2,,5912.8,10808.5,,16032.0,11122.8,,11184.0,4769.0,,,,,7922.1,10358.8,15126.0,,,,10788.0,-216.0,,-326.4,4637.1,191.0,282.0,,,,1534.9,,,-1232.0,,-510.8,,-3005.2,1890.5,,7114.0,2204.8,,2266.0,-4149.0,,,,,-995.9,1440.8,6208.0,,,,1870.0,,False,False,True,False,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,False,,,,False
08033,16,0.0,,0.0,,0.0,0.0,,,,1.1,,,9.0,,0.0,,1.3,,,,0.1,,0.0,3.0,,,,,,17.7,,,,,2.4,-16.0,,-16.0,,-16.0,-16.0,,,,-14.9,,,-7.0,,-16.0,,-14.7,,,,-15.9,,-16.0,-13.0,,,,,,1.7,,,,,-13.6,,False,,False,False,,,,True,,,True,,False,,True,,,,True,,False,True,,,,,,True,,,,,True
08035,3512,3102.0,,3077.1,,3273.0,3835.0,,,,3720.3,,,2459.0,,3324.5,,2359.3,4185.5,,5390.0,3964.7,,4045.0,1733.0,,,,,2793.1,4341.2,4818.0,,,,2237.5,-410.0,,-434.9,,-239.0,323.0,,,,208.3,,,-1053.0,,-187.5,,-1152.7,673.5,,1878.0,452.7,,533.0,-1779.0,,,,,-718.9,829.2,1306.0,,,,-1274.5,,False,,True,True,,,,True,,,False,,True,,False,False,,False,False,,False,False,,,,,False,False,False,,,,False
08037,485,388.0,,386.7,,390.0,701.0,,,,211.6,,,356.0,,405.4,,239.6,403.5,,697.0,479.0,,550.0,252.0,,,,,305.2,683.9,,,,,523.4,-97.0,,-98.3,,-95.0,216.0,,,,-273.4,,,-129.0,,-79.6,,-245.4,-81.5,,212.0,-6.0,,65.0,-233.0,,,,,-179.8,198.9,,,,,38.4,,False,,True,False,,,,False,,,False,,True,,False,True,,False,True,,True,False,,,,,False,False,,,,,True
08039,212,158.0,,163.5,,207.0,265.0,,,,64.3,,,184.0,,201.4,,69.7,,,343.0,219.0,,234.0,100.0,,,,,,187.1,,,,,251.8,-54.0,,-48.5,,-5.0,53.0,,,,-147.7,,,-28.0,,-10.6,,-142.3,,,131.0,7.0,,22.0,-112.0,,,,,,-24.9,,,,,39.8,,True,,True,True,,,,False,,,True,,True,,False,,,False,True,,True,False,,,,,,True,,,,,True
08041,8247,8048.0,,8325.6,13595.3,9394.0,9567.0,,,,9080.2,,,7750.0,,8898.0,,6665.9,10465.0,,13177.5,10076.7,,9426.0,2481.0,,,,,5835.6,10383.8,12918.0,,,,11985.1,-199.0,,78.6,5348.3,1147.0,1320.0,,,,833.2,,,-497.0,,651.0,,-1581.1,2218.0,,4930.5,1829.7,,1179.0,-5766.0,,,,,-2411.4,2136.8,4671.0,,,,3738.1,,True,False,False,False,,,,False,,,False,,False,,False,False,,False,False,,False,False,,,,,False,False,False,,,,False
