,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
18021,236,255.0,,255.4,,255.0,307.0,,,,,211.3,,337.8,,,217.0,,210.1,,112.7,,428.0,271.7,,277.0,259.0,,,,,,248.5,,,,,266.7,205.9,19.0,,19.4,,19.0,71.0,,,,,-24.7,,101.8,,,-19.0,,-25.9,,-123.3,,192.0,35.7,,41.0,23.0,,,,,,12.5,,,,,30.7,-30.1,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,,True,,,,,False,False
18023,193,247.0,,248.0,,239.0,227.0,,,,,252.6,,287.8,,,221.0,,208.8,,164.6,,258.0,233.5,,291.0,265.0,,,,,244.0,288.9,,,,,307.0,106.3,54.0,,55.0,,46.0,34.0,,,,,59.6,,94.8,,,28.0,,15.8,,-28.4,,65.0,40.5,,98.0,72.0,,,,,51.0,95.9,,,,,114.0,-86.7,,False,,True,True,,,,,False,,False,,,True,,True,,True,,False,True,,False,False,,,,,True,False,,,,,False,False
18025,48,40.0,,39.2,,40.0,39.0,,,,,39.7,,51.5,,,48.0,,53.9,,9.6,,48.0,41.9,,49.0,45.0,,,,,,47.0,,,,,39.7,25.3,-8.0,,-8.8,,-8.0,-9.0,,,,,-8.3,,3.5,,,0.0,,5.9,,-38.4,,0.0,-6.1,,1.0,-3.0,,,,,,-1.0,,,,,-8.3,-22.7,,False,,False,False,,,,,False,,True,,,True,,True,,False,,True,True,,True,True,,,,,,True,,,,,False,False
18027,238,185.0,,180.8,,191.0,157.0,,,,,217.4,,221.3,,,239.0,,196.2,,117.0,,272.0,292.8,,200.0,201.0,,,,,182.4,167.4,,,,,224.9,132.9,-53.0,,-57.2,,-47.0,-81.0,,,,,-20.6,,-16.7,,,1.0,,-41.8,,-121.0,,34.0,54.8,,-38.0,-37.0,,,,,-55.6,-70.6,,,,,-13.1,-105.1,,False,,True,False,,,,,True,,True,,,True,,True,,False,,True,False,,True,True,,,,,False,False,,,,,True,False
18029,337,371.0,,371.3,,371.0,490.0,,,,,320.9,,430.3,,,258.0,,587.5,,221.6,,468.0,352.3,,456.0,385.0,,,,,361.6,389.6,,,,,555.7,260.5,34.0,,34.3,,34.0,153.0,,,,,-16.1,,93.3,,,-79.0,,250.5,,-115.4,,131.0,15.3,,119.0,48.0,,,,,24.6,52.6,,,,,218.7,-76.5,,False,,False,False,,,,,True,,False,,,False,,False,,False,,False,True,,False,False,,,,,True,False,,,,,False,False
18031,170,189.0,,189.4,,167.0,323.0,,,,,190.3,,217.2,,,167.0,,145.2,,80.1,,123.0,158.2,,216.0,219.0,,,,,,217.8,,,,,194.9,286.5,19.0,,19.4,,-3.0,153.0,,,,,20.3,,47.2,,,-3.0,,-24.8,,-89.9,,-47.0,-11.8,,46.0,49.0,,,,,,47.8,,,,,24.9,116.5,,False,,True,False,,,,,False,,False,,,True,,False,,False,,False,True,,False,False,,,,,,False,,,,,False,False
18033,219,311.0,,310.7,,311.0,377.0,,,,,284.9,,327.5,,,337.0,,415.3,,163.0,,297.0,272.2,,372.0,344.0,,,,,262.6,339.8,,,,,430.9,327.3,92.0,,91.7,,92.0,158.0,,,,,65.9,,108.5,,,118.0,,196.3,,-56.0,,78.0,53.2,,153.0,125.0,,,,,43.6,120.8,,,,,211.9,108.3,,True,,False,False,,,,,True,,False,,,False,,False,,True,,True,True,,False,False,,,,,True,False,,,,,False,False
18035,477,604.0,,630.3,,596.0,799.0,,,,,597.8,,683.4,,,829.0,,532.2,,339.9,,534.0,557.0,,664.0,629.0,,,,,621.7,671.2,,,,,588.8,551.4,127.0,,153.3,,119.0,322.0,,,,,120.8,,206.4,,,352.0,,55.2,,-137.1,,57.0,80.0,,187.0,152.0,,,,,144.7,194.2,,,,,111.8,74.4,,False,,True,False,,,,,True,,False,,,False,,True,,False,,True,True,,False,False,,,,,False,False,,,,,True,True
18037,219,214.0,,210.5,,211.0,212.0,,,,,264.7,,287.2,,,246.0,,127.5,,159.7,,273.0,232.0,,236.0,249.0,,,,,210.3,277.0,,,,,205.6,245.8,-5.0,,-8.5,,-8.0,-7.0,,,,,45.7,,68.2,,,27.0,,-91.5,,-59.3,,54.0,13.0,,17.0,30.0,,,,,-8.7,58.0,,,,,-13.4,26.8,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,False,False,,,,,False,False
18039,1754,2096.0,,2110.9,2243.9,1998.0,2161.0,,,,,2284.6,,2257.2,,,1907.0,,1997.0,,1519.4,,1827.0,1999.3,,2511.0,2292.0,,,,,1907.7,1977.7,2022.0,,,,1889.3,2261.8,342.0,,356.9,489.9,244.0,407.0,,,,,530.6,,503.2,,,153.0,,243.0,,-234.6,,73.0,245.3,,757.0,538.0,,,,,153.7,223.7,268.0,,,,135.3,507.8,,False,False,True,False,,,,,False,,False,,,True,,True,,True,,True,True,,False,False,,,,,True,True,True,,,,True,False
18041,161,171.0,,173.4,,165.0,180.0,,,,,195.2,,206.9,,,188.0,,157.5,,93.7,,132.0,159.1,,159.0,182.0,,,,,173.1,213.8,,,,,159.0,145.2,10.0,,12.4,,4.0,19.0,,,,,34.2,,45.9,,,27.0,,-3.5,,-67.3,,-29.0,-1.9,,-2.0,21.0,,,,,12.1,52.8,,,,,-2.0,-15.8,,False,,True,False,,,,,False,,False,,,False,,True,,False,,False,True,,True,False,,,,,False,False,,,,,True,False
18043,377,348.0,,339.8,,344.0,339.0,,,,,394.1,,462.5,,,390.0,,459.6,,222.3,,459.0,397.5,,462.0,379.0,,,,,335.1,514.2,,,,,303.3,227.7,-29.0,,-37.2,,-33.0,-38.0,,,,,17.1,,85.5,,,13.0,,82.6,,-154.7,,82.0,20.5,,85.0,2.0,,,,,-41.9,137.2,,,,,-73.7,-149.3,,False,,False,False,,,,,True,,False,,,True,,False,,False,,False,True,,False,True,,,,,False,False,,,,,False,False
18045,111,132.0,,131.5,,125.0,127.0,,,,,120.3,,161.7,,,122.0,,153.4,,40.0,,125.0,117.1,,163.0,139.0,,,,,,157.8,,,,,107.5,54.4,21.0,,20.5,,14.0,16.0,,,,,9.3,,50.7,,,11.0,,42.4,,-71.0,,14.0,6.1,,52.0,28.0,,,,,,46.8,,,,,-3.5,-56.6,,True,,True,True,,,,,True,,False,,,True,,False,,False,,True,True,,False,False,,,,,,False,,,,,True,False
18047,123,93.0,,94.3,,103.0,125.0,,,,,92.6,,107.8,,,116.0,,103.3,,32.0,,146.0,104.6,,106.0,101.0,,,,,,96.7,,,,,84.1,31.5,-30.0,,-28.7,,-20.0,2.0,,,,,-30.4,,-15.2,,,-7.0,,-19.7,,-91.0,,23.0,-18.4,,-17.0,-22.0,,,,,,-26.3,,,,,-38.9,-91.5,,True,,True,True,,,,,False,,True,,,True,,True,,False,,True,True,,True,True,,,,,,True,,,,,False,False
18049,103,122.0,,118.3,,129.0,129.0,,,,,126.6,,136.6,,,152.0,,139.8,,86.8,,152.0,110.4,,167.0,143.0,,,,,,115.8,,,,,131.5,152.9,19.0,,15.3,,26.0,26.0,,,,,23.6,,33.6,,,49.0,,36.8,,-16.2,,49.0,7.4,,64.0,40.0,,,,,,12.8,,,,,28.5,49.9,,True,,False,False,,,,,False,,False,,,False,,False,,True,,False,True,,False,False,,,,,,True,,,,,False,False
18051,292,298.0,,305.9,,270.0,270.0,,,,,249.7,,355.4,,,200.0,,429.7,,124.2,,307.0,243.4,,346.0,313.0,,,,,,300.1,,,,,255.0,180.5,6.0,,13.9,,-22.0,-22.0,,,,,-42.3,,63.4,,,-92.0,,137.7,,-167.8,,15.0,-48.6,,54.0,21.0,,,,,,8.1,,,,,-37.0,-111.5,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,,False,,,,,False,False
18053,436,508.0,,483.2,,508.0,662.0,,,,,456.3,,598.7,,,467.0,,712.2,,299.7,,593.0,506.3,,553.0,531.0,,,,,507.9,412.2,,,,,619.3,418.2,72.0,,47.2,,72.0,226.0,,,,,20.3,,162.7,,,31.0,,276.2,,-136.3,,157.0,70.3,,117.0,95.0,,,,,71.9,-23.8,,,,,183.3,-17.8,,True,,False,False,,,,,True,,False,,,True,,False,,False,,False,True,,False,False,,,,,True,True,,,,,False,True
18055,141,121.0,,120.9,,132.0,152.0,,,,,132.7,,130.4,,,217.0,,175.0,,98.5,,127.0,132.5,,145.0,141.0,,,,,,121.8,,,,,157.2,125.7,-20.0,,-20.1,,-9.0,11.0,,,,,-8.3,,-10.6,,,76.0,,34.0,,-42.5,,-14.0,-8.5,,4.0,0.0,,,,,,-19.2,,,,,16.2,-15.3,,False,,True,True,,,,,True,,True,,,False,,False,,False,,True,True,,True,True,,,,,,True,,,,,True,True
18057,1941,1999.0,,2002.6,,1999.0,1905.0,,,,,1942.2,,2092.6,,,1834.0,,2046.7,,1537.9,,2152.0,2155.6,,2407.0,2020.0,,,,,1925.4,2039.0,1946.0,,,,2939.8,1958.6,58.0,,61.6,,58.0,-36.0,,,,,1.2,,151.6,,,-107.0,,105.7,,-403.1,,211.0,214.6,,466.0,79.0,,,,,-15.6,98.0,5.0,,,,998.8,17.6,,False,,False,True,,,,,True,,False,,,False,,False,,False,,False,False,,False,False,,,,,True,False,True,,,,False,True
18059,444,417.0,,413.4,,429.0,453.0,,,,,384.5,,493.4,,,438.0,,574.4,,387.9,,581.0,369.8,,504.0,446.0,,,,,424.8,549.5,,,,,433.6,413.4,-27.0,,-30.6,,-15.0,9.0,,,,,-59.5,,49.4,,,-6.0,,130.4,,-56.1,,137.0,-74.2,,60.0,2.0,,,,,-19.2,105.5,,,,,-10.4,-30.6,,False,,True,True,,,,,False,,False,,,True,,False,,False,,False,False,,False,True,,,,,True,False,,,,,True,False
18061,192,190.0,,187.9,,189.0,87.0,,,,,188.3,,213.0,,,176.0,,313.8,,98.7,,239.0,195.4,,230.0,211.0,,,,,191.4,158.1,,,,,184.6,92.3,-2.0,,-4.1,,-3.0,-105.0,,,,,-3.7,,21.0,,,-16.0,,121.8,,-93.3,,47.0,3.4,,38.0,19.0,,,,,-0.6,-33.9,,,,,-7.4,-99.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,True,False,,,,,False,False
18063,977,897.0,,858.8,,1040.0,1129.0,,,,,850.6,,943.0,,,957.0,,1508.6,,819.6,,1328.0,1039.7,,999.0,930.0,,,,,970.2,1053.8,1286.0,,,,1459.3,757.1,-80.0,,-118.2,,63.0,152.0,,,,,-126.4,,-34.0,,,-20.0,,531.6,,-157.4,,351.0,62.7,,22.0,-47.0,,,,,-6.8,76.8,309.0,,,,482.3,-219.9,,False,,True,False,,,,,False,,True,,,True,,False,,False,,False,True,,True,True,,,,,True,True,False,,,,False,False
18065,290,331.0,,333.3,,332.0,365.0,,,,,334.2,,378.6,,,384.0,,313.9,,196.8,,377.0,318.5,,392.0,345.0,,,,,351.4,329.4,,,,,321.8,235.6,41.0,,43.3,,42.0,75.0,,,,,44.2,,88.6,,,94.0,,23.9,,-93.2,,87.0,28.5,,102.0,55.0,,,,,61.4,39.4,,,,,31.8,-54.4,,False,,False,False,,,,,False,,False,,,False,,True,,False,,False,True,,False,False,,,,,False,True,,,,,True,False
18067,588,735.0,,723.6,,707.0,954.0,,,,,559.3,,759.9,,,633.0,,613.8,,395.0,,999.5,648.8,,723.0,715.0,,,,,689.9,753.2,,,,,1008.7,432.9,147.0,,135.6,,119.0,366.0,,,,,-28.7,,171.9,,,45.0,,25.8,,-193.0,,411.5,60.8,,135.0,127.0,,,,,101.9,165.2,,,,,420.7,-155.1,,True,,True,False,,,,,True,,False,,,True,,True,,False,,False,True,,True,True,,,,,True,False,,,,,False,False
18069,266,230.0,,228.4,,251.0,245.0,,,,,213.3,,259.4,,,264.0,,304.6,,136.8,,350.0,265.3,,288.0,259.0,,,,,,260.3,,,,,251.2,224.6,-36.0,,-37.6,,-15.0,-21.0,,,,,-52.7,,-6.6,,,-2.0,,38.6,,-129.2,,84.0,-0.7,,22.0,-7.0,,,,,,-5.7,,,,,-14.8,-41.4,,False,,True,True,,,,,False,,True,,,True,,False,,False,,False,True,,True,True,,,,,,True,,,,,True,False
18071,353,278.0,,276.2,,292.0,331.0,,,,,292.8,,309.2,,,283.0,,312.7,,166.6,,380.0,301.0,,332.0,297.0,,,,,278.2,317.4,,,,,333.3,210.1,-75.0,,-76.8,,-61.0,-22.0,,,,,-60.2,,-43.8,,,-70.0,,-40.3,,-186.4,,27.0,-52.0,,-21.0,-56.0,,,,,-74.8,-35.6,,,,,-19.7,-142.9,,False,,True,True,,,,,True,,True,,,True,,True,,False,,True,True,,True,True,,,,,True,True,,,,,True,False
18073,199,223.0,,224.1,,202.0,184.0,,,,,207.6,,322.0,,,240.0,,162.4,,127.5,,186.0,195.0,,260.0,234.0,,,,,225.2,238.6,,,,,209.8,79.8,24.0,,25.1,,3.0,-15.0,,,,,8.6,,123.0,,,41.0,,-36.6,,-71.5,,-13.0,-4.0,,61.0,35.0,,,,,26.2,39.6,,,,,10.8,-119.2,,False,,True,True,,,,,True,,False,,,False,,False,,False,,True,True,,False,False,,,,,False,False,,,,,True,False
18075,114,217.0,,215.3,,199.0,209.0,,,,,173.8,,255.3,,,162.0,,174.8,,89.3,,261.0,189.1,,247.0,228.0,,,,,,256.9,,,,,198.5,135.5,103.0,,101.3,,85.0,95.0,,,,,59.8,,141.3,,,48.0,,60.8,,-24.7,,147.0,75.1,,133.0,114.0,,,,,,142.9,,,,,84.5,21.5,,True,,True,True,,,,,True,,False,,,True,,True,,True,,False,True,,False,False,,,,,,False,,,,,True,True
18077,188,302.0,,299.0,,302.0,377.0,,,,,227.6,,321.2,,,190.0,,310.7,,162.4,,330.0,251.2,,338.0,316.0,,,,,,302.9,,,,,361.2,249.0,114.0,,111.0,,114.0,189.0,,,,,39.6,,133.2,,,2.0,,122.7,,-25.6,,142.0,63.2,,150.0,128.0,,,,,,114.9,,,,,173.2,61.0,,True,,False,False,,,,,True,,False,,,True,,False,,True,,False,True,,False,False,,,,,,False,,,,,False,True
18079,157,146.0,,146.0,,146.0,192.0,,,,,131.5,,148.0,,,166.0,,180.6,,64.5,,112.0,126.4,,155.0,158.0,,,,,,200.4,,,,,171.7,104.6,-11.0,,-11.0,,-11.0,35.0,,,,,-25.5,,-9.0,,,9.0,,23.6,,-92.5,,-45.0,-30.6,,-2.0,1.0,,,,,,43.4,,,,,14.7,-52.4,,True,,False,False,,,,,False,,True,,,True,,False,,False,,False,False,,True,True,,,,,,False,,,,,False,False
18081,1052,984.0,,987.9,,988.0,1074.0,,,,,928.5,,1041.1,,,978.0,,1585.8,,676.0,,1362.0,1017.2,,1108.0,1024.0,,,,,992.4,1180.2,926.0,,,,1422.8,1059.5,-68.0,,-64.1,,-64.0,22.0,,,,,-123.5,,-10.9,,,-74.0,,533.8,,-376.0,,310.0,-34.8,,56.0,-28.0,,,,,-59.6,128.2,-126.0,,,,370.8,7.5,,True,,True,True,,,,,False,,True,,,False,,False,,False,,False,True,,True,True,,,,,True,False,False,,,,False,True
18083,306,249.0,,251.3,,278.0,270.0,,,,,282.3,,289.7,,,287.0,,314.9,,137.2,,300.0,303.9,,333.0,291.0,,,,,244.1,293.4,,,,,301.7,303.7,-57.0,,-54.7,,-28.0,-36.0,,,,,-23.7,,-16.3,,,-19.0,,8.9,,-168.8,,-6.0,-2.1,,27.0,-15.0,,,,,-61.9,-12.6,,,,,-4.3,-2.3,,True,,True,True,,,,,True,,True,,,True,,True,,False,,True,True,,True,True,,,,,False,True,,,,,True,True
18085,525,866.0,,878.5,,867.0,868.0,,,,,767.7,,988.4,,,606.0,,729.6,,582.7,,1104.0,881.1,,987.0,869.0,,,,,964.7,931.3,,,,,546.1,548.2,341.0,,353.5,,342.0,343.0,,,,,242.7,,463.4,,,81.0,,204.6,,57.7,,579.0,356.1,,462.0,344.0,,,,,439.7,406.3,,,,,21.1,23.2,,False,,False,False,,,,,True,,False,,,True,,True,,True,,False,False,,False,False,,,,,False,False,,,,,True,True
18087,155,146.0,,141.7,,145.0,231.0,,,,,170.7,,196.2,,,320.0,,155.7,,149.5,,237.0,143.9,,201.0,203.0,,,,,119.2,166.2,,,,,102.8,130.6,-9.0,,-13.3,,-10.0,76.0,,,,,15.7,,41.2,,,165.0,,0.7,,-5.5,,82.0,-11.1,,46.0,48.0,,,,,-35.8,11.2,,,,,-52.2,-24.4,,False,,False,False,,,,,False,,False,,,False,,True,,True,,False,False,,False,False,,,,,False,False,,,,,False,False
18089,2966,3483.0,,3479.2,3884.7,3449.0,3049.0,,,,,3610.4,,3435.1,,,3419.0,,3116.0,,2794.6,,2697.0,3014.8,,4089.0,3702.0,,,,,4254.1,3544.3,3538.0,,,,4289.1,2938.6,517.0,,513.2,918.7,483.0,83.0,,,,,644.4,,469.1,,,453.0,,150.0,,-171.4,,-269.0,48.8,,1123.0,736.0,,,,,1288.1,578.3,572.0,,,,1323.1,-27.4,,True,False,True,True,,,,,False,,True,,,True,,True,,True,,True,True,,False,False,,,,,False,False,False,,,,False,True
18091,561,673.0,,659.5,,668.0,700.0,,,,,664.6,,785.7,,,874.0,,664.0,,490.4,,778.5,576.3,,802.0,738.0,,,,,644.5,642.1,,,,,855.6,553.3,112.0,,98.5,,107.0,139.0,,,,,103.6,,224.7,,,313.0,,103.0,,-70.6,,217.5,15.3,,241.0,177.0,,,,,83.5,81.1,,,,,294.6,-7.7,,True,,True,False,,,,,True,,False,,,False,,True,,True,,False,True,,False,False,,,,,True,True,,,,,False,True
18093,188,195.0,,192.2,,194.0,236.0,,,,,226.9,,267.0,,,276.0,,204.2,,150.7,,198.0,191.4,,234.0,231.0,,,,,184.3,189.5,,,,,186.1,283.3,7.0,,4.2,,6.0,48.0,,,,,38.9,,79.0,,,88.0,,16.2,,-37.3,,10.0,3.4,,46.0,43.0,,,,,-3.7,1.5,,,,,-1.9,95.3,,True,,True,False,,,,,False,,False,,,False,,False,,False,,False,True,,False,False,,,,,True,True,,,,,True,False
18095,848,706.0,,697.6,,823.0,785.0,,,,,706.7,,761.1,,,908.0,,869.4,,634.9,,1020.0,823.1,,827.0,746.0,,,,,778.1,766.5,840.0,,,,911.4,710.5,-142.0,,-150.4,,-25.0,-63.0,,,,,-141.3,,-86.9,,,60.0,,21.4,,-213.1,,172.0,-24.9,,-21.0,-102.0,,,,,-69.9,-81.5,-8.0,,,,63.4,-137.5,,False,,True,True,,,,,True,,True,,,True,,True,,False,,False,True,,True,True,,,,,True,True,True,,,,True,True
18097,4933,5227.0,,5401.6,6195.5,5597.0,4636.0,,,,,5519.6,,4441.8,,,5434.0,,9066.7,,4576.1,,8041.0,5759.2,,6131.0,5503.0,,,,,5273.9,5443.1,7233.0,,,,5762.0,5615.1,294.0,,468.6,1262.5,664.0,-297.0,,,,,586.6,,-491.2,,,501.0,,4133.7,,-356.9,,3108.0,826.2,,1198.0,570.0,,,,,340.9,510.1,2300.0,,,,829.0,682.1,,False,False,False,False,,,,,False,,False,,,False,,False,,False,,False,False,,False,False,,,,,False,False,False,,,,False,False
18099,353,404.0,,386.0,,383.0,416.0,,,,,421.9,,431.1,,,380.0,,491.7,,298.7,,364.0,357.3,,542.0,463.0,,,,,335.2,374.7,,,,,465.1,429.3,51.0,,33.0,,30.0,63.0,,,,,68.9,,78.1,,,27.0,,138.7,,-54.3,,11.0,4.3,,189.0,110.0,,,,,-17.8,21.7,,,,,112.1,76.3,,True,,True,False,,,,,False,,False,,,True,,False,,False,,True,True,,False,False,,,,,True,True,,,,,False,False
18101,42,53.0,,52.6,,53.0,49.0,,,,,52.7,,64.5,,,65.0,,52.5,,16.0,,93.0,52.4,,62.0,58.0,,,,,,74.2,,,,,49.9,58.9,11.0,,10.6,,11.0,7.0,,,,,10.7,,22.5,,,23.0,,10.5,,-26.0,,51.0,10.4,,20.0,16.0,,,,,,32.2,,,,,7.9,16.9,,True,,False,True,,,,,True,,False,,,False,,True,,False,,False,True,,False,False,,,,,,False,,,,,True,False
18103,266,334.0,,337.4,,336.0,384.0,,,,,278.5,,390.8,,,278.0,,373.3,,192.7,,344.0,303.5,,374.0,336.0,,,,,330.4,320.5,,,,,437.0,264.9,68.0,,71.4,,70.0,118.0,,,,,12.5,,124.8,,,12.0,,107.3,,-73.3,,78.0,37.5,,108.0,70.0,,,,,64.4,54.5,,,,,171.0,-1.1,,False,,False,False,,,,,True,,False,,,True,,False,,False,,False,True,,False,False,,,,,True,True,,,,,False,True
18105,440,804.0,,805.5,,806.0,1021.0,,,,,737.0,,908.0,,,711.0,,1215.1,,442.7,,1104.0,733.9,,889.0,802.0,,,,,697.8,885.6,1152.0,,,,1100.5,728.0,364.0,,365.5,,366.0,581.0,,,,,297.0,,468.0,,,271.0,,775.1,,2.7,,664.0,293.9,,449.0,362.0,,,,,257.8,445.6,712.0,,,,660.5,288.0,,False,,False,False,,,,,True,,False,,,True,,False,,True,,False,True,,False,True,,,,,True,False,False,,,,False,True
18107,264,196.0,,182.8,,203.0,229.0,,,,,206.1,,239.3,,,230.0,,198.2,,155.2,,245.0,190.4,,266.0,232.0,,,,,208.5,228.7,,,,,234.8,196.2,-68.0,,-81.2,,-61.0,-35.0,,,,,-57.9,,-24.7,,,-34.0,,-65.8,,-108.8,,-19.0,-73.6,,2.0,-32.0,,,,,-55.5,-35.3,,,,,-29.2,-67.8,,False,,True,True,,,,,True,,True,,,True,,True,,False,,True,False,,True,True,,,,,True,True,,,,,True,True
18109,356,327.0,,328.3,,342.0,353.0,,,,,325.7,,352.5,,,428.0,,409.4,,202.0,,362.0,323.6,,397.0,352.0,,,,,330.5,343.6,,,,,435.2,297.3,-29.0,,-27.7,,-14.0,-3.0,,,,,-30.3,,-3.5,,,72.0,,53.4,,-154.0,,6.0,-32.4,,41.0,-4.0,,,,,-25.5,-12.4,,,,,79.2,-58.7,,True,,True,True,,,,,False,,True,,,False,,False,,False,,True,False,,False,True,,,,,True,True,,,,,False,False
18111,52,84.0,,80.6,,81.0,52.0,,,,,90.3,,103.4,,,83.0,,100.2,,41.2,,87.0,76.5,,113.0,92.0,,,,,,76.3,,,,,74.9,76.8,32.0,,28.6,,29.0,0.0,,,,,38.3,,51.4,,,31.0,,48.2,,-10.8,,35.0,24.5,,61.0,40.0,,,,,,24.3,,,,,22.9,24.8,,True,,True,True,,,,,False,,False,,,True,,False,,True,,False,True,,False,False,,,,,,True,,,,,True,True
18113,291,413.0,,404.7,,402.0,432.0,,,,,394.7,,450.5,,,331.0,,480.8,,294.1,,539.0,389.5,,491.0,455.0,,,,,399.9,345.7,,,,,398.1,396.2,122.0,,113.7,,111.0,141.0,,,,,103.7,,159.5,,,40.0,,189.8,,3.1,,248.0,98.5,,200.0,164.0,,,,,108.9,54.7,,,,,107.1,105.2,,True,,True,False,,,,,True,,False,,,True,,False,,True,,False,True,,False,False,,,,,True,True,,,,,True,True
18115,20,35.0,,35.2,,27.0,35.0,,,,,30.3,,31.4,,,27.0,,76.7,,9.4,,19.0,26.2,,38.0,35.0,,,,,,36.9,,,,,24.7,15.6,15.0,,15.2,,7.0,15.0,,,,,10.3,,11.4,,,7.0,,56.7,,-10.6,,-1.0,6.2,,18.0,15.0,,,,,,16.9,,,,,4.7,-4.4,,False,,True,False,,,,,True,,True,,,True,,False,,True,,True,True,,False,False,,,,,,False,,,,,True,True
18117,75,65.0,,68.4,,74.0,85.0,,,,,80.0,,78.9,,,126.0,,99.0,,34.4,,93.0,73.7,,85.0,84.0,,,,,,59.5,,,,,36.8,103.5,-10.0,,-6.6,,-1.0,10.0,,,,,5.0,,3.9,,,51.0,,24.0,,-40.6,,18.0,-1.3,,10.0,9.0,,,,,,-15.5,,,,,-38.2,28.5,,True,,True,False,,,,,True,,True,,,False,,False,,False,,False,True,,False,True,,,,,,False,,,,,False,False
18119,103,112.0,,108.5,,109.0,183.0,,,,,101.4,,140.4,,,112.0,,72.2,,47.3,,92.0,102.4,,133.0,132.0,,,,,,97.6,,,,,116.8,120.3,9.0,,5.5,,6.0,80.0,,,,,-1.6,,37.4,,,9.0,,-30.8,,-55.7,,-11.0,-0.6,,30.0,29.0,,,,,,-5.4,,,,,13.8,17.3,,True,,True,False,,,,,True,,False,,,False,,False,,False,,False,True,,False,False,,,,,,True,,,,,False,False
