,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
16071,94,55.0,,0.0,,,,,61.0,,181.2,5.2,,,,,,,137.0,-39.0,,-94.0,,,,,-33.0,,87.2,-88.8,,,,,,,43.0,,False,,,,,True,,False,False,,,,,,,False
16073,283,110.0,,33.0,,,,,84.0,,151.7,15.5,,48.3,0.0,,,,47.0,-173.0,,-250.0,,,,,-199.0,,-131.3,-267.5,,-234.7,-283.0,,,,-236.0,,False,,,,,False,,True,False,,False,False,,,,False
16075,501,220.0,,312.0,,,,,258.0,,271.8,84.1,,85.1,0.1,,86.0,,112.0,-281.0,,-189.0,,,,,-243.0,,-229.2,-416.9,,-415.9,-500.9,,-415.0,,-389.0,,True,,,,,True,,True,False,,False,False,,False,,False
16077,103,100.0,,125.0,,,,,133.0,,195.2,25.6,,36.3,0.0,,,,242.0,-3.0,,22.0,,,,,30.0,,92.2,-77.4,,-66.7,-103.0,,,,139.0,,False,,,,,False,,False,False,,False,False,,,,False
16079,244,150.0,,74.0,,,,,111.0,,108.0,35.1,,,0.0,,,,194.0,-94.0,,-170.0,,,,,-133.0,,-136.0,-208.9,,,-244.0,,,,-50.0,,False,,,,,False,,False,False,,,False,,,,True
16081,272,105.0,,121.0,,,,,83.0,,187.3,25.4,,20.0,81.2,,,,55.0,-167.0,,-151.0,,,,,-189.0,,-84.7,-246.6,,-252.0,-190.8,,,,-217.0,,True,,,,,False,,True,False,,False,False,,,,False
16083,2997,2710.0,,3010.0,,,,,1476.0,,2652.7,698.2,,2634.5,906.2,,1325.5,,736.0,-287.0,,13.0,,,,,-1521.0,,-344.3,-2298.8,,-362.5,-2090.8,,-1671.5,,-2261.0,,True,,,,,False,,False,False,,False,False,,False,,False
16085,129,40.0,,0.0,,,,,30.0,,119.5,23.4,,13.4,50.6,,,,31.0,-89.0,,-129.0,,,,,-99.0,,-9.5,-105.6,,-115.6,-78.4,,,,-98.0,,False,,,,,False,,True,False,,False,True,,,,False
16087,313,105.0,,63.0,,,,,70.0,,89.2,26.4,,33.8,0.0,,,,45.0,-208.0,,-250.0,,,,,-243.0,,-223.8,-286.6,,-279.2,-313.0,,,,-268.0,,False,,,,,False,,False,False,,False,False,,,,False
17001,2857,1480.0,,3102.0,,,,,781.0,,1628.0,599.9,,1267.8,572.2,,686.2,,1230.0,-1377.0,,245.0,,,,,-2076.0,,-1229.0,-2257.1,,-1589.2,-2284.8,,-2170.8,,-1627.0,,True,,,,,False,,True,False,,False,False,,False,,False
17003,133,75.0,,54.0,,,,,47.0,,88.5,17.9,,30.0,1.4,,,,59.0,-58.0,,-79.0,,,,,-86.0,,-44.5,-115.1,,-103.0,-131.6,,,,-74.0,,False,,,,,False,,True,False,,False,False,,,,False
17005,552,240.0,,172.0,,,,,166.0,,677.8,56.7,,53.6,140.9,,,,220.0,-312.0,,-380.0,,,,,-386.0,,125.8,-495.3,,-498.4,-411.1,,,,-332.0,,False,,,,,False,,True,False,,False,False,,,,False
17007,2041,1170.0,,1273.0,,,,,860.0,,1494.9,674.7,,572.5,542.1,,813.0,,626.0,-871.0,,-768.0,,,,,-1181.0,,-546.1,-1366.3,,-1468.5,-1498.9,,-1228.0,,-1415.0,,True,,,,,False,,True,False,,False,False,,False,,False
17009,216,70.0,,65.0,,,,,104.0,,243.7,12.1,,11.0,17.0,,,,93.0,-146.0,,-151.0,,,,,-112.0,,27.7,-203.9,,-205.0,-199.0,,,,-123.0,,False,,,,,True,,True,False,,False,False,,,,True
17011,1199,315.0,,200.0,,,,,433.0,,337.9,178.8,,120.6,210.3,,,,160.0,-884.0,,-999.0,,,,,-766.0,,-861.1,-1020.2,,-1078.4,-988.7,,,,-1039.0,,False,,,,,True,,True,False,,False,False,,,,False
17013,171,0.0,,0.0,,,,,36.0,,64.1,10.1,,2.5,,,,,2.0,-171.0,,-171.0,,,,,-135.0,,-106.9,-160.9,,-168.5,,,,,-169.0,,False,,,,,True,,True,True,,True,,,,,True
17015,662,255.0,,297.0,,,,,220.0,,895.3,75.4,,155.3,152.7,,,,156.0,-407.0,,-365.0,,,,,-442.0,,233.3,-586.6,,-506.7,-509.3,,,,-506.0,,True,,,,,False,,True,False,,False,False,,,,False
17017,498,65.0,,36.0,,,,,102.0,,149.7,60.6,,25.6,0.0,,,,54.0,-433.0,,-462.0,,,,,-396.0,,-348.3,-437.4,,-472.4,-498.0,,,,-444.0,,False,,,,,True,,True,False,,False,False,,,,False
17019,4638,2070.0,,3329.0,,,,,1806.0,,1239.2,1936.5,,1619.7,0.7,,1780.6,,1387.0,-2568.0,,-1309.0,,,,,-2832.0,,-3398.8,-2701.5,,-3018.3,-4637.3,,-2857.4,,-3251.0,,True,,,,,False,,False,False,,False,False,,False,,False
17021,1071,305.0,,146.0,,,,,430.0,,441.0,118.0,,75.9,5.7,,,,175.0,-766.0,,-925.0,,,,,-641.0,,-630.0,-953.0,,-995.1,-1065.3,,,,-896.0,,False,,,,,True,,True,False,,False,False,,,,False
17023,487,280.0,,329.0,,,,,195.0,,504.3,77.1,,90.9,146.3,,,,254.0,-207.0,,-158.0,,,,,-292.0,,17.3,-409.9,,-396.1,-340.7,,,,-233.0,,True,,,,,False,,True,False,,False,False,,,,False
17025,529,175.0,,221.0,,,,,119.0,,311.6,74.0,,46.4,0.0,,,,28.0,-354.0,,-308.0,,,,,-410.0,,-217.4,-455.0,,-482.6,-529.0,,,,-501.0,,True,,,,,False,,True,False,,False,False,,,,False
17027,1546,960.0,,986.0,,,,,346.0,,1076.6,340.3,,547.8,606.9,,723.4,,390.0,-586.0,,-560.0,,,,,-1200.0,,-469.4,-1205.7,,-998.2,-939.1,,-822.6,,-1156.0,,True,,,,,False,,True,False,,False,False,,False,,False
17029,1388,685.0,,820.0,,,,,820.0,,659.0,365.1,,268.7,0.8,,614.7,,1268.0,-703.0,,-568.0,,,,,-568.0,,-729.0,-1022.9,,-1119.3,-1387.2,,-773.3,,-120.0,,True,,,,,True,,False,False,,False,False,,False,,True
17031,127765,57985.0,,65040.0,,,,,43999.0,,35439.1,25640.1,,43221.3,55116.7,,32500.8,,53402.0,-69780.0,,-62725.0,,,,,-83766.0,,-92325.9,-102124.9,,-84543.7,-72648.3,,-95264.2,,-74363.0,,True,,,,,False,,False,False,,False,False,,False,,False
17033,473,175.0,,125.0,,,,,257.0,,286.5,49.7,,32.6,0.3,,,,1.0,-298.0,,-348.0,,,,,-216.0,,-186.5,-423.3,,-440.4,-472.7,,,,-472.0,,False,,,,,True,,True,False,,False,False,,,,False
17035,329,170.0,,84.0,,,,,121.0,,161.8,38.4,,83.8,97.5,,,,132.0,-159.0,,-245.0,,,,,-208.0,,-167.2,-290.6,,-245.2,-231.5,,,,-197.0,,False,,,,,False,,False,False,,False,False,,,,False
17037,2630,1400.0,,2265.0,,,,,1292.0,,1431.6,1118.7,,652.2,643.2,,1015.1,,1854.0,-1230.0,,-365.0,,,,,-1338.0,,-1198.4,-1511.3,,-1977.8,-1986.8,,-1614.9,,-776.0,,True,,,,,False,,True,False,,False,False,,False,,True
17039,350,165.0,,182.0,,,,,193.0,,409.2,94.5,,67.3,0.0,,,,70.0,-185.0,,-168.0,,,,,-157.0,,59.2,-255.5,,-282.7,-350.0,,,,-280.0,,True,,,,,True,,True,False,,False,False,,,,False
17041,692,715.0,,1114.0,,,,,239.0,,2644.7,114.7,,891.1,300.2,,,,363.0,23.0,,422.0,,,,,-453.0,,1952.7,-577.3,,199.1,-391.8,,,,-329.0,,False,,,,,False,,False,False,,False,False,,,,False
17043,22110,10345.0,,14749.0,,,,,8116.0,,7385.7,9041.8,,7115.2,7428.8,,6126.4,,11284.0,-11765.0,,-7361.0,,,,,-13994.0,,-14724.3,-13068.2,,-14994.8,-14681.2,,-15983.6,,-10826.0,,True,,,,,False,,False,False,,False,False,,False,,True
17045,644,80.0,,34.0,,,,,222.0,,186.5,111.0,,14.7,70.4,,,,111.0,-564.0,,-610.0,,,,,-422.0,,-457.5,-533.0,,-629.3,-573.6,,,,-533.0,,False,,,,,True,,True,True,,False,False,,,,True
17047,120,50.0,,71.0,,,,,55.0,,167.6,32.8,,8.1,36.3,,,,90.0,-70.0,,-49.0,,,,,-65.0,,47.6,-87.2,,-111.9,-83.7,,,,-30.0,,True,,,,,True,,True,False,,False,False,,,,True
17049,1597,510.0,,763.0,,,,,423.0,,481.0,140.0,,294.8,3.7,,448.9,,369.0,-1087.0,,-834.0,,,,,-1174.0,,-1116.0,-1457.0,,-1302.2,-1593.3,,-1148.1,,-1228.0,,True,,,,,False,,False,False,,False,False,,False,,False
17051,1031,295.0,,226.0,,,,,292.0,,573.8,93.3,,91.2,229.2,,,,180.0,-736.0,,-805.0,,,,,-739.0,,-457.2,-937.7,,-939.8,-801.8,,,,-851.0,,False,,,,,False,,True,False,,False,False,,,,False
17053,552,140.0,,201.0,,,,,173.0,,380.2,59.6,,26.0,49.0,,,,51.0,-412.0,,-351.0,,,,,-379.0,,-171.8,-492.4,,-526.0,-503.0,,,,-501.0,,True,,,,,True,,True,False,,False,False,,,,False
17055,1069,695.0,,871.0,,,,,333.0,,1524.0,234.2,,725.4,376.7,,,,478.0,-374.0,,-198.0,,,,,-736.0,,455.0,-834.8,,-343.6,-692.3,,,,-591.0,,True,,,,,False,,False,False,,True,False,,,,False
17057,937,630.0,,945.0,,,,,374.0,,2903.6,217.9,,400.5,154.1,,,,510.0,-307.0,,8.0,,,,,-563.0,,1966.6,-719.1,,-536.5,-782.9,,,,-427.0,,True,,,,,False,,False,False,,False,False,,,,False
17059,85,15.0,,13.0,,,,,52.0,,82.3,20.6,,1.3,0.0,,,,14.0,-70.0,,-72.0,,,,,-33.0,,-2.7,-64.4,,-83.7,-85.0,,,,-71.0,,False,,,,,True,,True,True,,False,False,,,,False
17061,534,130.0,,51.0,,,,,155.0,,179.4,45.1,,59.5,1.7,,,,118.0,-404.0,,-483.0,,,,,-379.0,,-354.6,-488.9,,-474.5,-532.3,,,,-416.0,,False,,,,,True,,True,False,,False,False,,,,False
17063,1779,570.0,,869.0,,,,,600.0,,832.9,505.6,,228.4,393.2,,,,1000.0,-1209.0,,-910.0,,,,,-1179.0,,-946.1,-1273.4,,-1550.6,-1385.8,,,,-779.0,,True,,,,,True,,True,False,,False,False,,,,True
17065,268,55.0,,70.0,,,,,102.0,,190.8,42.8,,10.0,39.0,,,,36.0,-213.0,,-198.0,,,,,-166.0,,-77.2,-225.2,,-258.0,-229.0,,,,-232.0,,True,,,,,True,,True,False,,False,False,,,,False
17067,638,165.0,,152.0,,,,,139.0,,265.4,60.3,,47.3,101.6,,,,195.0,-473.0,,-486.0,,,,,-499.0,,-372.6,-577.7,,-590.7,-536.4,,,,-443.0,,False,,,,,False,,True,False,,False,False,,,,True
17069,100,20.0,,0.0,,,,,37.0,,27.8,12.8,,1.4,,,,,22.0,-80.0,,-100.0,,,,,-63.0,,-72.2,-87.2,,-98.6,,,,,-78.0,,False,,,,,True,,True,False,,False,,,,,True
17071,158,135.0,,133.0,,,,,63.0,,303.4,16.7,,23.1,12.1,,,,131.0,-23.0,,-25.0,,,,,-95.0,,145.4,-141.3,,-134.9,-145.9,,,,-27.0,,False,,,,,False,,False,False,,False,False,,,,False
17073,1808,275.0,,286.0,,,,,643.0,,258.3,380.2,,121.7,23.8,,,,246.0,-1533.0,,-1522.0,,,,,-1165.0,,-1549.7,-1427.8,,-1686.3,-1784.2,,,,-1562.0,,True,,,,,True,,False,True,,False,False,,,,False
17075,1175,220.0,,354.0,,,,,328.0,,302.7,204.1,,105.4,175.5,,,,113.0,-955.0,,-821.0,,,,,-847.0,,-872.3,-970.9,,-1069.6,-999.5,,,,-1062.0,,True,,,,,True,,True,False,,False,False,,,,False
17077,1120,545.0,,1461.0,,,,,420.0,,412.7,615.2,,225.2,326.0,,394.3,,725.0,-575.0,,341.0,,,,,-700.0,,-707.3,-504.8,,-894.8,-794.0,,-725.7,,-395.0,,True,,,,,False,,False,True,,False,False,,False,,True
17079,378,110.0,,0.0,,,,,104.0,,163.9,12.1,,16.2,0.0,,,,51.0,-268.0,,-378.0,,,,,-274.0,,-214.1,-365.9,,-361.8,-378.0,,,,-327.0,,False,,,,,False,,True,False,,False,False,,,,False
17081,958,230.0,,273.0,,,,,415.0,,411.9,208.6,,84.7,259.9,,,,145.0,-728.0,,-685.0,,,,,-543.0,,-546.1,-749.4,,-873.3,-698.1,,,,-813.0,,True,,,,,True,,True,False,,False,True,,,,False
17083,751,110.0,,35.0,,,,,179.0,,213.7,130.8,,37.6,28.3,,,,0.0,-641.0,,-716.0,,,,,-572.0,,-537.3,-620.2,,-713.4,-722.7,,,,-751.0,,False,,,,,True,,True,True,,False,False,,,,False
17085,581,425.0,,635.0,,,,,296.0,,705.2,136.6,,258.0,225.3,,,,325.0,-156.0,,54.0,,,,,-285.0,,124.2,-444.4,,-323.0,-355.7,,,,-256.0,,True,,,,,False,,True,False,,False,False,,,,False
17087,366,190.0,,274.0,,,,,108.0,,365.7,60.5,,118.0,0.1,,,,101.0,-176.0,,-92.0,,,,,-258.0,,-0.3,-305.5,,-248.0,-365.9,,,,-265.0,,True,,,,,False,,True,False,,False,False,,,,False
17089,15040,6810.0,,6550.0,,,,,6010.0,,5541.0,5703.2,,3815.3,5448.6,,3793.8,,6801.0,-8230.0,,-8490.0,,,,,-9030.0,,-9499.0,-9336.8,,-11224.7,-9591.4,,-11246.2,,-8239.0,,False,,,,,False,,False,False,,False,False,,False,,False
17091,5182,1320.0,,2686.0,,,,,1436.0,,997.8,1058.8,,1032.0,1019.6,,921.1,,2556.0,-3862.0,,-2496.0,,,,,-3746.0,,-4184.2,-4123.2,,-4150.0,-4162.4,,-4260.9,,-2626.0,,True,,,,,True,,False,False,,False,False,,False,,True
17093,3586,1065.0,,1229.0,,,,,1113.0,,1222.6,1518.7,,752.3,783.9,,623.4,,1244.0,-2521.0,,-2357.0,,,,,-2473.0,,-2363.4,-2067.3,,-2833.7,-2802.1,,-2962.6,,-2342.0,,True,,,,,True,,True,True,,False,False,,False,,True
17095,1502,1090.0,,1569.0,,,,,738.0,,2430.4,741.6,,917.1,415.8,,423.3,,821.0,-412.0,,67.0,,,,,-764.0,,928.4,-760.4,,-584.9,-1086.2,,-1078.7,,-681.0,,True,,,,,False,,False,False,,False,False,,False,,False
17097,16360,6165.0,,5749.0,,,,,8252.0,,4657.6,8202.9,,4297.7,6437.0,,3362.2,,5550.0,-10195.0,,-10611.0,,,,,-8108.0,,-11702.4,-8157.1,,-12062.3,-9923.0,,-12997.8,,-10810.0,,False,,,,,True,,False,True,,False,True,,False,,False
17099,3663,1250.0,,2067.0,,,,,1389.0,,1043.6,1024.2,,759.4,701.8,,870.5,,573.0,-2413.0,,-1596.0,,,,,-2274.0,,-2619.4,-2638.8,,-2903.6,-2961.2,,-2792.5,,-3090.0,,True,,,,,True,,False,False,,False,False,,False,,False
17101,710,140.0,,61.0,,,,,253.0,,149.3,91.6,,47.7,0.0,,,,159.0,-570.0,,-649.0,,,,,-457.0,,-560.7,-618.4,,-662.3,-710.0,,,,-551.0,,False,,,,,True,,True,False,,False,False,,,,True
17103,1284,705.0,,836.0,,,,,608.0,,1228.8,302.4,,224.9,180.0,,,,483.0,-579.0,,-448.0,,,,,-676.0,,-55.2,-981.6,,-1059.1,-1104.0,,,,-801.0,,True,,,,,False,,True,False,,False,False,,,,False
17105,1608,485.0,,453.0,,,,,505.0,,833.0,201.8,,195.0,205.4,,,,1206.0,-1123.0,,-1155.0,,,,,-1103.0,,-775.0,-1406.2,,-1413.0,-1402.6,,,,-402.0,,False,,,,,True,,True,False,,False,False,,,,True
17107,1091,300.0,,228.0,,,,,316.0,,244.8,115.6,,137.0,0.0,,,,218.0,-791.0,,-863.0,,,,,-775.0,,-846.2,-975.4,,-954.0,-1091.0,,,,-873.0,,False,,,,,True,,False,False,,False,False,,,,False
17109,836,520.0,,1428.0,,,,,265.0,,833.9,427.1,,313.6,276.7,,,,514.0,-316.0,,592.0,,,,,-571.0,,-2.1,-408.9,,-522.4,-559.3,,,,-322.0,,False,,,,,False,,True,False,,False,False,,,,False
17111,7957,3700.0,,5949.0,,,,,3381.0,,2767.3,3328.9,,2114.0,1984.4,,1812.5,,4518.0,-4257.0,,-2008.0,,,,,-4576.0,,-5189.7,-4628.1,,-5843.0,-5972.6,,-6144.5,,-3439.0,,True,,,,,False,,False,False,,False,False,,False,,True
17113,4197,1345.0,,1238.0,,,,,1555.0,,934.7,1491.6,,1142.4,84.9,,1292.0,,903.0,-2852.0,,-2959.0,,,,,-2642.0,,-3262.3,-2705.4,,-3054.6,-4112.1,,-2905.0,,-3294.0,,False,,,,,True,,False,True,,False,False,,False,,False
17115,3454,2700.0,,2562.0,,,,,1169.0,,5015.0,1552.2,,2580.5,1371.4,,1280.5,,0.0,-754.0,,-892.0,,,,,-2285.0,,1561.0,-1901.8,,-873.5,-2082.6,,-2173.5,,-3454.0,,False,,,,,False,,False,False,,False,False,,False,,False
17117,1400,375.0,,483.0,,,,,392.0,,581.4,360.3,,195.2,191.8,,,,414.0,-1025.0,,-917.0,,,,,-1008.0,,-818.6,-1039.7,,-1204.8,-1208.2,,,,-986.0,,True,,,,,True,,True,False,,False,False,,,,True
17119,7126,1995.0,,1763.0,,,,,2188.0,,1606.2,2402.1,,1869.6,1952.4,,1322.1,,1869.0,-5131.0,,-5363.0,,,,,-4938.0,,-5519.8,-4723.9,,-5256.4,-5173.6,,-5803.9,,-5257.0,,False,,,,,True,,False,True,,False,False,,False,,False
17121,1464,840.0,,1030.0,,,,,401.0,,761.9,315.2,,455.8,285.4,,,,1176.0,-624.0,,-434.0,,,,,-1063.0,,-702.1,-1148.8,,-1008.2,-1178.6,,,,-288.0,,True,,,,,False,,False,False,,False,False,,,,True
17123,255,90.0,,65.0,,,,,115.0,,148.3,47.8,,45.1,45.1,,,,44.0,-165.0,,-190.0,,,,,-140.0,,-106.7,-207.2,,-209.9,-209.9,,,,-211.0,,False,,,,,True,,True,False,,False,False,,,,False
17125,412,360.0,,454.0,,,,,124.0,,278.6,76.2,,234.4,85.9,,,,359.0,-52.0,,42.0,,,,,-288.0,,-133.4,-335.8,,-177.6,-326.1,,,,-53.0,,True,,,,,False,,False,False,,False,False,,,,False
17127,432,80.0,,74.0,,,,,149.0,,123.9,36.7,,31.3,23.5,,,,105.0,-352.0,,-358.0,,,,,-283.0,,-308.1,-395.3,,-400.7,-408.5,,,,-327.0,,False,,,,,True,,True,False,,False,False,,,,True
17129,281,115.0,,119.0,,,,,77.0,,158.8,48.0,,23.1,41.6,,,,103.0,-166.0,,-162.0,,,,,-204.0,,-122.2,-233.0,,-257.9,-239.4,,,,-178.0,,True,,,,,False,,True,False,,False,False,,,,False
17131,487,210.0,,286.0,,,,,142.0,,535.6,92.7,,96.3,86.8,,,,229.0,-277.0,,-201.0,,,,,-345.0,,48.6,-394.3,,-390.7,-400.2,,,,-258.0,,True,,,,,False,,True,False,,False,False,,,,True
17133,1157,340.0,,374.0,,,,,208.0,,360.6,282.2,,197.0,284.4,,,,337.0,-817.0,,-783.0,,,,,-949.0,,-796.4,-874.8,,-960.0,-872.6,,,,-820.0,,True,,,,,False,,True,False,,False,False,,,,False
17135,532,415.0,,536.0,,,,,338.0,,611.6,225.4,,122.2,200.3,,,,496.0,-117.0,,4.0,,,,,-194.0,,79.6,-306.6,,-409.8,-331.7,,,,-36.0,,True,,,,,False,,True,False,,False,False,,,,True
17137,1296,515.0,,916.0,,,,,336.0,,491.9,185.5,,136.5,270.9,,,,1.0,-781.0,,-380.0,,,,,-960.0,,-804.1,-1110.5,,-1159.5,-1025.1,,,,-1295.0,,True,,,,,False,,False,False,,False,False,,,,False
17139,478,295.0,,601.0,,,,,189.0,,1262.8,84.8,,129.4,223.4,,,,210.0,-183.0,,123.0,,,,,-289.0,,784.8,-393.2,,-348.6,-254.6,,,,-268.0,,True,,,,,False,,False,False,,False,False,,,,False
17141,1630,870.0,,1218.0,,,,,632.0,,1412.4,714.7,,274.2,431.4,,633.5,,706.0,-760.0,,-412.0,,,,,-998.0,,-217.6,-915.3,,-1355.8,-1198.6,,-996.5,,-924.0,,True,,,,,False,,True,False,,False,False,,False,,False
17143,4512,1595.0,,1773.0,,,,,2027.0,,1322.3,1630.6,,600.6,1193.7,,1132.3,,1552.0,-2917.0,,-2739.0,,,,,-2485.0,,-3189.7,-2881.4,,-3911.4,-3318.3,,-3379.7,,-2960.0,,True,,,,,True,,False,True,,False,False,,False,,False
17145,651,145.0,,79.0,,,,,202.0,,215.4,104.2,,88.5,8.7,,,,110.0,-506.0,,-572.0,,,,,-449.0,,-435.6,-546.8,,-562.5,-642.3,,,,-541.0,,False,,,,,True,,True,False,,False,False,,,,False
17147,531,230.0,,330.0,,,,,154.0,,558.2,47.9,,141.0,116.5,,,,274.0,-301.0,,-201.0,,,,,-377.0,,27.2,-483.1,,-390.0,-414.5,,,,-257.0,,True,,,,,False,,True,False,,False,False,,,,True
17149,674,475.0,,809.0,,,,,137.0,,1161.4,170.8,,637.3,144.4,,,,411.0,-199.0,,135.0,,,,,-537.0,,487.4,-503.2,,-36.7,-529.6,,,,-263.0,,True,,,,,False,,False,False,,True,False,,,,False
17151,59,30.0,,0.0,,,,,33.0,,38.0,16.0,,1.0,,,,,34.0,-29.0,,-59.0,,,,,-26.0,,-21.0,-43.0,,-58.0,,,,,-25.0,,False,,,,,True,,True,False,,False,,,,,True
17153,176,60.0,,35.0,,,,,45.0,,55.6,21.7,,11.7,0.0,,,,29.0,-116.0,,-141.0,,,,,-131.0,,-120.4,-154.3,,-164.3,-176.0,,,,-147.0,,False,,,,,False,,False,False,,False,False,,,,False
17155,152,40.0,,33.0,,,,,60.0,,195.6,28.5,,5.4,,,,,72.0,-112.0,,-119.0,,,,,-92.0,,43.6,-123.5,,-146.6,,,,,-80.0,,False,,,,,True,,True,False,,False,,,,,True
17157,993,595.0,,1182.0,,,,,393.0,,557.5,296.3,,236.0,341.6,,405.1,,426.0,-398.0,,189.0,,,,,-600.0,,-435.5,-696.7,,-757.0,-651.4,,-587.9,,-567.0,,True,,,,,False,,False,False,,False,False,,False,,False
17159,418,120.0,,184.0,,,,,183.0,,207.3,47.3,,22.0,0.0,,,,39.0,-298.0,,-234.0,,,,,-235.0,,-210.7,-370.7,,-396.0,-418.0,,,,-379.0,,True,,,,,True,,True,False,,False,False,,,,False
17161,4572,1880.0,,3495.0,,,,,1945.0,,1428.1,1701.2,,1670.0,797.9,,1144.1,,2010.0,-2692.0,,-1077.0,,,,,-2627.0,,-3143.9,-2870.8,,-2902.0,-3774.1,,-3427.9,,-2562.0,,True,,,,,True,,False,False,,False,False,,False,,True
17163,5307,2090.0,,3391.0,,,,,1961.0,,1492.2,2022.5,,1111.2,1843.5,,2116.4,,1884.0,-3217.0,,-1916.0,,,,,-3346.0,,-3814.8,-3284.5,,-4195.8,-3463.5,,-3190.6,,-3423.0,,True,,,,,False,,False,False,,False,False,,True,,False
17165,552,380.0,,424.0,,,,,316.0,,421.3,110.1,,103.9,134.9,,,,199.0,-172.0,,-128.0,,,,,-236.0,,-130.7,-441.9,,-448.1,-417.1,,,,-353.0,,True,,,,,False,,True,False,,False,False,,,,False
17167,6142,2730.0,,2963.0,,,,,1612.0,,3231.4,2095.5,,2410.7,1373.2,,1450.6,,426.0,-3412.0,,-3179.0,,,,,-4530.0,,-2910.6,-4046.5,,-3731.3,-4768.8,,-4691.4,,-5716.0,,True,,,,,False,,True,False,,False,False,,False,,False
17169,178,60.0,,35.0,,,,,78.0,,100.7,16.8,,4.4,,,,,48.0,-118.0,,-143.0,,,,,-100.0,,-77.3,-161.2,,-173.6,,,,,-130.0,,False,,,,,True,,True,False,,False,,,,,False
17171,129,70.0,,4.0,,,,,36.0,,157.7,52.0,,,37.7,,,,18.0,-59.0,,-125.0,,,,,-93.0,,28.7,-77.0,,,-91.3,,,,-111.0,,False,,,,,False,,True,False,,,False,,,,False
17173,713,440.0,,412.0,,,,,275.0,,623.0,82.1,,175.0,274.1,,,,423.0,-273.0,,-301.0,,,,,-438.0,,-90.0,-630.9,,-538.0,-438.9,,,,-290.0,,False,,,,,False,,True,False,,False,False,,,,False
17175,180,35.0,,64.0,,,,,52.0,,149.7,12.2,,4.4,,,,,22.0,-145.0,,-116.0,,,,,-128.0,,-30.3,-167.8,,-175.6,,,,,-158.0,,True,,,,,True,,True,False,,False,,,,,False
17177,1484,1000.0,,1479.0,,,,,772.0,,1124.2,486.5,,1066.9,296.4,,,,701.0,-484.0,,-5.0,,,,,-712.0,,-359.8,-997.5,,-417.1,-1187.6,,,,-783.0,,True,,,,,False,,True,False,,True,False,,,,False
17179,4116,1100.0,,840.0,,,,,1354.0,,1423.9,1043.9,,908.8,861.3,,942.4,,1262.0,-3016.0,,-3276.0,,,,,-2762.0,,-2692.1,-3072.1,,-3207.2,-3254.7,,-3173.6,,-2854.0,,False,,,,,True,,True,False,,False,False,,False,,True
17181,399,325.0,,251.0,,,,,151.0,,333.1,179.2,,102.0,0.2,,,,50.0,-74.0,,-148.0,,,,,-248.0,,-65.9,-219.8,,-297.0,-398.8,,,,-349.0,,False,,,,,False,,True,False,,False,False,,,,False
17183,2157,1090.0,,699.0,,,,,1106.0,,1762.8,652.2,,1036.9,643.5,,1472.7,,0.0,-1067.0,,-1458.0,,,,,-1051.0,,-394.2,-1504.8,,-1120.1,-1513.5,,-684.3,,-2157.0,,False,,,,,True,,True,False,,False,False,,True,,False
17185,316,95.0,,79.0,,,,,156.0,,173.1,28.6,,46.3,0.0,,,,137.0,-221.0,,-237.0,,,,,-160.0,,-142.9,-287.4,,-269.7,-316.0,,,,-179.0,,False,,,,,True,,True,False,,False,False,,,,True
17187,578,250.0,,26.0,,,,,192.0,,379.2,147.6,,42.1,110.1,,,,185.0,-328.0,,-552.0,,,,,-386.0,,-198.8,-430.4,,-535.9,-467.9,,,,-393.0,,False,,,,,False,,True,False,,False,False,,,,False
17189,383,150.0,,104.0,,,,,106.0,,193.6,68.3,,38.7,83.2,,,,106.0,-233.0,,-279.0,,,,,-277.0,,-189.4,-314.7,,-344.3,-299.8,,,,-277.0,,False,,,,,False,,True,False,,False,False,,,,False
