,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Carolina,50826,43701.0,67105.6,43737.2,43500.0,43480.0,,41289.9,25639.0,56141.7,38132.0,,43142.0,51819.4,43572.8,44550.0,24623.3,44844.5,56201.9,33740.4,47351.8,55980.0,,40937.2,10295.3,30878.0,53619.4,40042.5,47886.4,43260.0,-7125.0,16279.6,-7088.8,-7326.0,-7346.0,,-9536.1,-25187.0,5315.7,-12694.0,,-7684.0,993.4,-7253.2,-6276.0,-26202.7,-5981.5,5375.9,-17085.6,-3474.2,5154.0,,-9888.8,-40530.7,-19948.0,2793.4,-10783.5,-2939.6,-7566.0,False,True,False,False,,False,False,True,False,,False,True,False,True,False,True,True,False,True,True,,False,False,False,True,False,True,False
North Dakota,25998,16839.0,10973.0,16683.6,16823.0,13452.0,,15657.0,12701.0,24277.7,16528.9,,17482.0,20613.6,29241.7,18846.0,3064.8,20072.5,25798.8,14965.2,20246.1,23214.0,,21140.2,7040.1,16514.0,18631.1,23008.8,12942.7,19084.0,-9159.0,-15025.0,-9314.4,-9175.0,-12546.0,,-10341.0,-13297.0,-1720.3,-9469.1,,-8516.0,-5384.4,3243.7,-7152.0,-22933.2,-5925.5,-199.2,-11032.8,-5751.9,-2784.0,,-4857.8,-18957.9,-9484.0,-7366.9,-2989.2,-13055.3,-6914.0,False,False,False,False,,False,False,True,False,,True,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,False,True
Ohio,94437,46743.0,173391.7,46844.4,46808.0,56770.0,,45702.8,24805.0,61512.5,54095.7,,46157.0,53987.4,40878.0,50074.0,45288.1,50775.5,73681.0,40508.1,62215.1,64199.0,,48926.9,6171.9,29386.8,37418.3,57298.2,65961.0,56830.0,-47694.0,78954.7,-47592.6,-47629.0,-37667.0,,-48734.2,-69632.0,-32924.5,-40341.3,,-48280.0,-40449.6,-53559.0,-44363.0,-49148.9,-43661.5,-20756.0,-53928.9,-32221.9,-30238.0,,-45510.1,-88265.1,-65050.2,-57018.7,-37138.8,-28476.0,-37607.0,False,True,True,True,,False,False,True,True,,False,True,False,True,False,True,True,False,True,True,,True,False,False,False,True,True,True
Oklahoma,34520,27651.0,37534.7,27687.3,27561.0,27532.0,,25806.2,22451.0,40581.8,27546.9,,28050.0,32811.0,29739.8,27819.0,13185.8,27885.5,30358.7,21356.9,31572.5,35578.0,,18510.0,25705.5,16968.2,31136.3,28920.6,29052.0,26029.0,-6869.0,3014.7,-6832.7,-6959.0,-6988.0,,-8713.8,-12069.0,6061.8,-6973.1,,-6470.0,-1709.0,-4780.2,-6701.0,-21334.2,-6634.5,-4161.3,-13163.1,-2947.5,1058.0,,-16010.0,-8814.5,-17551.8,-3383.7,-5599.4,-5468.0,-8491.0,True,True,False,False,,False,False,True,False,,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,True,True,False
Oregon,14279,7272.0,9699.7,7262.7,7393.0,7700.0,,6734.7,4885.0,9985.9,8092.1,,7784.0,8404.0,8358.2,9975.0,8633.1,7995.5,5627.4,6584.5,8145.9,9496.0,,6053.8,9652.9,4146.7,10374.5,7178.5,10930.7,7613.0,-7007.0,-4579.3,-7016.3,-6886.0,-6579.0,,-7544.3,-9394.0,-4293.1,-6186.9,,-6495.0,-5875.0,-5920.8,-4304.0,-5645.9,-6283.5,-8651.6,-7694.5,-6133.1,-4783.0,,-8225.2,-4626.1,-10132.3,-3904.5,-7100.5,-3348.3,-6666.0,True,False,True,True,,False,False,True,True,,True,True,True,True,True,True,False,False,True,True,,False,True,False,True,False,True,True
Pennsylvania,66852,35106.0,41313.0,35006.1,35474.0,40083.0,,35346.5,28905.0,56225.3,41786.5,,34510.0,36899.2,32504.4,39468.0,44363.3,36849.0,53159.5,25441.2,41171.1,47228.0,,32133.9,19193.0,22518.1,30851.2,35086.8,41500.4,36274.0,-31746.0,-25539.0,-31845.9,-31378.0,-26769.0,,-31505.5,-37947.0,-10626.7,-25065.5,,-32342.0,-29952.8,-34347.6,-27384.0,-22488.7,-30003.0,-13692.5,-41410.8,-25680.9,-19624.0,,-34718.1,-47659.0,-44333.9,-36000.8,-31765.2,-25351.6,-30578.0,True,False,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,True,,False,False,False,False,False,True,True
Rhode Island,11411,7281.0,8615.1,6899.9,6217.0,5197.0,,7110.9,5780.0,19954.0,6947.2,,6450.0,5800.8,5709.8,4725.0,3755.3,6503.0,9770.8,3572.9,7663.1,8747.0,,7598.0,6958.6,4833.8,5909.6,4969.2,3542.9,5831.0,-4130.0,-2795.9,-4511.1,-5194.0,-6214.0,,-4300.1,-5631.0,8543.0,-4463.8,,-4961.0,-5610.2,-5701.2,-6686.0,-7655.7,-4908.0,-1640.2,-7838.1,-3747.9,-2664.0,,-3813.0,-4452.4,-6577.2,-5501.4,-6441.8,-7868.1,-5580.0,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,True,True,,True,False,False,False,False,False,False
South Carolina,24673,18381.0,38967.0,18069.3,19729.0,20164.0,,20679.6,9569.0,28877.0,13057.2,,20879.0,21738.7,17804.5,22977.0,6768.9,18043.5,18384.4,17361.0,24538.6,21707.0,,13387.5,15018.9,10029.0,22225.8,20363.3,20857.9,17725.0,-6292.0,14294.0,-6603.7,-4944.0,-4509.0,,-3993.4,-15104.0,4204.0,-11615.8,,-3794.0,-2934.3,-6868.5,-1696.0,-17904.1,-6629.5,-6288.6,-7312.0,-134.4,-2966.0,,-11285.5,-9654.1,-14644.0,-2447.2,-4309.7,-3815.1,-6948.0,False,False,True,True,,True,False,True,False,,True,True,False,True,False,False,True,False,True,True,,False,False,False,True,True,True,False
South Dakota,26041,16590.0,20448.9,16844.8,17667.0,14656.0,,15623.7,17443.0,27379.9,20062.7,,16696.0,23103.2,28338.2,18245.0,2334.4,20096.0,22565.8,19178.4,21827.9,24070.0,,18672.7,14482.6,14027.7,19462.3,25149.7,18886.5,12187.0,-9451.0,-5592.1,-9196.2,-8374.0,-11385.0,,-10417.3,-8598.0,1338.9,-5978.3,,-9345.0,-2937.8,2297.2,-7796.0,-23706.6,-5945.0,-3475.2,-6862.6,-4213.1,-1971.0,,-7368.3,-11558.4,-12013.3,-6578.7,-891.3,-7154.5,-13854.0,True,True,True,False,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,True,True,False
Tennessee,61033,53844.0,68962.1,51191.9,53509.0,71187.0,,48691.8,23471.0,66625.7,51508.5,,43860.0,55667.0,54889.3,63790.0,18584.2,51223.0,64716.9,55997.3,67261.4,66473.0,,51327.4,3339.4,34876.2,42081.4,51216.5,86629.7,48166.0,-7189.0,7929.1,-9841.1,-7524.0,10154.0,,-12341.2,-37562.0,5592.7,-9524.5,,-17173.0,-5366.0,-6143.7,2757.0,-42448.8,-9810.0,3683.9,-5035.7,6228.4,5440.0,,-9705.6,-57693.6,-26156.8,-18951.6,-9816.5,25596.7,-12867.0,False,False,False,False,,False,False,True,False,,False,True,True,True,False,False,True,True,True,True,,False,False,False,False,False,False,False
Texas,209826,119760.0,107591.0,121666.8,113710.0,146153.0,,110715.9,46975.0,150189.1,123673.8,,127283.0,109440.4,115103.4,123455.0,62474.2,92972.5,139463.4,74713.9,132141.0,148272.0,,84115.6,78986.2,81403.1,96157.7,123885.3,145186.0,113673.0,-90066.0,-102235.0,-88159.2,-96116.0,-63673.0,,-99110.1,-162851.0,-59636.9,-86152.2,,-82543.0,-100385.6,-94722.6,-86371.0,-147351.8,-116853.5,-70362.6,-135112.1,-77685.0,-61554.0,,-125710.4,-130839.8,-128422.9,-113668.3,-85940.7,-64640.0,-96153.0,False,True,False,True,,False,False,True,True,,True,False,False,True,False,False,True,False,True,True,,False,False,False,False,True,True,False
Utah,48024,29460.0,18663.4,28598.9,27989.0,26100.0,,27602.9,11301.0,56649.4,26989.4,,29115.0,35044.2,17942.4,27189.0,11069.6,32467.5,33738.6,29757.6,37616.1,35461.0,,26804.9,26302.8,19907.5,31002.6,34169.5,30633.9,28075.0,-18564.0,-29360.6,-19425.1,-20035.0,-21924.0,,-20421.1,-36723.0,8625.4,-21034.6,,-18909.0,-12979.8,-30081.6,-20835.0,-36954.4,-15556.5,-14285.4,-18266.4,-10407.9,-12563.0,,-21219.1,-21721.2,-28116.5,-17021.4,-13854.5,-17390.1,-19949.0,False,False,False,False,,False,False,True,False,,False,True,False,False,False,True,True,True,True,True,,False,False,False,True,True,True,False
Vermont,800,351.0,68.3,339.7,340.0,625.0,,89.6,202.0,386.0,506.9,,278.0,271.8,976.3,492.0,486.5,316.0,456.0,403.7,481.9,575.0,,225.7,110.7,344.2,327.6,176.7,1706.6,513.0,-449.0,-731.7,-460.3,-460.0,-175.0,,-710.4,-598.0,-414.0,-293.1,,-522.0,-528.2,176.3,-308.0,-313.5,-484.0,-344.0,-396.3,-318.1,-225.0,,-574.3,-689.3,-455.8,-472.4,-623.3,906.6,-287.0,False,False,False,True,,False,False,True,True,,False,False,True,True,True,False,True,True,True,True,,False,False,False,False,False,False,True
Virginia,28427,20988.0,46142.9,21227.0,21452.0,21844.0,,21613.2,7373.0,27651.9,20272.8,,20398.0,23931.9,23115.5,23839.0,19059.3,22380.0,25683.6,16884.2,23284.7,26143.0,,17358.6,15463.9,16250.2,24755.4,19406.7,20963.0,19933.0,-7439.0,17715.9,-7200.0,-6975.0,-6583.0,,-6813.8,-21054.0,-775.1,-8154.2,,-8029.0,-4495.1,-5311.5,-4588.0,-9367.7,-6047.0,-2743.4,-11542.8,-5142.3,-2284.0,,-11068.4,-12963.1,-12176.8,-3671.6,-9020.3,-7464.0,-8494.0,False,True,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,True,,False,False,False,True,False,False,False
Washington,28322,13779.0,21148.1,13612.5,14212.0,14167.0,,14993.5,7597.0,16999.3,13771.5,,11908.0,15700.0,12478.1,14426.0,14169.9,15087.5,16647.2,11871.7,18296.1,18478.0,,16595.3,13767.2,8309.8,17254.0,13526.6,17951.1,15424.0,-14543.0,-7173.9,-14709.5,-14110.0,-14155.0,,-13328.5,-20725.0,-11322.7,-14550.5,,-16414.0,-12622.0,-15843.9,-13896.0,-14152.1,-13234.5,-11674.8,-16450.3,-10025.9,-9844.0,,-11726.7,-14554.8,-20012.2,-11068.0,-14795.4,-10370.9,-12898.0,True,False,True,True,,True,False,True,False,,False,True,False,True,True,True,True,False,True,True,,True,False,False,True,False,True,True
West Virginia,11076,5733.0,12577.1,5777.9,5884.0,7469.0,,6182.2,4288.0,8505.1,5621.1,,5066.0,6734.4,13852.7,6713.0,4297.3,6400.0,8345.8,4392.1,5985.5,9086.0,,5095.7,5977.2,3397.6,6914.5,6251.8,5199.0,4809.0,-5343.0,1501.1,-5298.1,-5192.0,-3607.0,,-4893.8,-6788.0,-2570.9,-5454.9,,-6010.0,-4341.6,2776.7,-4363.0,-6778.7,-4676.0,-2730.2,-6683.9,-5090.5,-1990.0,,-5980.3,-5098.8,-7678.4,-4161.5,-4824.2,-5877.0,-6267.0,True,True,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,True,,False,True,False,True,True,False,False
Wisconsin,118465,85062.0,141082.4,82319.4,83376.0,102838.0,,71658.4,34766.0,136795.2,77399.6,,82396.0,93271.0,103631.3,85650.0,27887.6,87034.0,141709.1,65805.7,102357.0,110231.0,,60219.7,51908.2,82032.9,79444.5,109332.4,68077.4,51970.0,-33403.0,22617.4,-36145.6,-35089.0,-15627.0,,-46806.6,-83699.0,18330.2,-41065.4,,-36069.0,-25194.0,-14833.7,-32815.0,-90577.4,-31431.0,23244.1,-52659.3,-16108.0,-8234.0,,-58245.3,-66556.8,-36432.1,-39020.5,-9132.6,-50387.6,-66495.0,True,False,False,True,,False,False,True,False,,False,True,True,True,False,True,True,False,True,True,,False,False,False,False,True,False,False
Wyoming,11076,5967.0,20429.2,6143.0,6099.0,5418.0,,5297.4,2587.0,9523.7,8763.1,,5506.0,7278.7,11591.8,7980.0,1642.7,6648.5,8554.5,5311.3,6661.6,9960.0,,6219.8,2613.9,5200.8,6115.9,10979.8,6669.9,5218.0,-5109.0,9353.2,-4933.0,-4977.0,-5658.0,,-5778.6,-8489.0,-1552.3,-2312.9,,-5570.0,-3797.3,515.8,-3096.0,-9433.3,-4427.5,-2521.5,-5764.7,-4414.4,-1116.0,,-4856.2,-8462.1,-5875.2,-4960.1,-96.2,-4406.1,-5858.0,False,True,True,False,,False,False,True,True,,False,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,True,False
US,2404080,1406379.0,1676371.1,1394571.6,1502544.0,1608416.0,1643746.0,1666672.4,836271.0,1965575.0,,1653362.0,1363547.0,1510620.7,1415887.7,1448606.0,878501.3,,1918624.6,1029519.7,1810029.3,1764295.0,1630696.3,1867860.2,707758.7,1350425.1,,1728285.9,1608214.6,1470361.5,-997701.0,-727708.9,-1009508.4,-901536.0,-795664.0,-760334.0,-737407.6,-1567809.0,-438505.0,,-750718.0,-1040533.0,-893459.3,-988192.3,-955474.0,-1525578.7,,-485455.4,-1374560.3,-594050.7,-639785.0,-773383.7,-536219.8,-1696321.3,-1053654.9,,-675794.1,-795865.4,-933718.5,True,False,True,True,True,True,False,True,,True,False,True,True,True,False,,True,False,True,True,True,True,False,False,,True,True,True
