,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
16083,1944,1626.0,,1629.1,,1603.0,1769.0,,,,,1090.9,,937.0,,1592.0,,446.6,1613.5,,1621.8,1683.6,674.2,2291.0,,,,1008.5,,,,700.0,,-318.0,,-314.9,,-341.0,-175.0,,,,,-853.1,,-1007.0,,-352.0,,-1497.4,-330.5,,-322.2,-260.4,-1269.8,347.0,,,,-935.5,,,,-1244.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,True,False,False,,,,False,,,,False,
16085,76,24.0,,26.4,,23.0,0.0,,,,,22.9,,21.0,,57.0,,15.1,,,8.3,19.4,28.1,26.0,,,,,,,,17.0,,-52.0,,-49.6,,-53.0,-76.0,,,,,-53.1,,-55.0,,-19.0,,-60.9,,,-67.7,-56.6,-47.9,-50.0,,,,,,,,-59.0,,,True,,False,False,,,,,False,,False,,True,,False,,,False,False,True,True,,,,,,,,False,
16087,151,63.0,,55.7,,47.0,37.0,,,,,56.9,,48.0,,55.0,,18.3,,,21.3,57.7,0.0,66.0,,,,,,,,37.0,59.1,-88.0,,-95.3,,-104.0,-114.0,,,,,-94.1,,-103.0,,-96.0,,-132.7,,,-129.7,-93.3,-151.0,-85.0,,,,,,,,-114.0,-91.9,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,True,,,,,,,,False,False
17001,1619,888.0,,835.3,,776.0,1659.0,,,,,737.1,,509.0,,924.4,,361.4,932.5,,758.3,777.8,420.2,1225.0,,,,539.4,,,,797.0,,-731.0,,-783.7,,-843.0,40.0,,,,,-881.9,,-1110.0,,-694.6,,-1257.6,-686.5,,-860.7,-841.2,-1198.8,-394.0,,,,-1079.6,,,,-822.0,,,False,,False,True,,,,,False,,False,,True,,False,True,,False,False,False,True,,,,False,,,,False,
17003,89,45.0,,43.7,,34.0,30.0,,,,,31.8,,31.0,,45.1,,11.5,,,18.7,37.4,0.9,45.0,,,,,,,,35.0,,-44.0,,-45.3,,-55.0,-59.0,,,,,-57.2,,-58.0,,-43.9,,-77.5,,,-70.3,-51.6,-88.1,-44.0,,,,,,,,-54.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,False,,,,,,,,False,
17005,315,144.0,,130.4,,127.0,106.0,,,,,59.8,,105.0,,355.7,,35.7,,,44.8,128.8,105.2,217.0,,,,,,,,167.0,,-171.0,,-184.6,,-188.0,-209.0,,,,,-255.2,,-210.0,,40.7,,-279.3,,,-270.2,-186.2,-209.8,-98.0,,,,,,,,-148.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,True,
17007,1167,702.0,,697.8,,621.0,778.0,,,,,487.3,,551.0,,832.4,,393.0,828.5,,440.9,678.6,407.4,1033.0,,,,524.9,,,,496.0,,-465.0,,-469.2,,-546.0,-389.0,,,,,-679.7,,-616.0,,-334.6,,-774.0,-338.5,,-726.1,-488.4,-759.6,-134.0,,,,-642.1,,,,-671.0,,,False,,False,True,,,,,False,,False,,True,,False,True,,False,False,False,True,,,,False,,,,False,
17009,108,42.0,,45.5,,37.0,37.0,,,,,15.1,,65.0,,115.9,,8.2,,,8.7,32.9,12.7,64.0,,,,,,,,59.0,,-66.0,,-62.5,,-71.0,-71.0,,,,,-92.9,,-43.0,,7.9,,-99.8,,,-99.3,-75.1,-95.3,-44.0,,,,,,,,-49.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,False,False,True,,,,,,,,True,
17011,694,189.0,,187.4,,187.0,125.0,,,,,165.0,,274.0,,195.0,,107.1,221.0,,93.5,197.9,156.2,232.0,,,,,,,,117.0,,-505.0,,-506.6,,-507.0,-569.0,,,,,-529.0,,-420.0,,-499.0,,-586.9,-473.0,,-600.5,-496.1,-537.8,-462.0,,,,,,,,-577.0,,,False,,False,False,,,,,False,,True,,True,,False,True,,False,True,False,True,,,,,,,,False,
17013,93,0.0,,0.0,,0.0,0.0,,,,,3.5,,23.0,,30.5,,4.8,,,2.0,1.6,,4.0,,,,,,,,2.0,,-93.0,,-93.0,,-93.0,-93.0,,,,,-89.5,,-70.0,,-62.5,,-88.2,,,-91.0,-91.4,,-89.0,,,,,,,,-91.0,,,False,,False,False,,,,,True,,True,,True,,True,,,True,True,,True,,,,,,,,True,
17015,470,153.0,,150.2,,146.0,177.0,,,,,153.1,,139.0,,421.6,,47.9,,,100.9,152.2,116.3,325.0,,,,,,,,119.0,,-317.0,,-319.8,,-324.0,-293.0,,,,,-316.9,,-331.0,,-48.4,,-422.1,,,-369.1,-317.8,-353.7,-145.0,,,,,,,,-351.0,,,False,,False,True,,,,,True,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
17017,248,39.0,,39.1,,38.0,22.0,,,,,29.3,,66.0,,77.5,,33.9,,,17.2,50.1,0.0,59.0,,,,,,,,39.0,,-209.0,,-208.9,,-210.0,-226.0,,,,,-218.7,,-182.0,,-170.5,,-214.1,,,-230.8,-197.9,-248.0,-189.0,,,,,,,,-209.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,False,
17019,2801,1242.0,,1243.2,,1150.0,1800.0,,,,,1607.6,,1152.0,,789.8,,1078.8,1035.5,,1088.8,1453.6,0.5,1467.0,,,,1141.1,1242.0,,,889.0,,-1559.0,,-1557.8,,-1651.0,-1001.0,,,,,-1193.4,,-1649.0,,-2011.2,,-1722.2,-1765.5,,-1712.2,-1347.4,-2800.5,-1334.0,,,,-1659.9,-1559.0,,,-1912.0,,,True,,False,True,,,,,True,,False,,False,,False,False,,False,True,False,True,,,,False,False,,,False,
17021,643,183.0,,177.6,,148.0,95.0,,,,,116.9,,273.0,,248.7,,80.0,221.0,,56.2,147.6,4.2,231.0,,,,,,,,127.0,251.8,-460.0,,-465.4,,-495.0,-548.0,,,,,-526.1,,-370.0,,-394.3,,-563.0,-422.0,,-586.8,-495.4,-638.8,-412.0,,,,,,,,-516.0,-391.2,,False,,False,False,,,,,False,,True,,True,,False,True,,False,False,False,True,,,,,,,,False,True
17023,281,168.0,,170.2,,144.0,190.0,,,,,73.7,,122.0,,265.0,,41.6,,,65.0,103.7,106.2,257.0,,,,,,,,165.0,,-113.0,,-110.8,,-137.0,-91.0,,,,,-207.3,,-159.0,,-16.0,,-239.4,,,-216.0,-177.3,-174.8,-24.0,,,,,,,,-116.0,,,True,,False,True,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
17025,253,105.0,,110.8,,90.0,132.0,,,,,80.3,,77.0,,163.3,,47.8,,,38.8,89.4,0.0,161.0,,,,,,,,27.0,,-148.0,,-142.2,,-163.0,-121.0,,,,,-172.7,,-176.0,,-89.7,,-205.2,,,-214.2,-163.6,-253.0,-92.0,,,,,,,,-226.0,,,True,,False,True,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
17027,779,576.0,,575.4,,548.0,575.0,,,,,346.2,,227.0,,654.4,,213.3,595.0,,363.3,531.2,418.4,653.0,,,,480.3,,,,349.0,,-203.0,,-203.6,,-231.0,-204.0,,,,,-432.8,,-552.0,,-124.6,,-565.7,-184.0,,-415.7,-247.8,-360.6,-126.0,,,,-298.7,,,,-430.0,,,False,,False,False,,,,,False,,False,,True,,False,True,,False,False,False,True,,,,False,,,,False,
17029,883,411.0,,397.1,,402.0,472.0,,,,,377.3,,509.0,,399.3,,219.8,391.5,,221.2,434.2,0.6,575.0,,,,391.6,,,,634.0,,-472.0,,-485.9,,-481.0,-411.0,,,,,-505.7,,-374.0,,-483.7,,-663.2,-491.5,,-661.8,-448.8,-882.4,-308.0,,,,-491.4,,,,-249.0,,,False,,False,True,,,,,False,,True,,False,,False,False,,False,True,False,True,,,,False,,,,True,
17031,72575,34791.0,,34350.3,30099.9,32422.0,37748.0,,,,,26235.4,,28099.0,,23564.8,,12739.2,35719.0,,29989.7,45217.8,42941.1,42904.0,,,,23755.7,61224.0,,,35223.0,,-37784.0,,-38224.7,-42475.1,-40153.0,-34827.0,,,,,-46339.6,,-44476.0,,-49010.2,,-59835.8,-36856.0,,-42585.3,-27357.2,-29633.9,-29671.0,,,,-48819.3,-11351.0,,,-37352.0,,,False,False,False,True,,,,,False,,False,,False,,False,True,,False,True,True,True,,,,False,True,,,True,
17033,191,105.0,,108.4,,98.0,73.0,,,,,51.8,,161.0,,162.5,,32.6,,,24.1,105.1,0.2,55.0,,,,,,,,1.0,,-86.0,,-82.6,,-93.0,-118.0,,,,,-139.2,,-30.0,,-28.5,,-158.4,,,-166.9,-85.9,-190.8,-136.0,,,,,,,,-190.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,False,,,,,,,,False,
17035,196,102.0,,99.1,,87.0,47.0,,,,,77.7,,78.0,,88.8,,22.7,,,61.2,98.9,62.9,157.0,,,,,,,,79.0,,-94.0,,-96.9,,-109.0,-149.0,,,,,-118.3,,-118.0,,-107.2,,-173.3,,,-134.8,-97.1,-133.1,-39.0,,,,,,,,-117.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,True,,,,,,,,False,
17037,1610,840.0,,853.0,,811.0,1268.0,,,,,748.3,,818.0,,811.5,,554.1,621.5,,533.4,965.6,471.8,1111.0,,,,674.9,,,,934.0,,-770.0,,-757.0,,-799.0,-342.0,,,,,-861.7,,-792.0,,-798.5,,-1055.9,-988.5,,-1076.6,-644.4,-1138.2,-499.0,,,,-935.1,,,,-676.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,True,False,True,,,,False,,,,True,
17039,235,99.0,,100.4,,98.0,111.0,,,,,42.6,,120.0,,206.6,,60.0,,,50.2,88.7,0.0,161.0,,,,,,,,55.0,,-136.0,,-134.6,,-137.0,-124.0,,,,,-192.4,,-115.0,,-28.4,,-175.0,,,-184.8,-146.3,-235.0,-74.0,,,,,,,,-180.0,,,True,,False,True,,,,,False,,True,,True,,False,,,False,False,False,True,,,,,,,,False,
17041,441,429.0,,404.5,,420.0,646.0,,,,,260.0,,154.0,,1316.4,,72.3,,,475.6,421.3,231.2,701.0,,,,,,,,312.0,,-12.0,,-36.5,,-21.0,205.0,,,,,-181.0,,-287.0,,875.4,,-368.7,,,34.6,-19.7,-209.8,260.0,,,,,,,,-129.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,False,,,,,,,,False,
17043,12061,6207.0,,6423.4,5645.0,5925.0,8329.0,,,,,8004.8,,5167.0,,4601.6,,4778.9,5844.0,,5014.4,7722.3,5124.3,8310.0,,,,4383.9,8540.0,,,6820.0,,-5854.0,,-5637.6,-6416.0,-6136.0,-3732.0,,,,,-4056.2,,-6894.0,,-7459.4,,-7282.1,-6217.0,,-7046.6,-4338.7,-6936.7,-3751.0,,,,-7677.1,-3521.0,,,-5241.0,,,True,False,False,True,,,,,True,,False,,False,,False,False,,False,True,False,True,,,,False,True,,,True,
17045,413,48.0,,48.1,,48.0,20.0,,,,,31.8,,136.0,,93.0,,61.3,,,10.3,45.7,44.8,59.0,,,,,,,,58.0,,-365.0,,-364.9,,-365.0,-393.0,,,,,-381.2,,-277.0,,-320.0,,-351.7,,,-402.7,-367.3,-368.2,-354.0,,,,,,,,-355.0,,,True,,False,False,,,,,False,,True,,True,,True,,,False,False,False,True,,,,,,,,True,
17047,51,30.0,,29.9,,32.0,43.0,,,,,15.0,,34.0,,82.7,,19.5,,,7.0,35.7,25.8,60.0,,,,,,,,57.0,,-21.0,,-21.1,,-19.0,-8.0,,,,,-36.0,,-17.0,,31.7,,-31.5,,,-44.0,-15.3,-25.2,9.0,,,,,,,,6.0,,,False,,True,True,,,,,False,,True,,False,,False,,,False,True,False,True,,,,,,,,True,
17049,816,306.0,,318.7,,282.0,426.0,,,,,210.3,,268.0,,281.7,,93.1,296.0,,186.6,297.4,2.4,436.0,,,,287.1,,,,266.0,,-510.0,,-497.3,,-534.0,-390.0,,,,,-605.7,,-548.0,,-534.3,,-722.9,-520.0,,-629.4,-518.6,-813.6,-380.0,,,,-528.9,,,,-550.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,False,False,True,,,,False,,,,False,
17051,481,177.0,,173.2,,175.0,143.0,,,,,109.7,,188.0,,315.5,,61.2,,,71.9,177.7,173.6,280.0,,,,,,,,143.0,,-304.0,,-307.8,,-306.0,-338.0,,,,,-371.3,,-293.0,,-165.5,,-419.8,,,-409.1,-303.3,-307.4,-201.0,,,,,,,,-338.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,False,
17053,311,84.0,,89.2,,84.0,114.0,,,,,31.4,,109.0,,187.1,,32.6,,,19.7,58.9,39.0,126.0,,,,,,,,40.0,,-227.0,,-221.8,,-227.0,-197.0,,,,,-279.6,,-202.0,,-123.9,,-278.4,,,-291.3,-252.1,-272.0,-185.0,,,,,,,,-271.0,,,True,,False,True,,,,,False,,True,,True,,False,,,False,False,False,True,,,,,,,,False,
17055,625,417.0,,420.3,,419.0,508.0,,,,,253.6,,214.0,,759.3,,145.0,519.0,,430.3,424.5,274.9,768.0,,,,,,,,358.0,,-208.0,,-204.7,,-206.0,-117.0,,,,,-371.4,,-411.0,,134.3,,-480.0,-106.0,,-194.7,-200.5,-350.1,143.0,,,,,,,,-267.0,,,True,,True,True,,,,,False,,False,,True,,False,True,,True,True,False,True,,,,,,,,False,
17057,504,378.0,,386.2,,366.0,543.0,,,,,97.0,,235.0,,1204.9,,130.5,676.0,,281.8,366.5,119.1,658.0,,,,,,,,344.0,,-126.0,,-117.8,,-138.0,39.0,,,,,-407.0,,-269.0,,700.9,,-373.5,172.0,,-222.2,-137.5,-384.9,154.0,,,,,,,,-160.0,,,True,,False,True,,,,,False,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,
17059,55,9.0,,9.1,,9.0,12.0,,,,,6.1,,33.0,,40.6,,11.0,,,1.3,17.3,0.0,,,,,,,,,12.0,,-46.0,,-45.9,,-46.0,-43.0,,,,,-48.9,,-22.0,,-14.4,,-44.0,,,-53.7,-37.7,-55.0,,,,,,,,,-43.0,,,True,,False,True,,,,,False,,True,,True,,True,,,False,True,False,,,,,,,,,True,
17061,314,78.0,,72.0,,71.0,32.0,,,,,54.3,,95.0,,99.5,,30.4,,,37.9,79.7,1.2,137.0,,,,,,,,86.0,,-236.0,,-242.0,,-243.0,-282.0,,,,,-259.7,,-219.0,,-214.5,,-283.6,,,-276.1,-234.3,-312.8,-177.0,,,,,,,,-228.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,True,
17063,990,342.0,,338.0,,343.0,484.0,,,,,219.2,,384.0,,442.4,,264.7,314.0,,170.9,313.0,266.8,464.0,,,,,,,,461.0,,-648.0,,-652.0,,-647.0,-506.0,,,,,-770.8,,-606.0,,-547.6,,-725.3,-676.0,,-819.1,-677.0,-723.2,-526.0,,,,,,,,-529.0,,,False,,True,True,,,,,False,,True,,True,,False,False,,False,False,False,True,,,,,,,,True,
17065,165,33.0,,31.4,,33.0,42.0,,,,,22.0,,63.0,,91.1,,24.2,,,7.9,44.5,27.7,61.0,,,,,,,,26.0,,-132.0,,-133.6,,-132.0,-123.0,,,,,-143.0,,-102.0,,-73.9,,-140.8,,,-157.1,-120.5,-137.3,-104.0,,,,,,,,-139.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,False,
17067,417,99.0,,106.6,,93.0,70.0,,,,,93.3,,89.0,,135.9,,40.1,,,39.1,84.2,68.9,181.0,,,,,,,,111.0,,-318.0,,-310.4,,-324.0,-347.0,,,,,-323.7,,-328.0,,-281.1,,-376.9,,,-377.9,-332.8,-348.1,-236.0,,,,,,,,-306.0,,,True,,False,False,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,True,
17069,36,12.0,,14.1,,10.0,0.0,,,,,8.3,,23.0,,13.9,,7.9,,,1.2,8.5,,20.0,,,,,,,,14.0,,-24.0,,-21.9,,-26.0,-36.0,,,,,-27.7,,-13.0,,-22.1,,-28.1,,,-34.8,-27.5,,-16.0,,,,,,,,-22.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,False,,True,,,,,,,,True,
17071,83,81.0,,81.6,,51.0,79.0,,,,,44.2,,41.0,,146.7,,10.4,,,19.2,51.2,8.7,135.0,,,,,,,,86.0,81.7,-2.0,,-1.4,,-32.0,-4.0,,,,,-38.8,,-42.0,,63.7,,-72.6,,,-63.8,-31.8,-74.3,52.0,,,,,,,,3.0,-1.3,,True,,False,False,,,,,False,,False,,False,,False,,,False,False,False,False,,,,,,,,False,True
17073,883,165.0,,157.4,,156.0,165.0,,,,,142.0,,401.0,,146.0,,205.4,170.0,,89.9,175.2,19.6,217.0,,,,,,,,150.0,,-718.0,,-725.6,,-727.0,-718.0,,,,,-741.0,,-482.0,,-737.0,,-677.6,-713.0,,-793.1,-707.8,-863.4,-666.0,,,,,,,,-733.0,,,False,,False,False,,,,,False,,True,,False,,True,True,,False,True,False,True,,,,,,,,False,
17075,673,132.0,,126.4,,140.0,194.0,,,,,107.1,,207.0,,160.9,,115.6,,,70.9,135.5,116.9,249.0,,,,,,,,76.0,,-541.0,,-546.6,,-533.0,-479.0,,,,,-565.9,,-466.0,,-512.1,,-557.4,,,-602.1,-537.5,-556.1,-424.0,,,,,,,,-597.0,,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,False,True,,,,,,,,False,
17077,589,327.0,,316.6,,287.0,760.0,,,,,246.4,,273.0,,247.3,,332.5,237.5,,183.6,360.9,217.8,472.0,,,,264.8,,,,439.0,,-262.0,,-272.4,,-302.0,171.0,,,,,-342.6,,-316.0,,-341.7,,-256.5,-351.5,,-405.4,-228.1,-371.2,-117.0,,,,-324.2,,,,-150.0,,,False,,False,True,,,,,False,,False,,False,,True,False,,False,True,False,True,,,,False,,,,True,
17079,221,66.0,,58.0,,57.0,0.0,,,,,22.0,,65.0,,95.0,,7.9,,,14.1,63.5,0.0,99.0,,,,,,,,46.0,,-155.0,,-163.0,,-164.0,-221.0,,,,,-199.0,,-156.0,,-126.0,,-213.1,,,-206.9,-157.5,-221.0,-122.0,,,,,,,,-175.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
17081,512,138.0,,156.3,,154.0,174.0,,,,,68.1,,260.0,,237.4,,115.2,239.5,,65.5,143.7,188.2,223.0,,,,,,,,115.0,,-374.0,,-355.7,,-358.0,-338.0,,,,,-443.9,,-252.0,,-274.6,,-396.8,-272.5,,-446.5,-368.3,-323.8,-289.0,,,,,,,,-397.0,,,True,,True,True,,,,,False,,True,,True,,False,True,,False,True,True,True,,,,,,,,False,
17083,430,66.0,,67.9,,66.0,21.0,,,,,53.2,,115.0,,114.9,,67.2,,,24.5,75.8,20.7,123.0,,,,,,,,0.0,,-364.0,,-362.1,,-364.0,-409.0,,,,,-376.8,,-315.0,,-315.1,,-362.8,,,-405.5,-354.2,-409.3,-307.0,,,,,,,,-430.0,,,True,,False,False,,,,,False,,True,,True,,True,,,False,True,False,True,,,,,,,,False,
17085,374,255.0,,242.9,,233.0,361.0,,,,,193.2,,191.0,,367.1,,79.4,,,173.4,226.1,167.1,369.0,,,,,,,,228.0,,-119.0,,-131.1,,-141.0,-13.0,,,,,-180.8,,-183.0,,-6.9,,-294.6,,,-200.6,-147.9,-206.9,-5.0,,,,,,,,-146.0,,,False,,False,True,,,,,False,,False,,True,,False,,,False,False,False,True,,,,,,,,False,
17087,210,114.0,,102.6,,100.0,159.0,,,,,59.7,,69.0,,194.7,,35.8,,,77.3,141.1,0.0,232.0,,,,,,,,81.0,,-96.0,,-107.4,,-110.0,-51.0,,,,,-150.3,,-141.0,,-15.3,,-174.2,,,-132.7,-68.9,-210.0,22.0,,,,,,,,-129.0,,,False,,False,True,,,,,False,,False,,True,,False,,,False,True,False,True,,,,,,,,False,
17089,8825,4086.0,,3931.2,4278.6,3976.0,4054.0,,,,,4523.6,,3823.0,,3439.7,,2813.5,3872.5,,2855.7,4980.4,3695.9,5794.0,,,,2740.2,6489.0,,,4520.0,,-4739.0,,-4893.8,-4546.4,-4849.0,-4771.0,,,,,-4301.4,,-5002.0,,-5385.3,,-6011.5,-4952.5,,-5969.3,-3844.6,-5129.1,-3031.0,,,,-6084.8,-2336.0,,,-4305.0,,,False,True,False,False,,,,,True,,False,,False,,False,False,,False,True,False,True,,,,False,True,,,True,
17091,2879,792.0,,782.8,,772.0,1440.0,,,,,702.0,,909.0,,599.9,,558.6,594.5,,641.2,752.9,669.2,977.0,,,,625.7,,,,1129.0,409.9,-2087.0,,-2096.2,,-2107.0,-1439.0,,,,,-2177.0,,-1970.0,,-2279.1,,-2320.4,-2284.5,,-2237.8,-2126.1,-2209.8,-1902.0,,,,-2253.3,,,,-1750.0,-2469.1,,False,,False,True,,,,,False,,True,,False,,False,False,,False,False,False,True,,,,False,,,,True,False
17093,2065,639.0,,640.3,,672.0,732.0,,,,,465.5,,706.0,,696.1,,756.5,551.5,,535.6,758.7,548.3,915.0,,,,445.0,1057.0,,,753.0,,-1426.0,,-1424.7,,-1393.0,-1333.0,,,,,-1599.5,,-1359.0,,-1368.9,,-1308.5,-1513.5,,-1529.4,-1306.3,-1516.7,-1150.0,,,,-1620.0,-1008.0,,,-1312.0,,,True,,True,True,,,,,False,,True,,True,,True,False,,False,True,False,True,,,,False,True,,,True,
17095,808,654.0,,688.7,,567.0,920.0,,,,,387.9,,470.0,,1236.5,,402.1,818.0,,536.9,592.3,321.5,1060.0,,,,344.3,,,,609.0,,-154.0,,-119.3,,-241.0,112.0,,,,,-420.1,,-338.0,,428.5,,-405.9,10.0,,-271.1,-215.7,-486.5,252.0,,,,-463.7,,,,-199.0,,,True,,False,True,,,,,False,,False,,False,,False,True,,False,False,False,False,,,,False,,,,False,
17097,9546,3699.0,,3661.0,3809.0,3681.0,3533.0,,,,,5102.0,,5236.0,,2944.4,,4146.9,3706.0,,2942.0,4117.1,4400.7,4995.0,,,,2463.8,5263.0,,,3516.0,,-5847.0,,-5885.0,-5737.0,-5865.0,-6013.0,,,,,-4444.0,,-4310.0,,-6601.6,,-5399.1,-5840.0,,-6604.0,-5428.9,-5145.3,-4551.0,,,,-7082.2,-4283.0,,,-6030.0,,,False,True,False,False,,,,,True,,True,,False,,True,True,,False,True,True,True,,,,False,True,,,False,
17099,2181,750.0,,753.3,,716.0,1138.0,,,,,475.3,,881.0,,612.7,,543.7,719.5,,558.9,787.1,505.7,988.0,,,,589.8,,,,462.0,,-1431.0,,-1427.7,,-1465.0,-1043.0,,,,,-1705.7,,-1300.0,,-1568.3,,-1637.3,-1461.5,,-1622.1,-1393.9,-1675.3,-1193.0,,,,-1591.2,,,,-1719.0,,,True,,False,True,,,,,False,,True,,False,,False,False,,False,True,False,True,,,,False,,,,False,
17101,245,84.0,,83.5,,71.0,33.0,,,,,77.1,,159.0,,85.3,,56.7,,,30.8,71.6,0.0,140.0,,,,,,,,91.0,66.9,-161.0,,-161.5,,-174.0,-212.0,,,,,-167.9,,-86.0,,-159.7,,-188.3,,,-214.2,-173.4,-245.0,-105.0,,,,,,,,-154.0,-178.1,,False,,False,False,,,,,False,,True,,True,,False,,,False,False,False,True,,,,,,,,True,False
17103,679,423.0,,457.0,,380.0,480.0,,,,,265.8,,380.0,,617.4,,169.4,436.5,,171.3,319.8,141.4,642.0,,,,,,,,319.0,,-256.0,,-222.0,,-299.0,-199.0,,,,,-413.2,,-299.0,,-61.6,,-509.6,-242.5,,-507.7,-359.2,-537.6,-37.0,,,,,,,,-360.0,,,True,,False,True,,,,,False,,False,,True,,False,True,,False,False,False,True,,,,,,,,False,
17105,946,291.0,,292.8,,265.0,258.0,,,,,185.6,,316.0,,441.6,,115.6,300.0,,155.7,249.0,153.9,468.0,,,,,,,,528.0,,-655.0,,-653.2,,-681.0,-688.0,,,,,-760.4,,-630.0,,-504.4,,-830.4,-646.0,,-790.3,-697.0,-792.1,-478.0,,,,,,,,-418.0,,,True,,False,False,,,,,False,,True,,True,,False,True,,False,False,False,True,,,,,,,,True,
17107,542,180.0,,193.1,,135.0,123.0,,,,,193.2,,200.0,,135.9,,68.5,,,87.1,147.5,0.0,252.0,,,,,,,,123.0,,-362.0,,-348.9,,-407.0,-419.0,,,,,-348.8,,-342.0,,-406.1,,-473.5,,,-454.9,-394.5,-542.0,-290.0,,,,,,,,-419.0,,,True,,False,False,,,,,True,,True,,False,,False,,,False,False,False,True,,,,,,,,False,
17109,508,312.0,,316.2,,311.0,748.0,,,,,189.9,,174.0,,443.7,,250.7,252.0,,233.8,342.1,194.9,498.0,,,,,,,,357.0,,-196.0,,-191.8,,-197.0,240.0,,,,,-318.1,,-334.0,,-64.3,,-257.3,-256.0,,-274.2,-165.9,-313.1,-10.0,,,,,,,,-151.0,,,True,,False,False,,,,,False,,False,,True,,False,False,,False,True,False,True,,,,,,,,True,
