,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
18173,1037,835.0,523.0,,,,,296.0,,699.5,593.6,,744.2,620.8,,872.0,,562.0,-202.0,-514.0,,,,,-741.0,,-337.5,-443.4,,-292.8,-416.2,,-165.0,,-475.0,False,,,,,False,,False,False,,False,False,,True,,False
18175,247,105.0,76.0,,,,,108.0,,119.6,121.9,,31.6,99.7,,,,336.0,-142.0,-171.0,,,,,-139.0,,-127.4,-125.1,,-215.4,-147.3,,,,89.0,False,,,,,True,,True,True,,False,False,,,,True
18177,1436,480.0,1408.0,,,,,356.0,,441.0,578.2,,523.4,280.4,,,,933.0,-956.0,-28.0,,,,,-1080.0,,-995.0,-857.8,,-912.6,-1155.6,,,,-503.0,True,,,,,False,,False,True,,True,False,,,,True
18179,577,225.0,380.0,,,,,175.0,,177.2,134.6,,197.5,157.6,,,,172.0,-352.0,-197.0,,,,,-402.0,,-399.8,-442.4,,-379.5,-419.4,,,,-405.0,True,,,,,False,,False,False,,False,False,,,,False
18181,437,75.0,63.0,,,,,129.0,,70.1,162.1,,27.2,151.6,,,,153.0,-362.0,-374.0,,,,,-308.0,,-366.9,-274.9,,-409.8,-285.4,,,,-284.0,False,,,,,True,,False,True,,False,True,,,,True
18183,620,260.0,515.0,,,,,176.0,,249.4,150.6,,243.0,149.3,,,,267.0,-360.0,-105.0,,,,,-444.0,,-370.6,-469.4,,-377.0,-470.7,,,,-353.0,True,,,,,False,,False,False,,False,False,,,,True
19001,245,105.0,75.0,,,,,46.0,,98.4,10.5,,31.2,,,,,122.0,-140.0,-170.0,,,,,-199.0,,-146.6,-234.5,,-213.8,,,,,-123.0,False,,,,,False,,False,False,,False,,,,,True
19003,81,65.0,35.0,,,,,27.0,,115.5,6.7,,12.6,,,,,50.0,-16.0,-46.0,,,,,-54.0,,34.5,-74.3,,-68.4,,,,,-31.0,False,,,,,False,,False,False,,False,,,,,False
19005,311,125.0,97.0,,,,,147.0,,104.6,24.8,,23.1,0.0,,,,179.0,-186.0,-214.0,,,,,-164.0,,-206.4,-286.2,,-287.9,-311.0,,,,-132.0,False,,,,,True,,False,False,,False,False,,,,True
19007,428,140.0,104.0,,,,,122.0,,118.8,29.8,,45.2,57.0,,,,75.0,-288.0,-324.0,,,,,-306.0,,-309.2,-398.2,,-382.8,-371.0,,,,-353.0,False,,,,,False,,False,False,,False,False,,,,False
19009,137,55.0,46.0,,,,,43.0,,70.5,10.9,,5.2,0.0,,,,41.0,-82.0,-91.0,,,,,-94.0,,-66.5,-126.1,,-131.8,-137.0,,,,-96.0,False,,,,,False,,True,False,,False,False,,,,False
19011,936,210.0,251.0,,,,,186.0,,222.3,85.0,,87.2,253.6,,,,110.0,-726.0,-685.0,,,,,-750.0,,-713.7,-851.0,,-848.8,-682.4,,,,-826.0,True,,,,,False,,True,False,,False,True,,,,False
19013,4073,1270.0,2143.0,,,,,1173.0,,890.1,597.5,,1260.0,31.7,,900.6,,977.0,-2803.0,-1930.0,,,,,-2900.0,,-3182.9,-3475.5,,-2813.0,-4041.3,,-3172.4,,-3096.0,True,,,,,False,,False,False,,False,False,,False,,False
19015,455,285.0,255.0,,,,,179.0,,274.1,130.6,,85.8,200.8,,,,220.0,-170.0,-200.0,,,,,-276.0,,-180.9,-324.4,,-369.2,-254.2,,,,-235.0,False,,,,,False,,False,False,,False,False,,,,False
19017,895,175.0,110.0,,,,,190.0,,149.6,121.5,,50.3,71.6,,,,101.0,-720.0,-785.0,,,,,-705.0,,-745.4,-773.5,,-844.7,-823.4,,,,-794.0,False,,,,,True,,False,False,,False,False,,,,False
19019,531,180.0,193.0,,,,,195.0,,167.0,85.5,,39.1,163.0,,,,86.0,-351.0,-338.0,,,,,-336.0,,-364.0,-445.5,,-491.9,-368.0,,,,-445.0,True,,,,,True,,False,False,,False,False,,,,False
19021,581,410.0,0.0,,,,,263.0,,271.4,301.9,,93.6,13.1,,160.9,,674.0,-171.0,-581.0,,,,,-318.0,,-309.6,-279.1,,-487.4,-567.9,,-420.1,,93.0,False,,,,,False,,False,False,,False,False,,False,,True
19023,435,135.0,69.0,,,,,86.0,,137.8,43.2,,99.1,0.0,,,,168.0,-300.0,-366.0,,,,,-349.0,,-297.2,-391.8,,-335.9,-435.0,,,,-267.0,False,,,,,False,,True,False,,False,False,,,,True
19025,623,175.0,121.0,,,,,84.0,,186.8,55.9,,98.0,104.8,,,,192.0,-448.0,-502.0,,,,,-539.0,,-436.2,-567.1,,-525.0,-518.2,,,,-431.0,False,,,,,False,,True,False,,False,False,,,,True
19027,785,770.0,450.0,,,,,253.0,,740.2,130.8,,652.2,442.8,,,,181.0,-15.0,-335.0,,,,,-532.0,,-44.8,-654.2,,-132.8,-342.2,,,,-604.0,False,,,,,False,,False,False,,False,False,,,,False
19029,415,190.0,240.0,,,,,93.0,,175.5,44.9,,65.8,107.5,,,,122.0,-225.0,-175.0,,,,,-322.0,,-239.5,-370.1,,-349.2,-307.5,,,,-293.0,True,,,,,False,,False,False,,False,False,,,,False
19031,537,100.0,120.0,,,,,102.0,,130.5,64.0,,17.1,108.4,,,,113.0,-437.0,-417.0,,,,,-435.0,,-406.5,-473.0,,-519.9,-428.6,,,,-424.0,True,,,,,True,,True,False,,False,True,,,,True
19033,1418,345.0,369.0,,,,,466.0,,324.7,98.0,,165.2,1.1,,200.9,,0.0,-1073.0,-1049.0,,,,,-952.0,,-1093.3,-1320.0,,-1252.8,-1416.9,,-1217.1,,-1418.0,True,,,,,True,,False,False,,False,False,,False,,False
19035,289,190.0,213.0,,,,,182.0,,210.3,100.3,,64.2,0.0,,,,110.0,-99.0,-76.0,,,,,-107.0,,-78.7,-188.7,,-224.8,-289.0,,,,-179.0,True,,,,,False,,True,False,,False,False,,,,False
19037,310,80.0,63.0,,,,,106.0,,83.9,36.7,,30.0,0.0,,,,36.0,-230.0,-247.0,,,,,-204.0,,-226.1,-273.3,,-280.0,-310.0,,,,-274.0,False,,,,,True,,True,False,,False,False,,,,False
19039,138,60.0,33.0,,,,,78.0,,74.1,46.9,,15.8,0.0,,,,62.0,-78.0,-105.0,,,,,-60.0,,-63.9,-91.1,,-122.2,-138.0,,,,-76.0,False,,,,,True,,True,False,,False,False,,,,True
19041,456,270.0,439.0,,,,,340.0,,266.9,103.6,,130.8,282.9,,,,202.0,-186.0,-17.0,,,,,-116.0,,-189.1,-352.4,,-325.2,-173.1,,,,-254.0,True,,,,,True,,False,False,,False,True,,,,False
19043,517,140.0,126.0,,,,,131.0,,154.3,50.1,,29.5,72.0,,,,134.0,-377.0,-391.0,,,,,-386.0,,-362.7,-466.9,,-487.5,-445.0,,,,-383.0,False,,,,,False,,True,False,,False,False,,,,False
19045,1322,330.0,330.0,,,,,424.0,,291.3,165.1,,237.9,0.3,,223.4,,396.0,-992.0,-992.0,,,,,-898.0,,-1030.7,-1156.9,,-1084.1,-1321.7,,-1098.6,,-926.0,False,,,,,True,,False,False,,False,False,,False,,True
19047,369,375.0,431.0,,,,,212.0,,314.4,140.1,,123.7,9.5,,184.4,,0.0,6.0,62.0,,,,,-157.0,,-54.6,-228.9,,-245.3,-359.5,,-184.6,,-369.0,False,,,,,False,,False,False,,False,False,,False,,False
19049,2119,830.0,1109.0,,,,,419.0,,630.3,208.5,,705.7,297.0,,596.3,,768.0,-1289.0,-1010.0,,,,,-1700.0,,-1488.7,-1910.5,,-1413.3,-1822.0,,-1522.7,,-1351.0,True,,,,,False,,False,False,,False,False,,False,,False
19051,170,65.0,35.0,,,,,65.0,,53.4,34.6,,8.6,24.6,,,,46.0,-105.0,-135.0,,,,,-105.0,,-116.6,-135.4,,-161.4,-145.4,,,,-124.0,False,,,,,False,,False,False,,False,False,,,,False
19053,160,125.0,109.0,,,,,54.0,,240.0,34.8,,72.9,0.0,,,,57.0,-35.0,-51.0,,,,,-106.0,,80.0,-125.2,,-87.1,-160.0,,,,-103.0,False,,,,,False,,False,False,,False,False,,,,False
19055,617,315.0,378.0,,,,,196.0,,377.0,134.7,,261.5,217.9,,,,133.0,-302.0,-239.0,,,,,-421.0,,-240.0,-482.3,,-355.5,-399.1,,,,-484.0,True,,,,,False,,True,False,,False,False,,,,False
19057,1323,520.0,955.0,,,,,554.0,,607.1,194.9,,202.3,73.4,,,,410.0,-803.0,-368.0,,,,,-769.0,,-715.9,-1128.1,,-1120.7,-1249.6,,,,-913.0,True,,,,,True,,True,False,,False,False,,,,False
19059,470,290.0,288.0,,,,,276.0,,279.8,141.6,,93.7,9.4,,,,194.0,-180.0,-182.0,,,,,-194.0,,-190.2,-328.4,,-376.3,-460.6,,,,-276.0,False,,,,,False,,False,False,,False,False,,,,False
19061,3641,2035.0,1105.0,,,,,1017.0,,1888.1,576.9,,2214.0,1783.1,,860.7,,855.0,-1606.0,-2536.0,,,,,-2624.0,,-1752.9,-3064.1,,-1427.0,-1857.9,,-2780.3,,-2786.0,False,,,,,False,,False,False,,True,False,,False,,False
19063,271,240.0,88.0,,,,,152.0,,241.1,105.4,,212.7,97.2,,,,184.0,-31.0,-183.0,,,,,-119.0,,-29.9,-165.6,,-58.3,-173.8,,,,-87.0,False,,,,,False,,True,False,,False,False,,,,False
19065,498,180.0,196.0,,,,,218.0,,203.8,66.9,,46.2,111.4,,,,127.0,-318.0,-302.0,,,,,-280.0,,-294.2,-431.1,,-451.8,-386.6,,,,-371.0,True,,,,,True,,True,False,,False,False,,,,False
19067,347,65.0,109.0,,,,,130.0,,90.5,75.1,,22.0,0.0,,,,42.0,-282.0,-238.0,,,,,-217.0,,-256.5,-271.9,,-325.0,-347.0,,,,-305.0,True,,,,,True,,True,True,,False,False,,,,False
19069,217,35.0,0.0,,,,,72.0,,36.3,22.0,,10.0,0.0,,,,19.0,-182.0,-217.0,,,,,-145.0,,-180.7,-195.0,,-207.0,-217.0,,,,-198.0,False,,,,,True,,True,False,,False,False,,,,False
19071,117,125.0,141.0,,,,,41.0,,153.3,34.7,,26.5,57.0,,,,0.0,8.0,24.0,,,,,-76.0,,36.3,-82.3,,-90.5,-60.0,,,,-117.0,False,,,,,False,,False,False,,False,False,,,,False
19073,236,125.0,142.0,,,,,56.0,,173.6,24.6,,55.3,15.1,,,,170.0,-111.0,-94.0,,,,,-180.0,,-62.4,-211.4,,-180.7,-220.9,,,,-66.0,True,,,,,False,,True,False,,False,False,,,,True
19075,379,80.0,57.0,,,,,70.0,,74.0,49.6,,15.6,0.0,,,,74.0,-299.0,-322.0,,,,,-309.0,,-305.0,-329.4,,-363.4,-379.0,,,,-305.0,False,,,,,False,,False,False,,False,False,,,,False
19077,284,195.0,212.0,,,,,55.0,,221.9,73.7,,66.5,146.0,,,,96.0,-89.0,-72.0,,,,,-229.0,,-62.1,-210.3,,-217.5,-138.0,,,,-188.0,True,,,,,False,,True,False,,False,False,,,,False
19079,373,205.0,270.0,,,,,101.0,,205.6,72.7,,69.9,136.9,,,,364.0,-168.0,-103.0,,,,,-272.0,,-167.4,-300.3,,-303.1,-236.1,,,,-9.0,True,,,,,False,,True,False,,False,False,,,,True
19081,416,155.0,46.0,,,,,67.0,,190.4,29.7,,117.6,90.0,,,,169.0,-261.0,-370.0,,,,,-349.0,,-225.6,-386.2,,-298.4,-326.0,,,,-247.0,False,,,,,False,,True,False,,False,False,,,,True
19083,536,110.0,105.0,,,,,108.0,,95.7,63.6,,173.6,146.4,,,,49.0,-426.0,-431.0,,,,,-428.0,,-440.3,-472.4,,-362.4,-389.6,,,,-487.0,False,,,,,False,,False,False,,True,True,,,,False
19085,447,625.0,945.0,,,,,140.0,,975.9,28.8,,714.2,239.1,,,,449.0,178.0,498.0,,,,,-307.0,,528.9,-418.2,,267.2,-207.9,,,,2.0,False,,,,,False,,False,False,,False,False,,,,True
19087,610,330.0,241.0,,,,,157.0,,310.2,100.0,,98.0,0.5,,,,80.0,-280.0,-369.0,,,,,-453.0,,-299.8,-510.0,,-512.0,-609.5,,,,-530.0,False,,,,,False,,False,False,,False,False,,,,False
19089,187,75.0,2.0,,,,,79.0,,64.9,28.6,,18.9,0.0,,,,96.0,-112.0,-185.0,,,,,-108.0,,-122.1,-158.4,,-168.1,-187.0,,,,-91.0,False,,,,,True,,False,False,,False,False,,,,True
19091,323,210.0,132.0,,,,,96.0,,198.7,43.1,,184.1,102.3,,,,218.0,-113.0,-191.0,,,,,-227.0,,-124.3,-279.9,,-138.9,-220.7,,,,-105.0,False,,,,,False,,False,False,,False,False,,,,True
19093,228,45.0,21.0,,,,,92.0,,68.2,24.6,,7.7,0.0,,,,35.0,-183.0,-207.0,,,,,-136.0,,-159.8,-203.4,,-220.3,-228.0,,,,-193.0,False,,,,,True,,True,False,,False,False,,,,False
19095,426,305.0,352.0,,,,,107.0,,424.5,76.7,,117.1,151.5,,,,383.0,-121.0,-74.0,,,,,-319.0,,-1.5,-349.3,,-308.9,-274.5,,,,-43.0,True,,,,,False,,True,False,,False,False,,,,True
19097,756,225.0,260.0,,,,,180.0,,259.4,71.6,,122.0,205.3,,,,168.0,-531.0,-496.0,,,,,-576.0,,-496.6,-684.4,,-634.0,-550.7,,,,-588.0,True,,,,,False,,True,False,,False,False,,,,False
19099,816,245.0,127.0,,,,,233.0,,241.6,177.3,,145.2,0.4,,,,132.0,-571.0,-689.0,,,,,-583.0,,-574.4,-638.7,,-670.8,-815.6,,,,-684.0,False,,,,,False,,False,False,,False,False,,,,False
19101,318,90.0,70.0,,,,,117.0,,139.3,40.4,,23.0,64.1,,,,221.0,-228.0,-248.0,,,,,-201.0,,-178.7,-277.6,,-295.0,-253.9,,,,-97.0,False,,,,,True,,True,False,,False,False,,,,True
19103,2680,925.0,2585.0,,,,,971.0,,708.8,255.5,,725.2,0.3,,1440.9,,8.0,-1755.0,-95.0,,,,,-1709.0,,-1971.2,-2424.5,,-1954.8,-2679.7,,-1239.1,,-2672.0,True,,,,,True,,False,False,,False,False,,True,,False
19105,1466,200.0,207.0,,,,,214.0,,194.0,89.3,,67.9,168.1,,,,107.0,-1266.0,-1259.0,,,,,-1252.0,,-1272.0,-1376.7,,-1398.1,-1297.9,,,,-1359.0,True,,,,,True,,False,False,,False,False,,,,False
19107,294,30.0,35.0,,,,,93.0,,29.7,19.5,,4.8,37.8,,,,9.0,-264.0,-259.0,,,,,-201.0,,-264.3,-274.5,,-289.2,-256.2,,,,-285.0,True,,,,,True,,False,False,,False,True,,,,False
19109,396,285.0,354.0,,,,,173.0,,347.8,105.4,,132.1,246.2,,,,272.0,-111.0,-42.0,,,,,-223.0,,-48.2,-290.6,,-263.9,-149.8,,,,-124.0,True,,,,,False,,True,False,,False,False,,,,False
19111,840,370.0,661.0,,,,,228.0,,351.4,187.3,,217.0,0.6,,,,399.0,-470.0,-179.0,,,,,-612.0,,-488.6,-652.7,,-623.0,-839.4,,,,-441.0,True,,,,,False,,False,False,,False,False,,,,True
19113,6844,1395.0,1123.0,,,,,1454.0,,1054.0,1360.6,,1271.4,1693.3,,682.4,,958.0,-5449.0,-5721.0,,,,,-5390.0,,-5790.0,-5483.4,,-5572.6,-5150.7,,-6161.6,,-5886.0,False,,,,,True,,False,False,,False,True,,False,,False
19115,245,95.0,5.0,,,,,54.0,,60.7,24.1,,17.2,26.3,,,,66.0,-150.0,-240.0,,,,,-191.0,,-184.3,-220.9,,-227.8,-218.7,,,,-179.0,False,,,,,False,,False,False,,False,False,,,,False
19117,114,25.0,11.0,,,,,102.0,,18.4,35.8,,2.4,0.0,,,,9.0,-89.0,-103.0,,,,,-12.0,,-95.6,-78.2,,-111.6,-114.0,,,,-105.0,False,,,,,True,,False,True,,False,False,,,,False
19119,299,250.0,356.0,,,,,159.0,,265.5,87.0,,64.6,0.0,,,,42.0,-49.0,57.0,,,,,-140.0,,-33.5,-212.0,,-234.4,-299.0,,,,-257.0,False,,,,,False,,True,False,,False,False,,,,False
19121,250,185.0,293.0,,,,,87.0,,200.0,80.8,,101.3,130.7,,,,97.0,-65.0,43.0,,,,,-163.0,,-50.0,-169.2,,-148.7,-119.3,,,,-153.0,True,,,,,False,,True,False,,False,False,,,,False
19123,536,300.0,239.0,,,,,182.0,,258.8,105.4,,160.1,145.1,,,,131.0,-236.0,-297.0,,,,,-354.0,,-277.2,-430.6,,-375.9,-390.9,,,,-405.0,False,,,,,False,,False,False,,False,False,,,,False
19125,739,300.0,334.0,,,,,252.0,,260.3,187.4,,202.5,11.6,,,,286.0,-439.0,-405.0,,,,,-487.0,,-478.7,-551.6,,-536.5,-727.4,,,,-453.0,True,,,,,False,,False,False,,False,False,,,,False
19127,1076,190.0,159.0,,,,,324.0,,165.9,93.1,,47.0,45.5,,188.0,,115.0,-886.0,-917.0,,,,,-752.0,,-910.1,-982.9,,-1029.0,-1030.5,,-888.0,,-961.0,False,,,,,True,,False,False,,False,False,,False,,False
19129,481,305.0,454.0,,,,,128.0,,337.5,70.7,,261.0,181.3,,,,289.0,-176.0,-27.0,,,,,-353.0,,-143.5,-410.3,,-220.0,-299.7,,,,-192.0,True,,,,,False,,True,False,,False,False,,,,False
19131,359,35.0,6.0,,,,,69.0,,22.2,29.3,,12.6,0.0,,,,4.0,-324.0,-353.0,,,,,-290.0,,-336.8,-329.7,,-346.4,-359.0,,,,-355.0,False,,,,,True,,False,False,,False,False,,,,False
19133,137,100.0,71.0,,,,,106.0,,108.2,27.7,,53.5,70.4,,,,76.0,-37.0,-66.0,,,,,-31.0,,-28.8,-109.3,,-83.5,-66.6,,,,-61.0,False,,,,,True,,True,False,,False,False,,,,False
19135,172,160.0,18.0,,,,,84.0,,138.9,18.8,,41.0,42.5,,,,141.0,-12.0,-154.0,,,,,-88.0,,-33.1,-153.2,,-131.0,-129.5,,,,-31.0,False,,,,,False,,False,False,,False,False,,,,False
19137,212,115.0,86.0,,,,,57.0,,159.5,19.4,,29.9,58.5,,,,287.0,-97.0,-126.0,,,,,-155.0,,-52.5,-192.6,,-182.1,-153.5,,,,75.0,False,,,,,False,,True,False,,False,False,,,,True
19139,1044,265.0,318.0,,,,,257.0,,222.8,163.8,,228.4,3.5,,158.6,,182.0,-779.0,-726.0,,,,,-787.0,,-821.2,-880.1,,-815.6,-1040.5,,-885.4,,-862.0,True,,,,,False,,False,False,,False,False,,False,,False
19141,580,260.0,288.0,,,,,286.0,,263.0,105.0,,197.2,0.0,,,,184.0,-320.0,-292.0,,,,,-294.0,,-317.0,-475.0,,-382.8,-580.0,,,,-396.0,True,,,,,True,,True,False,,False,False,,,,False
19143,226,130.0,70.0,,,,,114.0,,91.5,27.2,,44.1,0.0,,,,23.0,-96.0,-156.0,,,,,-112.0,,-134.5,-198.8,,-181.9,-226.0,,,,-203.0,False,,,,,False,,False,False,,False,False,,,,False
19145,669,205.0,311.0,,,,,112.0,,243.3,59.1,,66.0,0.0,,,,88.0,-464.0,-358.0,,,,,-557.0,,-425.7,-609.9,,-603.0,-669.0,,,,-581.0,True,,,,,False,,True,False,,False,False,,,,False
19147,248,125.0,161.0,,,,,124.0,,131.1,70.7,,55.2,0.0,,,,43.0,-123.0,-87.0,,,,,-124.0,,-116.9,-177.3,,-192.8,-248.0,,,,-205.0,True,,,,,False,,True,False,,False,False,,,,False
19149,985,540.0,369.0,,,,,384.0,,473.3,227.7,,179.4,409.6,,232.6,,90.0,-445.0,-616.0,,,,,-601.0,,-511.7,-757.3,,-805.6,-575.4,,-752.4,,-895.0,False,,,,,False,,False,False,,False,False,,False,,False
19151,250,70.0,0.0,,,,,52.0,,66.1,27.5,,23.1,0.0,,,,32.0,-180.0,-250.0,,,,,-198.0,,-183.9,-222.5,,-226.9,-250.0,,,,-218.0,False,,,,,False,,False,False,,False,False,,,,False
19153,10337,3130.0,3004.0,,,,,2545.0,,2084.4,1640.7,,1780.9,107.1,,2805.1,,1912.0,-7207.0,-7333.0,,,,,-7792.0,,-8252.6,-8696.3,,-8556.1,-10229.9,,-7531.9,,-8425.0,False,,,,,False,,False,False,,False,False,,False,,False
19155,2042,1405.0,1787.0,,,,,742.0,,1286.3,520.6,,731.7,788.4,,861.3,,1296.0,-637.0,-255.0,,,,,-1300.0,,-755.7,-1521.4,,-1310.3,-1253.6,,-1180.7,,-746.0,True,,,,,False,,False,False,,False,False,,False,,False
19157,422,165.0,240.0,,,,,144.0,,177.9,72.1,,87.4,25.6,,,,94.0,-257.0,-182.0,,,,,-278.0,,-244.1,-349.9,,-334.6,-396.4,,,,-328.0,True,,,,,False,,True,False,,False,False,,,,False
19159,75,45.0,0.0,,,,,30.0,,64.4,21.2,,33.7,,,,,80.0,-30.0,-75.0,,,,,-45.0,,-10.6,-53.8,,-41.3,,,,,5.0,False,,,,,False,,True,False,,False,,,,,True
19161,325,210.0,175.0,,,,,103.0,,203.4,89.4,,103.8,0.0,,,,152.0,-115.0,-150.0,,,,,-222.0,,-121.6,-235.6,,-221.2,-325.0,,,,-173.0,False,,,,,False,,False,False,,False,False,,,,False
19163,4912,1215.0,1054.0,,,,,1157.0,,1148.7,1059.8,,1395.7,1096.6,,554.1,,0.0,-3697.0,-3858.0,,,,,-3755.0,,-3763.3,-3852.2,,-3516.3,-3815.4,,-4357.9,,-4912.0,False,,,,,False,,False,False,,True,False,,False,,False
19165,318,115.0,74.0,,,,,110.0,,115.0,38.6,,51.5,98.3,,,,108.0,-203.0,-244.0,,,,,-208.0,,-203.0,-279.4,,-266.5,-219.7,,,,-210.0,False,,,,,False,,False,False,,False,False,,,,False
19167,1128,1030.0,1002.0,,,,,704.0,,815.4,470.0,,698.4,22.2,,558.2,,516.0,-98.0,-126.0,,,,,-424.0,,-312.6,-658.0,,-429.6,-1105.8,,-569.8,,-612.0,False,,,,,False,,False,False,,False,False,,False,,False
19169,1787,755.0,1609.0,,,,,595.0,,535.5,410.1,,513.8,0.0,,645.2,,253.0,-1032.0,-178.0,,,,,-1192.0,,-1251.5,-1376.9,,-1273.2,-1787.0,,-1141.8,,-1534.0,True,,,,,False,,False,False,,False,False,,False,,False
19171,477,285.0,210.0,,,,,100.0,,258.3,67.0,,73.7,37.8,,,,116.0,-192.0,-267.0,,,,,-377.0,,-218.7,-410.0,,-403.3,-439.2,,,,-361.0,False,,,,,False,,False,False,,False,False,,,,False
19173,178,160.0,105.0,,,,,42.0,,204.1,24.8,,36.7,56.5,,,,141.0,-18.0,-73.0,,,,,-136.0,,26.1,-153.2,,-141.3,-121.5,,,,-37.0,False,,,,,False,,False,False,,False,False,,,,False
19175,370,125.0,131.0,,,,,94.0,,163.8,50.2,,186.9,62.6,,,,11.0,-245.0,-239.0,,,,,-276.0,,-206.2,-319.8,,-183.1,-307.4,,,,-359.0,True,,,,,False,,True,False,,True,False,,,,False
19177,147,70.0,33.0,,,,,58.0,,71.1,12.4,,14.7,0.0,,,,68.0,-77.0,-114.0,,,,,-89.0,,-75.9,-134.6,,-132.3,-147.0,,,,-79.0,False,,,,,False,,True,False,,False,False,,,,False
19179,685,205.0,196.0,,,,,370.0,,168.3,182.6,,49.0,1.1,,235.3,,110.0,-480.0,-489.0,,,,,-315.0,,-516.7,-502.4,,-636.0,-683.9,,-449.7,,-575.0,False,,,,,True,,False,False,,False,False,,True,,False
19181,1077,240.0,297.0,,,,,282.0,,194.6,144.2,,117.7,318.6,,,,268.0,-837.0,-780.0,,,,,-795.0,,-882.4,-932.8,,-959.3,-758.4,,,,-809.0,True,,,,,True,,False,False,,False,True,,,,True
19183,517,205.0,250.0,,,,,139.0,,200.4,102.2,,41.7,185.3,,,,102.0,-312.0,-267.0,,,,,-378.0,,-316.6,-414.8,,-475.3,-331.7,,,,-415.0,True,,,,,False,,False,False,,False,False,,,,False
19185,158,50.0,0.0,,,,,50.0,,56.3,20.5,,11.6,18.6,,,,89.0,-108.0,-158.0,,,,,-108.0,,-101.7,-137.5,,-146.4,-139.4,,,,-69.0,False,,,,,False,,True,False,,False,False,,,,True
19187,1326,790.0,813.0,,,,,353.0,,759.4,302.7,,241.7,3.6,,476.7,,514.0,-536.0,-513.0,,,,,-973.0,,-566.6,-1023.3,,-1084.3,-1322.4,,-849.3,,-812.0,True,,,,,False,,False,False,,False,False,,False,,False
19189,391,120.0,134.0,,,,,73.0,,109.0,51.8,,25.0,0.0,,,,43.0,-271.0,-257.0,,,,,-318.0,,-282.0,-339.2,,-366.0,-391.0,,,,-348.0,True,,,,,False,,False,False,,False,False,,,,False
19191,351,145.0,140.0,,,,,182.0,,134.5,46.7,,42.4,0.0,,,,141.0,-206.0,-211.0,,,,,-169.0,,-216.5,-304.3,,-308.6,-351.0,,,,-210.0,False,,,,,True,,False,False,,False,False,,,,False
19193,2787,2120.0,1822.0,,,,,1326.0,,1802.4,1269.3,,908.4,58.2,,783.0,,5.0,-667.0,-965.0,,,,,-1461.0,,-984.6,-1517.7,,-1878.6,-2728.8,,-2004.0,,-2782.0,False,,,,,False,,False,False,,False,False,,False,,False
19195,142,15.0,3.0,,,,,44.0,,24.4,19.3,,2.2,0.0,,,,8.0,-127.0,-139.0,,,,,-98.0,,-117.6,-122.7,,-139.8,-142.0,,,,-134.0,False,,,,,True,,True,True,,False,False,,,,False
19197,364,210.0,0.0,,,,,93.0,,180.3,93.6,,64.6,12.3,,,,271.0,-154.0,-364.0,,,,,-271.0,,-183.7,-270.4,,-299.4,-351.7,,,,-93.0,False,,,,,False,,False,False,,False,False,,,,True
20001,143,265.0,386.0,,,,,56.0,,2394.6,32.5,,,,,,,518.0,122.0,243.0,,,,,-87.0,,2251.6,-110.5,,,,,,,375.0,False,,,,,True,,False,True,,,,,,,False
20003,218,50.0,35.0,,,,,54.0,,59.0,18.7,,8.9,,,,,38.0,-168.0,-183.0,,,,,-164.0,,-159.0,-199.3,,-209.1,,,,,-180.0,False,,,,,True,,True,False,,False,,,,,False
20005,308,170.0,71.0,,,,,110.0,,240.5,80.0,,0.6,106.0,,,,314.0,-138.0,-237.0,,,,,-198.0,,-67.5,-228.0,,-307.4,-202.0,,,,6.0,False,,,,,False,,True,False,,False,False,,,,True
20007,127,40.0,0.0,,,,,23.0,,149.8,3.3,,0.3,,,,,174.0,-87.0,-127.0,,,,,-104.0,,22.8,-123.7,,-126.7,,,,,47.0,False,,,,,False,,True,False,,False,,,,,True
20009,598,325.0,305.0,,,,,266.0,,408.7,143.2,,34.4,199.3,,,,358.0,-273.0,-293.0,,,,,-332.0,,-189.3,-454.8,,-563.6,-398.7,,,,-240.0,False,,,,,False,,True,False,,False,False,,,,True
