,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
South Carolina,30800,26372.0,24986.0,25860.4,24124.0,34577.0,,22869.1,10015.0,30112.5,,20255.0,28211.6,22603.7,30007.4,8326.8,24307.4,18264.9,26820.7,29925.4,,25974.2,19071.7,14921.5,26762.1,23375.0,-4428.0,-5814.0,-4939.6,-6676.0,3777.0,,-7930.9,-20785.0,-687.5,,-10545.0,-2588.4,-8196.3,-792.6,-22473.2,-6492.6,-12535.1,-3979.3,-874.6,,-4825.8,-11728.3,-15878.5,-4037.9,-7425.0,False,False,False,True,,False,False,True,,False,True,False,True,False,False,False,True,True,,False,False,False,True,False
South Dakota,31571,18656.0,15964.8,18753.0,18420.0,18335.0,,17450.9,9902.0,28141.7,,18296.0,17713.7,34087.6,19535.8,3123.1,27102.4,16608.0,21183.7,17963.4,,20870.4,13426.5,9198.7,30643.7,13065.0,-12915.0,-15606.2,-12818.0,-13151.0,-13236.0,,-14120.1,-21669.0,-3429.3,,-13275.0,-13857.3,2516.6,-12035.2,-28447.9,-4468.6,-14963.0,-10387.3,-13607.6,,-10700.6,-18144.5,-22372.3,-927.3,-18506.0,False,True,False,False,,False,False,True,,False,False,True,True,False,True,False,True,False,,True,False,False,True,False
Tennessee,78981,53960.0,45351.7,53764.9,51572.0,53866.0,,54837.7,25397.0,66003.1,,39913.0,55493.8,62015.2,50521.9,24350.4,31573.9,48082.7,64653.2,45714.0,,57084.1,5846.9,30914.1,51139.9,47626.0,-25021.0,-33629.3,-25216.1,-27409.0,-25115.0,,-24143.3,-53584.0,-12977.9,,-39068.0,-23487.2,-16965.8,-28459.1,-54630.6,-47407.1,-30898.3,-14327.8,-33267.0,,-21896.9,-73134.1,-48066.9,-27841.1,-31355.0,False,False,False,False,,True,False,True,,False,True,True,False,False,False,False,True,False,,True,False,False,False,False
Texas,210432,130108.0,120834.0,114791.6,121342.0,186873.0,,102475.5,48534.0,173758.7,,128468.0,137822.1,117329.8,146507.7,112355.2,183406.9,106271.0,159991.9,119846.4,,136751.2,66366.0,81257.9,135120.6,106366.0,-80324.0,-89598.0,-95640.4,-89090.0,-23559.0,,-107956.5,-161898.0,-36673.3,,-81964.0,-72609.9,-93102.2,-63924.3,-98076.8,-27025.1,-104161.0,-50440.1,-90585.6,,-73680.8,-144066.0,-129174.1,-75311.4,-104066.0,False,False,False,True,,False,False,True,,False,True,False,True,False,True,False,True,False,,True,False,False,True,False
Utah,57844,34612.0,11869.0,34701.5,27806.0,27421.0,,33244.4,13634.0,51739.2,,28100.0,38735.6,27845.6,36606.3,12850.6,44375.8,25140.3,33864.9,34627.6,,25993.8,12458.2,15115.7,32995.6,25422.0,-23232.0,-45975.0,-23142.5,-30038.0,-30423.0,,-24599.6,-44210.0,-6104.8,,-29744.0,-19108.4,-29998.4,-21237.7,-44993.4,-13468.2,-32703.7,-23979.1,-23216.4,,-31850.2,-45385.8,-42728.3,-24848.4,-32422.0,False,True,False,False,,False,False,True,,False,True,False,True,False,True,False,False,True,,False,False,False,False,False
Vermont,917,276.0,86.2,278.1,284.0,462.0,,228.4,30.0,286.5,,291.0,274.6,937.9,514.6,519.2,532.2,193.6,324.6,724.9,,309.2,148.5,198.8,177.5,363.0,-641.0,-830.8,-638.9,-633.0,-455.0,,-688.6,-887.0,-630.5,,-626.0,-642.4,20.9,-402.4,-397.8,-384.8,-723.4,-592.4,-192.1,,-607.8,-768.5,-718.2,-739.5,-554.0,False,True,True,True,,False,False,True,,True,False,True,True,True,True,False,True,True,,True,False,False,False,True
Virginia,35561,28744.0,37621.5,29522.4,29537.0,32498.0,,28970.9,7309.0,36076.3,,21747.0,30982.5,36601.7,33653.0,27523.2,35149.5,19001.2,30438.8,30195.7,,32842.4,21937.5,16924.9,26063.0,29884.0,-6817.0,2060.5,-6038.6,-6024.0,-3063.0,,-6590.1,-28252.0,515.3,,-13814.0,-4578.5,1040.7,-1908.0,-8037.8,-411.5,-16559.8,-5122.2,-5365.3,,-2718.6,-13623.5,-18636.1,-9498.0,-5677.0,True,True,True,True,,True,False,True,,False,True,True,True,False,True,False,True,True,,True,False,False,False,True
Washington,30060,18544.0,30841.3,19023.2,18171.0,26046.0,,11225.7,4948.0,16877.7,,11003.0,17718.9,16613.8,20897.1,17012.1,22028.3,12174.6,22049.6,18731.0,,18556.1,6524.9,12282.1,17005.7,19882.0,-11516.0,781.3,-11036.8,-11889.0,-4014.0,,-18834.3,-25112.0,-13182.3,,-19057.0,-12341.1,-13446.2,-9162.9,-13047.9,-8031.7,-17885.4,-8010.4,-11329.0,,-11503.9,-23535.1,-17777.9,-13054.3,-10178.0,True,True,False,True,,False,False,False,,False,False,False,True,False,True,False,True,True,,True,False,False,False,True
West Virginia,12987,7512.0,9516.8,7728.5,7467.0,11012.0,,6333.2,4105.0,9242.8,,4627.0,7353.8,14683.4,9765.2,5554.2,5897.9,6379.3,9000.0,,,7845.9,8975.4,4589.5,8154.8,7163.0,-5475.0,-3470.2,-5258.5,-5520.0,-1975.0,,-6653.8,-8882.0,-3744.2,,-8360.0,-5633.2,1696.4,-3221.8,-7432.8,-7089.1,-6607.7,-3987.0,,,-5141.1,-4011.6,-8397.5,-4832.2,-5824.0,True,True,False,True,,False,False,True,,False,False,True,True,False,False,False,True,,,True,True,False,True,False
Wisconsin,157418,74504.0,85914.1,75238.4,73065.0,82223.0,,73549.5,52385.0,101170.0,,64182.0,87326.7,118873.8,97940.3,36210.4,94240.5,16116.9,53786.9,,,69504.1,32012.1,67380.3,74630.6,50152.0,-82914.0,-71503.9,-82179.6,-84353.0,-75195.0,,-83868.5,-105033.0,-56248.0,,-93236.0,-70091.3,-38544.2,-59477.7,-121207.6,-63177.5,-141301.1,-103631.1,,,-87913.9,-125405.9,-90037.7,-82787.4,-107266.0,True,True,False,True,,False,False,True,,False,True,True,True,False,True,False,False,,,False,False,False,True,False
Wyoming,13065,5444.0,6816.8,5430.8,5430.0,5525.0,,4739.1,3161.0,7797.2,,4941.0,6124.4,12181.6,7531.0,2014.8,8649.4,4758.6,5910.7,,,5498.2,3452.6,3325.1,9395.3,4484.0,-7621.0,-6248.2,-7634.2,-7635.0,-7540.0,,-8325.9,-9904.0,-5267.8,,-8124.0,-6940.6,-883.4,-5534.0,-11050.2,-4415.6,-8306.4,-7154.3,,,-7566.8,-9612.4,-9739.9,-3669.7,-8581.0,True,False,False,True,,False,False,True,,False,True,True,True,False,True,False,True,,,True,False,False,True,False
US,2824557,1553808.0,1967187.0,1565329.9,1557752.0,1896762.0,1825656.9,1196339.7,676712.0,1999564.3,1582332.0,1225095.0,1569249.9,1616215.8,,1226717.6,2012336.0,971167.9,1824110.8,1255070.3,1940588.8,1665468.0,641834.4,1126740.3,1713039.5,1511768.0,-1270749.0,-857370.0,-1259227.1,-1266805.0,-927795.0,-998900.1,-1628217.3,-2147845.0,-824992.7,-1242225.0,-1599462.0,-1255307.1,-1208341.2,,-1597839.4,-812221.0,-1853389.1,-1000446.2,-1569486.7,-883968.2,-1159089.0,-2182722.6,-1697816.7,-1111517.5,-1312789.0,True,True,True,True,True,False,False,True,True,False,True,True,,False,True,False,True,False,True,True,False,False,True,False
