,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
New Jersey,36850,21094.0,24835.4,21398.7,21936.0,27185.0,,21020.8,21196.0,35976.2,24451.5,,13150.0,20931.0,18465.6,16307.9,24160.0,25174.1,21735.5,30342.2,28647.0,29138.4,25311.0,17633.0,,22082.2,14788.8,16489.7,21683.0,12247.4,26305.0,24989.8,-15756.0,-12014.6,-15451.3,-14914.0,-9665.0,,-15829.2,-15654.0,-873.8,-12398.5,,-23700.0,-15919.0,-18384.4,-20542.1,-12690.0,-11675.9,-15114.5,-6507.8,-8203.0,-7711.6,-11539.0,-19217.0,,-14767.8,-22061.2,-20360.3,-15167.0,-24602.6,-10545.0,-11860.2,True,True,True,True,,False,True,True,True,,False,False,False,False,True,True,True,True,True,True,True,False,,True,False,False,True,False,True,True
New Mexico,16681,10900.0,13777.5,10825.9,11828.0,11563.0,,10857.4,3426.0,19281.0,12708.9,,10776.0,13409.0,11914.4,13190.6,11780.0,4394.7,13212.5,18868.9,15991.0,11328.5,13903.1,12931.0,,17453.5,40190.7,8959.6,12647.8,10170.7,10827.0,12836.9,-5781.0,-2903.5,-5855.1,-4853.0,-5118.0,,-5823.6,-13255.0,2600.0,-3972.1,,-5905.0,-3272.0,-4766.6,-3490.4,-4901.0,-12286.3,-3468.5,2187.9,-690.0,-5352.5,-2777.9,-3750.0,,772.5,23509.7,-7721.4,-4033.2,-6510.3,-5854.0,-3844.1,True,False,True,True,,False,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,False,False,True
New York,49008,27422.0,16045.4,27982.3,28425.0,34099.0,,29889.4,16581.0,45315.5,30809.1,,15326.0,19981.0,24166.4,24232.0,30652.0,39148.1,28076.5,37615.9,30562.5,34916.3,31965.2,26499.0,,19590.3,32215.5,24329.7,29278.5,17436.0,30273.0,31514.9,-21586.0,-32962.6,-21025.7,-20583.0,-14909.0,,-19118.6,-32427.0,-3692.5,-18198.9,,-33682.0,-29027.0,-24841.6,-24776.0,-18356.0,-9859.9,-20931.5,-11392.1,-18445.5,-14091.7,-17042.8,-22509.0,,-29417.7,-16792.5,-24678.3,-19729.5,-31572.0,-18735.0,-17493.1,False,True,True,True,,True,False,True,True,,False,False,False,False,True,True,True,True,True,True,True,False,,False,True,False,True,False,True,True
North Carolina,34483,32686.0,41931.1,32459.9,33776.0,37212.0,,30512.1,19299.0,46206.9,32570.5,,35304.0,31735.0,34303.1,33391.4,34676.0,17109.1,32771.0,38873.9,32203.0,37060.5,34937.2,40148.0,,23865.7,23916.3,34468.3,37633.1,29879.4,34948.0,40673.3,-1797.0,7448.1,-2023.1,-707.0,2729.0,,-3970.9,-15184.0,11723.9,-1912.5,,821.0,-2748.0,-179.9,-1091.6,193.0,-17373.9,-1712.0,4390.9,-2280.0,2577.5,454.2,5665.0,,-10617.3,-10566.7,-14.7,3150.1,-4603.6,465.0,6190.3,False,False,True,False,,False,False,False,False,,True,False,True,True,True,False,True,False,False,False,True,False,,False,False,True,False,False,True,False
North Dakota,18956,14084.0,7827.5,14036.2,13926.0,12644.0,,12274.2,6634.0,20651.7,15407.1,,13979.0,13937.0,17107.7,18110.3,13981.0,2056.7,15714.0,19435.9,17271.0,18657.6,15692.3,14799.0,,12132.2,13259.8,12382.3,14574.2,19080.2,16029.0,15241.0,-4872.0,-11128.5,-4919.8,-5030.0,-6312.0,,-6681.8,-12322.0,1695.7,-3548.9,,-4977.0,-5019.0,-1848.3,-845.7,-4975.0,-16899.3,-3242.0,479.9,-1685.0,-298.4,-3263.7,-4157.0,,-6823.8,-5696.2,-6573.7,-4381.8,124.2,-2927.0,-3715.0,False,False,False,False,,False,False,True,True,,False,False,True,True,False,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Ohio,74546,39782.0,95395.7,39692.0,40308.0,48691.0,,37041.8,17523.0,52180.3,45594.4,,40986.0,40869.0,40938.6,36801.2,44313.0,31948.7,41515.5,58776.8,59272.5,55655.4,47421.9,49367.0,,34379.0,13212.6,28977.5,38448.4,51235.0,42222.0,46696.6,-34764.0,20849.7,-34854.0,-34238.0,-25855.0,,-37504.2,-57023.0,-22365.7,-28951.6,,-33560.0,-33677.0,-33607.4,-37744.8,-30233.0,-42597.3,-33030.5,-15769.2,-15273.5,-18890.6,-27124.1,-25179.0,,-40167.0,-61333.4,-45568.5,-36097.6,-23311.0,-32324.0,-27849.4,True,False,True,True,,False,False,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,False,False,False,False,True,True,True
Oklahoma,27443,14154.0,23489.8,13598.2,15740.0,12930.0,,16492.8,11170.0,20681.0,15205.6,,15620.0,18826.0,18436.3,20139.7,14875.0,8403.6,17352.0,19406.9,14017.5,17248.5,18387.2,15972.0,,13895.1,17112.6,9268.8,22793.7,15734.7,13152.0,17745.8,-13289.0,-3953.2,-13844.8,-11703.0,-14513.0,,-10950.2,-16273.0,-6762.0,-12237.4,,-11823.0,-8617.0,-9006.7,-7303.3,-12568.0,-19039.4,-10091.0,-8036.1,-13425.5,-10194.5,-9055.8,-11471.0,,-13547.9,-10330.4,-18174.2,-4649.3,-11708.3,-14291.0,-9697.2,True,False,True,False,,True,False,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,,False,True,False,True,True,False,True
Oregon,11097,6364.0,6214.6,6259.2,6541.0,7275.0,,5922.8,3728.0,7299.2,7035.3,,6861.0,6638.0,6542.1,7130.4,7875.0,5569.8,6222.0,7280.1,6954.5,8623.7,7719.3,8180.0,,6433.7,6945.0,4771.0,6528.7,6041.8,7387.0,8163.9,-4733.0,-4882.4,-4837.8,-4556.0,-3822.0,,-5174.2,-7369.0,-3797.8,-4061.7,,-4236.0,-4459.0,-4554.9,-3966.6,-3222.0,-5527.2,-4875.0,-3816.9,-4142.5,-2473.3,-3377.7,-2917.0,,-4663.3,-4152.0,-6326.0,-4568.3,-5055.2,-3710.0,-2933.1,False,False,True,True,,False,False,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,,True,True,False,True,False,True,True
Pennsylvania,51431,30842.0,26820.9,30817.4,31048.0,39253.0,,30037.9,20100.0,42578.6,29652.9,,29204.0,30493.0,30246.9,31268.2,33736.0,27617.7,31290.5,40462.4,37086.0,35651.4,34032.9,35149.0,,36697.3,13723.5,27033.6,30275.7,38789.4,32473.0,34916.4,-20589.0,-24610.1,-20613.6,-20383.0,-12178.0,,-21393.1,-31331.0,-8852.4,-21778.1,,-22227.0,-20938.0,-21184.1,-20162.8,-17695.0,-23813.3,-20140.5,-10968.6,-14345.0,-15779.6,-17398.1,-16282.0,,-14733.7,-37707.5,-24397.4,-21155.3,-12641.6,-18958.0,-16514.6,False,False,True,True,,False,False,True,False,,False,False,False,True,True,False,True,True,True,True,True,True,,True,False,False,False,True,True,True
Rhode Island,8655,5512.0,5121.9,5582.6,5869.0,6092.0,,5819.6,5026.0,16905.0,4010.5,,4171.0,17404.0,6415.6,5412.7,5434.0,1955.0,5296.0,8435.5,6899.5,5935.2,7978.0,5155.0,,9107.3,9125.2,3956.8,6197.1,4538.3,4261.0,7363.8,-3143.0,-3533.1,-3072.4,-2786.0,-2563.0,,-2835.4,-3629.0,8250.0,-4644.5,,-4484.0,8749.0,-2239.4,-3242.3,-3221.0,-6700.0,-3359.0,-219.5,-1755.5,-2719.8,-677.0,-3500.0,,452.3,470.2,-4698.2,-2457.9,-4116.7,-4394.0,-1291.2,False,True,True,True,,True,False,False,False,,False,False,True,False,False,False,False,True,True,True,True,False,,True,True,False,True,False,False,True
South Carolina,17402,14542.0,23825.6,14711.0,14713.0,16040.0,,14534.1,7222.0,16751.6,12103.7,,13996.0,14325.0,14236.2,14625.0,15620.0,5427.4,13860.0,12742.1,15111.0,17350.7,16499.1,15794.0,,16027.5,10844.5,10636.7,14768.5,14445.6,13981.0,16317.3,-2860.0,6423.6,-2691.0,-2689.0,-1362.0,,-2867.9,-10180.0,-650.4,-5298.3,,-3406.0,-3077.0,-3165.8,-2777.0,-1782.0,-11974.6,-3542.0,-4659.9,-2291.0,-51.3,-902.9,-1608.0,,-1374.5,-6557.5,-6765.3,-2633.5,-2956.4,-3421.0,-1084.7,False,True,True,True,,False,False,True,False,,False,False,False,True,True,False,False,False,True,True,True,True,,True,False,False,True,False,False,True
South Dakota,18190,15702.0,14281.0,15920.4,15424.0,16011.0,,13830.0,12228.0,24801.0,14911.2,,19530.0,15351.0,17700.6,22030.6,16724.0,1573.4,17249.0,20285.1,20151.5,20728.8,17255.7,16284.0,,14344.0,13833.5,12700.7,14961.4,20595.9,8686.0,15285.2,-2488.0,-3909.0,-2269.6,-2766.0,-2179.0,,-4360.0,-5962.0,6611.0,-3278.8,,1340.0,-2839.0,-489.4,3840.6,-1466.0,-16616.6,-941.0,2095.1,1961.5,2538.8,-934.3,-1906.0,,-3846.0,-4356.5,-5489.3,-3228.6,2405.9,-9504.0,-2904.8,False,True,False,True,,False,False,False,False,,True,False,True,False,True,False,True,True,True,False,True,True,,False,False,False,False,True,False,False
Tennessee,44448,33170.0,47563.5,32520.5,33734.0,31398.0,,36268.9,18154.0,39397.2,27071.3,,31894.0,33848.0,41539.6,42405.3,39393.0,11990.8,38465.5,46620.0,30715.0,24741.7,32527.4,38709.0,,33480.5,10921.0,28547.9,42941.4,32853.7,30652.0,41510.5,-11278.0,3115.5,-11927.5,-10714.0,-13050.0,,-8179.1,-26294.0,-5050.8,-17376.7,,-12554.0,-10600.0,-2908.4,-2042.7,-5055.0,-32457.2,-5982.5,2172.0,-13733.0,-19706.3,-11920.6,-5739.0,,-10967.5,-33527.0,-15900.1,-1506.6,-11594.3,-13796.0,-2937.5,True,False,True,False,,True,False,True,False,,False,True,True,True,True,False,True,True,False,False,False,True,,True,False,False,True,False,False,True
Texas,124546,87798.0,76384.4,86185.2,90111.0,100110.0,,88324.1,33606.0,105805.3,75061.5,,92439.0,101951.0,91904.6,107830.9,93055.0,40020.0,78134.5,108337.7,99461.0,91950.4,88503.3,96668.0,,69253.2,62639.4,62140.8,92364.5,88135.0,99094.0,66856.2,-36748.0,-48161.6,-38360.8,-34435.0,-24436.0,,-36221.9,-90940.0,-18740.7,-49484.5,,-32107.0,-22595.0,-32641.4,-16715.1,-31491.0,-84526.0,-46411.5,-16208.3,-25085.0,-32595.6,-36042.7,-27878.0,,-55292.8,-61906.6,-62405.2,-32181.5,-36411.0,-25452.0,-57689.8,False,False,True,True,,True,False,True,False,,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,False,True,True,True,False
Utah,36485,23078.0,12387.1,22969.3,22909.0,20006.0,,21974.7,7127.0,35847.9,20971.1,,25986.0,23062.0,25289.1,14623.9,19306.0,9272.0,24626.5,24815.7,26175.0,27522.6,24647.3,25416.0,,23589.6,29395.9,16926.8,26297.0,26309.3,21708.0,27012.0,-13407.0,-24097.9,-13515.7,-13576.0,-16479.0,,-14510.3,-29358.0,-637.1,-15513.9,,-10499.0,-13423.0,-11195.9,-21861.1,-17179.0,-27213.0,-11858.5,-11669.3,-10310.0,-8962.4,-11837.7,-11069.0,,-12895.4,-7089.1,-19558.2,-10188.0,-10175.7,-14777.0,-9473.0,False,False,False,False,,False,False,True,False,,True,False,True,False,False,False,True,True,True,True,True,True,,True,True,False,True,True,False,True
Vermont,664,272.0,50.6,267.5,283.0,445.0,,39.0,107.0,298.1,348.3,,108.0,358.0,217.0,798.9,339.0,312.5,327.5,403.5,282.0,285.6,696.4,369.0,,490.6,118.1,240.2,295.3,143.1,341.0,263.1,-392.0,-613.4,-396.5,-381.0,-219.0,,-625.0,-557.0,-365.9,-315.7,,-556.0,-306.0,-447.0,134.9,-325.0,-351.5,-336.5,-260.5,-382.0,-378.4,32.4,-295.0,,-173.4,-545.9,-423.8,-368.7,-520.9,-323.0,-400.9,False,False,True,True,,False,False,True,True,,False,True,False,True,True,True,True,True,True,True,True,True,,True,False,False,True,False,True,False
Virginia,19609,17636.0,27048.8,17654.8,17593.0,20030.0,,16227.6,5485.0,25308.7,18754.2,,18082.0,16852.0,16976.4,19930.5,19129.0,13174.4,17418.5,18350.4,19068.0,22626.5,19946.6,20908.0,,13423.5,9888.2,16832.3,17025.4,15562.6,18749.0,19449.6,-1973.0,7439.8,-1954.2,-2016.0,421.0,,-3381.4,-14124.0,5699.7,-854.8,,-1527.0,-2757.0,-2632.6,321.5,-480.0,-6434.6,-2190.5,-1258.6,-541.0,3017.5,337.6,1299.0,,-6185.5,-9720.8,-2776.7,-2583.6,-4046.4,-860.0,-159.4,False,True,False,True,,False,False,False,True,,True,False,False,True,True,False,False,True,True,False,True,True,,False,False,False,False,False,True,True
Washington,20230,10474.0,12093.1,10687.2,11023.0,12012.0,,11249.4,5855.0,13457.1,10409.7,,10873.0,10418.0,10868.2,9933.0,11393.0,9261.7,11411.0,11761.6,11794.0,13851.9,13097.1,12837.0,,8515.5,11506.5,9314.7,12192.9,9944.8,11654.0,12385.7,-9756.0,-8136.9,-9542.8,-9207.0,-8218.0,,-8980.6,-14375.0,-6772.9,-9820.3,,-9357.0,-9812.0,-9361.8,-10297.0,-8837.0,-10968.3,-8819.0,-8468.4,-8436.0,-6378.1,-7132.9,-7393.0,,-11714.5,-8723.5,-10915.3,-8037.1,-10285.2,-8576.0,-7844.3,True,True,True,True,,True,False,True,False,,True,False,True,False,True,False,True,True,True,True,True,True,,False,True,False,True,False,True,True
West Virginia,8332,5488.0,7226.9,5680.2,5656.0,7002.0,,4699.7,3795.0,5779.2,5779.2,,5774.0,4455.0,5954.6,9482.1,6037.0,2889.6,5382.5,6817.5,7373.5,7280.5,,6489.0,,4555.6,4468.2,4137.5,4851.9,5863.0,5550.0,6992.2,-2844.0,-1105.1,-2651.8,-2676.0,-1330.0,,-3632.3,-4537.0,-2552.8,-2552.8,,-2558.0,-3877.0,-2377.4,1150.1,-2295.0,-5442.4,-2949.5,-1514.5,-958.5,-1051.5,,-1843.0,,-3776.4,-3863.8,-4194.5,-3480.1,-2469.0,-2782.0,-1339.8,True,True,True,True,,False,False,True,True,,True,False,True,True,True,False,False,True,True,True,,True,,False,False,False,False,True,True,True
Wisconsin,85735,61658.0,87612.2,60504.9,67576.0,67339.0,,59389.5,27835.0,96713.3,58467.1,,71382.0,55353.0,80051.9,84348.3,63798.0,20810.5,67828.5,99604.9,67016.0,74985.6,,71643.0,,66702.7,92302.8,69753.7,73009.1,81073.4,51930.0,60125.3,-24077.0,1877.2,-25230.1,-18159.0,-18396.0,,-26345.5,-57900.0,10978.3,-27267.9,,-14353.0,-30382.0,-5683.1,-1386.7,-21937.0,-64924.5,-17906.5,13869.9,-18719.0,-10749.4,,-14092.0,,-19032.3,6567.8,-15981.3,-12725.9,-4661.6,-33805.0,-25609.7,True,False,True,True,,False,False,True,False,,True,False,True,True,True,False,True,True,True,True,,True,,True,True,True,True,True,False,False
Wyoming,8583,4986.0,11506.5,4958.9,5387.0,4728.0,,4975.8,2742.0,7019.4,5995.8,,6116.0,5472.0,6748.5,10532.8,5303.0,881.5,5593.5,7150.5,7454.5,6335.5,,6146.0,,5432.9,7867.7,5431.3,5185.8,7533.6,4960.0,6835.1,-3597.0,2923.5,-3624.1,-3196.0,-3855.0,,-3607.2,-5841.0,-1563.6,-2587.2,,-2467.0,-3111.0,-1834.5,1949.8,-3280.0,-7701.5,-2989.5,-1432.5,-1128.5,-2247.5,,-2437.0,,-3150.1,-715.3,-3151.7,-3397.2,-1049.4,-3623.0,-1747.9,True,False,True,False,,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,,True,,True,True,True,True,True,False,True
US,1784462,1097328.0,1087587.6,1099066.1,1182692.0,1241525.0,1863112.0,1194621.4,680425.0,1553156.6,,1156721.0,1094032.0,1115015.0,1156211.9,1184084.2,,602542.1,,1434572.3,1404414.0,1353221.1,1198843.7,1243962.0,1249289.9,1425498.1,836153.4,1160545.0,,1233733.6,1172094.5,1203152.8,-687134.0,-696874.4,-685395.9,-601770.0,-542937.0,78650.0,-589840.6,-1104037.0,-231305.4,,-627741.0,-690430.0,-669447.0,-628250.1,-600377.8,,-1181919.9,,-349889.7,-380048.0,-431240.9,-585618.3,-540500.0,-535172.1,-358963.9,-948308.6,-623917.0,,-550728.4,-612367.5,-581309.2,False,True,True,True,True,True,False,True,,True,False,True,True,True,,False,,True,True,True,True,True,True,True,False,True,,True,True,True
