,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Tennessee,584,570.6,598.0,576.0,583.2,667.0,531.0,605.7,577.0,588.2,,590.4,,,597.0,607.5,577.7,576.5,,554.9,586.9,551.0,570.0,557.5,570.0,512.3,581.0,567.2,,-13.4,14.0,-8.0,-0.8,83.0,-53.0,21.7,-7.0,4.2,,6.4,,,13.0,23.5,-6.3,-7.5,,-29.1,2.9,-33.0,-14.0,-26.5,-14.0,-71.7,-3.0,-16.8,,False,True,True,False,False,False,True,True,,True,,,True,False,True,True,,False,True,False,False,False,False,False,True,False,
Texas,2388,2368.4,2436.0,2395.0,2416.0,2722.0,2370.9,,2472.0,,,2423.3,,,2357.0,2509.3,2487.9,2328.4,,2315.5,2481.4,2311.0,2402.0,2359.0,2415.0,1928.7,2365.0,2369.6,2426.0,-19.6,48.0,7.0,28.0,334.0,-17.1,,84.0,,,35.3,,,-31.0,121.3,99.9,-59.6,,-72.5,93.4,-77.0,14.0,-29.0,27.0,-459.3,-23.0,-18.4,38.0,False,True,False,False,True,,False,,,False,,,False,False,False,False,,False,False,False,True,False,False,False,False,True,False
Utah,167,174.3,194.0,171.0,182.8,222.0,188.6,220.9,181.0,,,185.0,,,172.0,192.2,180.5,169.8,,172.6,175.8,172.0,173.0,165.9,178.0,151.8,180.0,173.0,,7.3,27.0,4.0,15.8,55.0,21.6,53.9,14.0,,,18.0,,,5.0,25.2,13.5,2.8,,5.6,8.8,5.0,6.0,-1.1,11.0,-15.2,13.0,6.0,,False,True,False,False,False,False,False,,,False,,,True,False,False,True,,True,False,True,True,True,False,False,False,True,
Vermont,56,56.9,58.0,57.0,56.9,56.0,56.7,58.8,56.0,56.7,,58.1,,,56.0,59.2,57.2,56.4,,54.6,56.5,56.0,57.0,57.3,57.0,51.9,57.0,56.5,,0.9,2.0,1.0,0.9,0.0,0.7,2.8,0.0,0.7,,2.1,,,0.0,3.2,1.2,0.4,,-1.4,0.5,0.0,1.0,1.3,1.0,-4.1,1.0,0.5,,False,False,False,True,True,False,True,True,,False,,,True,False,False,True,,False,True,True,False,False,False,False,False,True,
Virginia,1724,1666.7,1725.0,1673.0,1683.6,1753.0,1764.3,1786.7,1695.0,1658.1,,1631.5,,,1724.0,1747.8,1664.9,1688.8,,1660.4,1653.6,1672.0,1652.0,1666.2,1657.0,1504.3,1672.0,1663.2,,-57.3,1.0,-51.0,-40.4,29.0,40.3,62.7,-29.0,-65.9,,-92.5,,,0.0,23.8,-59.1,-35.2,,-63.6,-70.4,-52.0,-72.0,-57.8,-67.0,-219.7,-52.0,-60.8,,True,True,True,True,True,False,True,False,,False,,,True,True,False,True,,False,False,True,False,False,False,False,True,False,
Washington,1310,1315.4,1333.0,1317.0,1320.5,1342.0,1275.2,1333.9,1311.0,1337.0,,1306.3,,,1337.0,1334.9,1333.5,1295.6,,1308.5,1332.9,1290.0,1324.0,1291.7,1322.0,1294.4,1342.0,1313.9,,5.4,23.0,7.0,10.5,32.0,-34.8,23.9,1.0,27.0,,-3.7,,,27.0,24.9,23.5,-14.4,,-1.5,22.9,-20.0,14.0,-18.3,12.0,-15.6,32.0,3.9,,False,False,False,False,False,False,True,False,,True,,,False,False,False,False,,True,False,False,False,False,False,False,False,True,
West Virginia,93,89.9,93.0,88.0,91.7,88.0,88.4,98.2,94.0,92.1,,94.3,,,88.0,103.3,93.4,90.6,,92.0,89.4,88.0,90.0,94.6,92.0,92.9,92.0,91.7,,-3.1,0.0,-5.0,-1.3,-5.0,-4.6,5.2,1.0,-0.9,,1.3,,,-5.0,10.3,0.4,-2.4,,-1.0,-3.6,-5.0,-3.0,1.6,-1.0,-0.1,-1.0,-1.3,,True,False,True,False,False,False,True,True,,True,,,False,False,True,True,,True,False,False,True,True,True,True,True,True,
Wisconsin,777,788.6,798.0,797.0,787.8,803.0,775.2,815.2,797.0,815.8,,766.0,,,766.0,829.4,798.1,789.1,792.5,763.8,788.7,787.0,783.0,770.2,782.0,674.6,795.0,784.5,,11.6,21.0,20.0,10.8,26.0,-1.8,38.2,20.0,38.8,,-11.0,,,-11.0,52.4,21.1,12.1,15.5,-13.2,11.7,10.0,6.0,-6.8,5.0,-102.4,18.0,7.5,,False,False,True,False,True,False,False,False,,True,,,True,False,False,False,False,False,False,True,True,True,True,False,False,True,
Wyoming,20,21.7,22.0,22.0,21.5,20.0,19.9,21.5,22.0,22.0,,18.1,,,18.0,25.6,22.7,21.5,,20.8,23.2,20.0,21.0,20.3,22.0,22.4,23.0,21.8,,1.7,2.0,2.0,1.5,0.0,-0.1,1.5,2.0,2.0,,-1.9,,,-2.0,5.6,2.7,1.5,,0.8,3.2,0.0,1.0,0.3,2.0,2.4,3.0,1.8,,False,False,True,True,True,True,False,False,,False,,,False,False,False,True,,True,False,True,True,True,False,False,False,False,
US,126120,123598.1,139309.0,124002.0,124919.8,125516.0,124073.7,,123954.0,123761.5,,122740.3,123629.0,123678.0,124983.0,125168.3,125531.1,123631.6,,116113.5,123965.3,123415.5,123194.0,123325.7,123770.0,118601.4,124024.5,123355.7,124772.0,-23.9,15687.0,380.0,1297.8,1894.0,451.7,,332.0,139.5,,-881.7,7.0,56.0,1361.0,1546.3,1909.1,9.6,,-7508.5,343.3,-206.5,-428.0,-296.3,148.0,-5020.6,402.5,-266.3,1150.0,False,False,False,False,False,,False,False,,False,True,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False
