,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1527,1527.0,1539.9,1491.3,1481.0,1492.0,1513.0,1491.0,1502.5,1407.0,1588.4,1513.0,1524.2,1517.9,1572.1,1528.1,,1462.3,1468.0,1538.0,1513.4,1430.5,1512.0,1466.2,1546.1,1562.0,1560.6,1484.0,1502.5,1531.7,,1411.4,1557.8,1565.0,,,1512.7,1513.0,2364.4,1536.0,1491.9,,1513.0,1507.2,1519.1,1560.0,1540.0,1579.8,1507.0,1541.0,1417.3,1552.0,0.0,12.9,-35.7,-46.0,-35.0,-14.0,-36.0,-24.5,-120.0,61.4,-14.0,-2.8,-9.1,45.1,1.1,,-64.7,-59.0,11.0,-13.6,-96.5,-15.0,-60.8,19.1,35.0,33.6,-43.0,-24.5,4.7,,-115.6,30.8,38.0,,,-14.3,-14.0,837.4,9.0,-35.1,,-14.0,-19.8,-7.9,33.0,13.0,52.8,-20.0,14.0,-109.7,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
New York,34514,34565.0,34617.0,34569.2,34561.0,34582.0,34579.0,34578.0,34593.4,34438.0,34382.8,34639.0,34566.9,34760.2,34669.0,34553.6,,34613.4,34447.0,34633.0,34500.5,34466.7,34520.0,34711.7,34620.8,34521.0,34636.8,34591.0,34562.9,34579.5,,34480.1,34618.0,34237.0,,34414.4,34345.1,34711.0,35132.4,34524.0,34666.5,,34476.9,34574.6,34618.3,34565.0,34451.4,35837.0,34613.0,34611.0,34183.5,34603.0,51.0,103.0,55.2,47.0,68.0,65.0,64.0,79.4,-76.0,-131.2,125.0,52.9,246.2,155.0,39.6,,99.4,-67.0,119.0,-13.5,-47.3,6.0,197.7,106.8,7.0,122.8,77.0,48.9,65.5,,-33.9,104.0,-277.0,,-99.6,-168.9,197.0,618.4,10.0,152.5,,-37.1,60.6,104.3,51.0,-62.6,1323.0,99.0,97.0,-330.5,89.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,True,True,False,False,True,False,False,True,False,,True,False,False,,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,False,False
North Carolina,5219,5229.4,5276.9,5255.7,5269.0,5254.0,5258.0,5210.0,5246.4,4993.0,5356.6,5269.0,5373.2,5276.0,5225.3,5231.9,,5458.0,5234.0,5259.0,5242.2,5175.0,5297.0,5285.0,5264.1,5226.0,5255.9,5265.0,5222.3,5260.7,,5160.1,5278.6,5275.0,,5177.3,5284.0,5233.0,5322.5,5237.0,5281.4,,5342.7,5225.0,5306.3,5252.0,5201.0,5279.9,5258.0,5234.0,5162.1,5283.0,10.4,57.9,36.7,50.0,35.0,39.0,-9.0,27.4,-226.0,137.6,50.0,154.2,57.0,6.3,12.9,,239.0,15.0,40.0,23.2,-44.0,78.0,66.0,45.1,7.0,36.9,46.0,3.3,41.7,,-58.9,59.6,56.0,,-41.7,65.0,14.0,103.5,18.0,62.4,,123.7,6.0,87.3,33.0,-18.0,60.9,39.0,15.0,-56.9,64.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False
North Dakota,921,940.3,935.4,954.5,959.0,954.0,955.0,932.0,949.7,849.0,1018.1,952.0,982.4,961.6,957.8,933.9,,954.1,957.0,964.0,973.7,905.6,976.0,899.8,977.6,921.0,946.4,968.0,966.2,960.8,,1030.0,961.6,956.0,,,941.4,980.0,929.7,931.0,943.6,,1018.9,970.8,949.6,942.0,932.2,959.7,961.0,928.0,891.6,956.0,19.3,14.4,33.5,38.0,33.0,34.0,11.0,28.7,-72.0,97.1,31.0,61.4,40.6,36.8,12.9,,33.1,36.0,43.0,52.7,-15.4,55.0,-21.2,56.6,0.0,25.4,47.0,45.2,39.8,,109.0,40.6,35.0,,,20.4,59.0,8.7,10.0,22.6,,97.9,49.8,28.6,21.0,11.2,38.7,40.0,7.0,-29.4,35.0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,True,False,False,False,True,False,False,False,False,,False,False,False,,,False,False,True,True,False,,False,False,False,False,True,False,False,True,False,False
Ohio,6378,6230.9,6296.2,6244.3,6264.0,6254.0,6320.0,6657.0,6360.7,6104.0,6484.9,6279.0,6269.8,6315.0,6300.5,6350.8,,6266.6,6233.0,6383.0,6308.6,6202.1,6357.0,6558.9,6388.5,6293.0,6339.1,6404.0,6291.0,6380.2,6839.0,6935.8,6320.5,6118.0,,6169.3,6357.3,6335.0,7326.0,6228.0,6276.3,,6351.7,6295.0,6408.9,6320.0,6191.9,7054.8,6362.0,6358.0,6108.6,6416.0,-147.1,-81.8,-133.7,-114.0,-124.0,-58.0,279.0,-17.3,-274.0,106.9,-99.0,-108.2,-63.0,-77.5,-27.2,,-111.4,-145.0,5.0,-69.4,-175.9,-21.0,180.9,10.5,-85.0,-38.9,26.0,-87.0,2.2,461.0,557.8,-57.5,-260.0,,-208.7,-20.7,-43.0,948.0,-150.0,-101.7,,-26.3,-83.0,30.9,-58.0,-186.1,676.8,-16.0,-20.0,-269.4,38.0,True,True,True,True,True,False,True,False,True,True,True,True,True,True,,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,True,False,,False,True,True,False,False,True,,True,True,True,True,False,False,True,True,False,True
Oklahoma,1717,1724.9,1760.1,1733.6,1737.0,1732.0,1749.0,1749.0,1766.0,1684.0,1798.5,1770.0,1772.0,1761.6,1757.5,1748.2,,1712.6,1734.0,1760.0,1768.3,1747.4,1768.0,1770.2,1743.3,1709.5,1748.6,1802.0,1728.7,1767.5,,1669.8,1752.2,1753.0,,,1776.3,1758.0,1729.2,1737.0,1739.2,,1870.7,1733.7,1793.3,1751.0,1724.0,1789.1,1763.0,1717.0,1683.2,1746.0,7.9,43.1,16.6,20.0,15.0,32.0,32.0,49.0,-33.0,81.5,53.0,55.0,44.6,40.5,31.2,,-4.4,17.0,43.0,51.3,30.4,51.0,53.2,26.3,-7.5,31.6,85.0,11.7,50.5,,-47.2,35.2,36.0,,,59.3,41.0,12.2,20.0,22.2,,153.7,16.7,76.3,34.0,7.0,72.1,46.0,0.0,-33.8,29.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,True,False,False,True,False,False
Oregon,896,870.6,889.2,883.3,879.0,879.0,885.0,875.0,888.4,836.0,891.9,892.0,864.1,883.7,886.9,884.7,,837.5,864.0,910.0,879.5,854.4,898.0,946.0,891.4,865.0,881.9,905.0,889.7,884.2,,827.7,892.5,867.0,,,923.7,905.0,905.0,877.0,887.9,,920.7,894.4,896.8,883.0,864.2,904.3,887.0,858.0,841.1,892.0,-25.4,-6.8,-12.7,-17.0,-17.0,-11.0,-21.0,-7.6,-60.0,-4.1,-4.0,-31.9,-12.3,-9.1,-11.3,,-58.5,-32.0,14.0,-16.5,-41.6,2.0,50.0,-4.6,-31.0,-14.1,9.0,-6.3,-11.8,,-68.3,-3.5,-29.0,,,27.7,9.0,9.0,-19.0,-8.1,,24.7,-1.6,0.8,-13.0,-31.8,8.3,-9.0,-38.0,-54.9,-4.0,True,True,True,True,True,True,True,False,True,True,False,True,True,True,,False,False,True,True,False,True,False,True,False,True,True,True,True,,False,True,False,,,False,True,True,True,True,,True,True,True,True,False,True,True,False,False,True
Pennsylvania,10234,10266.9,10410.7,10282.8,10247.0,10298.0,10301.0,10260.0,10222.9,9897.0,10082.5,10196.0,10302.0,,10483.2,10322.3,,10019.6,10235.0,10516.0,10174.9,9982.5,10447.0,10297.6,10362.2,10539.0,10399.6,10159.0,10283.0,10318.8,,10149.2,10305.0,10106.5,,10092.7,10483.8,10369.0,10294.6,10389.0,10348.2,,10103.0,10303.5,10327.3,10266.0,10634.7,10969.9,10361.0,10272.5,9941.9,10605.0,32.9,176.7,48.8,13.0,64.0,67.0,26.0,-11.1,-337.0,-151.5,-38.0,68.0,,249.2,88.3,,-214.4,1.0,282.0,-59.1,-251.5,213.0,63.6,128.2,305.0,165.6,-75.0,49.0,84.8,,-84.8,71.0,-127.5,,-141.3,249.8,135.0,60.6,155.0,114.2,,-131.0,69.5,93.3,32.0,400.7,735.9,127.0,38.5,-292.1,371.0,False,False,True,False,False,True,True,False,False,False,False,,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False
Rhode Island,1346,1328.3,1340.8,1334.0,1328.0,1334.0,1339.0,1348.0,1321.7,1302.0,1350.6,1347.0,1404.3,1341.3,1350.4,1348.5,,1339.5,1326.0,1345.0,1338.1,1347.7,1311.0,1340.7,1345.0,1345.0,1341.9,1330.0,1336.3,1350.9,,1375.1,1344.1,1333.0,,,1324.7,1331.0,1568.8,1312.0,1334.8,,1365.7,1341.0,1338.6,1342.0,1327.9,1437.3,1336.0,1319.0,1272.6,1338.0,-17.7,-5.2,-12.0,-18.0,-12.0,-7.0,2.0,-24.3,-44.0,4.6,1.0,58.3,-4.7,4.4,2.5,,-6.5,-20.0,-1.0,-7.9,1.7,-35.0,-5.3,-1.0,-1.0,-4.1,-16.0,-9.7,4.9,,29.1,-1.9,-13.0,,,-21.3,-15.0,222.8,-34.0,-11.2,,19.7,-5.0,-7.4,-4.0,-18.1,91.3,-10.0,-27.0,-73.4,-8.0,True,True,False,True,True,True,False,False,True,True,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,,False,True,False,False,True,,False,True,True,True,False,False,True,False,False,True
South Carolina,4346,4429.6,4439.7,4429.9,4405.0,4438.0,4422.0,4388.0,4406.4,4239.0,4397.5,4403.0,4420.1,4433.3,4497.3,4394.2,,4273.2,4446.0,4385.0,4375.2,4353.2,4489.0,4388.7,4391.6,4419.0,4435.8,4411.0,4437.6,4426.0,,4247.2,4444.0,4456.0,,4368.5,4566.7,4419.0,4623.9,4417.0,4456.1,,4455.2,4442.9,4464.8,4411.0,4443.9,4458.4,4431.0,4389.0,4363.8,4431.0,83.6,93.7,83.9,59.0,92.0,76.0,42.0,60.4,-107.0,51.5,57.0,74.1,87.3,151.3,48.2,,-72.8,100.0,39.0,29.2,7.2,143.0,42.7,45.6,73.0,89.8,65.0,91.6,80.0,,-98.8,98.0,110.0,,22.5,220.7,73.0,277.9,71.0,110.1,,109.2,96.9,118.8,65.0,97.9,112.4,85.0,43.0,17.8,85.0,False,False,True,False,True,True,True,False,True,True,True,False,False,True,,True,False,True,True,True,False,True,True,True,False,True,False,True,,False,False,False,,True,False,True,False,True,False,,False,False,False,True,False,False,False,True,True,False
South Dakota,942,969.0,971.2,938.8,943.0,933.0,948.0,863.0,884.9,764.0,915.9,899.0,965.3,,938.4,884.8,,808.7,978.0,960.0,954.4,770.2,968.0,825.5,925.9,922.0,946.6,902.0,949.7,958.1,,885.2,962.3,963.0,,,1022.0,918.0,727.2,977.0,925.2,,965.4,953.4,913.9,884.0,951.3,889.4,954.0,1050.0,871.2,1042.0,27.0,29.2,-3.2,1.0,-9.0,6.0,-79.0,-57.1,-178.0,-26.1,-43.0,23.3,,-3.6,-57.2,,-133.3,36.0,18.0,12.4,-171.8,26.0,-116.5,-16.1,-20.0,4.6,-40.0,7.7,16.1,,-56.8,20.3,21.0,,,80.0,-24.0,-214.8,35.0,-16.8,,23.4,11.4,-28.1,-58.0,9.3,-52.6,12.0,108.0,-70.8,100.0,False,True,True,True,True,False,False,False,True,False,True,,True,False,,False,False,True,True,False,True,False,True,True,True,False,True,True,,False,True,True,,,False,True,False,False,True,,True,True,False,False,True,False,True,False,False,False
Tennessee,4541,4585.7,4677.7,4545.9,4565.0,4545.0,4576.0,4463.0,4550.0,4352.0,4618.6,4586.0,4588.1,4551.7,4650.7,4541.0,,4592.3,4500.0,4615.0,4583.9,4506.2,4519.0,4475.8,4549.5,4587.0,4610.8,4518.0,4594.2,4617.9,,4264.8,4608.2,4659.0,,4515.7,4595.2,4581.0,4258.2,4565.0,4554.2,,4743.9,4591.8,4591.7,4580.0,4520.5,4438.6,4586.0,4552.0,4348.3,4630.0,44.7,136.7,4.9,24.0,4.0,35.0,-78.0,9.0,-189.0,77.6,45.0,47.1,10.7,109.7,-0.0,,51.3,-41.0,74.0,42.9,-34.8,-22.0,-65.2,8.5,46.0,69.8,-23.0,53.2,76.9,,-276.2,67.2,118.0,,-25.3,54.2,40.0,-282.8,24.0,13.2,,202.9,50.8,50.7,39.0,-20.5,-102.4,45.0,11.0,-192.7,89.0,False,True,True,True,True,False,True,False,False,False,False,True,False,True,,False,True,False,True,True,True,False,True,False,False,True,False,False,,False,False,False,,True,False,True,False,True,True,,False,False,False,True,True,False,False,True,False,False
Texas,21788,21885.6,22002.3,21899.1,21879.0,21895.0,21927.0,21539.0,21827.1,21138.0,21927.7,21488.0,21812.2,22224.5,21918.7,21782.8,,21138.6,21887.0,22198.0,21972.3,21340.5,22014.0,21525.4,22026.8,22168.0,22076.2,21872.0,22014.8,21938.8,,21403.8,22079.0,22034.0,,21807.4,22317.7,22002.0,21539.2,21947.0,21918.5,,21926.5,22027.0,21941.4,21857.0,21593.3,22087.7,22017.0,21931.0,21441.7,21673.0,97.6,214.3,111.1,91.0,107.0,139.0,-249.0,39.1,-650.0,139.7,-300.0,24.2,436.5,130.7,-5.2,,-649.4,99.0,410.0,184.3,-447.5,226.0,-262.6,238.8,380.0,288.2,84.0,226.8,150.8,,-384.2,291.0,246.0,,19.4,529.7,214.0,-248.8,159.0,130.5,,138.5,239.0,153.4,69.0,-194.7,299.7,229.0,143.0,-346.3,-115.0,False,False,True,False,False,False,True,False,False,False,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,True,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False
Utah,863,857.3,881.8,862.5,863.0,864.0,869.0,874.0,892.1,808.0,886.8,860.0,860.5,865.8,891.9,669.4,,838.8,856.0,882.0,869.0,815.8,696.0,909.1,880.9,869.0,910.5,896.0,872.7,891.3,,846.4,872.9,861.0,,,888.2,867.0,820.9,862.0,868.9,,1001.7,877.7,874.3,861.0,854.5,887.7,877.0,860.0,626.7,897.0,-5.7,18.8,-0.5,0.0,1.0,6.0,11.0,29.1,-55.0,23.8,-3.0,-2.5,2.8,28.9,-193.6,,-24.2,-7.0,19.0,6.0,-47.2,-167.0,46.1,17.9,6.0,47.5,33.0,9.7,28.3,,-16.6,9.9,-2.0,,,25.2,4.0,-42.1,-1.0,5.9,,138.7,14.7,11.3,-2.0,-8.5,24.7,14.0,-3.0,-236.3,34.0,False,True,True,True,False,False,False,False,False,True,True,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,,False,True,False,True,False,,False,False,False,True,False,False,False,True,False,False
Vermont,67,66.4,68.2,67.6,66.0,67.0,67.0,64.0,68.8,64.0,57.9,66.0,64.5,67.1,68.8,67.0,,61.1,67.0,64.0,64.1,61.0,71.0,74.8,67.4,64.0,63.3,74.0,66.6,68.7,,63.7,65.4,63.0,,,74.8,67.0,62.8,65.0,67.6,,66.6,71.7,70.1,66.0,63.3,70.4,68.0,69.0,63.0,,-0.6,1.2,0.6,-1.0,0.0,0.0,-3.0,1.8,-3.0,-9.1,-1.0,-2.5,0.1,1.8,0.0,,-5.9,0.0,-3.0,-2.9,-6.0,4.0,7.8,0.4,-3.0,-3.7,7.0,-0.4,1.7,,-3.3,-1.6,-4.0,,,7.8,0.0,-4.2,-2.0,0.6,,-0.4,4.7,3.1,-1.0,-3.7,3.4,1.0,2.0,-4.0,,False,False,False,True,True,False,False,False,False,False,False,True,False,True,,False,True,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,,,False,True,False,False,False,,True,False,False,False,False,False,False,False,False,
Virginia,4054,4056.3,4114.8,4074.8,4066.0,4077.0,4076.0,4051.0,4071.7,3914.0,4004.9,4039.0,4070.0,4077.1,4170.2,4080.9,,3958.8,4083.0,4128.0,4033.7,4001.7,4114.0,4126.1,4067.2,4076.0,4082.5,4083.0,4065.5,4084.4,,3918.0,4100.9,4048.0,,4030.7,4118.9,4027.0,3892.3,4067.0,4081.8,,4136.2,4069.5,4118.0,4064.0,4136.8,4148.7,4099.0,4020.0,4009.6,4061.0,2.3,60.8,20.8,12.0,23.0,22.0,-3.0,17.7,-140.0,-49.1,-15.0,16.0,23.1,116.2,26.9,,-95.2,29.0,74.0,-20.3,-52.3,60.0,72.1,13.2,22.0,28.5,29.0,11.5,30.4,,-136.0,46.9,-6.0,,-23.3,64.9,-27.0,-161.7,13.0,27.8,,82.2,15.5,64.0,10.0,82.8,94.7,45.0,-34.0,-44.4,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Washington,2703,2704.7,2729.2,2717.7,2731.0,2719.0,2742.0,2774.0,2742.0,2701.0,2793.5,2784.0,2689.3,2760.6,2753.4,2755.7,,2670.2,2680.0,2787.0,2746.1,2763.4,2732.0,2784.3,2758.7,2722.0,2733.3,2755.0,2748.9,2744.0,,2693.8,2723.4,2696.0,,2700.5,2710.4,2793.0,2903.9,2701.0,2724.4,,2806.6,2747.3,2741.3,2732.0,2707.2,2839.4,2757.0,2726.0,2657.9,2772.0,1.7,26.2,14.7,28.0,16.0,39.0,71.0,39.0,-2.0,90.5,81.0,-13.7,57.6,50.4,52.7,,-32.8,-23.0,84.0,43.1,60.4,29.0,81.3,55.7,19.0,30.3,52.0,45.9,41.0,,-9.2,20.4,-7.0,,-2.5,7.4,90.0,200.9,-2.0,21.4,,103.6,44.3,38.3,29.0,4.2,136.4,54.0,23.0,-45.1,69.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
West Virginia,718,730.6,734.7,740.7,734.0,742.0,753.0,716.0,742.0,712.0,810.6,735.0,750.6,769.5,782.0,755.5,,703.6,733.0,764.0,751.6,713.7,771.0,752.0,774.3,762.0,744.6,756.0,762.7,748.7,,689.0,758.7,782.0,,,772.5,783.0,754.5,735.0,743.2,,758.2,768.0,762.8,753.0,719.4,729.5,753.0,773.5,690.2,776.0,12.6,16.7,22.7,16.0,24.0,35.0,-2.0,24.0,-6.0,92.6,17.0,32.6,51.5,64.0,37.5,,-14.4,15.0,46.0,33.6,-4.3,53.0,34.0,56.3,44.0,26.6,38.0,44.7,30.7,,-29.0,40.7,64.0,,,54.5,65.0,36.5,17.0,25.2,,40.2,50.0,44.8,35.0,1.4,11.5,35.0,55.5,-27.8,58.0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,True,True,False,False,False,False
Wisconsin,3464,3492.0,3633.9,3550.5,3554.0,3547.0,3527.0,3575.0,3585.8,3015.0,3308.6,3414.0,3513.4,3556.1,3605.2,3413.3,,3452.7,3593.0,3461.0,3467.2,3276.3,3670.0,3497.1,3504.5,3441.0,3570.7,3504.0,3525.4,3579.9,3325.0,3484.4,3561.6,3389.0,,3303.9,3923.2,3648.0,3486.0,3429.0,3604.2,,3888.2,3527.2,3607.5,3463.0,3603.0,3767.6,3559.0,3370.0,3277.9,,28.0,169.9,86.5,90.0,83.0,63.0,111.0,121.8,-449.0,-155.4,-50.0,49.4,92.1,141.2,-50.7,,-11.3,129.0,-3.0,3.2,-187.7,206.0,33.1,40.5,-23.0,106.7,40.0,61.4,115.9,-139.0,20.4,97.6,-75.0,,-160.1,459.2,184.0,22.0,-35.0,140.2,,424.2,63.2,143.5,-1.0,139.0,303.6,95.0,-94.0,-186.1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,
Wyoming,215,203.4,221.1,208.3,225.0,208.0,214.0,213.0,224.0,202.0,260.7,221.0,212.3,217.1,226.5,219.3,,210.1,182.0,248.0,210.1,196.7,217.0,213.4,226.3,198.0,208.5,233.0,221.6,225.1,,214.8,213.6,217.0,,,213.3,228.0,195.1,203.0,195.1,,246.1,226.2,217.9,207.0,196.8,213.2,224.0,202.0,190.3,218.0,-11.6,6.1,-6.7,10.0,-7.0,-1.0,-2.0,9.0,-13.0,45.7,6.0,-2.7,2.1,11.5,4.3,,-4.9,-33.0,33.0,-4.9,-18.3,2.0,-1.6,11.3,-17.0,-6.5,18.0,6.6,10.1,,-0.2,-1.4,2.0,,,-1.7,13.0,-19.9,-12.0,-19.9,,31.1,11.2,2.9,-8.0,-18.2,-1.8,9.0,-13.0,-24.7,3.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,True,False,False,True,False,True,True,True,False,True,False,True,True,,True,True,True,,,True,False,False,False,False,,False,True,True,True,False,True,True,False,False,True
US,266047,265846.3,267514.1,266226.9,,266131.0,266780.0,266304.0,266781.3,267793.0,268449.6,266702.0,267124.4,267605.7,267560.2,,272280.0,263674.0,265421.0,267850.0,266779.7,261689.6,265759.0,266724.7,267979.5,266908.0,268703.3,267575.0,266902.6,267760.4,,263438.4,267686.6,265440.5,267140.6,263913.1,268747.8,269273.0,267580.4,266127.0,266575.4,262526.0,,267180.2,268107.2,267215.0,266114.3,277367.9,268070.0,265619.0,260991.0,269558.0,-113.7,1554.1,266.9,,171.0,820.0,344.0,821.3,1833.0,2489.6,742.0,1164.4,1645.7,1600.2,,6320.0,-2286.0,-539.0,1890.0,819.7,-4270.4,-201.0,764.7,2019.5,948.0,2743.3,1615.0,942.6,1800.4,,-2521.6,1726.6,-519.5,1180.6,-2046.9,2787.8,3313.0,1620.4,167.0,615.4,-3434.0,,1220.2,2147.2,1255.0,154.3,11407.9,2110.0,-341.0,-4969.0,3598.0,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
