,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,34526,33970.9,33751.8,33854.7,34055.0,33990.4,33964.0,34223.0,34091.0,33801.0,34067.4,34145.0,33810.9,33699.5,33842.6,,33960.0,33874.1,34302.9,34049.0,34036.0,33974.5,34046.2,33859.0,34078.8,34113.0,34002.1,33987.0,,33849.3,33968.7,33719.0,,33686.8,33653.0,,33974.0,35136.7,34002.0,33650.0,,33803.6,34035.2,34254.0,34074.7,34000.0,33870.0,33920.5,33530.0,33781.0,-338.1,-557.2,-454.3,-254.0,-318.6,-345.0,-86.0,-218.0,-508.0,-241.6,-164.0,-498.1,-609.5,-466.4,,-349.0,-434.9,-6.1,-260.0,-273.0,-334.5,-262.8,-450.0,-230.2,-196.0,-306.9,-322.0,,-459.7,-340.3,-590.0,,-622.2,-656.0,,-335.0,827.7,-307.0,-659.0,,-505.4,-273.8,-55.0,-234.3,-309.0,-439.0,-388.5,-779.0,-528.0,False,False,True,True,False,True,True,False,True,True,False,False,False,,False,False,True,True,True,True,True,False,True,True,True,True,,False,False,False,,False,False,,True,False,True,False,,False,True,True,True,True,False,False,False,False
North Carolina,5219,5254.7,5820.6,5339.8,5046.0,5313.9,5313.0,5575.0,5220.9,5405.0,5381.6,5000.0,5084.7,5276.9,5312.6,,5192.0,5408.6,5046.9,5455.0,4975.2,5121.5,5573.6,5687.0,5314.8,5186.0,5672.5,5266.1,,4859.5,5532.6,5178.0,,5159.9,4735.6,,5423.0,4844.1,5397.0,5213.3,,5536.4,5683.9,5288.0,5137.9,5462.0,5214.4,5253.0,4812.6,5218.0,35.7,601.6,120.8,-173.0,94.9,94.0,356.0,1.9,186.0,162.6,-219.0,-134.3,57.9,93.6,,-27.0,189.6,-172.1,236.0,-243.8,-97.5,354.6,468.0,95.8,-33.0,453.5,47.1,,-359.5,313.6,-41.0,,-59.1,-483.4,,204.0,-374.9,178.0,-5.7,,317.4,464.9,69.0,-81.1,243.0,-4.6,34.0,-406.4,-1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,True,True,False,True
North Dakota,921,820.3,706.5,845.0,839.0,828.0,857.0,713.0,876.7,1046.0,1027.0,716.0,898.8,942.9,1027.4,,824.0,1019.1,857.1,850.0,576.4,892.5,1047.9,836.0,921.5,788.0,881.5,874.1,,1028.0,965.3,758.0,,,568.6,,870.0,766.4,844.0,708.0,,948.5,902.8,947.0,856.8,938.0,834.4,770.0,647.3,818.0,-100.7,-214.5,-76.0,-82.0,-93.0,-64.0,-208.0,-44.3,125.0,106.0,-205.0,-22.2,21.9,106.4,,-97.0,98.1,-63.9,-71.0,-344.6,-28.5,126.9,-85.0,0.5,-133.0,-39.5,-46.9,,107.0,44.3,-163.0,,,-352.4,,-51.0,-154.6,-77.0,-213.0,,27.5,-18.2,26.0,-64.2,17.0,-86.6,-151.0,-273.7,-103.0,False,True,True,True,True,False,True,False,False,False,True,True,False,,True,True,True,True,False,True,False,True,True,False,True,True,,False,True,False,,,False,,True,False,True,False,,True,True,True,True,True,True,False,False,False
Ohio,7693,5677.1,7747.2,5763.7,6066.0,5682.6,5944.0,7017.0,5990.0,6202.0,5897.8,5872.0,5612.8,6008.6,6381.1,,6076.0,5713.7,6059.7,6014.0,6015.3,5695.0,6244.1,6076.0,6077.5,6028.0,5906.6,6097.7,7184.0,5624.6,5956.1,5815.0,,5800.0,5823.3,,5851.0,5889.3,6011.0,5620.2,,5995.9,5913.7,6418.0,5844.7,5899.0,5716.6,5654.0,5639.6,5931.0,-1995.9,74.2,-1909.3,-1607.0,-1990.4,-1729.0,-656.0,-1683.0,-1471.0,-1775.2,-1801.0,-2060.2,-1664.4,-1291.9,,-1597.0,-1959.3,-1613.3,-1659.0,-1657.7,-1978.0,-1428.9,-1597.0,-1595.5,-1645.0,-1766.4,-1575.3,-489.0,-2048.4,-1716.9,-1858.0,,-1873.0,-1849.7,,-1822.0,-1783.7,-1662.0,-2052.8,,-1677.1,-1759.3,-1255.0,-1828.3,-1774.0,-1956.4,-2019.0,-2033.4,-1742.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,,True,True,True,False,,True,True,True,True,True,True,False,False,True
Oklahoma,1717,1715.3,1840.0,1718.9,1768.0,1704.9,1707.0,1485.0,1730.2,1727.0,1698.1,1672.0,1632.3,1611.8,1727.5,,1730.0,1675.8,1582.7,1826.0,1560.2,1695.0,1722.6,1843.0,1724.4,1787.0,1747.3,1710.3,,1592.6,1818.5,1710.0,,,1461.0,,1709.0,1638.6,1700.0,1653.3,,1815.6,1766.6,1629.0,1692.0,1690.0,1692.9,1717.0,1489.9,1676.0,-1.7,123.0,1.9,51.0,-12.1,-10.0,-232.0,13.2,10.0,-18.9,-45.0,-84.7,-105.2,10.5,,13.0,-41.2,-134.3,109.0,-156.8,-22.0,5.6,126.0,7.4,70.0,30.3,-6.7,,-124.4,101.5,-7.0,,,-256.0,,-8.0,-78.4,-17.0,-63.7,,98.6,49.6,-88.0,-25.0,-27.0,-24.1,0.0,-227.1,-41.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False
Oregon,896,837.6,870.2,839.2,814.0,833.0,839.0,868.0,852.1,822.0,839.7,784.0,802.0,834.9,832.7,,813.0,814.0,810.9,874.0,871.8,828.5,868.9,973.0,830.8,886.0,841.6,844.2,,731.1,851.7,799.0,,,753.9,,857.0,891.1,858.0,786.2,,875.3,861.9,877.0,804.0,884.0,831.8,826.0,754.2,881.0,-58.4,-25.8,-56.8,-82.0,-63.0,-57.0,-28.0,-43.9,-74.0,-56.3,-112.0,-94.0,-61.1,-63.3,,-83.0,-82.0,-85.1,-22.0,-24.2,-67.5,-27.1,77.0,-65.2,-10.0,-54.4,-51.8,,-164.9,-44.3,-97.0,,,-142.1,,-39.0,-4.9,-38.0,-109.8,,-20.7,-34.1,-19.0,-92.0,-12.0,-64.2,-70.0,-141.8,-15.0,True,True,False,False,True,True,True,False,True,False,False,False,False,,False,False,False,True,True,False,True,False,False,True,True,True,,False,True,False,,,False,,True,True,True,False,,True,True,True,False,True,False,False,False,True
Pennsylvania,10234,9404.7,9831.8,9531.5,9500.0,9457.2,9687.0,10150.0,9688.9,10228.0,9950.9,9515.0,9421.3,9792.9,10027.1,,9581.0,9809.7,9799.6,9586.0,9459.4,9487.5,10062.7,9666.0,9600.5,9486.0,9789.9,9647.3,,9918.8,9710.6,9476.0,,9508.6,9230.5,,9661.0,9403.7,9752.0,9267.4,,9707.3,9806.4,9760.0,9517.0,9797.0,9574.1,9429.5,9145.1,9401.0,-829.3,-402.2,-702.5,-734.0,-776.8,-547.0,-84.0,-545.1,-6.0,-283.1,-719.0,-812.7,-441.1,-206.9,,-653.0,-424.3,-434.4,-648.0,-774.6,-746.5,-171.3,-568.0,-633.5,-748.0,-444.1,-586.7,,-315.2,-523.4,-758.0,,-725.4,-1003.5,,-573.0,-830.3,-482.0,-966.6,,-526.7,-427.6,-474.0,-717.0,-437.0,-659.9,-804.5,-1088.9,-833.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,False,,True,True,True,True,True,True,True,False,False
Rhode Island,1399,1293.6,1345.9,1293.9,1303.0,1300.7,1344.0,1372.0,1262.2,1575.0,1488.6,1347.0,1392.5,1321.0,1327.1,,1309.0,1377.0,1384.0,1293.0,1280.6,1286.0,1446.3,1441.0,1297.0,1269.0,1311.8,1375.4,,1369.8,1321.1,1281.0,,,1236.2,,1352.0,1568.3,1414.0,1261.0,,1341.9,1333.3,1401.0,1305.6,1331.0,1306.9,1302.0,1204.1,1298.0,-86.4,-34.1,-86.1,-77.0,-79.3,-36.0,-8.0,-117.8,195.0,108.6,-33.0,12.5,-59.0,-52.9,,-71.0,-3.0,4.0,-87.0,-99.4,-94.0,66.3,61.0,-83.0,-111.0,-68.2,-4.6,,-10.2,-58.9,-99.0,,,-143.8,,-28.0,188.3,34.0,-119.0,,-38.1,-46.7,21.0,-74.4,-49.0,-73.1,-78.0,-175.9,-82.0,True,True,True,True,True,True,False,False,False,True,True,True,True,,True,True,True,False,False,False,True,True,True,False,True,True,,True,True,False,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,True
South Carolina,4346,4452.9,5217.3,4493.4,4369.0,4502.6,4467.0,4488.0,4413.6,4979.0,4470.3,4236.0,4290.5,4430.2,4471.2,,4458.0,4337.2,4400.6,4521.0,4156.2,4426.5,4452.4,4906.0,4445.5,4325.0,4460.9,4416.8,,4199.2,4534.6,4240.0,,4464.0,4586.1,,4521.0,4592.1,4600.0,4396.0,,4794.5,4484.6,4451.0,4536.7,4567.0,4392.0,4420.5,4249.7,4475.0,106.9,871.3,147.4,23.0,156.6,121.0,142.0,67.6,633.0,124.3,-110.0,-55.5,84.2,125.2,,112.0,-8.8,54.6,175.0,-189.8,80.5,106.4,560.0,99.5,-21.0,114.9,70.8,,-146.8,188.6,-106.0,,118.0,240.1,,175.0,246.1,254.0,50.0,,448.5,138.6,105.0,190.7,221.0,46.0,74.5,-96.3,129.0,False,False,True,False,False,False,True,False,False,False,True,True,False,,False,True,True,False,False,True,True,False,True,True,False,True,,False,False,True,,False,False,,False,False,False,True,,False,False,True,False,False,True,True,True,False
South Dakota,942,676.1,753.9,663.8,722.0,661.0,757.0,660.0,700.9,852.0,781.4,675.0,755.7,714.2,835.1,,658.0,760.8,735.2,760.0,460.9,670.5,829.2,775.0,774.9,731.0,795.2,738.5,,846.1,784.5,814.0,,,618.6,,764.0,621.1,795.0,568.4,,725.3,816.7,842.0,801.0,753.0,668.1,1076.5,512.5,692.0,-265.9,-188.1,-278.2,-220.0,-281.0,-185.0,-282.0,-241.1,-90.0,-160.6,-267.0,-186.3,-227.8,-106.9,,-284.0,-181.2,-206.8,-182.0,-481.1,-271.5,-112.8,-167.0,-167.1,-211.0,-146.8,-203.5,,-95.9,-157.5,-128.0,,,-323.4,,-178.0,-320.9,-147.0,-373.6,,-216.7,-125.3,-100.0,-141.0,-189.0,-273.9,134.5,-429.5,-250.0,True,False,True,False,True,False,True,True,True,False,True,True,True,,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,False,True,False,True
Tennessee,4541,4209.3,4706.3,4307.6,4307.0,4364.9,4345.0,4345.0,4191.6,5064.0,4597.0,3969.0,4137.5,4204.0,4666.1,,4093.0,4536.9,4167.1,4435.0,3869.6,4302.0,4669.0,4238.0,4174.5,4097.0,4681.1,4278.0,,3857.2,4404.5,4232.0,,4375.6,5069.5,,4614.0,3079.1,3815.0,4412.1,,4266.2,4710.7,4552.0,4229.6,4413.0,4169.1,4117.5,3710.8,4371.0,-331.7,165.3,-233.4,-234.0,-176.1,-196.0,-196.0,-349.4,523.0,56.0,-572.0,-403.5,-337.0,125.1,,-448.0,-4.1,-373.9,-106.0,-671.4,-239.0,128.0,-303.0,-366.5,-444.0,140.1,-263.0,,-683.8,-136.5,-309.0,,-165.4,528.5,,73.0,-1461.9,-726.0,-128.9,,-274.8,169.7,11.0,-311.4,-128.0,-371.9,-423.5,-830.2,-170.0,True,True,True,True,True,True,False,False,True,False,False,False,True,,False,True,False,True,False,True,True,True,False,False,True,True,,False,True,True,,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,True
Texas,22130,20611.9,20553.5,20638.9,20569.0,20664.2,20847.0,22411.0,20544.4,22220.0,20730.6,19812.0,19971.7,21479.5,22189.6,,20761.0,20935.3,21016.4,20766.0,19863.1,19222.0,21519.2,20834.5,20729.6,20139.0,21433.0,20755.1,,20859.4,21197.1,22289.0,,21482.1,19409.8,27038.0,21283.0,20852.3,20762.0,20723.9,,20005.4,21423.3,21000.0,21022.5,21714.0,20247.6,20114.0,19932.8,20464.0,-1180.1,-1238.5,-1153.1,-1223.0,-1127.8,-945.0,619.0,-1247.6,428.0,-1061.4,-1980.0,-1820.3,-312.5,397.6,,-1031.0,-856.7,-775.6,-1026.0,-1928.9,-2570.0,-272.8,-957.5,-1062.4,-1653.0,-359.0,-1036.9,,-932.6,-594.9,497.0,,-309.9,-2382.2,5246.0,-509.0,-939.7,-1030.0,-1068.1,,-1786.6,-368.7,-792.0,-769.5,-78.0,-1544.4,-1678.0,-1859.2,-1328.0,False,True,False,True,True,True,False,True,True,False,False,True,True,,True,True,True,True,False,False,True,True,True,False,True,True,,True,True,True,,True,False,False,True,True,True,True,,False,True,True,True,True,False,False,False,False
Utah,863,776.0,744.1,750.2,945.0,748.0,790.0,790.0,834.5,701.0,944.4,696.0,809.8,753.0,641.6,,790.0,797.0,582.0,600.0,715.6,756.0,782.5,729.0,952.4,777.0,825.0,834.5,,789.6,801.5,808.0,,,653.6,,792.0,807.4,799.0,763.5,,804.5,845.4,833.0,694.7,774.0,746.7,738.0,523.1,753.0,-87.0,-118.9,-112.8,82.0,-115.0,-73.0,-73.0,-28.5,-162.0,81.4,-167.0,-53.2,-110.0,-221.4,,-73.0,-66.0,-281.0,-263.0,-147.4,-107.0,-80.5,-134.0,89.4,-86.0,-38.0,-28.5,,-73.4,-61.5,-55.0,,,-209.4,,-71.0,-55.6,-64.0,-99.5,,-58.5,-17.6,-30.0,-168.3,-89.0,-116.3,-125.0,-339.9,-110.0,False,False,True,False,True,True,True,False,True,False,True,False,False,,True,True,False,False,False,False,True,False,False,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,False,False,False,False,False,False
Vermont,67,58.0,58.2,58.0,62.0,59.0,59.0,59.0,60.0,58.0,58.4,60.0,60.9,,61.7,,58.0,58.0,59.1,65.0,68.0,58.0,60.6,59.0,58.0,91.0,58.0,82.7,,61.9,58.0,58.0,,,58.0,,62.0,59.5,72.0,58.4,,58.2,80.0,61.0,60.3,58.0,59.1,59.0,57.9,,-9.0,-8.8,-9.0,-5.0,-8.0,-8.0,-8.0,-7.0,-9.0,-8.6,-7.0,-6.1,,-5.3,,-9.0,-9.0,-7.9,-2.0,1.0,-9.0,-6.4,-8.0,-9.0,24.0,-9.0,15.7,,-5.1,-9.0,-9.0,,,-9.0,,-5.0,-7.5,5.0,-8.6,,-8.8,13.0,-6.0,-6.7,-9.0,-7.9,-8.0,-9.1,,True,False,True,True,True,True,True,False,True,True,True,,True,,False,False,True,True,True,False,True,True,False,False,True,False,,True,False,False,,,False,,True,True,True,True,,True,False,True,True,False,True,True,False,
Virginia,4054,3948.1,4890.6,4003.6,4090.0,3958.9,4076.0,4525.0,4013.1,4154.0,4022.5,3805.0,3917.5,4070.4,4102.1,,4158.0,3986.0,4149.2,4195.0,4080.3,4035.5,4158.3,4080.0,4061.1,4221.0,4032.2,4115.6,,3936.6,4069.8,4194.0,,4407.6,4080.6,,4008.0,3892.3,4133.0,3827.1,,4450.0,4044.3,4173.0,4086.4,4183.0,4058.2,3866.0,3925.9,4050.0,-105.9,836.6,-50.4,36.0,-95.1,22.0,471.0,-40.9,100.0,-31.5,-249.0,-136.5,16.4,48.1,,104.0,-68.0,95.2,141.0,26.3,-18.5,104.3,26.0,7.1,167.0,-21.8,61.6,,-117.4,15.8,140.0,,353.6,26.6,,-46.0,-161.7,79.0,-226.9,,396.0,-9.7,119.0,32.4,129.0,4.2,-188.0,-128.1,-4.0,False,True,True,True,True,False,True,True,True,False,False,True,True,,True,True,True,False,True,True,True,True,True,False,True,True,,False,True,False,,False,True,,True,False,True,False,,False,True,False,True,False,True,False,False,True
Washington,2714,2636.0,2718.9,2644.4,2607.0,2646.5,2657.0,2752.0,2668.2,2677.0,2648.3,2532.0,2536.0,2596.8,2668.8,,2664.0,2707.1,2616.7,2644.0,2629.3,2624.0,2688.0,2700.0,2580.0,2649.0,2814.0,2650.0,,2533.5,2721.8,2731.0,,2655.2,2618.0,,2708.0,2732.3,2657.0,2664.9,,2648.1,2806.4,2657.0,2606.5,2656.0,2661.9,2572.0,2504.9,2675.0,-91.0,-8.1,-82.6,-120.0,-80.5,-70.0,25.0,-58.8,-50.0,-78.7,-195.0,-191.0,-130.2,-58.2,,-63.0,-19.9,-110.3,-83.0,-97.7,-103.0,-39.0,-27.0,-147.0,-78.0,87.0,-77.0,,-193.5,-5.2,4.0,,-71.8,-109.0,,-19.0,5.3,-70.0,-62.1,,-78.9,79.4,-70.0,-120.5,-71.0,-65.1,-155.0,-222.1,-52.0,True,True,False,True,True,True,True,True,True,False,False,False,True,,True,True,False,True,False,False,True,True,False,True,True,True,,False,True,True,,True,False,,True,True,True,True,,True,True,True,False,True,True,False,False,True
West Virginia,718,595.0,687.2,593.8,576.0,599.0,599.0,661.0,622.3,697.0,549.4,598.0,533.2,581.2,575.9,,596.0,592.3,629.0,646.0,571.2,567.0,634.1,654.0,600.0,655.0,604.9,,,566.4,661.5,547.0,,,475.5,,648.0,707.7,640.0,599.3,,541.9,627.0,614.0,567.2,670.0,591.5,568.0,515.5,606.0,-123.0,-30.8,-124.2,-142.0,-119.0,-119.0,-57.0,-95.7,-21.0,-168.6,-120.0,-184.8,-136.8,-142.1,,-122.0,-125.7,-89.0,-72.0,-146.8,-151.0,-83.9,-64.0,-118.0,-63.0,-113.1,,,-151.6,-56.5,-171.0,,,-242.5,,-70.0,-10.3,-78.0,-118.7,,-176.1,-91.0,-104.0,-150.8,-48.0,-126.5,-150.0,-202.5,-112.0,True,False,False,True,True,True,True,True,False,True,False,False,False,,True,False,True,True,False,False,True,True,True,True,True,,,False,True,False,,,False,,True,True,True,True,,False,True,True,False,True,False,False,False,True
Wisconsin,3464,3084.6,3644.7,3101.7,3400.0,3074.9,3233.0,3118.0,3057.0,3710.0,3123.5,2597.0,3315.1,,3354.9,,2845.0,3291.6,3000.0,3286.0,2591.4,3225.0,3579.2,4107.5,3357.4,2882.0,3632.4,,2633.0,2648.6,3435.0,3151.0,,2565.0,2517.5,,3465.0,3222.3,2956.0,2962.9,,3340.9,3671.3,2900.0,4559.9,3409.0,2914.9,3454.0,2279.4,3262.0,-63.4,496.7,-46.3,252.0,-73.1,85.0,-30.0,-91.0,562.0,-24.5,-551.0,167.1,,206.9,,-303.0,143.6,-148.0,138.0,-556.6,77.0,431.2,959.5,209.4,-266.0,484.4,,-515.0,-499.4,287.0,3.0,,-583.0,-630.5,,317.0,74.3,-192.0,-185.1,,192.9,523.3,-248.0,1411.9,261.0,-233.1,306.0,-868.6,114.0,False,True,False,False,False,True,False,False,True,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Wyoming,215,160.3,277.0,163.5,154.0,163.0,163.0,178.0,202.8,249.0,161.2,127.0,124.4,156.5,195.1,,163.0,175.6,179.6,165.0,118.8,129.5,196.7,119.0,133.9,202.0,231.9,,,109.1,162.1,174.5,,,187.9,,212.0,205.7,186.0,111.3,,170.5,253.3,156.0,103.4,196.0,159.9,163.0,89.3,159.0,-54.7,62.0,-51.5,-61.0,-52.0,-52.0,-37.0,-12.2,34.0,-53.8,-88.0,-90.6,-58.5,-19.9,,-52.0,-39.4,-35.4,-50.0,-96.2,-85.5,-18.3,-96.0,-81.1,-13.0,16.9,,,-105.9,-52.9,-40.5,,,-27.1,,-3.0,-9.3,-29.0,-103.7,,-44.5,38.3,-59.0,-111.6,-19.0,-55.1,-52.0,-125.7,-56.0,False,True,False,True,True,True,True,True,True,False,False,False,True,,True,True,True,True,False,False,True,False,False,True,True,,,False,True,True,,,True,,True,True,True,False,,True,True,False,False,True,False,True,False,False
US,268482,253219.9,262026.0,253211.7,,253168.3,257243.0,264236.0,255725.9,259917.0,263918.4,252111.0,250692.1,255000.7,,261299.0,253486.0,259832.5,257700.0,255248.0,247311.7,,265986.3,258036.5,259958.8,253180.0,257704.0,256958.8,,251688.0,258348.0,254918.5,261044.2,255874.6,256133.4,251967.0,261664.0,258041.6,259801.0,252220.2,257110.0,,258553.8,263248.0,255325.4,262435.5,253228.5,253754.0,244990.8,257767.0,-14130.1,-5324.0,-14138.3,,-14181.7,-10107.0,-3114.0,-11624.1,-7433.0,-3431.6,-15239.0,-16657.9,-12349.3,,-6051.0,-13864.0,-7517.5,-9650.0,-12102.0,-20038.3,,-1363.7,-9313.5,-7391.2,-14170.0,-9646.0,-10391.2,,-15662.0,-9002.0,-12431.5,-6305.8,-11475.4,-11216.6,-15383.0,-5686.0,-9308.4,-7549.0,-15129.8,-10240.0,,-8796.2,-4102.0,-12024.6,-4914.5,-14121.5,-13596.0,-22359.2,-9583.0,True,False,,False,True,True,True,True,True,False,False,True,,True,True,True,True,True,False,,True,True,True,False,True,True,,False,True,True,True,True,True,False,True,True,True,False,True,,True,True,True,True,True,True,False,True
