,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
08003,185,340.0,,,288.0,385.0,,,,,194.2,330.8,,,400.0,,244.9,235.8,,,273.0,286.0,,244.0,349.7,,,,,,,,,408.6,155.0,,,103.0,200.0,,,,,9.2,145.8,,,215.0,,59.9,50.8,,,88.0,101.0,,59.0,164.7,,,,,,,,,223.6,,,True,False,,,,,True,True,,,False,,True,True,,,True,True,,True,False,,,,,,,,,False
08005,7522,9012.0,,9405.0,6862.0,5413.0,,,,,6405.7,5600.3,,6092.4,9087.0,,3444.4,7890.4,10432.5,,7162.0,7965.0,,6455.0,7358.6,,,,,6263.2,4298.0,,,13142.9,1490.0,,1883.0,-660.0,-2109.0,,,,,-1116.3,-1921.7,,-1429.6,1565.0,,-4077.6,368.4,2910.5,,-360.0,443.0,,-1067.0,-163.4,,,,,-1258.8,-3224.0,,,5620.9,,False,True,False,,,,,True,False,,True,False,,False,True,False,,True,True,,True,True,,,,,True,False,,,False
08007,132,72.0,,,79.0,67.0,,,,,106.5,157.8,,,162.0,,43.5,121.5,,,17.0,103.5,,78.0,154.0,,,,,,,,,88.0,-60.0,,,-53.0,-65.0,,,,,-25.5,25.8,,,30.0,,-88.5,-10.5,,,-115.0,-28.5,,-54.0,22.0,,,,,,,,,-44.0,,,True,False,,,,,True,True,,,True,,False,True,,,False,True,,True,True,,,,,,,,,True
08009,77,32.0,,,28.0,0.0,,,,,38.4,30.9,,,61.0,,17.7,38.0,,,14.0,26.9,,31.0,57.6,,,,,,,,,47.8,-45.0,,,-49.0,-77.0,,,,,-38.6,-46.1,,,-16.0,,-59.3,-39.0,,,-63.0,-50.1,,-46.0,-19.4,,,,,,,,,-29.2,,,False,False,,,,,True,False,,,True,,False,True,,,False,False,,False,True,,,,,,,,,True
08011,401,1016.0,,,438.0,648.0,,,,,339.9,290.8,,,86.0,,620.0,294.0,,,772.0,441.1,,160.0,192.5,,,,,,,,,626.3,615.0,,,37.0,247.0,,,,,-61.1,-110.2,,,-315.0,,219.0,-107.0,,,371.0,40.1,,-241.0,-208.5,,,,,,,,,225.3,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,,,,,True
08013,2628,2748.0,,,1931.0,1950.0,,,,,2104.7,1573.0,,1550.2,3735.0,,993.5,2984.5,3004.0,,1879.0,2560.8,,1445.0,,,,,,4881.9,1326.0,,,3463.6,120.0,,,-697.0,-678.0,,,,,-523.3,-1055.0,,-1077.8,1107.0,,-1634.5,356.5,376.0,,-749.0,-67.2,,-1183.0,,,,,,2253.9,-1302.0,,,835.6,,,False,False,,,,,False,False,,False,False,,False,False,False,,False,True,,False,,,,,,False,False,,,False
08014,575,548.0,,,527.0,241.0,,,,,430.3,462.5,,,1056.0,,183.0,667.1,717.0,,360.0,549.6,,383.0,,,,,,831.8,,,,,-27.0,,,-48.0,-334.0,,,,,-144.7,-112.5,,,481.0,,-392.0,92.1,142.0,,-215.0,-25.4,,-192.0,,,,,,256.8,,,,,,,False,False,,,,,False,False,,,False,,False,False,False,,False,True,,False,,,,,,False,,,,
08015,308,380.0,,,301.0,480.0,,,,,203.3,172.8,,,298.0,,211.0,215.5,,,393.0,335.1,,263.0,189.1,,,,,,,,,691.9,72.0,,,-7.0,172.0,,,,,-104.7,-135.2,,,-10.0,,-97.0,-92.5,,,85.0,27.1,,-45.0,-118.9,,,,,,,,,383.9,,,True,False,,,,,False,False,,,True,,False,False,,,False,True,,True,False,,,,,,,,,False
08017,20,0.0,,,7.0,0.0,,,,,17.1,25.7,,,44.0,,2.8,10.0,,,0.0,9.2,,12.0,24.0,,,,,,,,,6.8,-20.0,,,-13.0,-20.0,,,,,-2.9,5.7,,,24.0,,-17.2,-10.0,,,-20.0,-10.8,,-8.0,4.0,,,,,,,,,-13.2,,,True,False,,,,,True,True,,,False,,True,True,,,False,True,,True,True,,,,,,,,,True
08019,83,72.0,,,65.0,39.0,,,,,54.6,117.4,,,106.0,,15.6,69.2,,,68.0,97.9,,23.0,70.5,,,,,,,,,56.8,-11.0,,,-18.0,-44.0,,,,,-28.4,34.4,,,23.0,,-67.4,-13.8,,,-15.0,14.9,,-60.0,-12.5,,,,,,,,,-26.2,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,,,,,,,,,False
08021,87,160.0,,,106.0,166.0,,,,,70.9,106.1,,,194.0,,64.1,95.6,,,115.0,116.4,,85.0,106.6,,,,,,,,,128.2,73.0,,,19.0,79.0,,,,,-16.1,19.1,,,107.0,,-22.9,8.6,,,28.0,29.4,,-2.0,19.6,,,,,,,,,41.2,,,True,False,,,,,True,True,,,False,,True,True,,,True,True,,True,True,,,,,,,,,True
08023,24,148.0,,,79.0,0.0,,,,,40.6,37.8,,,91.0,,1349.9,80.7,,,141.0,75.5,,71.0,76.7,,,,,,,,,284.6,124.0,,,55.0,-24.0,,,,,16.6,13.8,,,67.0,,1325.9,56.7,,,117.0,51.5,,47.0,52.7,,,,,,,,,260.6,,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
08025,168,592.0,,,164.0,82.0,,,,,322.1,189.4,,,93.0,,66.9,116.9,,,184.0,273.0,,175.0,225.3,,,,,,,,,359.0,424.0,,,-4.0,-86.0,,,,,154.1,21.4,,,-75.0,,-101.1,-51.1,,,16.0,105.0,,7.0,57.3,,,,,,,,,191.0,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,,,,,True
08027,13,104.0,,,59.0,38.0,,,,,43.5,58.6,,,39.0,,71.5,71.7,,,159.0,80.5,,59.0,65.0,,,,,,,,,108.7,91.0,,,46.0,25.0,,,,,30.5,45.6,,,26.0,,58.5,58.7,,,146.0,67.5,,46.0,52.0,,,,,,,,,95.7,,,True,True,,,,,True,True,,,True,,True,True,,,False,True,,True,True,,,,,,,,,False
08029,892,564.0,,,650.0,736.0,,,,,347.4,172.8,,,614.0,,1416.3,575.9,1201.5,,1049.0,685.9,,462.0,570.8,,,,,,,,,928.3,-328.0,,,-242.0,-156.0,,,,,-544.6,-719.2,,,-278.0,,524.3,-316.1,309.5,,157.0,-206.1,,-430.0,-321.2,,,,,,,,,36.3,,,True,True,,,,,False,False,,,True,,False,True,True,,True,True,,False,True,,,,,,,,,True
08031,8632,8804.0,,9297.2,7160.0,6356.0,,,,,6073.9,5121.4,,5915.5,10182.0,,3444.6,8143.5,9204.0,,5295.0,7225.4,,5723.0,9544.9,,,,,8380.2,5013.0,,,11423.3,172.0,,665.2,-1472.0,-2276.0,,,,,-2558.1,-3510.6,,-2716.5,1550.0,,-5187.4,-488.5,572.0,,-3337.0,-1406.6,,-2909.0,912.9,,,,,-251.8,-3619.0,,,2791.3,,False,False,False,,,,,False,False,,False,False,,False,False,False,,False,False,,False,False,,,,,False,False,,,False
08033,7,32.0,,,19.0,0.0,,,,,17.0,35.7,,,30.0,,8.1,30.0,,,34.0,22.4,,19.0,17.9,,,,,,,,,35.9,25.0,,,12.0,-7.0,,,,,10.0,28.7,,,23.0,,1.1,23.0,,,27.0,15.4,,12.0,10.9,,,,,,,,,28.9,,,True,True,,,,,True,False,,,True,,True,True,,,False,True,,True,True,,,,,,,,,False
08035,3456,3672.0,,,2748.0,1978.0,,,,,2691.1,2184.8,,2043.4,4419.0,,1414.9,3425.2,4575.5,,2208.5,3001.7,,2438.0,3922.6,,,,,3850.7,1866.0,,,4187.1,216.0,,,-708.0,-1478.0,,,,,-764.9,-1271.2,,-1412.6,963.0,,-2041.1,-30.8,1119.5,,-1247.5,-454.3,,-1018.0,466.6,,,,,394.7,-1590.0,,,731.1,,,False,False,,,,,False,False,,False,False,,False,True,False,,False,False,,False,False,,,,,False,False,,,False
08037,881,1036.0,,,908.0,997.0,,,,,615.2,1028.7,,907.6,1038.0,,810.7,597.3,1015.5,,996.0,820.9,,793.0,1029.1,,,,,449.3,,,,1210.8,155.0,,,27.0,116.0,,,,,-265.8,147.7,,26.6,157.0,,-70.3,-283.7,134.5,,115.0,-60.1,,-88.0,148.1,,,,,-431.7,,,,329.8,,,True,True,,,,,False,True,,True,False,,True,False,True,,True,True,,True,True,,,,,False,,,,False
08039,198,316.0,,,258.0,231.0,,,,,204.3,531.3,,,346.0,,99.5,317.3,,,219.5,335.1,,257.0,347.6,,,,,,,,,394.3,118.0,,,60.0,33.0,,,,,6.3,333.3,,,148.0,,-98.5,119.3,,,21.5,137.1,,59.0,149.6,,,,,,,,,196.3,,,True,True,,,,,True,False,,,False,,True,False,,,True,False,,True,False,,,,,,,,,False
08041,8043,11072.0,,10825.6,7560.0,4620.0,,,,,6609.2,7426.8,,6845.8,11225.0,,4340.8,10328.6,12140.5,,6382.0,8670.8,,7023.0,8570.9,,,,,10026.1,4398.0,,,10846.8,3029.0,,2782.6,-483.0,-3423.0,,,,,-1433.8,-616.2,,-1197.2,3182.0,,-3702.2,2285.6,4097.5,,-1661.0,627.8,,-1020.0,527.9,,,,,1983.1,-3645.0,,,2803.8,,True,True,False,,,,,True,True,,True,False,,False,True,False,,True,True,,True,True,,,,,True,False,,,True
08043,967,1308.0,,,877.0,651.0,,,,,852.2,685.8,,,955.0,,413.3,809.2,564.5,,888.0,1167.7,,961.0,1013.1,,,,,962.2,,,,1462.4,341.0,,,-90.0,-316.0,,,,,-114.8,-281.2,,,-12.0,,-553.7,-157.8,-402.5,,-79.0,200.7,,-6.0,46.1,,,,,-4.8,,,,495.4,,,True,True,,,,,True,True,,,True,,False,True,False,,True,True,,True,True,,,,,True,,,,False
08045,1066,1884.0,,,1689.0,1658.0,,,,,872.5,1436.7,,,1756.0,,2431.4,987.4,1718.5,,2032.0,1628.7,,1475.0,1365.0,,,,,1331.8,,,,2436.0,818.0,,,623.0,592.0,,,,,-193.5,370.7,,,690.0,,1365.4,-78.6,652.5,,966.0,562.7,,409.0,299.0,,,,,265.8,,,,1370.0,,,True,True,,,,,True,True,,,True,,False,True,True,,False,True,,True,True,,,,,True,,,,False
08047,24,32.0,,,22.0,4.0,,,,,18.2,65.3,,,61.0,,2.2,26.8,,,3.0,28.4,,23.0,37.9,,,,,,,,,16.9,8.0,,,-2.0,-20.0,,,,,-5.8,41.3,,,37.0,,-21.8,2.8,,,-21.0,4.4,,-1.0,13.9,,,,,,,,,-7.1,,,True,False,,,,,True,False,,,False,,False,True,,,False,True,,True,False,,,,,,,,,True
08049,198,280.0,,,194.0,253.0,,,,,138.2,252.4,,,211.0,,66.0,181.2,,,152.0,224.3,,152.0,237.7,,,,,,,,,331.7,82.0,,,-4.0,55.0,,,,,-59.8,54.4,,,13.0,,-132.0,-16.8,,,-46.0,26.3,,-46.0,39.7,,,,,,,,,133.7,,,True,True,,,,,True,True,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
08051,264,244.0,,,191.0,174.0,,,,,128.5,402.4,,441.2,193.0,,191.9,160.6,,,229.0,251.6,,172.0,183.8,,,,,,,,,256.1,-20.0,,,-73.0,-90.0,,,,,-135.5,138.4,,177.2,-71.0,,-72.1,-103.4,,,-35.0,-12.4,,-92.0,-80.2,,,,,,,,,-7.9,,,False,False,,,,,False,False,,False,False,,False,False,,,False,True,,False,False,,,,,,,,,True
08053,4,0.0,,,4.0,0.0,,,,,2.5,3.2,,,8.0,,4.5,4.1,,,8.0,0.2,,4.0,4.3,,,,,,,,,4.6,-4.0,,,0.0,-4.0,,,,,-1.5,-0.8,,,4.0,,0.5,0.1,,,4.0,-3.8,,0.0,0.3,,,,,,,,,0.6,,,True,False,,,,,True,True,,,False,,True,True,,,False,True,,True,True,,,,,,,,,True
08055,36,72.0,,,64.0,33.0,,,,,58.2,64.8,,,152.0,,17.6,49.2,,,58.0,69.9,,53.0,86.0,,,,,,,,,82.3,36.0,,,28.0,-3.0,,,,,22.2,28.8,,,116.0,,-18.4,13.2,,,22.0,33.9,,17.0,50.0,,,,,,,,,46.3,,,True,True,,,,,True,True,,,False,,True,True,,,True,True,,True,False,,,,,,,,,False
08057,15,16.0,,,11.0,0.0,,,,,7.3,12.4,,,12.0,,101.7,7.3,,,12.0,3.7,,10.0,12.7,,,,,,,,,34.0,1.0,,,-4.0,-15.0,,,,,-7.7,-2.6,,,-3.0,,86.7,-7.7,,,-3.0,-11.3,,-5.0,-2.3,,,,,,,,,19.0,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,,,,,,,,,False
08059,5474,7032.0,,8754.4,5495.0,3676.0,,,,,4496.3,4478.2,,3945.3,8851.0,,2120.8,6597.9,8201.5,,5123.0,6155.7,,4689.0,,,,,,5672.7,3152.0,,,6191.6,1558.0,,3280.4,21.0,-1798.0,,,,,-977.7,-995.8,,-1528.7,3377.0,,-3353.2,1123.9,2727.5,,-351.0,681.7,,-785.0,,,,,,198.7,-2322.0,,,717.6,,False,True,False,,,,,True,True,,True,False,,False,True,False,,True,True,,True,,,,,,True,False,,,True
08061,19,40.0,,,33.0,6.0,,,,,23.3,47.9,,,19.0,,50.2,40.9,,,47.0,47.7,,25.0,31.4,,,,,,,,,73.7,21.0,,,14.0,-13.0,,,,,4.3,28.9,,,0.0,,31.2,21.9,,,28.0,28.7,,6.0,12.4,,,,,,,,,54.7,,,True,True,,,,,True,False,,,True,,False,False,,,False,False,,True,True,,,,,,,,,False
08063,59,108.0,,,115.0,0.0,,,,,100.1,126.3,,,152.0,,146.7,83.2,,,142.0,108.3,,74.0,153.2,,,,,,,,,121.9,49.0,,,56.0,-59.0,,,,,41.1,67.3,,,93.0,,87.7,24.2,,,83.0,49.3,,15.0,94.2,,,,,,,,,62.9,,,False,False,,,,,True,False,,,False,,False,True,,,False,False,,True,False,,,,,,,,,False
08065,90,140.0,,,104.0,122.0,,,,,82.2,148.6,,,134.0,,39.9,99.8,,,75.0,112.2,,87.0,108.1,,,,,,,,,150.9,50.0,,,14.0,32.0,,,,,-7.8,58.6,,,44.0,,-50.1,9.8,,,-15.0,22.2,,-3.0,18.1,,,,,,,,,60.9,,,True,True,,,,,True,False,,,True,,False,True,,,True,True,,True,True,,,,,,,,,False
08067,539,696.0,,,493.0,285.0,,,,,437.2,904.6,,,651.0,,227.1,632.1,1073.5,,454.0,647.5,,418.0,515.6,,,,,,,,,733.2,157.0,,,-46.0,-254.0,,,,,-101.8,365.6,,,112.0,,-311.9,93.1,534.5,,-85.0,108.5,,-121.0,-23.4,,,,,,,,,194.2,,,True,False,,,,,True,False,,,True,,False,True,False,,True,True,,True,True,,,,,,,,,False
08069,2887,3920.0,,,2963.0,2026.0,,,,,2415.2,2466.0,,2589.3,5264.0,,1634.5,3584.8,4455.5,,2722.5,3179.4,,2534.0,4951.1,,,,,4112.9,2211.0,,,4308.6,1033.0,,,76.0,-861.0,,,,,-471.8,-421.0,,-297.7,2377.0,,-1252.5,697.8,1568.5,,-164.5,292.4,,-353.0,2064.1,,,,,1225.9,-676.0,,,1421.6,,,True,True,,,,,True,True,,True,False,,False,True,False,,True,True,,True,False,,,,,False,True,,,False
08071,458,152.0,,,142.0,0.0,,,,,127.2,139.9,,,358.0,,175.5,145.5,,,67.0,149.1,,109.0,168.8,,,,,,,,,213.0,-306.0,,,-316.0,-458.0,,,,,-330.8,-318.1,,,-100.0,,-282.5,-312.5,,,-391.0,-308.9,,-349.0,-289.2,,,,,,,,,-245.0,,,False,False,,,,,False,False,,,True,,True,False,,,False,False,,False,True,,,,,,,,,True
08073,96,268.0,,,135.0,6.0,,,,,158.4,75.0,,,104.0,,37.5,122.1,,,253.0,153.6,,146.0,187.6,,,,,,,,,227.8,172.0,,,39.0,-90.0,,,,,62.4,-21.0,,,8.0,,-58.5,26.1,,,157.0,57.6,,50.0,91.6,,,,,,,,,131.8,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,,,,,True
08075,457,1160.0,,,681.0,521.0,,,,,577.9,318.7,,,528.0,,274.9,639.5,,,766.0,695.5,,776.0,871.8,,,,,1115.6,,,,1786.4,703.0,,,224.0,64.0,,,,,120.9,-138.3,,,71.0,,-182.1,182.5,,,309.0,238.5,,319.0,414.8,,,,,658.6,,,,1329.4,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,True,,,,False
08077,2592,2948.0,,,2187.0,2000.0,,,,,1520.4,1295.1,,,4429.0,,1066.1,1625.3,2780.5,,1997.0,2311.9,,2208.0,2665.9,,,,,3029.8,1706.0,,,4106.3,356.0,,,-405.0,-592.0,,,,,-1071.6,-1296.9,,,1837.0,,-1525.9,-966.7,188.5,,-595.0,-280.1,,-384.0,73.9,,,,,437.8,-886.0,,,1514.3,,,False,False,,,,,False,False,,,False,,False,False,True,,False,True,,False,True,,,,,False,False,,,False
08079,15,4.0,,,5.0,0.0,,,,,8.1,1.5,,,8.0,,2.1,5.1,,,8.0,0.5,,6.0,9.7,,,,,,,,,5.0,-11.0,,,-10.0,-15.0,,,,,-6.9,-13.5,,,-7.0,,-12.9,-9.9,,,-7.0,-14.5,,-9.0,-5.3,,,,,,,,,-10.0,,,True,False,,,,,True,False,,,True,,False,True,,,True,False,,True,True,,,,,,,,,True
08081,95,244.0,,,185.0,47.0,,,,,116.3,213.7,,,336.0,,271.5,133.5,,,147.0,193.4,,188.0,196.7,,,,,,,,,276.6,149.0,,,90.0,-48.0,,,,,21.3,118.7,,,241.0,,176.5,38.5,,,52.0,98.4,,93.0,101.7,,,,,,,,,181.6,,,True,True,,,,,True,True,,,False,,False,True,,,True,True,,True,True,,,,,,,,,False
08083,362,564.0,,,374.0,422.0,,,,,256.8,504.2,,,323.0,,314.4,353.7,,,370.0,457.9,,353.0,497.5,,,,,,,,,679.2,202.0,,,12.0,60.0,,,,,-105.2,142.2,,,-39.0,,-47.6,-8.3,,,8.0,95.9,,-9.0,135.5,,,,,,,,,317.2,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,,,,,False
08085,852,880.0,,,717.0,631.0,,,,,534.7,597.0,,,883.0,,810.9,640.0,1320.5,,723.0,704.8,,665.0,668.0,,,,,,,,,1038.9,28.0,,,-135.0,-221.0,,,,,-317.3,-255.0,,,31.0,,-41.1,-212.0,468.5,,-129.0,-147.2,,-187.0,-184.0,,,,,,,,,186.9,,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,False,,,,,,,,,False
08087,308,416.0,,,420.0,504.0,,,,,383.6,328.7,,,684.0,,143.5,533.6,,,343.0,429.8,,389.0,519.6,,,,,,,,,463.8,108.0,,,112.0,196.0,,,,,75.6,20.7,,,376.0,,-164.5,225.6,,,35.0,121.8,,81.0,211.6,,,,,,,,,155.8,,,False,False,,,,,True,True,,,False,,False,False,,,True,False,,True,False,,,,,,,,,False
08089,286,768.0,,,490.0,704.0,,,,,431.7,263.4,,,417.0,,492.0,361.8,,,445.0,550.7,,464.0,434.4,,,,,,,,,1534.9,482.0,,,204.0,418.0,,,,,145.7,-22.6,,,131.0,,206.0,75.8,,,159.0,264.7,,178.0,148.4,,,,,,,,,1248.9,,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,,,,,,,,,False
08091,39,36.0,,,35.0,0.0,,,,,31.3,30.5,,,26.0,,7.1,23.8,,,44.0,46.9,,43.0,53.2,,,,,,,,,28.9,-3.0,,,-4.0,-39.0,,,,,-7.7,-8.5,,,-13.0,,-31.9,-15.2,,,5.0,7.9,,4.0,14.2,,,,,,,,,-10.1,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,False,,,,,,,,,False
08093,116,140.0,,,119.0,130.0,,,,,77.5,99.6,,,194.0,,51.4,140.0,,,99.0,140.5,,110.0,139.0,,,,,,,,,137.2,24.0,,,3.0,14.0,,,,,-38.5,-16.4,,,78.0,,-64.6,24.0,,,-17.0,24.5,,-6.0,23.0,,,,,,,,,21.2,,,True,True,,,,,False,True,,,False,,False,False,,,True,False,,True,True,,,,,,,,,True
08095,95,52.0,,,33.0,0.0,,,,,39.6,26.8,,,84.0,,8.6,29.6,,,25.0,31.6,,34.0,60.3,,,,,,,,,56.1,-43.0,,,-62.0,-95.0,,,,,-55.4,-68.2,,,-11.0,,-86.4,-65.4,,,-70.0,-63.4,,-61.0,-34.7,,,,,,,,,-38.9,,,False,False,,,,,False,False,,,True,,False,False,,,False,False,,False,True,,,,,,,,,True
08097,834,600.0,,,407.0,522.0,,,,,253.2,603.2,,,214.0,,418.1,291.8,,,726.0,523.1,,362.0,347.1,,,,,,,,,653.4,-234.0,,,-427.0,-312.0,,,,,-580.8,-230.8,,,-620.0,,-415.9,-542.2,,,-108.0,-310.9,,-472.0,-486.9,,,,,,,,,-180.6,,,False,False,,,,,False,True,,,False,,False,False,,,True,False,,False,False,,,,,,,,,True
08099,151,252.0,,,221.0,253.0,,,,,172.8,219.0,,,237.0,,110.9,169.2,,,145.5,215.2,,216.0,275.1,,,,,,,,,365.4,101.0,,,70.0,102.0,,,,,21.8,68.0,,,86.0,,-40.1,18.2,,,-5.5,64.2,,65.0,124.1,,,,,,,,,214.4,,,True,False,,,,,True,True,,,True,,True,True,,,True,True,,True,False,,,,,,,,,False
08101,1755,3532.0,,,2233.0,1674.0,,,,,2006.7,1820.8,,2232.1,4258.0,,1593.3,2298.0,3868.0,,1365.0,2542.6,,2344.0,2401.2,,,,,2029.7,1558.0,,,4952.0,1777.0,,,478.0,-81.0,,,,,251.7,65.8,,477.1,2503.0,,-161.7,543.0,2113.0,,-390.0,787.6,,589.0,646.2,,,,,274.7,-197.0,,,3197.0,,,True,True,,,,,True,True,,True,False,,True,True,False,,True,True,,True,True,,,,,True,True,,,False
08103,76,160.0,,,96.0,0.0,,,,,70.7,115.1,,,107.0,,105.0,75.1,,,303.0,94.1,,86.0,95.1,,,,,,,,,122.6,84.0,,,20.0,-76.0,,,,,-5.3,39.1,,,31.0,,29.0,-0.9,,,227.0,18.1,,10.0,19.1,,,,,,,,,46.6,,,True,True,,,,,True,True,,,True,,True,True,,,False,True,,True,True,,,,,,,,,True
08105,188,244.0,,,133.0,194.0,,,,,90.7,283.7,,,200.0,,20.6,164.4,,,116.0,169.0,,141.0,86.4,,,,,,,,,221.7,56.0,,,-55.0,6.0,,,,,-97.3,95.7,,,12.0,,-167.4,-23.6,,,-72.0,-19.0,,-47.0,-101.6,,,,,,,,,33.7,,,True,True,,,,,False,False,,,True,,False,True,,,False,True,,True,False,,,,,,,,,True
08107,362,308.0,,,262.0,255.0,,,,,176.2,259.1,,,468.0,,247.1,223.9,,,151.0,270.0,,215.0,369.6,,,,,,,,,325.3,-54.0,,,-100.0,-107.0,,,,,-185.8,-102.9,,,106.0,,-114.9,-138.1,,,-211.0,-92.0,,-147.0,7.6,,,,,,,,,-36.7,,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,False,True,,,,,,,,,True
08109,38,36.0,,,27.0,0.0,,,,,42.6,37.5,,,70.0,,7.3,52.6,,,1.0,31.9,,36.0,28.6,,,,,,,,,25.4,-2.0,,,-11.0,-38.0,,,,,4.6,-0.5,,,32.0,,-30.7,14.6,,,-37.0,-6.1,,-2.0,-9.4,,,,,,,,,-12.6,,,False,False,,,,,False,True,,,False,,False,False,,,False,False,,False,False,,,,,,,,,False
08111,13,8.0,,,8.0,0.0,,,,,5.7,29.1,,,10.0,,2.5,4.2,,,12.0,8.5,,8.0,16.1,,,,,,,,,19.5,-5.0,,,-5.0,-13.0,,,,,-7.3,16.1,,,-3.0,,-10.5,-8.8,,,-1.0,-4.5,,-5.0,3.1,,,,,,,,,6.5,,,False,False,,,,,False,False,,,True,,False,False,,,True,True,,False,True,,,,,,,,,False
08113,97,332.0,,,148.0,331.0,,,,,111.1,521.5,,,65.0,,50.5,121.2,,,368.0,240.1,,159.0,86.8,,,,,,,,,331.2,235.0,,,51.0,234.0,,,,,14.1,424.5,,,-32.0,,-46.5,24.2,,,271.0,143.1,,62.0,-10.2,,,,,,,,,234.2,,,True,True,,,,,True,False,,,True,,True,True,,,False,True,,True,True,,,,,,,,,True
08115,58,12.0,,,13.0,0.0,,,,,18.1,14.1,,,51.0,,0.8,8.1,,,3.0,14.6,,19.0,25.5,,,,,,,,,10.2,-46.0,,,-45.0,-58.0,,,,,-39.9,-43.9,,,-7.0,,-57.2,-49.9,,,-55.0,-43.4,,-39.0,-32.5,,,,,,,,,-47.8,,,True,False,,,,,True,True,,,True,,False,False,,,False,True,,True,True,,,,,,,,,False
08117,450,492.0,,,348.0,262.0,,,,,329.9,441.7,,,422.0,,132.6,424.9,545.5,,324.0,371.6,,290.0,366.9,,,,,,,,,541.8,42.0,,,-102.0,-188.0,,,,,-120.1,-8.3,,,-28.0,,-317.4,-25.1,95.5,,-126.0,-78.4,,-160.0,-83.1,,,,,,,,,91.8,,,False,False,,,,,False,True,,,True,,False,True,False,,False,False,,False,False,,,,,,,,,False
