,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
New Hampshire,16474,12972.0,20539.6,13780.8,13642.0,8832.0,,15259.0,17258.0,12525.5,20165.7,,12157.6,15460.0,21240.3,14099.3,13844.0,14426.7,17823.5,10084.7,16270.0,11753.7,17315.0,13774.0,12511.0,,7789.6,39946.7,,13464.3,26695.5,10390.5,17264.0,11070.1,-3502.0,4065.6,-2693.2,-2832.0,-7642.0,,-1215.0,784.0,-3948.5,3691.7,,-4316.4,-1014.0,4766.3,-2374.7,-2630.0,-2047.3,1349.5,-6389.3,-204.0,-4720.3,841.0,-2700.0,-3963.0,,-8684.4,23472.7,,-3009.7,10221.5,-6083.5,790.0,-5403.9,False,True,True,False,,True,True,False,False,,False,True,False,True,True,True,True,False,True,False,True,True,False,,False,False,,True,False,False,True,False
New Jersey,115365,94452.0,90271.1,93741.6,91305.0,85162.0,,91051.6,118722.0,80547.0,78467.9,,79309.3,93542.0,112505.2,60663.5,90190.0,101791.2,96660.0,96865.7,81115.0,70101.3,87785.5,92150.0,88974.0,,71164.3,194077.7,,85851.9,135312.1,82180.6,92581.0,72211.6,-20913.0,-25093.9,-21623.4,-24060.0,-30203.0,,-24313.4,3357.0,-34818.0,-36897.1,,-36055.7,-21823.0,-2859.8,-54701.5,-25175.0,-13573.8,-18705.0,-18499.3,-34250.0,-45263.7,-27579.5,-23215.0,-26391.0,,-44200.7,78712.7,,-29513.1,19947.1,-33184.4,-22784.0,-43153.4,False,False,False,False,,False,True,False,False,,False,False,True,False,False,True,True,True,False,False,False,False,False,,False,False,,False,True,False,False,False
New Mexico,25667,24888.0,26245.6,24631.9,22032.0,14689.0,,23509.7,17394.0,24872.1,23129.2,,18893.2,29781.0,31731.5,13411.8,24869.0,16306.1,10578.5,22147.7,19875.0,17884.4,21538.8,25609.0,17716.0,,18886.5,13419.5,,15259.1,31434.6,24157.1,23400.0,24767.4,-779.0,578.6,-1035.1,-3635.0,-10978.0,,-2157.3,-8273.0,-794.9,-2537.8,,-6773.8,4114.0,6064.5,-12255.2,-798.0,-9360.9,-15088.5,-3519.3,-5792.0,-7782.6,-4128.2,-58.0,-7951.0,,-6780.5,-12247.5,,-10407.9,5767.6,-1509.9,-2267.0,-899.6,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False
New York,304853,229311.0,330406.6,228266.7,229037.0,236378.0,,233606.8,382062.0,251300.0,204493.3,,242126.2,214126.0,281209.7,212832.9,202200.0,274997.0,177088.0,237599.9,211818.5,189452.0,208695.9,280534.0,247737.0,,208210.6,347435.8,,233207.2,333126.1,214530.8,223405.0,183191.9,-75542.0,25553.6,-76586.3,-75816.0,-68475.0,,-71246.2,77209.0,-53553.0,-100359.7,,-62726.8,-90727.0,-23643.3,-92020.1,-102653.0,-29856.0,-127765.0,-67253.1,-93034.5,-115401.0,-96157.1,-24319.0,-57116.0,,-96642.4,42582.8,,-71645.8,28273.1,-90322.2,-81448.0,-121661.1,True,False,False,True,,True,False,True,False,,True,False,True,False,False,True,False,True,False,False,False,True,True,,False,True,,True,True,False,False,False
North Carolina,153896,124986.0,170591.7,124235.0,124248.0,109802.0,,124916.4,165750.0,138982.0,196471.7,,131248.7,140585.0,153227.6,114835.5,106393.0,101425.6,93757.5,199013.4,136902.0,93446.4,144352.5,138665.0,137314.0,,97784.9,95636.2,,119201.5,200727.9,118549.8,102190.0,123048.9,-28910.0,16695.7,-29661.0,-29648.0,-44094.0,,-28979.6,11854.0,-14914.0,42575.7,,-22647.3,-13311.0,-668.4,-39060.5,-47503.0,-52470.4,-60138.5,45117.4,-16994.0,-60449.6,-9543.5,-15231.0,-16582.0,,-56111.1,-58259.8,,-34694.5,46831.9,-35346.2,-51706.0,-30847.1,True,False,False,False,,False,True,True,False,,True,True,True,False,False,False,False,False,True,False,True,True,True,,False,False,,False,False,False,False,False
North Dakota,4360,4710.0,1853.6,5300.4,3917.0,1640.0,,4571.4,1924.0,5472.0,4037.2,,2088.5,7718.0,5104.6,1905.3,2621.0,5660.9,1266.0,3972.0,1682.5,3679.6,5765.9,3684.0,8777.0,,1929.4,3858.4,,8598.6,7506.6,3994.4,4479.0,1961.1,350.0,-2506.4,940.4,-443.0,-2720.0,,211.4,-2436.0,1112.0,-322.8,,-2271.5,3358.0,744.6,-2454.7,-1739.0,1300.9,-3094.0,-388.0,-2677.5,-680.4,1405.9,-676.0,4417.0,,-2430.6,-501.6,,4238.6,3146.6,-365.6,119.0,-2398.9,False,False,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False
Ohio,156839,150717.0,169875.3,152411.1,149838.0,110955.0,,161242.7,276187.0,199154.6,143155.7,,122909.5,184208.0,242037.4,103508.3,130877.0,101651.4,76778.5,162153.7,130186.0,128981.5,164070.3,169571.0,134357.0,,85192.9,191257.3,,144481.4,274784.7,155133.8,184525.0,116306.5,-6122.0,13036.3,-4427.9,-7001.0,-45884.0,,4403.7,119348.0,42315.6,-13683.3,,-33929.5,27369.0,85198.4,-53330.7,-25962.0,-55187.6,-80060.5,5314.7,-26653.0,-27857.5,7231.3,12732.0,-22482.0,,-71646.1,34418.3,,-12357.6,117945.7,-1705.2,27686.0,-40532.5,False,True,False,False,,True,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,True,False,False
Oklahoma,75157,61920.0,84165.4,60595.7,61839.0,46533.0,,65728.8,98063.0,110788.3,53937.5,,59815.5,75081.0,84636.4,53674.6,63545.0,39518.3,41549.0,64222.0,73451.5,46528.6,62474.3,70155.0,57890.0,,54082.2,42342.9,,53760.8,95908.0,56214.2,74551.0,53178.9,-13237.0,9008.4,-14561.3,-13318.0,-28624.0,,-9428.2,22906.0,35631.3,-21219.5,,-15341.5,-76.0,9479.4,-21482.4,-11612.0,-35638.7,-33608.0,-10935.0,-1705.5,-28628.4,-12682.7,-5002.0,-17267.0,,-21074.8,-32814.1,,-21396.2,20751.0,-18942.8,-606.0,-21978.1,True,False,False,False,,True,False,False,False,,False,True,True,False,True,False,False,True,True,False,True,True,False,,False,False,,False,False,False,True,False
Oregon,24086,19536.0,21347.1,18934.8,19303.0,12788.0,,21689.2,39924.0,33552.5,29296.7,,17469.7,24318.0,26255.9,14467.5,17732.0,23502.8,13441.5,18693.8,19250.0,19532.4,23057.8,25056.0,19697.0,,14440.4,41890.5,,18627.4,41789.4,18446.9,26162.0,17455.2,-4550.0,-2738.9,-5151.2,-4783.0,-11298.0,,-2396.8,15838.0,9466.5,5210.7,,-6616.3,232.0,2169.9,-9618.5,-6354.0,-583.2,-10644.5,-5392.2,-4836.0,-4553.6,-1028.2,970.0,-4389.0,,-9645.6,17804.5,,-5458.6,17703.4,-5639.1,2076.0,-6630.8,True,False,False,False,,True,False,False,False,,False,True,True,False,False,True,False,False,False,False,True,True,True,,False,False,,False,False,False,True,False
Pennsylvania,156722,167616.0,191424.7,158822.2,156618.0,124132.0,,178725.1,375905.0,233995.1,160408.8,,124169.1,185439.0,236261.7,143361.7,147607.0,136434.7,172202.5,156631.0,159954.0,126752.5,154357.2,192044.0,133737.0,,125393.5,259677.4,,144531.9,308769.4,122352.1,177862.0,170294.9,10894.0,34702.7,2100.2,-104.0,-32590.0,,22003.1,219183.0,77273.1,3686.8,,-32552.9,28717.0,79539.7,-13360.3,-9115.0,-20287.3,15480.5,-91.0,3232.0,-29969.5,-2364.8,35322.0,-22985.0,,-31328.5,102955.4,,-12190.1,152047.4,-34369.9,21140.0,13572.9,False,True,True,False,,False,False,False,True,,False,False,False,False,True,False,False,True,True,False,True,False,False,,False,False,,False,False,False,False,False
Rhode Island,22377,12762.0,13324.8,12203.5,11571.0,12266.0,,14518.2,11430.0,1571910.4,14183.2,,13806.0,15395.0,17192.8,9726.6,11643.0,12806.4,5947.0,9654.2,11679.0,7579.4,16324.5,13676.0,9727.0,,10683.6,19788.2,,10237.1,32051.5,10516.9,9819.0,8456.0,-9615.0,-9052.2,-10173.5,-10806.0,-10111.0,,-7858.8,-10947.0,1549533.4,-8193.8,,-8571.0,-6982.0,-5184.2,-12650.4,-10734.0,-9570.6,-16430.0,-12722.8,-10698.0,-14797.6,-6052.5,-8701.0,-12650.0,,-11693.4,-2588.8,,-12139.9,9674.5,-11860.1,-12558.0,-13921.0,True,False,False,False,,True,False,False,True,,True,True,True,False,False,True,False,False,False,False,True,True,False,,False,True,,False,False,False,False,False
South Carolina,93530,55065.0,90830.5,54459.6,65234.0,41605.0,,70250.2,66863.0,136622.4,66547.4,,100194.9,65807.0,82602.1,64966.3,57250.0,43977.7,58961.0,110716.3,81158.5,72033.8,85323.9,68649.0,73659.0,,52006.1,76312.1,,58273.0,101171.5,43816.3,60014.0,53389.9,-38465.0,-2699.5,-39070.4,-28296.0,-51925.0,,-23279.8,-26667.0,43092.4,-26982.6,,6664.9,-27723.0,-10927.9,-28563.7,-36280.0,-49552.3,-34569.0,17186.3,-12371.5,-21496.2,-8206.1,-24881.0,-19871.0,,-41523.9,-17217.9,,-35257.0,7641.5,-49713.7,-33516.0,-40140.1,True,False,True,False,,True,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,,True,True,False,True,False
South Dakota,8315,7881.0,6573.4,7912.1,6964.0,4001.0,,8417.9,4912.0,10418.1,8418.2,,5415.4,10324.0,9431.1,3813.5,5767.0,6213.3,3123.5,7270.8,5471.0,6360.1,9017.1,7231.0,10493.0,,5496.6,3022.5,,12288.6,8604.4,9999.1,8613.0,6412.1,-434.0,-1741.6,-402.9,-1351.0,-4314.0,,102.9,-3403.0,2103.1,103.2,,-2899.6,2009.0,1116.1,-4501.5,-2548.0,-2101.7,-5191.5,-1044.2,-2844.0,-1954.9,702.1,-1084.0,2178.0,,-2818.4,-5292.5,,3973.6,289.4,1684.1,298.0,-1902.9,False,True,False,False,,True,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,True,False
Tennessee,119955,171723.0,216454.6,166267.2,166642.0,112222.0,,179360.6,204643.0,171902.3,184936.9,,145046.6,174620.0,248505.2,207601.6,153167.0,87166.1,126278.5,294609.5,248582.0,114588.5,147879.8,179413.0,136949.0,,109388.1,127695.2,,149857.4,279612.7,161155.7,169772.0,178432.3,51768.0,96499.6,46312.2,46687.0,-7733.0,,59405.6,84688.0,51947.3,64981.9,,25091.6,54665.0,128550.2,87646.6,33212.0,-32788.9,6323.5,174654.5,128627.0,-5366.5,27924.8,59458.0,16994.0,,-10566.9,7740.2,,29902.4,159657.7,41200.7,49817.0,58477.3,False,True,True,True,,False,False,False,False,,True,False,False,False,True,True,True,False,False,True,True,False,True,,True,True,,True,False,True,True,False
Texas,442307,251793.0,402269.2,267156.3,297196.0,273311.0,,306055.4,287888.0,647637.8,238075.4,,485138.9,378188.0,387093.3,307063.3,307887.0,278132.8,174898.5,387303.8,338992.5,277464.9,298227.0,321769.0,323297.0,,175572.6,351516.8,,220644.1,458663.8,250654.5,257126.0,179443.6,-190514.0,-40037.8,-175150.7,-145111.0,-168996.0,,-136251.6,-154419.0,205330.8,-204231.6,,42831.9,-64119.0,-55213.7,-135243.7,-134420.0,-164174.2,-267408.5,-55003.2,-103314.5,-164842.1,-144080.0,-120538.0,-119010.0,,-266734.4,-90790.2,,-221662.9,16356.8,-191652.5,-185181.0,-262863.4,True,True,True,True,,True,True,False,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,False,True,False,True,False
Utah,58174,45324.0,50925.1,45066.5,43706.0,30146.0,,48858.4,70847.0,54117.7,43085.8,,33870.5,55099.0,55950.2,24588.7,42759.0,24098.6,20060.5,43824.9,37386.0,31774.4,40114.0,43946.0,47091.0,,,40260.4,,36257.5,68285.0,45866.2,47709.0,32307.9,-12850.0,-7248.9,-13107.5,-14468.0,-28028.0,,-9315.6,12673.0,-4056.3,-15088.2,,-24303.5,-3075.0,-2223.8,-33585.3,-15415.0,-34075.4,-38113.5,-14349.1,-20788.0,-26399.6,-18060.0,-14228.0,-11083.0,,,-17913.6,,-21916.5,10111.0,-12307.8,-10465.0,-25866.1,True,False,False,False,,True,True,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,True,,,False,,False,True,True,True,False
Vermont,2949,1869.0,1603.0,1974.9,1930.0,1297.0,,1811.2,4355.0,1571.4,4112.9,,1656.1,2181.0,2289.2,1603.3,2006.0,3416.2,2291.5,6350.5,1946.0,1404.1,2393.5,2839.0,3191.0,,1391.1,2865.5,,2256.7,3473.2,1596.6,2094.0,1333.6,-1080.0,-1346.0,-974.1,-1019.0,-1652.0,,-1137.8,1406.0,-1377.6,1163.9,,-1292.9,-768.0,-659.8,-1345.7,-943.0,467.2,-657.5,3401.5,-1003.0,-1544.9,-555.5,-110.0,242.0,,-1557.9,-83.5,,-692.3,524.2,-1352.4,-855.0,-1615.4,False,True,True,False,,False,False,False,False,,False,True,True,False,True,True,True,False,True,False,True,True,True,,False,True,,True,True,False,True,False
Virginia,99814,79815.0,113240.8,77663.5,81548.0,82518.0,,83314.0,80820.0,101244.0,63240.2,,82108.9,89093.0,99130.5,80278.2,81886.0,76261.1,90236.5,110220.8,84817.0,73810.1,89756.2,93937.0,88986.0,,74939.4,46423.6,,64296.8,115930.5,80567.8,72776.0,64766.6,-19999.0,13426.8,-22150.5,-18266.0,-17296.0,,-16500.0,-18994.0,1430.0,-36573.8,,-17705.1,-10721.0,-683.5,-19535.8,-17928.0,-23552.9,-9577.5,10406.8,-14997.0,-26003.9,-10057.8,-5877.0,-10828.0,,-24874.6,-53390.4,,-35517.2,16116.5,-19246.2,-27038.0,-35047.4,True,False,True,True,,True,True,True,False,,True,True,True,True,True,False,True,True,True,False,True,True,True,,False,False,,False,True,True,False,False
Washington,49251,42357.0,50858.2,40104.3,41374.0,51285.0,,39097.2,45296.0,44386.4,46975.1,,37432.2,47126.0,65473.8,24053.5,40121.0,39566.4,16399.0,39768.2,46928.5,25660.6,46298.5,48939.0,44370.0,,28044.7,90010.7,,41571.2,71855.3,42091.4,45748.0,41384.2,-6894.0,1607.2,-9146.7,-7877.0,2034.0,,-10153.8,-3955.0,-4864.6,-2275.9,,-11818.8,-2125.0,16222.8,-25197.5,-9130.0,-9684.6,-32852.0,-9482.8,-2322.5,-23590.4,-2952.5,-312.0,-4881.0,,-21206.3,40759.7,,-7679.8,22604.3,-7159.6,-3503.0,-7866.8,True,False,False,True,,False,True,True,True,,False,True,False,False,False,False,False,False,True,False,True,True,True,,False,False,,False,False,False,True,False
West Virginia,27947,26886.0,34374.3,27278.4,26425.0,22297.0,,28373.0,40603.0,39967.2,25939.1,,26633.4,26137.0,36482.6,23397.6,26691.0,19448.9,29212.5,26337.7,26096.0,21522.3,25720.7,34192.0,24504.0,,21215.6,26563.1,,23329.3,40625.3,31893.0,27126.0,21621.8,-1061.0,6427.3,-668.6,-1522.0,-5650.0,,426.0,12656.0,12020.2,-2007.9,,-1313.6,-1810.0,8535.6,-4549.4,-1256.0,-8498.1,1265.5,-1609.3,-1851.0,-6424.7,-2226.3,6245.0,-3443.0,,-6731.4,-1383.9,,-4617.7,12678.3,3946.0,-821.0,-6325.2,False,True,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,False
Wisconsin,60253,46029.0,70368.4,48357.0,43796.0,27193.0,,50756.9,24398.0,70481.8,34110.3,,36547.3,66981.0,73656.7,28911.8,45272.0,37570.8,22218.5,46461.0,39005.5,38017.1,49054.5,46445.0,59675.0,,29337.6,27558.2,,44964.7,76959.8,17508.8,44767.0,43536.1,-14224.0,10115.4,-11896.0,-16457.0,-33060.0,,-9496.1,-35855.0,10228.8,-26142.7,,-23705.7,6728.0,13403.7,-31341.2,-14981.0,-22682.2,-38034.5,-13792.0,-21247.5,-22235.9,-11198.5,-13808.0,-578.0,,-30915.4,-32694.8,,-15288.3,16706.8,-42744.2,-15486.0,-16716.9,True,True,False,False,,True,False,True,False,,False,True,True,False,False,False,False,True,False,False,True,True,True,,False,False,,False,False,False,False,False
Wyoming,5922,4974.0,3076.1,4948.3,4053.0,2468.0,,5186.0,3836.0,4072.9,7703.5,,2873.3,6628.0,6387.9,3166.2,3775.0,3476.1,1518.5,3255.6,2879.5,2761.3,6055.0,5757.0,5842.0,,2440.3,5966.0,,5019.0,8752.2,7709.6,4475.0,3384.9,-948.0,-2845.9,-973.7,-1869.0,-3454.0,,-736.0,-2086.0,-1849.1,1781.5,,-3048.7,706.0,465.9,-2755.8,-2147.0,-2445.9,-4403.5,-2666.4,-3042.5,-3160.7,133.0,-165.0,-80.0,,-3481.7,44.0,,-903.0,2830.2,1787.6,-1447.0,-2537.1,False,False,False,False,,True,False,False,False,,False,True,True,False,False,False,False,False,False,False,True,True,True,,False,True,,True,False,False,False,False
US,4736601,3981129.0,4965351.9,3955841.1,4112801.0,3387284.0,4369393.0,4026641.7,4832409.0,28375644.2,,3762013.0,4295136.6,4206336.0,5535322.3,4070683.1,3756897.0,3328391.6,,6166788.0,4000597.5,3580020.3,4021667.6,4626858.0,4475413.0,4457678.0,3583644.6,4464233.1,4200765.0,3515961.6,,3020659.5,4249420.0,4040937.9,-755472.0,228750.9,-780759.9,-623800.0,-1349317.0,-367208.0,-709959.3,95808.0,23639043.2,,-974588.0,-441464.4,-530265.0,798721.3,-665917.9,-979704.0,-1408209.4,,1430187.0,-736003.5,-1156580.7,-714933.4,-109743.0,-261188.0,-278923.0,-1152956.4,-272367.9,-535836.0,-1220639.4,,-1715941.5,-487181.0,-695663.1,True,False,True,False,True,True,True,False,,False,True,True,False,True,False,False,,False,True,False,True,True,True,True,False,True,True,False,,False,True,True
