,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nebraska,5290,7358.0,8412.9,7359.4,6839.0,6606.0,,6652.6,1706.0,6108.7,8095.9,6748.9,,6691.8,7782.0,6657.1,7463.0,4937.4,6276.0,4545.2,4862.5,7195.6,5786.1,7207.1,7149.0,7951.0,,6877.4,,6380.2,,8235.1,5249.6,8964.9,7328.5,6801.0,7529.8,,2068.0,3122.9,2069.4,1549.0,1316.0,,1362.6,-3584.0,818.7,2805.9,1458.9,,1401.8,2492.0,1367.1,2173.0,-352.6,986.0,-744.8,-427.5,1905.6,496.1,1917.1,1859.0,2661.0,,1587.4,,1090.2,,2945.1,-40.4,3674.9,2038.5,1511.0,2239.8,,False,False,True,True,,True,False,True,False,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,,True,,True,,False,True,False,True,True,False,
Nevada,13781,17438.0,16393.6,17877.1,17060.0,22328.0,,15208.8,9754.0,19389.9,22470.5,16033.7,,17345.6,17282.0,13851.9,17779.0,7720.4,15525.0,13996.5,16084.0,17596.0,15481.3,16433.7,15659.0,17042.0,,17128.5,,11593.0,,18257.1,14267.4,16528.3,17598.7,15898.0,20991.0,,3657.0,2612.6,4096.1,3279.0,8547.0,,1427.8,-4027.0,5608.9,8689.5,2252.7,,3564.6,3501.0,70.9,3998.0,-6060.6,1744.0,215.5,2303.0,3815.0,1700.3,2652.7,1878.0,3261.0,,3347.5,,-2188.0,,4476.1,486.4,2747.3,3817.7,2117.0,7210.0,,True,False,True,False,,True,False,False,False,True,,True,True,True,False,False,True,True,True,False,True,True,True,True,,True,,True,,False,True,True,False,True,False,
New Hampshire,5074,5665.0,5679.5,5809.0,5564.0,7687.0,,5344.9,3724.0,6294.7,3202.1,5235.7,,5488.7,5502.0,8046.9,5860.0,4358.5,5530.5,4958.3,4560.5,4823.5,6748.0,5528.4,5777.0,5227.0,,5945.0,,9268.5,,5135.8,6802.3,5432.5,5372.2,5678.0,7398.2,,591.0,605.5,735.0,490.0,2613.0,,270.9,-1350.0,1220.7,-1871.9,161.7,,414.7,428.0,2972.9,786.0,-715.5,456.5,-115.7,-513.5,-250.5,1674.0,454.4,703.0,153.0,,871.0,,4194.5,,61.8,1728.3,358.5,298.2,604.0,2324.2,,False,False,True,False,,True,False,False,False,True,,True,True,False,False,False,True,True,True,True,False,True,False,True,,False,,False,,True,False,True,True,False,False,
New Jersey,42839,38048.0,37859.0,38059.2,37894.0,45356.0,,36788.3,23726.0,41606.3,38873.8,42823.3,,101473.5,37217.0,39080.1,35917.0,27410.7,36807.0,32709.6,37199.5,44368.5,39015.5,41574.4,33699.0,34195.0,,41452.8,,23791.3,,36958.3,39659.9,37837.0,41008.5,37741.0,43675.6,,-4791.0,-4980.0,-4779.8,-4945.0,2517.0,,-6050.7,-19113.0,-1232.7,-3965.2,-15.7,,58634.5,-5622.0,-3758.9,-6922.0,-15428.3,-6032.0,-10129.4,-5639.5,1529.5,-3823.5,-1264.6,-9140.0,-8644.0,,-1386.2,,-19047.7,,-5880.7,-3179.1,-5002.0,-1830.5,-5098.0,836.6,,False,True,False,True,,False,False,True,True,True,,False,False,True,False,False,False,False,False,True,True,True,False,False,,True,,False,,False,True,False,True,False,True,
New Mexico,7939,9575.0,10235.9,9443.7,9281.0,10119.0,,8627.0,2982.0,9328.6,10254.8,9831.6,,9503.6,9513.0,8992.8,9424.0,4351.2,8972.5,6733.2,9765.0,10610.9,6411.0,9739.7,9246.0,8751.0,,9229.4,,5556.7,,9330.3,6793.1,11366.4,10107.1,8988.0,9764.3,,1636.0,2296.9,1504.7,1342.0,2180.0,,688.0,-4957.0,1389.6,2315.8,1892.6,,1564.6,1574.0,1053.8,1485.0,-3587.8,1033.5,-1205.8,1826.0,2671.9,-1528.0,1800.7,1307.0,812.0,,1290.4,,-2382.3,,1391.3,-1145.9,3427.4,2168.1,1049.0,1825.3,,False,True,True,False,,True,False,True,False,False,,True,True,True,True,False,True,True,False,False,True,False,True,True,,True,,False,,True,True,False,False,True,False,
New York,109583,107619.0,88986.6,107312.4,112603.0,128648.0,,103800.3,90131.0,117386.2,118923.0,121000.9,,130336.3,106488.0,133966.1,,87162.2,96309.5,115202.5,122794.5,129356.1,94837.8,113138.7,117008.0,108345.0,,120015.0,,102787.0,,122729.4,105112.9,95121.2,128375.9,108434.0,143951.0,,-1964.0,-20596.4,-2270.6,3020.0,19065.0,,-5782.7,-19452.0,7803.2,9340.0,11417.9,,20753.3,-3095.0,24383.1,,-22420.8,-13273.5,5619.5,13211.5,19773.1,-14745.2,3555.7,7425.0,-1238.0,,10432.0,,-6796.0,,13146.4,-4470.1,-14461.8,18792.9,-1149.0,34368.0,,False,False,False,False,,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,True,,False,,False,,False,False,False,False,True,False,
North Carolina,53471,55918.0,54064.2,56950.2,59597.0,66602.0,,54780.6,45431.0,71387.3,57999.6,64754.1,,69426.9,62157.0,62610.7,60933.0,32487.0,49596.5,60513.0,66830.0,63549.5,46143.6,62142.0,61011.0,57405.0,,69588.6,,31454.9,,56071.8,55094.8,52359.2,58926.5,60952.0,81140.5,,2447.0,593.2,3479.2,6126.0,13131.0,,1309.6,-8040.0,17916.3,4528.6,11283.1,,15955.9,8686.0,9139.7,7462.0,-20984.0,-3874.5,7042.0,13359.0,10078.5,-7327.4,8671.0,7540.0,3934.0,,16117.6,,-22016.1,,2600.8,1623.8,-1111.8,5455.5,7481.0,27669.5,,True,False,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,True,True,False,False,False,
North Dakota,1156,1667.0,2494.5,1590.8,1432.0,1154.0,,1521.7,432.0,1441.0,1770.9,1467.0,,1436.4,2182.0,1165.4,1828.0,1536.4,1450.0,929.3,1165.0,1795.1,825.3,1749.2,1451.0,2404.0,,1406.8,,852.7,,1953.1,0.0,2619.7,1131.2,1428.0,1553.5,,511.0,1338.5,434.8,276.0,-2.0,,365.7,-724.0,285.0,614.9,311.0,,280.4,1026.0,9.4,672.0,380.4,294.0,-226.7,9.0,639.1,-330.7,593.2,295.0,1248.0,,250.8,,-303.3,,797.1,-1156.0,1463.7,-24.8,272.0,397.5,,False,True,True,True,,True,False,True,False,True,,True,False,True,False,True,True,True,True,False,True,False,True,False,,True,,True,,False,False,False,True,True,True,
Ohio,50530,56304.0,62633.2,58696.8,56517.0,61732.0,,51540.0,28053.0,68816.8,55411.8,56008.4,,55808.1,59756.0,51414.8,59290.0,28698.4,49509.0,47448.5,49951.0,57084.9,49672.0,55560.1,58158.0,53777.0,,56729.5,,33534.7,,57243.5,47488.1,55056.4,65096.5,56852.0,69524.5,,5774.0,12103.2,8166.8,5987.0,11202.0,,1010.0,-22477.0,18286.8,4881.8,5478.4,,5278.1,9226.0,884.8,8760.0,-21831.6,-1021.0,-3081.5,-579.0,6554.9,-858.0,5030.1,7628.0,3247.0,,6199.5,,-16995.3,,6713.5,-3041.9,4526.4,14566.5,6322.0,18994.5,,False,False,False,False,,True,False,False,True,True,,True,False,True,False,False,True,True,True,False,True,True,False,True,,False,,False,,False,True,True,False,False,False,
Oklahoma,26790,28820.0,25989.5,28889.1,28158.0,33631.0,,26141.3,17121.0,33248.5,24716.8,31247.2,,32621.3,25941.0,26941.5,30221.0,11108.8,24368.5,20192.4,26036.5,32766.0,25372.3,30239.0,26430.0,28439.0,,32172.1,,13937.4,,28468.7,25471.8,28956.0,28021.8,23346.0,30130.7,,2030.0,-800.5,2099.1,1368.0,6841.0,,-648.7,-9669.0,6458.5,-2073.2,4457.2,,5831.3,-849.0,151.5,3431.0,-15681.2,-2421.5,-6597.6,-753.5,5976.0,-1417.7,3449.0,-360.0,1649.0,,5382.1,,-12852.6,,1678.7,-1318.2,2166.0,1231.8,-3444.0,3340.7,,True,False,True,False,,True,False,False,False,False,,False,True,True,False,False,False,False,True,False,True,False,True,True,,False,,False,,True,True,False,True,False,False,
Oregon,7936,8128.0,8774.2,7624.2,8259.0,9199.0,,7693.9,4955.0,9922.0,6013.6,9150.0,,8646.8,8819.0,8884.1,8343.0,6409.7,7855.0,7050.9,6473.5,8671.3,6931.5,8519.9,9159.0,7266.0,,9026.1,,10230.1,,7913.1,8728.9,9528.6,8495.7,7692.0,8126.5,,192.0,838.2,-311.8,323.0,1263.0,,-242.1,-2981.0,1986.0,-1922.4,1214.0,,710.8,883.0,948.1,407.0,-1526.3,-81.0,-885.1,-1462.5,735.3,-1004.5,583.9,1223.0,-670.0,,1090.1,,2294.1,,-22.9,792.9,1592.6,559.7,-244.0,190.5,,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,,False,,True,False,False,False,False,True,
Pennsylvania,48212,56697.0,58736.3,57285.4,56343.0,64407.0,,51321.8,35197.0,73806.7,56481.1,57487.9,,53761.3,56294.0,47693.7,62018.0,34590.5,53849.5,47934.6,55388.0,62969.0,47793.5,56053.5,57499.0,51027.0,,57346.0,,76453.7,,59999.8,61316.5,52812.5,71537.6,56392.0,80829.3,,8485.0,10524.3,9073.4,8131.0,16195.0,,3109.8,-13015.0,25594.7,8269.1,9275.9,,5549.3,8082.0,-518.3,13806.0,-13621.5,5637.5,-277.4,7176.0,14757.0,-418.5,7841.5,9287.0,2815.0,,9134.0,,28241.7,,11787.8,13104.5,4600.5,23325.6,8180.0,32617.3,,False,False,True,False,,True,False,False,True,False,,True,True,True,False,False,True,True,True,False,True,True,False,True,,False,,False,,False,False,True,False,True,False,
Rhode Island,6829,9665.0,7658.0,9500.3,7627.0,8311.0,,7985.4,3400.0,12889.9,9420.8,6247.7,,8740.4,8001.0,7452.4,10750.0,3532.9,6311.5,6523.4,6489.0,7634.7,7639.2,9585.0,5311.0,9171.0,,7422.4,,5427.4,,8689.0,5873.7,6028.2,9367.9,4393.0,6990.8,,2836.0,829.0,2671.3,798.0,1482.0,,1156.4,-3429.0,6060.9,2591.8,-581.3,,1911.4,1172.0,623.4,3921.0,-3296.1,-517.5,-305.6,-340.0,805.7,810.2,2756.0,-1518.0,2342.0,,593.4,,-1401.6,,1860.0,-955.3,-800.8,2538.9,-2436.0,161.8,,True,True,True,True,,True,False,False,True,True,,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,
South Carolina,32338,37366.0,28800.5,37867.9,36352.0,47741.0,,32491.5,40790.0,39381.2,38081.7,30181.5,,38192.1,29931.0,34547.0,36781.0,14610.2,30096.0,41284.6,31285.5,33684.6,27028.5,36407.2,35334.0,39086.0,,38983.8,,30725.5,,36963.0,28469.1,37072.9,40720.6,33779.0,43376.1,,5028.0,-3537.5,5529.9,4014.0,15403.0,,153.5,8452.0,7043.2,5743.7,-2156.5,,5854.1,-2407.0,2209.0,4443.0,-17727.8,-2242.0,8946.6,-1052.5,1346.6,-5309.5,4069.2,2996.0,6748.0,,6645.8,,-1612.5,,4625.0,-3868.9,4734.9,8382.6,1441.0,11038.1,,True,False,True,False,,True,False,False,False,True,,False,True,True,True,False,True,False,True,True,False,True,True,False,,False,,True,,True,True,True,False,True,False,
South Dakota,2377,3072.0,3695.8,3162.9,2815.0,2314.0,,2777.3,2007.0,3227.0,1855.6,2999.0,,2567.5,2977.0,1958.8,3310.0,1801.4,2740.0,1895.4,2200.5,2932.7,1398.4,2894.2,2779.0,3583.0,,2493.0,,1930.8,,3232.4,1496.8,4491.8,3013.5,2665.0,3280.5,,695.0,1318.8,785.9,438.0,-63.0,,400.3,-370.0,850.0,-521.4,622.0,,190.5,600.0,-418.2,933.0,-575.6,363.0,-481.6,-176.5,555.7,-978.6,517.2,402.0,1206.0,,116.0,,-446.2,,855.4,-880.2,2114.8,636.5,288.0,903.5,,False,False,True,True,,True,True,False,True,True,,True,True,True,False,True,True,True,True,True,False,True,True,False,,True,,True,,False,False,False,True,True,False,
Tennessee,34397,42318.0,51441.4,42261.5,43875.0,42127.0,,45329.1,42766.0,52996.5,52688.1,41136.8,,42808.5,53128.0,34752.4,49110.0,25363.8,44148.0,50911.8,34200.5,45880.9,43823.6,44811.2,44961.0,42014.0,,44473.1,,47292.9,,39762.1,61088.2,38270.3,43495.1,38720.0,53870.9,,7921.0,17044.4,7864.5,9478.0,7730.0,,10932.1,8369.0,18599.5,18291.1,6739.8,,8411.5,18731.0,355.4,14713.0,-9033.2,9751.0,16514.8,-196.5,11483.9,9426.6,10414.2,10564.0,7617.0,,10076.1,,12895.9,,5365.1,26691.2,3873.3,9098.1,4323.0,19473.9,,False,True,False,True,,False,False,False,False,True,,False,False,True,False,False,False,False,True,False,False,False,False,True,,False,,False,,True,False,True,False,True,False,
Texas,160747,150734.0,135258.4,159313.2,148800.0,177829.0,,141352.6,108903.0,156307.8,183501.1,116582.6,,162008.4,146174.0,168454.6,190349.0,93875.1,120450.0,133085.1,125214.0,147701.8,132008.2,160152.3,149432.0,159580.0,,154817.0,,111616.8,,143960.1,141454.0,152841.2,150160.5,139705.0,164370.5,,-10013.0,-25488.6,-1433.8,-11947.0,17082.0,,-19394.4,-51844.0,-4439.2,22754.1,-44164.4,,1261.4,-14573.0,7707.6,29602.0,-66871.9,-40297.0,-27661.9,-35533.0,-13045.2,-28738.8,-594.7,-11315.0,-1167.0,,-5930.0,,-49130.2,,-16786.9,-19293.0,-7905.8,-10586.5,-21042.0,3623.5,,False,True,False,False,,False,False,True,False,False,,True,False,True,False,False,False,False,False,False,False,True,False,True,,True,,False,,False,False,True,False,False,True,
Utah,18529,22069.0,21162.2,22539.6,20881.0,15603.0,,20895.7,17856.0,22251.6,25127.2,21803.2,,24137.2,21466.0,18730.7,23391.0,7917.5,18844.0,15233.3,20357.5,22901.3,21108.6,20728.3,23232.0,21922.0,,25548.7,,10846.1,,20864.7,17407.1,15635.2,22069.5,20972.0,14736.2,,3540.0,2633.2,4010.6,2352.0,-2926.0,,2366.7,-673.0,3722.6,6598.2,3274.2,,5608.2,2937.0,201.7,4862.0,-10611.5,315.0,-3295.7,1828.5,4372.3,2579.6,2199.3,4703.0,3393.0,,7019.7,,-7682.9,,2335.7,-1121.9,-2893.8,3540.5,2443.0,-3792.8,,True,False,True,True,,True,True,False,False,True,,False,True,True,False,False,True,True,True,False,True,True,False,True,,False,,False,,True,True,True,False,True,False,
Vermont,1125,1101.0,762.8,1086.5,1166.0,1366.0,,953.6,680.0,1105.2,1526.3,1248.4,,1409.1,1232.0,1323.8,1188.0,1031.0,934.5,1524.8,1709.5,1259.9,1236.7,1370.3,1293.0,1189.0,,1277.5,,557.4,,1160.4,858.0,1329.8,950.4,1160.0,1063.6,,-24.0,-362.2,-38.5,41.0,241.0,,-171.4,-445.0,-19.8,401.3,123.4,,284.1,107.0,198.8,63.0,-94.0,-190.5,399.8,584.5,134.9,111.7,245.3,168.0,64.0,,152.5,,-567.6,,35.4,-267.0,204.8,-174.6,35.0,-61.4,,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
Virginia,35676,34960.0,32838.0,34475.7,35702.0,38363.0,,33513.2,27061.0,36977.7,34007.2,38831.8,,40600.4,35676.0,37922.1,34147.0,25717.0,32634.0,36704.9,34239.0,38280.9,32015.1,37672.2,38416.0,35849.0,,38328.4,,19326.3,,31137.3,35979.2,34946.6,37252.6,31552.0,41156.6,,-716.0,-2838.0,-1200.3,26.0,2687.0,,-2162.8,-8615.0,1301.7,-1668.8,3155.8,,4924.4,0.0,2246.1,-1529.0,-9959.0,-3042.0,1028.9,-1437.0,2604.9,-3660.9,1996.2,2740.0,173.0,,2652.4,,-16349.7,,-4538.7,303.2,-729.4,1576.6,-4124.0,5480.6,,False,False,True,False,,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,True,,False,,False,,False,True,False,False,False,False,
Washington,14375,24843.0,20365.6,22849.5,18981.0,21152.0,,18694.1,12060.0,14296.6,12062.2,18272.0,,19538.7,18476.0,30398.5,23437.0,10046.0,14644.5,20304.1,13740.0,16576.9,23802.8,18669.8,18114.0,23877.0,,20252.5,,22721.9,,24880.4,11077.8,26096.5,18195.1,15805.0,19143.2,,10468.0,5990.6,8474.5,4606.0,6777.0,,4319.1,-2315.0,-78.4,-2312.8,3897.0,,5163.7,4101.0,16023.5,9062.0,-4329.0,269.5,5929.1,-635.0,2201.9,9427.8,4294.8,3739.0,9502.0,,5877.5,,8346.9,,10505.4,-3297.2,11721.5,3820.1,1430.0,4768.2,,True,True,True,True,,True,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,,True,,False,True,False,True,True,True,
West Virginia,8346,10451.0,10281.5,10549.5,10698.0,11476.0,,10419.9,8283.0,12226.3,11559.1,12758.4,,11869.6,10820.0,12617.9,11056.0,6103.4,10640.5,9966.4,9426.5,10852.9,10377.8,10816.4,11960.0,10116.0,,11136.3,,7422.9,,10616.5,11583.3,10295.5,11336.6,10347.0,12116.3,,2105.0,1935.5,2203.5,2352.0,3130.0,,2073.9,-63.0,3880.3,3213.1,4412.4,,3523.6,2474.0,4271.9,2710.0,-2242.6,2294.5,1620.4,1080.5,2506.9,2031.8,2470.4,3614.0,1770.0,,2790.3,,-923.1,,2270.5,3237.3,1949.5,2990.6,2001.0,3770.3,,True,False,False,False,,True,True,False,False,False,,False,False,False,False,False,False,True,True,False,True,False,False,True,,False,,True,,False,False,True,False,True,False,
Wisconsin,18141,24482.0,24456.8,24932.9,22992.0,27131.0,,19619.9,6140.0,20408.7,24098.3,21465.3,,22374.7,22458.0,14451.4,26027.0,11220.3,18478.0,13785.8,19977.5,25760.7,17972.6,24184.8,21780.0,27028.0,,23525.2,,7908.0,,25048.5,13371.3,23428.2,27343.3,20088.0,26503.9,,6341.0,6315.8,6791.9,4851.0,8990.0,,1478.9,-12001.0,2267.7,5957.3,3324.3,,4233.7,4317.0,-3689.6,7886.0,-6920.7,337.0,-4355.2,1836.5,7619.7,-168.4,6043.8,3639.0,8887.0,,5384.2,,-10233.0,,6907.5,-4769.7,5287.2,9202.3,1947.0,8362.9,,True,False,True,False,,True,False,True,True,True,,True,True,True,False,False,True,True,True,False,True,True,True,False,,True,,False,,False,True,True,False,True,False,
Wyoming,2349,2146.0,2393.7,2060.7,1825.0,1542.0,,1718.5,506.0,1632.2,2067.6,1798.4,,1383.7,1843.0,1945.5,2473.0,889.8,1650.0,1000.4,1532.5,1860.9,2027.7,1832.9,1910.0,2358.0,,1875.2,,1573.7,,2407.0,829.8,2662.8,2466.2,1698.0,1973.4,,-203.0,44.7,-288.3,-524.0,-807.0,,-630.5,-1843.0,-716.8,-281.4,-550.6,,-965.3,-506.0,-403.5,124.0,-1459.2,-699.0,-1348.6,-816.5,-488.1,-321.3,-516.1,-439.0,9.0,,-473.8,,-775.3,,58.0,-1519.2,313.8,117.2,-651.0,-375.6,,True,False,False,False,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,,False,,True,False,False,True,False,False,
US,1559799,1706100.0,1639850.6,1696807.2,1700701.0,1983725.0,1618643.0,1617509.6,1407876.0,2155751.1,1729008.1,,2005093.0,1842396.0,1611518.0,1715114.6,,1023668.2,,1583324.0,1582666.0,1823497.4,1419668.9,1713096.1,1721637.0,1755244.0,1661774.0,1644836.4,1866085.0,1383974.1,1801148.0,1796167.3,,1628673.0,1975283.6,1635827.0,2220423.7,983006.6,146301.0,80051.6,137008.2,140902.0,423926.0,58844.0,57710.6,-151923.0,595952.1,169209.1,,445294.0,282597.0,51719.0,155315.6,,-536130.8,,23525.0,22867.0,263698.4,-140130.1,153297.1,161838.0,195445.0,101975.0,85037.4,306286.0,-175824.9,241349.0,236368.3,,68874.0,415484.6,76028.0,660624.7,-576792.4,True,True,True,False,True,True,False,False,False,,False,False,True,False,,False,,True,True,False,True,False,False,False,True,True,False,False,False,False,,True,False,True,False,False
