,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nebraska,12648,13850.0,16515.6,13701.8,12067.0,17252.0,,11377.2,5548.0,9399.2,12544.6,,9055.2,11717.0,12878.5,13722.0,9553.3,8210.5,8395.0,8785.0,12228.4,12205.2,12143.0,15391.0,,10734.0,14362.0,,18084.0,15010.7,16221.5,12051.9,12533.0,13639.3,8090.3,1202.0,3867.6,1053.8,-581.0,4604.0,,-1270.8,-7100.0,-3248.8,-103.4,,-3592.8,-931.0,230.5,1074.0,-3094.7,-4437.5,-4253.0,-3863.0,-419.6,-442.8,-505.0,2743.0,,-1914.0,1714.0,,5436.0,2362.7,3573.5,-596.1,-115.0,991.3,-4557.7,False,True,True,False,,False,False,False,True,,False,True,True,True,False,False,False,False,True,True,True,False,,False,False,,False,False,False,True,True,True,False
Nevada,31219,26436.0,30597.7,26828.4,25211.0,22638.0,,24883.4,20600.0,30529.6,28563.4,,22184.4,28265.0,25870.7,25605.0,16798.4,22273.5,21962.2,21489.5,25491.0,25789.8,25671.0,25085.0,,25056.1,25134.4,,26519.0,40243.1,25872.5,24377.0,27013.0,30969.0,,-4783.0,-621.3,-4390.6,-6008.0,-8581.0,,-6335.6,-10619.0,-689.4,-2655.6,,-9034.6,-2954.0,-5348.3,-5614.0,-14420.6,-8945.5,-9256.8,-9729.5,-5728.0,-5429.2,-5548.0,-6134.0,,-6162.9,-6084.6,,-4700.0,9024.1,-5346.5,-6842.0,-4206.0,-250.0,,True,True,False,False,,False,False,True,True,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,False,True,True,
New Hampshire,10991,10546.0,10893.6,10830.1,10328.0,12615.0,,10033.6,10959.0,7854.9,11374.1,,9308.0,10593.0,15244.8,11394.0,7647.0,9431.0,8359.0,11645.0,9688.3,11543.7,11163.0,9348.0,,10425.6,17842.8,,9041.3,16341.0,8093.6,8856.5,11279.0,10947.8,7364.6,-445.0,-97.4,-160.9,-663.0,1624.0,,-957.4,-32.0,-3136.1,383.1,,-1683.0,-398.0,4253.8,403.0,-3344.0,-1560.0,-2632.0,654.0,-1302.7,552.7,172.0,-1643.0,,-565.4,6851.8,,-1949.7,5350.0,-2897.4,-2134.5,288.0,-43.2,-3626.4,True,True,False,False,,False,True,False,True,,False,True,False,True,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,True,True,False
New Jersey,80887,58942.0,59448.0,58824.5,59038.0,77297.0,,58121.9,62669.0,50112.6,73330.8,,57895.1,60526.0,62974.5,51955.0,51341.1,57392.0,58745.5,50127.5,59037.6,59512.3,59889.0,50761.0,,60514.9,50294.5,,52105.2,89014.7,56626.7,70126.6,59229.0,75068.7,48318.2,-21945.0,-21439.0,-22062.5,-21849.0,-3590.0,,-22765.1,-18218.0,-30774.4,-7556.2,,-22991.9,-20361.0,-17912.5,-28932.0,-29545.9,-23495.0,-22141.5,-30759.5,-21849.4,-21374.7,-20998.0,-30126.0,,-20372.1,-30592.5,,-28781.8,8127.7,-24260.3,-10760.4,-21658.0,-5818.3,-32568.8,True,False,True,True,,False,True,False,True,,False,True,True,False,False,False,False,False,True,True,True,False,,True,False,,False,True,False,True,True,True,False
New Mexico,17514,16306.0,19251.7,16631.9,14523.0,16578.0,,14665.9,9530.0,11890.1,16359.6,,11934.0,15481.0,17311.9,15589.0,8342.7,13200.0,13090.1,11301.0,14590.7,14233.5,15591.0,12581.0,,12411.6,8839.5,,12126.0,16420.2,17743.5,18224.4,15065.0,18192.0,11064.5,-1208.0,1737.7,-882.1,-2991.0,-936.0,,-2848.1,-7984.0,-5623.9,-1154.4,,-5580.0,-2033.0,-202.1,-1925.0,-9171.3,-4314.0,-4423.9,-6213.0,-2923.3,-3280.5,-1923.0,-4933.0,,-5102.4,-8674.5,,-5388.0,-1093.8,229.5,710.4,-2449.0,678.0,-6449.5,False,True,False,True,,False,False,False,True,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,True,True,True,False,True,False
New York,217202,175302.0,153123.0,175022.8,176484.0,222704.0,,178772.9,208490.0,171130.9,164131.6,,214851.7,157116.0,250445.6,155095.0,164377.1,153919.5,202348.6,218187.5,191270.2,166371.0,200389.0,185384.0,,147544.6,202663.7,,226756.4,227108.6,146533.2,234930.0,170836.0,181772.8,130847.6,-41900.0,-64079.0,-42179.2,-40718.0,5502.0,,-38429.1,-8712.0,-46071.1,-53070.4,,-2350.3,-60086.0,33243.6,-62107.0,-52824.9,-63282.5,-14853.4,985.5,-25931.8,-50831.0,-16813.0,-31818.0,,-69657.4,-14538.3,,9554.4,9906.6,-70668.8,17728.0,-46366.0,-35429.2,-86354.4,False,False,True,True,,True,True,False,False,,True,False,True,False,False,False,True,True,True,False,True,True,,False,True,,True,True,False,True,False,True,False
North Carolina,109389,89014.0,96529.5,89389.6,89878.0,116655.0,,87278.4,113241.0,68688.4,124764.2,,94308.7,95757.0,106957.8,87567.0,61242.9,80293.0,114905.7,75945.0,90196.4,104615.8,96050.0,91329.0,,102858.5,63541.9,,87140.3,133953.2,77242.4,87851.7,75625.0,119776.6,68359.3,-20375.0,-12859.5,-19999.4,-19511.0,7266.0,,-22110.6,3852.0,-40700.6,15375.2,,-15080.3,-13632.0,-2431.2,-21822.0,-48146.1,-29096.0,5516.7,-33444.0,-19192.6,-4773.2,-13339.0,-18060.0,,-6530.5,-45847.1,,-22248.7,24564.2,-32146.6,-21537.3,-33764.0,10387.6,-41029.7,True,True,True,True,,False,True,False,True,,True,True,True,False,False,False,True,False,True,True,True,True,,True,False,,False,False,False,False,False,True,False
North Dakota,2823,3074.0,4774.8,3082.5,2515.0,1887.0,,2603.5,877.0,1934.8,2110.4,,1671.1,3918.0,2556.1,2674.0,3232.4,1383.0,2071.1,1352.5,2806.4,3288.7,2368.0,4286.0,,2275.3,2088.6,,4597.3,0.0,4796.9,1162.3,2463.0,3136.0,1905.2,251.0,1951.8,259.5,-308.0,-936.0,,-219.5,-1946.0,-888.2,-712.6,,-1151.9,1095.0,-266.9,-149.0,409.4,-1440.0,-751.9,-1470.5,-16.6,465.7,-455.0,1463.0,,-547.7,-734.4,,1774.3,-2823.0,1973.9,-1660.7,-360.0,313.0,-917.8,False,False,False,False,,True,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False,False
Ohio,106834,100010.0,117847.9,108090.6,93277.0,126561.0,,91077.7,146322.0,67393.9,120046.4,,80986.9,99555.0,95316.6,79758.0,58758.8,83774.0,90622.2,80643.5,83967.1,99793.8,103470.0,91460.0,,82068.3,75068.6,,87486.6,129073.6,89005.9,126481.1,107662.0,109487.6,56895.1,-6824.0,11013.9,1256.6,-13557.0,19727.0,,-15756.3,39488.0,-39440.1,13212.4,,-25847.1,-7279.0,-11517.4,-27076.0,-48075.2,-23060.0,-16211.8,-26190.5,-22866.9,-7040.2,-3364.0,-15374.0,,-24765.7,-31765.4,,-19347.4,22239.6,-17828.1,19647.1,828.0,2653.6,-49938.9,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,True,True,False
Oklahoma,55610,39094.0,50318.8,38873.8,40141.0,36688.0,,38250.8,55821.0,43103.8,32154.8,,54317.2,39266.0,44814.2,38024.0,22667.2,32631.0,39204.5,51030.0,45423.6,48902.9,40545.0,38676.0,,44434.2,30171.2,,38312.1,64922.8,39650.7,42585.6,41337.0,43249.7,37968.7,-16516.0,-5291.2,-16736.2,-15469.0,-18922.0,,-17359.2,211.0,-12506.2,-23455.2,,-1292.8,-16344.0,-10795.8,-17586.0,-32942.8,-22979.0,-16405.5,-4580.0,-10186.4,-6707.1,-15065.0,-16934.0,,-11175.8,-25438.8,,-17297.9,9312.8,-15959.3,-13024.4,-14273.0,-12360.3,-17641.3,True,False,True,False,,False,True,True,False,,True,True,True,False,False,False,True,True,True,True,True,False,,True,False,,False,True,True,True,True,True,False
Oregon,16064,16044.0,17152.3,16349.0,15398.0,20964.0,,12990.4,25119.0,12134.6,17161.8,,12994.0,14740.0,15997.9,14956.0,12412.3,15050.0,11021.3,17617.0,14626.1,16477.0,16687.0,15008.0,,13776.3,20666.2,,16785.8,22202.9,16773.5,15006.4,16763.0,15213.6,9453.8,-20.0,1088.3,285.0,-666.0,4900.0,,-3073.6,9055.0,-3929.4,1097.8,,-3070.0,-1324.0,-66.1,-1108.0,-3651.7,-1014.0,-5042.7,1553.0,-1437.9,413.0,623.0,-1056.0,,-2287.7,4602.2,,721.8,6138.9,709.5,-1057.6,699.0,-850.4,-6610.2,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Pennsylvania,104909,103626.0,113149.9,102873.4,99644.0,149300.0,,99135.2,177797.0,100966.3,98753.8,,83620.9,105663.0,95703.3,82116.0,68789.6,99080.5,85735.1,79996.5,93663.3,90411.6,109123.0,81839.0,,79907.0,157794.1,,113859.7,172070.2,86007.3,135517.2,103637.0,137078.0,74437.7,-1283.0,8240.9,-2035.6,-5265.0,44391.0,,-5773.8,72888.0,-3942.7,-6155.2,,-21288.1,754.0,-9205.7,-22793.0,-36119.4,-5828.5,-19173.9,-24912.5,-11245.7,-14497.4,4214.0,-23070.0,,-25002.0,52885.1,,8950.7,67161.2,-18901.7,30608.2,-1272.0,32169.0,-30471.3,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False
Rhode Island,16494,11766.0,12242.4,11986.5,10252.0,6962.0,,10642.1,6411.0,14478.2,8425.5,,9255.1,10626.0,14241.6,11874.0,6242.9,5231.5,10795.5,6691.0,8493.8,10722.7,6088.0,10596.0,,5756.5,11874.7,,10413.4,12921.1,8211.9,11058.2,4703.0,9575.3,5864.3,-4728.0,-4251.6,-4507.5,-6242.0,-9532.0,,-5851.9,-10083.0,-2015.8,-8068.5,,-7238.9,-5868.0,-2252.4,-4620.0,-10251.1,-11262.5,-5698.5,-9803.0,-8000.2,-5771.3,-10406.0,-5898.0,,-10737.5,-4619.3,,-6080.6,-3572.9,-8282.1,-5435.8,-11791.0,-6918.7,-10629.7,True,True,False,False,,False,False,True,False,,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,,False,True,False,False,False,False,False
South Carolina,69704,47652.0,49063.3,47968.8,48968.0,53985.0,,49367.6,43376.0,55397.2,33119.9,,50715.2,46030.0,64736.7,43116.0,28925.5,43974.5,77011.4,52579.5,49921.0,55237.0,47392.0,52436.0,,39982.5,58873.0,,52191.6,61960.0,47406.1,38981.3,36715.0,61817.5,45896.9,-22052.0,-20640.7,-21735.2,-20736.0,-15719.0,,-20336.4,-26328.0,-14306.8,-36584.1,,-18988.8,-23674.0,-4967.3,-26588.0,-40778.5,-25729.5,7307.4,-17124.5,-19783.0,-14467.0,-22312.0,-17268.0,,-29721.5,-10831.0,,-17512.4,-7744.0,-22297.9,-30722.7,-32989.0,-7886.5,-23807.1,True,True,True,True,,True,False,True,False,,True,False,True,False,False,False,True,True,True,True,False,True,,False,True,,True,True,False,False,False,True,False
South Dakota,5449,5732.0,6929.5,5896.6,4891.0,3709.0,,4856.8,2582.0,4400.8,4741.5,,4816.9,5658.0,4314.4,5537.0,3679.6,3315.5,4382.9,4098.5,5352.3,5970.8,4632.0,6140.0,,3277.1,3225.6,,6963.1,2608.0,7893.8,6044.7,4854.0,6017.8,3430.6,283.0,1480.5,447.6,-558.0,-1740.0,,-592.2,-2867.0,-1048.2,-707.5,,-632.1,209.0,-1134.6,88.0,-1769.4,-2133.5,-1066.1,-1350.5,-96.7,521.8,-817.0,691.0,,-2171.9,-2223.4,,1514.1,-2841.0,2444.8,595.7,-595.0,568.8,-2018.4,False,False,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False,False
Tennessee,76715,86480.0,106194.8,94744.9,81237.0,77288.0,,86930.1,136118.0,71167.9,104339.0,,70394.0,80505.0,54230.0,74084.0,52288.2,66579.5,74275.0,84134.0,80282.1,84686.5,91918.0,75770.0,,76693.4,98797.0,,74269.2,190229.4,72205.7,94129.6,91306.0,120510.2,85770.4,9765.0,29479.8,18029.9,4522.0,573.0,,10215.1,59403.0,-5547.1,27624.0,,-6321.0,3790.0,-22485.0,-2631.0,-24426.8,-10135.5,-2440.0,7419.0,3567.1,7971.5,15203.0,-945.0,,-21.6,22082.0,,-2445.8,113514.4,-4509.3,17414.6,14591.0,43795.2,9055.4,False,False,True,True,,False,False,True,False,,True,True,False,True,False,False,True,True,True,True,False,True,,True,False,,True,False,True,False,False,False,True
Texas,311481,250630.0,235781.3,251529.0,228798.0,390838.0,,222606.1,178282.0,238592.4,197010.1,,176312.3,223996.0,339821.2,,187178.7,202829.5,247604.8,204016.5,213515.9,256033.4,219947.0,291181.0,,211407.2,227862.1,,243471.2,254931.2,257007.6,227271.4,205727.0,259060.2,157856.8,-60851.0,-75699.7,-59952.0,-82683.0,79357.0,,-88874.9,-133199.0,-72888.6,-114470.9,,-135168.7,-87485.0,28340.2,,-124302.3,-108651.5,-63876.2,-107464.5,-97965.1,-55447.6,-91534.0,-20300.0,,-100073.8,-83618.9,,-68009.8,-56549.8,-54473.4,-84209.6,-105754.0,-52420.8,-153624.2,False,True,False,False,,False,False,False,False,,False,False,True,,False,False,False,False,False,True,False,True,,False,False,,False,True,True,False,False,True,False
Utah,40598,35152.0,33205.6,34251.6,32676.0,39659.0,,33102.2,43320.0,23872.1,36180.7,,30701.8,31854.0,32403.6,34833.0,17094.4,22716.0,26515.3,33726.5,35168.9,33577.2,37197.0,29997.0,,33318.2,24021.3,,31263.8,39494.6,20711.0,31235.2,33619.0,26068.5,22026.0,-5446.0,-7392.4,-6346.4,-7922.0,-939.0,,-7495.8,2722.0,-16725.9,-4417.3,,-9896.2,-8744.0,-8194.4,-5765.0,-23503.6,-17882.0,-14082.7,-6871.5,-5429.1,-7020.8,-3401.0,-10601.0,,-7279.8,-16576.7,,-9334.2,-1103.4,-19887.0,-9362.8,-6979.0,-14529.5,-18572.0,False,False,False,True,,False,True,False,True,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,,False,True,False,False,False,False,False
Vermont,2226,1446.0,1197.2,1413.3,1441.0,2001.0,,1207.2,2021.0,1012.5,1630.6,,1524.6,1439.0,2029.5,1499.0,2052.9,1203.0,3576.5,1299.5,1296.9,2005.1,1912.0,1270.0,,1530.7,1285.4,,1893.0,2100.1,1726.1,1335.7,1463.0,1185.6,970.4,-780.0,-1028.8,-812.7,-785.0,-225.0,,-1018.8,-205.0,-1213.5,-595.4,,-701.4,-787.0,-196.5,-727.0,-173.1,-1023.0,1350.5,-926.5,-929.1,-220.9,-314.0,-956.0,,-695.3,-940.6,,-333.0,-125.9,-499.9,-890.3,-763.0,-1040.4,-1255.6,False,False,False,True,,False,True,False,True,,True,False,True,True,True,False,False,False,False,True,True,False,,True,False,,True,True,True,False,True,False,False
Virginia,70636,58356.0,61583.4,57685.8,59715.0,68465.0,,56576.5,52104.0,59367.2,66370.2,,63673.6,54745.0,68904.3,52732.0,45771.4,58026.5,60112.0,61783.0,61138.2,67232.8,66714.0,59699.0,,63906.6,30679.0,,47015.3,82155.1,57761.7,60080.4,52248.0,70814.3,52261.9,-12280.0,-9052.6,-12950.2,-10921.0,-2171.0,,-14059.5,-18532.0,-11268.8,-4265.8,,-6962.4,-15891.0,-1731.7,-17904.0,-24864.6,-12609.5,-10524.0,-8853.0,-9497.8,-3403.2,-3922.0,-10937.0,,-6729.4,-39957.0,,-23620.7,11519.1,-12874.3,-10555.6,-18388.0,178.3,-18374.1,True,False,True,True,,False,False,True,True,,True,False,True,False,False,False,True,True,True,True,True,True,,True,False,,False,True,False,True,False,True,False
Washington,39218,20066.0,36386.8,18241.5,26265.0,42394.0,,26601.5,18585.0,35241.1,18179.3,,35739.5,28967.0,37478.5,22709.0,18827.6,22412.0,40871.9,33265.0,23046.5,37883.2,24379.0,20974.0,,28639.7,45284.5,,20781.7,37506.7,24633.6,24132.5,23386.0,26723.6,,-19152.0,-2831.2,-20976.5,-12953.0,3176.0,,-12616.5,-20633.0,-3976.9,-21038.7,,-3478.5,-10251.0,-1739.5,-16509.0,-20390.4,-16806.0,1653.9,-5953.0,-16171.5,-1334.8,-14839.0,-18244.0,,-10578.3,6066.5,,-18436.3,-1711.3,-14584.4,-15085.5,-15832.0,-12494.4,,True,False,True,True,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,
West Virginia,18797,18300.0,18887.0,18453.1,18438.0,20072.0,,17594.9,22127.0,19164.2,23339.9,,20617.1,15998.0,21309.9,17456.0,12298.5,17132.5,18763.6,18096.5,21979.0,20709.0,22406.0,16231.0,,16518.6,15504.7,,17783.7,28196.0,16630.0,20205.9,17231.0,20813.0,17278.0,-497.0,90.0,-343.9,-359.0,1275.0,,-1202.1,3330.0,367.2,4542.9,,1820.1,-2799.0,2512.9,-1341.0,-6498.5,-1664.5,-33.4,-700.5,3182.0,1912.0,3609.0,-2566.0,,-2278.4,-3292.3,,-1013.3,9399.0,-2167.0,1408.9,-1566.0,2016.0,-1519.0,True,True,True,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Wisconsin,42623,35260.0,48173.9,33307.2,30345.0,42235.0,,29889.2,12777.0,28527.0,24034.8,,23164.2,34986.0,31908.5,32144.0,23100.5,22842.5,28464.4,22455.0,31590.1,33825.2,29262.0,38743.0,,24394.3,18405.4,,39012.0,26252.7,33701.0,19492.0,28259.0,43329.9,21228.9,-7363.0,5550.9,-9315.8,-12278.0,-388.0,,-12733.8,-29846.0,-14096.0,-18588.2,,-19458.8,-7637.0,-10714.5,-10479.0,-19522.5,-19780.5,-14158.6,-20168.0,-11032.9,-8797.8,-13361.0,-3880.0,,-18228.7,-24217.6,,-3611.0,-16370.3,-8922.0,-23131.0,-14364.0,706.9,-21394.1,True,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,True,False,False,False,False,True,False
Wyoming,4495,2854.0,4823.3,2843.0,2458.0,1823.0,,2837.5,1872.0,1963.0,2557.8,,1811.8,3048.0,3308.8,2954.0,1755.2,1749.0,1890.0,2537.5,2377.9,3503.9,2799.0,1927.0,,1718.4,3535.5,,3388.1,3279.3,3769.4,2580.9,2625.0,2200.7,1964.8,-1641.0,328.3,-1652.0,-2037.0,-2672.0,,-1657.5,-2623.0,-2532.0,-1937.2,,-2683.2,-1447.0,-1186.2,-1541.0,-2739.8,-2746.0,-2605.0,-1957.5,-2117.1,-991.1,-1696.0,-2568.0,,-2776.6,-959.5,,-1106.9,-1215.7,-725.6,-1914.1,-1870.0,-2294.3,-2530.2,True,False,False,False,,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,False,False,,False,True,,True,True,True,False,False,False,False
US,3283000,2868116.0,3015847.9,2840378.5,2858431.0,3604910.0,2458024.0,2768023.7,2777209.0,3257868.5,,3257693.0,2676428.5,2565322.0,3142896.7,,2002105.5,,2987876.8,2649781.0,2858428.7,2844319.0,2947332.0,3138438.0,3184218.0,2811606.2,2817509.3,3084762.0,2748373.0,,2597239.2,3343032.4,2724628.0,3983958.9,,-414884.0,-267152.1,-442621.5,-424569.0,321910.0,-824976.0,-514976.3,-505791.0,-25131.5,,-25307.0,-606571.5,-717678.0,-140103.3,,-1280894.5,,-295123.2,-633219.0,-424571.3,-438681.0,-335668.0,-144562.0,-98782.0,-471393.8,-465490.7,-198238.0,-534627.0,,-685760.8,60032.4,-558372.0,700958.9,,True,False,False,True,False,False,False,True,,True,False,False,True,,False,,True,False,False,False,True,True,True,False,False,True,False,,False,True,False,False,
