,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Mexico,33963,42288.0,44095.0,32920.0,31507.0,,39257.2,19453.0,35067.2,44762.2,,31998.4,43445.0,40439.8,27579.2,37121.0,17865.7,43805.0,32616.2,25509.0,30680.8,39047.7,29792.0,,31195.8,21039.7,,24530.7,44061.6,41987.4,37218.0,52451.7,32281.2,8325.0,10132.0,-1043.0,-2456.0,,5294.2,-14510.0,1104.2,10799.2,,-1964.6,9482.0,6476.8,-6383.8,3158.0,-16097.3,9842.0,-1346.8,-8454.0,-3282.2,5084.7,-4171.0,,-2767.2,-12923.3,,-9432.3,10098.6,8024.4,3255.0,18488.7,-1681.8,False,True,True,,True,False,True,False,,True,False,True,True,True,False,False,True,False,True,True,True,,True,False,,False,False,True,True,False,True
New York,381089,293224.0,373190.6,334980.0,276646.0,,328850.5,323364.0,154586.6,315133.6,,363646.1,279854.0,428052.3,477037.3,285630.0,410282.5,358587.5,564148.4,285243.5,281402.0,322899.3,345862.0,,267340.2,443669.1,,492537.0,374678.9,483599.0,305860.0,347341.0,486378.9,-87865.0,-7898.4,-46109.0,-104443.0,,-52238.5,-57725.0,-226502.4,-65955.4,,-17442.9,-101235.0,46963.3,95948.3,-95459.0,29193.5,-22501.5,183059.4,-95845.5,-99687.0,-58189.7,-35227.0,,-113748.8,62580.1,,111448.0,-6410.1,102510.0,-75229.0,-33748.0,105289.9,True,True,False,,True,True,False,True,,True,False,True,False,False,True,True,False,False,False,True,True,,False,True,,False,True,False,True,True,False
North Carolina,195558,169968.0,236488.7,200180.0,162398.0,,183613.7,198528.0,141747.9,212412.4,,260136.3,185025.0,248635.2,204952.1,195821.0,128132.9,204165.0,259961.9,194485.0,181148.9,202394.4,186724.0,,216588.7,127114.3,,195323.0,205351.0,227409.4,200632.0,257591.1,348020.1,-25590.0,40930.7,4622.0,-33160.0,,-11944.3,2970.0,-53810.1,16854.4,,64578.3,-10533.0,53077.2,9394.1,263.0,-67425.1,8607.0,64403.9,-1073.0,-14409.1,6836.4,-8834.0,,21030.7,-68443.7,,-235.0,9793.0,31851.4,5074.0,62033.1,152462.1,False,True,False,,True,True,False,True,,False,True,False,True,True,False,True,False,True,True,True,True,,True,False,,True,True,False,True,False,False
North Dakota,5930,8776.0,12900.3,6791.0,4183.0,,9994.4,6260.0,8509.7,9601.8,,4946.8,15947.0,8773.8,4406.4,6938.0,9599.0,4464.5,6488.3,2942.0,7352.0,9878.9,11680.0,,3437.3,6351.1,,4015.7,22454.6,3807.6,6066.0,11115.5,8614.7,2846.0,6970.3,861.0,-1747.0,,4064.4,330.0,2579.7,3671.8,,-983.2,10017.0,2843.8,-1523.6,1008.0,3669.0,-1465.5,558.3,-2988.0,1422.0,3948.9,5750.0,,-2492.7,421.1,,-1914.3,16524.6,-2122.4,136.0,5185.5,2684.7,False,True,True,,False,True,True,False,,True,False,True,True,True,False,True,True,False,True,False,False,,True,True,,True,False,True,True,False,True
Ohio,207078,243872.0,249721.4,239849.0,192500.0,,266069.1,249046.0,201798.3,449143.0,,259319.0,269390.0,316493.0,180716.6,239744.0,186713.0,304090.5,295844.5,224843.0,233104.2,315402.5,177044.0,,233314.7,266257.9,,225712.0,420247.1,256852.7,217887.0,331793.2,420748.4,36794.0,42643.4,32771.0,-14578.0,,58991.1,41968.0,-5279.7,242065.0,,52241.0,62312.0,109415.0,-26361.4,32666.0,-20365.0,97012.5,88766.5,17765.0,26026.2,108324.5,-30034.0,,26236.7,59179.9,,18634.0,213169.1,49774.7,10809.0,124715.2,213670.4,False,True,True,,False,False,True,False,,False,False,False,True,True,True,False,False,True,True,False,True,,True,False,,True,False,False,True,False,False
Oklahoma,95797,90128.0,90272.4,91168.0,76077.0,,91777.8,59480.0,87626.6,106372.3,,126668.5,99062.0,102817.8,66963.2,86897.0,54787.5,92128.5,84976.0,91829.5,97577.8,103862.6,98475.0,,88653.3,58916.6,,80321.7,104864.4,104651.2,96150.0,109207.7,84714.9,-5669.0,-5524.6,-4629.0,-19720.0,,-4019.2,-36317.0,-8170.4,10575.3,,30871.5,3265.0,7020.8,-28833.8,-8900.0,-41009.5,-3668.5,-10821.0,-3967.5,1780.8,8065.6,2678.0,,-7143.7,-36880.4,,-15475.3,9067.4,8854.2,353.0,13410.7,-11082.1,True,True,False,,True,False,False,False,,False,True,False,False,False,False,True,False,True,True,False,True,,False,False,,False,False,False,True,False,False
Oregon,30598,35900.0,44631.4,35094.0,33686.0,,36435.0,39396.0,31294.2,56947.9,,31228.8,34770.0,46974.1,21569.6,36669.0,46188.4,43119.0,35373.0,31974.5,32594.1,39291.8,33916.0,,30724.5,54963.8,,30125.2,53088.4,38746.3,32973.0,46934.7,40812.5,5302.0,14033.4,4496.0,3088.0,,5837.0,8798.0,696.2,26349.9,,630.8,4172.0,16376.1,-9028.4,6071.0,15590.4,12521.0,4775.0,1376.5,1996.1,8693.8,3318.0,,126.5,24365.8,,-472.8,22490.4,8148.3,2375.0,16336.7,10214.5,False,True,True,,False,False,True,False,,True,True,False,False,False,False,False,True,True,True,False,True,,True,False,,True,False,False,True,False,False
Pennsylvania,212594,270260.0,302150.6,256749.0,205082.0,,292441.2,260427.0,192584.5,383499.6,,236094.5,284443.0,405443.8,351924.0,258598.0,224734.5,332314.5,372164.3,222649.0,220360.9,275818.5,248322.0,,198803.3,348667.9,,181809.8,367231.5,376346.3,238506.0,377392.7,537685.0,57666.0,89556.6,44155.0,-7512.0,,79847.2,47833.0,-20009.5,170905.6,,23500.5,71849.0,192849.8,139330.0,46004.0,12140.5,119720.5,159570.3,10055.0,7766.9,63224.5,35728.0,,-13790.7,136073.9,,-30784.2,154637.5,163752.3,25912.0,164798.7,325091.0,False,True,True,,False,True,True,False,,True,False,False,False,True,True,False,False,True,True,False,True,,True,False,,True,False,False,True,False,False
Rhode Island,26631,27976.0,30870.4,27012.0,23110.0,,29584.4,20507.0,343298.0,43748.8,,23943.4,29565.0,40130.2,18976.5,28104.0,22103.9,29375.5,26994.2,21840.5,21681.5,35008.7,22511.0,,34503.1,28107.2,,25664.8,44740.7,38054.8,13985.0,34976.2,61118.3,1345.0,4239.4,381.0,-3521.0,,2953.4,-6124.0,316667.0,17117.8,,-2687.6,2934.0,13499.2,-7654.5,1473.0,-4527.1,2744.5,363.2,-4790.5,-4949.5,8377.7,-4120.0,,7872.1,1476.2,,-966.2,18109.7,11423.8,-12646.0,8345.2,34487.3,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,True,False,False,False,False,False
South Carolina,111885,86956.0,98393.4,97997.0,87662.0,,94268.5,45813.0,76320.5,133346.4,,134546.7,89857.0,128509.6,112766.7,97714.0,56707.7,98649.0,143907.9,101712.0,92783.0,101035.8,101392.0,,107158.3,97455.3,,81330.8,98685.0,98811.4,78474.0,120422.1,185983.9,-24929.0,-13491.6,-13888.0,-24223.0,,-17616.5,-66072.0,-35564.5,21461.4,,22661.7,-22028.0,16624.6,881.7,-14171.0,-55177.3,-13236.0,32022.9,-10173.0,-19102.0,-10849.2,-10493.0,,-4726.7,-14429.7,,-30554.2,-13200.0,-13073.6,-33411.0,8537.1,74098.9,True,True,True,,True,False,False,True,,True,True,True,True,True,False,True,False,True,True,True,True,,True,True,,False,True,True,False,True,False
South Dakota,10942,15716.0,9982.5,11841.0,9381.0,,15051.1,3615.0,11724.1,13072.4,,8479.1,18224.0,17553.1,7300.6,17372.0,9739.7,11975.0,10985.9,8052.5,11657.0,13784.3,20288.0,,8671.5,2389.2,,22964.8,18539.7,15798.7,12314.0,18062.2,12924.4,4774.0,-959.5,899.0,-1561.0,,4109.1,-7327.0,782.1,2130.4,,-2462.9,7282.0,6611.1,-3641.4,6430.0,-1202.3,1033.0,43.9,-2889.5,715.0,2842.3,9346.0,,-2270.5,-8552.8,,12022.8,7597.7,4856.7,1372.0,7120.2,1982.4,True,True,True,,True,False,True,True,,True,False,False,True,False,True,True,True,True,True,True,False,,True,False,,False,False,False,True,False,True
Tennessee,177196,242792.0,316490.2,283162.0,195062.0,,265978.6,198726.0,217755.1,237407.0,,466059.2,268022.0,304350.5,551637.9,295675.0,111097.6,276829.5,264469.4,383992.5,297331.8,294100.6,229853.0,,315299.7,171701.9,,246858.4,223332.7,287414.5,350372.0,312322.3,513367.3,65596.0,139294.2,105966.0,17866.0,,88782.6,21530.0,40559.1,60211.0,,288863.2,90826.0,127154.5,374441.9,118479.0,-66098.4,99633.5,87273.4,206796.5,120135.8,116904.6,52657.0,,138103.7,-5494.1,,69662.4,46136.7,110218.5,173176.0,135126.3,336171.3,False,False,True,,False,True,True,True,,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,,False,True,False,False,False,False
Texas,527495,445416.0,469679.1,449870.0,619054.0,,463951.0,371021.0,389650.8,764415.6,,938373.1,472080.0,609375.9,454750.4,425677.0,420200.2,827562.5,509103.5,412554.0,453170.8,435082.0,542013.0,,457015.9,469593.6,,429006.0,483389.2,400913.7,442050.0,582462.5,342528.9,-82079.0,-57815.9,-77625.0,91559.0,,-63544.0,-156474.0,-137844.2,236920.6,,410878.1,-55415.0,81880.9,-72744.6,-101818.0,-107294.8,300067.5,-18391.5,-114941.0,-74324.2,-92413.0,14518.0,,-70479.1,-57901.4,,-98489.0,-44105.8,-126581.3,-85445.0,54967.5,-184966.1,True,True,False,,True,False,False,False,,False,True,True,True,False,False,False,True,False,True,False,True,,True,True,,False,True,False,False,True,False
Utah,73282,68596.0,57704.0,62059.0,36302.0,,75247.1,29369.0,47114.6,93316.5,,61211.7,76804.0,89646.0,32429.7,77265.0,42293.6,64152.5,61584.9,50574.5,58707.4,72026.0,65498.0,,66847.5,58493.0,,53703.5,87870.1,69163.6,65183.0,49827.5,76268.2,-4686.0,-15578.0,-11223.0,-36980.0,,1965.1,-43913.0,-26167.4,20034.5,,-12070.3,3522.0,16364.0,-40852.3,3983.0,-30988.4,-9129.5,-11697.1,-22707.5,-14574.6,-1256.0,-7784.0,,-6434.5,-14789.0,,-19578.5,14588.1,-4118.4,-8099.0,-23454.5,2986.2,False,False,False,,True,False,False,False,,False,True,False,False,True,False,False,False,False,False,True,False,,False,False,,False,False,True,False,False,True
Vermont,3572,2868.0,2406.1,2915.0,2495.0,,2869.7,2975.0,1941.2,8361.3,,2892.0,3284.0,3788.0,3118.7,2934.0,5406.2,3181.0,9445.5,2798.5,2791.1,3583.0,4279.0,,,9100.3,,6638.9,4250.2,2578.6,2525.0,3146.4,5334.5,-704.0,-1165.9,-657.0,-1077.0,,-702.3,-597.0,-1630.8,4789.3,,-680.0,-288.0,216.0,-453.3,-638.0,1834.2,-391.0,5873.5,-773.5,-780.9,11.0,707.0,,,5528.3,,3066.9,678.2,-993.4,-1047.0,-425.6,1762.5,False,True,False,,True,True,False,False,,True,True,True,True,True,False,True,False,False,False,True,False,,,False,,False,True,False,False,True,False
Virginia,126419,97428.0,155678.6,109954.0,95096.0,,107004.7,111246.0,100906.8,139958.6,,108955.0,96148.0,151847.2,159010.1,95167.0,108174.4,123169.0,156776.3,109881.5,99277.7,125705.3,116475.0,,117274.5,62186.3,,88995.0,124646.4,130102.6,102518.0,140647.2,180904.7,-28991.0,29259.6,-16465.0,-31323.0,,-19414.3,-15173.0,-25512.2,13539.6,,-17464.0,-30271.0,25428.2,32591.1,-31252.0,-18244.6,-3250.0,30357.3,-16537.5,-27141.3,-713.7,-9944.0,,-9144.5,-64232.7,,-37424.0,-1772.6,3683.6,-23901.0,14228.2,54485.7,False,True,False,,True,True,True,True,,True,False,True,False,False,True,True,False,True,True,True,True,,True,False,,False,True,True,True,True,False
Washington,63370,55532.0,75212.3,52647.0,36103.0,,39568.5,45221.0,41791.7,98143.0,,92487.5,68805.0,86865.5,33549.2,74161.0,62209.0,53692.5,63041.6,58415.5,41052.2,73501.2,41662.0,,34145.0,117183.3,,53700.7,120671.3,67918.2,34907.0,73719.0,,-7838.0,11842.3,-10723.0,-27267.0,,-23801.5,-18149.0,-21578.3,34773.0,,29117.5,5435.0,23495.5,-29820.8,10791.0,-1161.0,-9677.5,-328.4,-4954.5,-22317.8,10131.2,-21708.0,,-29225.0,53813.3,,-9669.3,57301.3,4548.2,-28463.0,10349.0,,False,False,False,,False,False,False,False,,False,True,False,False,False,True,False,True,True,False,False,False,,False,False,,False,False,True,False,False,
West Virginia,36909,36256.0,47422.7,36934.0,36081.0,,37583.8,22433.0,31235.3,53734.0,,42560.7,35184.0,48380.8,36241.2,36419.0,25758.4,42781.0,38394.9,36718.0,34358.6,40948.0,37021.0,,38154.5,33864.4,,41984.6,43834.6,46219.4,37326.0,43732.2,52297.7,-653.0,10513.7,25.0,-828.0,,674.8,-14476.0,-5673.7,16825.0,,5651.7,-1725.0,11471.8,-667.8,-490.0,-11150.6,5872.0,1485.9,-191.0,-2550.4,4039.0,112.0,,1245.5,-3044.6,,5075.6,6925.6,9310.4,417.0,6823.2,15388.7,False,True,False,,False,False,False,False,,False,False,False,False,True,False,False,False,True,False,False,True,,False,False,,False,False,False,True,False,False
Wisconsin,75596,98752.0,80785.2,82029.0,85116.0,,91320.6,15796.0,63453.7,120636.3,,73596.9,93096.0,128695.5,49362.1,104202.0,67865.8,70785.5,68203.6,69018.0,87163.6,86457.6,123228.0,,72410.8,43596.9,,84358.2,126293.5,102251.0,80837.0,116229.9,82200.1,23156.0,5189.2,6433.0,9520.0,,15724.6,-59800.0,-12142.3,45040.3,,-1999.1,17500.0,53099.5,-26233.9,28606.0,-7730.2,-4810.5,-7392.4,-6578.0,11567.6,10861.6,47632.0,,-3185.2,-31999.1,,8762.2,50697.5,26655.0,5241.0,40633.9,6604.1,True,True,True,,True,False,True,False,,True,True,False,False,False,True,True,True,True,True,True,False,,True,False,,True,False,False,True,False,True
Wyoming,7580,10324.0,5620.0,6612.0,6219.0,,8506.4,5650.0,6516.6,3989.4,,4803.7,10904.0,10188.8,3696.6,9561.0,5687.0,7101.0,4889.3,4273.0,7555.2,9070.0,11258.0,,2316.4,8917.1,,8358.2,14381.6,13197.8,6456.0,7924.3,6275.0,2744.0,-1960.0,-968.0,-1361.0,,926.4,-1930.0,-1063.4,-3590.6,,-2776.3,3324.0,2608.8,-3883.4,1981.0,-1893.0,-479.0,-2690.7,-3307.0,-24.8,1490.0,3678.0,,-5263.6,1337.1,,778.2,6801.6,5617.8,-1124.0,344.3,-1305.0,True,True,True,,True,True,True,False,,False,False,True,False,True,True,True,True,False,True,True,False,,False,True,,True,False,False,True,True,True
US,6046535,6049488.0,6825709.3,6259164.0,5552548.0,9513925.0,6299225.9,5990455.0,6075372.7,,6011901.0,6524535.0,6121735.0,8399743.3,7072638.0,,4979557.5,,8439104.9,5091272.5,5949504.5,6613452.1,7282841.0,5886651.0,6779250.2,5947836.9,6153425.0,5345877.6,,7051714.7,6183977.0,8426468.7,,2953.0,779174.3,212629.0,-493987.0,3467390.0,252690.9,-56080.0,28837.7,,-34634.0,478000.0,75200.0,2353208.3,1026103.0,,-1066977.5,,2392569.9,-955262.5,-97030.5,566917.1,1236306.0,-159884.0,732715.2,-98698.1,106890.0,-700657.4,,1005179.7,137442.0,2379933.7,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,
