,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,33884,33542.7,33536.0,33563.2,33627.0,33568.9,33594.0,33687.0,33574.0,33828.1,33736.0,33554.0,33495.7,33569.0,,33646.0,33496.0,33598.0,33607.3,33729.6,33644.0,33642.5,33573.5,33593.4,33520.2,33566.4,33659.0,33577.8,33597.8,,33566.0,33582.1,33421.0,,33572.0,33607.9,,33602.0,33998.7,33583.0,33537.1,,33565.5,33585.2,33610.0,33669.5,34843.0,33565.0,33576.0,33348.5,33473.0,-121.3,-128.0,-100.8,-37.0,-95.1,-70.0,23.0,-90.0,164.1,72.0,-110.0,-168.3,-95.0,,-18.0,-168.0,-66.0,-56.7,65.6,-20.0,-21.5,-90.5,-70.6,-143.8,-97.6,-5.0,-86.2,-66.2,,-98.0,-81.9,-243.0,,-92.0,-56.1,,-62.0,334.7,-81.0,-126.9,,-98.5,-78.8,-54.0,5.5,1179.0,-99.0,-88.0,-315.5,-191.0,False,True,True,True,True,True,True,False,True,True,False,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,False,,True,True,True,True,False,True,True,False,False
North Carolina,4605,4571.1,4732.9,4585.3,4561.0,4574.0,4529.0,4630.0,4597.0,4530.6,4450.0,4549.9,4523.9,4558.8,,4394.6,4567.0,4522.0,4574.6,4439.4,4610.0,4410.7,4480.5,4591.1,4452.4,4573.6,4497.0,4589.7,4528.9,,4417.2,4638.1,4502.0,,4426.4,4296.9,,4588.0,3981.8,4548.0,4512.0,,4370.3,4593.6,4526.0,4483.9,4582.9,4618.0,4521.0,4382.1,4603.0,-33.9,127.9,-19.7,-44.0,-31.0,-76.0,25.0,-8.0,-74.4,-155.0,-55.1,-81.1,-46.2,,-210.4,-38.0,-83.0,-30.4,-165.6,5.0,-194.3,-124.5,-13.9,-152.6,-31.4,-108.0,-15.3,-76.1,,-187.8,33.1,-103.0,,-178.6,-308.1,,-17.0,-623.2,-57.0,-93.0,,-234.7,-11.4,-79.0,-121.1,-22.1,13.0,-84.0,-222.9,-2.0,False,True,False,True,False,True,True,False,False,False,False,False,,False,False,False,True,False,True,False,False,True,False,True,False,True,False,,False,True,False,,False,False,,True,False,False,False,,False,True,False,False,True,True,False,False,True
North Dakota,628,552.6,545.4,543.6,581.0,546.0,581.0,532.0,673.0,692.0,580.0,614.6,600.5,636.8,,652.5,600.0,560.0,605.0,683.0,572.0,478.3,583.5,629.5,564.0,562.5,568.0,573.6,586.3,,621.7,597.4,577.0,,,523.2,,598.0,419.6,586.0,551.5,,611.4,582.5,586.0,579.4,555.7,609.0,586.0,507.8,551.0,-75.4,-82.6,-84.4,-47.0,-82.0,-47.0,-96.0,45.0,64.0,-48.0,-13.4,-27.5,8.8,,24.5,-28.0,-68.0,-23.0,55.0,-56.0,-149.7,-44.5,1.5,-64.0,-65.5,-60.0,-54.4,-41.7,,-6.3,-30.6,-51.0,,,-104.8,,-30.0,-208.4,-42.0,-76.5,,-16.6,-45.5,-42.0,-48.6,-72.3,-19.0,-42.0,-120.2,-77.0,False,False,True,False,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,False
Ohio,5506,5464.1,5789.5,5471.6,5418.0,5483.5,5484.0,5884.0,5446.0,5479.7,5476.0,5449.2,5493.0,5629.9,,5575.9,5485.0,5518.0,5392.8,5535.1,5527.0,5526.1,5407.0,5443.0,5364.0,5485.6,5486.0,5550.2,5488.4,5771.0,5407.3,5577.4,5427.0,,5325.9,5198.9,,5513.0,6208.7,5461.0,5444.0,,5206.0,5563.6,5558.0,5458.2,5981.9,5614.0,5455.0,5395.3,,-41.9,283.5,-34.4,-88.0,-22.5,-22.0,378.0,-60.0,-26.3,-30.0,-56.8,-13.0,123.9,,69.9,-21.0,12.0,-113.2,29.1,21.0,20.1,-99.0,-63.0,-142.0,-20.4,-20.0,44.2,-17.6,265.0,-98.7,71.4,-79.0,,-180.1,-307.1,,7.0,702.7,-45.0,-62.0,,-300.0,57.6,52.0,-47.8,475.9,108.0,-51.0,-110.7,,False,True,False,True,True,False,False,True,True,False,True,False,,False,True,True,False,True,True,True,False,False,False,True,True,False,True,False,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,
Oklahoma,1429,1393.9,1460.1,1416.4,1401.0,1411.0,1396.0,1335.0,1395.0,1360.4,1395.0,1393.1,1389.9,1381.3,,1413.9,1397.0,1382.0,1390.2,1372.9,1451.0,1368.0,1387.0,1397.1,1365.3,1423.9,1434.0,1413.5,1416.6,,1355.3,1438.8,1428.0,,,1309.0,,1410.0,1413.5,1409.0,1396.0,,1354.6,1426.0,1389.0,1386.9,1466.9,1417.0,1416.0,1321.0,1405.0,-35.1,31.1,-12.6,-28.0,-18.0,-33.0,-94.0,-34.0,-68.6,-34.0,-35.9,-39.1,-47.7,,-15.1,-32.0,-47.0,-38.8,-56.1,22.0,-61.0,-42.0,-31.9,-63.7,-5.1,5.0,-15.5,-12.4,,-73.7,9.8,-1.0,,,-120.0,,-19.0,-15.5,-20.0,-33.0,,-74.4,-3.0,-40.0,-42.1,37.9,-12.0,-13.0,-108.0,-24.0,True,True,True,True,True,False,True,False,True,False,False,False,,True,True,False,False,False,True,False,False,True,False,True,True,True,True,,False,True,True,,,False,,True,True,True,True,,False,True,False,False,False,True,True,False,True
Oregon,729,714.3,726.3,718.1,722.0,721.0,713.0,709.0,698.0,725.4,695.0,704.0,712.7,715.6,,688.0,706.0,710.0,702.7,699.6,743.0,750.2,709.0,715.4,699.6,702.1,738.0,757.8,714.4,,706.7,714.9,708.0,,,683.6,,722.0,766.6,713.0,716.1,,697.1,768.7,711.0,704.2,733.1,723.0,696.0,685.3,,-14.7,-2.7,-10.9,-7.0,-8.0,-16.0,-20.0,-31.0,-3.6,-34.0,-25.0,-16.3,-13.4,,-41.0,-23.0,-19.0,-26.3,-29.4,14.0,21.2,-20.0,-13.6,-29.4,-26.9,9.0,28.8,-14.6,,-22.3,-14.1,-21.0,,,-45.4,,-7.0,37.6,-16.0,-12.9,,-31.9,39.7,-18.0,-24.8,4.1,-6.0,-33.0,-43.7,,True,True,True,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,True,False,False,True,False,True,,False,True,False,,,False,,True,False,False,True,,False,False,False,False,True,True,False,False,
Pennsylvania,9001,8985.0,9085.7,9026.0,8952.0,9024.1,9025.0,9065.0,9104.0,9050.5,8971.0,9083.9,8953.5,9098.0,,9070.9,8977.0,8962.0,9028.0,9106.8,9018.0,8961.5,8943.0,9104.7,8889.4,9029.9,8911.0,9067.8,8981.8,,9070.3,9075.3,8849.0,,8920.3,8758.2,,9045.0,9091.0,9032.0,8937.0,,8906.6,9083.3,8985.0,8997.6,9700.4,9065.0,9011.5,8825.2,8969.0,-16.0,84.7,25.0,-49.0,23.1,24.0,64.0,103.0,49.5,-30.0,82.9,-47.5,97.0,,69.9,-24.0,-39.0,27.0,105.8,17.0,-39.5,-58.0,103.7,-111.6,28.9,-90.0,66.8,-19.2,,69.3,74.3,-152.0,,-80.7,-242.8,,44.0,90.0,31.0,-64.0,,-94.4,82.3,-16.0,-3.4,699.4,64.0,10.5,-175.8,-32.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,True,False,False
Rhode Island,1224,1223.4,1248.2,1227.9,1220.0,1227.3,1232.0,1214.0,1271.0,1246.4,1228.0,1283.8,1226.8,1219.5,,1211.1,1225.0,1231.0,1231.9,1291.3,1187.0,1217.2,1210.0,1245.9,1207.2,1220.4,1204.0,1230.2,1236.3,,1238.9,1241.8,1235.0,,,1180.0,,1240.0,1333.6,1256.0,1215.6,,1214.0,1243.2,1251.0,1226.0,1281.4,1246.0,1220.0,1164.1,1218.0,-0.6,24.2,3.9,-4.0,3.3,8.0,-10.0,47.0,22.4,4.0,59.8,2.8,-4.5,,-12.9,1.0,7.0,7.9,67.3,-37.0,-6.8,-14.0,21.9,-16.8,-3.6,-20.0,6.2,12.3,,14.9,17.8,11.0,,,-44.0,,16.0,109.6,32.0,-8.4,,-10.0,19.2,27.0,2.0,57.4,22.0,-4.0,-59.9,-6.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
South Carolina,4015,4084.3,4254.2,4130.6,4063.0,4105.0,4022.0,4019.0,4020.0,3923.3,3958.0,4024.2,3997.7,4024.0,,4017.4,4089.0,3992.0,3975.5,3942.8,4092.0,3906.7,4025.0,4066.5,4015.0,4073.2,3972.0,4041.5,4030.7,,3967.2,4011.7,3924.0,,3972.4,3871.7,,4065.0,4665.2,4083.0,4074.7,,3927.0,4059.9,4030.0,4092.4,4073.6,4096.0,4049.0,3974.1,4113.0,69.3,239.2,115.6,48.0,90.0,7.0,4.0,5.0,-91.7,-57.0,9.2,-17.3,9.0,,2.4,74.0,-23.0,-39.5,-72.2,77.0,-108.3,10.0,51.5,-0.0,58.2,-43.0,26.5,15.7,,-47.8,-3.3,-91.0,,-42.6,-143.3,,50.0,650.2,68.0,59.7,,-88.0,44.9,15.0,77.4,58.6,81.0,34.0,-40.9,98.0,False,False,True,False,True,True,True,False,True,True,True,True,,True,False,True,True,False,False,False,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,True,True,,False,True,True,False,True,False,True,True,False
South Dakota,523,471.6,489.1,471.1,457.0,468.0,482.0,428.0,502.0,498.4,475.0,491.7,464.9,487.4,,440.8,415.0,438.0,477.9,479.2,489.0,386.2,454.0,489.0,481.4,473.7,498.0,495.3,486.6,,468.2,492.1,515.0,,,407.4,,493.0,419.4,506.0,466.0,,453.6,508.0,484.0,473.7,482.3,494.0,532.5,407.2,482.0,-51.4,-33.9,-51.9,-66.0,-55.0,-41.0,-95.0,-21.0,-24.6,-48.0,-31.3,-58.1,-35.6,,-82.2,-108.0,-85.0,-45.1,-43.8,-34.0,-136.8,-69.0,-34.0,-41.6,-49.3,-25.0,-27.7,-36.4,,-54.8,-30.9,-8.0,,,-115.6,,-30.0,-103.6,-17.0,-57.0,,-69.4,-15.0,-39.0,-49.3,-40.7,-29.0,9.5,-115.8,-41.0,True,False,False,False,True,False,True,True,True,True,False,True,,False,False,False,True,True,True,False,False,True,True,True,True,True,True,,False,True,True,,,False,,True,False,True,False,,False,True,True,True,True,True,True,False,True
Tennessee,3590,3543.3,3571.0,3501.6,3439.0,3494.0,3506.0,3557.0,3629.0,3622.8,3414.0,3484.1,3464.8,3640.3,,3539.9,3472.0,3458.0,3549.8,3607.9,3538.0,3320.0,3446.5,3604.6,3521.6,3539.9,3420.0,3541.1,3547.1,,3318.6,3564.7,3358.0,,3432.4,3073.0,,3561.0,3394.8,3594.0,3475.7,,3429.8,3551.1,3580.0,3475.4,3386.1,3555.0,3516.0,3299.1,3510.0,-46.7,-19.0,-88.4,-151.0,-96.0,-84.0,-33.0,39.0,32.8,-176.0,-105.9,-125.2,50.3,,-50.1,-118.0,-132.0,-40.2,17.9,-52.0,-270.0,-143.5,14.6,-68.4,-50.1,-170.0,-48.9,-42.9,,-271.4,-25.3,-232.0,,-157.6,-517.0,,-29.0,-195.2,4.0,-114.3,,-160.2,-38.9,-10.0,-114.6,-203.9,-35.0,-74.0,-290.9,-80.0,True,False,False,False,False,True,True,True,False,False,False,False,,False,False,False,True,True,False,False,False,True,False,False,False,False,True,,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,False,False,False
Texas,19252,18865.0,18761.1,18903.9,18908.0,18865.1,18899.0,19346.0,18723.0,18899.1,18693.0,18762.6,18921.4,19571.4,,18402.3,19133.0,18790.0,18924.2,19113.3,18881.0,18684.7,18088.5,19179.1,18610.7,18949.6,18747.0,19150.8,18934.1,,18808.5,19139.7,18526.0,,19188.1,18401.3,21475.0,18954.0,19593.8,19094.0,18846.7,,18749.4,19168.4,19022.0,19047.2,19143.8,18962.0,18746.0,18755.7,18296.0,-300.0,-403.9,-261.1,-257.0,-299.9,-266.0,181.0,-442.0,-265.9,-472.0,-402.4,-243.6,406.4,,-762.7,-32.0,-375.0,-240.8,-51.7,-284.0,-480.3,-1076.5,14.1,-554.3,-215.4,-418.0,-14.2,-230.9,,-356.5,-25.3,-639.0,,23.1,-763.7,2310.0,-211.0,428.8,-71.0,-318.3,,-415.6,3.4,-143.0,-117.8,-21.2,-203.0,-419.0,-409.3,-869.0,False,True,True,True,True,True,False,True,False,False,True,False,,False,True,False,True,True,True,False,False,True,False,True,False,True,True,,False,True,False,,True,False,False,True,False,True,False,,False,True,True,True,True,True,False,False,False
Utah,658,625.9,631.0,622.9,632.0,624.0,639.0,645.0,645.0,732.6,618.0,634.5,631.6,528.2,,641.6,614.0,644.0,650.3,533.3,534.0,632.4,633.0,648.4,650.6,660.0,657.0,646.0,662.9,,639.2,636.4,627.5,,,573.6,,645.0,642.4,644.0,625.5,,647.4,656.4,646.0,615.1,676.9,632.0,636.0,480.2,630.0,-32.1,-27.0,-35.1,-26.0,-34.0,-19.0,-13.0,-13.0,74.6,-40.0,-23.5,-26.4,-129.8,,-16.4,-44.0,-14.0,-7.7,-124.7,-124.0,-25.6,-25.0,-9.6,-7.4,2.0,-1.0,-12.0,4.9,,-18.8,-21.6,-30.5,,,-84.4,,-13.0,-15.6,-14.0,-32.5,,-10.6,-1.6,-12.0,-42.9,18.9,-26.0,-22.0,-177.8,-28.0,True,False,True,False,True,True,True,False,False,True,True,False,,True,False,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,False,True,True,True,False,True
Vermont,59,58.0,58.0,58.0,58.0,58.0,59.0,59.0,58.0,58.2,60.0,59.1,59.2,59.1,,58.9,58.0,58.0,58.0,58.3,60.0,61.9,58.0,58.7,61.0,58.0,73.0,58.0,66.0,,59.3,58.0,58.0,,,58.0,,59.0,60.0,65.0,58.0,,58.0,70.3,59.0,59.1,63.0,58.0,59.0,57.9,,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.8,1.0,0.1,0.2,0.1,,-0.1,-1.0,-1.0,-1.0,-0.7,1.0,2.9,-1.0,-0.3,2.0,-1.0,14.0,-1.0,7.0,,0.3,-1.0,-1.0,,,-1.0,,0.0,1.0,6.0,-1.0,,-1.0,11.3,0.0,0.1,4.0,-1.0,0.0,-1.1,,True,False,False,False,True,True,False,True,False,True,True,True,,True,False,False,False,True,False,False,False,True,False,True,False,True,False,,True,False,False,,,False,,True,False,False,False,,True,False,True,True,False,False,True,False,
Virginia,3704,3844.3,4013.4,3855.3,3832.0,3884.0,3785.0,3865.0,3742.0,3722.7,3672.0,3874.8,3763.3,3777.4,,3579.8,3865.0,3839.0,3743.3,3748.8,3847.0,3780.3,3788.5,3783.3,3733.2,3808.5,3814.0,3853.6,3780.2,,3705.8,3778.8,3860.0,,3785.1,3675.9,,3841.0,3711.8,3805.0,3815.4,,3611.5,3869.3,3783.0,3813.9,3880.5,3855.0,3752.0,3718.9,3874.0,144.3,313.4,155.3,132.0,184.0,85.0,165.0,42.0,22.7,-28.0,174.8,63.3,77.4,,-120.2,165.0,139.0,43.3,48.8,147.0,80.3,88.5,83.3,33.2,108.5,114.0,153.6,80.2,,5.8,78.8,160.0,,85.1,-24.1,,141.0,11.8,105.0,115.4,,-88.5,169.3,83.0,113.9,180.5,155.0,52.0,18.9,174.0,False,False,True,False,True,False,True,True,True,False,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,,True,True,True,True,,True,False,True,True,False,False,True,True,False
Washington,2411,2401.9,2456.7,2410.3,2418.0,2410.0,2410.0,2452.0,2417.0,2406.9,2371.0,2364.9,2396.2,2410.2,,2348.9,2387.0,2452.0,2443.4,2439.1,2418.0,2428.2,2396.5,2425.8,2385.6,2389.5,2417.0,2416.6,2420.1,,2345.9,2424.2,2424.0,,2408.3,2369.1,,2433.0,2432.9,2410.0,2406.5,,2397.1,2412.2,2409.0,2412.3,2511.9,2413.0,2399.0,2366.5,2441.0,-20.1,34.7,-11.7,-4.0,-12.0,-12.0,30.0,-5.0,-15.1,-51.0,-57.1,-25.8,-11.8,,-73.1,-35.0,30.0,21.4,17.1,-4.0,6.2,-25.5,3.8,-36.4,-32.5,-5.0,-5.4,-1.9,,-76.1,2.2,2.0,,-13.7,-52.9,,11.0,10.9,-12.0,-15.5,,-24.9,-9.8,-13.0,-9.7,89.9,-9.0,-23.0,-55.5,19.0,False,True,True,True,True,False,True,True,False,False,False,True,,False,False,False,False,True,True,True,False,True,False,False,True,True,True,,False,True,True,,True,False,,True,True,True,True,,False,True,True,True,False,True,False,False,True
West Virginia,503,467.7,502.6,469.0,475.0,470.0,474.0,474.0,477.0,464.4,477.0,500.4,459.6,475.0,,465.6,465.0,495.0,462.6,492.0,487.0,486.8,466.0,478.3,459.0,460.1,502.0,475.4,,,459.8,478.5,466.0,,,428.9,,481.0,553.1,467.0,467.6,,441.2,486.9,460.0,462.9,493.3,478.0,453.0,453.7,,-35.3,-0.4,-34.0,-28.0,-33.0,-29.0,-29.0,-26.0,-38.6,-26.0,-2.6,-43.4,-28.0,,-37.4,-38.0,-8.0,-40.4,-11.0,-16.0,-16.2,-37.0,-24.7,-44.0,-42.9,-1.0,-27.6,,,-43.2,-24.5,-37.0,,,-74.1,,-22.0,50.1,-36.0,-35.4,,-61.8,-16.1,-43.0,-40.1,-9.7,-25.0,-50.0,-49.3,,True,True,True,True,True,True,True,False,True,True,False,True,,False,False,True,False,True,True,True,False,True,False,False,True,True,,,False,True,False,,,False,,True,False,False,False,,False,True,False,False,True,True,False,False,
Wisconsin,2548,2156.9,2340.5,2162.0,1966.0,2162.0,2162.0,2244.0,2110.0,2124.9,1990.0,2054.7,,2133.2,,2005.7,2022.0,2096.0,2157.9,2120.6,2236.0,2031.7,2119.5,2252.5,2051.1,2186.8,2090.0,2214.5,,2030.0,2031.7,2274.8,2251.0,,1975.2,1869.3,,2194.0,2001.6,2197.0,2091.9,,2049.9,2230.4,2102.0,2210.2,2361.8,2160.0,2223.0,1873.2,2207.0,-88.1,95.5,-83.0,-279.0,-83.0,-83.0,-1.0,-135.0,-120.1,-255.0,-190.3,,-111.8,,-239.3,-223.0,-149.0,-87.1,-124.4,-9.0,-213.3,-125.5,7.5,-193.9,-58.2,-155.0,-30.5,,-215.0,-213.3,29.8,6.0,,-269.8,-375.7,,-51.0,-243.4,-48.0,-153.1,,-195.1,-14.6,-143.0,-34.8,116.8,-85.0,-22.0,-371.8,-38.0,False,True,False,True,True,True,False,False,False,False,,False,,False,False,False,True,False,True,False,False,True,False,True,False,True,,False,False,True,True,,False,False,,True,False,True,False,,False,True,False,True,False,True,True,False,True
Wyoming,114,88.4,123.0,90.8,81.0,90.0,86.0,92.0,84.0,80.4,80.0,83.8,79.0,87.3,,65.4,71.0,77.0,79.7,76.9,112.0,83.7,79.0,86.3,82.9,81.2,110.0,98.2,,,80.7,98.5,78.0,,,60.5,,87.0,91.8,95.0,72.3,,70.0,110.5,85.0,72.9,93.8,91.0,75.0,73.6,86.0,-25.6,9.0,-23.2,-33.0,-24.0,-28.0,-22.0,-30.0,-33.6,-34.0,-30.2,-35.0,-26.7,,-48.6,-43.0,-37.0,-34.3,-37.1,-2.0,-30.3,-35.0,-27.7,-31.1,-32.8,-4.0,-15.8,,,-33.3,-15.5,-36.0,,,-53.5,,-27.0,-22.2,-19.0,-41.7,,-44.0,-3.5,-29.0,-41.1,-20.2,-23.0,-39.0,-40.4,-28.0,True,True,False,True,False,True,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,True,,,False,True,False,,,False,,False,True,True,False,,False,True,False,False,True,True,False,False,False
US,238165,235545.4,238158.3,235883.7,,236094.9,236354.0,237162.0,238476.0,237046.2,234047.0,235800.8,237281.3,,241558.0,234442.7,235598.0,235530.0,236899.4,237764.4,234498.0,233077.2,,238149.6,233040.9,237730.9,235145.0,237056.3,236203.2,,233665.7,237897.7,233560.5,236673.4,235267.9,234752.9,233953.0,238793.0,243302.3,237615.0,235071.6,237871.0,,237649.4,237324.0,236776.4,243336.2,238148.5,235639.5,232520.7,235444.0,-1991.6,621.3,-1653.3,,-1442.1,-1183.0,-375.0,939.0,-490.8,-3490.0,-1736.2,-255.7,,4021.0,-3094.3,-1939.0,-2007.0,-637.6,227.4,-3039.0,-4459.8,,612.6,-4496.1,193.9,-2392.0,-480.7,-1333.8,,-3871.3,360.7,-3976.5,-863.6,-2269.1,-2784.1,-3584.0,1256.0,5765.3,78.0,-2465.4,334.0,,112.4,-213.0,-760.6,5799.2,611.5,-1897.5,-5016.3,-2093.0,True,True,,True,True,True,True,True,False,True,True,,False,False,True,False,True,True,False,False,,True,False,True,False,True,True,,False,True,False,True,False,False,False,True,False,True,False,True,,True,True,True,False,True,True,False,False
