,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,4201,4145.6,4221.0,4151.7,4169.0,4160.5,4160.0,4237.0,4158.1,4103.3,4105.0,4164.0,4167.8,4197.4,,4117.8,4132.0,4159.9,4179.4,4194.0,4214.9,4146.0,4126.4,4156.1,4171.1,4171.0,4190.6,4162.9,,4159.4,4180.3,4140.0,,4121.3,4195.6,4467.0,4171.0,4625.4,4171.0,4131.2,,4203.0,4155.0,4165.8,4183.0,4177.0,4210.8,4218.0,-55.4,20.0,-49.3,-32.0,-40.5,-41.0,36.0,-42.9,-97.7,-96.0,-37.0,-33.2,-3.6,,-83.2,-69.0,-41.1,-21.6,-7.0,13.9,-55.0,-74.6,-44.9,-29.9,-30.0,-10.4,-38.1,,-41.6,-20.7,-61.0,,-79.7,-5.4,266.0,-30.0,424.4,-30.0,-69.8,,2.0,-46.0,-35.2,-18.0,-24.0,9.8,17.0,True,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True,True,False,True,True,True,True,True,,True,True,False,,False,True,False,True,False,True,False,,True,True,True,True,True,True,True
Massachusetts,10129,10117.0,10251.6,10128.5,10080.0,10133.8,10080.0,10160.0,10031.5,10064.8,9948.0,10098.6,10044.6,10029.7,,10076.1,10003.0,10089.2,10122.4,10049.0,9999.2,10227.8,9983.6,10109.0,10141.5,10023.0,10065.2,10042.8,,10039.6,10200.2,9800.0,,9951.9,10113.9,,10136.0,10519.1,10164.0,10000.6,,10083.9,10114.0,10081.7,10222.0,10145.5,10161.5,10051.0,-12.0,122.6,-0.5,-49.0,4.8,-49.0,31.0,-97.5,-64.2,-181.0,-30.4,-84.4,-99.3,,-52.9,-126.0,-39.8,-6.6,-80.0,-129.8,98.8,-145.4,-20.0,12.5,-106.0,-63.8,-86.2,,-89.4,71.2,-329.0,,-177.1,-15.1,,7.0,390.1,35.0,-128.4,,-45.1,-15.0,-47.3,93.0,16.5,32.5,-78.0,False,True,False,True,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,False,False
Michigan,7945,7685.7,8062.7,7697.9,7687.0,7703.8,7698.0,8013.0,7878.8,7580.5,7464.0,7643.0,7858.9,7562.8,,7639.1,7549.0,7678.6,7864.7,7665.1,7761.7,7833.8,7509.5,7734.6,7710.1,7686.0,7783.4,7685.3,7750.0,7461.9,7821.3,7758.5,,7442.5,7673.9,,7694.0,8243.7,7513.0,7594.4,,7792.5,7888.0,7627.8,7842.0,7645.0,7583.2,7636.0,-259.3,117.7,-247.1,-258.0,-241.2,-247.0,68.0,-66.2,-364.5,-481.0,-302.0,-86.1,-382.2,,-305.9,-396.0,-266.4,-80.3,-279.9,-183.3,-111.2,-435.5,-210.4,-234.9,-259.0,-161.6,-259.7,-195.0,-483.1,-123.7,-186.5,,-502.5,-271.1,,-251.0,298.7,-432.0,-350.6,,-152.5,-57.0,-317.2,-103.0,-300.0,-361.8,-309.0,True,True,True,True,True,True,True,False,False,False,True,False,,False,False,False,True,False,True,True,False,True,True,True,True,False,True,False,True,True,,False,False,,True,False,False,False,,True,True,False,True,False,False,False
Minnesota,2679,2552.7,2723.7,2539.8,2340.0,2528.2,2524.0,2525.0,2608.6,2469.9,2522.0,2500.5,2586.8,2515.3,,2537.3,2523.0,2511.8,2568.8,2598.4,2478.0,2573.4,2506.8,2620.5,2480.7,2557.0,2475.6,2553.7,2668.0,2487.2,2615.5,2468.0,,2445.9,2496.2,,2458.0,2889.7,2504.0,2504.8,,2487.9,2622.0,2494.9,2583.0,2663.0,2344.5,2539.0,-126.3,44.7,-139.2,-339.0,-150.8,-155.0,-154.0,-70.4,-209.1,-157.0,-178.5,-92.2,-163.7,,-141.7,-156.0,-167.2,-110.2,-80.6,-201.0,-105.6,-172.2,-58.5,-198.3,-122.0,-203.4,-125.3,-11.0,-191.8,-63.5,-211.0,,-233.1,-182.8,,-221.0,210.7,-175.0,-174.2,,-191.1,-57.0,-184.1,-96.0,-16.0,-334.5,-140.0,True,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,True,True,False,True,False,True,False,True,False,True,True,False,True,False,,False,False,,False,False,False,False,,False,True,False,True,True,False,False
Mississippi,3433,3371.0,3479.9,3395.3,3384.0,3395.8,3396.0,3487.0,3608.0,3406.4,3346.0,3380.9,3370.3,3406.2,,3350.2,3394.0,3462.4,3487.4,3454.1,3303.8,3568.6,3335.8,3369.6,3385.3,3421.0,3292.6,3454.6,,3378.6,3434.3,3280.0,,3417.1,3392.1,,3467.0,3023.2,3343.0,3400.8,,3303.9,3536.0,3449.5,3477.0,3301.0,3393.4,3323.0,-62.0,46.9,-37.7,-49.0,-37.2,-37.0,54.0,175.0,-26.6,-87.0,-52.1,-62.7,-26.8,,-82.8,-39.0,29.4,54.4,21.1,-129.2,135.6,-97.2,-63.4,-47.7,-12.0,-140.4,21.6,,-54.4,1.3,-153.0,,-15.9,-40.9,,34.0,-409.8,-90.0,-32.2,,-129.1,103.0,16.5,44.0,-132.0,-39.6,-110.0,True,True,True,True,True,True,False,True,False,True,False,True,,False,True,True,True,True,False,False,False,False,True,True,False,True,,True,True,False,,True,True,,True,False,False,True,,False,False,True,True,False,True,False
Missouri,3162,3072.0,3235.8,3091.0,3068.0,3051.8,3185.0,3342.0,3404.8,3079.9,2855.0,3160.6,2982.6,3025.4,,2748.7,3236.0,3116.8,3138.9,2985.3,2906.1,3269.9,3079.6,3110.7,3287.3,3107.0,3256.1,3175.7,,3050.6,3285.4,3258.0,,2932.7,3185.3,,3187.0,3143.6,3291.0,2760.8,,3304.7,2998.0,2985.8,3239.0,3446.5,2672.6,3414.0,-90.0,73.8,-71.0,-94.0,-110.2,23.0,180.0,242.8,-82.1,-307.0,-1.4,-179.4,-136.6,,-413.3,74.0,-45.2,-23.1,-176.7,-255.9,107.9,-82.4,-51.3,125.3,-55.0,94.1,13.7,,-111.4,123.4,96.0,,-229.3,23.3,,25.0,-18.4,129.0,-401.2,,142.7,-164.0,-176.2,77.0,284.5,-489.4,252.0,True,True,False,False,True,False,False,True,False,True,False,False,,False,True,True,True,False,False,False,True,True,False,True,False,True,,False,False,False,,False,True,,True,True,False,False,,False,False,False,True,False,False,False
Montana,445,329.6,411.1,327.9,343.0,329.0,330.0,322.0,409.2,310.4,314.0,329.5,342.8,354.6,,316.1,330.0,352.3,424.6,405.3,290.4,379.6,308.5,339.5,296.4,388.0,393.3,378.6,,324.3,371.3,314.0,,,315.8,,376.0,490.8,318.0,313.7,,404.9,395.0,303.6,392.0,309.0,276.5,331.0,-115.4,-33.9,-117.1,-102.0,-116.0,-115.0,-123.0,-35.8,-134.6,-131.0,-115.5,-102.2,-90.4,,-128.9,-115.0,-92.7,-20.4,-39.7,-154.6,-65.4,-136.5,-105.5,-148.6,-57.0,-51.7,-66.4,,-120.7,-73.7,-131.0,,,-129.2,,-69.0,45.8,-127.0,-131.3,,-40.1,-50.0,-141.4,-53.0,-136.0,-168.5,-114.0,True,False,True,False,True,False,True,False,False,False,True,True,,False,True,True,True,True,False,True,False,True,False,True,True,True,,False,True,False,,,False,,True,True,False,False,,True,True,False,True,False,False,True
Nebraska,703,630.9,713.7,623.8,660.0,631.0,646.0,783.0,676.6,626.8,596.0,662.4,656.2,654.9,,693.3,612.0,620.1,705.4,748.4,655.2,673.3,619.8,645.8,616.2,759.0,649.9,695.9,,617.6,669.9,630.0,,,637.3,,654.0,628.2,646.0,573.4,,663.0,670.0,607.6,663.0,646.0,588.3,645.0,-72.1,10.7,-79.2,-43.0,-72.0,-57.0,80.0,-26.4,-76.2,-107.0,-40.6,-46.8,-48.1,,-9.7,-91.0,-82.9,2.4,45.4,-47.8,-29.7,-83.2,-57.2,-86.8,56.0,-53.1,-7.1,,-85.4,-33.1,-73.0,,,-65.7,,-49.0,-74.8,-57.0,-129.6,,-40.0,-33.0,-95.4,-40.0,-57.0,-114.7,-58.0,True,False,True,True,True,False,True,False,False,True,True,True,,True,False,False,True,True,True,True,False,True,False,True,True,True,,False,True,False,,,True,,True,False,True,False,,True,True,False,True,True,False,True
Nevada,1850,1850.0,1927.0,1844.5,1859.0,1850.9,1871.0,1889.0,1901.7,1817.0,1808.0,1835.8,1815.5,1839.6,,1823.3,1837.0,1835.0,1868.9,1873.9,1831.9,1914.5,1831.7,1853.4,1847.0,1830.0,1908.1,1875.5,,1968.5,1889.7,1821.0,,1851.8,1829.3,,1880.0,2024.0,1885.0,1883.5,,1915.1,1884.0,1849.6,1890.0,1804.0,1838.5,1856.0,0.0,77.0,-5.5,9.0,0.9,21.0,39.0,51.7,-33.0,-42.0,-14.2,-34.5,-10.4,,-26.7,-13.0,-15.0,18.9,23.9,-18.1,64.5,-18.3,3.4,-3.0,-20.0,58.1,25.5,,118.5,39.7,-29.0,,1.8,-20.7,,30.0,174.0,35.0,33.5,,65.1,34.0,-0.4,40.0,-46.0,-11.5,6.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False
New Hampshire,489,494.6,499.8,496.0,501.0,499.0,500.0,486.0,540.1,490.6,510.0,507.8,503.0,489.3,,490.7,484.0,484.8,524.6,501.5,487.3,516.6,479.6,487.1,495.2,499.0,478.4,516.5,,488.4,505.7,484.0,,,521.1,,510.0,485.8,517.0,480.7,,493.0,508.0,508.1,519.0,534.0,486.3,493.0,5.6,10.8,7.0,12.0,10.0,11.0,-3.0,51.1,1.6,21.0,18.8,14.0,0.3,,1.7,-5.0,-4.2,35.6,12.5,-1.7,27.6,-9.4,-1.9,6.2,10.0,-10.6,27.5,,-0.6,16.7,-5.0,,,32.1,,21.0,-3.2,28.0,-8.3,,4.0,19.0,19.1,30.0,45.0,-2.7,4.0,False,False,False,False,False,True,False,True,False,False,False,True,,True,True,True,False,False,True,False,False,True,False,False,False,False,,True,False,True,,,False,,False,True,False,False,,True,False,False,False,False,True,True
New Jersey,16425,16316.7,16319.1,16307.1,16318.0,16354.4,16355.0,16622.0,16320.5,16391.4,16382.0,16364.0,16346.0,16430.9,,16224.0,16312.0,16338.8,16527.1,16357.3,16387.4,16371.4,16314.2,16351.7,16665.1,16374.0,16306.8,16369.5,,16367.9,16333.5,16219.0,,16259.6,16310.5,,16354.0,18785.8,16363.0,16287.1,,16317.8,16356.0,16848.4,16339.0,16485.5,16723.3,16522.0,-108.3,-105.9,-117.9,-107.0,-70.6,-70.0,197.0,-104.5,-33.6,-43.0,-61.0,-79.0,5.9,,-201.0,-113.0,-86.2,102.1,-67.7,-37.6,-53.6,-110.8,-73.3,240.1,-51.0,-118.2,-55.5,,-57.1,-91.5,-206.0,,-165.4,-114.5,,-71.0,2360.8,-62.0,-137.9,,-107.2,-69.0,423.4,-86.0,60.5,298.3,97.0,True,False,True,True,True,False,True,True,True,True,True,True,,False,False,True,True,True,True,True,False,True,False,True,False,True,,True,True,False,,False,False,,True,False,True,False,,True,True,False,True,True,False,True
New Mexico,1104,999.7,1032.4,996.5,1010.0,995.0,1017.0,1125.0,1130.9,1030.7,966.0,1010.6,,1032.0,,985.0,983.0,1027.7,1099.7,1039.5,1018.3,1100.0,1017.5,1020.7,1032.3,1018.0,1001.9,1044.1,,1022.6,1034.0,959.0,,,977.7,,1054.0,1186.6,1081.0,981.0,,1014.9,1079.0,1007.5,1084.0,998.0,980.5,1005.0,-104.3,-71.6,-107.5,-94.0,-109.0,-87.0,21.0,26.9,-73.3,-138.0,-93.4,,-72.0,,-119.0,-121.0,-76.3,-4.3,-64.5,-85.7,-4.0,-86.5,-83.3,-71.7,-86.0,-102.1,-59.9,,-81.4,-70.0,-145.0,,,-126.3,,-50.0,82.6,-23.0,-123.0,,-89.1,-25.0,-96.5,-20.0,-106.0,-123.5,-99.0,True,False,True,False,True,True,True,True,False,True,,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,,False,,True,True,True,False,,True,True,True,True,False,False,True
New York,33884,33537.0,33465.9,33520.2,33598.0,33566.4,33587.0,33682.0,33758.3,33737.3,33591.0,33573.3,33470.8,33625.8,,33622.1,33528.0,33635.3,33923.0,33608.8,33672.8,33754.9,33480.1,33610.7,34472.4,33723.0,33517.2,33584.1,,33592.5,33558.1,33348.0,,33540.5,33590.3,,33587.0,33903.2,33553.0,33482.6,,33520.2,33644.0,33741.0,33691.0,33605.0,34340.7,33458.0,-145.0,-216.1,-161.8,-84.0,-115.6,-95.0,0.0,76.3,55.3,-91.0,-108.7,-211.2,-56.2,,-59.9,-154.0,-46.7,241.0,-73.2,-9.2,72.9,-201.9,-71.3,790.4,41.0,-164.8,-97.9,,-89.5,-123.9,-334.0,,-141.5,-91.7,,-95.0,221.2,-129.0,-199.4,,-161.8,-38.0,59.0,9.0,-77.0,658.7,-224.0,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,True,False,True,True,True,False,True,False,True,False,True,,True,True,False,,True,True,,True,False,True,False,,False,True,True,True,True,False,False
North Carolina,4605,4402.6,4827.9,4417.6,4376.0,4421.1,4414.0,4652.0,4758.3,4370.7,4234.0,4403.7,4471.8,4569.0,,4350.0,4279.0,4560.4,4411.1,4538.8,4394.9,4576.0,4335.0,4411.2,4424.5,4432.0,4633.2,4456.8,,4212.2,4536.5,4318.0,,4284.2,4405.3,,4457.0,3640.9,4414.0,4353.3,,4628.5,4496.0,4402.1,4603.0,4236.0,4253.9,4548.0,-202.4,222.9,-187.4,-229.0,-183.9,-191.0,47.0,153.3,-234.3,-371.0,-201.3,-133.2,-36.0,,-255.0,-326.0,-44.6,-193.9,-66.2,-210.1,-29.0,-270.0,-193.8,-180.5,-173.0,28.2,-148.2,,-392.8,-68.5,-287.0,,-320.8,-199.7,,-148.0,-964.1,-191.0,-251.7,,23.5,-109.0,-202.9,-2.0,-369.0,-351.1,-57.0,False,True,False,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,False,True,False,True,True,True,True,True,,False,True,False,,False,True,,True,False,True,False,,True,True,False,True,False,False,True
North Dakota,628,595.4,663.2,599.7,597.0,588.0,603.0,508.0,746.0,584.9,478.0,628.8,671.9,588.5,,635.7,538.0,618.2,582.6,613.0,446.5,658.1,596.1,603.1,520.9,556.0,678.3,607.3,,643.4,660.7,594.0,,,561.6,,585.0,340.6,633.0,530.1,,689.4,640.0,760.4,672.0,654.0,480.0,618.0,-32.6,35.2,-28.3,-31.0,-40.0,-25.0,-120.0,118.0,-43.1,-150.0,0.8,43.9,-39.5,,7.7,-90.0,-9.8,-45.4,-15.0,-181.5,30.1,-31.9,-24.9,-107.1,-72.0,50.3,-20.7,,15.4,32.7,-34.0,,,-66.4,,-43.0,-287.4,5.0,-97.9,,61.4,12.0,132.4,44.0,26.0,-148.0,-10.0,False,True,True,False,True,False,False,False,False,True,False,False,,True,False,True,False,True,False,True,True,True,False,False,False,True,,True,False,False,,,False,,False,False,True,False,,False,True,False,False,True,False,True
Ohio,5506,5261.3,5220.0,5294.8,5266.0,5280.1,5428.0,5962.0,5505.2,5450.6,5331.0,5345.2,5445.4,5511.9,,5575.9,5485.0,5387.9,5766.1,5481.0,5546.9,5427.2,5311.9,5331.4,5583.9,5450.0,5556.5,5445.7,5586.0,5307.8,5419.4,5359.0,,5406.6,5229.0,,5388.0,6219.8,5350.0,5315.7,,5551.0,5606.0,5433.2,5342.0,5323.0,5339.9,5287.0,-244.7,-286.0,-211.2,-240.0,-225.9,-78.0,456.0,-0.8,-55.4,-175.0,-160.8,-60.6,5.9,,69.9,-21.0,-118.1,260.1,-25.0,40.9,-78.8,-194.1,-174.6,77.9,-56.0,50.5,-60.3,80.0,-198.2,-86.6,-147.0,,-99.4,-277.0,,-118.0,713.8,-156.0,-190.3,,45.0,100.0,-72.8,-164.0,-183.0,-166.1,-219.0,False,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,True,True
Oklahoma,1429,1379.6,1523.8,1364.2,1400.0,1363.0,1350.0,1298.0,1305.2,1276.7,1232.0,1352.1,1349.4,1355.4,,1283.3,1349.0,1346.5,1305.8,1458.7,1359.5,1357.0,1279.7,1375.6,1328.1,1440.0,1375.5,1372.4,,1232.2,1387.8,1284.0,,,1373.5,,1357.0,1976.6,1333.0,1348.9,,1388.6,1376.0,1326.9,1379.0,1388.0,1280.4,1340.0,-49.4,94.8,-64.8,-29.0,-66.0,-79.0,-131.0,-123.8,-152.3,-197.0,-76.9,-79.6,-73.6,,-145.7,-80.0,-82.5,-123.2,29.7,-69.5,-72.0,-149.3,-53.4,-100.9,11.0,-53.5,-56.6,,-196.8,-41.2,-145.0,,,-55.5,,-72.0,547.6,-96.0,-80.1,,-40.4,-53.0,-102.1,-50.0,-41.0,-148.6,-89.0,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,True,False,,,False,,False,False,False,False,,True,False,False,False,True,False,False
Oregon,729,680.0,673.1,674.2,697.0,679.0,693.0,703.0,723.9,707.3,648.0,695.6,706.1,695.4,,711.2,672.0,697.5,728.8,730.7,768.9,716.1,672.3,680.5,679.6,739.0,708.4,707.8,,692.3,693.1,673.0,,,680.6,,703.0,746.2,676.0,684.6,,719.0,701.0,687.3,694.0,663.0,669.2,687.0,-49.0,-55.9,-54.8,-32.0,-50.0,-36.0,-26.0,-5.1,-21.7,-81.0,-33.4,-22.9,-33.6,,-17.8,-57.0,-31.5,-0.2,1.7,39.9,-12.9,-56.7,-48.5,-49.4,10.0,-20.6,-21.2,,-36.7,-35.9,-56.0,,,-48.4,,-26.0,17.2,-53.0,-44.4,,-10.0,-28.0,-41.7,-35.0,-66.0,-59.8,-42.0,False,False,True,False,True,True,True,True,False,True,True,True,,True,False,True,True,True,True,True,False,True,False,True,True,True,,True,True,False,,,True,,True,True,False,True,,True,True,True,True,False,False,True
Pennsylvania,9001,8850.7,8885.3,8825.5,8947.0,8798.1,8872.0,9004.0,9107.5,8823.7,8744.0,9003.1,8776.7,8772.5,,8943.4,8782.0,8908.5,9124.3,8886.5,8939.4,9045.4,8766.0,8874.3,9127.3,8840.0,8864.6,8860.4,,9059.6,8949.9,8768.0,,8791.4,8798.1,,8945.0,8536.4,9063.0,8698.6,,8875.9,8936.0,8870.8,8964.0,8930.5,8863.9,8822.0,-150.3,-115.7,-175.5,-54.0,-202.9,-129.0,3.0,106.5,-177.3,-257.0,2.1,-224.3,-228.5,,-57.6,-219.0,-92.5,123.3,-114.5,-61.6,44.4,-235.0,-126.7,126.3,-161.0,-136.4,-140.6,,58.6,-51.1,-233.0,,-209.6,-202.9,,-56.0,-464.6,62.0,-302.4,,-125.1,-65.0,-130.2,-37.0,-70.5,-137.1,-179.0,True,False,True,False,True,True,True,False,False,True,False,False,,True,False,True,True,True,True,True,False,True,True,False,True,True,,True,True,False,,False,False,,True,False,True,False,,True,True,True,True,True,True,False
Rhode Island,1224,1214.9,1319.9,1220.6,1192.0,1220.3,1211.0,1207.0,1247.1,1183.3,1176.0,1267.6,1201.1,1222.8,,1162.7,1187.0,1204.2,1237.6,1167.8,1211.8,1222.2,1184.3,1187.3,1210.5,1182.0,1161.3,1213.3,,1219.9,1218.9,1182.0,,,1192.2,,1223.0,1447.6,1241.0,1164.9,,1176.3,1244.0,1209.2,1240.0,1209.0,1143.7,1211.0,-9.1,95.9,-3.4,-32.0,-3.7,-13.0,-17.0,23.1,-40.7,-48.0,43.6,-22.9,-1.2,,-61.3,-37.0,-19.8,13.6,-56.2,-12.2,-1.8,-39.7,-36.7,-13.5,-42.0,-62.7,-10.7,,-4.1,-5.1,-42.0,,,-31.8,,-1.0,223.6,17.0,-59.1,,-47.7,20.0,-14.8,16.0,-15.0,-80.3,-13.0,False,True,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,,True,True,False,,,False,,True,False,False,False,,False,False,False,False,False,False,False
South Carolina,4015,3930.0,3914.4,3890.6,3879.0,3895.0,3912.0,4006.0,3851.0,3817.4,3882.0,3942.3,3920.4,3916.2,,4015.9,3835.0,3927.6,3886.8,3942.7,3808.5,3952.1,3878.5,3917.7,3877.6,3909.0,3900.6,3952.5,,3838.7,3956.4,3791.0,,3969.7,3924.2,,3931.0,4845.4,3953.0,3911.9,,3913.0,3968.0,3980.4,3908.0,3849.5,3890.7,3894.0,-85.0,-100.6,-124.4,-136.0,-120.0,-103.0,-9.0,-164.0,-197.6,-133.0,-72.7,-94.6,-98.8,,0.9,-180.0,-87.4,-128.2,-72.3,-206.5,-62.9,-136.5,-97.3,-137.4,-106.0,-114.4,-62.5,,-176.3,-58.6,-224.0,,-45.3,-90.8,,-84.0,830.4,-62.0,-103.1,,-102.0,-47.0,-34.6,-107.0,-165.5,-124.3,-121.0,False,False,False,False,False,True,False,False,False,True,False,False,,True,False,False,False,True,False,True,False,False,False,False,False,True,,False,True,False,,True,False,,True,False,True,False,,False,True,True,False,False,False,False
South Dakota,523,428.7,424.2,402.5,428.0,402.0,438.0,389.0,565.3,454.1,403.0,505.6,418.4,450.0,,497.6,370.0,448.1,513.7,482.5,346.0,479.7,426.4,436.7,392.8,473.0,438.4,461.8,,402.5,439.3,463.0,,,405.1,,447.0,361.5,502.0,371.0,,451.3,465.0,418.3,464.0,524.5,359.9,437.0,-94.3,-98.8,-120.5,-95.0,-121.0,-85.0,-134.0,42.3,-68.9,-120.0,-17.4,-104.6,-73.0,,-25.4,-153.0,-74.9,-9.3,-40.5,-177.0,-43.3,-96.6,-86.3,-130.2,-50.0,-84.6,-61.2,,-120.5,-83.7,-60.0,,,-117.9,,-76.0,-161.5,-21.0,-152.0,,-71.7,-58.0,-104.7,-59.0,1.5,-163.1,-86.0,False,False,False,False,True,False,True,True,False,True,False,True,,True,False,True,True,True,False,True,False,True,False,True,True,True,,False,True,True,,,False,,True,False,True,False,,True,True,False,True,True,False,True
Tennessee,3590,3314.7,3349.1,3329.3,3317.0,3338.0,3402.0,3431.0,3749.1,3410.9,3273.0,3444.5,3339.5,3526.4,,3844.6,3322.0,3533.1,3741.0,3394.7,3239.6,3449.9,3376.2,3394.0,3283.9,3403.0,3550.0,3432.2,,3238.3,3437.0,3284.0,,3462.8,3358.9,,3491.0,3610.0,3473.0,3355.4,,3541.4,3404.0,3458.6,3418.0,3282.5,3151.3,3400.0,-275.3,-240.9,-260.7,-273.0,-252.0,-188.0,-159.0,159.1,-179.1,-317.0,-145.5,-250.5,-63.6,,254.6,-268.0,-56.9,151.0,-195.3,-350.4,-140.1,-213.8,-196.0,-306.1,-187.0,-40.0,-157.8,,-351.7,-153.0,-306.0,,-127.2,-231.1,,-99.0,20.0,-117.0,-234.6,,-48.6,-186.0,-131.4,-172.0,-307.5,-438.7,-190.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,True,,False,True,False,,True,True,,True,True,True,True,,True,True,True,True,False,False,True
