,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1104,1076.6,1070.0,1071.3,1060.0,1071.0,1072.0,1102.0,1081.3,1067.0,1068.1,1050.0,1064.2,1080.6,1090.0,1076.9,,1065.0,1062.0,1072.7,1062.7,1067.0,1048.6,1057.0,1083.5,1079.0,1078.0,1069.0,1075.0,1079.2,,1067.7,1078.9,1061.0,,,1050.3,,1080.0,1534.8,1092.0,1072.4,,1067.7,1079.1,1081.0,1062.1,1079.0,1072.6,1080.0,1044.2,1114.0,-27.4,-34.0,-32.7,-44.0,-33.0,-32.0,-2.0,-22.7,-37.0,-35.9,-54.0,-39.8,-23.4,-14.0,-27.1,,-39.0,-42.0,-31.3,-41.3,-37.0,-55.4,-47.0,-20.5,-25.0,-26.0,-35.0,-29.0,-24.8,,-36.3,-25.1,-43.0,,,-53.7,,-24.0,430.8,-12.0,-31.6,,-36.3,-24.9,-23.0,-41.9,-25.0,-31.4,-24.0,-59.8,10.0,False,False,False,False,False,True,True,False,False,False,False,True,True,True,,False,False,False,False,False,False,False,True,True,True,False,False,True,,False,True,False,,,False,,True,False,True,False,,False,True,True,False,True,False,True,False,True
New York,33884,33631.9,33597.5,33607.5,33622.0,33604.0,33606.0,33690.0,33637.1,33579.0,33646.0,33691.0,33602.4,33587.2,33552.7,33602.0,,33558.0,33648.0,33594.4,33570.9,33606.0,33627.9,33621.0,33612.6,33597.5,33642.4,33647.0,33611.2,33609.2,,33610.2,33631.9,33565.0,,33560.9,33506.6,,33607.0,34212.6,33616.0,33546.2,,33582.9,33618.4,33611.0,33638.5,33613.0,33593.9,33664.0,33451.2,33534.0,-35.1,-69.5,-59.5,-45.0,-63.0,-61.0,23.0,-29.9,-88.0,-21.0,24.0,-64.6,-79.8,-114.3,-65.0,,-109.0,-19.0,-72.6,-96.1,-61.0,-39.1,-46.0,-54.4,-69.5,-24.6,-20.0,-55.8,-57.8,,-56.8,-35.1,-102.0,,-106.1,-160.4,,-60.0,545.6,-51.0,-120.8,,-84.1,-48.6,-56.0,-28.5,-54.0,-73.1,-3.0,-215.8,-133.0,False,False,False,False,False,True,True,False,True,True,False,False,False,False,,False,True,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,True,False,False
North Carolina,4605,4576.7,4658.7,4614.8,4577.0,4612.0,4592.0,4645.0,4586.4,4601.0,4554.3,4526.0,4577.8,4595.4,4626.2,4570.1,,4622.0,4567.0,4612.3,4494.3,4610.0,4495.1,4567.0,4631.0,4654.0,4594.7,4580.0,4642.6,4607.0,,4488.1,4626.5,4578.0,,4569.4,4448.7,,4610.0,4346.8,4586.0,4608.1,,4661.1,4644.7,4565.0,4567.6,4619.0,4593.5,4570.0,4504.1,4592.0,-28.3,53.7,9.8,-28.0,7.0,-13.0,40.0,-18.6,-4.0,-50.7,-79.0,-27.2,-9.6,21.2,-34.9,,17.0,-38.0,7.3,-110.7,5.0,-109.9,-38.0,26.0,49.0,-10.3,-25.0,37.6,2.0,,-116.9,21.5,-27.0,,-35.6,-156.3,,5.0,-258.2,-19.0,3.1,,56.1,39.7,-40.0,-37.4,14.0,-11.5,-35.0,-100.9,-13.0,False,True,True,True,True,False,True,True,False,False,True,True,True,False,,True,False,True,False,True,False,False,True,False,True,True,False,True,,False,True,True,,False,False,,True,False,True,True,,False,False,False,False,True,True,False,False,True
North Dakota,628,595.3,582.2,596.7,593.0,600.0,600.0,568.0,596.0,610.0,635.4,579.0,610.7,612.0,627.0,621.4,,600.0,593.0,619.5,580.6,594.0,539.1,601.0,616.0,595.0,609.2,593.0,604.1,600.8,,618.7,617.1,586.0,,,521.5,,592.0,556.3,586.0,595.2,,623.0,608.0,601.0,598.3,606.0,599.0,595.0,563.1,601.0,-32.7,-45.8,-31.3,-35.0,-28.0,-28.0,-60.0,-32.0,-18.0,7.4,-49.0,-17.3,-16.0,-1.0,-6.6,,-28.0,-35.0,-8.5,-47.4,-34.0,-88.9,-27.0,-12.0,-33.0,-18.8,-35.0,-23.9,-27.2,,-9.3,-10.9,-42.0,,,-106.5,,-36.0,-71.7,-42.0,-32.8,,-5.0,-20.0,-27.0,-29.7,-22.0,-29.0,-33.0,-64.9,-27.0,False,True,False,True,True,False,True,True,True,False,True,True,True,True,,True,False,True,False,False,False,True,True,False,True,False,True,True,,True,True,False,,,False,,False,False,False,False,,True,True,True,True,True,True,False,False,True
Ohio,5506,5386.1,5536.0,5415.5,5425.0,5396.0,5432.0,5736.0,5451.7,5430.0,5388.2,5434.0,5392.4,5413.9,5417.5,5480.4,,5405.0,5501.0,5387.2,5477.2,5424.0,5434.9,5401.0,5458.8,5443.0,5447.9,5473.0,5425.8,5437.0,5661.0,5380.7,5425.0,5433.0,,5421.1,5443.6,,5442.0,5533.9,5433.0,5385.9,,5486.5,5426.5,5468.0,5420.3,5428.0,5399.7,5490.0,5398.2,5546.0,-119.9,30.0,-90.5,-81.0,-110.0,-74.0,230.0,-54.3,-76.0,-117.8,-72.0,-113.6,-92.1,-88.5,-25.6,,-101.0,-5.0,-118.8,-28.8,-82.0,-71.1,-105.0,-47.2,-63.0,-58.1,-33.0,-80.2,-69.0,155.0,-125.3,-81.0,-73.0,,-84.9,-62.4,,-64.0,27.9,-73.0,-120.1,,-19.5,-79.5,-38.0,-85.7,-78.0,-106.3,-16.0,-107.8,40.0,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,,True,True,True,False,,True,True,True,True,True,True,True,True,True
Oklahoma,1429,1427.3,1444.8,1430.5,1424.0,1429.0,1425.0,1381.0,1427.5,1427.0,1421.1,1420.0,1425.4,1411.5,1453.5,1422.8,,1423.0,1437.0,1415.1,1370.3,1435.0,1398.1,1419.0,1426.7,1448.0,1429.5,1452.0,1426.4,1434.6,,1401.5,1442.0,1419.0,,,1341.6,,1426.0,1413.1,1423.0,1427.0,,1442.8,1430.0,1412.0,1424.9,1430.0,1425.1,1437.0,1385.6,1429.0,-1.7,15.8,1.5,-5.0,0.0,-4.0,-48.0,-1.5,-2.0,-7.9,-9.0,-3.6,-17.5,24.5,-6.2,,-6.0,8.0,-13.9,-58.7,6.0,-30.9,-10.0,-2.3,19.0,0.5,23.0,-2.6,5.6,,-27.5,13.0,-10.0,,,-87.4,,-3.0,-15.9,-6.0,-2.0,,13.8,1.0,-17.0,-4.1,1.0,-3.9,8.0,-43.4,0.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,True,False,False,True,False,False,False,True
Oregon,729,723.6,726.0,724.6,717.0,725.0,723.0,723.0,723.2,722.0,722.7,713.0,720.1,722.0,760.2,721.4,,725.0,717.0,716.9,712.0,727.0,734.7,719.0,726.6,742.0,720.0,736.0,723.9,724.7,,703.3,725.0,715.0,,,692.4,,724.0,740.0,719.0,713.9,,731.6,727.7,723.0,717.9,728.0,724.8,720.0,708.3,730.0,-5.4,-3.0,-4.4,-12.0,-4.0,-6.0,-6.0,-5.8,-7.0,-6.3,-16.0,-8.9,-7.0,31.2,-7.6,,-4.0,-12.0,-12.1,-17.0,-2.0,5.7,-10.0,-2.4,13.0,-9.0,7.0,-5.1,-4.3,,-25.7,-4.0,-14.0,,,-36.6,,-5.0,11.0,-10.0,-15.1,,2.6,-1.3,-6.0,-11.1,-1.0,-4.2,-9.0,-20.7,1.0,True,True,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,False,False,True,False,False,False,True,True,,False,True,False,,,False,,True,False,False,False,,True,True,False,False,True,True,False,False,True
Pennsylvania,9001,8936.7,9020.5,8979.8,8972.0,8964.0,8981.0,9058.0,8991.1,9035.0,9052.0,8960.0,8969.7,8995.7,8969.2,9042.9,,8960.0,9002.0,9016.2,9003.6,8963.0,8927.0,8965.0,9030.4,8980.0,8970.9,8962.0,8993.1,8975.2,,9016.8,8986.6,8960.0,,8967.2,8883.5,,9001.0,8946.7,8975.0,8944.6,,8999.6,8996.4,8976.0,8979.4,8991.0,8986.4,8948.0,8899.1,8953.0,-64.3,19.5,-21.2,-29.0,-37.0,-20.0,57.0,-9.9,34.0,51.0,-41.0,-31.3,-5.3,-31.8,41.9,,-41.0,1.0,15.2,2.6,-38.0,-74.0,-36.0,29.4,-21.0,-30.1,-39.0,-7.9,-25.8,,15.8,-14.4,-41.0,,-33.8,-117.5,,0.0,-54.3,-26.0,-56.4,,-1.4,-4.6,-25.0,-21.6,-10.0,-14.6,-53.0,-101.9,-48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,True,True,True,,True,True,True,True,True,True,True,False,True
Rhode Island,1224,1221.6,1232.1,1225.4,1227.0,1225.0,1230.0,1231.0,1214.6,1245.0,1260.7,1229.0,1249.7,1221.4,1235.4,1227.2,,1223.0,1232.0,1235.7,1249.8,1203.0,1220.9,1222.0,1240.4,1236.0,1222.9,1218.0,1225.2,1234.2,,1233.2,1228.7,1220.0,,,1202.7,,1237.0,1280.3,1233.0,1222.3,,1232.5,1229.2,1230.0,1227.0,1236.0,1226.1,1222.0,1183.6,1226.0,-2.4,8.1,1.4,3.0,1.0,6.0,7.0,-9.4,21.0,36.7,5.0,25.7,-2.6,11.4,3.2,,-1.0,8.0,11.7,25.8,-21.0,-3.1,-2.0,16.4,12.0,-1.1,-6.0,1.2,10.2,,9.2,4.7,-4.0,,,-21.3,,13.0,56.3,9.0,-1.7,,8.5,5.2,6.0,3.0,12.0,2.1,-2.0,-40.4,2.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,True,False,False,True,False,True,False,,False,False,False,,,False,,False,False,False,True,,False,False,False,False,False,True,True,False,True
South Carolina,4015,4050.9,4143.9,4074.5,4066.0,4077.0,4064.0,4061.0,4060.3,4122.0,4051.8,4013.0,4035.0,4061.3,4145.2,4058.1,,4082.0,4070.0,4031.5,4045.0,4066.0,3985.2,4058.5,4064.1,4114.0,4048.9,4036.0,4063.8,4059.1,,4008.5,4060.3,4021.0,,4070.1,4101.7,,4075.0,4190.9,4064.0,4068.6,,4140.2,4068.7,4045.0,4074.5,4084.0,4065.9,4048.0,4022.1,4072.0,35.9,128.9,59.5,51.0,62.0,49.0,46.0,45.3,107.0,36.8,-2.0,20.0,46.3,130.2,43.1,,67.0,55.0,16.5,30.0,51.0,-29.8,43.5,49.1,99.0,33.9,21.0,48.8,44.1,,-6.5,45.3,6.0,,55.1,86.7,,60.0,175.9,49.0,53.6,,125.2,53.7,30.0,59.5,69.0,50.9,33.0,7.1,57.0,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,True,True,False,True,False,False,False,True,True,False,False,,True,False,True,,False,False,,False,False,False,False,,False,False,True,False,False,False,True,True,False
South Dakota,523,490.1,499.9,484.7,482.0,484.0,494.0,467.0,479.9,498.0,495.3,487.0,506.5,486.5,503.7,494.9,,480.0,481.0,489.9,473.4,492.0,435.5,477.0,496.7,494.0,499.9,504.0,494.6,497.0,,493.6,503.2,499.0,,,478.4,,494.0,455.1,510.0,478.3,,489.8,498.7,496.0,493.3,495.0,485.6,526.0,457.9,497.0,-32.9,-23.1,-38.3,-41.0,-39.0,-29.0,-56.0,-43.1,-25.0,-27.7,-36.0,-16.5,-36.5,-19.3,-28.1,,-43.0,-42.0,-33.1,-49.6,-31.0,-87.5,-46.0,-26.3,-29.0,-23.1,-19.0,-28.4,-26.0,,-29.4,-19.8,-24.0,,,-44.6,,-29.0,-67.9,-13.0,-44.7,,-33.2,-24.3,-27.0,-29.7,-28.0,-37.4,3.0,-65.1,-26.0,True,False,False,False,True,False,False,True,True,False,True,False,True,True,,False,False,False,False,True,False,False,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,False,True,True,True,True,False,True,False,True
Tennessee,3590,3543.3,3590.0,3597.5,3605.0,3606.0,3578.0,3594.0,3571.4,3642.0,3586.4,3496.0,3554.8,3566.3,3612.3,3625.1,,3577.0,3544.0,3611.5,3524.1,3549.0,3463.6,3581.5,3616.2,3556.5,3551.7,3546.0,3627.0,3565.8,,3466.9,3580.7,3533.0,,3568.8,3752.2,,3624.0,2910.5,3491.0,3618.1,,3577.8,3633.2,3578.0,3552.3,3635.0,3573.0,3539.0,3424.8,3593.0,-46.7,0.0,7.5,15.0,16.0,-12.0,4.0,-18.6,52.0,-3.6,-94.0,-35.2,-23.7,22.3,35.1,,-13.0,-46.0,21.5,-65.9,-41.0,-126.4,-8.5,26.2,-33.5,-38.3,-44.0,37.0,-24.2,,-123.1,-9.3,-57.0,,-21.2,162.2,,34.0,-679.5,-99.0,28.1,,-12.2,43.2,-12.0,-37.7,45.0,-17.0,-51.0,-165.2,3.0,True,True,True,True,True,True,True,False,True,False,True,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,,False,True,False,,True,False,,True,False,False,True,,True,True,True,True,True,True,False,False,True
Texas,19252,18970.9,18942.0,19000.0,18994.0,19015.0,19022.0,19274.0,18941.0,19122.0,18950.9,18846.0,18913.7,19202.5,19033.0,19332.2,,19088.0,19041.0,19028.7,19006.3,18987.0,18818.9,18666.5,19086.5,19029.0,19005.4,18896.0,19140.4,19017.6,,18938.2,19079.0,19230.0,,19028.6,18577.7,20023.0,19035.0,19181.0,18986.0,19048.7,,18900.7,19136.9,19010.0,19054.9,19113.0,18963.7,18921.0,18893.0,18541.0,-181.1,-210.0,-152.0,-158.0,-137.0,-130.0,122.0,-211.0,-30.0,-201.1,-306.0,-238.3,50.5,-119.0,180.2,,-64.0,-111.0,-123.3,-145.7,-165.0,-333.1,-485.5,-65.5,-123.0,-146.6,-256.0,-11.6,-134.4,,-213.8,-73.0,78.0,,-123.4,-574.3,871.0,-117.0,29.0,-166.0,-103.3,,-251.3,-15.1,-142.0,-97.1,-39.0,-188.3,-231.0,-259.0,-611.0,False,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,True,True,True,True,False,False,True,True,True,False,True,True,,False,True,True,,True,False,False,True,True,True,True,,False,True,True,True,True,False,False,False,False
Utah,658,650.0,645.1,639.9,644.0,640.0,645.0,649.0,651.6,625.0,689.6,633.0,658.6,639.2,644.6,505.6,,635.0,649.0,645.1,500.8,499.0,631.3,639.0,642.6,638.0,676.4,658.0,646.4,655.0,,648.9,653.3,645.0,,,608.3,,641.0,651.2,653.0,643.1,,648.4,650.2,652.0,631.2,645.0,639.1,655.0,494.1,652.0,-8.0,-12.9,-18.1,-14.0,-18.0,-13.0,-9.0,-6.4,-33.0,31.6,-25.0,0.6,-18.8,-13.4,-152.4,,-23.0,-9.0,-12.9,-157.2,-159.0,-26.7,-19.0,-15.4,-20.0,18.4,0.0,-11.6,-3.0,,-9.1,-4.7,-13.0,,,-49.7,,-17.0,-6.8,-5.0,-14.9,,-9.6,-7.8,-6.0,-26.8,-13.0,-18.9,-3.0,-163.9,-6.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,True,,False,True,False,,,False,,False,True,True,False,,False,True,True,False,False,False,True,False,True
Vermont,59,58.0,58.0,58.0,58.0,58.0,58.0,59.0,58.3,58.0,58.1,59.0,58.6,,58.0,58.7,,58.0,58.0,58.0,58.2,59.0,60.4,58.0,58.4,58.0,58.0,67.0,58.0,62.3,,58.7,58.0,58.0,,,58.0,,59.0,58.7,61.0,58.0,,58.0,62.0,58.0,58.5,58.0,58.2,59.0,57.9,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.7,-1.0,-0.9,0.0,-0.4,,-1.0,-0.3,,-1.0,-1.0,-1.0,-0.8,0.0,1.4,-1.0,-0.6,-1.0,-1.0,8.0,-1.0,3.3,,-0.3,-1.0,-1.0,,,-1.0,,0.0,-0.3,2.0,-1.0,,-1.0,3.0,-1.0,-0.5,-1.0,-0.8,0.0,-1.1,,False,False,False,False,False,True,True,False,True,True,True,,False,True,,False,False,False,True,True,False,False,True,False,False,False,True,False,,True,False,False,,,False,,True,True,False,True,,True,False,False,True,False,True,True,False,
Virginia,3704,3720.1,3850.8,3737.1,3771.0,3730.0,3747.0,3827.0,3746.4,3755.0,3704.7,3705.0,3725.7,3762.6,3750.4,3749.9,,3749.0,3800.0,3732.2,3767.3,3766.0,3742.1,3750.0,3766.7,3746.0,3739.9,3785.0,3745.2,3744.5,,3717.9,3741.0,3788.0,,3800.9,3774.3,,3761.0,3662.3,3747.0,3715.6,,3863.1,3747.3,3752.0,3757.4,3771.0,3755.9,3722.0,3728.6,3757.0,16.1,146.8,33.1,67.0,26.0,43.0,123.0,42.4,51.0,0.7,1.0,21.7,58.6,46.4,45.9,,45.0,96.0,28.2,63.3,62.0,38.1,46.0,62.7,42.0,35.9,81.0,41.2,40.5,,13.9,37.0,84.0,,96.9,70.3,,57.0,-41.7,43.0,11.6,,159.1,43.3,48.0,53.4,67.0,51.9,18.0,24.6,53.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False
Washington,2411,2426.0,2434.4,2435.6,2435.0,2436.0,2435.0,2481.0,2431.0,2437.0,2424.5,2405.0,2410.0,2420.9,2438.9,2430.1,,2413.0,2458.0,2443.8,2433.8,2425.0,2430.0,2427.0,2436.3,2438.0,2412.8,2432.0,2453.7,2430.6,,2404.3,2442.4,2442.0,,2430.7,2417.3,,2435.0,2459.5,2422.0,2439.7,,2432.2,2452.3,2425.0,2427.6,2429.0,2438.7,2451.0,2401.2,2478.0,2.0,10.4,11.6,11.0,12.0,11.0,57.0,7.0,13.0,0.5,-19.0,-14.0,-3.1,14.9,6.1,,-11.0,34.0,19.8,9.8,1.0,6.0,3.0,12.3,14.0,-11.2,8.0,29.7,6.6,,-19.7,18.4,18.0,,6.7,-6.7,,11.0,35.5,-2.0,15.7,,8.2,28.3,1.0,3.6,5.0,14.7,27.0,-22.8,54.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False
West Virginia,503,490.0,493.9,493.5,485.0,494.0,489.0,493.0,492.5,492.0,465.6,490.0,482.4,483.3,504.5,483.9,,493.0,493.0,486.7,477.2,498.0,487.8,482.0,491.4,496.0,489.1,504.0,492.3,,,480.7,501.1,482.0,,,447.8,,491.0,544.4,488.0,496.3,,484.4,496.4,486.0,486.1,500.0,493.5,487.0,476.0,495.0,-13.0,-9.1,-9.5,-18.0,-9.0,-14.0,-10.0,-10.5,-11.0,-37.4,-13.0,-20.6,-19.7,1.5,-19.1,,-10.0,-10.0,-16.3,-25.8,-5.0,-15.2,-21.0,-11.6,-7.0,-13.9,1.0,-10.7,,,-22.3,-1.9,-21.0,,,-55.2,,-12.0,41.4,-15.0,-6.7,,-18.6,-6.6,-17.0,-16.9,-3.0,-9.5,-16.0,-27.0,-8.0,True,True,False,True,False,True,True,True,False,False,False,False,True,False,,True,True,False,False,True,False,False,True,True,False,True,True,,,False,True,False,,,False,,True,False,False,True,,False,True,False,False,True,True,False,False,True
Wisconsin,2548,2277.6,2304.8,2291.5,2284.0,2292.0,2291.0,2277.0,2283.9,2324.0,2266.1,2165.0,2322.6,,2491.0,2256.1,,2248.0,2208.0,2276.7,2180.4,2290.0,2170.5,2268.5,2317.5,2380.0,2304.3,2247.0,2311.1,,2121.5,2162.6,2350.1,2287.0,,2173.2,2071.0,,2310.0,2217.1,2287.0,2291.3,,2307.8,2320.0,2164.0,2377.0,2316.0,2254.8,2318.0,2113.6,2327.0,45.6,72.8,59.5,52.0,60.0,59.0,45.0,51.9,92.0,34.1,-67.0,90.6,,259.0,24.1,,16.0,-24.0,44.7,-51.6,58.0,-61.5,36.5,85.5,148.0,72.3,15.0,79.1,,-110.5,-69.4,118.1,55.0,,-58.8,-161.0,,78.0,-14.9,55.0,59.3,,75.8,88.0,-68.0,145.0,84.0,22.8,86.0,-118.4,95.0,False,False,False,False,False,True,False,False,True,False,False,,False,True,,True,True,True,False,False,False,True,False,False,False,True,False,,False,False,False,False,,False,False,,False,True,False,False,,False,False,False,False,False,True,False,False,False
Wyoming,114,103.3,108.8,106.4,111.0,106.0,103.0,103.0,108.7,112.0,97.8,95.0,96.5,102.1,96.7,103.5,,87.0,107.0,102.9,97.2,88.0,94.8,95.0,105.3,94.0,94.6,114.0,108.8,,,101.2,101.2,101.0,,,122.4,,106.0,110.2,103.0,92.0,,105.5,112.7,99.0,92.5,107.0,103.9,96.0,80.9,105.0,-10.7,-5.2,-7.6,-3.0,-8.0,-11.0,-11.0,-5.3,-2.0,-16.2,-19.0,-17.5,-11.9,-17.3,-10.5,,-27.0,-7.0,-11.1,-16.8,-26.0,-19.2,-19.0,-8.7,-20.0,-19.4,0.0,-5.2,,,-12.8,-12.8,-13.0,,,8.4,,-8.0,-3.8,-11.0,-22.0,,-8.5,-1.3,-15.0,-21.5,-7.0,-10.1,-18.0,-33.1,-9.0,True,True,True,True,False,False,True,True,False,False,False,False,False,True,,False,True,False,False,False,False,False,True,False,False,True,True,,,False,False,False,,,True,,True,True,False,False,,True,True,False,False,True,True,False,False,True
US,238165,235933.9,237285.3,236219.1,,236203.0,236530.0,237430.0,236341.7,236600.0,237712.1,235531.0,236122.9,237020.4,236766.6,,241711.0,236079.0,235702.0,236939.3,235558.3,233831.0,234376.8,,237479.2,236764.0,237172.4,236332.0,236400.1,236442.2,,235300.8,236899.5,236163.0,236775.2,236107.1,237044.7,236141.0,237320.0,236718.8,236730.0,236117.0,237037.0,,236559.8,236824.0,236544.1,237039.5,236529.0,235911.5,234735.1,236667.0,-1603.1,-251.7,-1317.9,,-1334.0,-1007.0,-107.0,-1195.3,-937.0,175.1,-2006.0,-1414.1,-516.6,-770.4,,4174.0,-1458.0,-1835.0,-597.7,-1978.7,-3706.0,-3160.2,,-57.8,-773.0,-364.6,-1205.0,-1136.9,-1094.8,,-2236.2,-637.5,-1374.0,-761.8,-1429.9,-492.3,-1396.0,-217.0,-818.2,-807.0,-1420.0,-500.0,,-977.2,-713.0,-992.9,-497.5,-1008.0,-1625.5,-2801.9,-870.0,True,True,,True,True,True,True,True,True,False,True,True,True,,False,True,False,True,False,False,False,,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,False,False,True
