,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Tennessee,472,464.3,630.0,470.0,461.9,505.0,440.5,469.2,456.0,493.0,,473.0,457.6,,,471.0,485.2,447.1,459.0,,471.5,380.0,446.0,499.0,447.9,458.0,433.1,450.3,458.5,-7.7,158.0,-2.0,-10.1,33.0,-31.5,-2.8,-16.0,21.0,,1.0,-14.4,,,-1.0,13.2,-24.9,-13.0,,-0.5,-92.0,-26.0,27.0,-24.1,-14.0,-38.9,-21.7,-13.5,False,True,False,False,False,True,False,False,,True,False,,,True,False,False,False,,True,False,False,False,False,False,False,False,False
Texas,2211,1983.3,2547.0,2014.0,2001.3,2071.0,1898.0,2119.6,2027.0,1945.3,,2035.0,1961.7,,,1941.0,2129.2,1952.5,1986.4,,2019.4,1899.0,2063.0,2237.0,2001.0,1995.0,2005.3,1977.4,2001.0,-26.7,537.0,4.0,-8.7,61.0,-112.0,109.6,17.0,-64.7,,25.0,-48.3,,,-69.0,119.2,-57.5,-23.6,,9.4,-111.0,53.0,227.0,-9.0,-15.0,-4.7,-32.6,-9.0,False,True,True,False,False,False,True,False,,True,False,,,False,False,False,True,,True,False,False,False,True,True,True,False,True
Utah,139,127.9,222.0,130.0,139.0,159.0,137.9,166.3,137.0,144.7,,135.0,142.4,,,146.0,144.6,138.9,133.4,,,135.0,279.0,207.0,136.1,135.0,127.0,134.8,130.6,-11.1,83.0,-9.0,-0.0,20.0,-1.1,27.3,-2.0,5.7,,-4.0,3.4,,,7.0,5.6,-0.1,-5.6,,,-4.0,140.0,68.0,-2.9,-4.0,-12.0,-4.2,-8.4,False,True,True,False,True,False,True,True,,True,True,,,True,True,True,True,,,True,False,False,True,True,False,True,True
Vermont,55,55.0,63.0,55.0,56.6,55.0,55.7,63.9,55.0,56.2,,55.0,57.7,,,55.0,57.4,62.9,55.9,,55.9,50.0,,60.0,56.9,56.0,51.2,55.9,55.7,0.0,8.0,0.0,1.6,0.0,0.7,8.9,0.0,1.2,,0.0,2.7,,,0.0,2.4,7.9,0.9,,0.9,-5.0,,5.0,1.9,1.0,-3.8,0.9,0.7,False,True,False,True,False,False,True,False,,True,False,,,True,False,False,False,,False,False,,False,False,False,False,False,False
Virginia,1541,1534.7,2104.0,1552.0,1599.6,1722.0,1556.1,1712.5,1632.0,,,1517.0,1634.1,,,1660.0,1647.5,1512.5,1585.9,,1504.2,1503.0,1606.0,1905.0,1600.3,1533.0,1591.6,1549.6,1547.9,4.7,574.0,22.0,69.6,192.0,26.1,182.5,102.0,,,-13.0,104.1,,,130.0,117.5,-17.5,55.9,,-25.8,-27.0,76.0,375.0,70.3,3.0,61.6,19.6,17.9,False,False,False,False,False,False,False,,,False,False,,,False,False,False,False,,False,False,False,False,False,True,False,False,False
Washington,1207,1190.4,1361.0,1188.0,1197.3,1193.0,1169.8,1250.7,1206.0,,,1207.0,1171.8,,,1242.0,1214.6,1207.1,1187.0,,1204.0,1129.5,1197.0,1255.0,1186.4,1195.0,1160.4,1186.4,1190.0,-3.6,167.0,-6.0,3.3,-1.0,-24.2,56.7,12.0,,,13.0,-22.2,,,48.0,20.6,13.1,-7.0,,10.0,-64.5,3.0,61.0,-7.6,1.0,-33.6,-7.6,-4.0,False,False,True,True,False,False,False,,,False,False,,,False,False,False,False,,False,False,True,False,False,True,False,False,False
West Virginia,88,91.7,108.0,93.0,90.7,89.0,81.6,97.2,94.0,92.7,,102.0,88.9,,,85.0,107.0,86.7,88.8,,89.0,70.0,142.0,90.0,90.6,89.0,84.1,89.2,90.3,3.7,20.0,5.0,2.7,1.0,-6.4,9.2,6.0,4.7,,14.0,0.9,,,-3.0,19.0,-1.3,0.8,,1.0,-18.0,54.0,2.0,2.6,1.0,-3.9,1.2,2.3,False,False,True,True,False,False,False,False,,False,True,,,True,False,True,True,,True,False,False,True,True,True,False,True,True
Wisconsin,734,694.1,884.0,702.0,714.8,783.0,663.0,771.2,754.0,718.3,,711.0,725.1,,,709.0,742.6,691.6,698.0,711.0,695.3,655.0,697.0,709.0,684.4,696.0,689.9,698.0,698.8,8.1,198.0,16.0,28.8,97.0,-23.0,85.2,68.0,32.3,,25.0,39.1,,,23.0,56.6,5.6,12.0,25.0,9.3,-31.0,11.0,23.0,-1.6,10.0,3.9,12.0,12.8,False,False,False,False,False,False,False,False,,False,False,,,False,False,True,False,False,False,False,False,False,True,False,True,False,False
Wyoming,18,17.9,27.0,18.0,18.2,17.0,18.0,18.7,19.0,20.0,,17.0,17.6,,,17.0,22.0,17.8,19.1,,17.9,5.0,,19.0,17.3,18.0,15.6,19.4,18.4,-0.1,9.0,0.0,0.2,-1.0,0.0,0.7,1.0,2.0,,-1.0,-0.4,,,-1.0,4.0,-0.2,1.1,,-0.1,-13.0,,1.0,-0.7,0.0,-2.4,1.4,0.4,False,True,False,False,True,False,False,False,,False,False,,,False,False,False,False,,False,False,,False,False,True,False,False,False
US,118393,115770.9,133755.0,115828.0,115494.2,115784.0,110972.4,234167.0,115675.0,114863.9,,115412.0,114426.8,115708.0,115709.0,116814.0,116817.8,115707.3,114900.4,,115233.5,110889.5,,117876.8,115310.7,115320.0,109377.7,114747.6,115264.2,492.9,18477.0,550.0,216.2,506.0,-4305.6,118889.0,397.0,-414.1,,134.0,-851.2,430.0,431.0,1536.0,1539.8,429.3,-377.6,,-44.5,-4388.5,,2598.8,32.7,42.0,-5900.3,-530.4,-13.8,False,False,True,False,False,False,True,True,,True,False,True,True,False,False,True,True,,True,False,,False,True,True,False,False,True
