,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New York,32768,32909.3,32614.0,33062.9,32830.0,32782.0,,32514.6,32616.0,33150.7,,33340.6,33094.0,32785.0,32492.9,32887.4,32605.5,28135.7,32682.7,,32390.6,32891.0,32727.0,,37389.7,,32638.0,32799.6,32868.0,,33052.5,32882.2,32864.0,32797.8,32871.0,141.3,-154.0,294.9,62.0,14.0,,-253.4,-152.0,382.7,,572.6,326.0,17.0,-275.1,119.4,-162.5,-4632.3,-85.3,,-377.4,123.0,-41.0,,4621.7,,-130.0,31.6,100.0,,284.5,114.2,96.0,29.8,103.0,False,False,True,True,,False,False,False,,False,False,True,False,True,False,False,True,,False,True,True,,False,,True,True,True,,False,True,True,True,True
North Carolina,2184,2023.4,1814.0,2053.0,2098.0,2062.0,,2139.5,2614.0,1951.6,2992.7,1840.5,1851.0,2530.9,1805.3,1900.9,1796.9,1899.0,2079.4,,1903.1,2157.8,1806.0,,3623.9,,1915.0,2025.4,2021.0,1939.0,3035.1,2183.9,2073.5,2025.5,2004.0,-160.6,-370.0,-131.0,-86.0,-122.0,,-44.5,430.0,-232.4,808.7,-343.5,-333.0,346.9,-378.7,-283.1,-387.1,-285.0,-104.6,,-280.9,-26.2,-378.0,,1439.9,,-269.0,-158.6,-163.0,-245.0,851.1,-0.1,-110.5,-158.5,-180.0,False,True,True,True,,True,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,,False,,False,True,False,False,False,True,True,True,False
North Dakota,112,106.3,96.0,99.0,104.0,90.0,,107.8,97.0,115.2,,122.7,94.0,136.3,93.8,108.8,95.1,110.2,98.1,,109.7,105.1,96.0,,107.2,,99.0,100.7,124.0,,126.4,122.3,111.0,106.8,,-5.7,-16.0,-13.0,-8.0,-22.0,,-4.2,-15.0,3.2,,10.7,-18.0,24.3,-18.2,-3.2,-16.9,-1.8,-13.9,,-2.3,-6.9,-16.0,,-4.8,,-13.0,-11.3,12.0,,14.4,10.3,-1.0,-5.2,,False,False,False,False,,True,False,True,,False,False,False,False,True,False,True,False,,True,False,False,,True,,False,False,False,,False,False,True,True,
Ohio,3668,3505.4,3265.0,3419.9,3566.0,3487.0,,3679.0,3821.0,,,3562.9,3303.0,3839.4,3247.8,3431.9,3265.5,3846.3,4018.7,3409.0,3317.5,3537.2,3318.0,,2173.6,,3778.0,3535.7,3697.0,3412.5,3622.3,3705.6,3649.0,3671.5,3495.0,-162.6,-403.0,-248.1,-102.0,-181.0,,11.0,153.0,,,-105.1,-365.0,171.4,-420.2,-236.1,-402.5,178.3,350.7,-259.0,-350.5,-130.8,-350.0,,-1494.4,,110.0,-132.3,29.0,-255.5,-45.7,37.6,-19.0,3.5,-173.0,False,False,True,False,,True,True,,,True,False,False,False,False,False,False,False,False,False,True,False,,False,,True,True,True,False,True,True,True,True,False
Oklahoma,603,533.9,492.0,540.9,565.0,590.0,,625.8,616.0,592.8,,540.5,539.0,736.2,476.7,494.8,487.7,527.7,551.2,,509.8,577.4,503.0,,682.7,,484.0,519.8,554.0,,871.7,601.3,605.0,542.5,,-69.1,-111.0,-62.1,-38.0,-13.0,,22.8,13.0,-10.2,,-62.5,-64.0,133.2,-126.3,-108.2,-115.3,-75.3,-51.8,,-93.2,-25.6,-100.0,,79.7,,-119.0,-83.2,-49.0,,268.7,-1.7,2.0,-60.5,,False,True,True,True,,True,True,True,,True,True,False,False,False,False,False,True,,False,True,False,,False,,False,False,True,,False,True,True,True,
Oregon,355,334.3,285.0,332.0,340.0,271.0,,331.4,344.0,329.5,,323.7,304.0,468.3,290.9,323.3,287.0,365.2,334.6,,374.5,350.7,356.0,,94.8,,343.0,318.8,354.0,,462.2,346.6,398.0,342.9,,-20.7,-70.0,-23.0,-15.0,-84.0,,-23.6,-11.0,-25.5,,-31.3,-51.0,113.3,-64.1,-31.7,-68.0,10.2,-20.4,,19.5,-4.3,1.0,,-260.2,,-12.0,-36.2,-1.0,,107.2,-8.4,43.0,-12.1,,False,False,True,False,,False,True,False,,False,False,False,False,False,False,True,True,,True,True,True,,False,,True,False,True,,False,True,False,True,
Pennsylvania,7310,7359.1,7131.0,7377.9,7390.0,7226.0,,7351.6,7394.0,7378.2,,7446.2,7240.0,7494.8,7139.8,7320.6,7129.0,7630.9,8089.2,,7310.4,7401.5,7243.0,,7997.7,,7271.0,7344.8,7400.0,7289.5,7584.1,7393.0,7469.0,7425.0,7444.0,49.1,-179.0,67.9,80.0,-84.0,,41.6,84.0,68.2,,136.2,-70.0,184.8,-170.2,10.6,-181.0,320.9,779.2,,0.4,91.5,-67.0,,687.7,,-39.0,34.8,90.0,-20.5,274.1,83.0,159.0,115.0,134.0,False,False,False,False,,True,False,False,,False,False,False,False,True,False,False,False,,True,False,False,,False,,True,True,False,True,False,False,False,False,False
Rhode Island,1014,1030.0,1002.0,1034.0,1042.0,1043.0,,1048.6,1022.0,1056.0,,1010.1,1095.0,982.1,997.2,1052.5,995.5,1017.3,1181.9,,1026.4,1047.1,1016.0,,465.6,,1004.0,1028.0,1013.0,1043.7,1041.8,1032.8,1015.0,1027.7,,16.0,-12.0,20.0,28.0,29.0,,34.6,8.0,42.0,,-3.9,81.0,-31.9,-16.8,38.5,-18.5,3.3,167.9,,12.4,33.1,2.0,,-548.4,,-10.0,14.0,-1.0,29.7,27.8,18.8,1.0,13.7,,True,False,False,False,,False,True,False,,True,False,False,False,False,False,True,False,,True,False,True,,False,,True,True,True,False,False,False,True,True,
South Carolina,2007,1709.3,1315.0,1687.0,1779.0,1516.0,,1535.1,1680.0,1733.8,,1686.6,1411.0,1867.3,2634.4,1729.2,1356.3,1236.2,1869.9,,1799.9,1849.4,2078.0,,2230.1,,1800.0,1638.8,1802.0,,2252.2,1743.2,2287.0,1652.1,1571.0,-297.7,-692.0,-320.0,-228.0,-491.0,,-471.9,-327.0,-273.2,,-320.4,-596.0,-139.7,627.4,-277.8,-650.7,-770.8,-137.1,,-207.1,-157.6,71.0,,223.1,,-207.0,-368.2,-205.0,,245.2,-263.8,280.0,-354.9,-436.0,False,False,True,False,,False,False,True,,False,False,True,False,True,False,False,True,,True,True,True,,True,,True,False,True,,True,True,True,False,False
South Dakota,146,143.7,125.0,137.0,141.0,117.0,,119.8,131.0,140.7,,142.5,145.0,162.8,124.2,140.2,120.9,137.9,136.6,,148.0,145.5,136.0,,44.8,,136.0,137.4,139.0,141.1,185.9,145.4,176.0,140.2,,-2.3,-21.0,-9.0,-5.0,-29.0,,-26.2,-15.0,-5.3,,-3.5,-1.0,16.8,-21.8,-5.8,-25.1,-8.1,-9.4,,2.0,-0.5,-10.0,,-101.2,,-10.0,-8.6,-7.0,-4.9,39.9,-0.6,30.0,-5.8,,False,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,,True,True,False,,False,,False,False,False,False,False,True,False,False,
Tennessee,1215,1134.4,972.0,1138.0,1214.0,1286.0,,1320.2,1295.0,1313.8,,1189.3,1074.0,1451.7,977.1,1078.0,1000.0,1263.1,1285.1,,1084.1,1244.0,1030.0,,1611.1,,1099.0,1111.7,1238.0,1118.0,1305.9,1366.5,1463.0,1167.0,1113.0,-80.6,-243.0,-77.0,-1.0,71.0,,105.2,80.0,98.8,,-25.7,-141.0,236.7,-237.9,-137.0,-215.0,48.1,70.1,,-130.9,29.0,-185.0,,396.1,,-116.0,-103.3,23.0,-97.0,90.9,151.5,248.0,-48.0,-102.0,False,True,True,True,,False,True,False,,True,False,False,False,False,False,True,True,,False,True,False,,False,,False,False,True,False,False,False,False,True,False
Texas,9058,6286.3,4679.0,6342.2,6880.0,6287.0,,6256.1,6432.0,,,7350.1,6780.0,6633.1,6486.8,5724.9,4895.1,4387.9,7124.9,,6448.1,7214.2,8041.5,,26668.3,7917.0,7143.0,6038.0,6682.0,7646.8,8003.4,7614.9,8474.0,6479.5,5899.0,-2104.7,-3712.0,-2048.8,-1511.0,-2104.0,,-2134.9,-1959.0,,,-1040.9,-1611.0,-1757.9,-1904.2,-2666.1,-3495.9,-4003.1,-1266.1,,-1942.9,-1176.8,-349.5,,18277.3,-474.0,-1248.0,-2353.0,-1709.0,-744.2,-387.6,-776.1,83.0,-1911.5,-2492.0,False,True,True,True,,False,True,,,True,True,True,True,False,False,False,True,,True,True,True,,False,True,True,False,True,True,True,True,True,True,False
Utah,335,323.0,285.0,336.1,342.0,298.0,,433.1,362.0,402.3,,397.7,299.0,431.6,293.1,322.2,273.9,278.5,338.7,,367.0,343.5,293.0,,858.2,,324.0,322.1,332.0,306.0,405.4,328.5,365.0,341.2,,-12.0,-50.0,1.1,7.0,-37.0,,98.1,27.0,67.3,,62.7,-36.0,96.6,-41.9,-12.8,-61.1,-56.5,3.7,,32.0,8.5,-42.0,,523.2,,-11.0,-12.9,-3.0,-29.0,70.4,-6.5,30.0,6.2,,False,True,True,False,,False,False,False,,False,False,False,False,False,False,False,True,,False,True,False,,False,,True,False,True,False,False,True,False,True,
Vermont,58,56.0,56.0,57.5,57.0,56.0,,59.4,56.0,57.7,,56.4,56.0,61.4,56.3,57.9,56.0,58.9,57.9,,59.1,56.2,56.0,,58.9,,57.0,56.0,57.0,,60.4,56.0,57.0,57.8,,-2.0,-2.0,-0.5,-1.0,-2.0,,1.4,-2.0,-0.3,,-1.6,-2.0,3.4,-1.7,-0.1,-2.0,0.9,-0.1,,1.1,-1.8,-2.0,,0.9,,-1.0,-2.0,-1.0,,2.4,-2.0,-1.0,-0.2,,False,True,True,False,,True,False,True,,True,False,False,True,True,False,True,True,,True,True,False,,True,,True,True,True,,False,True,True,True,
Virginia,2322,2201.3,2128.0,2214.4,2272.0,2116.0,,2178.5,2203.0,2354.3,,2471.9,2141.0,2498.6,2280.0,2285.8,2103.3,2375.4,2566.8,,2243.4,2277.1,2168.0,,3160.3,,2281.0,2189.3,2340.0,2237.8,2439.4,2301.3,2296.0,2219.8,2303.0,-120.7,-194.0,-107.6,-50.0,-206.0,,-143.5,-119.0,32.3,,149.9,-181.0,176.6,-42.0,-36.2,-218.7,53.4,244.8,,-78.6,-44.9,-154.0,,838.3,,-41.0,-132.7,18.0,-84.2,117.4,-20.7,-26.0,-102.2,-19.0,False,True,True,False,,False,True,True,,False,False,False,True,True,False,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True
Washington,1688,1472.7,1518.0,1507.4,1610.0,1569.0,,1641.5,1673.0,1673.0,,1682.6,1580.0,1767.5,1503.8,1578.1,1510.6,1787.4,1664.1,,1630.1,1622.0,1567.0,,565.6,,1586.0,1498.1,1637.0,1512.0,1687.0,1679.4,1663.0,1565.8,1680.0,-215.3,-170.0,-180.6,-78.0,-119.0,,-46.5,-15.0,-15.0,,-5.4,-108.0,79.5,-184.2,-109.9,-177.4,99.4,-23.9,,-57.9,-66.0,-121.0,,-1122.4,,-102.0,-189.9,-51.0,-176.0,-1.0,-8.6,-25.0,-122.2,-8.0,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,True
West Virginia,131,111.4,106.0,112.6,117.0,100.0,,134.2,135.0,111.7,,105.4,105.0,160.2,109.1,110.5,103.1,119.3,123.3,,113.3,115.8,101.0,,146.4,,108.0,110.1,113.0,,146.4,128.3,133.0,110.7,,-19.6,-25.0,-18.4,-14.0,-31.0,,3.2,4.0,-19.3,,-25.6,-26.0,29.2,-21.9,-20.5,-27.9,-11.7,-7.7,,-17.7,-15.2,-30.0,,15.4,,-23.0,-20.9,-18.0,,15.4,-2.7,2.0,-20.3,,False,True,True,False,,True,True,True,,False,False,False,False,False,False,True,True,,True,True,False,,True,,False,False,True,,True,True,True,False,
Wisconsin,996,912.6,875.0,909.5,964.0,995.0,,1062.7,989.0,985.6,,888.6,875.0,1210.2,912.2,921.1,877.3,989.5,997.5,1013.0,990.2,931.4,920.0,,,,899.0,924.2,956.0,919.2,1283.0,972.2,880.0,954.3,,-83.4,-121.0,-86.5,-32.0,-1.0,,66.7,-7.0,-10.4,,-107.4,-121.0,214.2,-83.8,-74.9,-118.7,-6.5,1.5,17.0,-5.8,-64.6,-76.0,,,,-97.0,-71.8,-40.0,-76.8,287.0,-23.8,-116.0,-41.7,,False,False,True,True,,True,True,True,,False,False,False,False,True,False,True,True,True,True,True,True,,,,False,True,True,True,False,True,False,True,
Wyoming,28,36.4,26.0,33.0,32.0,24.0,,33.9,31.0,29.4,,21.4,25.0,49.1,25.5,28.3,24.1,30.3,30.3,,42.0,32.3,25.0,,53.7,,28.0,32.9,32.0,,33.5,32.4,41.0,31.4,,8.4,-2.0,5.0,4.0,-4.0,,5.9,3.0,1.4,,-6.6,-3.0,21.1,-2.5,0.3,-3.9,2.3,2.3,,14.0,4.3,-3.0,,25.7,,0.0,4.9,4.0,,5.5,4.4,13.0,3.4,,True,True,True,True,,True,True,True,,True,True,False,True,True,True,True,True,,False,True,True,,False,,True,True,True,,True,True,False,True,
US,162423,155759.7,,156145.2,158017.0,154981.0,160351.0,154914.4,160050.0,158923.5,,159163.2,155064.0,161863.9,,152993.8,147313.4,147180.0,165177.1,,153641.0,160103.4,158090.5,161399.7,158184.0,154383.0,157177.0,155449.0,159168.0,151022.8,176030.3,159987.9,166336.5,157503.1,151871.0,-5996.3,,-5610.8,-3739.0,-6775.0,-1405.0,-6841.6,-1706.0,-2832.5,,-2592.8,-6692.0,107.9,,-8762.2,-14442.6,-14576.0,3421.1,,-8115.0,-1652.6,-3665.5,-356.3,-3572.0,-7373.0,-4579.0,-6307.0,-2588.0,-10733.2,14274.3,-1768.1,4580.5,-4252.9,-9885.0,,True,True,False,True,False,True,True,,True,False,True,,False,False,False,True,,False,True,True,True,True,False,True,False,True,False,False,True,True,True,False
