,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Rhode Island,1025,1037.7,1046.7,1049.0,983.0,,1042.4,1027.0,1166.4,,1138.0,958.8,1036.6,1009.3,1070.1,,1026.9,1055.8,1138.0,,1103.5,,1007.0,1033.3,1003.0,,1006.9,1058.0,1028.0,1030.0,,23.7,32.7,35.0,-31.0,,28.4,13.0,152.4,,124.0,-55.2,22.6,-4.7,56.1,,12.9,41.8,124.0,,89.5,,-7.0,19.3,-11.0,,-7.1,44.0,14.0,16.0,,False,False,False,,False,True,False,,False,False,True,True,False,,True,False,False,,False,,True,True,True,,True,False,True,True,
South Carolina,2007,1504.9,1503.2,1628.4,1547.0,,1704.7,1638.0,1662.6,,1498.0,1792.0,1510.8,1002.4,1672.5,,1663.0,1881.9,1269.0,,1143.2,,1463.0,1465.7,1654.0,,1651.7,1665.0,2244.5,1725.7,1585.0,-502.1,-503.8,-378.6,-460.0,,-302.3,-369.0,-344.4,,-509.0,-215.0,-496.2,-1004.6,-334.5,,-344.0,-125.1,-738.0,,-863.8,,-544.0,-541.3,-353.0,,-355.3,-342.0,237.5,-281.3,-422.0,False,True,True,,True,True,True,,False,True,True,False,True,,True,True,False,,False,,False,False,True,,True,True,True,True,True
South Dakota,146,155.3,157.0,144.7,109.0,,118.5,128.0,167.1,,129.0,173.0,133.1,216.2,133.9,,165.0,149.2,142.0,,144.2,,140.0,129.8,141.0,,125.9,165.5,205.0,144.9,,9.3,11.0,-1.3,-37.0,,-27.5,-18.0,21.1,,-17.0,27.0,-12.9,70.2,-12.1,,19.0,3.2,-4.0,,-1.8,,-6.0,-16.2,-5.0,,-20.1,19.5,59.0,-1.1,,False,True,False,,False,False,False,,False,False,False,False,False,,False,True,True,,True,,True,False,True,,False,False,False,True,
Tennessee,1215,1111.3,1142.0,1197.5,1167.0,,1247.1,1277.0,1187.3,,1315.0,1457.6,944.1,977.7,1129.2,,1096.6,1396.4,1108.0,,778.4,,999.0,1061.0,1222.0,,1184.6,1481.2,1381.0,1290.9,1179.0,-103.7,-73.0,-17.5,-48.0,,32.1,62.0,-27.7,,100.0,242.6,-270.9,-237.3,-85.8,,-118.4,181.4,-107.0,,-436.6,,-216.0,-154.0,7.0,,-30.4,266.2,166.0,75.9,-36.0,True,True,True,,True,True,True,,True,False,False,False,True,,False,False,False,,False,,False,False,True,,True,False,False,True,True
Texas,9062,5433.9,5209.6,5868.9,5796.0,,6430.8,6063.0,6160.9,,5798.0,6124.4,5049.9,3624.7,5588.9,,5501.6,6499.8,3924.0,,7099.4,6394.0,4727.0,5423.2,6888.0,,6423.4,7313.6,8600.5,5887.4,5667.0,-3098.1,-3322.4,-2663.1,-2736.0,,-2101.2,-2469.0,-2371.1,,-2734.0,-2407.6,-3482.1,-4907.3,-2943.1,,-3030.4,-2032.2,-4608.0,,-1432.6,-2138.0,-3805.0,-3108.8,-1644.0,,-2108.6,-1218.4,68.5,-2644.6,-2865.0,False,True,True,,True,True,True,,True,True,False,False,True,,True,True,False,,True,True,False,False,True,,True,True,True,True,True
Utah,335,334.6,336.0,352.1,429.0,,448.1,377.0,,,348.0,509.4,288.4,277.8,299.5,,353.1,343.9,286.0,,248.9,,302.0,330.6,334.0,,343.8,333.3,371.0,365.3,,-0.4,1.0,17.1,94.0,,113.1,42.0,,,13.0,174.4,-46.6,-57.2,-35.5,,18.1,8.9,-49.0,,-86.1,,-33.0,-4.4,-1.0,,8.8,-1.7,36.0,30.3,,False,False,False,,False,False,,,False,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
Vermont,58,56.0,58.9,57.0,56.0,,59.3,56.0,60.8,,56.0,63.5,57.9,59.3,56.1,,56.7,56.3,57.0,,59.6,,56.0,56.1,58.0,,56.0,57.4,57.0,58.3,,-2.0,0.9,-1.0,-2.0,,1.3,-2.0,2.8,,-2.0,5.5,-0.1,1.3,-1.9,,-1.3,-1.7,-1.0,,1.6,,-2.0,-1.9,0.0,,-2.0,-0.6,-1.0,0.3,,True,True,False,,True,False,False,,False,False,True,True,True,,True,True,True,,True,,False,True,True,,True,True,True,True,
Virginia,2322,2401.9,2413.9,2390.3,2205.0,,2114.1,2130.0,2708.0,,2338.0,2618.6,2433.2,2224.7,2209.5,,2348.8,2487.4,2216.0,,2087.1,,2473.0,2277.1,2420.0,,2261.9,2329.6,2718.0,2287.2,2468.0,79.9,91.9,68.3,-117.0,,-207.9,-192.0,386.0,,16.0,296.6,111.2,-97.3,-112.5,,26.8,165.4,-106.0,,-234.9,,151.0,-44.9,98.0,,-60.1,7.6,396.0,-34.8,146.0,False,True,False,,False,False,False,,True,False,False,False,False,,True,False,False,,False,,False,True,False,,True,True,False,True,False
Washington,1688,1742.7,1703.9,1702.3,1474.0,,1634.1,1708.0,1763.6,,1783.0,1944.4,1701.8,1597.4,1778.0,,1619.2,1729.0,1571.0,,1558.2,,1623.0,1671.3,1871.0,,1849.7,1703.0,1740.5,1648.4,1756.0,54.7,15.9,14.3,-214.0,,-53.9,20.0,75.6,,95.0,256.4,13.8,-90.6,90.0,,-68.8,41.0,-117.0,,-129.8,,-65.0,-16.7,183.0,,161.7,15.0,52.5,-39.6,68.0,True,True,False,,True,True,False,,False,False,True,False,False,,False,True,False,,False,,False,True,False,,False,True,True,True,False
West Virginia,131,103.7,107.0,126.1,153.0,,132.4,161.0,170.3,,115.0,167.2,127.2,213.4,108.7,,111.4,118.2,111.0,,102.2,,109.0,106.3,132.0,,166.9,145.3,123.0,108.8,,-27.3,-24.0,-4.9,22.0,,1.4,30.0,39.3,,-16.0,36.2,-3.8,82.4,-22.3,,-19.6,-12.8,-20.0,,-28.8,,-22.0,-24.7,1.0,,35.9,14.3,-8.0,-22.2,,True,True,True,,True,False,False,,True,False,True,False,True,,True,True,True,,False,,True,True,True,,False,True,True,True,
Wisconsin,1043,912.6,921.2,987.7,1070.0,,1029.3,984.0,1058.4,,955.0,1310.1,946.4,1117.2,915.3,999.5,895.6,1001.5,1057.0,,948.8,,890.0,926.3,1017.0,,1091.1,1083.4,863.0,978.0,,-101.4,-92.8,-26.3,56.0,,15.3,-30.0,44.4,,-59.0,296.1,-67.6,103.2,-98.7,-14.5,-118.4,-12.5,43.0,,-65.2,,-124.0,-87.7,3.0,,77.1,69.4,-151.0,-36.0,,True,True,True,,True,True,True,,True,False,True,False,True,True,False,True,True,,True,,False,True,True,,True,True,False,True,
Wyoming,28,24.9,26.0,28.5,21.0,,36.3,29.0,26.6,,26.0,56.4,25.3,33.0,28.1,,33.1,28.3,34.0,,24.1,,24.0,24.0,25.0,,31.1,24.2,23.0,26.7,,-3.1,-2.0,0.5,-7.0,,8.3,1.0,-1.4,,-2.0,28.4,-2.7,5.0,0.1,,5.1,0.3,6.0,,-3.9,,-4.0,-4.0,-3.0,,3.1,-3.8,-5.0,-1.3,,True,True,False,,False,True,True,,True,False,True,False,True,,False,True,False,,False,,False,False,True,,True,False,False,True,
US,162470,155435.7,155136.8,157204.1,155693.0,168710.0,153544.8,161806.0,160974.1,,153917.0,163946.5,150448.3,145359.5,153299.6,,150093.9,162405.7,151816.5,169561.6,135704.3,140718.0,150225.0,153779.0,162926.0,148262.0,161362.7,177826.9,170543.0,156244.3,150380.0,-6419.3,-6718.2,-4650.9,-6162.0,6855.0,-8310.2,-49.0,-880.9,,-7938.0,2091.5,-11406.7,-16495.5,-8555.4,,-11761.1,550.7,-10038.5,7706.6,-26150.7,-21137.0,-11630.0,-8076.0,1071.0,-13593.0,-492.3,15971.9,8688.0,-5610.7,-11475.0,False,True,True,False,False,True,True,,False,True,False,False,False,,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False
