,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Mexico,681,615.0,591.0,,682.1,664.6,661.0,663.4,560.0,824.3,638.2,682.2,,576.6,638.0,,,643.6,697.1,825.8,629.8,,-66.0,-90.0,,1.1,-16.4,-20.0,-17.6,-121.0,143.3,-42.8,1.2,,-104.4,-43.0,,,-37.4,16.1,144.8,-51.2,,False,,True,True,True,True,False,False,True,True,,False,True,,,True,True,False,True,
New York,32753,33483.4,34115.0,,32399.6,32497.0,32742.0,31755.2,34017.0,33769.8,33087.8,27348.3,,32432.1,32433.0,,,32566.8,32341.5,33595.9,32786.1,33060.3,768.4,1400.0,,-315.4,-218.0,27.0,-959.8,1302.0,1054.8,372.8,-5366.7,,-282.9,-282.0,,,-148.2,-373.5,880.9,71.1,345.3,False,,True,True,True,False,False,False,True,False,,True,True,,,True,True,False,True,True
North Carolina,2184,1767.9,1811.0,,2179.3,2812.8,2927.0,1739.5,1756.0,2970.3,1719.9,1680.6,,1666.4,1813.0,,,2015.3,2337.6,2151.9,1856.3,1946.3,-416.1,-373.0,,-4.7,628.8,743.0,-444.5,-428.0,786.3,-464.1,-503.4,,-517.6,-371.0,,,-168.7,153.6,-32.1,-327.7,-237.7,True,,True,False,False,False,False,False,False,False,,False,True,,,True,True,True,True,True
North Dakota,112,84.9,99.0,,95.5,126.5,95.0,89.6,108.0,139.5,99.2,108.7,,151.1,127.0,,,83.9,94.6,101.9,97.3,,-27.1,-13.0,,-16.5,14.5,-17.0,-22.4,-4.0,27.5,-12.8,-3.3,,39.1,15.0,,,-28.1,-17.4,-10.1,-14.7,,True,,True,True,True,True,True,False,True,True,,False,True,,,False,True,True,True,
Ohio,3335,3416.1,3294.0,,3576.9,3464.5,5334.0,3830.1,3222.0,5038.2,3420.7,4289.6,3654.0,3154.5,3319.0,,,3549.5,3985.8,4504.1,3470.6,3517.3,-193.9,-316.0,,-33.1,-145.5,1724.0,220.1,-388.0,1428.2,-189.3,679.6,44.0,-455.5,-291.0,,,-60.5,375.8,894.1,-139.4,-92.7,False,,True,True,False,False,False,False,True,False,True,False,False,,,True,False,False,True,True
Oklahoma,603,461.1,483.0,,636.3,2382.4,660.0,472.6,450.0,611.7,464.1,596.7,,488.7,418.0,,,458.7,708.1,585.7,496.0,,-141.9,-120.0,,33.3,1779.4,57.0,-130.4,-153.0,8.7,-138.9,-6.3,,-114.3,-185.0,,,-144.3,105.1,-17.3,-107.0,,True,,True,False,True,True,False,True,True,True,,True,False,,,False,True,True,True,
Oregon,355,278.1,269.0,,324.2,808.7,360.0,277.7,317.0,562.2,297.5,278.6,,323.5,243.0,,,264.1,416.3,355.4,297.1,,-76.9,-86.0,,-30.8,453.7,5.0,-77.3,-38.0,207.2,-57.5,-76.4,,-31.5,-112.0,,,-90.9,61.3,0.4,-57.9,,False,,True,False,True,False,True,False,True,True,,True,False,,,False,True,True,True,
Pennsylvania,7310,7467.0,7265.0,,7376.5,7218.1,7622.0,7774.8,7343.0,8012.6,7349.8,7139.0,,7156.3,7300.0,,,7357.2,7491.4,8236.7,7508.1,7494.3,157.0,-45.0,,66.5,-91.9,312.0,464.8,33.0,702.6,39.8,-171.0,,-153.7,-10.0,,,47.2,181.4,926.7,198.1,184.3,True,,True,True,False,False,True,False,True,False,,True,True,,,True,False,False,False,False
Rhode Island,1037,1120.3,1050.0,,1047.5,1009.8,1045.0,1114.2,1198.0,700.0,1044.7,1009.6,,1031.8,1050.0,,,1062.4,1004.1,1047.6,1080.1,,111.3,41.0,,38.5,0.8,36.0,105.2,189.0,-309.0,35.7,0.6,,22.8,41.0,,,53.4,-4.9,38.6,71.1,,True,,True,True,True,True,False,False,True,True,,True,True,,,True,True,True,True,
South Carolina,2007,1325.1,1175.0,,1687.0,4276.7,1737.0,1516.7,1514.0,1557.5,1208.1,1000.6,,1309.3,1025.0,,,1248.2,1795.4,1930.6,1406.1,1511.0,-681.9,-832.0,,-320.0,2269.7,-270.0,-490.3,-493.0,-449.5,-798.9,-1006.4,,-697.7,-982.0,,,-758.8,-211.6,-76.4,-600.9,-496.0,False,,True,False,True,True,True,True,False,False,,False,False,,,False,True,True,True,True
