,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
19125,114,174.0,178.8,,150.0,279.0,,,,,,,45.0,287.2,68.9,,172.7,112.1,72.6,183.0,72.0,,66.7,150.1,,,,177.0,251.1,213.8,60.0,64.8,,36.0,165.0,,,,,,,-69.0,173.2,-45.1,,58.7,-1.9,-41.4,69.0,-42.0,,-47.3,36.1,,,,63.0,137.1,99.8,False,,True,False,,,,,,,False,False,True,,True,True,True,False,True,,True,True,,,,False,False,False
19127,81,67.0,62.7,,57.0,65.0,,,,,,,90.0,51.1,48.8,,46.2,57.0,7.4,,57.0,,45.7,68.4,,,,54.0,84.9,100.6,-14.0,-18.3,,-24.0,-16.0,,,,,,,9.0,-29.9,-32.2,,-34.8,-24.0,-73.6,,-24.0,,-35.3,-12.6,,,,-27.0,3.9,19.6,False,,False,False,,,,,,,True,False,False,,False,False,False,,False,,False,True,,,,False,True,False
19129,10,12.0,12.4,,12.0,17.0,,,,,,,21.0,18.8,20.1,,4.4,9.5,20.8,12.0,2.0,,10.7,11.8,,,,12.0,18.2,25.3,2.0,2.4,,2.0,7.0,,,,,,,11.0,8.8,10.1,,-5.6,-0.5,10.8,2.0,-8.0,,0.7,1.8,,,,2.0,8.2,15.3,False,,False,False,,,,,,,False,False,False,,False,True,False,False,False,,True,True,,,,False,False,False
19131,33,14.0,13.9,,12.0,13.0,,,,,,,12.0,8.4,7.5,,11.2,12.2,2.9,15.0,35.0,,0.0,12.7,,,,21.0,13.7,18.0,-19.0,-19.1,,-21.0,-20.0,,,,,,,-21.0,-24.6,-25.5,,-21.8,-20.8,-30.1,-18.0,2.0,,-33.0,-20.3,,,,-12.0,-19.3,-15.0,False,,False,False,,,,,,,False,False,False,,False,False,False,True,True,,False,False,,,,True,False,True
19133,3,5.0,3.9,,4.0,0.0,,,,,,,10.0,6.0,4.4,,0.3,1.5,5.9,,4.0,,2.4,4.2,,,,5.0,5.4,13.4,2.0,0.9,,1.0,-3.0,,,,,,,7.0,3.0,1.4,,-2.7,-1.5,2.9,,1.0,,-0.6,1.2,,,,2.0,2.4,10.4,True,,True,False,,,,,,,False,False,True,,False,True,False,,True,,True,True,,,,False,False,False
19135,19,11.0,10.8,,11.0,10.0,,,,,,,9.0,15.0,7.8,,10.7,13.4,9.8,12.0,0.0,,9.6,9.3,,,,11.0,14.3,17.1,-8.0,-8.2,,-8.0,-9.0,,,,,,,-10.0,-4.0,-11.2,,-8.3,-5.6,-9.2,-7.0,-19.0,,-9.4,-9.7,,,,-8.0,-4.7,-1.9,False,,False,False,,,,,,,False,True,False,,False,True,False,True,False,,False,False,,,,False,True,True
19137,10,7.0,7.0,,5.0,5.0,,,,,,,9.0,5.8,8.7,,2.7,3.3,,10.0,16.0,,4.6,6.0,,,,8.0,10.0,12.8,-3.0,-3.0,,-5.0,-5.0,,,,,,,-1.0,-4.2,-1.3,,-7.3,-6.7,,0.0,6.0,,-5.4,-4.0,,,,-2.0,0.0,2.8,True,,False,False,,,,,,,True,False,True,,False,False,,True,False,,False,False,,,,True,True,True
19139,41,31.0,32.7,,31.0,33.0,,,,,,,53.0,37.4,38.7,,18.6,28.1,5.2,,39.0,,13.5,31.2,,,,25.0,42.7,54.7,-10.0,-8.3,,-10.0,-8.0,,,,,,,12.0,-3.6,-2.3,,-22.4,-12.9,-35.8,,-2.0,,-27.5,-9.8,,,,-16.0,1.7,13.7,True,,False,True,,,,,,,False,True,True,,False,False,False,,True,,False,True,,,,False,True,False
19141,31,31.0,30.9,,25.0,25.0,,,,,,,21.0,28.5,14.5,,22.4,24.1,14.8,33.0,34.0,,49.2,29.1,,,,32.0,27.4,47.7,0.0,-0.1,,-6.0,-6.0,,,,,,,-10.0,-2.5,-16.5,,-8.6,-6.9,-16.2,2.0,3.0,,18.2,-1.9,,,,1.0,-3.6,16.7,False,,False,False,,,,,,,False,False,False,,False,False,False,False,False,,False,False,,,,False,False,False
19143,3,6.0,6.4,,6.0,0.0,,,,,,,6.0,7.1,4.8,,6.1,4.6,,8.0,1.0,,2.5,5.4,,,,7.0,5.7,18.7,3.0,3.4,,3.0,-3.0,,,,,,,3.0,4.1,1.8,,3.1,1.6,,5.0,-2.0,,-0.5,2.4,,,,4.0,2.7,15.7,False,,False,False,,,,,,,False,False,True,,False,True,,False,True,,True,True,,,,False,True,False
19145,15,4.0,3.9,,4.0,1.0,,,,,,,18.0,6.4,11.9,,3.7,7.2,7.2,,2.0,,2.9,5.3,,,,4.0,5.1,16.9,-11.0,-11.1,,-11.0,-14.0,,,,,,,3.0,-8.6,-3.1,,-11.3,-7.8,-7.8,,-13.0,,-12.1,-9.7,,,,-11.0,-9.9,1.9,False,,False,False,,,,,,,True,True,True,,False,True,True,,False,,False,True,,,,False,True,True
19147,11,7.0,7.4,,7.0,7.0,,,,,,,12.0,8.3,10.6,,1.8,4.0,9.3,10.0,0.0,,6.4,7.3,,,,7.0,12.0,22.2,-4.0,-3.6,,-4.0,-4.0,,,,,,,1.0,-2.7,-0.4,,-9.2,-7.0,-1.7,-1.0,-11.0,,-4.6,-3.7,,,,-4.0,1.0,11.2,True,,False,False,,,,,,,True,True,True,,False,False,True,True,False,,False,True,,,,False,True,False
19149,125,103.0,105.1,,103.0,147.0,,,,,,,32.0,103.1,30.2,,104.3,112.7,31.7,109.0,84.0,,76.4,93.8,,,,86.0,92.1,137.7,-22.0,-19.9,,-22.0,22.0,,,,,,,-93.0,-21.9,-94.8,,-20.7,-12.3,-93.3,-16.0,-41.0,,-48.6,-31.2,,,,-39.0,-32.9,12.7,True,,False,False,,,,,,,False,True,False,,True,True,False,True,False,,False,False,,,,False,False,True
19151,35,0.0,0.0,,1.0,0.0,,,,,,,6.0,9.6,3.4,,26.0,34.8,0.0,,0.0,,2.4,0.0,,,,0.0,6.7,25.7,-35.0,-35.0,,-34.0,-35.0,,,,,,,-29.0,-25.4,-31.6,,-9.0,-0.2,-35.0,,-35.0,,-32.6,-35.0,,,,-35.0,-28.3,-9.3,False,,True,False,,,,,,,True,True,True,,True,True,True,,False,,True,False,,,,False,True,True
19153,814,1526.0,1465.8,1492.4,1164.0,1140.0,,,,,,,1128.0,1164.1,494.5,,1333.0,873.4,617.4,1667.0,1414.0,,1055.7,1457.7,1979.0,,,1435.0,2164.4,2244.8,712.0,651.8,678.4,350.0,326.0,,,,,,,314.0,350.1,-319.5,,519.0,59.4,-196.6,853.0,600.0,,241.7,643.7,1165.0,,,621.0,1350.4,1430.8,True,True,True,True,,,,,,,True,True,True,,True,True,True,False,True,,True,True,False,,,True,False,False
19155,105,102.0,105.1,,102.0,108.0,,,,,,,120.0,104.7,73.4,,87.1,107.2,58.1,134.0,101.0,,62.9,102.0,,,,104.0,133.1,218.1,-3.0,0.1,,-3.0,3.0,,,,,,,15.0,-0.3,-31.6,,-17.9,2.2,-46.9,29.0,-4.0,,-42.1,-3.0,,,,-1.0,28.1,113.1,True,,False,False,,,,,,,False,True,False,,False,True,False,False,False,,False,False,,,,True,False,False
19157,19,6.0,6.4,,6.0,4.0,,,,,,,25.0,15.9,15.5,,3.7,8.1,15.1,8.0,4.0,,0.7,8.7,,,,5.0,7.8,13.2,-13.0,-12.6,,-13.0,-15.0,,,,,,,6.0,-3.1,-3.5,,-15.3,-10.9,-3.9,-11.0,-15.0,,-18.3,-10.3,,,,-14.0,-11.2,-5.8,True,,False,False,,,,,,,True,True,True,,False,True,True,True,False,,False,True,,,,False,True,True
19159,3,3.0,3.1,,2.0,0.0,,,,,,,3.0,1.7,2.7,,0.9,0.4,,,10.0,,3.4,2.7,,,,2.0,2.6,6.1,0.0,0.1,,-1.0,-3.0,,,,,,,0.0,-1.3,-0.3,,-2.1,-2.6,,,7.0,,0.4,-0.3,,,,-1.0,-0.4,3.1,False,,False,False,,,,,,,True,False,False,,False,False,,,False,,False,False,,,,False,False,False
19161,11,14.0,15.0,,9.0,6.0,,,,,,,12.0,9.0,7.9,,5.9,8.0,4.5,14.0,32.0,,23.1,12.1,,,,14.0,13.2,19.9,3.0,4.0,,-2.0,-5.0,,,,,,,1.0,-2.0,-3.1,,-5.1,-3.0,-6.5,3.0,21.0,,12.1,1.1,,,,3.0,2.2,8.9,False,,True,False,,,,,,,True,True,False,,False,True,False,False,False,,False,True,,,,False,True,False
19163,183,188.0,188.5,,189.0,175.0,,,,,,,216.0,195.4,234.1,,211.8,188.7,117.7,219.0,144.0,,232.1,181.7,231.0,,,192.0,268.4,253.2,5.0,5.5,,6.0,-8.0,,,,,,,33.0,12.4,51.1,,28.8,5.7,-65.3,36.0,-39.0,,49.1,-1.3,48.0,,,9.0,85.4,70.2,False,,False,False,,,,,,,False,False,False,,False,False,False,False,False,,False,True,False,,,False,False,False
19165,9,9.0,7.4,,9.0,8.0,,,,,,,14.0,9.2,10.8,,2.9,7.8,10.7,,,,12.4,8.6,,,,7.0,13.3,19.0,0.0,-1.6,,0.0,-1.0,,,,,,,5.0,0.2,1.8,,-6.1,-1.2,1.7,,,,3.4,-0.4,,,,-2.0,4.3,10.0,False,,True,False,,,,,,,False,False,False,,False,False,False,,,,False,False,,,,False,False,False
19167,87,121.0,119.9,,99.0,138.0,,,,,,,54.0,99.4,39.3,,81.7,86.1,35.3,112.0,106.0,,107.6,110.8,,,,106.0,145.7,145.3,34.0,32.9,,12.0,51.0,,,,,,,-33.0,12.4,-47.7,,-5.3,-0.9,-51.7,25.0,19.0,,20.6,23.8,,,,19.0,58.7,58.3,True,,True,False,,,,,,,True,True,False,,True,True,False,True,True,,True,True,,,,True,False,False
19169,537,774.0,749.9,,686.0,1104.0,,,,,,,245.0,678.4,118.6,,794.3,444.5,211.7,960.0,899.0,,1759.4,687.3,,,,651.0,1111.9,1010.9,237.0,212.9,,149.0,567.0,,,,,,,-292.0,141.4,-418.4,,257.3,-92.5,-325.3,423.0,362.0,,1222.4,150.3,,,,114.0,574.9,473.9,True,,True,False,,,,,,,False,True,False,,False,True,False,False,False,,False,True,,,,True,False,False
19171,31,37.0,36.7,,26.0,22.0,,,,,,,23.0,27.3,15.3,,19.2,25.9,5.8,48.0,41.0,,55.9,34.8,,,,31.0,36.6,53.3,6.0,5.7,,-5.0,-9.0,,,,,,,-8.0,-3.7,-15.7,,-11.8,-5.1,-25.2,17.0,10.0,,24.9,3.8,,,,0.0,5.6,22.3,True,,True,False,,,,,,,False,True,False,,False,True,False,False,False,,False,True,,,,True,True,False
19173,4,5.0,4.7,,5.0,0.0,,,,,,,6.0,4.9,3.9,,3.7,4.6,4.5,6.0,5.0,,2.1,4.6,,,,4.0,4.5,12.4,1.0,0.7,,1.0,-4.0,,,,,,,2.0,0.9,-0.1,,-0.3,0.6,0.5,2.0,1.0,,-1.9,0.6,,,,0.0,0.5,8.4,True,,False,False,,,,,,,False,True,True,,True,True,True,False,False,,False,True,,,,True,True,False
19175,1,3.0,3.3,,3.0,0.0,,,,,,,12.0,5.0,8.4,,4.2,0.9,,,2.0,,4.8,3.7,,,,2.0,4.8,9.3,2.0,2.3,,2.0,-1.0,,,,,,,11.0,4.0,7.4,,3.2,-0.1,,,1.0,,3.8,2.7,,,,1.0,3.8,8.3,False,,False,True,,,,,,,False,False,False,,False,True,,,True,,False,False,,,,True,False,False
19177,8,55.0,51.4,,10.0,0.0,,,,,,,10.0,55.1,5.4,,48.8,8.1,0.2,,51.0,,3.4,49.8,,,,52.0,45.6,103.2,47.0,43.4,,2.0,-8.0,,,,,,,2.0,47.1,-2.6,,40.8,0.1,-7.8,,43.0,,-4.6,41.8,,,,44.0,37.6,95.2,True,,True,True,,,,,,,True,False,True,,True,True,True,,True,,True,True,,,,True,True,False
19179,53,71.0,72.8,,58.0,80.0,,,,,,,72.0,58.4,51.8,,41.9,57.3,1.1,78.0,34.0,,44.7,71.1,,,,69.0,90.5,37.9,18.0,19.8,,5.0,27.0,,,,,,,19.0,5.4,-1.2,,-11.1,4.3,-51.9,25.0,-19.0,,-8.3,18.1,,,,16.0,37.5,-15.1,False,,True,False,,,,,,,False,True,True,,True,True,False,False,False,,True,False,,,,True,False,True
19181,79,117.0,113.6,,93.0,77.0,,,,,,,75.0,127.3,55.8,,92.7,69.5,66.0,127.0,71.0,,103.2,104.1,,,,137.0,118.1,186.4,38.0,34.6,,14.0,-2.0,,,,,,,-4.0,48.3,-23.2,,13.7,-9.5,-13.0,48.0,-8.0,,24.2,25.1,,,,58.0,39.1,107.4,True,,True,True,,,,,,,True,False,True,,True,True,True,False,True,,True,True,,,,False,False,False
19183,26,19.0,18.6,,11.0,7.0,,,,,,,26.0,28.4,12.7,,7.2,11.1,9.5,29.0,16.0,,9.3,18.3,,,,18.0,24.9,48.1,-7.0,-7.4,,-15.0,-19.0,,,,,,,0.0,2.4,-13.3,,-18.8,-14.9,-16.5,3.0,-10.0,,-16.7,-7.7,,,,-8.0,-1.1,22.1,False,,False,False,,,,,,,True,True,False,,False,False,False,True,False,,False,False,,,,False,True,False
19185,24,3.0,3.5,,4.0,0.0,,,,,,,4.0,22.9,6.1,,12.6,21.2,,0.0,0.0,,11.2,4.2,,,,3.0,9.5,18.4,-21.0,-20.5,,-20.0,-24.0,,,,,,,-20.0,-1.1,-17.9,,-11.4,-2.8,,-24.0,-24.0,,-12.8,-19.8,,,,-21.0,-14.5,-5.6,True,,True,False,,,,,,,True,True,True,,True,True,,False,False,,True,True,,,,False,True,True
19187,74,313.0,282.4,,90.0,23.0,,,,,,,90.0,231.0,5.3,,210.7,47.3,27.4,401.0,257.0,,29.2,279.7,,,,451.0,119.4,555.4,239.0,208.4,,16.0,-51.0,,,,,,,16.0,157.0,-68.7,,136.7,-26.7,-46.6,327.0,183.0,,-44.8,205.7,,,,377.0,45.4,481.4,True,,True,True,,,,,,,True,True,True,,True,True,True,False,True,,True,True,,,,False,True,False
19189,14,16.0,15.0,,15.0,25.0,,,,,,,13.0,24.5,17.5,,9.5,13.0,5.0,18.0,,,14.8,15.9,,,,17.0,22.7,24.0,2.0,1.0,,1.0,11.0,,,,,,,-1.0,10.5,3.5,,-4.5,-1.0,-9.0,4.0,,,0.8,1.9,,,,3.0,8.7,10.0,True,,True,False,,,,,,,True,False,False,,False,True,False,False,,,True,True,,,,False,False,False
19191,25,49.0,49.0,,43.0,85.0,,,,,,,21.0,73.6,29.6,,19.3,33.7,8.4,49.0,42.0,,42.7,45.2,,,,44.0,53.8,50.7,24.0,24.0,,18.0,60.0,,,,,,,-4.0,48.6,4.6,,-5.7,8.7,-16.6,24.0,17.0,,17.7,20.2,,,,19.0,28.8,25.7,False,,True,False,,,,,,,True,False,True,,True,True,True,False,True,,True,True,,,,True,False,False
19193,206,160.0,161.0,,156.0,230.0,,,,,,,156.0,111.5,68.4,,142.3,173.1,6.4,236.0,107.0,,133.5,167.0,,,,156.0,173.4,230.7,-46.0,-45.0,,-50.0,24.0,,,,,,,-50.0,-94.5,-137.6,,-63.7,-32.9,-199.6,30.0,-99.0,,-72.5,-39.0,,,,-50.0,-32.6,24.7,True,,False,True,,,,,,,False,False,False,,False,True,False,True,False,,False,True,,,,False,True,True
19195,6,4.0,3.7,,4.0,0.0,,,,,,,10.0,5.9,7.9,,3.4,1.4,,7.0,1.0,,2.6,3.7,,,,5.0,5.1,13.9,-2.0,-2.3,,-2.0,-6.0,,,,,,,4.0,-0.1,1.9,,-2.6,-4.6,,1.0,-5.0,,-3.4,-2.3,,,,-1.0,-0.9,7.9,False,,False,False,,,,,,,False,True,True,,False,False,,True,False,,False,False,,,,True,True,False
19197,10,24.0,25.0,,14.0,7.0,,,,,,,26.0,20.5,8.3,,10.6,13.7,0.7,36.0,13.0,,3.3,23.2,,,,22.0,23.2,57.9,14.0,15.0,,4.0,-3.0,,,,,,,16.0,10.5,-1.7,,0.6,3.7,-9.3,26.0,3.0,,-6.7,13.2,,,,12.0,13.2,47.9,False,,True,True,,,,,,,False,True,True,,True,True,True,False,True,,True,True,,,,True,True,False
20001,5,0.0,1.2,,1.0,0.0,,,,,,,4.0,1.4,2.5,,,0.0,,0.0,1.0,,0.3,,,,,0.0,1.7,5.7,-5.0,-3.8,,-4.0,-5.0,,,,,,,-1.0,-3.6,-2.5,,,-5.0,,-5.0,-4.0,,-4.7,,,,,-5.0,-3.3,0.7,True,,True,False,,,,,,,True,True,True,,,True,,False,True,,True,,,,,False,True,True
20003,11,0.0,0.0,,0.0,0.0,,,,,,,6.0,0.4,2.5,,0.4,0.0,,0.0,1.0,,0.0,0.5,,,,0.0,1.9,6.5,-11.0,-11.0,,-11.0,-11.0,,,,,,,-5.0,-10.6,-8.5,,-10.6,-11.0,,-11.0,-10.0,,-11.0,-10.5,,,,-11.0,-9.1,-4.5,False,,False,False,,,,,,,True,True,True,,True,True,,False,True,,False,True,,,,False,True,True
20005,0,62.0,55.9,,30.0,92.0,,,,,,,23.0,57.3,12.2,,1.7,12.3,3.5,,67.0,,30.3,50.1,,,,123.0,55.5,169.0,62.0,55.9,,30.0,92.0,,,,,,,23.0,57.3,12.2,,1.7,12.3,3.5,,67.0,,30.3,50.1,,,,123.0,55.5,169.0,True,,True,False,,,,,,,True,True,True,,True,True,True,,False,,True,True,,,,False,True,False
20007,1,0.0,0.0,,0.0,0.0,,,,,,,2.0,1.5,0.4,,0.0,0.0,,0.0,1.0,,0.3,0.0,,,,0.0,1.4,3.7,-1.0,-1.0,,-1.0,-1.0,,,,,,,1.0,0.5,-0.6,,-1.0,-1.0,,-1.0,0.0,,-0.7,-1.0,,,,-1.0,0.4,2.7,True,,False,False,,,,,,,False,True,True,,True,True,,False,True,,True,True,,,,False,True,False
20009,44,57.0,55.7,,32.0,73.0,,,,,,,32.0,74.2,46.7,,13.8,24.7,16.2,64.0,37.0,,15.9,64.0,,,,51.0,87.6,93.0,13.0,11.7,,-12.0,29.0,,,,,,,-12.0,30.2,2.7,,-30.2,-19.3,-27.8,20.0,-7.0,,-28.1,20.0,,,,7.0,43.6,49.0,True,,True,False,,,,,,,True,False,True,,False,False,False,False,True,,False,False,,,,True,False,False
20011,12,0.0,0.0,,1.0,0.0,,,,,,,14.0,2.6,9.6,,1.7,0.0,,,2.0,,2.4,0.7,,,,0.0,4.7,17.0,-12.0,-12.0,,-11.0,-12.0,,,,,,,2.0,-9.4,-2.4,,-10.3,-12.0,,,-10.0,,-9.6,-11.3,,,,-12.0,-7.3,5.0,False,,True,False,,,,,,,True,True,True,,True,True,,,True,,True,True,,,,False,True,True
20013,5,13.0,13.2,,8.0,13.0,,,,,,,11.0,4.4,11.4,,1.3,3.6,,14.0,52.0,,3.2,13.3,,,,14.0,12.7,19.5,8.0,8.2,,3.0,8.0,,,,,,,6.0,-0.6,6.4,,-3.7,-1.4,,9.0,47.0,,-1.8,8.3,,,,9.0,7.7,14.5,False,,True,False,,,,,,,True,True,True,,True,True,,False,False,,True,False,,,,False,True,False
20015,34,19.0,28.4,,24.0,20.0,,,,,,,100.0,36.1,93.8,,2.1,12.7,53.9,23.0,17.0,,4.5,24.3,,,,16.0,34.6,95.3,-15.0,-5.6,,-10.0,-14.0,,,,,,,66.0,2.1,59.8,,-31.9,-21.3,19.9,-11.0,-17.0,,-29.5,-9.7,,,,-18.0,0.6,61.3,True,,True,True,,,,,,,False,True,False,,False,False,False,True,False,,False,True,,,,False,True,False
20017,11,7.0,13.0,,1.0,0.0,,,,,,,2.0,6.4,2.2,,0.8,0.5,,,5.0,,0.6,,,,,3.0,8.1,10.4,-4.0,2.0,,-10.0,-11.0,,,,,,,-9.0,-4.6,-8.8,,-10.2,-10.5,,,-6.0,,-10.4,,,,,-8.0,-2.9,-0.6,True,,False,False,,,,,,,False,False,False,,False,False,,,False,,False,,,,,False,True,True
20019,1,1.0,1.1,,1.0,0.0,,,,,,,1.0,2.3,0.3,,0.0,0.0,,0.0,1.0,,0.1,1.0,,,,1.0,1.6,4.0,0.0,0.1,,0.0,-1.0,,,,,,,0.0,1.3,-0.7,,-1.0,-1.0,,-1.0,0.0,,-0.8,-0.0,,,,0.0,0.6,3.0,False,,True,False,,,,,,,True,False,False,,False,False,,False,True,,False,False,,,,True,False,False
20021,59,42.0,41.3,,31.0,43.0,,,,,,,31.0,37.8,23.1,,16.6,19.8,28.9,46.0,117.0,,0.0,43.5,,,,37.0,42.4,38.3,-17.0,-17.7,,-28.0,-16.0,,,,,,,-28.0,-21.2,-35.9,,-42.4,-39.2,-30.1,-13.0,58.0,,-59.0,-15.5,,,,-22.0,-16.6,-20.7,False,,False,True,,,,,,,False,False,False,,False,False,False,True,False,,False,True,,,,False,True,False
20023,2,1.0,0.9,,0.0,0.0,,,,,,,1.0,1.2,1.1,,0.0,0.0,,0.0,1.0,,0.0,0.9,,,,1.0,1.4,3.8,-1.0,-1.1,,-2.0,-2.0,,,,,,,-1.0,-0.8,-0.9,,-2.0,-2.0,,-2.0,-1.0,,-2.0,-1.1,,,,-1.0,-0.6,1.8,False,,False,False,,,,,,,False,True,True,,False,False,,False,False,,False,False,,,,False,True,False
20025,0,1.0,1.0,,1.0,0.0,,,,,,,3.0,1.6,0.5,,0.6,0.0,,,1.0,,0.1,1.1,,,,1.0,1.9,7.9,1.0,1.0,,1.0,0.0,,,,,,,3.0,1.6,0.5,,0.6,0.0,,,1.0,,0.1,1.1,,,,1.0,1.9,7.9,True,,False,True,,,,,,,False,False,True,,True,True,,,False,,True,False,,,,False,False,False
20027,10,7.0,6.5,,6.0,7.0,,,,,,,5.0,9.1,5.2,,0.3,0.0,,0.0,4.0,,0.3,6.2,,,,7.0,8.2,9.6,-3.0,-3.5,,-4.0,-3.0,,,,,,,-5.0,-0.9,-4.8,,-9.7,-10.0,,-10.0,-6.0,,-9.7,-3.8,,,,-3.0,-1.8,-0.4,False,,False,False,,,,,,,False,True,False,,False,False,,False,False,,False,False,,,,False,True,True
20029,9,9.0,7.9,,6.0,6.0,,,,,,,6.0,7.9,5.7,,0.8,1.6,,8.0,8.0,,1.5,8.2,,,,8.0,7.3,12.0,0.0,-1.1,,-3.0,-3.0,,,,,,,-3.0,-1.1,-3.3,,-8.2,-7.4,,-1.0,-1.0,,-7.5,-0.8,,,,-1.0,-1.7,3.0,False,,False,False,,,,,,,False,False,False,,False,False,,False,False,,False,False,,,,False,False,False
20031,11,6.0,6.1,,4.0,,,,,,,,8.0,4.3,2.9,,1.2,0.8,,7.0,9.0,,3.1,5.3,,,,6.0,6.3,5.9,-5.0,-4.9,,-7.0,,,,,,,,-3.0,-6.7,-8.1,,-9.8,-10.2,,-4.0,-2.0,,-7.9,-5.7,,,,-5.0,-4.7,-5.1,True,,False,,,,,,,,True,False,False,,False,False,,True,True,,False,False,,,,False,True,False
20033,0,0.0,0.3,,0.0,0.0,,,,,,,1.0,0.1,0.3,,0.0,0.0,,0.0,0.0,,0.0,0.1,,,,0.0,1.7,3.4,0.0,0.3,,0.0,0.0,,,,,,,1.0,0.1,0.3,,0.0,0.0,,0.0,0.0,,0.0,0.1,,,,0.0,1.7,3.4,False,,True,True,,,,,,,False,False,False,,False,False,,True,True,,True,False,,,,True,False,False
20035,21,27.0,27.8,,28.0,36.0,,,,,,,51.0,42.4,47.9,,5.8,12.3,23.3,35.0,14.0,,12.6,29.0,,,,29.0,32.6,31.2,6.0,6.8,,7.0,15.0,,,,,,,30.0,21.4,26.9,,-15.2,-8.7,2.3,14.0,-7.0,,-8.4,8.0,,,,8.0,11.6,10.2,False,,False,False,,,,,,,False,False,False,,False,False,True,False,False,,False,False,,,,False,False,False
20037,251,105.0,91.5,,90.0,120.0,,,,,,,67.0,46.9,36.0,,91.1,37.1,14.9,,171.0,,178.2,89.9,,,,151.0,70.4,109.2,-146.0,-159.5,,-161.0,-131.0,,,,,,,-184.0,-204.1,-215.0,,-159.9,-213.9,-236.1,,-80.0,,-72.8,-161.1,,,,-100.0,-180.6,-141.8,False,,False,True,,,,,,,False,False,False,,False,False,False,,True,,True,False,,,,True,False,True
20039,2,0.0,0.2,,0.0,0.0,,,,,,,1.0,0.1,0.2,,,0.0,,0.0,1.0,,0.0,0.0,,,,0.0,1.5,3.3,-2.0,-1.8,,-2.0,-2.0,,,,,,,-1.0,-1.9,-1.8,,,-2.0,,-2.0,-1.0,,-2.0,-2.0,,,,-2.0,-0.5,1.3,True,,False,False,,,,,,,True,True,True,,,True,,False,True,,False,True,,,,False,True,True
20041,8,12.0,12.2,,12.0,17.0,,,,,,,12.0,14.5,16.7,,1.5,4.0,,14.0,23.0,,4.8,11.2,,,,17.0,16.3,17.8,4.0,4.2,,4.0,9.0,,,,,,,4.0,6.5,8.7,,-6.5,-4.0,,6.0,15.0,,-3.2,3.2,,,,9.0,8.3,9.8,False,,False,False,,,,,,,False,False,False,,False,True,,False,False,,True,True,,,,False,False,False
20043,10,10.0,9.6,,8.0,7.0,,,,,,,8.0,10.9,4.8,,1.0,1.5,,14.0,10.0,,0.6,8.2,,,,9.0,8.6,15.6,0.0,-0.4,,-2.0,-3.0,,,,,,,-2.0,0.9,-5.2,,-9.0,-8.5,,4.0,0.0,,-9.4,-1.8,,,,-1.0,-1.4,5.6,False,,False,False,,,,,,,False,False,False,,False,False,,False,True,,False,False,,,,False,False,False
