,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
13307,5,12.0,,11.6,,4.0,0.0,,,,,9.1,,4.7,1.8,,2.2,15.2,,,,5.0,,7.0,,6.6,,-1.0,-5.0,,,,,4.1,,-0.3,-3.2,,-2.8,10.2,,,,0.0,,,True,,True,True,,,,,True,,True,True,,True,False,,,,True,
13309,63,28.0,,45.0,,19.0,3.0,,,,,33.6,,18.4,19.4,,11.1,25.6,,,,15.0,,-35.0,,-18.0,,-44.0,-60.0,,,,,-29.4,,-44.6,-43.6,,-51.9,-37.4,,,,-48.0,,,True,,False,False,,,,,True,,False,False,,False,False,,,,False,
13311,237,216.0,,206.6,,187.0,238.0,,,,,241.6,,67.5,171.4,,88.9,335.2,,,,183.0,,-21.0,,-30.4,,-50.0,1.0,,,,,4.6,,-169.5,-65.6,,-148.1,98.2,,,,-54.0,,,False,,False,True,,,,,True,,False,False,,False,False,,,,False,
13313,610,1444.0,2956.2,1527.1,,1250.0,872.0,,,,,806.1,,1166.4,1095.2,,1216.9,1463.9,,,,477.0,,834.0,2346.2,917.1,,640.0,262.0,,,,,196.1,,556.4,485.2,,606.9,853.9,,,,-133.0,,False,False,,True,True,,,,,True,,True,True,,True,False,,,,True,
13315,48,68.0,,59.7,,37.0,28.0,,,,,37.2,,23.3,56.7,,27.1,46.3,,,,26.0,,20.0,,11.7,,-11.0,-20.0,,,,,-10.8,,-24.7,8.7,,-20.9,-1.7,,,,-22.0,,,True,,True,False,,,,,True,,False,True,,False,True,,,,False,
13317,43,52.0,,62.5,,39.0,25.0,,,,,56.1,,30.6,51.0,,41.9,36.2,,,,34.0,,9.0,,19.5,,-4.0,-18.0,,,,,13.1,,-12.4,8.0,,-1.1,-6.8,,,,-9.0,,,False,,True,False,,,,,False,,False,True,,True,True,,,,False,
13319,94,132.0,,130.7,,121.0,58.0,,,,,72.0,,53.9,111.3,,154.6,211.8,,,,59.0,,38.0,,36.7,,27.0,-36.0,,,,,-22.0,,-40.1,17.3,,60.6,117.8,,,,-35.0,,,True,,True,True,,,,,True,,False,True,,False,False,,,,True,
13321,71,92.0,,89.5,,89.0,98.0,,,,,72.1,,42.2,94.7,,96.0,78.2,,,,43.0,,21.0,,18.5,,18.0,27.0,,,,,1.1,,-28.8,23.7,,25.0,7.2,,,,-28.0,,,True,,True,False,,,,,True,,False,False,,False,True,,,,False,
15001,365,52.0,3.4,59.3,,45.0,168.0,,,,,66.7,,14.2,44.2,,16.8,49.4,51.0,,,79.0,,-313.0,-361.6,-305.7,,-320.0,-197.0,,,,,-298.3,,-350.8,-320.8,,-348.2,-315.6,-314.0,,,-286.0,,False,True,,False,True,,,,,True,,False,False,,False,False,False,,,True,
15003,5801,4488.0,2607.3,4272.2,,5080.0,5878.0,,,,,8906.5,,10931.9,5089.6,,4917.0,5567.3,22561.0,,,11458.0,,-1313.0,-3193.7,-1528.8,,-721.0,77.0,,,,,3105.5,,5130.9,-711.4,,-884.0,-233.7,16760.0,,,5657.0,,False,False,,True,True,,,,,False,,False,True,,True,True,False,,,False,
15005,0,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.1,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.1,,0.0,,,,,,,,True,,True,True,,,,,True,,,False,,True,,,,,,
15007,10,0.0,0.0,3.0,,0.0,0.0,,,,,9.7,,1.0,4.9,,2.5,1.9,,,,1.0,,-10.0,-10.0,-7.0,,-10.0,-10.0,,,,,-0.3,,-9.0,-5.1,,-7.5,-8.1,,,,-9.0,,False,True,,False,False,,,,,True,,True,True,,True,True,,,,True,
15009,168,56.0,5.7,62.4,,46.0,190.0,,,,,350.9,,7.2,69.8,,12.4,39.2,73.0,,,54.0,,-112.0,-162.3,-105.6,,-122.0,22.0,,,,,182.9,,-160.8,-98.2,,-155.6,-128.8,-95.0,,,-114.0,,False,True,,False,True,,,,,False,,False,True,,False,False,True,,,False,
16001,2479,3712.0,8772.2,3728.9,3418.4,3665.0,5765.0,,,,,6001.8,,3570.0,2557.1,,1775.0,2076.4,2563.0,,,2668.0,,1233.0,6293.2,1249.9,939.4,1186.0,3286.0,,,,,3522.8,,1091.0,78.1,,-704.0,-402.6,84.0,,,189.0,,False,False,True,True,False,,,,,False,,True,True,,True,True,True,,,True,
16003,6,4.0,,3.2,,4.0,0.0,,,,,4.3,,4.3,0.4,,2.3,2.4,,,,1.0,,-2.0,,-2.8,,-2.0,-6.0,,,,,-1.7,,-1.7,-5.6,,-3.7,-3.6,,,,-5.0,,,False,,False,False,,,,,True,,True,False,,False,False,,,,False,
16005,253,356.0,310.4,358.4,,356.0,460.0,,,,,667.4,,138.6,231.2,,479.0,462.2,,,,358.0,,103.0,57.4,105.4,,103.0,207.0,,,,,414.4,,-114.4,-21.8,,226.0,209.2,,,,105.0,,True,False,,False,False,,,,,False,,False,True,,False,False,,,,False,
16007,16,36.0,,39.6,,24.0,0.0,,,,,31.3,,,11.5,,65.7,22.6,,,,111.0,,20.0,,23.6,,8.0,-16.0,,,,,15.3,,,-4.5,,49.7,6.6,,,,95.0,,,False,,True,True,,,,,True,,,True,,False,True,,,,False,
16009,55,52.0,,51.2,,44.0,45.0,,,,,49.0,,9.9,30.4,,43.4,53.0,,,,55.0,,-3.0,,-3.8,,-11.0,-10.0,,,,,-6.0,,-45.1,-24.6,,-11.6,-2.0,,,,0.0,,,False,,False,False,,,,,False,,False,False,,False,True,,,,True,
16011,215,256.0,,268.0,,272.0,373.0,,,,,487.4,,167.1,173.0,,475.2,378.5,,,,316.0,,41.0,,53.0,,57.0,158.0,,,,,272.4,,-47.9,-42.0,,260.2,163.5,,,,101.0,,,False,,False,False,,,,,False,,False,False,,False,False,,,,False,
16013,33,24.0,,25.9,,18.0,0.0,,,,,39.4,,5.5,23.8,,13.0,34.0,,,,22.0,,-9.0,,-7.1,,-15.0,-33.0,,,,,6.4,,-27.5,-9.2,,-20.0,1.0,,,,-11.0,,,True,,False,False,,,,,True,,False,False,,False,True,,,,False,
16015,15,40.0,,37.8,,36.0,0.0,,,,,48.3,,,23.4,,695.9,,,,,30.0,,25.0,,22.8,,21.0,-15.0,,,,,33.3,,,8.4,,680.9,,,,,15.0,,,True,,True,True,,,,,False,,,True,,False,,,,,True,
16017,38,124.0,,123.5,,109.0,112.0,,,,,346.4,,90.0,80.9,,68.8,130.4,,,,140.0,,86.0,,85.5,,71.0,74.0,,,,,308.4,,52.0,42.9,,30.8,92.4,,,,102.0,,,True,,True,True,,,,,False,,True,True,,True,False,,,,False,
16019,881,1176.0,884.1,1173.1,,1168.0,1631.0,,,,,1567.7,,879.4,1102.7,,1316.3,1278.9,,,,1167.0,,295.0,3.1,292.1,,287.0,750.0,,,,,686.7,,-1.6,221.7,,435.3,397.9,,,,286.0,,True,True,,True,False,,,,,False,,True,True,,False,False,,,,True,
16021,9,8.0,,3.2,,5.0,1.0,,,,,18.9,,,3.4,,12.1,,,,,2.0,,-1.0,,-5.8,,-4.0,-8.0,,,,,9.9,,,-5.6,,3.1,,,,,-7.0,,,False,,False,False,,,,,False,,,False,,False,,,,,False,
16023,16,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,-16.0,,-16.0,,-16.0,-16.0,,,,,-16.0,,,-16.0,,-16.0,,,,,,,,False,,False,False,,,,,False,,,True,,False,,,,,,
16025,3,0.0,,0.0,,0.0,0.0,,,,,0.4,,0.0,0.0,,0.0,,,,,0.0,,-3.0,,-3.0,,-3.0,-3.0,,,,,-2.6,,-3.0,-3.0,,-3.0,,,,,-3.0,,,False,,False,False,,,,,True,,True,True,,False,,,,,False,
16027,1606,3792.0,5455.6,3845.9,3273.3,3364.0,6740.0,,,,,3476.6,,3943.9,2731.1,,3015.1,3229.8,1707.0,,,2142.0,,2186.0,3849.6,2239.9,1667.3,1758.0,5134.0,,,,,1870.6,,2337.9,1125.1,,1409.1,1623.8,101.0,,,536.0,,False,False,True,True,False,,,,,True,,False,True,,True,True,True,,,True,
16029,10,32.0,,35.7,,8.0,2.0,,,,,11.6,,7.6,4.7,,7.5,30.9,,,,105.0,,22.0,,25.7,,-2.0,-8.0,,,,,1.6,,-2.4,-5.3,,-2.5,20.9,,,,95.0,,,False,,True,True,,,,,True,,True,True,,True,True,,,,False,
16031,70,176.0,,184.7,,163.0,193.0,,,,,177.3,,36.1,146.2,,211.4,139.3,,,,134.0,,106.0,,114.7,,93.0,123.0,,,,,107.3,,-33.9,76.2,,141.4,69.3,,,,64.0,,,False,,True,False,,,,,False,,True,True,,False,True,,,,True,
16033,13,28.0,,26.6,,26.0,,,,,,27.3,,,4.3,,33.4,,,,,29.0,,15.0,,13.6,,13.0,,,,,,14.3,,,-8.7,,20.4,,,,,16.0,,,True,,True,,,,,,True,,,True,,False,,,,,False,
16035,7,4.0,,6.2,,3.0,0.0,,,,,7.5,,,0.8,,3.3,,,,,1.0,,-3.0,,-0.8,,-4.0,-7.0,,,,,0.5,,,-6.2,,-3.7,,,,,-6.0,,,True,,False,False,,,,,True,,,False,,False,,,,,False,
16037,32,12.0,,12.2,,4.0,0.0,,,,,3.5,,0.9,1.6,,4.1,8.0,,,,77.0,,-20.0,,-19.8,,-28.0,-32.0,,,,,-28.5,,-31.1,-30.4,,-27.9,-24.0,,,,45.0,,,True,,False,False,,,,,False,,False,False,,False,False,,,,False,
16039,81,48.0,,31.1,,44.0,103.0,,,,,205.6,,18.2,52.7,,15.3,94.5,,,,25.0,,-33.0,,-49.9,,-37.0,22.0,,,,,124.6,,-62.8,-28.3,,-65.7,13.5,,,,-56.0,,,False,,False,True,,,,,False,,False,True,,False,True,,,,False,
16041,7,16.0,,14.0,,11.0,5.0,,,,,21.2,,15.9,3.2,,6.1,25.5,,,,7.0,,9.0,,7.0,,4.0,-2.0,,,,,14.2,,8.9,-3.8,,-0.9,18.5,,,,0.0,,,True,,True,True,,,,,False,,True,True,,True,False,,,,True,
16043,39,116.0,,116.0,,85.0,79.0,,,,,110.6,,21.2,82.4,,90.3,,,,,186.0,,77.0,,77.0,,46.0,40.0,,,,,71.6,,-17.8,43.4,,51.3,,,,,147.0,,,False,,True,True,,,,,True,,True,True,,True,,,,,False,
16045,50,112.0,,117.7,,94.0,93.0,,,,,139.3,,45.0,77.7,,95.3,116.9,,,,78.0,,62.0,,67.7,,44.0,43.0,,,,,89.3,,-5.0,27.7,,45.3,66.9,,,,28.0,,,False,,True,True,,,,,False,,True,True,,True,False,,,,True,
16047,79,108.0,,110.9,,103.0,124.0,,,,,109.3,,26.6,86.1,,141.3,99.6,,,,109.0,,29.0,,31.9,,24.0,45.0,,,,,30.3,,-52.4,7.1,,62.3,20.6,,,,30.0,,,False,,True,False,,,,,False,,False,True,,False,True,,,,False,
16049,13,8.0,,11.9,,4.0,0.0,,,,,32.5,,3.8,2.7,,3.8,,,,,3.0,,-5.0,,-1.1,,-9.0,-13.0,,,,,19.5,,-9.2,-10.3,,-9.2,,,,,-10.0,,,True,,False,False,,,,,False,,False,False,,False,,,,,False,
16051,180,220.0,,214.7,,207.0,325.0,,,,,246.2,,157.0,198.8,,184.7,235.9,,,,198.0,,40.0,,34.7,,27.0,145.0,,,,,66.2,,-23.0,18.8,,4.7,55.9,,,,18.0,,,True,,True,False,,,,,False,,True,True,,True,False,,,,True,
16053,146,204.0,,213.1,,185.0,270.0,,,,,144.0,,59.7,170.8,,137.5,208.9,,,,188.0,,58.0,,67.1,,39.0,124.0,,,,,-2.0,,-86.3,24.8,,-8.5,62.9,,,,42.0,,,False,,True,False,,,,,True,,False,True,,True,False,,,,True,
16055,447,864.0,2086.9,884.5,,740.0,632.0,,,,,1577.9,,638.3,538.0,,919.2,469.4,576.0,,,606.0,,417.0,1639.9,437.5,,293.0,185.0,,,,,1130.9,,191.3,91.0,,472.2,22.4,129.0,,,159.0,,False,False,,True,True,,,,,False,,True,True,,False,True,True,,,True,
16057,151,80.0,,81.7,,80.0,112.0,,,,,202.8,,35.7,49.3,,89.8,107.3,,,,71.0,,-71.0,,-69.3,,-71.0,-39.0,,,,,51.8,,-115.3,-101.7,,-61.2,-43.7,,,,-80.0,,,True,,False,True,,,,,True,,False,False,,True,True,,,,False,
16059,47,44.0,,45.1,,9.0,0.0,,,,,30.2,,6.6,29.4,,8.2,,,,,118.0,,-3.0,,-1.9,,-38.0,-47.0,,,,,-16.8,,-40.4,-17.6,,-38.8,,,,,71.0,,,True,,False,False,,,,,False,,False,False,,False,,,,,False,
16061,9,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.1,,0.0,,,,,0.0,,-9.0,,-9.0,,-9.0,-9.0,,,,,-9.0,,,-8.9,,-9.0,,,,,-9.0,,,False,,False,False,,,,,False,,,True,,False,,,,,False,
16063,14,24.0,,26.7,,16.0,,,,,,16.8,,6.3,5.0,,15.7,20.2,,,,29.0,,10.0,,12.7,,2.0,,,,,,2.8,,-7.7,-9.0,,1.7,6.2,,,,15.0,,,False,,True,,,,,,True,,True,True,,True,True,,,,False,
16065,98,120.0,,121.0,,95.0,155.0,,,,,206.4,,32.0,110.1,,50.3,77.9,,,,146.0,,22.0,,23.0,,-3.0,57.0,,,,,108.4,,-66.0,12.1,,-47.7,-20.1,,,,48.0,,,False,,True,False,,,,,False,,False,True,,False,True,,,,False,
16067,90,188.0,,204.2,,163.0,175.0,,,,,197.7,,36.7,148.0,,168.1,159.1,,,,108.0,,98.0,,114.2,,73.0,85.0,,,,,107.7,,-53.3,58.0,,78.1,69.1,,,,18.0,,,False,,True,True,,,,,False,,True,True,,True,True,,,,True,
16069,159,112.0,,105.5,,95.0,169.0,,,,,163.0,,28.9,83.7,,91.2,108.1,,,,348.0,,-47.0,,-53.5,,-64.0,10.0,,,,,4.0,,-130.1,-75.3,,-67.8,-50.9,,,,189.0,,,False,,False,True,,,,,True,,False,False,,False,False,,,,False,
16071,9,20.0,,20.5,,4.0,0.0,,,,,8.8,,,2.0,,3.6,15.3,,,,61.0,,11.0,,11.5,,-5.0,-9.0,,,,,-0.2,,,-7.0,,-5.4,6.3,,,,52.0,,,False,,True,True,,,,,True,,,True,,True,True,,,,False,
16073,44,120.0,,115.5,,74.0,41.0,,,,,108.8,,64.4,79.9,,42.0,180.1,,,,62.0,,76.0,,71.5,,30.0,-3.0,,,,,64.8,,20.4,35.9,,-2.0,136.1,,,,18.0,,,True,,True,True,,,,,True,,True,True,,True,False,,,,True,
16075,329,232.0,,238.6,,188.0,299.0,,,,,232.7,,155.1,157.8,,195.6,158.8,,,,189.0,,-97.0,,-90.4,,-141.0,-30.0,,,,,-96.3,,-173.9,-171.2,,-133.4,-170.2,,,,-140.0,,,True,,False,True,,,,,True,,False,False,,False,False,,,,False,
16077,76,52.0,,47.2,,28.0,27.0,,,,,40.9,,19.7,29.7,,5.0,52.5,,,,44.0,,-24.0,,-28.8,,-48.0,-49.0,,,,,-35.1,,-56.3,-46.3,,-71.0,-23.5,,,,-32.0,,,False,,False,False,,,,,False,,False,False,,False,True,,,,False,
16079,102,92.0,,92.0,,92.0,44.0,,,,,240.8,,,85.8,,93.6,,,,,91.0,,-10.0,,-10.0,,-10.0,-58.0,,,,,138.8,,,-16.2,,-8.4,,,,,-11.0,,,True,,False,False,,,,,False,,,False,,True,,,,,False,
16081,47,96.0,,91.3,,69.0,202.0,,,,,50.1,,21.2,61.0,,29.9,76.4,,,,211.0,,49.0,,44.3,,22.0,155.0,,,,,3.1,,-25.8,14.0,,-17.1,29.4,,,,164.0,,,True,,True,False,,,,,True,,True,True,,True,True,,,,False,
16083,350,712.0,622.7,657.5,,655.0,1185.0,,,,,725.3,,659.8,702.4,,516.8,528.4,,,,556.0,,362.0,272.7,307.5,,305.0,835.0,,,,,375.3,,309.8,352.4,,166.8,178.4,,,,206.0,,True,True,,True,False,,,,,False,,True,True,,True,True,,,,True,
16085,26,52.0,,54.4,,24.0,0.0,,,,,44.8,,19.4,27.1,,18.7,72.2,,,,88.0,,26.0,,28.4,,-2.0,-26.0,,,,,18.8,,-6.6,1.1,,-7.3,46.2,,,,62.0,,,False,,True,False,,,,,True,,True,True,,True,False,,,,False,
16087,90,56.0,,54.5,,57.0,60.0,,,,,77.2,,24.4,62.6,,55.8,67.7,,,,47.0,,-34.0,,-35.5,,-33.0,-30.0,,,,,-12.8,,-65.6,-27.4,,-34.2,-22.3,,,,-43.0,,,False,,True,True,,,,,True,,False,True,,False,True,,,,False,
17001,296,428.0,464.8,430.4,,329.0,684.0,,,,,819.3,,272.5,271.4,,232.1,347.5,,,,510.0,,132.0,168.8,134.4,,33.0,388.0,,,,,523.3,,-23.5,-24.6,,-63.9,51.5,,,,214.0,,False,False,,True,False,,,,,False,,True,True,,True,True,,,,False,
17003,13,4.0,,4.5,,4.0,0.0,,,,,18.4,,10.3,0.6,,3.2,12.4,,,,2.0,,-9.0,,-8.5,,-9.0,-13.0,,,,,5.4,,-2.7,-12.4,,-9.8,-0.6,,,,-11.0,,,True,,False,False,,,,,True,,True,False,,False,True,,,,False,
17005,142,44.0,,43.2,,37.0,95.0,,,,,85.1,,11.9,28.7,,11.5,55.1,,,,44.0,,-98.0,,-98.8,,-105.0,-47.0,,,,,-56.9,,-130.1,-113.3,,-130.5,-86.9,,,,-98.0,,,False,,False,True,,,,,True,,False,False,,False,True,,,,False,
17007,152,136.0,59.5,125.3,,124.0,199.0,,,,,166.0,,39.2,162.6,,105.8,125.1,,,,135.0,,-16.0,-92.5,-26.7,,-28.0,47.0,,,,,14.0,,-112.8,10.6,,-46.2,-26.9,,,,-17.0,,False,False,,False,False,,,,,True,,False,True,,False,False,,,,False,
17009,13,0.0,,0.4,,0.0,0.0,,,,,0.8,,2.3,2.0,,3.5,0.0,,,,0.0,,-13.0,,-12.6,,-13.0,-13.0,,,,,-12.2,,-10.7,-11.0,,-9.5,-13.0,,,,-13.0,,,True,,False,False,,,,,True,,True,True,,True,True,,,,False,
17011,247,232.0,,230.6,,228.0,517.0,,,,,403.9,,238.3,253.3,,87.2,216.5,,,,380.0,,-15.0,,-16.4,,-19.0,270.0,,,,,156.9,,-8.7,6.3,,-159.8,-30.5,,,,133.0,,,False,,False,False,,,,,False,,True,True,,False,False,,,,False,
17013,25,8.0,,8.2,,3.0,0.0,,,,,16.5,,0.6,0.9,,1.8,4.5,,,,9.0,,-17.0,,-16.8,,-22.0,-25.0,,,,,-8.5,,-24.4,-24.1,,-23.2,-20.5,,,,-16.0,,,True,,False,False,,,,,True,,False,False,,False,False,,,,True,
17015,96,40.0,,38.1,,31.0,104.0,,,,,86.5,,20.5,42.4,,16.8,24.1,,,,41.0,,-56.0,,-57.9,,-65.0,8.0,,,,,-9.5,,-75.5,-53.6,,-79.2,-71.9,,,,-55.0,,,False,,False,True,,,,,True,,False,True,,False,False,,,,True,
17017,105,128.0,,130.0,,111.0,138.0,,,,,126.6,,91.0,100.8,,201.6,60.1,,,,131.0,,23.0,,25.0,,6.0,33.0,,,,,21.6,,-14.0,-4.2,,96.6,-44.9,,,,26.0,,,False,,True,False,,,,,True,,True,True,,False,False,,,,False,
17019,1708,600.0,358.0,590.2,,415.0,648.0,,,,,910.9,,286.0,419.4,,246.4,576.2,387.0,,,526.0,,-1108.0,-1350.0,-1117.8,,-1293.0,-1060.0,,,,,-797.1,,-1422.0,-1288.6,,-1461.6,-1131.8,-1321.0,,,-1182.0,,False,False,,False,True,,,,,True,,False,False,,False,False,False,,,False,
17021,130,104.0,,107.2,,110.0,189.0,,,,,202.0,,74.2,113.5,,152.6,194.6,,,,173.0,,-26.0,,-22.8,,-20.0,59.0,,,,,72.0,,-55.8,-16.5,,22.6,64.6,,,,43.0,,,True,,True,False,,,,,False,,False,True,,True,False,,,,False,
17023,41,60.0,,57.1,,40.0,33.0,,,,,91.4,,23.6,45.8,,31.4,69.0,,,,58.0,,19.0,,16.1,,-1.0,-8.0,,,,,50.4,,-17.4,4.8,,-9.6,28.0,,,,17.0,,,True,,True,True,,,,,False,,True,True,,True,False,,,,True,
17025,89,40.0,,40.6,,25.0,0.0,,,,,27.1,,2.4,24.6,,47.2,,,,,160.0,,-49.0,,-48.4,,-64.0,-89.0,,,,,-61.9,,-86.6,-64.4,,-41.8,,,,,71.0,,,True,,False,False,,,,,False,,False,False,,True,,,,,False,
17027,436,252.0,,254.9,,241.0,481.0,,,,,207.1,,224.8,250.7,,220.7,222.6,,,,336.0,,-184.0,,-181.1,,-195.0,45.0,,,,,-228.9,,-211.2,-185.3,,-215.3,-213.4,,,,-100.0,,,True,,False,True,,,,,False,,False,False,,False,False,,,,True,
17029,642,356.0,290.5,346.1,,309.0,416.0,,,,,616.5,,155.2,292.5,,343.3,215.1,,,,370.0,,-286.0,-351.5,-295.9,,-333.0,-226.0,,,,,-25.5,,-486.8,-349.5,,-298.7,-426.9,,,,-272.0,,False,False,,False,True,,,,,True,,False,False,,False,False,,,,True,
17031,19751,18936.0,7585.4,18885.7,17535.8,18915.0,26328.0,,,,,19144.9,,14588.4,21149.9,,19084.1,24299.2,18285.0,,,20339.0,,-815.0,-12165.6,-865.3,-2215.2,-836.0,6577.0,,,,,-606.1,,-5162.6,1398.9,,-666.9,4548.2,-1466.0,,,588.0,,False,False,False,False,False,,,,,True,,False,False,,True,False,False,,,True,
17033,121,0.0,,0.8,,1.0,2.0,,,,,14.9,,6.4,0.5,,4.1,2.2,,,,0.0,,-121.0,,-120.2,,-120.0,-119.0,,,,,-106.1,,-114.6,-120.5,,-116.9,-118.8,,,,-121.0,,,True,,True,True,,,,,True,,True,True,,True,True,,,,False,
17035,105,32.0,,31.3,,24.0,25.0,,,,,74.8,,14.1,23.5,,20.5,26.2,,,,47.0,,-73.0,,-73.7,,-81.0,-80.0,,,,,-30.2,,-90.9,-81.5,,-84.5,-78.8,,,,-58.0,,,False,,False,False,,,,,True,,False,False,,False,False,,,,True,
17037,288,400.0,226.1,382.5,,378.0,732.0,,,,,536.2,,127.9,335.4,,399.3,512.2,,,,509.0,,112.0,-61.9,94.5,,90.0,444.0,,,,,248.2,,-160.1,47.4,,111.3,224.2,,,,221.0,,True,True,,True,False,,,,,False,,False,True,,True,False,,,,False,
17039,30,20.0,,25.2,,12.0,29.0,,,,,35.2,,6.9,11.0,,9.9,,,,,18.0,,-10.0,,-4.8,,-18.0,-1.0,,,,,5.2,,-23.1,-19.0,,-20.1,,,,,-12.0,,,True,,False,True,,,,,True,,False,False,,False,,,,,False,
17041,122,52.0,,54.8,,50.0,45.0,,,,,71.2,,35.6,49.6,,50.5,92.1,,,,21.0,,-70.0,,-67.2,,-72.0,-77.0,,,,,-50.8,,-86.4,-72.4,,-71.5,-29.9,,,,-101.0,,,True,,False,False,,,,,True,,False,False,,False,True,,,,False,
17043,3092,3100.0,2384.8,3094.5,3292.0,3046.0,5089.0,,,,,4294.0,,2029.4,3266.6,,2499.6,4627.6,3263.0,,,3393.0,,8.0,-707.2,2.5,200.0,-46.0,1997.0,,,,,1202.0,,-1062.6,174.6,,-592.4,1535.6,171.0,,,301.0,,False,True,False,False,False,,,,,False,,False,False,,False,False,False,,,False,
17045,69,16.0,,13.4,,7.0,0.0,,,,,23.9,,7.2,2.9,,11.9,,,,,12.0,,-53.0,,-55.6,,-62.0,-69.0,,,,,-45.1,,-61.8,-66.1,,-57.1,,,,,-57.0,,,False,,False,False,,,,,True,,False,False,,False,,,,,False,
17047,29,16.0,,19.9,,6.0,0.0,,,,,23.6,,2.5,9.7,,1.9,,,,,28.0,,-13.0,,-9.1,,-23.0,-29.0,,,,,-5.4,,-26.5,-19.3,,-27.1,,,,,-1.0,,,True,,False,False,,,,,True,,False,False,,False,,,,,True,
17049,492,220.0,,215.4,,213.0,484.0,,,,,286.0,,196.8,166.3,,357.1,194.9,,,,420.0,,-272.0,,-276.6,,-279.0,-8.0,,,,,-206.0,,-295.2,-325.7,,-134.9,-297.1,,,,-72.0,,,False,,False,True,,,,,True,,False,False,,True,False,,,,True,
17051,137,44.0,,49.1,,37.0,94.0,,,,,97.8,,15.6,37.2,,20.5,37.7,,,,48.0,,-93.0,,-87.9,,-100.0,-43.0,,,,,-39.2,,-121.4,-99.8,,-116.5,-99.3,,,,-89.0,,,True,,False,True,,,,,True,,False,False,,False,False,,,,True,
17053,34,40.0,,48.8,,28.0,65.0,,,,,44.3,,13.2,25.7,,15.5,32.7,,,,99.0,,6.0,,14.8,,-6.0,31.0,,,,,10.3,,-20.8,-8.3,,-18.5,-1.3,,,,65.0,,,False,,False,False,,,,,False,,False,False,,False,True,,,,False,
17055,209,200.0,,193.5,,193.0,391.0,,,,,355.9,,304.3,192.8,,170.0,166.4,,,,269.0,,-9.0,,-15.5,,-16.0,182.0,,,,,146.9,,95.3,-16.2,,-39.0,-42.6,,,,60.0,,,False,,False,False,,,,,False,,False,False,,False,False,,,,False,
17057,70,32.0,,31.8,,27.0,73.0,,,,,114.4,,5.5,13.8,,73.3,21.2,,,,59.0,,-38.0,,-38.2,,-43.0,3.0,,,,,44.4,,-64.5,-56.2,,3.3,-48.8,,,,-11.0,,,False,,False,True,,,,,False,,False,False,,True,False,,,,True,
17059,16,32.0,,30.1,,22.0,23.0,,,,,47.8,,7.3,19.0,,3.2,,,,,14.0,,16.0,,14.1,,6.0,7.0,,,,,31.8,,-8.7,3.0,,-12.8,,,,,-2.0,,,True,,True,True,,,,,False,,True,True,,True,,,,,True,
17061,119,80.0,,69.5,,68.0,162.0,,,,,54.4,,18.0,53.3,,78.2,,,,,314.0,,-39.0,,-49.5,,-51.0,43.0,,,,,-64.6,,-101.0,-65.7,,-40.8,,,,,195.0,,,False,,False,False,,,,,False,,False,False,,False,,,,,False,
17063,227,168.0,126.4,167.6,,168.0,234.0,,,,,260.2,,85.0,171.3,,180.3,204.9,,,,217.0,,-59.0,-100.6,-59.4,,-59.0,7.0,,,,,33.2,,-142.0,-55.7,,-46.7,-22.1,,,,-10.0,,False,False,,False,True,,,,,True,,False,True,,True,True,,,,True,
