,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Montana,133,109.0,112.0,112.7,124.0,110.0,125.0,98.0,,,120.0,103.3,125.6,,123.0,129.3,191.7,162.7,119.7,105.0,176.0,119.8,,160.0,121.1,151.0,,,97.7,,216.5,131.0,97.0,,121.0,150.6,127.1,133.0,133.0,127.8,108.0,-24.0,-21.0,-20.3,-9.0,-23.0,-8.0,-35.0,,,-13.0,-29.7,-7.4,,-10.0,-3.7,58.7,29.7,-13.3,-28.0,43.0,-13.2,,27.0,-11.9,18.0,,,-35.3,,83.5,-2.0,-36.0,,-12.0,17.6,-5.9,0.0,0.0,-5.2,-25.0,True,True,True,True,True,False,,,True,False,True,,True,True,False,False,True,False,False,True,,False,True,True,,,False,,False,True,False,,True,True,True,True,True,True,False
Nebraska,437,422.7,509.0,427.5,435.0,425.0,416.0,471.0,,,388.0,419.6,425.4,,425.0,442.3,523.3,446.9,394.9,411.7,411.4,405.5,,427.1,424.5,385.0,,,390.7,,506.9,452.0,415.0,,415.0,410.0,446.6,420.0,434.0,423.3,392.0,-14.3,72.0,-9.5,-2.0,-12.0,-21.0,34.0,,,-49.0,-17.4,-11.6,,-12.0,5.3,86.3,9.9,-42.1,-25.3,-25.6,-31.5,,-9.9,-12.5,-52.0,,,-46.3,,69.9,15.0,-22.0,,-22.0,-27.0,9.6,-17.0,-3.0,-13.7,-45.0,False,True,True,True,False,False,,,False,False,True,,True,True,False,True,False,False,False,False,,True,True,False,,,False,,False,False,False,,False,False,True,False,True,True,False
Nevada,1449,1515.6,1453.0,1548.3,1723.0,1548.9,1459.0,1332.0,,,1328.0,1485.6,1409.7,,1514.0,1456.6,1589.2,1547.5,1413.2,1415.4,1130.4,1485.2,,1516.9,1507.6,2396.0,,2004.5,1208.9,,4693.3,1494.0,1397.7,,1368.0,1671.7,1454.4,1474.0,2150.0,1464.8,1441.0,66.6,4.0,99.3,274.0,99.9,10.0,-117.0,,,-121.0,36.6,-39.3,,65.0,7.6,140.2,98.5,-35.8,-33.6,-318.6,36.2,,67.9,58.6,947.0,,555.5,-240.1,,3244.3,45.0,-51.3,,-81.0,222.7,5.4,25.0,701.0,15.8,-8.0,True,False,False,False,True,False,,,False,True,True,,True,True,False,False,True,True,False,True,,False,True,False,,False,False,,False,True,True,,False,False,True,True,False,True,True
New Hampshire,435,438.4,455.0,441.8,442.0,443.1,441.0,428.0,,,430.0,452.0,453.2,,423.0,444.0,460.2,435.6,440.0,424.5,461.3,453.1,,471.0,442.3,431.0,,,436.5,,1145.6,437.0,450.0,,435.0,430.6,462.1,424.0,434.0,448.9,,3.4,20.0,6.8,7.0,8.1,6.0,-7.0,,,-5.0,17.0,18.2,,-12.0,9.0,25.2,0.6,5.0,-10.5,26.3,18.1,,36.0,7.3,-4.0,,,1.5,,710.6,2.0,15.0,,0.0,-4.4,27.1,-11.0,-1.0,13.9,,False,False,False,False,False,False,,,False,False,False,,False,False,False,True,False,False,False,False,,False,False,False,,,True,,False,True,False,,True,False,False,False,True,False,
New Jersey,16027,16058.6,16751.0,16061.6,16083.0,16262.8,16088.0,16427.0,,,15987.0,16346.6,16404.9,,16119.0,16093.9,16153.7,16148.7,16155.6,16045.7,16056.9,16000.9,,16142.1,16058.3,15899.0,,16088.8,16054.5,,16900.4,16068.0,16106.6,,16003.0,,16880.6,16119.0,16030.0,16016.1,16079.0,31.6,724.0,34.6,56.0,235.8,61.0,400.0,,,-40.0,319.6,377.9,,92.0,66.9,126.7,121.7,128.6,18.7,29.9,-26.1,,115.1,31.3,-128.0,,61.8,27.5,,873.4,41.0,79.6,,-24.0,,853.6,92.0,3.0,-10.9,52.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,True,True,True,,False,True,False,,False,True,,False,False,False,,True,,False,False,True,True,False
New Mexico,821,825.9,826.0,839.4,854.0,831.1,813.0,770.0,,,809.0,839.5,786.9,,838.0,814.8,929.4,809.5,770.4,782.3,837.6,788.4,,842.4,785.5,867.5,,,763.8,,1311.1,810.0,812.7,,789.0,805.3,857.6,783.0,856.0,835.0,779.0,4.9,5.0,18.4,33.0,10.1,-8.0,-51.0,,,-12.0,18.5,-34.1,,17.0,-6.2,108.4,-11.5,-50.6,-38.7,16.6,-32.6,,21.4,-35.5,46.5,,,-57.2,,490.1,-11.0,-8.3,,-32.0,-15.7,36.6,-38.0,35.0,14.0,-42.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False
New York,33023,33094.6,34760.0,33095.8,33117.0,33388.5,33081.0,33345.0,,,32853.0,33661.6,33155.9,,33092.0,33253.4,33260.6,33195.1,33053.3,33079.0,28544.7,33077.0,,33232.6,33075.0,32809.0,,33018.9,32982.1,,51961.2,33081.0,33009.2,,33100.0,,34346.7,33036.0,33069.0,33054.3,33013.0,47.6,1713.0,48.8,70.0,341.5,34.0,298.0,,,-194.0,614.6,108.9,,45.0,206.4,213.6,148.1,6.3,32.0,-4502.3,30.0,,185.6,28.0,-238.0,,-28.1,-64.9,,18914.2,34.0,-37.8,,53.0,,1299.7,-11.0,22.0,7.3,-34.0,False,False,False,False,True,False,,,False,False,False,,True,False,False,False,True,True,False,True,,False,True,False,,True,False,,False,True,True,,False,,False,True,True,True,True
North Carolina,3047,2944.9,3056.0,2969.1,2958.0,2979.2,2938.0,3000.0,,,2829.0,2959.6,2776.4,,2916.0,2891.3,3738.2,2990.9,2794.1,2869.5,2496.5,2864.0,,3062.8,2866.1,3605.5,,3486.0,2651.7,,6515.1,3033.0,2752.0,,2730.0,2965.1,2961.1,2826.0,3237.0,2959.6,2744.0,-102.1,9.0,-77.9,-89.0,-67.8,-109.0,-47.0,,,-218.0,-87.4,-270.6,,-131.0,-155.7,691.2,-56.1,-252.9,-177.5,-550.5,-183.0,,15.8,-180.9,558.5,,439.0,-395.3,,3468.1,-14.0,-295.0,,-317.0,-81.9,-85.9,-221.0,190.0,-87.4,-303.0,True,True,True,True,False,True,,,False,True,False,,False,False,False,True,False,False,False,False,,True,False,False,,False,False,,False,True,False,,False,True,True,False,False,True,False
North Dakota,167,175.1,167.0,160.2,173.0,157.0,160.0,153.0,,,132.0,172.5,149.5,,158.0,163.2,209.8,163.9,148.1,155.9,173.6,146.9,,174.1,169.8,199.0,,,151.0,,325.6,159.0,158.6,,168.0,154.9,177.6,162.0,202.0,162.4,143.0,8.1,0.0,-6.8,6.0,-10.0,-7.0,-14.0,,,-35.0,5.5,-17.5,,-9.0,-3.8,42.8,-3.1,-18.9,-11.1,6.6,-20.1,,7.1,2.8,32.0,,,-16.0,,158.6,-8.0,-8.4,,1.0,-12.1,10.6,-5.0,35.0,-4.6,-24.0,True,True,True,False,True,False,,,False,True,False,,False,True,False,True,False,False,True,False,,True,True,False,,,False,,False,True,False,,True,False,False,True,False,True,False
Ohio,4114,4431.6,4346.0,4441.5,4341.0,4448.3,4393.0,4403.0,,,4359.0,4677.0,4453.8,,4225.0,4467.3,5060.9,4589.5,4188.9,4288.5,4495.5,4224.7,4383.5,4725.3,4344.3,4715.0,,4676.0,4172.8,,6507.9,4344.0,4339.0,,4306.0,4185.5,4833.3,4357.0,4524.0,4422.9,4272.0,12.6,-73.0,22.5,-78.0,29.3,-26.0,-16.0,,,-60.0,258.0,34.8,,-194.0,48.3,641.9,170.5,-230.1,-130.5,76.5,-194.3,-35.5,306.3,-74.7,296.0,,257.0,-246.2,,2088.9,-75.0,-80.0,,-113.0,-233.5,414.3,-62.0,105.0,3.9,-147.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,True,False
Oklahoma,899,884.7,901.0,868.2,844.0,872.8,867.0,866.0,,,859.0,877.2,866.0,,781.0,873.0,1285.2,866.4,782.7,842.8,769.5,853.1,,960.2,849.2,1180.0,,905.2,797.0,,3656.7,894.0,810.9,,819.0,888.4,946.2,829.0,997.0,862.4,850.0,-14.3,2.0,-30.8,-55.0,-26.2,-32.0,-33.0,,,-40.0,-21.8,-33.0,,-118.0,-26.0,386.2,-32.6,-116.3,-56.2,-129.5,-45.9,,61.2,-49.8,281.0,,6.2,-102.0,,2757.7,-5.0,-88.1,,-80.0,-10.6,47.2,-70.0,98.0,-36.6,-49.0,True,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,True,False,,False,True,False,,False,True,False,False,False,False,False
Oregon,505,511.4,502.0,508.1,573.0,510.0,509.0,460.0,,,488.0,477.0,511.1,,508.0,513.4,765.7,524.4,476.2,482.5,726.1,478.0,,557.9,489.6,632.0,,,486.0,,678.6,520.0,474.1,,479.0,536.3,524.6,503.0,522.0,518.4,482.0,6.4,-3.0,3.1,68.0,5.0,4.0,-45.0,,,-17.0,-28.0,6.1,,3.0,8.4,260.7,19.4,-28.8,-22.5,221.1,-27.0,,52.9,-15.4,127.0,,,-19.0,,173.6,15.0,-30.9,,-26.0,31.3,19.6,-2.0,17.0,13.4,-23.0,True,True,False,True,True,False,,,False,False,True,,True,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,True,False,False,False
Pennsylvania,7829,8000.7,8053.0,7978.2,7915.0,8023.2,7900.0,8093.0,,,7869.0,8279.6,7882.6,,7586.0,7933.0,8487.3,7950.5,7693.1,7949.0,7944.4,7717.2,,7693.5,7882.8,7519.0,,7905.7,7741.1,,18782.6,7964.0,8007.8,,7836.0,7543.2,8739.1,7883.0,7952.0,7922.8,7612.0,171.7,224.0,149.2,86.0,194.2,71.0,264.0,,,40.0,450.6,53.6,,-243.0,104.0,658.3,121.5,-135.9,120.0,115.4,-111.8,,-135.5,53.8,-310.0,,76.7,-87.9,,10953.6,135.0,178.8,,7.0,-285.8,910.1,54.0,123.0,93.8,-217.0,False,True,True,False,True,False,,,True,False,True,,False,True,False,True,True,True,True,True,,True,True,False,,True,True,,False,True,False,,True,False,False,True,True,True,False
Rhode Island,1096,1048.0,1116.0,1047.2,1049.0,1056.3,1052.0,1088.0,,,1030.0,1071.2,1054.8,,1054.0,1051.6,1033.4,1069.0,1036.0,1033.7,1033.3,1055.6,,1028.5,1052.2,1031.0,,1027.8,1021.9,,4573.1,1041.0,1054.0,,1036.0,,1137.8,1038.0,1032.0,1056.7,1022.0,-17.0,51.0,-17.8,-16.0,-8.7,-13.0,23.0,,,-35.0,6.2,-10.2,,-11.0,-13.4,-31.6,4.0,-29.0,-31.3,-31.7,-9.4,,-36.5,-12.8,-34.0,,-37.2,-43.1,,3508.1,-24.0,-11.0,,-29.0,,72.8,-27.0,-33.0,-8.3,-43.0,False,False,True,True,True,False,,,False,True,True,,True,True,False,True,False,False,False,True,,False,True,False,,False,False,,False,False,True,,False,,False,False,False,True,False
South Carolina,3040,3187.0,3020.0,3276.5,3002.0,3271.9,2976.0,2746.0,,,3046.0,2948.8,,,2785.0,3022.9,3275.6,3211.8,2735.8,2817.0,2475.5,2900.1,,3570.3,3066.7,2591.5,,4371.9,2685.0,,4173.3,2904.0,2975.9,,2769.0,3771.2,2884.6,2925.0,3536.5,3093.2,2809.0,147.0,-20.0,236.5,-38.0,231.9,-64.0,-294.0,,,6.0,-91.2,,,-255.0,-17.1,235.6,171.8,-304.2,-223.0,-564.5,-139.9,,530.3,26.7,-448.5,,1331.9,-355.0,,1133.3,-136.0,-64.1,,-271.0,731.2,-155.4,-115.0,496.5,53.2,-231.0,True,False,True,False,True,False,,,True,True,,,False,True,False,False,False,False,False,True,,False,True,False,,False,False,,False,True,True,,False,False,False,True,False,True,False
South Dakota,183,180.0,203.0,173.2,186.0,176.0,188.0,152.0,,,169.0,185.8,192.9,,189.0,193.4,200.5,203.7,188.8,177.5,185.9,181.2,,206.1,184.3,186.0,,,169.7,,212.7,220.0,169.1,,195.0,188.3,193.8,181.0,241.0,184.5,172.0,-3.0,20.0,-9.8,3.0,-7.0,5.0,-31.0,,,-14.0,2.8,9.9,,6.0,10.4,17.5,20.7,5.8,-5.5,2.9,-1.8,,23.1,1.3,3.0,,,-13.3,,29.7,37.0,-13.9,,12.0,5.3,10.8,-2.0,58.0,1.5,-11.0,False,False,False,False,False,False,,,False,True,False,,False,False,False,False,False,False,True,True,,False,True,False,,,False,,False,False,False,,False,False,False,True,False,True,False
Tennessee,2064,1917.6,2030.0,1832.3,1984.0,1865.1,1871.0,2063.0,,,1836.0,1716.9,,,1848.0,1816.5,2362.5,1948.8,1804.6,1825.0,1805.2,1806.2,,2053.8,1892.3,2100.5,,2094.1,2024.0,,7049.5,2087.0,1707.5,,1766.0,2132.6,1850.3,1711.0,2110.0,1841.0,1771.0,-146.4,-34.0,-231.7,-80.0,-198.9,-193.0,-1.0,,,-228.0,-347.1,,,-216.0,-247.5,298.5,-115.2,-259.4,-239.0,-258.8,-257.8,,-10.2,-171.7,36.5,,30.1,-40.0,,4985.5,23.0,-356.5,,-298.0,68.6,-213.7,-353.0,46.0,-223.0,-293.0,True,False,True,False,False,True,,,False,False,,,False,False,False,True,False,False,False,False,,True,False,True,,True,True,,False,True,False,,False,True,False,False,True,False,False
Texas,14629,15175.0,15074.0,15245.4,14332.0,15107.7,14477.0,14405.0,,,14222.0,13664.3,13405.7,,15605.0,14723.2,15065.3,15307.8,15154.1,15359.6,10011.7,13484.8,,16075.4,14215.7,12418.0,,19773.9,13214.6,13697.0,14596.4,17588.0,13558.5,,14364.0,18061.7,14151.3,14691.0,16507.5,14554.0,14488.0,913.0,812.0,983.4,70.0,845.7,215.0,143.0,,,-40.0,-597.7,-856.3,,1343.0,461.2,803.3,1045.8,892.1,1097.6,-4250.3,-777.2,,1813.4,-46.3,-1844.0,,5511.9,-1047.4,-565.0,334.4,3326.0,-703.5,,102.0,3799.7,-110.7,429.0,2245.5,292.0,226.0,True,False,True,True,True,True,,,True,True,True,,False,True,True,False,True,False,False,True,,False,True,False,,False,False,True,True,False,True,,True,False,True,True,False,True,True
Utah,433,467.1,593.0,477.2,460.0,474.9,447.0,450.0,,,430.0,432.4,446.3,,447.0,451.3,654.7,458.4,432.0,437.7,415.5,481.0,,515.8,436.5,421.0,,,412.9,,729.3,442.0,466.2,,432.0,511.0,429.1,441.0,489.0,472.2,408.0,34.1,160.0,44.2,27.0,41.9,14.0,17.0,,,-3.0,-0.6,13.3,,14.0,18.3,221.7,25.4,-1.0,4.7,-17.5,48.0,,82.8,3.5,-12.0,,,-20.1,,296.3,9.0,33.2,,-1.0,78.0,-3.9,8.0,56.0,39.2,-25.0,False,False,True,False,True,True,,,True,True,True,,True,True,False,True,True,True,True,False,,False,True,True,,,True,,False,True,True,,True,False,True,True,False,False,True
Vermont,58,58.0,65.0,58.9,58.0,60.0,59.0,58.0,,,58.0,62.4,60.8,,58.0,59.6,72.3,60.2,60.9,58.0,59.4,59.4,,59.3,60.8,59.0,,,58.0,,268.0,63.0,58.2,,60.0,,64.7,58.0,398.0,62.1,,0.0,7.0,0.9,0.0,2.0,1.0,0.0,,,0.0,4.4,2.8,,0.0,1.6,14.3,2.2,2.9,0.0,1.4,1.4,,1.3,2.8,1.0,,,0.0,,210.0,5.0,0.2,,2.0,,6.7,0.0,340.0,4.1,,False,False,True,False,False,True,,,True,False,False,,True,False,False,False,False,False,False,False,,False,False,False,,,True,,False,False,False,,False,,False,True,False,False,
Virginia,2722,2593.1,2900.0,2594.6,2696.0,2618.0,2638.0,2702.0,,,2531.0,2757.7,2736.4,,2641.0,2720.3,3146.7,2821.4,2619.2,2633.9,2574.8,2623.7,,2715.8,2822.7,2617.0,,3221.0,2574.7,,17288.8,2658.0,2519.2,,2634.0,2605.9,3001.7,2554.0,2788.0,2784.8,2650.0,-128.9,178.0,-127.4,-26.0,-104.0,-84.0,-20.0,,,-191.0,35.7,14.4,,-81.0,-1.7,424.7,99.4,-102.8,-88.1,-147.2,-98.3,,-6.2,100.7,-105.0,,499.0,-147.3,,14566.8,-64.0,-202.8,,-88.0,-116.1,279.7,-168.0,66.0,62.8,-72.0,False,True,True,True,True,True,,,False,True,True,,True,True,False,True,True,True,False,True,,True,True,True,,False,False,,False,True,False,,True,True,False,False,True,True,True
Washington,1978,2139.7,2108.0,2101.5,2093.0,2078.7,2109.0,1973.0,,,2100.0,2168.1,2038.8,,2034.0,2061.8,2406.9,2144.0,2007.1,2115.8,2231.8,2079.5,,2047.6,1999.1,2666.0,,2337.8,2284.6,,4603.1,2116.0,1949.9,,2036.0,,2252.9,2036.0,2245.5,2165.5,2018.0,182.7,151.0,144.5,136.0,121.7,152.0,16.0,,,143.0,211.1,81.8,,77.0,104.8,449.9,187.0,50.1,158.8,274.8,122.5,,90.6,42.1,709.0,,380.8,327.6,,2646.1,159.0,-7.1,,79.0,,295.9,79.0,288.5,208.5,61.0,True,True,True,True,True,True,,,True,False,True,,True,True,False,False,True,True,False,True,,True,True,False,,False,False,,False,True,True,,True,,False,True,False,False,True
West Virginia,266,241.0,212.0,274.3,291.0,276.0,245.0,207.0,,,194.0,247.0,269.7,,201.0,254.6,292.3,244.8,215.5,226.1,156.8,270.5,,264.5,321.9,484.5,,,182.2,,349.1,268.0,261.0,,224.0,,225.9,279.0,313.0,250.8,279.0,-25.0,-54.0,8.3,25.0,10.0,-21.0,-59.0,,,-72.0,-19.0,3.7,,-65.0,-11.4,26.3,-21.2,-50.5,-39.9,-109.2,4.5,,-1.5,55.9,218.5,,,-83.8,,83.1,2.0,-5.0,,-42.0,,-40.1,13.0,47.0,-15.2,13.0,False,True,False,True,True,False,,,False,True,True,,False,True,False,True,False,False,False,True,,True,False,False,,,False,,False,True,True,,False,,False,True,False,True,True
Wisconsin,1261,1197.1,1363.0,1207.0,1167.0,1206.1,1217.0,1279.0,,,1240.0,1291.6,1216.9,,1142.0,1232.5,1672.9,1285.8,1160.2,1179.2,1198.6,1214.4,1266.5,1273.6,1187.2,1435.0,,1424.5,1157.5,,4683.5,1233.0,1150.2,,1190.0,1155.8,1387.4,1199.0,1307.0,1239.0,1163.0,-3.9,162.0,6.0,-34.0,5.1,16.0,78.0,,,39.0,90.6,15.9,,-59.0,31.5,471.9,84.8,-40.8,-21.8,-2.4,13.4,65.5,72.6,-13.8,234.0,,223.5,-43.5,,3482.5,32.0,-50.8,,-11.0,-45.2,186.4,-2.0,106.0,38.0,-38.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,True,False,False,False
Wyoming,42,37.7,46.0,37.1,39.0,38.0,37.0,30.0,,,39.0,38.8,37.0,,30.0,35.6,66.5,42.2,35.4,30.4,40.7,34.3,,62.3,35.1,42.0,,,30.0,,67.5,40.0,35.6,,36.0,,40.7,30.0,38.0,36.2,,-4.3,4.0,-4.9,-3.0,-4.0,-5.0,-12.0,,,-3.0,-3.2,-5.0,,-12.0,-6.4,24.5,0.2,-6.6,-11.6,-1.3,-7.7,,20.3,-6.9,0.0,,,-12.0,,25.5,-2.0,-6.4,,-6.0,,-1.3,-12.0,-4.0,-5.8,,True,False,True,True,False,False,,,True,True,False,,False,False,False,True,False,False,True,False,,False,False,True,,,False,,False,True,False,,False,,True,False,True,False,
US,193757,197491.7,189695.0,197954.7,,197718.6,194778.0,196960.0,194898.0,179521.9,190809.0,198718.4,195742.2,,191696.0,195510.4,205795.9,200472.9,186860.4,196790.4,176799.8,189422.5,,197608.9,193998.2,187947.0,194554.0,212788.9,182362.7,194445.0,348888.8,197736.0,194507.5,193740.0,192576.0,184108.5,202395.0,192050.0,210732.0,194941.1,192481.0,3866.7,-3930.0,4329.7,,4093.6,1153.0,3335.0,1273.0,-14103.1,-2816.0,5093.4,2117.2,,-1929.0,1885.4,12170.9,6847.9,-6764.6,3165.4,-16825.2,-4202.5,,3983.9,373.2,-5678.0,929.0,19163.9,-11262.3,820.0,155263.8,4111.0,882.5,115.0,-1049.0,-9516.5,8770.0,-1575.0,17107.0,1316.1,-1144.0,False,False,,False,True,True,True,False,True,False,True,,True,True,False,False,False,True,False,False,,False,True,False,True,False,False,True,False,False,True,True,True,False,False,True,False,True,True
