,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Missouri,1728,1653.0,1787.0,1673.7,1706.0,1669.8,1640.0,1903.0,,1787.5,1760.0,1648.7,1656.4,,1591.0,1626.0,1680.6,1728.6,1636.2,1570.3,1622.9,1597.8,,1675.9,1652.5,1661.0,,1596.9,1569.9,,1637.0,2187.7,1619.0,1646.6,,1592.0,1633.8,1843.2,1646.0,1666.0,,1627.7,1550.0,-75.0,59.0,-54.3,-22.0,-58.2,-88.0,175.0,,59.5,32.0,-79.3,-71.6,,-137.0,-102.0,-47.4,0.6,-91.8,-157.7,-105.1,-130.2,,-52.1,-75.5,-67.0,,-131.1,-158.1,,-91.0,459.7,-109.0,-81.4,,-136.0,-94.2,115.2,-82.0,-62.0,,-100.3,-178.0,True,True,True,True,False,False,,True,True,False,True,,False,False,True,True,False,False,False,False,,True,False,True,,False,False,,False,False,False,False,,False,False,False,False,True,,False,False
Montana,133,112.9,118.0,112.9,112.0,114.0,116.0,90.0,,107.6,117.0,121.4,119.0,,116.8,122.0,120.0,149.9,122.8,111.6,100.1,120.5,,151.6,116.6,95.0,,,98.7,,112.0,200.4,117.0,112.0,,116.0,103.2,120.3,101.0,116.0,,117.7,110.0,-20.1,-15.0,-20.1,-21.0,-19.0,-17.0,-43.0,,-25.4,-16.0,-11.6,-14.0,,-16.2,-11.0,-13.0,16.9,-10.2,-21.4,-32.9,-12.5,,18.6,-16.4,-38.0,,,-34.3,,-21.0,67.4,-16.0,-21.0,,-17.0,-29.8,-12.7,-32.0,-17.0,,-15.3,-23.0,True,True,False,True,True,False,,False,True,True,True,,True,True,True,True,True,False,False,True,,True,True,False,,,False,,False,False,True,False,,True,False,True,False,True,,True,False
Nebraska,437,426.6,517.0,420.3,424.0,421.0,420.0,437.0,,447.9,404.0,431.2,416.1,,430.5,424.0,424.9,477.6,435.9,398.6,412.2,421.8,,424.6,419.2,406.0,,,399.4,,417.0,425.2,439.0,413.5,,412.0,425.7,435.7,424.0,450.0,,423.1,413.0,-10.4,80.0,-16.7,-13.0,-16.0,-17.0,0.0,,10.9,-33.0,-5.8,-20.9,,-6.5,-13.0,-12.1,40.6,-1.1,-38.4,-24.8,-15.2,,-12.4,-17.8,-31.0,,,-37.6,,-20.0,-11.8,2.0,-23.5,,-25.0,-11.3,-1.3,-13.0,13.0,,-13.9,-24.0,False,False,False,False,False,True,,False,False,True,False,,True,False,False,False,True,False,False,False,,False,False,False,,,False,,False,False,True,False,,False,False,True,False,False,,False,False
Nevada,1449,1554.1,1513.0,1585.5,1706.0,1580.8,1480.0,1509.0,,1266.6,1442.0,1552.8,1452.6,,1528.2,1566.0,1508.0,1498.1,1489.0,1438.3,1458.5,1404.7,,1469.1,1550.8,1715.0,,1834.1,1248.6,,1541.0,1518.3,1464.0,1542.2,,1418.0,1444.0,1454.6,1522.0,1919.5,,1478.4,1486.0,105.1,64.0,136.5,257.0,131.8,31.0,60.0,,-182.4,-7.0,103.8,3.6,,79.2,117.0,59.0,49.1,40.0,-10.7,9.5,-44.3,,20.1,101.8,266.0,,385.1,-200.4,,92.0,69.3,15.0,93.2,,-31.0,-5.0,5.6,73.0,470.5,,29.4,37.0,True,False,False,False,True,True,,False,True,True,True,,True,False,True,True,True,True,True,True,,True,True,False,,False,False,,True,True,True,True,,True,True,True,True,False,,True,True
New Hampshire,435,446.1,458.0,446.2,447.0,448.0,444.0,429.0,,418.8,433.0,444.9,448.3,,426.4,446.0,441.4,451.4,436.0,437.6,431.5,449.7,,437.4,447.0,435.0,,,436.1,,444.0,618.9,443.0,448.0,,438.0,480.1,456.6,438.0,439.0,,448.0,429.0,11.1,23.0,11.2,12.0,13.0,9.0,-6.0,,-16.2,-2.0,9.9,13.3,,-8.6,11.0,6.4,16.4,1.0,2.6,-3.5,14.7,,2.4,12.0,0.0,,,1.1,,9.0,183.9,8.0,13.0,,3.0,45.1,21.6,3.0,4.0,,13.0,-6.0,False,False,False,False,True,True,,False,True,True,False,,True,True,True,False,True,True,True,False,,True,False,True,,,True,,True,False,True,False,,True,False,False,True,True,,False,True
New Jersey,16027,16043.1,16702.0,16038.1,16053.0,16142.8,16065.0,16173.0,,15823.9,15996.0,16078.6,16261.0,,16004.6,16134.0,16005.3,16095.2,16070.8,16040.2,16015.3,16003.6,,16093.8,16022.8,15966.0,,16095.1,16187.3,,16090.0,16936.4,16066.0,16030.2,,16005.0,,16569.7,16037.0,16007.0,,16042.1,16114.0,16.1,675.0,11.1,26.0,115.8,38.0,146.0,,-203.1,-31.0,51.6,234.0,,-22.4,107.0,-21.7,68.2,43.8,13.2,-11.7,-23.4,,66.8,-4.2,-61.0,,68.1,160.3,,63.0,909.4,39.0,3.2,,-22.0,,542.7,10.0,-20.0,,15.1,87.0,False,True,False,False,False,False,,False,False,False,False,,False,False,False,False,False,True,True,False,,False,True,False,,False,False,,False,False,False,True,,False,,False,True,False,,True,False
New Mexico,821,833.6,848.0,835.3,873.0,839.0,820.0,785.0,,742.4,818.0,839.2,814.2,,804.6,871.0,813.6,848.3,803.4,809.2,797.8,853.9,,805.1,825.9,797.0,,,789.6,,839.0,1062.8,874.0,820.5,,805.0,840.9,844.0,806.0,841.0,,832.3,796.0,12.6,27.0,14.3,52.0,18.0,-1.0,-36.0,,-78.6,-3.0,18.2,-6.8,,-16.4,50.0,-7.4,27.3,-17.6,-11.8,-23.2,32.9,,-15.9,4.9,-24.0,,,-31.4,,18.0,241.8,53.0,-0.5,,-16.0,19.9,23.0,-15.0,20.0,,11.3,-25.0,False,False,False,False,True,False,,False,True,False,True,,False,False,True,False,False,True,False,False,,False,True,False,,,False,,False,False,False,True,,False,False,False,False,False,,True,False
New York,33023,33005.9,34608.0,32998.7,32985.0,33108.0,33027.0,33181.0,,32881.8,32892.0,33105.7,33028.8,,32642.9,33127.0,33050.6,32936.3,33045.3,33028.5,33007.9,33009.2,,33223.3,32953.7,32975.0,,33026.6,33085.8,,33002.0,33866.6,33045.0,32971.6,,33026.0,,33793.8,33018.0,33125.0,,33018.1,33043.0,-49.1,1553.0,-56.3,-70.0,53.0,-28.0,126.0,,-173.2,-163.0,50.7,-26.2,,-412.1,72.0,-4.4,-118.7,-9.7,-26.5,-47.1,-45.8,,168.3,-101.3,-80.0,,-28.4,30.8,,-53.0,811.6,-10.0,-83.4,,-29.0,,738.8,-37.0,70.0,,-36.9,-12.0,False,False,False,False,True,False,,False,False,False,True,,False,False,True,False,True,True,True,True,,False,False,False,,True,True,,False,False,True,False,,True,,False,True,False,,True,True
North Carolina,3047,3056.7,3205.0,3064.4,3027.0,3055.1,2995.0,3260.0,,2832.9,3050.0,3036.7,3062.6,,3006.3,2885.0,2956.8,3230.4,2985.8,2989.5,2998.2,3148.6,,2937.7,3043.6,3259.5,,3211.1,2742.9,,3050.0,3100.9,2944.0,2992.7,,2970.0,2885.2,2973.9,2969.0,3171.0,,2957.6,2827.0,9.7,158.0,17.4,-20.0,8.1,-52.0,213.0,,-214.1,3.0,-10.3,15.6,,-40.7,-162.0,-90.2,183.4,-61.2,-57.5,-48.8,101.6,,-109.3,-3.4,212.5,,164.1,-304.1,,3.0,53.9,-103.0,-54.3,,-77.0,-161.8,-73.1,-78.0,124.0,,-89.4,-220.0,False,False,False,True,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,True,False,False,False,,False,False,False,False,False,,False,False
North Dakota,167,167.4,179.0,176.6,172.0,177.0,171.0,179.0,,171.5,140.0,174.3,,,169.8,159.0,172.2,187.3,172.0,167.3,165.8,161.7,,174.3,193.5,186.0,,,148.6,,159.0,171.3,154.0,159.5,,182.0,154.7,178.5,177.0,189.0,,167.8,155.0,0.4,12.0,9.6,5.0,10.0,4.0,12.0,,4.5,-27.0,7.3,,,2.8,-8.0,5.2,20.3,5.0,0.3,-1.2,-5.3,,7.3,26.5,19.0,,,-18.4,,-8.0,4.3,-13.0,-7.5,,15.0,-12.3,11.5,10.0,22.0,,0.8,-12.0,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
Ohio,4411,4412.3,4467.0,4444.0,4436.0,4428.0,4425.0,4287.0,,4030.3,4448.0,4473.6,4417.6,,4246.7,4374.0,4417.0,4690.2,4375.6,4262.0,4322.4,4268.1,4770.0,4882.0,4339.9,4499.0,,4518.6,4237.6,,4436.0,3698.6,4427.0,4405.3,,4323.0,4469.9,4693.6,4422.0,4425.0,,4399.2,4231.0,1.3,56.0,33.0,25.0,17.0,14.0,-124.0,,-380.7,37.0,62.6,6.6,,-164.3,-37.0,6.0,279.2,-35.4,-149.0,-88.6,-142.9,359.0,471.0,-71.1,88.0,,107.6,-173.4,,25.0,-712.4,16.0,-5.7,,-88.0,58.9,282.6,11.0,14.0,,-11.8,-180.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Oklahoma,899,911.7,960.0,932.0,957.0,929.0,901.0,1000.0,,901.1,893.0,921.4,899.2,,828.0,825.0,903.7,1044.9,882.5,871.6,880.4,977.4,,928.5,985.1,938.0,,921.9,833.1,,903.0,855.4,853.0,897.7,,878.0,850.8,918.5,884.0,969.5,,884.9,868.0,12.7,61.0,33.0,58.0,30.0,2.0,101.0,,2.1,-6.0,22.4,0.2,,-71.0,-74.0,4.7,145.9,-16.5,-27.4,-18.6,78.4,,29.5,86.1,39.0,,22.9,-65.9,,4.0,-43.6,-46.0,-1.3,,-21.0,-48.2,19.5,-15.0,70.5,,-14.1,-31.0,False,False,False,False,True,False,,True,True,False,True,,False,False,True,False,False,False,False,False,,False,False,False,,False,False,,True,False,False,True,,False,False,False,False,False,,False,False
Oregon,505,499.9,525.0,507.7,520.0,510.0,501.0,479.0,,476.1,513.0,498.5,501.4,,532.5,509.0,505.8,638.2,504.0,481.9,472.0,495.6,,531.0,489.6,577.0,,,441.4,,505.0,568.2,511.0,502.7,,480.0,479.1,509.3,498.0,500.0,,504.3,467.0,-5.1,20.0,2.7,15.0,5.0,-4.0,-26.0,,-28.9,8.0,-6.5,-3.6,,27.5,4.0,0.8,133.2,-1.0,-23.1,-33.0,-9.4,,26.0,-15.4,72.0,,,-63.6,,0.0,63.2,6.0,-2.3,,-25.0,-25.9,4.3,-7.0,-5.0,,-0.7,-38.0,False,True,False,True,True,False,,False,False,False,True,,False,True,True,False,True,False,False,False,,False,False,False,,,False,,True,False,False,True,,False,False,True,False,True,,True,False
Pennsylvania,7829,7854.1,8110.0,7880.3,7850.0,7874.0,7847.0,7801.0,,7561.0,7838.0,7915.3,7937.1,,8189.6,7745.0,7867.0,8170.7,7859.0,7758.8,7860.0,7806.4,,7739.3,7811.7,7813.0,,8044.3,7701.4,,7933.0,10132.3,7846.0,7810.6,,7806.0,8241.9,8398.7,7878.0,7894.0,,7846.0,7635.0,25.1,281.0,51.3,21.0,45.0,18.0,-28.0,,-268.0,9.0,86.3,108.1,,360.6,-84.0,38.0,341.7,30.0,-70.2,31.0,-22.6,,-89.7,-17.3,-16.0,,215.3,-127.6,,104.0,2303.3,17.0,-18.4,,-23.0,412.9,569.7,49.0,65.0,,17.0,-194.0,False,False,True,False,True,False,,False,True,False,False,,False,False,False,False,False,False,False,True,,False,True,True,,False,False,,False,False,True,True,,True,False,False,False,False,,True,False
Rhode Island,1071,1055.7,1117.0,1057.5,1058.0,1059.0,1053.0,1051.0,,1038.6,1035.0,1056.1,1068.0,,1044.9,1098.0,1056.5,1053.5,1062.3,1042.6,1046.4,1057.1,,1039.0,1051.5,1034.0,,1038.6,1040.4,,1062.0,1322.9,1057.0,1055.3,,1045.0,,1118.4,1049.0,1045.0,,1056.6,1035.0,-7.3,54.0,-5.5,-5.0,-4.0,-10.0,-12.0,,-24.4,-28.0,-6.9,5.0,,-18.1,35.0,-6.5,-9.5,-0.7,-20.4,-16.6,-5.9,,-24.0,-11.5,-29.0,,-24.4,-22.6,,-1.0,259.9,-6.0,-7.7,,-18.0,,55.4,-14.0,-18.0,,-6.4,-28.0,False,True,True,True,False,False,,False,False,True,True,,False,False,True,False,True,False,False,True,,False,False,False,,False,False,,True,False,True,False,,False,,False,False,False,,True,False
South Carolina,3040,3175.4,3121.0,3190.3,3140.0,3192.0,3021.0,2859.0,,2242.6,3098.0,3152.3,2941.3,,2947.7,2880.0,3005.0,3017.5,3002.1,3022.5,2964.6,2959.6,,3365.5,3057.1,2918.5,,3031.4,2851.1,,3171.0,3856.0,2924.0,3079.6,,2938.0,3050.7,2925.6,2955.0,3137.0,,3043.6,2830.0,135.4,81.0,150.3,100.0,152.0,-19.0,-181.0,,-797.4,58.0,112.3,-98.7,,-92.3,-160.0,-35.0,-22.5,-37.9,-17.5,-75.4,-80.4,,325.5,17.1,-121.5,,-8.6,-188.9,,131.0,816.0,-116.0,39.6,,-102.0,10.7,-114.4,-85.0,97.0,,3.6,-210.0,True,False,True,False,True,False,,False,True,True,True,,True,False,True,True,True,True,True,True,,False,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,,True,False
South Dakota,183,183.9,210.0,187.1,189.0,184.0,187.0,165.0,,182.3,172.0,187.8,188.7,,180.5,190.0,195.4,193.0,195.4,196.1,179.7,184.4,,180.7,195.4,169.0,,,169.9,,185.0,172.1,194.0,173.6,,203.0,184.0,192.8,197.0,218.0,,184.6,174.0,0.9,27.0,4.1,6.0,1.0,4.0,-18.0,,-0.7,-11.0,4.8,5.7,,-2.5,7.0,12.4,10.0,12.4,13.1,-3.3,1.4,,-2.3,12.4,-14.0,,,-13.1,,2.0,-10.9,11.0,-9.4,,20.0,1.0,9.8,14.0,35.0,,1.6,-9.0,False,False,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
Tennessee,2064,2141.3,2199.0,2198.9,2157.0,2217.0,1968.0,2090.0,,1910.5,1957.0,1980.2,,,1933.5,1939.0,1972.4,2142.1,1951.7,2036.7,2057.0,1927.0,,2235.5,2150.8,2130.0,,2132.8,1894.0,,2065.0,2231.3,1943.0,2131.4,,1932.0,1965.8,1912.9,1927.0,2250.0,,1963.3,1860.0,77.3,135.0,134.9,93.0,153.0,-96.0,26.0,,-153.5,-107.0,-83.8,,,-130.5,-125.0,-91.6,78.1,-112.3,-27.3,-7.0,-137.0,,171.5,86.8,66.0,,68.8,-170.0,,1.0,167.3,-121.0,67.4,,-132.0,-98.2,-151.1,-137.0,186.0,,-100.7,-204.0,False,False,False,False,False,True,,False,False,False,,,False,False,False,False,False,True,True,False,,False,False,True,,True,False,,True,False,False,True,,False,False,False,False,False,,False,False
Texas,14340,15421.9,15070.0,15525.0,15167.0,15520.0,14563.0,14162.0,,10592.9,15386.0,14997.6,13959.8,,16419.0,15631.0,15159.6,14514.4,15045.3,13983.3,14373.2,14055.8,,14683.9,14394.3,14460.0,,16985.9,13913.6,13697.0,15609.0,16525.6,15605.0,14902.6,,14172.0,13596.2,14221.3,15280.0,15082.5,,14599.0,13617.0,1083.9,732.0,1187.0,829.0,1182.0,225.0,-176.0,,-3745.1,1048.0,659.6,-378.2,,2081.0,1293.0,821.6,176.4,707.3,-354.7,35.2,-282.2,,345.9,56.3,122.0,,2647.9,-424.4,-641.0,1271.0,2187.6,1267.0,564.6,,-166.0,-741.8,-116.7,942.0,744.5,,261.0,-721.0,True,False,True,False,True,True,,False,True,True,True,,False,False,True,True,True,True,True,True,,True,True,True,,False,True,True,False,False,False,True,,True,True,True,True,True,,True,True
Utah,433,447.9,599.0,448.8,439.0,451.0,444.0,433.0,,487.9,429.0,452.4,437.7,,441.0,463.0,444.4,524.0,442.1,439.4,430.3,435.5,,483.4,444.3,446.0,,,412.6,,441.0,586.2,453.0,453.7,,437.0,441.8,432.3,434.0,469.0,,456.9,436.0,14.9,166.0,15.8,6.0,18.0,11.0,0.0,,54.9,-4.0,19.4,4.7,,8.0,30.0,11.4,91.0,9.1,6.4,-2.7,2.5,,50.4,11.3,13.0,,,-20.4,,8.0,153.2,20.0,20.7,,4.0,8.8,-0.7,1.0,36.0,,23.9,3.0,False,False,True,False,True,True,,False,True,False,True,,True,False,True,False,True,True,True,True,,False,True,True,,,False,,True,False,False,False,,True,True,True,True,False,,False,True
Vermont,58,58.0,64.0,58.6,58.0,59.0,59.0,58.0,,60.7,58.0,60.3,59.4,,60.2,58.0,59.3,64.6,59.3,58.8,58.1,59.8,,58.8,58.9,58.0,,,58.0,,64.0,56.9,60.0,58.0,,59.0,,62.9,58.0,61.0,,61.1,,0.0,6.0,0.6,0.0,1.0,1.0,0.0,,2.7,0.0,2.3,1.4,,2.2,0.0,1.3,6.6,1.3,0.8,0.1,1.8,,0.8,0.9,0.0,,,0.0,,6.0,-1.1,2.0,0.0,,1.0,,4.9,0.0,3.0,,3.1,,False,False,True,False,False,True,,False,True,False,False,,False,True,False,False,False,False,False,False,,False,False,True,,,True,,False,False,False,False,,False,,False,True,False,,False,
Virginia,2722,2712.7,2955.0,2627.5,2661.0,2628.3,2668.0,2651.0,,2675.6,2576.0,2720.6,2725.2,,2464.4,2606.0,2706.4,2873.3,2669.4,2628.2,2640.3,2594.0,,2709.0,2649.1,2693.5,,2701.5,2641.2,,2625.0,3047.7,2676.0,2595.9,,2698.0,2731.1,2892.4,2605.0,2763.0,,2668.3,2594.0,-9.3,233.0,-94.5,-61.0,-93.7,-54.0,-71.0,,-46.4,-146.0,-1.4,3.2,,-257.6,-116.0,-15.6,151.3,-52.6,-93.8,-81.7,-128.0,,-13.0,-72.9,-28.5,,-20.5,-80.8,,-97.0,325.7,-46.0,-126.1,,-24.0,9.1,170.4,-117.0,41.0,,-53.7,-128.0,False,False,False,False,False,False,,False,False,True,True,,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,,False,False
Washington,1991,2097.3,2168.0,2116.8,2112.0,2130.2,2110.0,2004.0,,1948.0,2118.0,2138.7,2057.0,,2086.1,2067.0,2101.4,2204.3,2081.2,2040.7,2049.4,2223.8,,2212.7,2073.7,2216.0,,2230.4,2013.2,,2121.0,2244.1,2109.0,2099.5,,2028.0,2043.4,2191.0,2093.0,2145.5,,2098.5,2026.0,106.3,177.0,125.8,121.0,139.2,119.0,13.0,,-43.0,127.0,147.7,66.0,,95.1,76.0,110.4,213.3,90.2,49.7,58.4,232.8,,221.7,82.7,225.0,,239.4,22.2,,130.0,253.1,118.0,108.5,,37.0,52.4,200.0,102.0,154.5,,107.5,35.0,False,False,False,False,False,True,,True,False,False,True,,True,True,False,False,True,True,True,False,,False,True,False,,False,True,,False,False,False,False,,True,True,False,True,False,,False,True
West Virginia,266,233.3,226.0,231.8,234.0,228.0,232.0,198.0,,186.7,212.0,266.6,265.7,,281.0,206.0,234.0,260.7,238.0,214.3,215.9,226.1,,255.6,227.4,337.0,,,210.8,,232.0,182.7,235.0,215.3,,220.0,203.2,223.4,232.0,274.0,,235.6,215.0,-32.7,-40.0,-34.2,-32.0,-38.0,-34.0,-68.0,,-79.3,-54.0,0.6,-0.3,,15.0,-60.0,-32.0,-5.3,-28.0,-51.7,-50.1,-39.9,,-10.4,-38.6,71.0,,,-55.2,,-34.0,-83.3,-31.0,-50.7,,-46.0,-62.8,-42.6,-34.0,8.0,,-30.4,-51.0,False,False,True,False,False,False,,False,False,True,True,,True,False,True,True,True,False,False,False,,True,False,False,,,False,,False,False,True,False,,False,False,False,False,True,,True,False
Wisconsin,1261,1201.0,1388.0,1208.6,1206.0,1209.6,1210.0,1272.0,,1309.5,1272.0,1244.1,1205.9,,1154.1,1174.0,1215.2,1390.6,1208.7,1182.2,1176.7,1221.5,1287.5,1198.0,1209.2,1211.0,,1237.2,1142.2,,1210.0,1415.9,1223.0,1193.8,,1184.0,1204.1,1310.2,1209.0,1230.0,,1216.0,1170.0,-6.0,181.0,1.6,-1.0,2.6,3.0,65.0,,102.5,65.0,37.1,-1.1,,-52.9,-33.0,8.2,183.6,1.7,-24.8,-30.3,14.5,80.5,-9.0,2.2,4.0,,30.2,-64.8,,3.0,208.9,16.0,-13.2,,-23.0,-2.9,103.2,2.0,23.0,,9.0,-37.0,False,True,True,True,True,False,,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,True,,False,False,,True,False,False,False,,False,True,False,True,False,,False,False
Wyoming,42,57.0,52.0,58.7,55.0,58.0,46.0,37.0,,45.0,44.0,51.1,51.8,,33.7,36.0,45.9,56.2,48.1,42.6,40.3,43.9,,66.4,64.2,48.0,,,37.0,,57.0,41.6,42.0,51.0,,47.0,42.3,44.8,37.0,48.0,,46.1,43.0,15.0,10.0,16.7,13.0,16.0,4.0,-5.0,,3.0,2.0,9.1,9.8,,-8.3,-6.0,3.9,14.2,6.1,0.6,-1.7,1.9,,24.4,22.2,6.0,,,-5.0,,15.0,-0.4,0.0,9.0,,5.0,0.3,2.8,-5.0,6.0,,4.1,1.0,True,False,True,False,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,,False,False,True,,,True,,False,True,True,True,,True,True,True,True,True,,True,True
US,193753,196087.7,194781.0,197307.9,,196966.0,194640.0,192532.0,193337.0,180095.5,194877.0,197851.0,194413.9,,198035.1,194413.0,194805.5,196883.1,195223.8,189302.7,194008.7,191566.2,,194492.7,193700.2,196477.5,194190.6,201232.8,185005.4,193876.0,195010.0,211694.6,196028.0,193946.5,191078.0,192049.0,198191.0,198521.0,193531.0,198352.5,190772.0,193042.7,187683.0,2367.7,1061.0,3587.9,,3246.0,920.0,-1188.0,-383.0,-13624.5,1157.0,4131.0,693.9,,4315.1,693.0,1085.5,3163.1,1503.8,-4417.3,288.7,-2153.8,,772.7,-19.8,2757.5,470.6,7512.8,-8714.6,156.0,1290.0,17974.6,2308.0,226.5,-2642.0,-1671.0,4471.0,4801.0,-189.0,4632.5,-2948.0,-677.3,-6037.0,True,False,,False,True,True,True,False,True,False,True,,False,True,True,False,True,False,True,True,,True,True,False,True,False,False,True,True,False,True,True,False,True,False,False,True,False,False,True,False
