,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Dakota,3729,1605.0,,1075.3,1371.6,688.0,409.0,874.0,1820.6,1042.9,1669.0,122.6,709.7,,468.4,3831.7,-2124.0,,-2653.7,-2357.4,-3041.0,-3320.0,-2855.0,-1908.4,-2686.1,-2060.0,-3606.4,-3019.3,,-3260.6,102.7,,False,False,False,False,False,True,False,True,False,False,,False,True
Ohio,43786,33640.0,,39163.2,31226.9,48599.0,7631.2,24712.0,86020.1,24528.6,38000.0,2375.5,51579.0,,17933.6,72728.1,-10146.0,,-4622.8,-12559.1,4813.0,-36154.8,-19074.0,42234.1,-19257.4,-5786.0,-41410.5,7793.0,,-25852.4,28942.1,,True,False,True,False,False,False,False,True,False,True,,False,False
Oklahoma,27432,15010.0,,26690.6,40693.6,11351.0,3509.7,28223.0,7492.5,10408.0,17453.0,1454.4,17827.1,,18070.6,22782.5,-12422.0,,-741.4,13261.6,-16081.0,-23922.3,791.0,-19939.5,-17024.0,-9979.0,-25977.6,-9604.9,,-9361.4,-4649.5,,True,False,False,False,True,False,False,True,False,True,,True,True
Oregon,11080,9180.0,,12220.2,13729.8,7559.0,2335.8,12326.0,18413.8,8944.2,10898.0,961.5,11534.9,,12402.5,14749.7,-1900.0,,1140.2,2649.8,-3521.0,-8744.2,1246.0,7333.8,-2135.8,-182.0,-10118.5,454.9,,1322.5,3669.7,,True,False,False,False,True,False,False,True,False,True,,True,False
Pennsylvania,28743,22380.0,,19940.5,18905.1,8270.0,4871.0,24889.0,49760.5,12326.8,21953.0,1813.0,28563.2,,6297.0,35720.1,-6363.0,,-8802.5,-9837.9,-20473.0,-23872.0,-3854.0,21017.5,-16416.2,-6790.0,-26930.0,-179.8,,-22446.0,6977.1,,False,False,False,False,True,False,False,False,False,True,,False,False
Rhode Island,2747,1650.0,,954.0,986.7,472.0,303.3,1363.0,1588.5,679.7,681.0,176.7,869.0,,112.7,840.6,-1097.0,,-1793.0,-1760.3,-2275.0,-2443.7,-1384.0,-1158.5,-2067.3,-2066.0,-2570.3,-1878.0,,-2634.3,-1906.4,,False,False,False,False,False,False,False,False,False,False,,False,False
South Carolina,56074,57235.0,,82105.3,106462.8,37321.0,14487.5,79339.0,28772.0,44194.1,61101.0,4330.2,46819.3,,64471.0,78249.7,1161.0,,26031.3,50388.8,-18753.0,-41586.5,23265.0,-27302.0,-11879.9,5027.0,-51743.8,-9254.7,,8397.0,22175.7,,False,False,False,False,False,False,False,False,False,False,,False,False
South Dakota,2449,2010.0,,2196.1,1727.5,1080.0,425.7,3301.0,2832.2,1218.7,1285.0,231.1,1596.0,,572.7,2894.4,-439.0,,-252.9,-721.5,-1369.0,-2023.3,852.0,383.2,-1230.3,-1164.0,-2217.9,-853.0,,-1876.3,445.4,,True,False,False,False,False,True,False,False,False,False,,False,False
Tennessee,70445,49840.0,,51364.1,62809.6,58756.0,9572.9,43143.0,28873.5,34129.5,54731.0,3292.5,43352.2,,36892.6,88797.1,-20605.0,,-19080.9,-7635.4,-11689.0,-60872.1,-27302.0,-41571.5,-36315.5,-15714.0,-67152.5,-27092.8,,-33552.4,18352.1,,True,True,True,False,False,False,False,True,False,False,,False,True
Texas,303674,231295.0,,364625.3,933984.6,246207.0,52932.5,551707.0,156263.1,79835.8,260566.0,12001.6,190060.0,,273526.0,268593.9,-72379.0,,60951.3,630310.6,-57467.0,-250741.5,248033.0,-147410.9,-223838.2,-43108.0,-291672.4,-113614.0,,-30148.0,-35080.1,,True,False,True,False,False,False,False,True,False,False,,True,True
Utah,19209,19570.0,,25235.0,28575.3,23857.0,4201.6,33781.0,15944.5,12493.3,16694.0,1978.7,16654.3,,19976.6,16893.4,361.0,,6026.0,9366.3,4648.0,-15007.4,14572.0,-3264.5,-6715.7,-2515.0,-17230.3,-2554.7,,767.6,-2315.6,,False,False,False,False,False,False,False,False,False,False,,False,False
Vermont,216,190.0,,93.3,185.5,31.0,44.2,156.0,868.3,157.1,89.0,15.0,252.2,,0.2,194.1,-26.0,,-122.7,-30.5,-185.0,-171.8,-60.0,652.3,-58.9,-127.0,-201.0,36.2,,-215.8,-21.9,,False,False,False,False,False,False,False,False,False,False,,False,True
Virginia,34080,19310.0,,10760.7,16367.4,8377.0,4194.0,21503.0,51725.8,12752.6,11987.0,2082.8,21024.4,,7375.7,10641.1,-14770.0,,-23319.3,-17712.6,-25703.0,-29886.0,-12577.0,17645.8,-21327.4,-22093.0,-31997.2,-13055.6,,-26704.3,-23438.9,,False,False,False,False,True,False,False,False,False,True,,False,False
Washington,27276,19215.0,,23608.6,18963.6,12210.0,4190.4,31036.0,27410.8,14148.8,18821.0,1190.8,21349.4,,9870.2,31804.5,-8061.0,,-3667.4,-8312.4,-15066.0,-23085.6,3760.0,134.8,-13127.2,-8455.0,-26085.2,-5926.6,,-17405.8,4528.5,,True,False,False,False,True,True,False,False,False,True,,False,True
West Virginia,4358,2115.0,,2459.0,15302.7,1819.0,552.3,1853.0,4166.0,1782.9,2496.0,121.4,2857.4,,1448.1,7298.7,-2243.0,,-1899.0,10944.7,-2539.0,-3805.7,-2505.0,-192.0,-2575.1,-1862.0,-4236.6,-1500.6,,-2909.9,2940.7,,True,False,False,False,False,True,False,True,False,True,,False,False
Wisconsin,28878,18845.0,,15324.6,18672.5,9650.0,4441.8,15690.0,26486.4,13695.0,21478.0,1416.6,24379.2,,13144.5,34828.2,-10033.0,,-13553.4,-10205.5,-19228.0,-24436.2,-13188.0,-2391.6,-15183.0,-7400.0,-27461.4,-4498.8,,-15733.5,5950.2,,False,False,False,False,False,True,False,True,False,True,,False,True
Wyoming,1409,1070.0,,2265.9,2356.9,814.0,215.0,489.0,625.1,701.3,1095.0,59.8,1518.4,,952.5,1090.7,-339.0,,856.9,947.9,-595.0,-1194.0,-920.0,-783.9,-707.7,-314.0,-1349.2,109.4,,-456.5,-318.3,,False,False,False,False,False,False,False,True,False,True,,False,True
US,2154788,1645885.0,2687302.0,2378619.1,,1547395.0,362289.8,2165912.0,1721099.7,1217531.3,1640900.0,108281.8,1820002.4,1176563.1,1462547.8,2671614.2,-508903.0,532514.0,223831.1,,-607393.0,-1792498.2,11124.0,-433688.3,-937256.7,-513888.0,-2046506.2,-334785.6,-978224.9,-692240.2,516826.2,False,True,,False,False,True,True,False,False,False,True,False,False,False
