,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Rhode Island,2459,2285.9,2261.1,2292.3,2297.4,2288.0,2296.0,2292.0,2282.0,2325.0,2264.2,,2277.7,2258.0,2622.4,,2295.3,2297.7,,2281.9,2345.0,2260.5,2318.0,2229.6,2285.3,2261.0,2244.1,2303.0,2155.0,2314.6,2305.4,2271.5,2271.0,,,2276.6,2320.0,2256.0,2229.2,2193.0,2270.5,,2335.6,2301.5,2288.0,2307.5,2258.0,,2156.7,2337.0,13.9,-10.9,20.3,25.4,16.0,24.0,20.0,10.0,53.0,-7.8,,5.7,-14.0,350.4,,23.3,25.7,,9.9,73.0,-11.5,46.0,-42.4,13.3,-11.0,-27.9,31.0,-117.0,42.6,33.4,-0.5,-1.0,,,4.6,48.0,-16.0,-42.8,-79.0,-1.5,,63.6,29.5,16.0,35.5,-14.0,,-115.3,65.0,True,False,False,False,False,False,True,False,True,,True,False,False,,False,False,,True,False,True,False,False,True,True,False,False,False,False,False,True,True,,,True,False,False,False,False,True,,False,False,False,False,False,,False,False
South Carolina,7911,7961.3,8227.1,7862.8,8086.4,8057.0,8084.0,7859.0,7773.0,7763.0,7894.5,,7634.5,8050.0,7786.0,,7887.0,7571.1,,7290.7,8045.0,9654.8,7816.0,7798.3,7819.7,7501.0,7778.5,7940.0,8037.2,7767.8,7889.6,7914.4,7778.0,,7964.1,7781.2,8014.0,7861.0,8241.2,7871.0,8100.2,,7828.5,8026.5,7726.0,7850.5,7868.0,,7383.4,8048.0,50.3,316.1,-48.2,175.4,146.0,173.0,-52.0,-138.0,-148.0,-16.5,,-276.5,139.0,-125.0,,-24.0,-339.9,,-620.3,134.0,1743.8,-95.0,-112.7,-91.3,-410.0,-132.5,29.0,126.2,-143.2,-21.4,3.4,-133.0,,53.1,-129.8,103.0,-50.0,330.2,-40.0,189.2,,-82.5,115.5,-185.0,-60.5,-43.0,,-527.6,137.0,False,True,False,False,False,False,False,False,True,,False,False,False,,True,False,,False,False,False,False,False,False,False,False,True,False,False,True,True,False,,False,False,False,True,False,True,False,,False,False,False,False,True,,False,False
South Dakota,1838,1913.6,1922.0,1851.6,1932.9,1914.0,1933.0,1865.0,1854.0,1802.0,1849.8,,1740.3,1858.0,1850.3,,1871.5,1828.4,,1782.9,1862.0,1997.6,1887.0,1847.0,1841.7,1828.0,1846.0,1860.0,1879.8,1917.4,1866.2,1912.9,1918.0,,,1855.3,1845.0,1844.0,1714.9,1871.0,1791.3,,1940.9,1862.8,1858.0,1920.0,1864.0,,1869.0,1874.0,75.6,84.0,13.6,94.9,76.0,95.0,27.0,16.0,-36.0,11.8,,-97.7,20.0,12.3,,33.5,-9.6,,-55.1,24.0,159.6,49.0,9.0,3.7,-10.0,8.0,22.0,41.8,79.4,28.2,74.9,80.0,,,17.3,7.0,6.0,-123.1,33.0,-46.7,,102.9,24.8,20.0,82.0,26.0,,31.0,36.0,False,True,False,False,False,True,True,True,True,,False,True,True,,True,True,,True,True,False,True,True,True,True,True,True,True,False,True,True,False,,,True,True,True,False,True,True,,False,True,True,False,True,,True,True
Tennessee,10902,11119.0,11126.1,10692.1,11131.9,10832.0,11084.2,10581.0,10408.0,10017.0,10421.5,,10095.0,10350.0,10768.3,,10356.4,10262.0,,10055.1,11073.0,9549.5,10743.0,10161.0,10274.5,10574.0,10716.3,10488.0,11081.9,10663.8,10675.1,10761.5,10653.0,,10587.8,10566.1,10383.0,10595.0,9843.4,10523.0,11275.2,,10691.7,10619.9,10543.0,10959.4,10642.0,,10030.1,10548.0,217.0,224.1,-209.9,229.9,-70.0,182.2,-321.0,-494.0,-885.0,-480.5,,-807.0,-552.0,-133.7,,-545.6,-640.0,,-846.9,171.0,-1352.5,-159.0,-741.0,-627.5,-328.0,-185.7,-414.0,179.9,-238.2,-226.9,-140.5,-249.0,,-314.2,-335.9,-519.0,-307.0,-1058.6,-379.0,373.2,,-210.3,-282.1,-359.0,57.4,-260.0,,-871.9,-354.0,False,True,False,True,True,False,False,False,False,,False,False,True,,False,False,,False,True,False,True,False,False,False,True,False,True,False,False,True,False,,False,False,False,False,False,False,False,,True,False,False,True,False,,False,False
Texas,41149,41091.0,42783.5,41444.3,41351.7,41309.0,41322.7,40928.0,40775.0,40975.0,40931.9,,39946.3,40861.0,40963.3,,40500.2,40592.4,,40599.9,42150.0,41674.4,41847.0,40464.2,41109.4,40768.0,41293.0,41572.0,42417.7,40986.3,41522.5,41078.5,40750.0,,42269.4,40643.3,41533.0,40979.0,39095.4,40336.0,40603.5,,41011.1,41106.6,40554.0,40839.2,41234.0,,39072.4,41110.0,-58.0,1634.5,295.3,202.7,160.0,173.7,-221.0,-374.0,-174.0,-217.1,,-1202.7,-288.0,-185.7,,-648.8,-556.6,,-549.1,1001.0,525.4,698.0,-684.8,-39.6,-381.0,144.0,423.0,1268.7,-162.7,373.5,-70.5,-399.0,,1120.4,-505.7,384.0,-170.0,-2053.6,-813.0,-545.5,,-137.9,-42.4,-595.0,-309.8,85.0,,-2076.6,-39.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,True,False,False,False,,False,True
Utah,1790,1795.0,1837.8,1813.3,1822.6,1841.0,1825.0,1811.0,1790.0,1752.0,1840.5,,1736.5,1869.0,1779.1,,1782.1,1788.0,,1862.3,1856.0,2070.0,1847.0,1368.2,1799.1,1769.0,1795.9,1846.0,,1829.3,1813.0,1782.1,1902.0,,,1798.6,1809.0,1798.0,1541.4,1761.0,1830.1,,1853.0,1797.5,1783.0,1842.3,1790.0,,1233.6,1822.0,5.0,47.8,23.3,32.6,51.0,35.0,21.0,0.0,-38.0,50.5,,-53.5,79.0,-10.9,,-7.9,-2.0,,72.3,66.0,280.0,57.0,-421.8,9.1,-21.0,5.9,56.0,,39.3,23.0,-7.9,112.0,,,8.6,19.0,8.0,-248.6,-29.0,40.1,,63.0,7.5,-7.0,52.3,0.0,,-556.4,32.0,False,False,False,False,False,False,True,False,False,,False,False,False,,False,True,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,True,,False,False
Vermont,189,181.4,182.8,182.9,177.3,183.0,179.0,186.0,190.0,182.0,209.4,,193.2,208.0,180.2,,193.8,190.7,,203.1,210.0,237.7,210.0,230.5,199.8,180.0,180.5,219.0,178.3,180.5,198.5,180.6,173.0,,,178.6,204.0,186.0,213.8,184.0,177.5,,205.1,192.9,184.0,181.1,181.0,,183.5,199.0,-7.6,-6.2,-6.1,-11.7,-6.0,-10.0,-3.0,1.0,-7.0,20.4,,4.2,19.0,-8.8,,4.8,1.7,,14.1,21.0,48.7,21.0,41.5,10.8,-9.0,-8.5,30.0,-10.7,-8.5,9.5,-8.4,-16.0,,,-10.4,15.0,-3.0,24.8,-5.0,-11.5,,16.1,3.9,-5.0,-7.9,-8.0,,-5.5,10.0,True,True,False,True,False,True,True,True,False,,True,False,False,,True,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,True,False,True,False,,False,True,True,False,False,,True,False
Virginia,6996,7180.9,7337.0,7174.8,7172.9,7258.0,7188.8,7172.0,7118.0,7026.0,7269.6,,6911.3,7082.0,7255.2,,7062.3,7080.7,,7197.9,7324.0,7616.1,7309.0,7444.4,7161.7,7172.0,7160.9,7247.0,7247.4,7189.2,7244.2,7122.0,7348.0,,7028.2,7167.5,7217.0,7431.0,7616.1,6940.0,7157.9,,7196.6,7311.9,7108.0,7360.3,7242.0,,6771.2,7256.0,184.9,341.0,178.8,176.9,262.0,192.8,176.0,122.0,30.0,273.6,,-84.7,86.0,259.2,,66.3,84.7,,201.9,328.0,620.1,313.0,448.4,165.7,176.0,164.9,251.0,251.4,193.2,248.2,126.0,352.0,,32.2,171.5,221.0,435.0,620.1,-56.0,161.9,,200.6,315.9,112.0,364.3,246.0,,-224.8,260.0,False,True,True,False,False,True,True,True,False,,True,True,False,,True,True,,False,False,False,False,False,True,True,True,False,False,False,False,True,False,,True,True,False,False,False,True,True,,False,False,True,False,False,,False,False
Washington,4675,4602.6,4590.5,4703.8,4628.5,4593.0,4627.0,4620.0,4600.0,4660.0,4672.3,,4666.2,4584.0,4511.1,,4542.0,4580.5,,4616.7,4795.0,4510.1,4690.0,4746.4,4608.9,4560.0,4531.3,4688.0,4583.3,4629.9,4643.0,4610.3,4839.0,,4588.1,4477.4,4576.0,4619.0,4780.5,4548.0,4601.2,,4628.8,4686.3,4640.0,4692.7,4620.0,,4485.7,4679.0,-72.4,-84.5,28.8,-46.5,-82.0,-48.0,-55.0,-75.0,-15.0,-2.7,,-8.8,-91.0,-163.9,,-133.0,-94.5,,-58.3,120.0,-164.9,15.0,71.4,-66.1,-115.0,-143.7,13.0,-91.7,-45.1,-32.0,-64.7,164.0,,-86.9,-197.6,-99.0,-56.0,105.5,-127.0,-73.8,,-46.2,11.3,-35.0,17.7,-55.0,,-189.3,4.0,False,True,True,False,True,True,False,True,True,,True,False,False,,False,False,,True,False,False,True,True,True,False,False,True,False,True,True,True,False,,False,False,False,True,False,False,False,,True,True,True,True,True,,False,True
West Virginia,2201,2263.6,2235.2,2292.8,2273.3,2291.0,2301.0,2247.0,2229.0,2144.0,2264.7,,2247.5,2264.0,2212.9,,2224.4,2188.4,,2150.1,2327.0,2175.6,2263.0,2332.8,2248.0,2158.0,2202.6,2251.0,2258.8,2258.5,2262.4,2241.1,2403.5,,,2205.1,2282.0,2211.0,2535.2,2185.0,2344.1,,2280.2,2273.2,2207.0,2337.9,2228.0,,2189.4,2248.0,62.6,34.2,91.8,72.3,90.0,100.0,46.0,28.0,-57.0,63.7,,46.5,63.0,11.9,,23.4,-12.6,,-50.9,126.0,-25.4,62.0,131.8,47.0,-43.0,1.6,50.0,57.8,57.5,61.4,40.1,202.5,,,4.1,81.0,10.0,334.2,-16.0,143.1,,79.2,72.2,6.0,136.9,27.0,,-11.6,47.0,True,False,False,False,False,True,True,True,False,,True,False,True,,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,,True,False,True,False,True,False,,False,False,True,False,True,,True,True
Wisconsin,6744,6887.1,6918.4,6918.1,6921.6,6921.0,6922.0,6841.0,6772.0,6742.0,6851.5,,6528.3,6783.0,6758.7,,6730.9,6798.5,,6785.5,7034.0,7682.5,6944.0,6905.3,6780.8,6839.0,6824.2,6897.0,6818.7,6864.6,6853.7,6810.7,7008.0,,6998.5,6823.1,6780.0,6827.0,5676.2,6716.0,6860.9,,6880.5,6826.1,6754.0,6850.5,6843.0,,6791.3,6879.0,143.1,174.4,174.1,177.6,177.0,178.0,97.0,28.0,-2.0,107.5,,-215.7,39.0,14.7,,-13.1,54.5,,41.5,290.0,938.5,200.0,161.3,36.8,95.0,80.2,153.0,74.7,120.6,109.7,66.7,264.0,,254.5,79.1,36.0,83.0,-1067.8,-28.0,116.9,,136.5,82.1,10.0,106.5,99.0,,47.3,135.0,False,False,False,False,False,True,True,True,True,,False,True,True,,True,True,,True,False,False,False,False,True,True,True,False,True,True,True,True,False,,False,True,True,True,False,True,True,,True,True,True,True,True,,True,True
Wyoming,647,642.4,657.5,664.3,649.0,670.0,646.0,650.0,645.0,628.0,643.6,,673.8,662.0,651.0,,651.9,625.3,,742.0,665.0,665.1,663.0,644.0,636.2,670.0,628.6,646.0,,646.9,655.9,625.0,668.0,,,624.0,641.0,649.0,654.2,625.0,612.8,,670.5,637.1,639.0,662.5,652.0,,639.6,662.0,-4.6,10.5,17.3,2.0,23.0,-1.0,3.0,-2.0,-19.0,-3.4,,26.8,15.0,4.0,,4.9,-21.7,,95.0,18.0,18.1,16.0,-3.0,-10.8,23.0,-18.4,-1.0,,-0.1,8.9,-22.0,21.0,,,-23.0,-6.0,2.0,7.2,-22.0,-34.2,,23.5,-9.9,-8.0,15.5,5.0,,-7.4,15.0,False,False,True,False,True,True,True,False,True,,False,False,True,,False,False,,False,False,False,False,True,False,False,False,True,,True,False,False,False,,,False,False,True,False,False,False,,False,False,False,False,False,,False,False
US,485911,482316.7,485479.2,482364.9,483270.3,,483640.3,478740.0,476556.0,471437.0,477504.6,478759.0,464383.2,476639.0,481310.8,484804.0,472492.9,,493798.0,471885.7,485747.0,479562.6,483958.0,471382.9,474868.8,474735.5,480092.6,482092.0,482925.0,479702.6,479995.5,478199.9,486263.0,478603.8,481974.0,476682.7,476780.0,472895.0,473399.1,472427.0,474426.6,485348.0,480642.2,479343.3,475696.0,482092.6,477846.0,477041.0,463818.9,479501.0,4006.7,7169.2,4054.9,4960.3,,5330.3,430.0,-1754.0,-6873.0,-805.4,449.0,-13926.8,-1671.0,3000.8,6494.0,-5817.1,,15488.0,-6424.3,7437.0,1252.6,5648.0,-6927.1,-3441.2,-3574.5,1782.6,3782.0,4615.0,1392.6,1685.5,-110.1,7953.0,293.8,3664.0,-1627.3,-1530.0,-5415.0,-4910.9,-5883.0,-3883.4,7038.0,2332.2,1033.3,-2614.0,3782.6,-464.0,-1269.0,-14491.1,1191.0,False,False,False,,False,True,True,False,True,True,False,True,True,False,False,,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,False,True
