,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,45751,45871.9,45841.8,45845.5,45865.7,45917.0,45875.0,45822.0,45701.0,45890.0,45859.9,45605.0,45096.7,45910.0,46095.6,,45687.2,,45902.3,45874.4,,46103.1,45606.0,45463.8,46013.0,45694.0,45784.6,45680.0,45875.5,45910.0,45273.3,45839.5,45877.0,45796.4,46133.5,,45705.4,45682.2,46667.0,45729.0,44297.0,45642.0,45849.4,,45848.6,45810.9,45702.0,45857.5,45805.0,,44831.6,45774.0,120.9,90.8,94.5,114.7,166.0,124.0,71.0,-50.0,139.0,108.9,-146.0,-654.3,159.0,344.6,,-63.8,,151.3,123.4,,352.1,-145.0,-287.2,262.0,-57.0,33.6,-71.0,124.5,159.0,-477.7,88.5,126.0,45.4,382.5,,-45.6,-68.8,916.0,-22.0,-1454.0,-109.0,98.4,,97.6,59.9,-49.0,106.5,54.0,,-919.4,23.0,True,True,True,False,False,True,True,False,True,False,False,False,False,,True,,False,False,,False,False,False,False,True,True,True,False,False,False,True,False,True,False,,True,True,False,True,False,True,True,,True,True,True,True,True,,False,True
North Carolina,10453,10538.4,10490.2,10568.5,10558.1,10546.0,10565.0,10521.0,10485.0,10417.0,10517.5,10638.0,10128.6,10387.0,10489.4,,10504.4,,10541.9,10438.5,,10261.1,10573.0,10260.2,10552.0,10527.8,10487.5,10492.0,10534.8,10522.0,10613.1,10543.7,10577.3,10542.4,10667.0,,10564.6,10446.0,,10492.0,10842.1,10484.0,10510.5,,10546.3,10734.2,10494.0,10595.5,10500.0,,10278.8,10561.0,85.4,37.2,115.5,105.1,93.0,112.0,68.0,32.0,-36.0,64.5,185.0,-324.4,-66.0,36.4,,51.4,,88.9,-14.5,,-191.9,120.0,-192.8,99.0,74.8,34.5,39.0,81.8,69.0,160.1,90.7,124.3,89.4,214.0,,111.6,-7.0,,39.0,389.1,31.0,57.5,,93.3,281.2,41.0,142.5,47.0,,-174.2,108.0,True,False,False,False,False,True,True,True,True,False,False,True,True,,True,,False,True,,False,False,False,False,True,True,True,True,True,False,False,False,False,False,,False,True,,True,False,True,True,,False,False,True,False,True,,False,False
North Dakota,1461,1458.1,1470.0,1458.8,1456.8,1468.0,1459.0,1463.0,1463.0,1458.0,1462.7,1467.0,1463.3,1466.0,1471.5,,1460.3,,1457.6,1463.9,,1462.7,1474.0,1573.5,1464.0,1447.3,1465.7,1456.0,1460.9,1472.0,1461.3,1458.9,1465.7,1459.2,1465.0,,,1462.1,1471.0,1464.0,1521.5,1459.0,1454.1,,1470.8,1470.1,1463.0,1471.8,1461.0,,1452.4,1468.0,-2.9,9.0,-2.2,-4.2,7.0,-2.0,2.0,2.0,-3.0,1.7,6.0,2.3,5.0,10.5,,-0.7,,-3.4,2.9,,1.7,13.0,112.5,3.0,-13.7,4.7,-5.0,-0.1,11.0,0.3,-2.1,4.7,-1.8,4.0,,,1.1,10.0,3.0,60.5,-2.0,-6.9,,9.8,9.1,2.0,10.8,0.0,,-8.6,7.0,False,True,False,False,True,True,True,False,True,False,True,False,False,,True,,False,False,,True,False,False,False,False,False,False,True,False,True,True,False,True,False,,,True,False,False,False,True,False,,False,False,True,False,True,,False,False
Ohio,17746,12073.9,12179.9,12075.5,12194.3,12113.0,12183.0,12074.0,12011.0,11952.0,12067.9,12105.0,11655.5,12001.0,12221.9,,12093.3,,12209.1,11977.0,,11855.7,12073.0,12321.1,12114.0,12202.8,11986.9,11997.0,12053.4,12125.0,12145.4,12111.7,12108.3,12074.2,12177.0,,12086.0,11987.0,12038.0,12075.0,13613.2,11948.0,12225.6,,12121.7,12259.6,11994.0,12063.9,12037.0,,11973.5,12138.0,145.9,251.9,147.5,266.3,185.0,255.0,146.0,83.0,24.0,139.9,177.0,-272.5,73.0,293.9,,165.3,,281.1,49.0,,-72.3,145.0,393.1,186.0,274.8,58.9,69.0,125.4,197.0,217.4,183.7,180.3,146.2,249.0,,158.0,59.0,110.0,147.0,1685.2,20.0,297.6,,193.7,331.6,66.0,135.9,109.0,,45.5,210.0,False,False,False,False,False,False,True,True,True,False,False,True,False,,False,,False,True,,True,True,False,False,False,True,True,True,False,False,False,False,False,False,,False,True,True,False,False,True,False,,False,False,True,True,True,,True,False
Oklahoma,3994,4041.0,4087.1,4014.8,4024.8,4025.0,4018.0,4009.0,3982.0,3899.0,3994.8,4021.0,3823.2,3998.0,4005.1,,3984.8,,4000.7,3945.0,,3953.5,3987.0,4323.5,4012.0,4053.6,3980.4,4040.0,4024.1,4029.0,4058.1,4001.6,4025.9,4013.2,4023.0,,,3987.1,3934.0,3990.0,3418.9,4013.0,4007.1,,4013.6,4105.0,3992.0,4011.9,3990.0,,3941.3,4026.0,47.0,93.1,20.8,30.8,31.0,24.0,15.0,-12.0,-95.0,0.8,27.0,-170.8,4.0,11.1,,-9.2,,6.7,-49.0,,-40.5,-7.0,329.5,18.0,59.6,-13.6,46.0,30.1,35.0,64.1,7.6,31.9,19.2,29.0,,,-6.9,-60.0,-4.0,-575.1,19.0,13.1,,19.6,111.0,-2.0,17.9,-4.0,,-52.7,32.0,False,True,True,True,True,True,True,False,True,True,False,True,True,,True,,True,False,,True,True,False,True,False,True,True,True,True,False,True,True,True,True,,,True,False,True,False,True,True,,True,False,True,True,True,,False,True
Oregon,2137,2079.6,2069.2,2081.6,2077.3,2095.0,2083.0,2083.0,2086.0,2083.0,2101.9,2096.0,2049.3,2090.0,2099.4,,2091.8,,2064.6,2083.0,,2071.6,2163.0,2130.3,2085.0,2140.0,2090.0,2059.0,2070.3,2104.0,,2088.1,2089.2,2082.7,2073.0,,,2071.1,2091.0,2085.0,2251.4,2091.0,2084.3,,2099.3,2141.6,2081.0,2112.5,2080.0,,2083.4,2098.0,-57.4,-67.8,-55.4,-59.7,-42.0,-54.0,-54.0,-51.0,-54.0,-35.1,-41.0,-87.7,-47.0,-37.6,,-45.2,,-72.4,-54.0,,-65.4,26.0,-6.7,-52.0,3.0,-47.0,-78.0,-66.7,-33.0,,-48.9,-47.8,-54.3,-64.0,,,-65.9,-46.0,-52.0,114.4,-46.0,-52.7,,-37.7,4.6,-56.0,-24.5,-57.0,,-53.6,-39.0,False,True,False,True,True,True,True,True,True,True,False,True,True,,True,,False,True,,False,True,True,True,True,True,False,False,True,,True,True,True,False,,,False,True,True,False,True,True,,True,True,True,True,True,,True,True
Pennsylvania,23043,23100.9,23180.0,23271.5,23126.2,23398.0,23144.0,23144.0,23111.0,23274.0,23143.7,23284.0,22896.5,23338.0,23580.5,,22979.9,,22917.9,23087.2,,23251.0,22987.0,23345.5,23136.0,23082.8,23289.1,22992.0,23078.7,23218.0,23160.2,23225.5,23205.6,23065.5,23333.0,,23150.0,22965.1,,23029.0,23643.4,23086.0,23062.2,,23223.7,23020.9,23098.0,23245.1,23123.0,,23116.8,23212.0,57.9,137.0,228.5,83.2,355.0,101.0,101.0,68.0,231.0,100.7,241.0,-146.5,295.0,537.5,,-63.1,,-125.1,44.2,,208.0,-56.0,302.5,93.0,39.8,246.1,-51.0,35.7,175.0,117.2,182.5,162.6,22.5,290.0,,107.0,-77.9,,-14.0,600.4,43.0,19.2,,180.7,-22.1,55.0,202.1,80.0,,73.8,169.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,True,,False,True,False,False,True,False,True,True,False,False,False,False,True,False,,False,False,,True,False,True,True,,False,True,True,False,False,,False,False
Rhode Island,2459,2261.7,2261.8,2270.1,2270.5,2274.0,2270.0,2270.0,2265.0,2301.0,2268.1,2285.0,2244.3,2275.0,2367.0,,2270.2,,2262.6,2287.0,,2266.3,2302.0,2232.4,2270.0,2214.6,2269.1,2258.0,2254.7,2278.0,2216.9,2277.3,2278.9,2254.0,2267.0,,,2252.9,2286.0,2266.0,2229.2,2231.0,2262.9,,2288.2,2287.9,2262.0,2282.6,2260.0,,2194.3,2280.0,2.7,2.8,11.1,11.5,15.0,11.0,11.0,6.0,42.0,9.1,26.0,-14.7,16.0,108.0,,11.2,,3.6,28.0,,7.3,43.0,-26.6,11.0,-44.4,10.1,-1.0,-4.3,19.0,-42.1,18.3,19.9,-5.0,8.0,,,-6.1,27.0,7.0,-29.8,-28.0,3.9,,29.2,28.9,3.0,23.6,1.0,,-64.7,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,True,,False,False
South Carolina,7911,8173.0,8285.5,8135.2,8209.4,8331.0,8208.0,8115.0,8051.0,7982.0,8058.8,8183.0,7655.2,7957.0,7980.0,,8151.5,,8156.6,8107.9,,7817.8,8314.0,7608.3,8255.0,7982.8,8025.7,8005.0,8101.1,8127.0,8251.9,8141.5,8186.2,8102.1,8189.0,,8260.6,7994.6,8123.0,8036.0,8241.2,8059.0,8184.2,,8168.1,8189.4,8017.0,8167.2,8008.0,,7851.9,8183.0,262.0,374.5,224.2,298.4,420.0,297.0,204.0,140.0,71.0,147.8,272.0,-255.8,46.0,69.0,,240.5,,245.6,196.9,,-93.2,403.0,-302.7,344.0,71.8,114.7,94.0,190.1,216.0,340.9,230.5,275.2,191.1,278.0,,349.6,83.6,212.0,125.0,330.2,148.0,273.2,,257.1,278.4,106.0,256.2,97.0,,-59.1,272.0,False,True,False,False,False,True,True,True,True,False,True,True,True,,True,,True,True,,True,False,False,False,True,True,True,True,True,False,True,False,True,False,,False,True,True,True,False,True,False,,True,False,True,True,True,,True,False
South Dakota,1838,1835.6,1847.4,1839.0,1839.0,1870.0,1833.0,1839.0,1832.0,1818.0,1831.8,1848.0,1780.3,1842.0,1857.8,,1832.5,,1839.6,1840.0,,1878.0,1842.0,1810.1,1846.0,1837.0,1838.1,1828.0,1830.0,1845.0,1823.2,1840.7,1842.5,1833.9,1831.0,,,1833.3,1833.0,1833.0,1819.8,1838.0,1830.1,,1852.6,1847.4,1839.0,1831.2,1835.0,,1849.5,1847.0,-2.4,9.4,1.0,1.0,32.0,-5.0,1.0,-6.0,-20.0,-6.2,10.0,-57.7,4.0,19.8,,-5.5,,1.6,2.0,,40.0,4.0,-27.9,8.0,-1.0,0.1,-10.0,-8.0,7.0,-14.8,2.7,4.5,-4.1,-7.0,,,-4.7,-5.0,-5.0,-18.2,0.0,-7.9,,14.6,9.4,1.0,-6.8,-3.0,,11.5,9.0,False,True,True,False,False,True,False,False,False,False,False,False,False,,False,,True,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,False,False,False,False,True,False,,False,False,True,False,False,,False,False
Tennessee,10902,11171.0,11319.1,11166.8,11361.6,11235.0,11352.0,11128.0,10962.0,10765.0,10985.4,11098.0,10272.0,10850.0,10996.3,,11185.3,,11165.8,10950.7,,10732.6,11195.0,9811.8,11207.0,10505.8,10788.8,11275.0,11108.2,10988.0,,11113.4,11143.7,11210.8,10962.0,,11185.8,11018.4,,11052.0,9843.4,10911.0,11356.4,,11137.9,11174.7,10920.0,11165.7,11158.0,,10529.0,11174.0,269.0,417.1,264.8,459.6,333.0,450.0,226.0,60.0,-137.0,83.4,196.0,-630.0,-52.0,94.3,,283.3,,263.8,48.7,,-169.4,293.0,-1090.2,305.0,-396.2,-113.2,373.0,206.2,86.0,,211.4,241.7,308.8,60.0,,283.8,116.4,,150.0,-1058.6,9.0,454.4,,235.9,272.7,18.0,263.7,256.0,,-373.0,272.0,False,True,False,False,False,True,True,True,True,True,False,True,True,,False,,True,True,,True,False,False,False,False,True,False,True,True,,True,True,False,True,,False,True,,True,False,True,False,,True,False,True,True,True,,False,False
Texas,41149,41248.9,41294.0,41278.7,41433.8,41330.0,41440.0,41238.0,41200.0,41108.0,41284.2,41542.0,40122.9,41199.0,41030.5,,,,41432.4,40962.1,,40018.5,41227.0,42364.6,41523.0,40801.7,41493.9,41104.0,41264.5,41437.0,41715.8,41237.7,41476.9,41316.8,41203.0,,41481.0,40816.0,,41105.0,39145.1,40880.0,41298.4,,41248.8,41504.3,40973.0,41310.9,41285.0,,40406.9,41326.0,99.9,145.0,129.7,284.8,181.0,291.0,89.0,51.0,-41.0,135.2,393.0,-1026.1,50.0,-118.5,,,,283.4,-186.9,,-1130.5,78.0,1215.6,374.0,-347.3,344.9,-45.0,115.5,288.0,566.8,88.7,327.9,167.8,54.0,,332.0,-333.0,,-44.0,-2003.9,-269.0,149.4,,99.8,355.3,-176.0,161.9,136.0,,-742.1,177.0,False,False,False,False,False,True,True,True,False,False,False,True,False,,,,False,False,,False,True,False,False,False,False,True,False,False,False,True,False,False,True,,False,False,,True,False,False,False,,True,False,False,False,False,,False,False
Utah,1790,1796.9,1810.0,1796.8,1801.4,1806.0,1803.0,1796.0,1784.0,1776.0,1821.4,1810.0,1749.3,1794.0,1796.6,,1788.8,,1812.7,1788.9,,1777.3,1843.0,2184.1,1817.0,1296.4,1797.2,1777.0,1794.0,1827.0,1810.4,1806.4,1810.4,1788.4,1816.0,,,1785.6,1793.0,1785.0,1541.4,1777.0,1800.8,,1817.6,1790.9,1787.0,1804.8,1788.0,,1245.9,1802.0,6.9,20.0,6.8,11.4,16.0,13.0,6.0,-6.0,-14.0,31.4,20.0,-40.7,4.0,6.6,,-1.2,,22.7,-1.1,,-12.7,53.0,394.1,27.0,-493.6,7.2,-13.0,4.0,37.0,20.4,16.4,20.4,-1.6,26.0,,,-4.4,3.0,-5.0,-248.6,-13.0,10.8,,27.6,0.9,-3.0,14.8,-2.0,,-544.1,12.0,False,True,False,False,False,True,True,False,False,False,False,True,True,,True,,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,True,True,True,False,False,False,,False,True,True,False,True,,False,False
Vermont,189,190.7,186.9,186.7,191.7,186.0,191.0,190.0,189.0,183.0,196.4,185.0,181.5,194.0,188.7,,187.5,,191.0,193.0,,184.9,190.0,185.0,193.0,206.5,190.8,192.0,188.4,203.0,196.4,191.9,192.8,190.3,183.0,,,185.5,,189.0,213.3,193.0,191.5,,203.9,197.7,188.0,194.2,188.0,,188.4,190.0,1.7,-2.1,-2.3,2.7,-3.0,2.0,1.0,0.0,-6.0,7.4,-4.0,-7.5,5.0,-0.3,,-1.5,,2.0,4.0,,-4.1,1.0,-4.0,4.0,17.5,1.8,3.0,-0.6,14.0,7.4,2.9,3.8,1.3,-6.0,,,-3.5,,0.0,24.3,4.0,2.5,,14.9,8.7,-1.0,5.2,-1.0,,-0.6,1.0,False,False,False,False,False,True,True,False,False,False,False,False,True,,True,,False,False,,False,True,False,False,False,False,False,True,False,False,False,False,True,False,,,False,,True,False,False,False,,False,False,True,False,True,,True,True
Virginia,6996,7047.1,7239.7,7107.4,7093.6,7168.0,7097.0,7101.0,7073.0,7026.0,7131.2,7137.0,6884.0,7022.0,7162.1,,7094.7,,7129.6,7094.8,,7129.3,7127.0,7072.4,7181.0,7187.0,7090.4,7031.0,7094.7,7160.0,7190.8,7066.5,7114.3,7072.8,7209.0,,7112.7,7107.0,,7208.0,7616.1,7007.0,7020.9,,7073.3,7192.5,7044.0,7126.6,7125.0,,6945.6,7137.0,51.1,243.7,111.4,97.6,172.0,101.0,105.0,77.0,30.0,135.2,141.0,-112.0,26.0,166.1,,98.7,,133.6,98.8,,133.3,131.0,76.4,185.0,191.0,94.4,35.0,98.7,164.0,194.8,70.5,118.3,76.8,213.0,,116.7,111.0,,212.0,620.1,11.0,24.9,,77.3,196.5,48.0,130.6,129.0,,-50.4,141.0,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,False,True,True,,False,False,True,False,False,,True,False
Washington,4675,4589.6,4598.4,4622.2,4611.5,4616.0,4613.0,4612.0,4608.0,4614.0,4627.3,4659.0,4574.0,4584.0,4570.3,,4630.4,,4590.7,4592.7,,4670.2,4684.0,4714.9,4646.0,4636.9,4614.8,4517.0,4573.5,4626.0,4629.5,4604.7,4617.4,4590.3,4712.0,,4593.8,4547.2,4595.0,4601.0,4707.4,4541.0,4614.9,,4604.6,4641.1,4581.0,4628.6,4590.0,,4550.1,4613.0,-85.4,-76.6,-52.8,-63.5,-59.0,-62.0,-63.0,-67.0,-61.0,-47.7,-16.0,-101.0,-91.0,-104.7,,-44.6,,-84.3,-82.3,,-4.8,9.0,39.9,-29.0,-38.1,-60.2,-158.0,-101.5,-49.0,-45.5,-70.3,-57.6,-84.7,37.0,,-81.2,-127.8,-80.0,-74.0,32.4,-134.0,-60.1,,-70.4,-33.9,-94.0,-46.4,-85.0,,-124.9,-62.0,True,True,True,True,True,True,True,True,True,True,False,False,False,,True,,True,True,,True,True,True,True,True,True,False,False,True,True,True,True,True,True,,True,False,True,True,True,False,True,,True,True,False,True,True,,False,True
West Virginia,2201,2219.0,2211.9,2224.9,2219.2,2247.0,2223.0,2218.0,2217.0,2185.0,2218.6,2206.0,2203.8,2214.0,2240.4,,2205.6,,2198.3,2208.3,,2223.0,2253.0,2156.2,2226.0,2251.9,2227.7,2196.0,2204.3,2218.0,2220.5,2224.7,2227.7,2205.3,2233.0,,,2199.2,2235.0,2208.0,2535.2,2199.0,2216.9,,2235.8,2254.3,2206.0,2220.6,2215.0,,2208.8,2222.0,18.0,10.9,23.9,18.2,46.0,22.0,17.0,16.0,-16.0,17.6,5.0,2.8,13.0,39.4,,4.6,,-2.7,7.3,,22.0,52.0,-44.8,25.0,50.9,26.7,-5.0,3.3,17.0,19.5,23.7,26.7,4.3,32.0,,,-1.8,34.0,7.0,334.2,-2.0,15.9,,34.8,53.3,5.0,19.6,14.0,,7.8,21.0,True,False,False,False,False,True,True,True,True,True,True,True,False,,True,,True,True,,False,False,False,False,False,False,True,True,True,False,False,False,True,False,,,True,False,True,False,True,True,,False,False,True,False,True,,True,False
Wisconsin,6744,6766.4,6828.6,6790.6,6789.7,6845.0,6792.0,6790.0,6774.0,6790.0,6804.4,6830.0,6577.0,6772.0,6805.0,,6789.8,,6721.4,6805.0,,6815.8,6912.0,7456.5,6800.0,6806.8,6796.7,6756.0,6758.8,6829.0,6787.8,6796.7,6781.8,6761.3,6805.0,,6823.0,6754.4,6767.0,6771.0,5677.5,6726.0,6770.1,,6805.3,6837.7,6739.0,6786.9,6747.0,,6782.6,6819.0,22.4,84.6,46.6,45.7,101.0,48.0,46.0,30.0,46.0,60.4,86.0,-167.0,28.0,61.0,,45.8,,-22.6,61.0,,71.8,168.0,712.5,56.0,62.8,52.7,12.0,14.8,85.0,43.8,52.7,37.8,17.3,61.0,,79.0,10.4,23.0,27.0,-1066.5,-18.0,26.1,,61.3,93.7,-5.0,42.9,3.0,,38.6,75.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,False,,False,True,False,False,False,True,False,,False,False,True,False,True,,False,False
Wyoming,647,648.0,652.2,652.5,650.3,660.0,652.0,649.0,648.0,648.0,646.5,653.0,654.9,652.0,650.6,,646.0,,658.0,639.0,,684.0,659.0,698.7,652.0,643.4,648.2,652.0,638.6,655.0,,652.9,648.5,643.7,655.0,,,634.7,642.0,646.0,654.2,632.0,651.3,,664.5,652.9,641.0,648.7,643.0,,645.5,652.0,1.0,5.2,5.5,3.3,13.0,5.0,2.0,1.0,1.0,-0.5,6.0,7.9,5.0,3.6,,-1.0,,11.0,-8.0,,37.0,12.0,51.7,5.0,-3.6,1.2,5.0,-8.4,8.0,,5.9,1.5,-3.3,8.0,,,-12.3,-5.0,-1.0,7.2,-15.0,4.3,,17.5,5.9,-6.0,1.7,-4.0,,-1.5,5.0,False,False,False,False,False,False,False,False,True,False,False,False,False,,True,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
US,485911,482463.4,483356.5,482414.7,484744.1,,484808.0,481512.0,480826.0,478350.0,480726.6,481171.0,464047.7,479340.0,483815.9,480788.2,482639.1,,485168.8,,479204.0,472427.9,482322.0,477541.8,,472061.9,479113.3,480213.5,482177.0,482627.0,483506.0,481335.5,482967.6,480372.3,483714.5,481511.6,482945.3,478913.9,479405.0,478421.0,475098.8,477266.0,482436.4,488541.0,481919.6,483618.9,479094.0,482516.6,480316.0,480335.6,475299.0,482489.0,2722.4,3615.5,2673.7,5003.1,,5067.0,1771.0,1085.0,-1391.0,985.6,1430.0,-15693.3,-401.0,4074.9,1047.2,2898.1,,5427.8,,-537.0,-7313.1,2581.0,-2199.2,,-7679.1,-627.7,472.5,2436.0,2886.0,3765.0,1594.5,3226.6,631.3,3973.5,1770.6,3204.3,-827.1,-336.0,-1320.0,-4642.2,-2475.0,2695.4,8800.0,2178.6,3877.9,-647.0,2775.6,575.0,594.6,-4442.0,2748.0,False,True,False,,False,True,True,True,True,True,False,True,False,True,False,,False,,True,False,True,True,,False,True,True,True,False,False,True,False,True,False,True,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False
