,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Jersey,151341,117884.0,106604.3,118645.3,115055.0,198818.0,,125269.4,111697.0,87232.5,152697.2,,115059.5,115180.0,119266.5,101733.0,111276.8,110569.0,113730.3,100512.0,115327.0,117738.8,85152.0,,117528.0,89165.5,,90098.5,182805.7,150268.7,116036.0,139098.9,96514.7,-33457.0,-44736.7,-32695.7,-36286.0,47477.0,,-26071.6,-39644.0,-64108.5,1356.2,,-36281.5,-36161.0,-32074.5,-49608.0,-40064.2,-40772.0,-37610.7,-50829.0,-36014.0,-33602.2,-66189.0,,-33813.0,-62175.5,,-61242.5,31464.7,-1072.3,-35305.0,-12242.1,-54826.3,False,True,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,True,True,False,True,False
New Mexico,28160,32612.0,35460.5,33419.9,27096.0,39190.0,,29123.5,13462.0,20631.6,28767.0,,20872.9,30215.0,32400.1,32221.0,17193.4,23028.5,22972.6,23333.5,27809.1,26901.8,24225.0,,21232.1,13507.0,,18092.7,23604.3,36868.6,28036.0,36475.8,20475.0,4452.0,7300.5,5259.9,-1064.0,11030.0,,963.5,-14698.0,-7528.4,607.0,,-7287.1,2055.0,4240.1,4061.0,-10966.6,-5131.5,-5187.4,-4826.5,-350.9,-1258.2,-3935.0,,-6927.9,-14653.0,,-10067.3,-4555.7,8708.6,-124.0,8315.8,-7685.0,False,False,True,False,,True,False,False,True,,False,True,True,True,False,False,False,False,True,True,True,,False,False,,False,False,False,True,False,False
New York,397033,350604.0,283919.9,349029.1,354763.0,556373.0,,424807.1,409926.0,318282.4,298516.6,,481933.1,300930.0,568441.3,316622.0,354383.3,318081.5,435241.6,475999.5,398232.6,342840.4,339847.0,,294422.6,402536.3,,570136.7,488841.7,551507.0,333521.0,410406.0,262887.3,-46429.0,-113113.1,-48003.9,-42270.0,159340.0,,27774.1,12893.0,-78750.6,-98516.4,,84900.1,-96103.0,171408.3,-80411.0,-42649.7,-78951.5,38208.6,78966.5,1199.6,-54192.6,-57186.0,,-102610.4,5503.3,,173103.7,91808.7,154474.0,-63512.0,13373.0,-134145.7,False,False,True,False,,True,True,False,False,,False,False,False,False,True,False,True,False,True,False,False,,False,True,,False,False,False,False,True,False
North Carolina,194190,178028.0,208634.8,177225.1,177838.0,306172.0,,175040.2,225395.0,138041.2,202000.8,,200520.3,189806.0,214206.4,173053.0,128370.5,165939.5,251294.8,154844.5,169827.9,208857.5,168731.0,,208830.2,122332.8,,169090.8,290249.3,171875.6,149059.0,231784.3,137918.6,-16162.0,14444.8,-16964.9,-16352.0,111982.0,,-19149.8,31205.0,-56148.8,7810.8,,6330.3,-4384.0,20016.4,-21137.0,-65819.5,-28250.5,57104.8,-39345.5,-24362.1,14667.5,-25459.0,,14640.2,-71857.2,,-25099.2,96059.3,-22314.4,-45131.0,37594.3,-56271.4,True,False,False,False,,False,False,False,True,,True,True,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,False,False,False
North Dakota,4670,6148.0,8498.0,5854.4,4477.0,3924.0,,5071.7,1110.0,3387.5,3983.7,,2620.5,8105.0,4255.5,5826.0,5806.8,2059.5,3213.2,2890.0,5441.0,5948.4,12587.0,,3828.5,3067.1,,9418.1,0.0,2711.4,4237.0,5253.6,3090.0,1478.0,3828.0,1184.4,-193.0,-746.0,,401.7,-3560.0,-1282.5,-686.3,,-2049.5,3435.0,-414.5,1156.0,1136.8,-2610.5,-1456.8,-1780.0,771.0,1278.4,7917.0,,-841.5,-1602.9,,4748.1,-4670.0,-1958.6,-433.0,583.6,-1580.0,False,True,True,True,,True,False,True,True,,False,False,True,True,True,False,True,False,True,True,False,,True,False,,False,False,False,True,True,False
Ohio,178108,200020.0,235144.1,222794.9,174497.0,337814.0,,186533.9,259826.0,120770.6,217734.9,,147585.2,197668.0,167414.5,154870.0,116673.6,151786.0,164878.9,161338.0,152247.7,181087.1,169326.0,,140794.8,121098.4,,147743.5,225978.0,262854.7,212735.0,222492.7,99265.4,21912.0,57036.1,44686.9,-3611.0,159706.0,,8425.9,81718.0,-57337.4,39626.9,,-30522.8,19560.0,-10693.5,-23238.0,-61434.4,-26322.0,-13229.1,-16770.0,-25860.3,2979.1,-8782.0,,-37313.2,-57009.6,,-30364.5,47870.0,84746.7,34627.0,44384.7,-78842.6,False,False,True,False,,True,False,False,False,,False,True,True,False,False,False,True,True,False,True,True,,False,False,,False,False,False,False,False,False
Oklahoma,90535,78188.0,105379.8,77584.7,79676.0,79761.0,,73012.9,107865.0,87383.0,52810.4,,121926.9,79348.0,75309.2,76682.0,48853.7,61798.0,75281.4,106894.5,85646.7,97663.1,73630.0,,66493.5,51481.2,,71635.4,137219.1,85349.0,80945.0,86513.4,77790.4,-12347.0,14844.8,-12950.3,-10859.0,-10774.0,,-17522.1,17330.0,-3152.0,-37724.6,,31391.9,-11187.0,-15225.8,-13853.0,-41681.3,-28737.0,-15253.6,16359.5,-4888.3,7128.1,-16905.0,,-24041.5,-39053.8,,-18899.6,46684.1,-5186.0,-9590.0,-4021.6,-12744.6,False,False,True,True,,False,False,True,False,,False,True,False,False,False,False,False,False,True,True,False,,False,False,,False,False,True,True,True,False
Oregon,26068,32088.0,35159.2,33628.2,29900.0,64300.0,,25636.6,41142.0,23429.2,29275.5,,24677.1,28065.0,30503.7,30688.0,26354.1,29122.5,19524.3,36834.0,29191.9,31673.7,28199.0,,23988.9,39777.6,,31913.1,43258.8,26836.9,34250.0,33878.5,17598.0,6020.0,9091.2,7560.2,3832.0,38232.0,,-431.4,15074.0,-2638.8,3207.5,,-1390.9,1997.0,4435.7,4620.0,286.1,3054.5,-6543.7,10766.0,3123.9,5605.7,2131.0,,-2079.1,13709.6,,5845.1,17190.8,768.9,8182.0,7810.5,-8470.0,False,False,True,False,,True,False,True,True,,True,True,True,True,True,True,False,False,True,True,True,,True,False,,True,False,True,False,False,False
Pennsylvania,181895,207252.0,208881.5,206985.4,185240.0,448717.0,,197450.8,338542.0,180718.0,176887.2,,148878.0,207864.0,169881.2,156963.0,148191.3,185920.5,150960.5,158035.5,174662.6,171883.8,128619.0,,139435.0,289929.6,,235304.1,348990.1,279563.6,202610.0,267264.8,136759.9,25357.0,26986.5,25090.4,3345.0,266822.0,,15555.8,156647.0,-1177.0,-5007.8,,-33017.0,25969.0,-12013.8,-24932.0,-33703.7,4025.5,-30934.5,-23859.5,-7232.4,-10011.2,-53276.0,,-42460.0,108034.6,,53409.1,167095.1,97668.6,20715.0,85369.8,-45135.1,False,True,True,False,,True,False,True,True,,False,False,True,True,False,True,False,True,True,True,False,,False,False,,False,False,False,True,False,False
Rhode Island,26489,23532.0,22365.4,23738.1,18440.0,13946.0,,21372.4,9253.0,41743.8,22449.4,,16870.2,19745.0,28206.2,23989.0,13475.9,8739.5,19173.2,12600.0,15374.9,19525.1,20130.0,,8181.0,19736.9,,18502.8,22651.1,20312.1,8441.0,20759.3,10003.8,-2957.0,-4123.6,-2750.9,-8049.0,-12543.0,,-5116.6,-17236.0,15254.8,-4039.6,,-9618.8,-6744.0,1717.2,-2500.0,-13013.1,-17749.5,-7315.8,-13889.0,-11114.1,-6963.9,-6359.0,,-18308.0,-6752.1,,-7986.2,-3837.9,-6176.9,-18048.0,-5729.7,-16485.2,False,True,False,False,,False,False,False,False,,False,False,True,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
South Carolina,127067,95304.0,100763.6,95462.4,99752.0,124486.0,,99872.9,75841.0,122891.6,58956.3,,110199.3,90404.0,125137.3,85712.0,57146.0,94515.0,176143.2,105914.5,96362.7,111644.2,102387.0,,64451.3,124697.9,,107396.0,133850.4,64064.7,70278.0,115209.3,100719.8,-31763.0,-26303.4,-31604.6,-27315.0,-2581.0,,-27194.1,-51226.0,-4175.4,-68110.7,,-16867.7,-36663.0,-1929.7,-41355.0,-69921.0,-32552.0,49076.2,-21152.5,-30704.3,-15422.8,-24680.0,,-62615.7,-2369.1,,-19671.0,6783.4,-63002.3,-56789.0,-11857.7,-26347.2,True,True,True,True,,True,False,True,False,,True,False,True,False,False,False,False,True,True,True,True,,False,True,,True,True,False,False,True,True
South Dakota,8241,11464.0,11932.4,12015.7,9376.0,7168.0,,9928.1,3666.0,8081.8,8075.5,,8771.8,11183.0,6171.4,11947.0,6805.8,5282.5,7347.1,9144.0,10865.7,10834.7,16410.0,,5232.9,4853.1,,13488.1,2608.0,11921.5,8424.0,13112.0,5924.9,3223.0,3691.4,3774.7,1135.0,-1073.0,,1687.1,-4575.0,-159.2,-165.5,,530.8,2942.0,-2069.6,3706.0,-1435.2,-2958.5,-893.9,903.0,2624.7,2593.7,8169.0,,-3008.1,-3387.9,,5247.1,-5633.0,3680.5,183.0,4871.0,-2316.1,False,False,True,True,,True,False,True,True,,True,True,True,False,True,True,True,True,True,True,False,,True,False,,False,False,False,True,False,True
Tennessee,120610,172960.0,210541.9,187551.9,161749.0,198484.0,,172880.7,248113.0,139049.0,172877.1,,125837.3,161950.0,78559.3,146422.0,101218.0,127112.0,140716.7,169641.0,150851.4,164115.2,130590.0,,138775.1,175127.4,,137593.7,422707.8,191712.5,177956.0,220084.6,169144.8,52350.0,89931.9,66941.9,41139.0,77874.0,,52270.7,127503.0,18439.0,52267.1,,5227.3,41340.0,-42050.7,25812.0,-19392.0,6502.0,20106.7,49031.0,30241.4,43505.2,9980.0,,18165.1,54517.4,,16983.7,302097.8,71102.5,57346.0,99474.6,48534.8,False,False,True,False,,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,False,False,False,False,True
Texas,562085,501260.0,467785.8,516288.6,454758.0,1308330.0,,450296.6,304475.0,513130.7,348386.9,,327407.7,445476.0,808805.5,,385553.3,393095.5,504441.4,417321.5,413078.4,512512.3,600762.0,,402830.3,426301.4,,456723.9,511759.0,459690.0,393245.0,485950.8,300046.6,-60825.0,-94299.2,-45796.4,-107327.0,746245.0,,-111788.4,-257610.0,-48954.3,-213698.1,,-234677.3,-116609.0,246720.5,,-176531.7,-168989.5,-57643.6,-144763.5,-149006.6,-49572.7,38677.0,,-159254.7,-135783.6,,-105361.1,-50326.0,-102395.0,-168840.0,-76134.2,-262038.4,False,True,False,False,,False,False,True,False,,False,False,False,,False,False,True,False,False,True,True,,False,False,,False,True,False,False,False,False
Utah,63776,70304.0,66982.3,68016.4,62217.0,123240.0,,67319.0,70983.0,46456.2,63271.7,,60227.3,63512.0,56077.5,68778.0,34241.4,40388.5,48491.9,74427.0,66275.9,66460.4,57855.0,,61127.0,39399.8,,53537.3,74177.8,54973.2,62089.0,52448.0,41922.1,6528.0,3206.3,4240.4,-1559.0,59464.0,,3543.0,7207.0,-17319.8,-504.3,,-3548.7,-264.0,-7698.5,5002.0,-29534.6,-23387.5,-15284.1,10651.0,2499.9,2684.4,-5921.0,,-2649.0,-24376.2,,-10238.7,10401.8,-8802.8,-1687.0,-11328.0,-21853.9,True,True,True,False,,True,False,False,True,,True,True,False,True,False,False,False,False,True,True,True,,True,False,,False,False,False,True,False,False
Vermont,4142,2892.0,2309.8,2757.7,2904.0,5964.0,,2507.3,4006.0,1782.0,2748.6,,3275.8,2895.0,5509.3,3074.0,4334.6,2211.0,8832.0,2733.5,2618.3,3934.8,2883.0,,2644.0,2458.2,,4398.3,4359.8,2676.2,3041.0,2405.1,1909.4,-1250.0,-1832.2,-1384.3,-1238.0,1822.0,,-1634.7,-136.0,-2360.0,-1393.4,,-866.2,-1247.0,1367.3,-1068.0,192.6,-1931.0,4690.0,-1408.5,-1523.7,-207.2,-1259.0,,-1498.0,-1683.8,,256.3,217.8,-1465.8,-1101.0,-1736.9,-2232.6,False,False,True,False,,False,True,False,False,,True,True,False,True,True,False,False,False,False,True,False,,False,False,,True,True,False,True,False,False
Virginia,143466,116712.0,131734.7,116162.4,120445.0,170154.0,,113406.4,89603.0,114826.5,140685.4,,136947.8,104805.0,140055.1,104381.0,101247.1,121027.0,124266.0,124656.5,123448.8,134618.8,109565.0,,129914.5,59186.3,,71286.0,179014.4,120873.7,92583.0,143716.7,111638.8,-26754.0,-11731.3,-27303.6,-23021.0,26688.0,,-30059.6,-53863.0,-28639.5,-2780.6,,-6518.2,-38661.0,-3410.9,-39085.0,-42218.9,-22439.0,-19200.0,-18809.5,-20017.2,-8847.2,-33901.0,,-13551.5,-84279.7,,-72180.0,35548.4,-22592.3,-50883.0,250.7,-31827.2,True,False,True,True,,False,False,False,True,,True,False,True,False,False,True,True,True,True,True,False,,True,False,,False,False,True,False,True,False
Washington,64845,40132.0,79152.4,41542.0,50000.0,116684.0,,57089.7,27595.0,67785.5,35068.5,,78206.3,55926.0,67312.7,45960.0,39628.6,42560.0,80420.0,62006.0,42437.1,73429.9,38955.0,,44631.5,89236.5,,39773.3,68149.9,47308.0,46557.0,47618.2,,-24713.0,14307.4,-23303.0,-14845.0,51839.0,,-7755.3,-37250.0,2940.5,-29776.5,,13361.3,-8919.0,2467.7,-18885.0,-25216.4,-22285.0,15575.0,-2839.0,-22407.9,8584.9,-25890.0,,-20213.5,24391.5,,-25071.7,3304.9,-17537.0,-18288.0,-17226.8,,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,False,,True,True,,False,True,True,True,True,
West Virginia,31013,36600.0,37557.2,36884.1,36738.0,46943.0,,34555.3,42468.0,37827.1,42686.6,,43829.6,31548.0,41248.5,34775.0,24447.8,33354.0,37560.3,36033.5,46324.3,41920.3,29281.0,,32827.6,27774.8,,33222.4,60554.8,39774.6,34118.0,41628.1,36956.5,5587.0,6544.2,5871.1,5725.0,15930.0,,3542.3,11455.0,6814.1,11673.6,,12816.6,535.0,10235.5,3762.0,-6565.2,2341.0,6547.3,5020.5,15311.3,10907.3,-1732.0,,1814.6,-3238.2,,2209.4,29541.8,8761.6,3105.0,10615.1,5943.5,False,False,False,False,,True,False,False,False,,False,True,False,True,False,True,False,True,False,False,True,,True,True,,True,False,False,True,False,False
Wisconsin,67345,70520.0,96690.1,67710.1,54445.0,120519.0,,58306.0,17607.0,53487.9,39868.1,,39284.2,68720.0,54560.0,66886.0,44223.0,38072.0,49045.0,44798.0,62144.6,61324.2,92220.0,,40558.0,28566.2,,77468.3,29821.9,19492.0,50769.0,81853.7,37220.8,3175.0,29345.1,365.1,-12900.0,53174.0,,-9039.0,-49738.0,-13857.1,-27476.9,,-28060.8,1375.0,-12785.0,-459.0,-23122.0,-29273.0,-18300.0,-22547.0,-5200.4,-6020.8,24875.0,,-26787.0,-38778.8,,10123.3,-37523.1,-47853.0,-16576.0,14508.7,-30124.2,False,True,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Wyoming,7131,5708.0,9530.5,5833.5,4669.0,3572.0,,5543.9,2643.0,3513.5,4883.3,,2900.3,6248.0,6338.2,6319.0,3523.1,2706.5,3007.4,5236.0,4432.7,6340.4,4788.0,,2726.4,5826.3,,7124.2,3674.6,5430.7,4765.0,4528.1,3346.6,-1423.0,2399.5,-1297.5,-2462.0,-3559.0,,-1587.1,-4488.0,-3617.5,-2247.7,,-4230.7,-883.0,-792.8,-812.0,-3607.9,-4424.5,-4123.6,-1895.0,-2698.3,-790.6,-2343.0,,-4404.6,-1304.7,,-6.8,-3456.4,-1700.3,-2366.0,-2602.9,-3784.4,False,True,False,False,,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,False,,False,True,,True,False,False,False,False,False
US,5581060,5736232.0,5899063.8,5671456.8,5677412.0,9687625.0,4614706.0,5767932.0,4816625.0,7290416.5,,6316137.0,5288277.1,4969176.0,6132628.1,,4123542.4,,6005857.3,5234942.0,5637159.1,5647758.2,6062890.0,6053200.0,5394702.3,5170808.7,6169366.0,5101852.1,,6698275.5,5308133.0,7478365.5,,155172.0,318003.8,90396.8,96352.0,4106565.0,-966354.0,186872.0,-764435.0,1709356.5,,735077.0,-292782.9,-611884.0,551568.1,,-1457517.6,,424797.3,-346118.0,56099.1,66698.2,481830.0,472140.0,-186357.7,-410251.3,588306.0,-479207.9,,1117215.5,-272927.0,1897305.5,,False,True,True,False,False,False,False,False,,False,False,False,False,,False,,False,False,True,True,False,False,False,False,False,False,,False,False,False,
