,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Montana,2352,2354.0,2144.2,2550.6,2271.0,1994.0,,2565.3,1356.0,1980.7,,1696.8,2499.3,,2272.4,2642.0,1443.3,2366.0,1791.7,2493.0,2106.6,1499.5,1880.1,1095.5,2115.4,2282.4,2639.0,2671.0,,2811.4,,1338.7,,1977.2,2870.2,2777.5,2666.2,2499.0,2338.8,,2.0,-207.8,198.6,-81.0,-358.0,,213.3,-996.0,-371.3,,-655.2,147.3,,-79.6,290.0,-908.7,14.0,-560.3,141.0,-245.4,-852.5,-471.9,-1256.5,-236.6,-69.6,287.0,319.0,,459.4,,-1013.3,,-374.8,518.2,425.5,314.2,147.0,-13.2,,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
Nebraska,3716,5944.0,3377.2,6100.1,4914.0,5948.0,,5265.9,1181.0,3856.3,,8008.6,4749.8,,4814.5,4395.0,2694.0,5660.0,4742.7,5144.0,4357.0,4656.5,3891.7,7047.8,4184.0,5086.3,5388.0,6517.0,,5025.8,,1838.5,,6979.9,5432.1,5355.5,4932.7,4678.0,7267.8,,2228.0,-338.8,2384.1,1198.0,2232.0,,1549.9,-2535.0,140.3,,4292.6,1033.8,,1098.5,679.0,-1022.0,1944.0,1026.7,1428.0,641.0,940.5,175.7,3331.8,468.0,1370.3,1672.0,2801.0,,1309.8,,-1877.5,,3263.9,1716.1,1639.5,1216.7,962.0,3551.8,,True,False,True,False,,True,False,True,,False,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,False,,True,,True,,False,True,True,True,True,False,
Nevada,7636,9623.0,11100.4,10117.5,9458.0,10234.0,,10544.5,8407.0,9965.7,,6438.4,9733.4,,8882.2,10852.0,7391.0,8869.0,8422.4,10101.5,10521.8,6473.5,7697.3,11393.7,11377.6,9015.7,10395.0,9272.0,,11263.1,,7913.8,,9457.8,16652.3,7632.1,7742.8,8971.0,10927.1,,1987.0,3464.4,2481.5,1822.0,2598.0,,2908.5,771.0,2329.7,,-1197.6,2097.4,,1246.2,3216.0,-245.0,1233.0,786.4,2465.5,2885.8,-1162.5,61.3,3757.7,3741.6,1379.7,2759.0,1636.0,,3627.1,,277.8,,1821.8,9016.3,-3.9,106.8,1335.0,3291.1,,False,False,True,False,,False,True,False,,True,False,,True,False,True,True,True,False,False,True,True,False,False,True,False,True,,False,,True,,True,False,True,True,True,False,
New Hampshire,3786,5631.0,4575.2,5731.6,5164.0,5497.0,,5392.0,3360.0,5643.2,,5780.0,5463.3,,5163.7,5166.0,4588.2,5465.0,3871.2,5538.0,5041.5,4645.5,4650.8,4458.9,4263.6,5246.2,5701.0,5277.0,,4291.1,,5921.4,,5306.7,6883.7,3348.1,5590.0,4845.0,5834.6,,1845.0,789.2,1945.6,1378.0,1711.0,,1606.0,-426.0,1857.2,,1994.0,1677.3,,1377.7,1380.0,802.2,1679.0,85.2,1752.0,1255.5,859.5,864.8,672.9,477.6,1460.2,1915.0,1491.0,,505.1,,2135.4,,1520.7,3097.7,-437.9,1804.0,1059.0,2048.6,,True,False,True,True,,True,True,False,,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,True,True,False,
New Jersey,35007,35447.0,33450.8,35466.7,35467.0,34870.0,,37939.0,30507.0,29720.7,,31349.2,42453.6,,39887.2,39316.0,34571.1,32468.0,24973.3,36610.0,36912.4,35942.5,35745.3,43636.5,32495.9,34845.4,39727.0,32652.0,,34796.7,,22240.0,,32429.5,49804.1,27440.0,38959.1,35096.0,59916.8,,440.0,-1556.2,459.7,460.0,-137.0,,2932.0,-4500.0,-5286.3,,-3657.8,7446.6,,4880.2,4309.0,-435.9,-2539.0,-10033.7,1603.0,1905.4,935.5,738.3,8629.5,-2511.1,-161.6,4720.0,-2355.0,,-210.3,,-12767.0,,-2577.5,14797.1,-7567.0,3952.1,89.0,24909.8,,False,False,False,True,,False,False,False,,False,False,,False,False,True,False,False,False,False,False,False,False,False,True,False,False,,True,,False,,False,False,False,False,True,False,
New Mexico,4960,5686.0,6395.0,5546.4,5480.0,4910.0,,6273.9,5265.0,5210.0,,3758.8,5570.5,,5159.7,6562.0,4487.5,5828.0,4501.3,6170.0,6288.8,3919.0,4479.6,6305.5,5398.9,5279.4,6066.0,5507.0,,6639.8,,5715.2,,5468.8,9248.2,5747.0,6702.6,5416.0,5768.1,,726.0,1435.0,586.4,520.0,-50.0,,1313.9,305.0,250.0,,-1201.2,610.5,,199.7,1602.0,-472.5,868.0,-458.7,1210.0,1328.8,-1041.0,-480.4,1345.5,438.9,319.4,1106.0,547.0,,1679.8,,755.2,,508.8,4288.2,787.0,1742.6,456.0,808.1,,False,True,True,True,,False,True,True,,False,True,,True,False,True,False,True,False,False,False,True,False,True,True,False,True,,False,,False,,True,False,False,False,True,False,
New York,85386,94445.0,89718.7,95471.6,95917.0,103015.0,,100528.9,123602.0,81197.2,,78772.3,89414.4,,95573.3,96261.0,96950.2,,78956.2,101332.0,114695.1,77657.5,84717.6,107234.9,68053.5,90065.3,108235.0,92628.0,,95647.4,,96121.7,,91915.4,141629.7,65895.2,96629.6,93705.0,221369.7,,9059.0,4332.7,10085.6,10531.0,17629.0,,15142.9,38216.0,-4188.8,,-6613.7,4028.4,,10187.3,10875.0,11564.2,,-6429.8,15946.0,29309.1,-7728.5,-668.4,21848.9,-17332.5,4679.3,22849.0,7242.0,,10261.4,,10735.7,,6529.4,56243.7,-19490.8,11243.6,8319.0,135983.7,,True,False,False,False,,False,False,True,,True,True,,False,False,False,,True,False,False,True,True,False,False,True,False,True,,False,,False,,True,False,False,False,True,False,
North Carolina,39911,44890.0,43054.8,44583.1,44583.0,40092.0,,48365.9,42823.0,40538.5,,43034.9,51241.2,,47203.8,49160.0,38472.7,44371.0,34607.5,47888.0,50358.1,46099.0,41776.4,34714.9,31586.3,47788.3,51881.0,42401.0,,44621.1,,47256.9,,43344.9,69326.1,31643.5,52375.6,51992.0,73805.5,,4979.0,3143.8,4672.1,4672.0,181.0,,8454.9,2912.0,627.5,,3123.9,11330.2,,7292.8,9249.0,-1438.3,4460.0,-5303.5,7977.0,10447.1,6188.0,1865.4,-5196.1,-8324.7,7877.3,11970.0,2490.0,,4710.1,,7345.9,,3433.9,29415.1,-8267.5,12464.6,12081.0,33894.5,,True,True,True,True,,False,True,True,,True,False,,False,False,True,True,False,False,False,False,True,False,False,False,False,True,,True,,False,,True,False,False,False,False,False,
North Dakota,841,1006.0,668.7,1000.9,884.0,673.0,,1001.4,189.0,796.9,,866.0,1038.0,,853.4,1158.0,651.3,1064.0,1145.6,920.5,704.0,595.0,826.0,733.5,633.1,879.6,907.0,1639.0,,533.5,,395.6,,1499.1,358.7,1130.5,1545.8,944.0,1090.3,,165.0,-172.3,159.9,43.0,-168.0,,160.4,-652.0,-44.1,,25.0,197.0,,12.4,317.0,-189.7,223.0,304.6,79.5,-137.0,-246.0,-15.0,-107.5,-207.9,38.6,66.0,798.0,,-307.5,,-445.4,,658.1,-482.3,289.5,704.8,103.0,249.3,,False,True,True,False,,True,False,True,,True,False,,True,False,False,False,False,True,True,False,True,True,False,True,True,False,,False,,False,,False,False,False,False,True,False,
Ohio,32940,38334.0,39210.6,38880.4,36438.0,32440.0,,41352.1,23917.0,40292.0,,31505.0,41242.7,,34475.2,41044.0,31178.8,35147.0,28161.3,41133.0,40340.0,28579.5,32156.0,33370.0,35954.9,36817.3,42560.0,37740.0,,38892.3,,23625.1,,37959.7,58712.3,29939.3,42624.6,36438.0,46504.2,,5394.0,6270.6,5940.4,3498.0,-500.0,,8412.1,-9023.0,7352.0,,-1435.0,8302.7,,1535.2,8104.0,-1761.2,2207.0,-4778.7,8193.0,7400.0,-4360.5,-784.0,430.0,3014.9,3877.3,9620.0,4800.0,,5952.3,,-9314.9,,5019.7,25772.3,-3000.7,9684.6,3498.0,13564.2,,False,False,True,True,,False,False,False,,True,False,,True,False,True,True,True,False,False,True,True,True,True,True,False,True,,False,,False,,True,False,True,False,True,False,
Oklahoma,16441,18484.0,19782.6,19236.0,18161.0,15848.0,,19722.6,18641.0,20192.7,,16036.4,21122.2,,18832.1,18834.0,14296.7,16596.0,12971.4,20034.5,15804.0,12692.5,16505.6,14530.5,25921.9,18229.8,21110.0,17480.0,,18558.1,,12377.3,,17603.4,32740.5,14653.0,24010.8,17652.0,26726.7,,2043.0,3341.6,2795.0,1720.0,-593.0,,3281.6,2200.0,3751.7,,-404.6,4681.2,,2391.1,2393.0,-2144.3,155.0,-3469.6,3593.5,-637.0,-3748.5,64.6,-1910.5,9480.9,1788.8,4669.0,1039.0,,2117.1,,-4063.7,,1162.4,16299.5,-1788.0,7569.8,1211.0,10285.7,,False,False,True,True,,False,False,False,,True,False,,False,False,False,True,False,False,True,False,True,True,False,True,False,True,,False,,False,,True,False,True,False,True,False,
Oregon,4816,5188.0,5755.3,5008.0,5360.0,4204.0,,5977.6,5553.0,5976.5,,3536.6,5986.6,,4895.4,6434.0,5850.6,5386.0,5325.9,6762.0,5307.6,3226.5,4480.1,4697.1,4825.5,5161.4,6329.0,5251.0,,5330.3,,8001.7,,5023.0,8760.1,5238.4,5806.7,4896.0,5641.4,,372.0,939.3,192.0,544.0,-612.0,,1161.6,737.0,1160.5,,-1279.4,1170.6,,79.4,1618.0,1034.6,570.0,509.9,1946.0,491.6,-1589.5,-335.9,-118.9,9.5,345.4,1513.0,435.0,,514.3,,3185.7,,207.0,3944.1,422.4,990.7,80.0,825.4,,False,True,False,False,,False,False,False,,False,False,,True,False,False,False,False,False,False,False,True,True,True,True,False,False,,False,,False,,True,False,False,False,True,False,
Pennsylvania,38890,38096.0,44117.0,37209.8,37502.0,33216.0,,39456.2,24856.0,38043.6,,31088.8,33947.1,,32633.8,40280.0,30494.4,33989.0,32811.3,41304.5,37627.4,25954.0,29642.8,41377.9,28711.2,34602.7,40211.0,35052.0,,35594.3,,57338.2,,37639.2,55931.9,27377.9,41448.2,37526.0,62302.9,,-794.0,5227.0,-1680.2,-1388.0,-5674.0,,566.2,-14034.0,-846.4,,-7801.2,-4942.9,,-6256.2,1390.0,-8395.6,-4901.0,-6078.7,2414.5,-1262.6,-12936.0,-9247.2,2487.9,-10178.8,-4287.3,1321.0,-3838.0,,-3295.7,,18448.2,,-1250.8,17041.9,-11512.1,2558.2,-1364.0,23412.9,,False,False,False,False,,True,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,False,
Rhode Island,4703,5292.0,4976.2,4402.6,4943.0,6045.0,,5321.8,1703.0,45314.5,,5111.7,2724.3,,5072.4,7130.0,2355.2,5106.0,3684.3,4788.0,5255.3,4784.5,4203.6,2297.5,5159.8,5622.6,5813.0,4904.0,,5306.7,,3090.2,,4562.5,9447.6,3830.8,6477.0,2640.0,5361.4,,589.0,273.2,-300.4,240.0,1342.0,,618.8,-3000.0,40611.5,,408.7,-1978.7,,369.4,2427.0,-2347.8,403.0,-1018.7,85.0,552.3,81.5,-499.4,-2405.5,456.8,919.6,1110.0,201.0,,603.7,,-1612.8,,-140.5,4744.6,-872.2,1774.0,-2063.0,658.4,,True,True,True,False,,False,False,False,,True,False,,True,False,False,True,False,True,True,True,True,False,True,False,False,True,,False,,False,,True,False,False,False,False,False,
South Carolina,25996,31367.0,26903.6,31689.1,32238.0,30441.0,,34732.5,50178.0,29483.4,,29217.6,31889.7,,33339.4,33710.0,30296.2,32031.0,20457.0,31611.5,35898.5,24822.0,26862.7,32943.1,23496.5,29761.7,35614.0,29347.0,,30050.6,,35836.8,,30842.2,44501.4,24627.5,36325.7,32238.0,36763.1,,5371.0,907.6,5693.1,6242.0,4445.0,,8736.5,24182.0,3487.4,,3221.6,5893.7,,7343.4,7714.0,4300.2,6035.0,-5539.0,5615.5,9902.5,-1174.0,866.7,6947.1,-2499.5,3765.7,9618.0,3351.0,,4054.6,,9840.8,,4846.2,18505.4,-1368.5,10329.7,6242.0,10767.1,,True,False,False,True,,False,False,True,,True,False,,False,False,True,False,False,False,False,True,True,False,True,True,False,True,,True,,False,,True,False,True,False,False,False,
South Dakota,1107,1685.0,1343.6,1674.8,1526.0,1163.0,,1819.1,1646.0,1646.6,,1084.2,1983.3,,1488.1,1834.0,1141.2,1629.0,1718.4,1751.0,1408.4,935.0,1310.7,1148.5,962.8,1490.1,1663.0,2065.0,,1644.1,,1273.4,,1810.4,2128.6,1877.2,1357.1,1657.0,1832.9,,578.0,236.6,567.8,419.0,56.0,,712.1,539.0,539.6,,-22.8,876.3,,381.1,727.0,34.2,522.0,611.4,644.0,301.4,-172.0,203.7,41.5,-144.2,383.1,556.0,958.0,,537.1,,166.4,,703.4,1021.6,770.2,250.1,550.0,725.9,,True,True,True,True,,False,True,True,,True,False,,True,False,True,True,False,False,True,True,True,True,True,True,True,False,,True,,True,,False,False,False,True,True,False,
Tennessee,18866,25029.0,28945.2,24557.1,24166.0,19959.0,,25879.0,26209.0,26582.4,,23183.6,22403.7,,21477.7,24166.0,14795.7,23076.0,21584.5,25860.0,22560.9,15533.0,20014.6,25109.6,21657.2,23184.8,26757.0,22401.0,,24321.0,,33630.9,,24406.3,41314.1,19046.9,33921.4,23374.0,35601.8,,6163.0,10079.2,5691.1,5300.0,1093.0,,7013.0,7343.0,7716.4,,4317.6,3537.7,,2611.7,5300.0,-4070.3,4210.0,2718.5,6994.0,3694.9,-3333.0,1148.6,6243.6,2791.2,4318.8,7891.0,3535.0,,5455.0,,14764.9,,5540.3,22448.1,180.9,15055.4,4508.0,16735.8,,False,True,True,True,,False,False,False,,True,True,,True,True,True,True,True,False,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,False,True,False,
Texas,120793,129811.0,127731.7,131859.3,131772.0,123863.0,,143810.7,140625.0,89624.6,,124038.6,121343.5,,131684.4,147830.0,169610.3,,111560.4,143466.5,148226.9,91931.0,97249.2,139845.2,107086.9,120163.2,151367.0,128331.0,,131607.5,,96961.3,,117951.5,204372.7,110740.0,133737.9,121468.0,148434.6,,9018.0,6938.7,11066.3,10979.0,3070.0,,23017.7,19832.0,-31168.4,,3245.6,550.5,,10891.4,27037.0,48817.3,,-9232.6,22673.5,27433.9,-28862.0,-23543.8,19052.2,-13706.1,-629.8,30574.0,7538.0,,10814.5,,-23831.7,,-2841.5,83579.7,-10053.0,12944.9,675.0,27641.6,,True,False,False,True,,False,False,False,,True,True,,False,False,False,,False,False,False,False,False,False,False,True,False,True,,False,,False,,True,False,False,False,True,False,
Utah,10541,12637.0,12078.5,12376.3,12376.0,7738.0,,14535.2,22373.0,13305.8,,9562.2,14163.3,,12491.7,13608.0,7883.4,11899.0,9012.0,14265.5,14792.5,8466.0,10986.2,10126.7,16570.1,12672.7,13403.0,12552.0,,13621.5,,7006.1,,10862.8,23227.0,6800.7,15309.4,11204.0,8915.2,,2096.0,1537.5,1835.3,1835.0,-2803.0,,3994.2,11832.0,2764.8,,-978.8,3622.3,,1950.7,3067.0,-2657.6,1358.0,-1529.0,3724.5,4251.5,-2075.0,445.2,-414.3,6029.1,2131.7,2862.0,2011.0,,3080.5,,-3534.9,,321.8,12686.0,-3740.3,4768.4,663.0,-1625.8,,True,True,True,False,,False,False,False,,True,False,,True,False,False,True,True,False,False,True,True,True,False,False,False,True,,False,,False,,True,False,False,False,True,True,
Vermont,923,993.0,753.1,1003.6,1015.0,884.0,,1138.3,1396.0,845.6,,1069.6,944.6,,1093.0,1084.0,1029.1,1078.0,1150.2,1024.0,1093.8,906.5,897.8,1039.1,889.9,955.9,1304.0,1026.0,,979.1,,972.5,,773.7,1343.4,743.7,1017.6,1005.0,1108.0,,70.0,-169.9,80.6,92.0,-39.0,,215.3,473.0,-77.4,,146.6,21.6,,170.0,161.0,106.1,155.0,227.2,101.0,170.8,-16.5,-25.2,116.1,-33.1,32.9,381.0,103.0,,56.1,,49.5,,-149.3,420.4,-179.3,94.6,82.0,185.0,,False,False,False,True,,False,False,False,,False,True,,False,False,False,False,False,False,False,True,True,False,True,True,False,False,,True,,True,,False,False,False,False,False,False,
Virginia,33566,39264.0,31230.5,38756.3,38431.0,38431.0,,42502.2,42818.0,25543.0,,33789.1,38141.2,,38368.9,30774.0,48436.9,40678.0,27408.2,40000.5,39114.3,24505.0,28155.3,39775.0,31911.8,34996.6,41867.0,37137.0,,35457.2,,33863.3,,34172.4,45444.7,28935.5,44335.6,35475.0,50857.2,,5698.0,-2335.5,5190.3,4865.0,4865.0,,8936.2,9252.0,-8023.0,,223.1,4575.2,,4802.9,-2792.0,14870.9,7112.0,-6157.8,6434.5,5548.3,-9061.0,-5410.7,6209.0,-1654.2,1430.6,8301.0,3571.0,,1891.2,,297.3,,606.4,11878.7,-4630.5,10769.6,1909.0,17291.2,,True,True,True,True,,False,False,False,,True,True,,True,True,False,False,False,False,True,False,True,False,True,True,False,True,,True,,True,,True,False,True,False,True,False,
Washington,11399,14228.0,13266.2,16144.8,12896.0,12951.0,,12848.2,12896.0,6601.2,,14352.4,10252.5,,12592.3,13558.0,8834.7,12288.0,11546.1,13205.5,14251.4,9787.0,8842.9,8605.1,19218.4,12683.7,14647.0,13897.0,,14003.7,,19361.4,,13682.1,19466.4,12110.2,15617.8,11106.0,17114.3,,2829.0,1867.2,4745.8,1497.0,1552.0,,1449.2,1497.0,-4797.8,,2953.4,-1146.5,,1193.3,2159.0,-2564.3,889.0,147.1,1806.5,2852.4,-1612.0,-2556.1,-2793.9,7819.4,1284.7,3248.0,2498.0,,2604.7,,7962.4,,2283.1,8067.4,711.2,4218.8,-293.0,5715.3,,True,False,True,True,,True,True,False,,False,True,,True,True,True,True,True,True,False,True,True,True,False,True,False,True,,True,,False,,True,False,True,False,True,False,
West Virginia,5588,6628.0,7303.1,6386.3,6488.0,5683.0,,7102.1,8237.0,6704.7,,5379.6,5798.1,,5885.2,7219.0,5574.0,6516.0,5146.5,7465.5,5833.1,4325.0,4905.0,6958.2,4585.7,6482.1,7720.0,6130.0,,6302.2,,6404.3,,6122.1,11546.7,4946.7,7168.9,6344.0,7303.0,,1040.0,1715.1,798.3,900.0,95.0,,1514.1,2649.0,1116.7,,-208.4,210.1,,297.2,1631.0,-14.0,928.0,-441.5,1877.5,245.1,-1263.0,-683.0,1370.2,-1002.3,894.1,2132.0,542.0,,714.2,,816.3,,534.1,5958.7,-641.3,1580.9,756.0,1715.0,,False,True,True,True,,False,False,False,,True,True,,True,False,True,True,True,False,True,False,True,False,True,True,False,True,,True,,True,,True,False,True,False,True,False,
Wisconsin,10994,13728.0,13799.2,15023.2,12407.0,11988.0,,15013.9,7887.0,11165.7,,9403.3,13302.9,,12755.8,13848.0,9832.9,12598.0,12057.6,14708.5,11357.5,8630.5,10851.7,8190.6,11890.3,12295.5,14474.0,15574.0,,16039.9,,5566.4,,12335.7,22835.0,10735.0,11463.7,12779.0,17290.9,,2734.0,2805.2,4029.2,1413.0,994.0,,4019.9,-3107.0,171.7,,-1590.7,2308.9,,1761.8,2854.0,-1161.1,1604.0,1063.6,3714.5,363.5,-2363.5,-142.3,-2803.4,896.3,1301.5,3480.0,4580.0,,5045.9,,-5427.6,,1341.7,11841.0,-259.0,469.7,1785.0,6296.9,,False,False,True,True,,False,False,True,,True,True,,True,False,True,True,True,False,True,True,True,False,True,True,False,False,,False,,False,,True,False,True,True,True,False,
Wyoming,1121,1515.0,1647.0,1479.3,1578.0,1494.0,,1818.3,2108.0,1691.5,,1624.7,1708.8,,1720.8,1777.0,1326.0,1558.0,1067.6,1588.5,1169.3,1393.0,1577.9,1930.9,1129.1,1554.6,1773.0,1648.0,,1503.4,,931.9,,1361.6,1767.3,1363.6,1188.1,1269.0,1761.7,,394.0,526.0,358.3,457.0,373.0,,697.3,987.0,570.5,,503.7,587.8,,599.8,656.0,205.0,437.0,-53.4,467.5,48.3,272.0,456.9,809.9,8.1,433.6,652.0,527.0,,382.4,,-189.1,,240.6,646.3,242.6,67.1,148.0,640.7,,False,True,False,True,,False,False,False,,False,False,,False,False,True,False,True,False,True,True,False,False,True,False,False,False,,True,,True,,True,False,True,True,True,False,
US,1058069,1235608.0,1257128.7,1222507.9,1226752.0,1112671.0,1311603.0,1303486.3,1359276.0,1545047.2,1099454.7,1049205.8,,929699.0,1083911.8,1272746.0,1126982.5,,1026332.7,,1275050.6,868813.0,1050979.1,1280411.8,1143203.8,1182657.7,1391586.0,1159094.0,1229259.0,1270504.5,1302836.0,1187819.6,1169503.0,1231939.0,,961508.8,1232425.3,1185811.0,1825576.8,977504.9,177539.0,199059.7,164438.9,168683.0,54602.0,253534.0,245417.3,301207.0,486978.2,41385.7,-8863.2,,-128370.0,25842.8,214677.0,68913.5,,-31736.3,,216981.6,-189256.0,-7089.9,222342.8,85134.8,124588.7,333517.0,101025.0,171190.0,212435.5,244767.0,129750.6,111434.0,173870.0,,-96560.2,174356.3,127742.0,767507.8,-80564.1,False,True,True,True,False,False,False,False,True,True,,True,True,False,True,,True,,False,False,True,False,True,True,False,True,True,False,False,True,True,True,,True,True,True,False,True
