,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
16003,23,66.0,,63.3,,60.0,,,,,,75.0,78.4,,,20.0,59.1,80.5,,,77.0,57.0,,,115.0,59.0,69.0,,,,,,,,,,49.5,39.5,43.0,,40.3,,37.0,,,,,,52.0,55.4,,,-3.0,36.1,57.5,,,54.0,34.0,,,92.0,36.0,46.0,,,,,,,,,,26.5,16.5,,True,,True,,,,,,False,False,,,True,True,False,,,False,True,,,False,True,False,,,,,,,,,,True,True
16005,584,912.0,,936.3,,868.0,1158.0,,,,,1164.8,1178.1,,,959.0,813.0,554.2,710.5,,556.5,853.6,,,864.0,882.0,1349.5,,,,,,743.1,,,,1095.5,604.4,328.0,,352.3,,284.0,574.0,,,,,580.8,594.1,,,375.0,229.0,-29.8,126.5,,-27.5,269.6,,,280.0,298.0,765.5,,,,,,159.1,,,,511.5,20.4,,False,,True,False,,,,,False,False,,,False,True,True,True,,True,True,,,True,True,False,,,,,,True,,,,False,True
16007,31,72.0,,66.6,,56.0,9.0,,,,,50.2,96.1,,,52.0,96.4,37.3,,,30.0,62.8,,,95.0,65.0,47.4,,,,,,,,,,70.9,,41.0,,35.6,,25.0,-22.0,,,,,19.2,65.1,,,21.0,65.4,6.3,,,-1.0,31.8,,,64.0,34.0,16.4,,,,,,,,,,39.9,,,True,,True,True,,,,,True,False,,,True,False,True,,,True,True,,,False,True,True,,,,,,,,,,True,
16009,50,138.0,,141.3,,107.0,119.0,,,,,137.3,138.9,,,112.0,51.6,81.3,,,77.0,104.7,,,180.0,109.0,76.4,,,,,,,,,,104.7,,88.0,,91.3,,57.0,69.0,,,,,87.3,88.9,,,62.0,1.6,31.3,,,27.0,54.7,,,130.0,59.0,26.4,,,,,,,,,,54.7,,,False,,True,True,,,,,True,False,,,True,True,True,,,True,True,,,False,True,True,,,,,,,,,,True,
16011,210,516.0,,513.7,,483.0,800.0,,,,,600.3,686.7,,,630.0,264.2,236.7,368.5,,249.5,496.6,,,460.0,508.0,690.8,,,,,,,,,,467.1,329.3,306.0,,303.7,,273.0,590.0,,,,,390.3,476.7,,,420.0,54.2,26.7,158.5,,39.5,286.6,,,250.0,298.0,480.8,,,,,,,,,,257.1,119.3,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,True,,,True,True,False,,,,,,,,,,True,True
16013,329,147.0,,138.7,,146.0,9.0,,,,,217.6,246.9,,186.0,111.0,108.1,57.3,,,356.0,178.8,,,183.0,129.0,223.1,,,,,,,,,,76.9,264.1,-182.0,,-190.3,,-183.0,-320.0,,,,,-111.4,-82.1,,-143.0,-218.0,-220.9,-271.7,,,27.0,-150.2,,,-146.0,-200.0,-105.9,,,,,,,,,,-252.1,-64.9,,False,,False,False,,,,,True,True,,True,False,False,False,,,True,True,,,True,False,True,,,,,,,,,,False,True
16015,39,24.0,,19.7,,22.0,0.0,,,,,55.0,49.2,,,36.0,2.5,28.7,,,19.0,23.5,,,17.0,38.0,28.4,,,,,,,,,,29.6,,-15.0,,-19.3,,-17.0,-39.0,,,,,16.0,10.2,,,-3.0,-36.5,-10.3,,,-20.0,-15.5,,,-22.0,-1.0,-10.6,,,,,,,,,,-9.4,,,False,,False,False,,,,,False,True,,,True,False,True,,,False,False,,,False,True,True,,,,,,,,,,True,
16017,486,621.0,,634.5,,536.0,977.0,,,,,657.4,710.9,,,525.0,267.4,370.1,550.0,,668.0,570.1,,,716.0,525.0,452.4,,,,,,,,,,614.6,315.4,135.0,,148.5,,50.0,491.0,,,,,171.4,224.9,,,39.0,-218.6,-115.9,64.0,,182.0,84.1,,,230.0,39.0,-33.6,,,,,,,,,,128.6,-170.6,,False,,True,False,,,,,False,False,,,True,False,True,True,,False,True,,,False,True,True,,,,,,,,,,True,False
16019,686,990.0,,911.9,,989.0,980.0,,,,,1714.4,1354.0,,,1322.0,577.0,682.5,840.5,,645.0,1086.1,,,850.0,1207.0,2012.7,,,,,,748.6,,,,1153.3,807.5,304.0,,225.9,,303.0,294.0,,,,,1028.4,668.0,,,636.0,-109.0,-3.5,154.5,,-41.0,400.1,,,164.0,521.0,1326.7,,,,,,62.6,,,,467.3,121.5,,True,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,True,False,False,,,,,,True,,,,False,True
16021,113,141.0,,141.8,,120.0,114.0,,,,,147.0,172.6,,,118.0,141.6,125.9,,,105.0,121.7,,,184.0,124.0,99.4,,,,,,,,,,147.4,80.4,28.0,,28.8,,7.0,1.0,,,,,34.0,59.6,,,5.0,28.6,12.9,,,-8.0,8.7,,,71.0,11.0,-13.6,,,,,,,,,,34.4,-32.6,,False,,True,True,,,,,False,False,,,True,False,True,,,True,True,,,False,True,True,,,,,,,,,,False,False
16023,12,27.0,,31.4,,21.0,,,,,,31.3,39.6,,,14.0,6.7,20.3,,,10.0,19.1,,,23.0,25.0,24.8,,,,,,,,,,22.0,,15.0,,19.4,,9.0,,,,,,19.3,27.6,,,2.0,-5.3,8.3,,,-2.0,7.1,,,11.0,13.0,12.8,,,,,,,,,,10.0,,,False,,True,,,,,,False,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,True,
16025,9,0.0,,0.1,,1.0,0.0,,,,,6.7,8.3,,,4.0,258.0,1.6,,,0.0,0.1,,,2.0,2.0,3.5,,,,,,,,,,2.3,,-9.0,,-8.9,,-8.0,-9.0,,,,,-2.3,-0.7,,,-5.0,249.0,-7.4,,,-9.0,-8.9,,,-7.0,-7.0,-5.5,,,,,,,,,,-6.7,,,True,,True,False,,,,,True,True,,,True,False,True,,,False,True,,,True,True,True,,,,,,,,,,True,
16027,1974,3060.0,,2992.2,,2566.0,7413.0,,,,,4000.0,3342.5,,,2738.0,1710.4,1997.1,2230.0,,2089.5,2921.7,,,2816.0,2634.0,2677.3,,,,,,3198.8,1527.0,,,3335.4,1672.3,1086.0,,1018.2,,592.0,5439.0,,,,,2026.0,1368.5,,,764.0,-263.6,23.1,256.0,,115.5,947.7,,,842.0,660.0,703.3,,,,,,1224.8,-447.0,,,1361.4,-301.7,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,True,,,True,True,True,,,,,,False,True,,,False,True
16029,52,57.0,,47.1,,61.0,16.0,,,,,84.2,97.0,,,56.0,66.5,51.3,,,55.0,69.1,,,83.0,68.0,83.3,,,,,,,,,,77.8,70.1,5.0,,-4.9,,9.0,-36.0,,,,,32.2,45.0,,,4.0,14.5,-0.7,,,3.0,17.1,,,31.0,16.0,31.3,,,,,,,,,,25.8,18.1,,True,,False,False,,,,,False,False,,,True,False,True,,,True,False,,,False,False,False,,,,,,,,,,False,False
16031,114,249.0,,242.1,,250.0,313.0,,,,,349.7,369.8,,,225.0,349.0,165.5,,,166.0,251.2,,,271.0,251.0,372.2,,,,,,212.1,,,,243.9,139.7,135.0,,128.1,,136.0,199.0,,,,,235.7,255.8,,,111.0,235.0,51.5,,,52.0,137.2,,,157.0,137.0,258.2,,,,,,98.1,,,,129.9,25.7,,True,,False,False,,,,,False,False,,,True,False,True,,,True,False,,,False,False,False,,,,,,True,,,,True,True
16033,1,0.0,,0.0,,0.0,0.0,,,,,6.4,7.4,,,19.0,0.0,1.3,,,0.0,0.5,,,0.0,5.0,6.5,,,,,,,,,,2.1,,-1.0,,-1.0,,-1.0,-1.0,,,,,5.4,6.4,,,18.0,-1.0,0.3,,,-1.0,-0.5,,,-1.0,4.0,5.5,,,,,,,,,,1.1,,,True,,False,False,,,,,False,False,,,False,True,True,,,False,True,,,False,False,False,,,,,,,,,,False,
16035,126,72.0,,68.3,,63.0,10.0,,,,,150.7,143.1,,,123.0,27.6,31.2,,,22.0,52.6,,,61.0,85.0,102.1,,,,,,,,,,55.9,,-54.0,,-57.7,,-63.0,-116.0,,,,,24.7,17.1,,,-3.0,-98.4,-94.8,,,-104.0,-73.4,,,-65.0,-41.0,-23.9,,,,,,,,,,-70.1,,,False,,False,False,,,,,True,True,,,True,False,False,,,False,False,,,False,True,True,,,,,,,,,,False,
16037,10,39.0,,41.1,,32.0,,,,,,42.4,53.2,,,23.0,18.5,17.7,,,29.0,33.4,,,31.0,37.0,35.1,,,,,,,,,,35.7,15.0,29.0,,31.1,,22.0,,,,,,32.4,43.2,,,13.0,8.5,7.7,,,19.0,23.4,,,21.0,27.0,25.1,,,,,,,,,,25.7,5.0,,False,,True,,,,,,False,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,True,True
16039,111,147.0,,129.2,,139.0,28.0,,,,,271.4,257.3,,,181.0,24.3,181.4,,,63.0,135.0,,,122.0,189.0,202.8,,,,,,,,,,185.6,117.2,36.0,,18.2,,28.0,-83.0,,,,,160.4,146.3,,,70.0,-86.7,70.4,,,-48.0,24.0,,,11.0,78.0,91.8,,,,,,,,,,74.6,6.2,,True,,True,False,,,,,False,False,,,False,False,False,,,False,True,,,True,False,False,,,,,,,,,,False,True
16041,46,138.0,,136.7,,123.0,177.0,,,,,168.8,176.5,,,124.0,80.4,63.0,,,50.0,100.5,,,116.0,107.0,143.4,,,,,,,,,,147.9,,92.0,,90.7,,77.0,131.0,,,,,122.8,130.5,,,78.0,34.4,17.0,,,4.0,54.5,,,70.0,61.0,97.4,,,,,,,,,,101.9,,,True,,True,False,,,,,False,False,,,True,True,True,,,True,True,,,True,True,False,,,,,,,,,,False,
16043,57,60.0,,60.6,,62.0,9.0,,,,,114.0,122.3,,,108.0,71.2,35.4,,,23.0,63.8,,,58.0,117.0,106.1,,,,,,,,,,58.4,57.5,3.0,,3.6,,5.0,-48.0,,,,,57.0,65.3,,,51.0,14.2,-21.6,,,-34.0,6.8,,,1.0,60.0,49.1,,,,,,,,,,1.4,0.5,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,,,True,False,False,,,,,,,,,,True,True
16045,145,204.0,,217.6,,188.0,114.0,,,,,275.0,290.2,,,208.0,133.6,89.3,,,121.0,199.6,,,212.0,191.0,219.6,,,,,,,,,,199.8,130.3,59.0,,72.6,,43.0,-31.0,,,,,130.0,145.2,,,63.0,-11.4,-55.7,,,-24.0,54.6,,,67.0,46.0,74.6,,,,,,,,,,54.8,-14.7,,False,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,False,True,False,,,,,,,,,,True,True
16047,54,96.0,,112.6,,94.0,18.0,,,,,173.9,174.9,,,93.0,40.8,51.3,,,111.0,106.1,,,71.0,133.0,116.4,,,,,,,,,,92.5,65.6,42.0,,58.6,,40.0,-36.0,,,,,119.9,120.9,,,39.0,-13.2,-2.7,,,57.0,52.1,,,17.0,79.0,62.4,,,,,,,,,,38.5,11.6,,False,,True,True,,,,,False,False,,,True,True,True,,,False,False,,,True,False,False,,,,,,,,,,True,True
16049,59,180.0,,182.6,,144.0,83.0,,,,,211.7,197.7,,,181.0,106.6,72.8,,,104.0,130.5,,,161.0,182.0,158.0,,,,,,,,,,161.3,98.6,121.0,,123.6,,85.0,24.0,,,,,152.7,138.7,,,122.0,47.6,13.8,,,45.0,71.5,,,102.0,123.0,99.0,,,,,,,,,,102.3,39.6,,False,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,True,False,True,,,,,,,,,,True,True
16051,118,207.0,,246.1,,212.0,187.0,,,,,303.1,343.2,,,275.0,72.4,114.7,,,164.0,245.6,,,180.0,266.0,267.8,,,,,,,,,,226.1,147.7,89.0,,128.1,,94.0,69.0,,,,,185.1,225.2,,,157.0,-45.6,-3.3,,,46.0,127.6,,,62.0,148.0,149.8,,,,,,,,,,108.1,29.7,,False,,False,True,,,,,False,False,,,False,True,True,,,True,False,,,True,False,False,,,,,,,,,,False,True
16053,108,225.0,,233.6,,233.0,365.0,,,,,309.8,320.2,,,211.0,366.0,109.2,,,146.5,247.2,,,238.0,261.0,375.9,,,,,,235.1,,,,173.3,181.4,117.0,,125.6,,125.0,257.0,,,,,201.8,212.2,,,103.0,258.0,1.2,,,38.5,139.2,,,130.0,153.0,267.9,,,,,,127.1,,,,65.3,73.4,,False,,False,False,,,,,False,False,,,True,False,True,,,True,False,,,False,False,False,,,,,,False,,,,True,True
16055,1795,3279.0,,3341.6,,2787.0,11716.0,,,,,3414.5,3243.7,,,2355.0,2087.8,2029.9,2285.0,,2662.5,3067.5,,,3471.0,2796.0,2643.7,,,,,,3242.0,2400.0,,,3480.4,1898.0,1484.0,,1546.6,,992.0,9921.0,,,,,1619.5,1448.7,,,560.0,292.8,234.9,490.0,,867.5,1272.5,,,1676.0,1001.0,848.7,,,,,,1447.0,605.0,,,1685.4,103.0,,False,,True,False,,,,,False,True,,,True,True,True,True,,True,True,,,False,True,True,,,,,,True,True,,,False,True
16057,235,336.0,,310.3,,317.0,854.0,,,,,433.2,422.8,,,461.0,87.1,151.4,206.5,,593.0,304.4,,,312.0,361.0,410.2,,,,,,,,,,139.8,298.7,101.0,,75.3,,82.0,619.0,,,,,198.2,187.8,,,226.0,-147.9,-83.6,-28.5,,358.0,69.4,,,77.0,126.0,175.2,,,,,,,,,,-95.2,63.7,,True,,True,False,,,,,False,False,,,False,False,True,True,,False,True,,,True,False,False,,,,,,,,,,True,True
16059,5,18.0,,16.2,,26.0,,,,,,60.5,62.1,,,57.0,38.3,14.0,,,3.0,19.5,,,22.0,52.0,51.0,,,,,,,,,,25.4,30.0,13.0,,11.2,,21.0,,,,,,55.5,57.1,,,52.0,33.3,9.0,,,-2.0,14.5,,,17.0,47.0,46.0,,,,,,,,,,20.4,25.0,,True,,False,,,,,,False,False,,,False,False,True,,,True,False,,,False,False,False,,,,,,,,,,False,False
16061,15,33.0,,42.6,,32.0,0.0,,,,,66.9,55.9,,,47.0,6.5,17.5,,,10.0,22.5,,,28.0,36.0,45.6,,,,,,,,,,47.2,32.8,18.0,,27.6,,17.0,-15.0,,,,,51.9,40.9,,,32.0,-8.5,2.5,,,-5.0,7.5,,,13.0,21.0,30.6,,,,,,,,,,32.2,17.8,,False,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,True,False,False,,,,,,,,,,False,True
16063,29,36.0,,39.7,,33.0,2.0,,,,,61.9,67.0,,,24.0,9.0,20.1,,,8.0,33.0,,,28.0,45.0,39.9,,,,,,,,,,36.2,45.7,7.0,,10.7,,4.0,-27.0,,,,,32.9,38.0,,,-5.0,-20.0,-8.9,,,-21.0,4.0,,,-1.0,16.0,10.9,,,,,,,,,,7.2,16.7,,False,,True,False,,,,,False,False,,,True,False,False,,,False,True,,,True,False,False,,,,,,,,,,False,False
16065,418,534.0,,570.4,,369.0,496.0,,,,,720.4,727.3,,,348.0,135.5,270.8,301.5,,314.0,521.6,,,456.0,498.0,412.8,,,,,,326.9,,,,301.7,311.6,116.0,,152.4,,-49.0,78.0,,,,,302.4,309.3,,,-70.0,-282.5,-147.2,-116.5,,-104.0,103.6,,,38.0,80.0,-5.2,,,,,,-91.1,,,,-116.3,-106.4,,False,,True,True,,,,,False,False,,,True,False,False,False,,True,True,,,True,True,True,,,,,,True,,,,False,True
16067,104,165.0,,166.7,,165.0,27.0,,,,,312.4,286.5,,,197.0,79.1,114.1,,,141.0,203.5,,,154.0,197.0,265.9,,,,,,76.3,,,,230.8,144.5,61.0,,62.7,,61.0,-77.0,,,,,208.4,182.5,,,93.0,-24.9,10.1,,,37.0,99.5,,,50.0,93.0,161.9,,,,,,-27.7,,,,126.8,40.5,,False,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,True,False,False,,,,,,True,,,,False,True
16069,166,288.0,,253.3,,265.0,259.0,,,,,591.8,441.5,,,641.0,144.3,159.9,249.0,,131.0,262.6,,,236.0,355.0,371.3,,,,,,243.2,,,,216.6,267.5,122.0,,87.3,,99.0,93.0,,,,,425.8,275.5,,,475.0,-21.7,-6.1,83.0,,-35.0,96.6,,,70.0,189.0,205.3,,,,,,77.2,,,,50.6,101.5,,True,,True,True,,,,,False,False,,,False,True,True,True,,True,True,,,True,False,False,,,,,,True,,,,True,True
16071,42,57.0,,49.5,,43.0,0.0,,,,,50.7,69.4,,,25.0,12.3,15.9,,,130.0,37.4,,,37.0,43.0,40.0,,,,,,,,,,77.1,,15.0,,7.5,,1.0,-42.0,,,,,8.7,27.4,,,-17.0,-29.7,-26.1,,,88.0,-4.6,,,-5.0,1.0,-2.0,,,,,,,,,,35.1,,,True,,True,False,,,,,True,False,,,False,False,False,,,False,True,,,True,True,True,,,,,,,,,,False,
16073,47,99.0,,107.0,,90.0,1.0,,,,,155.0,157.7,,,90.0,52.5,48.4,,,84.0,108.2,,,89.0,111.0,90.8,,,,,,,,,,115.0,53.0,52.0,,60.0,,43.0,-46.0,,,,,108.0,110.7,,,43.0,5.5,1.4,,,37.0,61.2,,,42.0,64.0,43.8,,,,,,,,,,68.0,6.0,,False,,True,True,,,,,False,False,,,True,True,True,,,True,False,,,True,False,True,,,,,,,,,,False,True
16075,162,222.0,,221.3,,225.0,259.0,,,,,389.8,327.3,,,310.0,181.4,163.6,,,118.0,231.7,,,218.0,228.0,312.6,,,,,,283.1,,,,223.6,147.2,60.0,,59.3,,63.0,97.0,,,,,227.8,165.3,,,148.0,19.4,1.6,,,-44.0,69.7,,,56.0,66.0,150.6,,,,,,121.1,,,,61.6,-14.8,,True,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,True,False,False,,,,,,False,,,,False,True
16077,47,24.0,,25.4,,26.0,7.0,,,,,92.2,68.4,,,43.0,21.3,32.0,,,7.0,27.5,,,33.0,52.0,56.6,,,,,,,,,,24.5,51.0,-23.0,,-21.6,,-21.0,-40.0,,,,,45.2,21.4,,,-4.0,-25.7,-15.0,,,-40.0,-19.5,,,-14.0,5.0,9.6,,,,,,,,,,-22.5,4.0,,True,,True,False,,,,,False,True,,,True,False,True,,,False,True,,,True,True,True,,,,,,,,,,True,True
16079,75,132.0,,133.1,,123.0,57.0,,,,,229.5,180.7,,,153.0,52.5,123.8,,,108.0,111.4,,,135.0,155.0,116.0,,,,,,,,,,157.0,,57.0,,58.1,,48.0,-18.0,,,,,154.5,105.7,,,78.0,-22.5,48.8,,,33.0,36.4,,,60.0,80.0,41.0,,,,,,,,,,82.0,,,False,,True,True,,,,,False,False,,,False,True,True,,,True,True,,,False,False,True,,,,,,,,,,False,
16081,183,240.0,,246.9,,188.0,477.0,,,,,135.4,231.2,,,93.0,273.9,58.5,,,125.0,193.9,,,311.0,199.0,125.8,,,,,,,,,,284.1,95.6,57.0,,63.9,,5.0,294.0,,,,,-47.6,48.2,,,-90.0,90.9,-124.5,,,-58.0,10.9,,,128.0,16.0,-57.2,,,,,,,,,,101.1,-87.4,,False,,True,False,,,,,True,True,,,False,False,False,,,False,True,,,False,True,False,,,,,,,,,,False,False
16083,436,1008.0,,1008.6,,969.0,1918.0,,,,,1151.7,1181.9,,,821.0,838.4,464.6,666.5,,639.0,1007.3,,,933.0,1013.0,1633.5,,,,,,877.7,,,,1076.9,611.2,572.0,,572.6,,533.0,1482.0,,,,,715.7,745.9,,,385.0,402.4,28.6,230.5,,203.0,571.3,,,497.0,577.0,1197.5,,,,,,441.7,,,,640.9,175.2,,False,,True,False,,,,,False,False,,,True,True,True,True,,True,True,,,True,False,False,,,,,,True,,,,False,True
16085,165,195.0,,182.9,,128.0,,,,,,156.3,189.0,,,61.0,64.2,123.8,,,68.0,163.2,,,235.0,160.0,104.4,,,,,,,,,,194.6,79.1,30.0,,17.9,,-37.0,,,,,,-8.7,24.0,,,-104.0,-100.8,-41.2,,,-97.0,-1.8,,,70.0,-5.0,-60.6,,,,,,,,,,29.6,-85.9,,True,,False,,,,,,True,True,,,False,False,False,,,False,True,,,False,True,False,,,,,,,,,,True,False
16087,109,141.0,,135.8,,117.0,42.0,,,,,195.9,176.4,,,113.0,54.7,72.6,,,92.0,121.8,,,125.0,125.0,144.9,,,,,,,,,,145.3,69.3,32.0,,26.8,,8.0,-67.0,,,,,86.9,67.4,,,4.0,-54.3,-36.4,,,-17.0,12.8,,,16.0,16.0,35.9,,,,,,,,,,36.3,-39.7,,True,,True,False,,,,,False,False,,,True,False,False,,,True,True,,,True,True,False,,,,,,,,,,False,False
17001,695,1182.0,,1171.2,,1176.0,1329.0,,,,,1585.0,1395.9,,,976.0,1451.2,675.6,1217.5,,1061.0,1153.4,,,1285.0,789.0,1119.6,,,,,,1173.7,,,,1207.3,930.2,487.0,,476.2,,481.0,634.0,,,,,890.0,700.9,,,281.0,756.2,-19.4,522.5,,366.0,458.4,,,590.0,94.0,424.6,,,,,,478.7,,,,512.3,235.2,,True,,True,False,,,,,False,False,,,True,False,True,False,,True,True,,,False,True,True,,,,,,True,,,,False,True
17003,49,60.0,,61.2,,54.0,10.0,,,,,80.1,79.3,,,77.0,25.8,21.5,,,21.0,51.4,,,58.0,46.0,63.8,,,,,,,,,,59.9,35.9,11.0,,12.2,,5.0,-39.0,,,,,31.1,30.3,,,28.0,-23.2,-27.5,,,-28.0,2.4,,,9.0,-3.0,14.8,,,,,,,,,,10.9,-13.1,,False,,True,False,,,,,False,False,,,False,False,False,,,False,True,,,True,True,False,,,,,,,,,,True,False
17005,154,285.0,,288.3,,235.0,241.0,,,,,380.4,315.5,,,254.0,115.8,126.9,,,231.0,230.3,,,253.0,240.0,189.0,,,,,,,,,,289.0,170.0,131.0,,134.3,,81.0,87.0,,,,,226.4,161.5,,,100.0,-38.2,-27.1,,,77.0,76.3,,,99.0,86.0,35.0,,,,,,,,,,135.0,16.0,,False,,True,True,,,,,False,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,False,True
17007,352,651.0,,627.9,,522.0,1119.0,,,,,988.2,938.9,,,454.0,397.2,402.5,618.0,,452.0,696.9,,,602.0,452.0,567.8,,,,,,565.8,,,,538.8,476.8,299.0,,275.9,,170.0,767.0,,,,,636.2,586.9,,,102.0,45.2,50.5,266.0,,100.0,344.9,,,250.0,100.0,215.8,,,,,,213.8,,,,186.8,124.8,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,False,,,True,True,True,,,,,,True,,,,True,True
17009,101,252.0,,231.9,,133.0,411.0,,,,,122.1,327.6,,,105.0,49.0,35.5,,,141.0,188.3,,,280.0,122.0,67.7,,,,,,,,,,312.5,77.8,151.0,,130.9,,32.0,310.0,,,,,21.1,226.6,,,4.0,-52.0,-65.5,,,40.0,87.3,,,179.0,21.0,-33.3,,,,,,,,,,211.5,-23.2,,True,,True,False,,,,,True,False,,,True,True,True,,,True,True,,,False,True,True,,,,,,,,,,False,True
17011,177,300.0,,312.0,,285.0,242.0,,,,,582.5,435.5,,,359.0,232.9,216.8,290.5,,175.5,320.9,,,270.0,254.0,430.2,,,,,,209.6,,,,245.5,292.2,123.0,,135.0,,108.0,65.0,,,,,405.5,258.5,,,182.0,55.9,39.8,113.5,,-1.5,143.9,,,93.0,77.0,253.2,,,,,,32.6,,,,68.5,115.2,,False,,True,True,,,,,False,False,,,False,True,True,True,,True,False,,,True,True,False,,,,,,True,,,,True,True
17013,37,99.0,,107.2,,70.0,8.0,,,,,89.3,108.1,,,70.0,286.1,24.4,,,33.0,72.3,,,122.0,67.0,52.3,,,,,,,,,,80.3,33.6,62.0,,70.2,,33.0,-29.0,,,,,52.3,71.1,,,33.0,249.1,-12.6,,,-4.0,35.3,,,85.0,30.0,15.3,,,,,,,,,,43.3,-3.4,,False,,True,True,,,,,True,False,,,True,False,True,,,True,True,,,False,True,True,,,,,,,,,,True,True
17015,122,114.0,,102.9,,111.0,45.0,,,,,243.5,202.7,,,135.0,60.7,78.2,,,59.0,123.9,,,106.0,101.0,256.9,,,,,,,,,,121.2,115.0,-8.0,,-19.1,,-11.0,-77.0,,,,,121.5,80.7,,,13.0,-61.3,-43.8,,,-63.0,1.9,,,-16.0,-21.0,134.9,,,,,,,,,,-0.8,-7.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,True,,,False,False,False,,,,,,,,,,True,True
17017,129,306.0,,299.7,,209.0,178.0,,,,,446.2,331.3,,,148.0,166.8,143.6,,,178.0,277.0,,,292.0,194.0,223.1,,,,,,,,,,351.8,203.1,177.0,,170.7,,80.0,49.0,,,,,317.2,202.3,,,19.0,37.8,14.6,,,49.0,148.0,,,163.0,65.0,94.1,,,,,,,,,,222.8,74.1,,True,,True,True,,,,,False,False,,,True,True,True,,,True,True,,,True,True,True,,,,,,,,,,False,True
