,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
17139,68,90.0,,90.6,,75.0,57.0,,,,,97.5,126.5,,,168.0,44.1,60.8,,57.0,72.1,,,,81.0,65.0,123.6,,,,,,,102.4,,,,95.4,67.1,22.0,,22.6,,7.0,-11.0,,,,,29.5,58.5,,,100.0,-23.9,-7.2,,-11.0,4.1,,,,13.0,-3.0,55.6,,,,,,,34.4,,,,27.4,-0.9,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,True,True,False,,,,,,,False,,,,False,True
17141,226,292.0,,298.7,,272.0,244.0,,,,,348.6,376.1,,,294.0,321.6,292.6,,149.0,247.4,,,,327.0,241.0,423.9,,,,,,223.5,259.2,,,,213.2,286.8,66.0,,72.7,,46.0,18.0,,,,,122.6,150.1,,,68.0,95.6,66.6,,-77.0,21.4,,,,101.0,15.0,197.9,,,,,,-2.5,33.2,,,,-12.8,60.8,,False,,True,True,,,,,False,False,,,False,False,False,,False,True,,,,False,True,False,,,,,,True,True,,,,True,True
17143,928,1300.0,,1145.6,,1130.0,1346.0,,,,,1350.6,1489.0,,,1286.0,1182.4,900.8,,962.0,1038.8,,,,1411.0,890.0,1380.4,,,,,,1086.0,1325.6,1043.0,,,1081.9,1025.3,372.0,,217.6,,202.0,418.0,,,,,422.6,561.0,,,358.0,254.4,-27.2,,34.0,110.8,,,,483.0,-38.0,452.4,,,,,,158.0,397.6,115.0,,,153.9,97.3,,True,,True,False,,,,,False,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,True,False,True,,,True,True
17145,250,242.0,,271.6,,214.0,148.0,,,,,333.2,269.7,,,203.0,111.3,208.7,,155.0,277.2,,,,,198.0,247.1,,,,,,180.5,183.1,,,,261.6,276.3,-8.0,,21.6,,-36.0,-102.0,,,,,83.2,19.7,,,-47.0,-138.7,-41.3,,-95.0,27.2,,,,,-52.0,-2.9,,,,,,-69.5,-66.9,,,,11.6,26.3,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,,False,True,,,,,,False,False,,,,False,False
17147,64,88.0,,83.8,,88.0,75.0,,,,,85.3,113.1,,,155.0,99.9,55.9,,58.0,76.0,,,,106.0,72.0,126.0,,,,,,,98.0,,,,116.6,107.5,24.0,,19.8,,24.0,11.0,,,,,21.3,49.1,,,91.0,35.9,-8.1,,-6.0,12.0,,,,42.0,8.0,62.0,,,,,,,34.0,,,,52.6,43.5,,True,,False,True,,,,,True,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,False,,,,False,False
17149,98,92.0,,90.8,,92.0,78.0,,,,,109.9,139.5,,,125.0,73.8,80.5,,45.0,73.5,,,,91.0,89.0,128.8,,,,,,,96.9,,,,106.6,123.6,-6.0,,-7.2,,-6.0,-20.0,,,,,11.9,41.5,,,27.0,-24.2,-17.5,,-53.0,-24.5,,,,-7.0,-9.0,30.8,,,,,,,-1.1,,,,8.6,25.6,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,True,,,,False,False
17151,21,40.0,,40.2,,27.0,18.0,,,,,34.3,45.3,,,39.0,26.2,22.8,,26.0,28.9,,,,44.0,26.0,16.5,,,,,,,52.1,,,,69.5,22.9,19.0,,19.2,,6.0,-3.0,,,,,13.3,24.3,,,18.0,5.2,1.8,,5.0,7.9,,,,23.0,5.0,-4.5,,,,,,,31.1,,,,48.5,1.9,,False,,True,True,,,,,True,False,,,True,True,True,,True,True,,,,False,True,True,,,,,,,False,,,,False,True
17153,35,48.0,,50.4,,39.0,15.0,,,,,45.8,63.9,,,46.0,17.6,27.7,,13.0,36.9,,,,40.0,35.0,48.5,,,,,,,51.5,,,,71.3,44.4,13.0,,15.4,,4.0,-20.0,,,,,10.8,28.9,,,11.0,-17.4,-7.3,,-22.0,1.9,,,,5.0,0.0,13.5,,,,,,,16.5,,,,36.3,9.4,,False,,True,False,,,,,True,False,,,True,False,True,,False,True,,,,True,True,False,,,,,,,False,,,,False,True
17155,30,10.0,,13.5,,14.0,6.0,,,,,18.7,24.1,,,38.0,23.5,11.9,,14.0,13.5,,,,7.0,16.0,29.1,,,,,,,32.8,,,,15.8,29.8,-20.0,,-16.5,,-16.0,-24.0,,,,,-11.3,-5.9,,,8.0,-6.5,-18.1,,-16.0,-16.5,,,,-23.0,-14.0,-0.9,,,,,,,2.8,,,,-14.2,-0.2,,True,,True,False,,,,,True,True,,,True,True,True,,True,True,,,,False,True,True,,,,,,,True,,,,True,True
17157,166,310.0,,305.8,,276.0,302.0,,,,,339.9,358.7,,,329.0,196.0,202.9,,188.0,225.1,,,,292.0,241.0,399.9,,,,,,223.7,250.6,,,,347.5,244.4,144.0,,139.8,,110.0,136.0,,,,,173.9,192.7,,,163.0,30.0,36.9,,22.0,59.1,,,,126.0,75.0,233.9,,,,,,57.7,84.6,,,,181.5,78.4,,True,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,False,True
17159,74,134.0,,137.3,,122.0,116.0,,,,,152.5,171.9,,,156.0,130.7,86.2,,99.0,110.0,,,,147.0,115.0,138.4,,,,,,,147.8,,,,80.9,123.4,60.0,,63.3,,48.0,42.0,,,,,78.5,97.9,,,82.0,56.7,12.2,,25.0,36.0,,,,73.0,41.0,64.4,,,,,,,73.8,,,,6.9,49.4,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,,False,,,,True,True
17161,587,676.0,,667.2,,659.0,988.0,,,,,734.0,884.4,,,1021.0,437.1,454.9,,476.0,558.0,,,,614.0,497.0,968.5,,,,,,816.0,745.0,423.0,,,963.8,579.4,89.0,,80.2,,72.0,401.0,,,,,147.0,297.4,,,434.0,-149.9,-132.1,,-111.0,-29.0,,,,27.0,-90.0,381.5,,,,,,229.0,158.0,-164.0,,,376.8,-7.6,,True,,True,False,,,,,False,False,,,False,False,False,,False,True,,,,True,False,False,,,,,,False,False,False,,,False,True
17163,1674,2256.0,,2197.1,,2008.0,2683.0,,,,,2386.8,2209.7,,,1963.0,1891.3,1382.2,,2027.5,1913.1,,,,2409.0,1834.0,1896.9,,,,,,1888.5,1720.7,2005.0,,,2799.4,1730.0,582.0,,523.1,,334.0,1009.0,,,,,712.8,535.7,,,289.0,217.3,-291.8,,353.5,239.1,,,,735.0,160.0,222.9,,,,,,214.5,46.7,331.0,,,1125.4,56.0,,True,,True,False,,,,,False,True,,,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,False,True
17165,130,146.0,,131.1,,140.0,87.0,,,,,224.0,192.5,,,280.0,137.6,138.6,,100.0,136.0,,,,159.0,132.0,231.4,,,,,,,120.8,,,,145.0,151.7,16.0,,1.1,,10.0,-43.0,,,,,94.0,62.5,,,150.0,7.6,8.6,,-30.0,6.0,,,,29.0,2.0,101.4,,,,,,,-9.2,,,,15.0,21.7,,True,,True,False,,,,,False,False,,,False,True,True,,False,True,,,,False,True,False,,,,,,,True,,,,True,False
17167,808,982.0,,1002.4,,1003.0,1041.0,,,,,1020.8,1314.9,,,1567.0,1121.2,677.0,,1016.5,980.7,,,,970.0,827.0,1164.9,,,,,,1263.3,904.4,793.0,,,769.0,1047.9,174.0,,194.4,,195.0,233.0,,,,,212.8,506.9,,,759.0,313.2,-131.0,,208.5,172.7,,,,162.0,19.0,356.9,,,,,,455.3,96.4,-15.0,,,-39.0,239.9,,False,,False,False,,,,,False,False,,,False,False,True,,False,True,,,,True,True,False,,,,,,False,True,True,,,True,False
17169,43,76.0,,75.8,,53.0,0.0,,,,,43.1,77.3,,,65.0,34.0,29.1,,52.0,48.5,,,,75.0,50.0,51.4,,,,,,,71.8,,,,52.6,85.7,33.0,,32.8,,10.0,-43.0,,,,,0.1,34.3,,,22.0,-9.0,-13.9,,9.0,5.5,,,,32.0,7.0,8.4,,,,,,,28.8,,,,9.6,42.7,,True,,True,False,,,,,True,False,,,True,True,True,,True,True,,,,True,True,True,,,,,,,True,,,,True,False
17171,48,42.0,,43.0,,40.0,18.0,,,,,32.0,57.6,,,41.0,21.0,26.2,,42.0,31.8,,,,44.0,32.0,55.1,,,,,,,53.0,,,,47.1,,-6.0,,-5.0,,-8.0,-30.0,,,,,-16.0,9.6,,,-7.0,-27.0,-21.8,,-6.0,-16.2,,,,-4.0,-16.0,7.1,,,,,,,5.0,,,,-0.9,,,True,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,True,False,False,,,,,,,True,,,,True,
17173,90,136.0,,128.3,,142.0,156.0,,,,,131.3,166.1,,,248.0,171.1,84.2,,102.0,121.4,,,,148.0,110.0,240.9,,,,,,,131.8,,,,155.7,146.7,46.0,,38.3,,52.0,66.0,,,,,41.3,76.1,,,158.0,81.1,-5.8,,12.0,31.4,,,,58.0,20.0,150.9,,,,,,,41.8,,,,65.7,56.7,,True,,False,False,,,,,True,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
17175,10,14.0,,5.5,,19.0,6.0,,,,,35.5,35.0,,,37.0,19.0,17.0,,4.0,20.9,,,,24.0,18.0,44.7,,,,,,,41.9,,,,25.1,27.1,4.0,,-4.5,,9.0,-4.0,,,,,25.5,25.0,,,27.0,9.0,7.0,,-6.0,10.9,,,,14.0,8.0,34.7,,,,,,,31.9,,,,15.1,17.1,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
17177,244,210.0,,219.7,,207.0,230.0,,,,,195.5,271.6,,,275.0,141.2,186.2,,113.0,158.2,,,,210.0,164.0,309.5,,,,,,188.0,184.1,,,,207.3,253.9,-34.0,,-24.3,,-37.0,-14.0,,,,,-48.5,27.6,,,31.0,-102.8,-57.8,,-131.0,-85.8,,,,-34.0,-80.0,65.5,,,,,,-56.0,-59.9,,,,-36.7,9.9,,True,,False,True,,,,,False,True,,,True,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,True
17179,794,1050.0,,1072.8,,868.0,861.0,,,,,1158.0,1131.1,,,1150.0,811.5,738.2,,502.0,805.4,,,,1049.0,751.0,1365.3,,,,,,1052.8,935.9,584.0,,,985.5,930.1,256.0,,278.8,,74.0,67.0,,,,,364.0,337.1,,,356.0,17.5,-55.8,,-292.0,11.4,,,,255.0,-43.0,571.3,,,,,,258.8,141.9,-210.0,,,191.5,136.1,,False,,True,True,,,,,False,False,,,False,True,True,,False,True,,,,True,True,False,,,,,,False,True,True,,,True,True
17181,128,172.0,,188.1,,164.0,167.0,,,,,191.5,207.1,,,162.0,165.8,147.5,,104.0,161.4,,,,252.0,150.0,177.8,,,,,,,132.1,,,,172.2,190.9,44.0,,60.1,,36.0,39.0,,,,,63.5,79.1,,,34.0,37.8,19.5,,-24.0,33.4,,,,124.0,22.0,49.8,,,,,,,4.1,,,,44.2,62.9,,False,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
17183,595,780.0,,801.4,,705.0,823.0,,,,,749.3,951.0,,,848.0,482.5,533.1,,585.0,664.5,,,,822.0,581.0,643.6,,,,,,607.3,569.4,,,,800.0,816.9,185.0,,206.4,,110.0,228.0,,,,,154.3,356.0,,,253.0,-112.5,-61.9,,-10.0,69.5,,,,227.0,-14.0,48.6,,,,,,12.3,-25.6,,,,205.0,221.9,,False,,True,False,,,,,True,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,False
17185,81,72.0,,90.4,,68.0,34.0,,,,,111.8,92.0,,,132.0,56.6,62.8,,25.0,67.3,,,,90.0,65.0,106.6,,,,,,,119.6,,,,72.2,73.8,-9.0,,9.4,,-13.0,-47.0,,,,,30.8,11.0,,,51.0,-24.4,-18.2,,-56.0,-13.7,,,,9.0,-16.0,25.6,,,,,,,38.6,,,,-8.8,-7.2,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,True,True
17187,44,54.0,,52.2,,53.0,30.0,,,,,102.7,84.3,,,137.0,24.4,56.0,,26.0,41.5,,,,44.0,57.0,128.3,,,,,,,81.2,,,,69.3,69.4,10.0,,8.2,,9.0,-14.0,,,,,58.7,40.3,,,93.0,-19.6,12.0,,-18.0,-2.5,,,,0.0,13.0,84.3,,,,,,,37.2,,,,25.3,25.4,,True,,True,False,,,,,False,False,,,False,False,False,,False,True,,,,True,False,False,,,,,,,False,,,,False,False
17189,81,156.0,,151.7,,137.0,154.0,,,,,158.0,168.5,,,137.0,121.0,101.1,,98.0,115.4,,,,179.0,118.0,157.8,,,,,,,110.4,,,,136.4,150.2,75.0,,70.7,,56.0,73.0,,,,,77.0,87.5,,,56.0,40.0,20.1,,17.0,34.4,,,,98.0,37.0,76.8,,,,,,,29.4,,,,55.4,69.2,,True,,True,True,,,,,False,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,True,True
17191,75,134.0,,139.5,,134.0,145.0,,,,,139.5,173.3,,,209.0,123.6,84.2,,118.0,112.0,,,,139.0,104.0,171.0,,,,,,,130.6,,,,141.9,98.7,59.0,,64.5,,59.0,70.0,,,,,64.5,98.3,,,134.0,48.6,9.2,,43.0,37.0,,,,64.0,29.0,96.0,,,,,,,55.6,,,,66.9,23.7,,False,,False,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,True
17193,155,152.0,,146.6,,135.0,130.0,,,,,149.2,150.5,,,146.0,193.4,93.5,,63.0,107.0,,,,138.0,111.0,132.9,,,,,,,160.4,,,,229.4,116.0,-3.0,,-8.4,,-20.0,-25.0,,,,,-5.8,-4.5,,,-9.0,38.4,-61.5,,-92.0,-48.0,,,,-17.0,-44.0,-22.1,,,,,,,5.4,,,,74.4,-39.0,,False,,False,False,,,,,False,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
17195,341,316.0,,329.1,,310.0,323.0,,,,,334.8,448.2,,,373.0,154.8,271.3,,224.0,269.8,,,,291.0,241.0,356.9,,,,,,370.1,283.4,,,,307.1,432.1,-25.0,,-11.9,,-31.0,-18.0,,,,,-6.2,107.2,,,32.0,-186.2,-69.7,,-117.0,-71.2,,,,-50.0,-100.0,15.9,,,,,,29.1,-57.6,,,,-33.9,91.1,,True,,False,True,,,,,True,False,,,False,False,False,,False,False,,,,False,False,True,,,,,,False,False,,,,False,False
17197,3427,4192.0,,4305.8,4796.2,4107.0,3579.0,,,,,3714.9,4423.9,,4422.5,5571.0,4313.0,3201.8,,3808.0,3746.5,,,,4395.0,3383.0,5138.5,,,,,,4462.0,3698.7,3126.0,,,10752.4,3192.2,765.0,,878.8,1369.2,680.0,152.0,,,,,287.9,996.9,,995.5,2144.0,886.0,-225.2,,381.0,319.5,,,,968.0,-44.0,1711.5,,,,,,1035.0,271.7,-301.0,,,7325.4,-234.8,,False,False,True,True,,,,,True,False,,False,False,False,True,,True,True,,,,False,True,False,,,,,,False,True,True,,,False,True
17199,388,516.0,,537.2,,515.0,280.0,,,,,670.3,585.5,,,687.0,475.2,413.1,,329.0,463.3,,,,619.0,394.0,684.4,,,,,,452.3,409.7,,,,649.7,514.0,128.0,,149.2,,127.0,-108.0,,,,,282.3,197.5,,,299.0,87.2,25.1,,-59.0,75.3,,,,231.0,6.0,296.4,,,,,,64.3,21.7,,,,261.7,126.0,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
17201,1105,1612.0,,1542.7,1676.2,1502.0,1655.0,,,,,1611.6,1923.6,,,1632.0,1383.5,1274.3,,1314.0,1384.9,,,,1661.0,1441.0,1508.9,,,,,,1396.2,1702.6,1199.0,,,1958.8,1526.8,507.0,,437.7,571.2,397.0,550.0,,,,,506.6,818.6,,,527.0,278.5,169.3,,209.0,279.9,,,,556.0,336.0,403.9,,,,,,291.2,597.6,94.0,,,853.8,421.8,,True,False,True,False,,,,,True,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,False,True,,,False,True
17203,288,216.0,,222.6,,211.0,176.0,,,,,268.1,361.1,,,320.0,173.1,194.3,,209.0,262.7,,,,263.0,164.0,360.3,,,,,,180.2,144.1,,,,311.7,206.3,-72.0,,-65.4,,-77.0,-112.0,,,,,-19.9,73.1,,,32.0,-114.9,-93.7,,-79.0,-25.3,,,,-25.0,-124.0,72.3,,,,,,-107.8,-143.9,,,,23.7,-81.7,,True,,False,False,,,,,True,False,,,True,False,False,,False,True,,,,True,False,False,,,,,,False,False,,,,True,False
18001,140,230.0,,239.3,,230.0,260.0,,,,,149.5,270.2,,,429.0,315.2,158.3,,171.0,208.5,,,,275.0,154.0,258.0,,,,,,,203.6,,,,218.3,198.4,90.0,,99.3,,90.0,120.0,,,,,9.5,130.2,,,289.0,175.2,18.3,,31.0,68.5,,,,135.0,14.0,118.0,,,,,,,63.6,,,,78.3,58.4,,False,,False,False,,,,,True,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,True,,,,True,True
18003,1819,3220.0,,3280.1,2874.2,2562.0,3932.0,,,,,2515.5,2823.5,,,3565.0,2085.7,1881.0,,2131.5,2354.6,,,,3058.0,2222.0,2971.0,,,,,,2386.4,2424.0,1978.0,,,6255.1,2333.4,1401.0,,1461.1,1055.2,743.0,2113.0,,,,,696.5,1004.5,,,1746.0,266.7,62.0,,312.5,535.6,,,,1239.0,403.0,1152.0,,,,,,567.4,605.0,159.0,,,4436.1,514.4,,False,True,True,False,,,,,True,True,,,False,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,False,True
18005,556,594.0,,578.5,,563.0,553.0,,,,,605.4,627.7,,,799.0,552.0,450.9,,465.5,489.3,,,,666.0,348.0,729.4,,,,,,632.7,426.9,,,,665.6,526.5,38.0,,22.5,,7.0,-3.0,,,,,49.4,71.7,,,243.0,-4.0,-105.1,,-90.5,-66.7,,,,110.0,-208.0,173.4,,,,,,76.7,-129.1,,,,109.6,-29.5,,True,,True,True,,,,,False,False,,,False,True,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,True
18007,45,66.0,,71.0,,61.0,30.0,,,,,80.6,88.8,,,66.0,79.7,40.9,,36.0,50.8,,,,82.0,37.0,45.3,,,,,,,63.3,,,,70.8,67.8,21.0,,26.0,,16.0,-15.0,,,,,35.6,43.8,,,21.0,34.7,-4.1,,-9.0,5.8,,,,37.0,-8.0,0.3,,,,,,,18.3,,,,25.8,22.8,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,False,True,True,,,,,,,True,,,,False,False
18009,68,86.0,,107.6,,116.0,106.0,,,,,103.5,131.9,,,123.0,337.0,70.3,,166.0,99.5,,,,163.0,85.0,148.2,,,,,,,94.3,,,,132.2,120.5,18.0,,39.6,,48.0,38.0,,,,,35.5,63.9,,,55.0,269.0,2.3,,98.0,31.5,,,,95.0,17.0,80.2,,,,,,,26.3,,,,64.2,52.5,,False,,False,False,,,,,False,False,,,False,False,True,,False,False,,,,False,True,False,,,,,,,False,,,,False,False
18011,372,544.0,,534.2,,510.0,367.0,,,,,551.7,588.4,,,578.0,472.3,458.7,,417.0,429.9,,,,675.0,362.0,590.2,,,,,,510.7,578.2,,,,563.5,513.6,172.0,,162.2,,138.0,-5.0,,,,,179.7,216.4,,,206.0,100.3,86.7,,45.0,57.9,,,,303.0,-10.0,218.2,,,,,,138.7,206.2,,,,191.5,141.6,,True,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,False,,,,False,True
18013,48,80.0,,84.9,,67.0,42.0,,,,,97.5,106.5,,,141.0,61.6,61.1,,39.0,59.7,,,,85.0,50.0,106.6,,,,,,,91.8,,,,103.9,63.6,32.0,,36.9,,19.0,-6.0,,,,,49.5,58.5,,,93.0,13.6,13.1,,-9.0,11.7,,,,37.0,2.0,58.6,,,,,,,43.8,,,,55.9,15.6,,False,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,,False,,,,False,True
18015,141,104.0,,101.0,,100.0,55.0,,,,,143.4,145.1,,,171.0,90.0,123.2,,76.0,97.3,,,,132.0,58.0,199.4,,,,,,,83.8,,,,151.2,94.6,-37.0,,-40.0,,-41.0,-86.0,,,,,2.4,4.1,,,30.0,-51.0,-17.8,,-65.0,-43.7,,,,-9.0,-83.0,58.4,,,,,,,-57.2,,,,10.2,-46.4,,False,,False,False,,,,,True,True,,,True,False,True,,False,False,,,,True,False,False,,,,,,,False,,,,True,False
18017,334,352.0,,327.8,,334.0,350.0,,,,,388.5,333.9,,,368.0,287.5,343.9,,246.0,287.6,,,,374.0,248.0,400.9,,,,,,228.7,213.3,,,,403.1,756.7,18.0,,-6.2,,0.0,16.0,,,,,54.5,-0.1,,,34.0,-46.5,9.9,,-88.0,-46.4,,,,40.0,-86.0,66.9,,,,,,-105.3,-120.7,,,,69.1,422.7,,True,,True,True,,,,,False,True,,,False,False,True,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
18019,940,1318.0,,1336.3,,1179.0,1009.0,,,,,1165.8,1355.2,,,1425.0,1091.7,936.6,,1285.0,1174.4,,,,1494.0,1007.0,1426.4,,,,,,924.0,1294.1,,,,1211.4,1150.9,378.0,,396.3,,239.0,69.0,,,,,225.8,415.2,,,485.0,151.7,-3.4,,345.0,234.4,,,,554.0,67.0,486.4,,,,,,-16.0,354.1,,,,271.4,210.9,,False,,True,True,,,,,True,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,True
18021,116,240.0,,240.5,,237.0,286.0,,,,,206.7,276.4,,,236.0,321.6,122.0,,223.0,211.3,,,,284.0,144.0,239.3,,,,,,185.0,214.0,,,,411.2,297.2,124.0,,124.5,,121.0,170.0,,,,,90.7,160.4,,,120.0,205.6,6.0,,107.0,95.3,,,,168.0,28.0,123.3,,,,,,69.0,98.0,,,,295.2,181.2,,False,,True,False,,,,,True,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,False
18023,168,294.0,,290.2,,252.0,182.0,,,,,315.7,324.9,,,309.0,246.6,229.7,,135.0,198.1,,,,317.0,200.0,358.2,,,,,,185.0,271.4,,,,417.4,258.3,126.0,,122.2,,84.0,14.0,,,,,147.7,156.9,,,141.0,78.6,61.7,,-33.0,30.1,,,,149.0,32.0,190.2,,,,,,17.0,103.4,,,,249.4,90.3,,True,,True,True,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
18025,80,130.0,,130.8,,119.0,173.0,,,,,90.6,142.9,,,100.0,158.9,57.7,,113.0,113.6,,,,169.0,81.0,114.3,,,,,,,107.3,,,,170.9,73.0,50.0,,50.8,,39.0,93.0,,,,,10.6,62.9,,,20.0,78.9,-22.3,,33.0,33.6,,,,89.0,1.0,34.3,,,,,,,27.3,,,,90.9,-7.0,,False,,True,False,,,,,True,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
18027,154,286.0,,290.2,,266.0,329.0,,,,,237.3,325.3,,,363.0,250.9,174.5,,231.0,231.7,,,,282.0,196.0,295.8,,,,,,204.9,206.7,,,,303.3,218.3,132.0,,136.2,,112.0,175.0,,,,,83.3,171.3,,,209.0,96.9,20.5,,77.0,77.7,,,,128.0,42.0,141.8,,,,,,50.9,52.7,,,,149.3,64.3,,False,,True,False,,,,,True,False,,,False,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,False,True
18029,460,560.0,,530.0,,522.0,514.0,,,,,503.0,642.1,,,548.0,544.7,352.6,,565.0,499.2,,,,672.0,385.0,491.3,,,,,,506.1,386.0,,,,574.3,440.4,100.0,,70.0,,62.0,54.0,,,,,43.0,182.1,,,88.0,84.7,-107.4,,105.0,39.2,,,,212.0,-75.0,31.3,,,,,,46.1,-74.0,,,,114.3,-19.6,,True,,True,True,,,,,True,False,,,True,True,False,,False,True,,,,False,True,True,,,,,,True,True,,,,False,True
18031,126,220.0,,215.3,,220.0,220.0,,,,,223.9,265.2,,226.1,295.0,228.0,113.6,,174.0,194.0,,,,221.0,137.0,250.3,,,,,,149.9,180.1,,,,167.3,256.0,94.0,,89.3,,94.0,94.0,,,,,97.9,139.2,,100.1,169.0,102.0,-12.4,,48.0,68.0,,,,95.0,11.0,124.3,,,,,,23.9,54.1,,,,41.3,130.0,,True,,False,False,,,,,False,False,,False,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
