,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nevada,17259,27562.0,28697.8,28882.4,27054.0,40546.0,,29553.0,15411.0,28848.2,29762.8,,27512.9,33706.0,32500.0,32498.0,18503.8,24120.8,21993.0,22967.8,21978.8,28670.8,25273.2,28059.0,22055.0,,24342.4,,17589.8,,23058.9,35190.2,24233.0,27140.8,27947.0,29520.6,,10303.0,11438.8,11623.4,9795.0,23287.0,,12294.0,-1848.0,11589.2,12503.8,,10253.9,16447.0,15241.0,15239.0,1244.8,6861.8,4734.0,5708.8,4719.8,11411.8,8014.2,10800.0,4796.0,,7083.4,,330.8,,5799.9,17931.2,6974.0,9881.8,10688.0,12261.6,,False,False,True,False,,False,True,False,False,,True,False,False,False,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,True,True,False,False,
New Hampshire,8050,10148.0,11365.3,10157.3,10038.0,8207.0,,10045.5,5189.0,15279.1,12395.0,,9526.6,11867.0,10057.9,11153.0,8465.2,9705.7,9153.0,10162.7,8112.2,7580.7,10683.2,11592.0,6883.0,,9058.4,,12101.2,,7924.0,14770.8,6684.4,10622.5,10345.0,11470.1,,2098.0,3315.3,2107.3,1988.0,157.0,,1995.5,-2861.0,7229.1,4345.0,,1476.6,3817.0,2007.9,3103.0,415.2,1655.7,1103.0,2112.7,62.2,-469.3,2633.2,3542.0,-1167.0,,1008.4,,4051.2,,-126.0,6720.8,-1365.6,2572.5,2295.0,3420.1,,False,False,True,True,,True,False,False,False,,True,False,True,False,True,True,True,False,True,True,False,False,True,,True,,False,,True,False,True,False,False,False,
New Jersey,70454,85678.0,71404.5,86163.5,84469.0,116731.0,,83038.2,49114.0,78710.6,91221.2,,104450.8,84172.0,74367.6,88562.0,58507.5,81550.8,82556.5,81719.0,115643.6,69205.3,82160.7,90324.0,71297.0,,95633.5,,48152.5,,83725.2,86976.8,67332.3,93377.8,85750.0,94081.2,,15224.0,950.5,15709.5,14015.0,46277.0,,12584.2,-21340.0,8256.6,20767.2,,33996.8,13718.0,3913.6,18108.0,-11946.5,11096.8,12102.5,11265.0,45189.6,-1248.7,11706.7,19870.0,843.0,,25179.5,,-22301.5,,13271.2,16522.8,-3121.7,22923.8,15296.0,23627.2,,True,False,True,False,,True,False,True,False,,False,True,True,False,True,True,True,True,False,True,True,False,True,,False,,False,,True,False,True,False,False,False,
New Mexico,10646,15878.0,15396.7,15568.6,15211.0,13879.0,,16582.6,6350.0,13505.7,19383.1,,15962.8,17460.0,15750.7,16974.0,9748.4,13303.6,13074.5,13587.8,12770.2,11580.2,14735.4,17196.0,13891.0,,14309.8,,7250.0,,13690.3,18190.8,15269.4,17953.1,15871.0,15389.5,,5232.0,4750.7,4922.6,4565.0,3233.0,,5936.6,-4296.0,2859.7,8737.1,,5316.8,6814.0,5104.7,6328.0,-897.6,2657.6,2428.5,2941.8,2124.2,934.2,4089.4,6550.0,3245.0,,3663.8,,-3396.0,,3044.3,7544.8,4623.4,7307.1,5225.0,4743.5,,True,True,True,True,,False,True,True,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,True,False,True,True,
New York,179831,219166.0,198681.8,219128.9,225356.0,252920.0,,217815.3,249050.0,242168.7,225100.0,,247399.9,210979.0,245013.4,,189245.5,244182.8,234848.5,201786.9,246824.7,204889.2,232643.1,265301.0,188478.0,,223925.7,,196679.8,,194671.9,279711.7,167081.0,199654.7,226558.0,366864.4,,39335.0,18850.8,39297.9,45525.0,73089.0,,37984.3,69219.0,62337.7,45269.0,,67568.9,31148.0,65182.4,,9414.5,64351.8,55017.5,21955.9,66993.7,25058.2,52812.1,85470.0,8647.0,,44094.7,,16848.8,,14840.9,99880.7,-12750.0,19823.7,46727.0,187033.4,,True,True,False,False,,True,False,False,False,,False,True,False,,True,False,False,True,False,True,False,False,True,,False,,True,,True,False,True,True,False,False,
North Carolina,84801,106942.0,117191.7,107327.7,110852.0,94675.0,,117193.4,78878.0,136589.0,119328.8,,131744.3,118452.0,117745.4,111876.0,80008.4,131179.6,103872.0,98320.7,92867.8,116561.1,113936.4,131402.0,87326.0,,113542.7,,96969.8,,97144.2,136624.8,76699.4,110936.2,118802.0,136987.6,,22141.0,32390.7,22526.7,26051.0,9874.0,,32392.4,-5923.0,51788.0,34527.8,,46943.3,33651.0,32944.4,27075.0,-4792.6,46378.6,19071.0,13519.7,8066.8,31760.1,29135.4,46601.0,2525.0,,28741.7,,12168.8,,12343.2,51823.8,-8101.6,26135.2,34001.0,52186.6,,False,False,False,True,,False,True,False,False,,False,False,False,False,True,False,True,True,True,False,False,False,True,,False,,True,,True,False,True,False,False,False,
North Dakota,1847,2312.0,1776.1,2367.9,2025.0,1567.0,,2337.3,391.0,1831.7,3278.8,,2086.0,3738.0,1293.4,2587.0,2325.2,1489.8,1953.5,2153.5,1986.6,1211.2,2252.0,2178.0,3473.0,,1957.2,,978.4,,1266.7,240.0,2959.1,953.1,2057.0,2291.5,,465.0,-70.9,520.9,178.0,-280.0,,490.3,-1456.0,-15.3,1431.8,,239.0,1891.0,-553.6,740.0,478.2,-357.2,106.5,306.5,139.6,-635.8,405.0,331.0,1626.0,,110.2,,-868.6,,-580.3,-1607.0,1112.1,-893.9,210.0,444.5,,True,False,True,True,,False,False,True,False,,True,False,False,False,False,True,True,True,True,False,True,True,False,,True,,False,,False,False,False,False,True,True,
Ohio,71274,101060.0,102814.7,104131.6,96090.0,88032.0,,102414.3,34897.0,125628.4,118851.1,,101575.4,108605.0,90720.8,102386.0,64158.0,86468.0,107349.0,85609.4,75263.5,87153.7,95579.6,110773.0,78556.0,,88934.0,,54187.9,,86806.5,112896.9,77804.8,89184.1,105066.0,129398.4,,29786.0,31540.7,32857.6,24816.0,16758.0,,31140.3,-36377.0,54354.4,47577.1,,30301.4,37331.0,19446.8,31112.0,-7116.0,15194.0,36075.0,14335.4,3989.5,15879.7,24305.6,39499.0,7282.0,,17660.0,,-17086.1,,15532.5,41622.9,6530.8,17910.1,33792.0,58124.4,,False,False,True,True,,False,False,False,False,,False,False,True,False,True,True,False,True,True,True,True,False,True,,True,,True,,True,False,True,True,False,False,
Oklahoma,34925,53580.0,53035.0,54109.2,52368.0,49060.0,,56890.4,30597.0,59648.1,47211.7,,53571.7,58362.0,59723.2,53300.0,28751.1,46946.2,38120.5,41078.6,51948.0,51537.9,53227.1,58003.0,42294.0,,51165.6,,27292.1,,38154.5,62875.9,40284.7,56935.5,54348.0,67812.8,,18655.0,18110.0,19184.2,17443.0,14135.0,,21965.4,-4328.0,24723.1,12286.7,,18646.7,23437.0,24798.2,18375.0,-6173.9,12021.2,3195.5,6153.6,17023.0,16612.9,18302.1,23078.0,7369.0,,16240.6,,-7632.9,,3229.5,27950.9,5359.7,22010.5,19423.0,32887.8,,True,False,True,True,,False,True,False,True,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,True,False,False,False,
Oregon,10004,15872.0,14724.8,15862.5,14508.0,14343.0,,16395.3,9528.0,18472.8,22870.0,,16740.5,17957.0,13755.8,17435.0,13363.1,14490.2,12475.5,13160.6,7044.9,13395.1,14604.1,17931.0,10807.0,,13950.1,,16504.8,,12493.2,17142.5,14687.5,16932.1,17217.0,15086.9,,5868.0,4720.8,5858.5,4504.0,4339.0,,6391.3,-476.0,8468.8,12866.0,,6736.5,7953.0,3751.8,7431.0,3359.1,4486.2,2471.5,3156.6,-2959.1,3391.1,4600.1,7927.0,803.0,,3946.1,,6500.8,,2489.2,7138.5,4683.5,6928.1,7213.0,5082.9,,True,True,True,True,,False,True,False,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,False,False,True,
Pennsylvania,76986,96424.0,106017.8,97576.4,93277.0,81938.0,,99737.5,45979.0,115204.5,120724.1,,96138.7,110064.0,94714.8,100829.0,74255.9,81658.4,80575.5,85530.7,113364.9,86570.5,89739.4,105401.0,67161.0,,80091.7,,121757.1,,78999.1,120741.5,67838.2,56803.9,102556.0,135106.7,,19438.0,29031.8,20590.4,16291.0,4952.0,,22751.5,-31007.0,38218.5,43738.1,,19152.7,33078.0,17728.8,23843.0,-2730.1,4672.4,3589.5,8544.7,36378.9,9584.5,12753.4,28415.0,-9825.0,,3105.7,,44771.1,,2013.1,43755.5,-9147.8,-20182.1,25570.0,58120.7,,False,False,True,True,,False,False,False,False,,True,False,True,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,False,False,False,
Rhode Island,9995,13658.0,13427.6,11878.0,13260.0,21118.0,,14066.3,4204.0,42453.7,19036.4,,14278.7,15153.0,12572.1,13801.0,9422.4,10905.5,13227.0,12635.4,17337.9,13897.0,14664.4,14121.0,10613.0,,10140.6,,7054.0,,11102.7,20795.4,10200.6,12390.2,11075.0,14524.0,,3663.0,3432.6,1883.0,3265.0,11123.0,,4071.3,-5791.0,32458.7,9041.4,,4283.7,5158.0,2577.1,3806.0,-572.6,910.5,3232.0,2640.4,7342.9,3902.0,4669.4,4126.0,618.0,,145.6,,-2941.0,,1107.7,10800.4,205.6,2395.2,1080.0,4529.0,,True,True,True,False,,False,False,False,False,,False,False,True,False,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,True,True,False,
South Carolina,57363,64676.0,65205.5,67033.5,68626.0,63379.0,,67910.0,116010.0,102814.5,59973.0,,83181.4,66213.0,73408.6,60365.0,41043.1,80605.8,68979.5,68808.1,75843.8,51665.3,72063.7,80704.0,53325.0,,79527.8,,70533.0,,59646.7,89236.7,49268.8,78813.4,68538.0,82263.0,,7313.0,7842.5,9670.5,11263.0,6016.0,,10547.0,58647.0,45451.5,2610.0,,25818.4,8850.0,16045.6,3002.0,-16319.9,23242.8,11616.5,11445.1,18480.8,-5697.7,14700.7,23341.0,-4038.0,,22164.8,,13170.0,,2283.7,31873.7,-8094.2,21450.4,11175.0,24900.0,,False,False,False,True,,False,False,False,True,,False,False,False,True,False,False,False,False,False,True,False,False,True,,False,,False,,True,False,False,False,False,False,
South Dakota,2792,4754.0,3449.6,5081.0,4273.0,3212.0,,4623.4,3371.0,5467.2,7322.7,,4298.3,5201.0,3085.2,4862.0,3520.2,3472.8,3040.0,3844.3,2935.2,6066.8,4460.8,4281.0,5812.0,,3681.8,,1205.8,,4386.7,4438.8,5243.0,6537.5,4073.0,4727.1,,1962.0,657.6,2289.0,1481.0,420.0,,1831.4,579.0,2675.2,4530.7,,1506.3,2409.0,293.2,2070.0,728.2,680.8,248.0,1052.3,143.2,3274.8,1668.8,1489.0,3020.0,,889.8,,-1586.2,,1594.7,1646.8,2451.0,3745.5,1281.0,1935.1,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,False,True,True,False,,True,,True,,True,True,False,False,True,True,
Tennessee,43895,68794.0,86942.5,72296.0,65134.0,61602.0,,69037.7,66283.0,77746.4,65735.1,,62494.6,75709.0,59859.3,59783.0,49160.3,69753.1,45769.0,51263.4,57528.6,56952.5,73710.6,74177.0,52384.0,,63849.7,,73543.4,,53333.9,97757.1,50537.6,85439.9,70962.0,84075.8,,24899.0,43047.5,28401.0,21239.0,17707.0,,25142.7,22388.0,33851.4,21840.1,,18599.6,31814.0,15964.3,15888.0,5265.3,25858.1,1874.0,7368.4,13633.6,13057.5,29815.6,30282.0,8489.0,,19954.7,,29648.4,,9438.9,53862.1,6642.6,41544.9,27067.0,40180.8,,False,False,True,True,,False,True,False,True,,True,False,True,True,True,False,True,True,True,True,False,False,True,,True,,False,,True,False,True,False,False,False,
Texas,250604,321494.0,289151.8,338056.6,320556.0,356882.0,,328257.0,229652.0,298615.9,305176.2,,343803.5,323324.0,343250.3,487590.0,243592.2,313227.1,290483.5,288055.1,,230185.3,307283.1,355052.0,276883.0,,305900.5,,203926.2,,253247.2,377086.8,275207.8,353673.6,306624.0,362897.1,,70890.0,38547.8,87452.6,69952.0,106278.0,,77653.0,-20952.0,48011.9,54572.2,,93199.5,72720.0,92646.3,236986.0,-7011.8,62623.1,39879.5,37451.1,,-20418.7,56679.1,104448.0,26279.0,,55296.5,,-46677.8,,2643.2,126482.8,24603.8,103069.6,56020.0,112293.1,,True,False,True,False,,False,True,True,True,,False,False,False,False,True,True,True,True,,True,True,False,True,,True,,True,,True,False,True,False,True,False,
Utah,23178,37058.0,34720.5,34516.1,35714.0,20159.0,,40676.3,41804.0,45845.2,54621.7,,38220.3,41452.0,34123.1,38316.0,20351.3,30263.4,19987.5,31778.0,50602.7,33380.3,38030.7,37249.0,30984.0,,35652.9,,15930.6,,24230.3,47028.2,19776.4,39875.5,35937.0,38342.6,,13880.0,11542.5,11338.1,12536.0,-3019.0,,17498.3,18626.0,22667.2,31443.7,,15042.3,18274.0,10945.1,15138.0,-2826.7,7085.4,-3190.5,8600.0,27424.7,10202.3,14852.7,14071.0,7806.0,,12474.9,,-7247.4,,1052.3,23850.2,-3401.6,16697.5,12759.0,15164.6,,True,True,True,True,,False,False,False,False,,False,False,True,False,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Vermont,1916,2250.0,1722.4,2322.8,2290.0,2325.0,,2463.5,1599.0,2204.4,2750.6,,3078.0,2558.0,5445.7,2903.0,2388.0,3463.3,2212.0,2159.1,2002.2,2391.9,2366.0,3169.0,2094.0,,2369.7,,1363.7,,1211.0,2337.8,1649.5,2000.4,2670.0,2492.5,,334.0,-193.6,406.8,374.0,409.0,,547.5,-317.0,288.4,834.6,,1162.0,642.0,3529.7,987.0,472.0,1547.3,296.0,243.1,86.2,475.9,450.0,1253.0,178.0,,453.7,,-552.3,,-705.0,421.8,-266.5,84.4,754.0,576.5,,True,False,False,False,,False,True,True,False,,False,False,False,False,False,False,True,True,True,False,False,False,True,,False,,False,,False,False,True,True,False,False,
Virginia,72830,71352.0,71101.6,71178.8,72613.0,72674.0,,75810.9,56731.0,78847.7,106156.2,,111540.0,71638.0,67657.7,71569.0,53703.3,91227.7,79451.5,94933.0,72024.2,76099.9,87349.0,87138.0,66991.0,,94577.3,,53528.4,,72516.3,87299.3,55483.6,80925.2,59468.0,82143.5,,-1478.0,-1728.4,-1651.2,-217.0,-156.0,,2980.9,-16099.0,6017.7,33326.2,,38710.0,-1192.0,-5172.3,-1261.0,-19126.7,18397.7,6621.5,22103.0,-805.8,3269.9,14519.0,14308.0,-5839.0,,21747.3,,-19301.6,,-313.7,14469.3,-17346.4,8095.2,-13362.0,9313.5,,False,False,True,True,,False,False,False,False,,False,True,False,True,False,False,False,False,True,False,False,False,False,,False,,False,,True,False,False,False,False,False,
Washington,25627,28750.0,38977.8,26335.8,34859.0,20402.0,,41240.7,20699.0,32779.4,39963.3,,36239.0,38308.0,62210.5,39676.0,25102.4,33773.4,35306.5,35418.4,41084.5,48684.4,37939.6,36609.0,16962.0,,30751.4,,39484.1,,34913.5,44295.2,25112.9,32110.4,34101.0,36532.3,,3123.0,13350.8,708.8,9232.0,-5225.0,,15613.7,-4928.0,7152.4,14336.3,,10612.0,12681.0,36583.5,14049.0,-524.6,8146.4,9679.5,9791.4,15457.5,23057.4,12312.6,10982.0,-8665.0,,5124.4,,13857.1,,9286.5,18668.2,-514.1,6483.4,8474.0,10905.3,,False,True,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,,False,,False,False,True,False,False,False,
West Virginia,12216,16692.0,19673.3,16806.0,16754.0,15565.0,,17942.6,17135.0,18204.1,15871.3,,15365.2,17771.0,15546.8,17516.0,12007.1,18368.2,13917.0,13456.8,16986.2,15915.8,18684.1,20511.0,13462.0,,13981.1,,13816.6,,12196.0,25809.0,12716.1,20264.9,18356.0,20158.0,,4476.0,7457.3,4590.0,4538.0,3349.0,,5726.6,4919.0,5988.1,3655.3,,3149.2,5555.0,3330.8,5300.0,-208.9,6152.2,1701.0,1240.8,4770.2,3699.8,6468.1,8295.0,1246.0,,1765.1,,1600.6,,-20.0,13593.0,500.1,8048.9,6140.0,7942.0,,False,False,False,True,,False,False,False,True,,True,False,True,False,True,False,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,False,
Wisconsin,24722,36282.0,33678.0,38511.5,35212.0,37648.0,,40158.3,6447.0,30619.4,54769.1,,39353.6,36631.0,35884.7,36769.0,25637.7,27260.4,29817.5,32777.5,33733.6,30996.9,36223.9,40687.0,33753.0,,34521.5,,12968.8,,31288.0,48825.4,27383.7,28873.0,35385.0,43860.8,,11560.0,8956.0,13789.5,10490.0,12926.0,,15436.3,-18275.0,5897.4,30047.1,,14631.6,11909.0,11162.7,12047.0,915.7,2538.4,5095.5,8055.5,9011.6,6274.9,11501.9,15965.0,9031.0,,9799.5,,-11753.2,,6566.0,24103.4,2661.7,4151.0,10663.0,19138.8,,True,False,True,False,,False,False,True,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,True,True,False,
Wyoming,2636,4698.0,3794.0,5001.8,4477.0,3745.0,,4569.3,475.0,3747.8,6183.2,,4742.3,4955.0,7182.1,5546.0,2468.1,2560.3,3763.5,4690.3,4295.3,2638.0,3596.1,4750.0,4276.0,,4234.4,,2061.2,,4815.1,1834.6,3586.4,5044.4,3828.0,4518.2,,2062.0,1158.0,2365.8,1841.0,1109.0,,1933.3,-2161.0,1111.8,3547.2,,2106.3,2319.0,4546.1,2910.0,-167.9,-75.7,1127.5,2054.3,1659.3,2.0,960.1,2114.0,1640.0,,1598.4,,-574.8,,2179.1,-801.4,950.4,2408.4,1192.0,1882.2,,True,False,True,True,,True,False,True,False,,False,False,False,False,True,True,True,True,True,True,True,False,True,,True,,True,,False,True,True,False,True,True,
US,2298060,3130156.0,3136671.0,3069443.0,3153123.0,3256951.0,3345508.0,3217910.4,3749081.0,9247699.9,,2967350.7,3181134.1,3357904.0,3121013.0,,2304913.2,3144499.0,2809373.0,2817904.0,4011201.7,2927866.5,3131843.0,3534265.0,3177375.0,3335594.0,3085229.9,2978958.0,2466538.5,3015502.0,2679148.9,,2461539.2,2866658.2,3178369.0,4158096.4,2221948.8,832096.0,838611.0,771383.0,855063.0,958891.0,1047448.0,919850.4,1451021.0,6949639.9,,669290.7,883074.1,1059844.0,822953.0,,6853.2,846439.0,511313.0,519844.0,1713141.7,629806.5,833783.0,1236205.0,879315.0,1037534.0,787169.9,680898.0,168478.5,717442.0,381088.9,,163479.2,568598.2,880309.0,1860036.4,-76111.2,False,True,False,False,False,False,False,False,,True,False,False,True,,True,False,True,True,False,True,False,False,False,False,True,True,True,True,True,,True,True,False,False,True
