,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
North Carolina,1513,1483.9,1571.0,1491.0,1517.5,1688.0,,1603.8,1645.0,1642.0,1308.6,1597.3,1491.3,1455.4,1450.0,1590.7,1490.6,1502.9,1543.7,,1484.5,1488.2,1496.0,,1468.4,,1463.0,1535.9,1485.0,,1571.9,1547.9,1518.0,1484.7,1525.7,-29.1,58.0,-22.0,4.5,175.0,,90.8,132.0,129.0,-204.4,84.3,-21.7,-57.6,-63.0,77.7,-22.4,-10.1,30.7,,-28.5,-24.8,-17.0,,-44.6,,-50.0,22.9,-28.0,,58.9,34.9,5.0,-28.3,12.7,False,True,True,False,,False,False,False,False,False,True,False,False,False,True,True,False,,True,True,True,,False,,False,True,True,,False,False,True,True,True
North Dakota,87,80.9,87.0,82.0,84.8,80.0,,83.7,98.5,85.0,77.6,,80.7,84.0,95.0,89.8,84.3,100.1,83.1,,99.0,82.7,85.0,,83.9,,92.0,81.9,82.0,,83.7,82.1,83.0,82.9,,-6.1,0.0,-5.0,-2.2,-7.0,,-3.3,11.5,-2.0,-9.4,,-6.3,-3.0,8.0,2.8,-2.7,13.1,-3.9,,12.0,-4.3,-2.0,,-3.1,,5.0,-5.1,-5.0,,-3.3,-4.9,-4.0,-4.1,,True,True,True,False,,True,False,True,False,,False,True,False,True,True,False,True,,False,True,True,,True,,True,True,True,,True,True,True,True,
Ohio,3036,3000.1,3054.0,3010.0,3067.5,3130.0,,3070.5,3033.0,3448.0,,,2973.4,3058.0,3009.0,3150.5,3025.3,3504.6,3138.0,3087.0,2983.3,3033.8,2995.0,,3005.2,,2993.0,3025.6,3013.0,,3116.9,3067.8,2992.0,2997.0,3027.3,-35.9,18.0,-26.0,31.5,94.0,,34.5,-3.0,412.0,,,-62.6,22.0,-27.0,114.5,-10.7,468.6,102.0,51.0,-52.7,-2.2,-41.0,,-30.8,,-43.0,-10.4,-23.0,,80.9,31.8,-44.0,-39.0,-8.7,True,True,True,False,,True,True,False,,,False,True,True,False,True,False,False,False,False,True,False,,True,,False,True,True,,False,True,False,False,True
Oklahoma,421,409.1,430.0,412.0,415.7,432.0,,429.1,533.8,449.0,392.3,,412.7,416.4,397.0,432.9,411.6,479.6,415.2,,415.1,412.2,403.0,,405.3,,410.0,408.3,415.0,,440.4,424.9,409.0,411.5,,-11.9,9.0,-9.0,-5.3,11.0,,8.1,112.8,28.0,-28.7,,-8.3,-4.6,-24.0,11.9,-9.4,58.6,-5.8,,-5.9,-8.8,-18.0,,-15.7,,-11.0,-12.7,-6.0,,19.4,3.9,-12.0,-9.5,,True,True,True,True,,True,False,False,False,,True,True,False,True,True,False,True,,True,True,False,,False,,True,False,True,,False,True,False,True,
Oregon,232,226.1,235.0,224.0,229.4,236.0,,218.6,275.3,241.0,208.3,,224.3,228.5,237.0,245.2,231.5,224.7,228.5,,233.6,227.3,218.0,,221.8,,227.0,224.0,231.0,,241.2,233.3,229.0,225.7,,-5.9,3.0,-8.0,-2.6,4.0,,-13.4,43.3,9.0,-23.7,,-7.7,-3.5,5.0,13.2,-0.5,-7.3,-3.5,,1.6,-4.7,-14.0,,-10.2,,-5.0,-8.0,-1.0,,9.2,1.3,-3.0,-6.3,,True,False,True,True,,False,False,False,False,,False,True,True,False,True,False,True,,True,True,False,,False,,True,False,True,,False,True,True,False,
Pennsylvania,6897,6879.0,6948.0,6895.0,6895.1,6916.0,,6941.9,6912.0,6992.0,6527.6,,6891.1,6798.2,6912.0,6930.3,6902.7,6844.6,6901.1,,6896.6,6887.1,6885.0,,6934.2,,6854.0,6882.7,6878.0,,6934.0,6949.2,6903.0,6880.6,6910.0,-18.0,51.0,-2.0,-1.9,19.0,,44.9,15.0,95.0,-369.4,,-5.9,-98.8,15.0,33.3,5.7,-52.4,4.1,,-0.4,-9.9,-12.0,,37.2,,-43.0,-14.3,-19.0,,37.0,52.2,6.0,-16.4,13.0,False,True,True,False,,False,True,False,False,,True,False,True,False,True,False,True,,True,True,True,,False,,False,True,False,,False,False,True,True,True
Rhode Island,987,988.3,992.0,993.0,984.6,996.0,,986.2,975.5,984.0,921.7,,979.5,998.9,1066.0,671.7,981.3,962.6,997.5,,983.4,988.4,980.0,,986.8,,965.0,985.3,975.0,,973.7,983.4,982.0,982.1,,21.3,25.0,26.0,17.6,29.0,,19.2,8.5,17.0,-45.3,,12.5,31.9,99.0,-295.3,14.3,-4.4,30.5,,16.4,21.4,13.0,,19.8,,-2.0,18.3,8.0,,6.7,16.4,15.0,15.1,,False,False,True,False,,True,True,True,False,,True,False,False,False,True,True,False,,True,False,True,,True,,True,True,True,,True,True,True,True,
South Carolina,951,909.1,926.0,915.0,914.0,1072.0,,948.1,1179.6,1023.0,718.5,,938.2,909.6,893.0,917.2,896.2,857.4,901.5,,900.4,938.3,851.0,,864.3,,943.0,899.9,930.0,,955.4,957.9,914.0,902.8,911.7,-41.9,-25.0,-36.0,-37.0,121.0,,-2.9,228.6,72.0,-232.5,,-12.8,-41.4,-58.0,-33.8,-54.8,-93.6,-49.5,,-50.6,-12.7,-100.0,,-86.7,,-8.0,-51.1,-21.0,,4.4,6.9,-37.0,-48.2,-39.3,True,True,True,False,,True,False,False,False,,True,True,False,True,False,False,False,,False,True,False,,False,,True,False,True,,True,True,True,False,True
South Dakota,109,102.1,111.0,103.0,104.2,97.0,,95.9,110.4,103.0,88.2,,105.1,110.4,102.0,110.2,102.4,129.3,102.2,,106.8,103.6,107.0,,103.0,,100.0,99.7,102.0,,101.2,103.8,105.0,103.7,,-6.9,2.0,-6.0,-4.8,-12.0,,-13.1,1.4,-6.0,-20.8,,-3.9,1.4,-7.0,1.2,-6.6,20.3,-6.8,,-2.2,-5.4,-2.0,,-6.0,,-9.0,-9.3,-7.0,,-7.8,-5.2,-4.0,-5.3,,True,True,True,False,,False,True,True,False,,True,True,False,True,True,False,True,,True,True,True,,True,,False,False,False,,False,True,True,True,
Tennessee,738,697.3,751.0,690.0,707.1,815.0,,683.8,808.9,763.0,584.4,,693.9,725.2,713.0,742.4,697.7,721.4,696.6,,680.0,714.2,668.0,,667.4,,690.0,693.6,709.0,,720.9,726.5,710.0,699.4,705.0,-40.7,13.0,-48.0,-30.9,77.0,,-54.2,70.9,25.0,-153.6,,-44.1,-12.8,-25.0,4.4,-40.3,-16.6,-41.4,,-58.0,-23.8,-70.0,,-70.6,,-48.0,-44.4,-29.0,,-17.1,-11.5,-28.0,-38.6,-33.0,True,False,True,False,,False,False,True,False,,False,True,True,True,True,True,False,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Texas,3746,2821.7,3037.0,2826.0,2882.7,3266.0,,3000.7,3549.7,3212.0,2451.4,,2847.2,2930.3,2998.0,3078.8,2722.2,2783.1,2854.6,,2867.0,2870.5,2739.0,,2800.8,2982.0,2818.0,2821.1,2870.0,,3025.2,3054.7,2870.0,2838.8,2848.3,-453.3,-238.0,-449.0,-392.3,-9.0,,-274.3,274.7,-63.0,-823.6,,-427.8,-344.7,-277.0,-196.2,-552.8,-491.9,-420.4,,-408.0,-404.5,-536.0,,-474.2,-293.0,-457.0,-453.9,-405.0,,-249.8,-220.3,-405.0,-436.2,-426.7,True,True,True,True,,True,True,True,False,,True,True,True,True,False,False,True,,True,True,False,,False,True,False,False,True,,True,True,True,True,True
Utah,212,198.6,235.0,195.0,201.3,232.0,,249.9,256.3,217.0,,,194.7,202.1,207.0,221.2,196.8,212.8,194.3,,201.1,199.0,199.0,,208.0,,201.0,200.3,200.0,,206.2,200.9,204.0,198.7,,-13.4,23.0,-17.0,-10.7,20.0,,37.9,44.3,5.0,,,-17.3,-9.9,-5.0,9.2,-15.2,0.8,-17.7,,-10.9,-13.0,-13.0,,-4.0,,-11.0,-11.7,-12.0,,-5.8,-11.1,-8.0,-13.3,,False,False,True,False,,False,False,True,,,False,True,True,True,False,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
Vermont,56,56.0,58.0,56.0,56.5,56.0,,57.5,59.0,57.0,56.6,,56.0,57.7,56.0,57.4,56.7,58.6,56.0,,57.1,56.2,56.0,,57.9,,57.0,56.2,56.0,,56.0,56.3,57.0,56.4,,0.0,2.0,0.0,0.5,0.0,,1.5,3.0,1.0,0.6,,0.0,1.7,0.0,1.4,0.7,2.6,0.0,,1.1,0.2,0.0,,1.9,,1.0,0.2,0.0,,0.0,0.3,1.0,0.4,,False,True,False,True,,False,False,False,False,,False,False,True,False,False,False,False,,False,False,True,,False,,False,False,True,,False,False,False,False,
Virginia,1962,1956.7,1984.0,1974.0,1942.4,1927.0,,1873.9,2022.4,1909.0,1735.7,,1991.6,1933.6,1996.0,1988.0,1953.0,1979.0,1923.9,,1939.9,1970.4,1914.0,,1954.3,,1949.0,1903.0,1944.0,,1932.6,1935.6,1974.0,1918.8,1995.3,-5.3,22.0,12.0,-19.6,-35.0,,-88.1,60.4,-53.0,-226.3,,29.6,-28.4,34.0,26.0,-9.0,17.0,-38.1,,-22.1,8.4,-48.0,,-7.7,,-13.0,-59.0,-18.0,,-29.4,-26.4,12.0,-43.2,33.3,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,False
Washington,1400,1401.0,1430.0,1398.0,1405.3,1411.0,,1382.3,1428.9,1436.0,,,1395.7,1400.7,1374.0,1431.6,1408.7,1427.8,1415.7,,1393.8,1404.5,1385.0,,1380.8,,1392.0,1393.0,1406.0,,1435.5,1424.2,1404.0,1396.6,,-16.0,13.0,-19.0,-11.7,-6.0,,-34.7,11.9,19.0,,,-21.3,-16.3,-43.0,14.6,-8.3,10.8,-1.3,,-23.2,-12.5,-32.0,,-36.2,,-25.0,-24.0,-11.0,,18.5,7.2,-13.0,-20.4,,True,False,True,True,,False,True,False,,,False,False,False,True,True,True,True,,False,True,False,,False,,False,False,True,,False,True,True,False,
West Virginia,96,94.9,100.0,95.0,97.9,94.0,,97.4,108.6,102.0,91.8,,96.0,99.1,96.0,105.6,99.6,136.1,97.4,,96.5,99.2,94.0,,95.0,,95.0,96.9,97.0,,101.7,97.1,96.0,95.8,,-1.1,4.0,-1.0,1.9,-2.0,,1.4,12.6,6.0,-4.2,,-0.0,3.1,0.0,9.6,3.6,40.1,1.4,,0.5,3.2,-2.0,,-1.0,,-1.0,0.9,1.0,,5.7,1.1,0.0,-0.2,,False,True,False,False,,False,False,False,False,,True,False,True,False,False,False,False,,True,False,False,,True,,True,True,True,,False,True,True,True,
Wisconsin,847,812.3,859.0,815.0,833.4,874.0,,843.1,852.2,850.0,762.5,,812.3,851.1,853.0,868.4,831.9,932.7,827.4,851.5,831.6,818.4,826.0,,835.5,,811.0,828.9,823.0,,855.5,828.6,815.0,822.6,,-1.7,45.0,1.0,19.4,60.0,,29.1,38.2,36.0,-51.5,,-1.7,37.1,39.0,54.4,17.9,118.7,13.4,37.5,17.6,4.4,12.0,,21.5,,-3.0,14.9,9.0,,41.5,14.6,1.0,8.6,,False,True,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,True,False,
Wyoming,21,20.0,23.0,20.0,21.2,20.0,,23.7,22.9,22.0,20.7,,20.0,18.2,20.0,23.8,21.5,25.8,21.6,,21.7,21.9,20.0,,20.0,,21.0,20.8,21.0,,22.1,20.9,20.0,20.8,,-1.0,2.0,-1.0,0.2,-1.0,,2.7,1.9,1.0,-0.3,,-1.0,-2.8,-1.0,2.8,0.5,4.8,0.6,,0.7,0.9,-1.0,,-1.0,,0.0,-0.2,0.0,,1.1,-0.1,-1.0,-0.2,,False,False,True,False,,False,False,False,True,,True,False,False,False,True,False,True,,True,True,False,,True,,True,True,True,,False,True,False,True,
US,135435,133021.6,135877.0,133232.0,133482.4,136517.0,134759.0,132336.6,134668.0,137194.0,125416.3,,132945.1,132439.9,137311.0,134140.8,132993.0,130306.8,133930.1,,132666.9,133638.9,132794.5,136303.5,122197.0,132135.0,132602.0,132969.7,133988.0,132525.9,134701.5,135916.7,133680.5,132984.7,131644.3,-1868.4,987.0,-1658.0,-1407.6,1627.0,-131.0,-2553.4,-222.0,2304.0,-9473.7,,-1944.9,-2450.1,2421.0,-749.2,-1897.0,-4583.2,-959.9,,-2223.1,-1251.1,-2095.5,1413.5,-12693.0,-2755.0,-2288.0,-1920.3,-902.0,-2364.1,-188.5,1026.7,-1209.5,-1905.3,-3245.7,True,True,True,True,True,False,True,False,False,,False,False,False,True,False,False,True,,False,True,False,True,False,False,False,False,True,False,True,True,True,False,False
