,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
South Dakota,6814,5378.0,5497.8,5177.0,3497.0,,4033.8,56.0,5958.5,,5870.0,4962.0,5419.1,6315.0,929.7,3998.9,5947.3,6443.8,7433.0,,4841.3,5819.7,5509.5,4625.9,8200.0,4827.0,-1436.0,-1316.2,-1637.0,-3317.0,,-2780.2,-6758.0,-855.5,,-944.0,-1852.0,-1394.9,-499.0,-5884.3,-2815.1,-866.7,-370.2,619.0,,-1972.7,-994.3,-1304.5,-2188.1,1386.0,-1987.0,True,False,False,,False,False,True,,True,False,True,True,False,False,True,True,True,,False,True,True,False,True,False
Tennessee,21758,18904.0,18915.9,17988.0,17823.0,,18236.2,12119.0,25481.0,,18744.0,17285.0,17191.8,16977.7,12175.3,15678.0,21752.4,21673.2,20564.0,,14436.3,41048.8,12973.0,19083.5,19557.6,16229.0,-2854.0,-2842.1,-3770.0,-3935.0,,-3521.8,-9639.0,3723.0,,-3014.0,-4473.0,-4566.2,-4780.3,-9582.7,-6080.0,-5.6,-84.8,-1194.0,,-7321.7,19290.8,-8785.0,-2674.5,-2200.4,-5529.0,True,False,False,,False,False,False,,False,False,False,False,False,False,True,True,True,,False,False,False,True,True,False
Texas,64456,92742.0,91489.5,67558.0,42565.0,,73602.5,33319.0,83445.0,,72148.0,100009.0,59467.5,85819.9,39053.3,68152.2,42897.6,58863.5,98713.0,,19047.4,82010.6,83103.9,81755.0,58622.3,53985.0,28286.0,27033.5,3102.0,-21891.0,,9146.5,-31137.0,18989.0,,7692.0,35553.0,-4988.5,21363.9,-25402.7,3696.2,-21558.4,-5592.5,34257.0,,-45408.6,17554.6,18647.9,17299.0,-5833.7,-10471.0,True,True,True,,True,False,True,,True,False,True,True,True,True,True,True,False,,False,True,True,True,True,True
Utah,15097,13390.0,13301.8,13173.0,12403.0,,13919.7,5142.0,15918.2,,13778.0,12980.0,15681.8,12223.8,6408.2,16235.4,13768.0,15507.3,21314.0,,12647.8,17145.0,9733.5,14434.9,16645.4,15957.0,-1707.0,-1795.2,-1924.0,-2694.0,,-1177.3,-9955.0,821.2,,-1319.0,-2117.0,584.8,-2873.2,-8688.8,1138.4,-1329.0,410.3,6217.0,,-2449.2,2048.0,-5363.5,-662.1,1548.4,860.0,False,False,False,,True,False,True,,True,False,True,False,False,True,True,True,False,,False,False,False,True,True,True
Vermont,118,58.0,56.0,56.0,62.0,,79.4,28.0,66.3,,53.0,19.0,42.8,152.0,196.5,68.5,42.1,48.5,23.0,,29.6,77.5,76.8,83.4,53.4,48.0,-60.0,-62.0,-62.0,-56.0,,-38.6,-90.0,-51.7,,-65.0,-99.0,-75.2,34.0,78.5,-49.5,-75.9,-69.5,-95.0,,-88.4,-40.5,-41.2,-34.6,-64.6,-70.0,False,False,True,,True,False,True,,False,False,False,True,False,True,False,False,False,,False,True,True,True,False,False
Virginia,12497,11442.0,11502.2,10849.0,10780.0,,10849.1,3131.0,16236.7,,12024.0,12041.0,12073.1,12014.7,12177.8,12560.1,9240.0,10415.1,11842.0,,7377.5,13675.8,9692.7,11480.0,10422.2,0.0,-1055.0,-994.8,-1648.0,-1717.0,,-1647.9,-9366.0,3739.7,,-473.0,-456.0,-423.9,-482.3,-319.2,63.1,-3257.0,-2081.9,-655.0,,-5119.5,1178.8,-2804.3,-1017.0,-2074.8,-12497.0,True,False,False,,False,False,False,,True,True,True,True,True,True,False,False,True,,False,False,False,True,False,False
Washington,8020,7262.0,7200.3,7200.0,15069.0,,5255.4,9929.0,8009.6,,7712.0,4598.0,6803.6,7271.7,8039.1,4765.9,6792.5,8287.7,9392.0,,3236.0,2701.9,6294.2,7019.9,11634.8,8760.0,-758.0,-819.7,-820.0,7049.0,,-2764.6,1909.0,-10.4,,-308.0,-3422.0,-1216.4,-748.3,19.1,-3254.1,-1227.5,267.7,1372.0,,-4784.0,-5318.1,-1725.8,-1000.1,3614.8,740.0,False,False,False,,False,False,True,,True,False,False,True,True,False,False,True,False,,False,False,False,False,False,True
West Virginia,2760,2556.0,2545.8,2584.0,2387.0,,2641.0,2573.0,3542.3,,2737.0,1636.0,3003.1,3145.7,3145.9,2670.2,2306.6,2639.8,3065.0,,1531.4,4558.5,1733.2,2525.5,2713.0,2395.0,-204.0,-214.2,-176.0,-373.0,,-119.0,-187.0,782.3,,-23.0,-1124.0,243.1,385.7,385.9,-89.8,-453.4,-120.2,305.0,,-1228.6,1798.5,-1026.8,-234.5,-47.0,-365.0,False,True,False,,True,True,False,,True,False,False,False,False,True,False,True,False,,False,False,False,False,True,False
Wisconsin,33915,28166.0,27803.4,28496.0,46629.0,,29361.8,13042.0,34900.1,,30934.0,24057.0,33997.5,31951.6,13819.9,32161.4,29255.6,33180.2,42497.0,,23604.0,15593.9,27473.8,31083.1,40399.2,31761.0,-5749.0,-6111.6,-5419.0,12714.0,,-4553.2,-20873.0,985.1,,-2981.0,-9858.0,82.5,-1963.4,-20095.1,-1753.6,-4659.4,-734.8,8582.0,,-10311.0,-18321.1,-6441.2,-2831.9,6484.2,-2154.0,False,True,False,,True,False,True,,True,False,True,True,False,True,True,True,False,,False,False,False,True,False,True
Wyoming,1990,1368.0,1337.0,1381.0,1479.0,,1325.1,245.0,1408.9,,1194.0,2271.0,1348.2,2013.8,647.2,1194.5,1648.7,1714.0,1978.0,,1246.8,347.0,1141.8,1030.4,2419.4,1709.0,-622.0,-653.0,-609.0,-511.0,,-664.9,-1745.0,-581.1,,-796.0,281.0,-641.8,23.8,-1342.8,-795.5,-341.3,-276.0,-12.0,,-743.2,-1643.0,-848.2,-959.6,429.4,-281.0,False,True,True,,False,False,True,,False,True,False,True,False,False,True,True,True,,False,False,False,False,True,True
US,641809,619940.0,625842.1,599714.0,618763.0,680471.0,472281.4,298374.0,740490.2,555218.0,593926.0,598336.0,592198.6,599714.0,494261.6,531419.6,446126.1,625000.8,739320.0,677436.0,,676074.7,536072.3,660098.6,613885.2,606611.0,-21869.0,-15966.9,-42095.0,-23046.0,38662.0,-169527.6,-343435.0,98681.2,-86591.0,-47883.0,-43473.0,-49610.4,-42095.0,-147547.4,-110389.4,-195682.9,-16808.2,97511.0,35627.0,,34265.7,-105736.7,18289.6,-27923.8,-35198.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,False,False
