,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
South Dakota,3961,2853.0,2833.8,2853.0,2605.0,,2876.2,2360.0,2162.7,2734.8,3330.0,3388.0,3021.2,3367.0,3595.9,551.7,2691.8,3099.1,2870.0,3700.0,,2522.1,3043.6,2723.6,3111.6,3067.0,-1108.0,-1127.2,-1108.0,-1356.0,,-1084.8,-1601.0,-1798.3,-1226.2,-631.0,-573.0,-939.8,-594.0,-365.1,-3409.3,-1269.2,-861.9,-1091.0,-261.0,,-1438.9,-917.4,-1237.4,-849.4,-894.0,False,False,False,,True,False,False,False,True,True,True,True,True,False,False,True,True,True,,False,True,False,True,True
Tennessee,13054,8704.0,9002.9,8458.0,8196.0,,9426.9,6533.0,9229.3,8587.6,8723.0,7714.0,8727.8,8664.3,9379.0,6334.4,7416.6,9012.6,8457.9,8774.0,,7755.0,5638.9,7341.5,8570.3,8289.0,-4350.0,-4051.1,-4596.0,-4858.0,,-3627.1,-6521.0,-3824.7,-4466.4,-4331.0,-5340.0,-4326.2,-4389.7,-3675.0,-6719.6,-5637.4,-4041.4,-4596.1,-4280.0,,-5299.0,-7415.1,-5712.5,-4483.7,-4765.0,True,False,False,,True,False,True,False,True,False,True,False,True,False,False,True,False,True,,False,False,False,False,False
Texas,30128,33114.0,31045.3,28618.0,36566.0,,37949.3,17364.0,28829.1,34594.6,33305.0,34840.0,35189.1,31377.4,39559.2,21613.2,26159.2,22262.6,27882.6,38075.0,,24869.5,20027.6,28617.8,37971.0,30689.0,2986.0,917.3,-1510.0,6438.0,,7821.3,-12764.0,-1298.9,4466.6,3177.0,4712.0,5061.1,1249.4,9431.2,-8514.8,-3968.8,-7865.4,-2245.4,7947.0,,-5258.5,-10100.4,-1510.2,7843.0,561.0,True,True,False,,False,False,True,False,False,False,False,True,False,False,False,False,True,False,,False,False,True,False,True
Utah,8419,6678.0,6395.5,6382.0,5121.0,,6775.9,3205.0,6144.0,7127.3,6830.0,6382.0,7996.6,5125.6,7650.5,3823.3,7773.8,8368.7,7894.9,8703.0,,6377.5,2495.4,5340.2,6490.5,6620.0,-1741.0,-2023.5,-2037.0,-3298.0,,-1643.1,-5214.0,-2275.0,-1291.7,-1589.0,-2037.0,-422.4,-3293.4,-768.5,-4595.7,-645.2,-50.3,-524.1,284.0,,-2041.5,-5923.6,-3078.8,-1928.5,-1799.0,False,False,False,,True,False,False,True,True,False,True,False,True,False,True,True,True,True,,False,False,False,False,False
Vermont,79,39.0,39.5,39.0,27.0,,52.5,21.0,33.0,44.6,47.0,16.0,30.5,86.9,71.0,121.8,32.4,43.4,45.5,13.0,,14.9,38.5,42.3,41.7,50.0,-40.0,-39.5,-40.0,-52.0,,-26.5,-58.0,-46.0,-34.4,-32.0,-63.0,-48.5,7.9,-8.0,42.8,-46.6,-35.6,-33.5,-66.0,,-64.1,-40.5,-36.7,-37.3,-29.0,True,False,False,,True,False,False,True,True,False,False,True,True,False,False,True,True,False,,False,False,True,True,True
Virginia,7102,5316.0,5450.5,5450.0,4908.0,,5309.7,2976.0,5373.6,5731.4,5725.0,4484.0,5986.1,5498.3,7398.3,6510.2,6047.7,5999.9,6274.4,5476.0,,5845.3,6767.2,4977.2,5421.1,5511.0,-1786.0,-1651.5,-1652.0,-2194.0,,-1792.3,-4126.0,-1728.4,-1370.6,-1377.0,-2618.0,-1115.9,-1603.7,296.3,-591.8,-1054.3,-1102.1,-827.6,-1626.0,,-1256.7,-334.8,-2124.8,-1680.9,-1591.0,True,True,False,,False,False,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,True,True
Washington,3616,3589.0,3545.7,3658.0,3790.0,,3854.2,4912.0,3247.5,3536.1,3800.0,3213.0,3929.4,3658.4,4579.3,4379.3,3041.0,3490.3,3904.0,4844.0,,5177.8,1193.6,3507.7,3879.4,4275.0,-27.0,-70.3,42.0,174.0,,238.2,1296.0,-368.5,-79.9,184.0,-403.0,313.4,42.4,963.3,763.3,-575.0,-125.7,288.0,1228.0,,1561.8,-2422.4,-108.3,263.4,659.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
West Virginia,1446,1314.0,1296.5,1297.0,1367.0,,1292.2,1375.0,1301.6,1334.8,1379.0,912.0,1293.7,1607.5,1455.9,1647.2,1404.9,1167.3,1261.1,1351.0,,1130.8,1862.2,1144.4,1411.7,1228.0,-132.0,-149.5,-149.0,-79.0,,-153.8,-71.0,-144.4,-111.2,-67.0,-534.0,-152.3,161.5,9.9,201.2,-41.1,-278.7,-184.9,-95.0,,-315.2,416.2,-301.6,-34.3,-218.0,False,False,True,,False,True,False,True,True,False,False,False,True,False,True,False,False,True,,False,False,False,True,False
Wisconsin,16762,17153.0,16899.5,16816.0,18164.0,,18814.6,9133.0,13520.1,19734.5,18221.0,14549.0,21036.2,17478.2,22727.6,8259.1,17266.7,13821.7,16816.2,21598.0,,16043.8,7327.0,16783.3,18622.0,18679.0,391.0,137.5,54.0,1402.0,,2052.6,-7629.0,-3241.9,2972.5,1459.0,-2213.0,4274.2,716.2,5965.6,-8502.9,504.7,-2940.3,54.2,4836.0,,-718.2,-9435.0,21.3,1860.0,1917.0,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,True,False,False
Wyoming,1090,900.0,905.3,905.0,738.0,,904.7,509.0,812.4,971.1,816.0,877.0,1161.9,994.7,1266.4,375.1,832.7,950.9,946.3,1134.0,,913.6,163.5,842.4,1018.5,974.0,-190.0,-184.7,-185.0,-352.0,,-185.3,-581.0,-277.6,-118.9,-274.0,-213.0,71.9,-95.3,176.4,-714.9,-257.3,-139.1,-143.7,44.0,,-176.4,-926.5,-247.6,-71.5,-116.0,True,True,False,,True,False,False,True,False,False,True,True,True,False,False,True,True,True,,True,False,False,True,True
US,337914,302538.0,312405.4,292071.0,303152.0,348297.0,305500.3,177293.0,282522.8,302897.7,302887.0,278004.0,324810.8,293544.5,,271402.5,272030.3,260073.7,307287.9,334241.0,309319.3,267979.0,175280.0,279963.8,330128.8,307099.0,-35376.0,-25508.6,-45843.0,-34762.0,10383.0,-32413.7,-160621.0,-55391.2,-35016.3,-35027.0,-59910.0,-13103.2,-44369.5,,-66511.5,-65883.7,-77840.3,-30626.1,-3673.0,-28594.7,-69935.0,-162634.0,-57950.2,-7785.2,-30815.0,True,False,True,True,True,False,False,True,True,False,True,False,,False,False,False,True,True,True,False,False,False,True,True
