,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
13075,53,84.0,41.0,,,,151.0,10.7,0.4,32.1,64.8,,30.0,31.0,-12.0,,,,98.0,-42.3,-52.6,-20.9,11.8,,-23.0,True,,,,False,False,False,True,True,,True
13077,513,1548.0,1227.0,,,,830.0,602.3,596.0,1000.7,1541.6,,1105.0,1035.0,714.0,,,,317.0,89.3,83.0,487.7,1028.6,,592.0,True,,,,True,True,True,True,True,,True
13079,33,102.0,163.0,,,,94.0,8.4,56.0,26.1,162.5,,73.0,69.0,130.0,,,,61.0,-24.6,23.0,-6.9,129.5,,40.0,False,,,,True,True,True,True,False,,True
13081,138,234.0,434.0,,,,236.0,49.6,41.5,260.5,189.4,,249.0,96.0,296.0,,,,98.0,-88.4,-96.5,122.5,51.4,,111.0,False,,,,False,True,False,False,True,,False
13083,114,72.0,61.0,,,,113.0,23.9,97.9,29.3,61.2,,28.0,-42.0,-53.0,,,,-1.0,-90.1,-16.1,-84.7,-52.8,,-86.0,False,,,,True,False,True,False,False,,False
13085,193,462.0,297.0,,,,127.0,406.3,328.4,372.0,556.7,,259.0,269.0,104.0,,,,-66.0,213.3,135.4,179.0,363.7,,66.0,True,,,,True,True,True,True,False,,True
13087,254,390.0,178.0,,,,398.0,137.6,1.2,186.9,511.1,,171.0,136.0,-76.0,,,,144.0,-116.4,-252.8,-67.1,257.1,,-83.0,True,,,,False,True,False,True,False,,True
13089,3170,3498.0,1658.0,,,,5004.0,2250.5,1141.6,1693.2,1855.7,,1663.0,328.0,-1512.0,,,,1834.0,-919.5,-2028.4,-1476.8,-1314.3,,-1507.0,False,,,,False,False,False,False,False,,False
13091,140,210.0,223.0,,,,262.0,147.9,69.4,100.7,132.6,,165.0,70.0,83.0,,,,122.0,7.9,-70.6,-39.3,-7.4,,25.0,False,,,,False,True,False,True,True,,True
13093,69,42.0,81.0,,,,137.0,1.7,0.4,64.4,56.2,,22.0,-27.0,12.0,,,,68.0,-67.3,-68.6,-4.6,-12.8,,-47.0,True,,,,False,False,False,True,True,,False
13095,258,486.0,475.0,,,,1145.0,82.3,24.9,218.9,825.5,,330.0,228.0,217.0,,,,887.0,-175.7,-233.1,-39.1,567.5,,72.0,True,,,,False,True,False,True,False,,True
13097,660,804.0,897.0,,,,916.0,462.7,302.6,253.7,740.3,,441.0,144.0,237.0,,,,256.0,-197.3,-357.4,-406.3,80.3,,-219.0,False,,,,False,False,False,False,True,,False
13099,110,66.0,100.0,,,,144.0,4.9,2.8,40.9,74.5,,28.0,-44.0,-10.0,,,,34.0,-105.1,-107.2,-69.1,-35.5,,-82.0,True,,,,True,False,False,False,True,,False
13101,11,18.0,0.0,,,,27.0,1.6,0.7,6.7,76.6,,0.0,7.0,-11.0,,,,16.0,-9.4,-10.3,-4.3,65.6,,-11.0,False,,,,False,False,False,True,False,,False
13103,519,636.0,715.0,,,,396.0,480.4,447.9,0.0,546.1,,408.0,117.0,196.0,,,,-123.0,-38.6,-71.1,-519.0,27.1,,-111.0,False,,,,False,True,True,False,True,,True
13105,268,192.0,184.0,,,,148.0,124.2,52.4,32.8,92.6,,125.0,-76.0,-84.0,,,,-120.0,-143.8,-215.6,-235.2,-175.4,,-143.0,False,,,,False,False,False,False,False,,False
13107,415,390.0,311.0,,,,284.0,485.8,201.0,53.4,186.1,,133.0,-25.0,-104.0,,,,-131.0,70.8,-214.0,-361.6,-228.9,,-282.0,False,,,,False,False,False,False,False,,False
13109,83,168.0,56.0,,,,101.0,93.7,0.0,33.0,186.1,,62.0,85.0,-27.0,,,,18.0,10.7,-83.0,-50.0,103.1,,-21.0,True,,,,True,True,True,True,False,,True
13111,315,126.0,59.0,,,,121.0,33.7,146.0,43.2,265.8,,60.0,-189.0,-256.0,,,,-194.0,-281.3,-169.0,-271.8,-49.2,,-255.0,False,,,,False,False,True,False,True,,False
13113,390,960.0,1675.0,,,,544.0,760.1,460.1,447.8,818.4,,568.0,570.0,1285.0,,,,154.0,370.1,70.1,57.8,428.4,,178.0,False,,,,True,True,True,True,True,,True
13115,1159,1512.0,2003.0,,,,981.0,547.8,644.3,1035.6,1776.4,,830.0,353.0,844.0,,,,-178.0,-611.2,-514.7,-123.4,617.4,,-329.0,False,,,,True,False,False,True,False,,True
13117,1299,1560.0,2134.0,,,,1269.0,1091.4,654.7,1133.8,1266.2,,1212.0,261.0,835.0,,,,-30.0,-207.6,-644.3,-165.2,-32.8,,-87.0,False,,,,True,True,False,True,True,,True
13119,266,240.0,208.0,,,,226.0,49.9,115.9,137.6,176.8,,131.0,-26.0,-58.0,,,,-40.0,-216.1,-150.1,-128.4,-89.2,,-135.0,False,,,,False,False,False,False,False,,False
13121,4195,6750.0,4594.0,,,,7414.0,5532.3,1464.1,3992.6,8840.0,,3821.0,2555.0,399.0,,,,3219.0,1337.3,-2730.9,-202.4,4645.0,,-374.0,True,,,,False,True,False,True,False,,True
13123,162,192.0,57.0,,,,195.0,100.8,116.0,20.9,343.3,,107.0,30.0,-105.0,,,,33.0,-61.2,-46.0,-141.1,181.3,,-55.0,False,,,,False,False,False,False,False,,False
13125,7,6.0,0.0,,,,14.0,0.1,,5.7,24.1,,4.0,-1.0,-7.0,,,,7.0,-6.9,,-1.3,17.1,,-3.0,False,,,,False,False,,False,False,,False
13127,543,960.0,890.0,,,,490.0,625.3,21.9,34.8,749.7,,470.0,417.0,347.0,,,,-53.0,82.3,-521.1,-508.2,206.7,,-73.0,True,,,,True,True,False,False,True,,True
13129,482,444.0,344.0,,,,459.0,166.9,173.7,163.1,608.0,,198.0,-38.0,-138.0,,,,-23.0,-315.1,-308.3,-318.9,126.0,,-284.0,False,,,,True,False,False,False,False,,False
13131,191,174.0,114.0,,,,294.0,110.3,3.3,42.3,523.6,,68.0,-17.0,-77.0,,,,103.0,-80.7,-187.7,-148.7,332.6,,-123.0,False,,,,False,False,False,False,False,,False
13133,108,222.0,106.0,,,,147.0,26.1,63.0,52.7,215.3,,91.0,114.0,-2.0,,,,39.0,-81.9,-45.0,-55.3,107.3,,-17.0,True,,,,True,True,True,True,True,,True
13135,4575,6876.0,4282.0,,,,5520.0,3298.8,1148.5,2992.6,6486.0,,3746.0,2301.0,-293.0,,,,945.0,-1276.2,-3426.5,-1582.4,1911.0,,-829.0,True,,,,True,True,False,True,True,,True
13137,451,354.0,230.0,,,,372.0,83.2,73.0,173.2,578.4,,215.0,-97.0,-221.0,,,,-79.0,-367.8,-378.0,-277.8,127.4,,-236.0,False,,,,True,False,False,False,False,,False
13139,2352,3648.0,7258.0,,,,1944.0,3008.0,1332.4,9537.9,2086.3,,1065.0,1296.0,4906.0,,,,-408.0,656.0,-1019.6,7185.9,-265.7,,-1287.0,False,,,,True,True,True,False,True,,True
13141,50,54.0,43.0,,,,46.0,4.3,0.6,7.5,95.1,,29.0,4.0,-7.0,,,,-4.0,-45.7,-49.4,-42.5,45.1,,-21.0,False,,,,False,False,False,False,False,,False
13143,217,258.0,379.0,,,,211.0,120.6,201.4,241.2,324.9,,293.0,41.0,162.0,,,,-6.0,-96.4,-15.6,24.2,107.9,,76.0,False,,,,True,False,True,True,False,,False
13145,89,78.0,34.0,,,,322.0,12.2,79.4,16.3,68.7,,47.0,-11.0,-55.0,,,,233.0,-76.8,-9.6,-72.7,-20.3,,-42.0,False,,,,False,False,True,False,False,,False
13147,135,174.0,101.0,,,,185.0,38.8,122.4,116.0,176.2,,89.0,39.0,-34.0,,,,50.0,-96.2,-12.6,-19.0,41.2,,-46.0,True,,,,False,False,True,True,False,,False
13149,34,60.0,37.0,,,,72.0,10.2,55.1,34.8,58.1,,73.0,26.0,3.0,,,,38.0,-23.8,21.1,0.8,24.1,,39.0,True,,,,False,True,True,True,True,,False
13151,1227,1824.0,1028.0,,,,1279.0,1061.4,846.5,1732.4,1334.1,,1081.0,597.0,-199.0,,,,52.0,-165.6,-380.5,505.4,107.1,,-146.0,True,,,,True,True,True,True,True,,True
13153,668,1236.0,663.0,,,,1247.0,437.9,759.2,652.0,741.2,,838.0,568.0,-5.0,,,,579.0,-230.1,91.2,-16.0,73.2,,170.0,True,,,,False,True,True,True,True,,True
13155,118,144.0,120.0,,,,83.0,42.1,50.1,92.6,107.7,,121.0,26.0,2.0,,,,-35.0,-75.9,-67.9,-25.4,-10.3,,3.0,True,,,,False,False,False,True,True,,True
13157,672,942.0,1541.0,,,,509.0,460.2,466.0,740.1,748.5,,851.0,270.0,869.0,,,,-163.0,-211.8,-206.0,68.1,76.5,,179.0,False,,,,True,True,True,True,True,,True
13159,43,48.0,6.0,,,,96.0,5.1,71.3,5.3,175.8,,15.0,5.0,-37.0,,,,53.0,-37.9,28.3,-37.7,132.8,,-28.0,False,,,,False,False,False,False,False,,False
13161,121,198.0,112.0,,,,118.0,64.1,0.9,90.1,365.7,,55.0,77.0,-9.0,,,,-3.0,-56.9,-120.1,-30.9,244.7,,-66.0,True,,,,True,True,False,True,False,,True
13163,176,258.0,115.0,,,,157.0,67.0,0.5,98.1,240.1,,43.0,82.0,-61.0,,,,-19.0,-109.0,-175.5,-77.9,64.1,,-133.0,True,,,,True,False,False,True,True,,False
13165,145,144.0,46.0,,,,129.0,25.5,1.7,56.9,62.9,,49.0,-1.0,-99.0,,,,-16.0,-119.5,-143.3,-88.1,-82.1,,-96.0,False,,,,False,False,False,False,False,,False
13167,121,162.0,113.0,,,,156.0,26.7,0.1,21.6,103.9,,52.0,41.0,-8.0,,,,35.0,-94.3,-120.9,-99.5,-17.1,,-69.0,True,,,,True,False,False,False,True,,False
13169,153,462.0,570.0,,,,181.0,23.8,179.0,59.3,281.1,,514.0,309.0,417.0,,,,28.0,-129.2,26.0,-93.7,128.1,,361.0,False,,,,True,True,True,True,True,,False
13171,68,66.0,12.0,,,,143.0,13.6,74.2,16.1,109.4,,39.0,-2.0,-56.0,,,,75.0,-54.4,6.2,-51.9,41.4,,-29.0,False,,,,False,False,False,False,False,,False
13173,55,24.0,17.0,,,,72.0,0.9,12.0,25.6,40.4,,3.0,-31.0,-38.0,,,,17.0,-54.1,-43.0,-29.4,-14.6,,-52.0,False,,,,True,False,False,True,True,,False
13175,517,618.0,221.0,,,,557.0,364.8,93.7,196.8,672.0,,279.0,101.0,-296.0,,,,40.0,-152.2,-423.3,-320.2,155.0,,-238.0,False,,,,True,False,False,False,False,,False
13177,104,150.0,134.0,,,,265.0,36.5,116.2,16.7,165.6,,51.0,46.0,30.0,,,,161.0,-67.5,12.2,-87.3,61.6,,-53.0,True,,,,False,False,True,False,False,,False
13179,239,372.0,331.0,,,,343.0,156.9,303.4,24.4,389.4,,294.0,133.0,92.0,,,,104.0,-82.1,64.4,-214.6,150.4,,55.0,True,,,,True,True,True,False,False,,True
13181,27,48.0,46.0,,,,34.0,3.5,0.0,6.2,29.9,,13.0,21.0,19.0,,,,7.0,-23.5,-27.0,-20.8,2.9,,-14.0,True,,,,True,False,False,True,True,,True
13183,80,72.0,49.0,,,,69.0,34.3,118.7,38.1,47.8,,31.0,-8.0,-31.0,,,,-11.0,-45.7,38.7,-41.9,-32.2,,-49.0,False,,,,False,False,False,False,False,,False
13185,642,702.0,1747.0,,,,1058.0,182.3,162.8,265.2,563.8,,655.0,60.0,1105.0,,,,416.0,-459.7,-479.2,-376.8,-78.2,,13.0,False,,,,False,False,False,False,False,,True
13187,269,858.0,1491.0,,,,202.0,818.5,138.7,758.7,715.3,,354.0,589.0,1222.0,,,,-67.0,549.5,-130.3,489.7,446.3,,85.0,False,,,,True,True,True,True,True,,True
13189,127,228.0,155.0,,,,193.0,30.9,0.1,65.2,489.5,,58.0,101.0,28.0,,,,66.0,-96.1,-126.9,-61.8,362.5,,-69.0,True,,,,True,True,False,True,False,,True
13191,56,78.0,48.0,,,,28.0,33.3,30.0,34.9,191.4,,42.0,22.0,-8.0,,,,-28.0,-22.7,-26.0,-21.1,135.4,,-14.0,True,,,,False,False,False,True,False,,True
13193,38,60.0,42.0,,,,165.0,6.3,0.5,5.2,44.5,,56.0,22.0,4.0,,,,127.0,-31.7,-37.5,-32.8,6.5,,18.0,True,,,,False,False,False,False,True,,True
13195,202,240.0,141.0,,,,195.0,50.7,182.4,87.3,137.3,,133.0,38.0,-61.0,,,,-7.0,-151.3,-19.6,-114.7,-64.7,,-69.0,False,,,,True,False,True,False,False,,False
13197,25,30.0,3.0,,,,62.0,4.8,18.7,5.5,45.9,,31.0,5.0,-22.0,,,,37.0,-20.2,-6.3,-19.5,20.9,,6.0,False,,,,False,False,False,False,False,,False
13199,83,168.0,107.0,,,,158.0,20.2,85.0,52.7,148.8,,94.0,85.0,24.0,,,,75.0,-62.8,2.0,-30.3,65.8,,11.0,True,,,,True,True,True,True,True,,True
13201,84,96.0,50.0,,,,86.0,10.4,0.0,36.0,48.2,,25.0,12.0,-34.0,,,,2.0,-73.6,-84.0,-48.0,-35.8,,-59.0,False,,,,True,False,False,False,False,,False
13205,137,126.0,143.0,,,,267.0,21.7,8.1,80.4,204.5,,126.0,-11.0,6.0,,,,130.0,-115.3,-128.9,-56.6,67.5,,-11.0,True,,,,False,False,False,False,False,,False
13207,142,342.0,685.0,,,,235.0,16.2,96.8,69.9,296.5,,305.0,200.0,543.0,,,,93.0,-125.8,-45.2,-72.1,154.5,,163.0,False,,,,True,True,True,True,True,,True
13209,130,84.0,76.0,,,,72.0,32.4,0.0,92.8,135.6,,19.0,-46.0,-54.0,,,,-58.0,-97.6,-130.0,-37.2,5.6,,-111.0,False,,,,False,False,False,True,True,,False
13211,90,192.0,133.0,,,,208.0,27.7,114.7,24.1,271.6,,59.0,102.0,43.0,,,,118.0,-62.3,24.7,-65.9,181.6,,-31.0,True,,,,False,True,True,True,False,,True
13213,183,156.0,52.0,,,,273.0,72.3,102.6,79.1,72.3,,79.0,-27.0,-131.0,,,,90.0,-110.7,-80.4,-103.9,-110.7,,-104.0,False,,,,False,False,False,False,False,,False
13215,755,942.0,564.0,,,,2047.0,266.6,329.9,344.0,770.6,,440.0,187.0,-191.0,,,,1292.0,-488.4,-425.1,-411.0,15.6,,-315.0,False,,,,False,False,False,False,True,,False
13217,403,774.0,357.0,,,,716.0,577.9,306.7,434.3,478.5,,409.0,371.0,-46.0,,,,313.0,174.9,-96.3,31.3,75.5,,6.0,True,,,,True,True,True,True,True,,True
13219,246,240.0,343.0,,,,261.0,76.4,323.4,151.3,139.4,,351.0,-6.0,97.0,,,,15.0,-169.6,77.4,-94.7,-106.6,,105.0,False,,,,False,False,False,False,False,,False
13221,93,102.0,78.0,,,,85.0,15.6,80.9,43.6,197.2,,110.0,9.0,-15.0,,,,-8.0,-77.4,-12.1,-49.4,104.2,,17.0,False,,,,True,False,False,False,False,,False
13223,667,1338.0,2965.0,,,,799.0,1120.0,691.8,2155.1,1172.1,,1173.0,671.0,2298.0,,,,132.0,453.0,24.8,1488.1,505.1,,506.0,False,,,,True,True,True,False,True,,True
13225,142,438.0,410.0,,,,244.0,30.2,181.3,65.8,267.4,,246.0,296.0,268.0,,,,102.0,-111.8,39.3,-76.2,125.4,,104.0,True,,,,True,True,True,True,True,,True
13227,140,228.0,127.0,,,,188.0,86.1,175.4,64.7,154.4,,235.0,88.0,-13.0,,,,48.0,-53.9,35.4,-75.3,14.4,,95.0,True,,,,True,True,True,True,True,,False
13229,119,138.0,225.0,,,,122.0,25.0,61.2,20.8,59.2,,61.0,19.0,106.0,,,,3.0,-94.0,-57.8,-98.2,-59.8,,-58.0,False,,,,True,False,False,False,False,,False
13231,87,78.0,43.0,,,,111.0,10.0,96.0,27.8,251.0,,22.0,-9.0,-44.0,,,,24.0,-77.0,9.0,-59.2,164.0,,-65.0,False,,,,False,False,True,False,False,,False
13233,342,870.0,1004.0,,,,369.0,172.0,258.7,525.9,875.4,,338.0,528.0,662.0,,,,27.0,-170.0,-83.3,183.9,533.4,,-4.0,False,,,,True,True,True,True,False,,True
13235,115,276.0,324.0,,,,61.0,95.0,48.7,134.7,343.9,,144.0,161.0,209.0,,,,-54.0,-20.0,-66.3,19.7,228.9,,29.0,False,,,,True,True,True,True,False,,True
13237,136,336.0,481.0,,,,202.0,27.6,161.6,154.1,200.4,,114.0,200.0,345.0,,,,66.0,-108.4,25.6,18.1,64.4,,-22.0,False,,,,True,True,True,True,True,,True
13239,7,6.0,0.0,,,,7.0,0.0,,3.1,6.9,,6.0,-1.0,-7.0,,,,0.0,-7.0,,-3.9,-0.1,,-1.0,False,,,,True,False,,False,True,,False
13241,120,168.0,175.0,,,,92.0,84.9,110.2,32.8,164.5,,233.0,48.0,55.0,,,,-28.0,-35.1,-9.8,-87.2,44.5,,113.0,False,,,,True,True,True,False,True,,False
13243,26,48.0,0.0,,,,118.0,1.6,1.2,27.3,114.5,,11.0,22.0,-26.0,,,,92.0,-24.4,-24.8,1.3,88.5,,-15.0,False,,,,False,False,False,True,False,,True
13245,1512,2190.0,1182.0,,,,2293.0,1493.6,307.0,453.1,2951.4,,567.0,678.0,-330.0,,,,781.0,-18.4,-1205.0,-1058.9,1439.4,,-945.0,True,,,,False,True,False,False,False,,False
13247,302,306.0,97.0,,,,542.0,88.0,253.0,59.6,246.8,,97.0,4.0,-205.0,,,,240.0,-214.0,-49.0,-242.4,-55.2,,-205.0,False,,,,False,False,False,False,False,,False
13249,13,24.0,16.0,,,,41.0,0.2,,10.6,230.4,,6.0,11.0,3.0,,,,28.0,-12.8,,-2.4,217.4,,-7.0,True,,,,False,False,,True,False,,True
13251,150,192.0,171.0,,,,106.0,10.1,42.1,55.2,244.8,,107.0,42.0,21.0,,,,-44.0,-139.9,-107.9,-94.8,94.8,,-43.0,True,,,,False,False,False,False,False,,False
13253,100,138.0,23.0,,,,148.0,15.1,0.0,8.0,162.1,,33.0,38.0,-77.0,,,,48.0,-84.9,-100.0,-92.0,62.1,,-67.0,False,,,,False,False,False,False,False,,False
13255,248,426.0,470.0,,,,483.0,131.1,119.9,262.7,436.1,,264.0,178.0,222.0,,,,235.0,-116.9,-128.1,14.7,188.1,,16.0,False,,,,False,True,True,True,False,,True
13257,373,426.0,367.0,,,,217.0,373.8,96.2,173.2,416.6,,191.0,53.0,-6.0,,,,-156.0,0.8,-276.8,-199.8,43.6,,-182.0,True,,,,False,True,False,False,True,,False
13259,173,228.0,0.0,,,,135.0,88.9,0.6,81.0,65.1,,0.0,55.0,-173.0,,,,-38.0,-84.1,-172.4,-92.0,-107.9,,-173.0,False,,,,True,False,False,False,False,,False
13261,95,204.0,226.0,,,,365.0,80.5,10.9,129.3,163.5,,199.0,109.0,131.0,,,,270.0,-14.5,-84.1,34.3,68.5,,104.0,False,,,,False,True,True,True,True,,True
13263,12,12.0,0.0,,,,43.0,1.0,0.0,5.6,18.4,,3.0,0.0,-12.0,,,,31.0,-11.0,-12.0,-6.4,6.4,,-9.0,False,,,,False,False,False,False,False,,False
13265,5,6.0,0.0,,,,6.0,0.0,,11.4,,,2.0,1.0,-5.0,,,,1.0,-5.0,,6.4,,,-3.0,False,,,,False,False,,False,,,False
13267,201,174.0,53.0,,,,326.0,66.4,0.1,69.9,303.5,,61.0,-27.0,-148.0,,,,125.0,-134.6,-200.9,-131.1,102.5,,-140.0,False,,,,False,False,False,False,False,,False
13269,68,234.0,255.0,,,,88.0,121.7,50.5,70.2,140.0,,137.0,166.0,187.0,,,,20.0,53.7,-17.5,2.2,72.0,,69.0,False,,,,True,True,True,True,True,,True
13271,59,126.0,95.0,,,,209.0,42.7,0.2,114.6,75.0,,53.0,67.0,36.0,,,,150.0,-16.3,-58.8,55.6,16.0,,-6.0,True,,,,False,True,True,True,True,,True
13273,16,48.0,0.0,,,,104.0,3.8,1.3,3.4,52.3,,45.0,32.0,-16.0,,,,88.0,-12.2,-14.7,-12.6,36.3,,29.0,True,,,,False,True,True,True,False,,True
13275,202,390.0,241.0,,,,487.0,91.3,28.4,193.6,436.8,,172.0,188.0,39.0,,,,285.0,-110.7,-173.6,-8.4,234.8,,-30.0,True,,,,False,True,True,True,False,,True
13277,370,348.0,336.0,,,,520.0,162.3,3.8,118.9,220.1,,227.0,-22.0,-34.0,,,,150.0,-207.7,-366.2,-251.1,-149.9,,-143.0,False,,,,False,False,False,False,False,,False
13279,352,552.0,359.0,,,,328.0,157.9,294.9,213.3,391.8,,106.0,200.0,7.0,,,,-24.0,-194.1,-57.1,-138.7,39.8,,-246.0,True,,,,True,True,True,True,True,,False
13281,184,126.0,122.0,,,,35.0,67.5,50.4,20.0,192.2,,73.0,-58.0,-62.0,,,,-149.0,-116.5,-133.6,-164.0,8.2,,-111.0,False,,,,False,False,False,False,True,,False
13283,76,186.0,162.0,,,,66.0,74.0,17.5,120.9,163.2,,90.0,110.0,86.0,,,,-10.0,-2.0,-58.5,44.9,87.2,,14.0,True,,,,True,True,True,True,True,,True
13285,309,528.0,478.0,,,,701.0,170.0,63.8,307.2,260.0,,286.0,219.0,169.0,,,,392.0,-139.0,-245.2,-1.8,-49.0,,-23.0,True,,,,False,True,False,True,True,,True
13287,46,24.0,5.0,,,,61.0,1.5,0.1,5.6,87.6,,7.0,-22.0,-41.0,,,,15.0,-44.5,-45.9,-40.4,41.6,,-39.0,False,,,,True,False,False,False,False,,False
13289,42,54.0,100.0,,,,61.0,90.9,32.1,2.3,177.2,,22.0,12.0,58.0,,,,19.0,48.9,-9.9,-39.7,135.2,,-20.0,False,,,,False,False,True,False,False,,False
13291,381,396.0,355.0,,,,112.0,240.8,212.3,110.6,363.0,,245.0,15.0,-26.0,,,,-269.0,-140.2,-168.7,-270.4,-18.0,,-136.0,False,,,,False,False,False,False,False,,False
13293,164,0.0,40.0,,,,206.0,86.6,34.5,49.9,470.9,,7.0,-164.0,-124.0,,,,42.0,-77.4,-129.5,-114.1,306.9,,-157.0,True,,,,True,True,True,True,False,,True
13295,650,708.0,1497.0,,,,469.0,370.3,285.8,345.5,640.5,,632.0,58.0,847.0,,,,-181.0,-279.7,-364.2,-304.5,-9.5,,-18.0,False,,,,False,False,False,False,True,,True
13297,505,558.0,572.0,,,,571.0,131.1,311.4,78.4,680.2,,268.0,53.0,67.0,,,,66.0,-373.9,-193.6,-426.6,175.2,,-237.0,False,,,,False,False,False,False,False,,False
13299,230,246.0,249.0,,,,362.0,80.6,4.9,85.0,134.0,,63.0,16.0,19.0,,,,132.0,-149.4,-225.1,-145.0,-96.0,,-167.0,False,,,,False,False,False,False,False,,False
13301,44,42.0,47.0,,,,22.0,1.7,0.0,19.9,15.0,,19.0,-2.0,3.0,,,,-22.0,-42.3,-44.0,-24.1,-29.0,,-25.0,False,,,,False,False,False,False,False,,False
13303,105,144.0,109.0,,,,256.0,47.7,0.2,36.7,301.2,,35.0,39.0,4.0,,,,151.0,-57.3,-104.8,-68.3,196.2,,-70.0,True,,,,False,False,False,False,False,,False
13305,226,222.0,134.0,,,,265.0,81.4,0.8,71.6,187.7,,57.0,-4.0,-92.0,,,,39.0,-144.6,-225.2,-154.4,-38.3,,-169.0,False,,,,False,False,False,False,False,,False
13307,7,0.0,0.0,,,,29.0,0.1,,0.7,7.4,,0.0,-7.0,-7.0,,,,22.0,-6.9,,-6.3,0.4,,-7.0,False,,,,False,True,,True,True,,False
13309,210,84.0,155.0,,,,73.0,12.5,8.6,37.7,54.9,,22.0,-126.0,-55.0,,,,-137.0,-197.5,-201.4,-172.3,-155.1,,-188.0,True,,,,False,False,False,False,False,,False
13311,447,420.0,721.0,,,,169.0,84.9,184.1,307.4,349.2,,475.0,-27.0,274.0,,,,-278.0,-362.1,-262.9,-139.6,-97.8,,28.0,False,,,,False,False,False,False,False,,False
13313,889,858.0,1589.0,,,,1184.0,542.0,50.6,130.8,781.9,,372.0,-31.0,700.0,,,,295.0,-347.0,-838.4,-758.2,-107.1,,-517.0,False,,,,False,False,False,False,False,,False
13315,30,72.0,62.0,,,,107.0,16.3,0.7,63.6,45.8,,62.0,42.0,32.0,,,,77.0,-13.7,-29.3,33.6,15.8,,32.0,True,,,,False,True,True,True,True,,True
13317,52,60.0,42.0,,,,67.0,11.6,0.0,8.7,28.0,,25.0,8.0,-10.0,,,,15.0,-40.4,-52.0,-43.4,-24.0,,-27.0,False,,,,False,False,False,False,False,,False
13319,69,192.0,96.0,,,,59.0,6.3,84.4,55.6,169.3,,104.0,123.0,27.0,,,,-10.0,-62.7,15.4,-13.4,100.3,,35.0,True,,,,True,True,True,True,True,,True
13321,79,96.0,74.0,,,,177.0,28.5,30.1,68.7,103.8,,53.0,17.0,-5.0,,,,98.0,-50.5,-48.9,-10.3,24.8,,-26.0,True,,,,False,False,False,True,False,,False
15001,606,756.0,3845.0,,,,,4205.2,1.0,1726.8,350.1,,4902.0,150.0,3239.0,,,,,3599.2,-605.0,1120.8,-255.9,,4296.0,False,,,,,False,False,False,False,,False
15003,4544,9624.0,11166.0,,,,,15451.2,974.4,11068.5,49014.1,,8583.0,5080.0,6622.0,,,,,10907.2,-3569.6,6524.5,44470.1,,4039.0,False,,,,,False,True,False,False,,True
15005,0,0.0,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,True,,,,,,,True,,,
15007,3,6.0,0.0,,,,,0.0,,1.0,11.5,,3.0,3.0,-3.0,,,,,-3.0,,-2.0,8.5,,0.0,False,,,,,True,,True,False,,True
15009,69,306.0,433.0,,,,,138.2,7.6,193.8,425.2,,318.0,237.0,364.0,,,,,69.2,-61.4,124.8,356.2,,249.0,False,,,,,True,True,True,False,,False
16001,3201,3108.0,2472.0,,,,3068.0,2529.5,1225.8,751.7,1655.8,,1439.0,-93.0,-729.0,,,,-133.0,-671.5,-1975.2,-2449.3,-1545.2,,-1762.0,False,,,,False,False,False,False,False,,False
16003,6,6.0,0.0,,,,12.0,3.0,,3.6,3.3,,6.0,0.0,-6.0,,,,6.0,-3.0,,-2.4,-2.7,,0.0,False,,,,False,False,,False,False,,True
16005,840,336.0,146.0,,,,360.0,70.5,482.3,98.3,149.8,,152.0,-504.0,-694.0,,,,-480.0,-769.5,-357.7,-741.7,-690.2,,-688.0,False,,,,True,False,True,False,False,,False
16007,23,30.0,0.0,,,,6.0,,,5.6,,,13.0,7.0,-23.0,,,,-17.0,,,-17.4,,,-10.0,False,,,,False,,,False,,,False
16009,53,90.0,112.0,,,,29.0,4.2,18.8,19.3,141.2,,64.0,37.0,59.0,,,,-24.0,-48.8,-34.2,-33.8,88.2,,11.0,False,,,,True,False,True,True,False,,True
16011,705,300.0,168.0,,,,217.0,225.2,311.4,91.8,495.7,,150.0,-405.0,-537.0,,,,-488.0,-479.8,-393.6,-613.2,-209.3,,-555.0,False,,,,False,False,True,False,True,,False
16013,143,60.0,10.0,,,,77.0,17.0,10.6,92.6,55.4,,50.0,-83.0,-133.0,,,,-66.0,-126.0,-132.4,-50.4,-87.6,,-93.0,False,,,,True,False,False,True,False,,False
