,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02282,18,16.0,,,,,,10.7,21.0,,,-2.0,,,,,,-7.3,3.0,,,,,,,,False,False,,
02290,33,48.0,,,,,,4.8,,,,15.0,,,,,,-28.2,,,,,,,,,False,,,
04001,489,688.0,1502.0,,,341.0,18.0,531.7,527.9,,,199.0,1013.0,,,-148.0,-471.0,42.7,38.9,,,False,,,True,False,True,True,,
04003,201,1280.0,3710.7,,,567.0,302.6,41.2,778.7,,,1079.0,3509.7,,,366.0,101.6,-159.8,577.7,,,False,,,True,True,True,True,,
04005,1305,728.0,2006.5,,,523.0,195.5,127.7,480.4,,,-577.0,701.5,,,-782.0,-1109.5,-1177.3,-824.6,,,False,,,False,False,False,False,,
04007,531,744.0,857.4,,,392.0,110.5,386.3,607.5,,,213.0,326.4,,,-139.0,-420.5,-144.7,76.5,,,False,,,True,False,True,True,,
04009,343,456.0,,,,278.0,0.1,127.8,459.7,,,113.0,,,,-65.0,-342.9,-215.2,116.7,,,,,,True,False,False,False,,
04011,7,0.0,,,,28.0,,19.0,18.7,,,-7.0,,,,21.0,,12.0,11.7,,,,,,False,,False,False,,
04012,83,96.0,,,,74.0,3.6,97.8,74.9,,,13.0,,,,-9.0,-79.4,14.8,-8.1,,,,,,True,False,False,True,,
04013,16982,26560.0,32791.0,,,23743.0,5341.1,5626.1,7242.5,,,9578.0,15809.0,,,6761.0,-11640.9,-11355.9,-9739.5,,,False,,,True,False,False,False,,
04015,750,1584.0,1574.7,,,1910.0,344.8,1090.8,1222.7,,,834.0,824.7,,,1160.0,-405.2,340.8,472.7,,,True,,,False,True,True,True,,
04017,449,664.0,705.7,,,494.0,47.9,123.1,651.1,,,215.0,256.7,,,45.0,-401.1,-325.9,202.1,,,False,,,True,False,False,True,,
04019,7058,12680.0,8479.8,,,4254.0,2848.8,10318.7,7971.4,,,5622.0,1421.8,,,-2804.0,-4209.2,3260.7,913.4,,,True,,,True,True,True,True,,
04021,2321,2624.0,2359.0,,,2840.0,644.4,241.0,1303.0,,,303.0,38.0,,,519.0,-1676.6,-2080.0,-1018.0,,,True,,,False,False,False,False,,
04023,240,312.0,,,,643.0,10.1,1056.1,202.8,,,72.0,,,,403.0,-229.9,816.1,-37.2,,,,,,False,False,False,True,,
04025,559,1232.0,4284.8,,,1644.0,714.0,1253.6,538.3,,,673.0,3725.8,,,1085.0,155.0,694.6,-20.7,,,False,,,False,True,False,True,,
04027,1133,2728.0,7987.8,,,773.0,72.3,387.0,4092.1,,,1595.0,6854.8,,,-360.0,-1060.7,-746.0,2959.1,,,False,,,True,True,True,False,,
05001,305,272.0,,,,363.0,88.3,83.5,250.6,,,-33.0,,,,58.0,-216.7,-221.5,-54.4,,,,,,False,False,False,False,,
05003,120,240.0,,,,364.0,100.7,80.8,263.9,,,120.0,,,,244.0,-19.3,-39.2,143.9,,,,,,False,True,True,False,,
05005,378,80.0,,,,289.0,,40.5,90.2,,,-298.0,,,,-89.0,,-337.5,-287.8,,,,,,True,,False,True,,
05007,2270,1160.0,2277.9,,,2400.0,293.6,381.3,670.8,,,-1110.0,7.9,,,130.0,-1976.4,-1888.7,-1599.2,,,True,,,True,False,False,False,,
05009,646,136.0,,,,225.0,143.1,28.8,1031.4,,,-510.0,,,,-421.0,-502.9,-617.2,385.4,,,,,,True,True,False,True,,
05011,130,256.0,,,,201.0,66.4,93.8,84.8,,,126.0,,,,71.0,-63.6,-36.2,-45.2,,,,,,True,True,True,True,,
05013,23,0.0,,,,49.0,,2.8,,,,-23.0,,,,26.0,,-20.2,,,,,,,False,,True,,,
05015,463,240.0,,,,130.0,75.6,129.3,277.0,,,-223.0,,,,-333.0,-387.4,-333.7,-186.0,,,,,,False,False,False,True,,
05017,99,1520.0,,,,304.0,407.6,76.3,745.2,,,1421.0,,,,205.0,308.6,-22.7,646.2,,,,,,True,True,True,True,,
05019,236,72.0,,,,252.0,60.6,43.3,81.5,,,-164.0,,,,16.0,-175.4,-192.7,-154.5,,,,,,True,False,False,True,,
05021,231,120.0,,,,184.0,80.8,18.2,280.1,,,-111.0,,,,-47.0,-150.2,-212.8,49.1,,,,,,True,False,False,True,,
05023,171,208.0,,,,291.0,74.2,117.1,73.6,,,37.0,,,,120.0,-96.8,-53.9,-97.4,,,,,,False,False,False,False,,
05025,79,160.0,,,,91.0,34.1,32.5,169.3,,,81.0,,,,12.0,-44.9,-46.5,90.3,,,,,,True,True,True,False,,
05027,369,216.0,,,,416.0,0.0,32.9,138.5,,,-153.0,,,,47.0,-369.0,-336.1,-230.5,,,,,,True,False,False,False,,
05029,145,96.0,,,,354.0,92.6,34.1,131.4,,,-49.0,,,,209.0,-52.4,-110.9,-13.6,,,,,,False,False,False,True,,
05031,2125,1096.0,2839.5,,,1631.0,527.4,196.9,967.5,,,-1029.0,714.5,,,-494.0,-1597.6,-1928.1,-1157.5,,,True,,,True,False,False,False,,
05033,993,728.0,1807.5,,,1197.0,268.7,514.6,685.5,,,-265.0,814.5,,,204.0,-724.3,-478.4,-307.5,,,False,,,True,False,False,False,,
05035,599,872.0,,,,919.0,207.5,1124.6,987.4,,,273.0,,,,320.0,-391.5,525.6,388.4,,,,,,False,False,False,False,,
05037,278,216.0,,,,309.0,140.5,166.7,199.4,,,-62.0,,,,31.0,-137.5,-111.3,-78.6,,,,,,True,False,False,False,,
05039,109,56.0,,,,109.0,,4.3,135.3,,,-53.0,,,,0.0,,-104.7,26.3,,,,,,True,,False,True,,
05041,134,144.0,,,,222.0,31.8,47.8,99.4,,,10.0,,,,88.0,-102.2,-86.2,-34.6,,,,,,False,False,False,False,,
05043,122,448.0,,,,337.0,86.3,265.7,241.4,,,326.0,,,,215.0,-35.7,143.7,119.4,,,,,,True,True,True,True,,
05045,1525,680.0,4171.6,,,1304.0,238.7,731.6,852.6,,,-845.0,2646.6,,,-221.0,-1286.3,-793.4,-672.4,,,False,,,True,False,True,True,,
05047,254,104.0,,,,197.0,84.8,38.6,766.7,,,-150.0,,,,-57.0,-169.2,-215.4,512.7,,,,,,True,False,False,False,,
05049,173,56.0,,,,93.0,,92.8,161.2,,,-117.0,,,,-80.0,,-80.2,-11.8,,,,,,True,,True,True,,
05051,924,1416.0,1665.9,,,1720.0,555.9,483.8,1772.8,,,492.0,741.9,,,796.0,-368.1,-440.2,848.8,,,False,,,False,True,True,False,,
05053,157,104.0,,,,194.0,83.7,26.7,74.4,,,-53.0,,,,37.0,-73.3,-130.3,-82.6,,,,,,True,False,False,False,,
05055,546,464.0,,,,738.0,393.2,78.7,1043.2,,,-82.0,,,,192.0,-152.8,-467.3,497.2,,,,,,False,False,False,False,,
05057,185,208.0,,,,254.0,44.9,43.1,369.9,,,23.0,,,,69.0,-140.1,-141.9,184.9,,,,,,False,False,False,False,,
05059,423,728.0,,,,752.0,25.2,596.1,281.7,,,305.0,,,,329.0,-397.8,173.1,-141.3,,,,,,False,False,True,True,,
05061,149,248.0,,,,157.0,1.7,141.8,235.0,,,99.0,,,,8.0,-147.3,-7.2,86.0,,,,,,True,False,True,True,,
05063,692,896.0,,,,703.0,257.9,69.5,1125.3,,,204.0,,,,11.0,-434.1,-622.5,433.3,,,,,,True,False,False,False,,
05065,286,80.0,,,,143.0,,0.0,177.1,,,-206.0,,,,-143.0,,-286.0,-108.9,,,,,,True,,False,True,,
05067,378,120.0,,,,406.0,61.7,71.0,244.9,,,-258.0,,,,28.0,-316.3,-307.0,-133.1,,,,,,True,False,False,True,,
05069,2059,1208.0,986.2,,,1295.0,275.4,637.8,1291.7,,,-851.0,-1072.8,,,-764.0,-1783.6,-1421.2,-767.3,,,False,,,True,False,False,True,,
05071,222,192.0,,,,416.0,5.9,123.9,122.1,,,-30.0,,,,194.0,-216.1,-98.1,-99.9,,,,,,False,False,False,False,,
05073,76,48.0,,,,50.0,,8.1,38.9,,,-28.0,,,,-26.0,,-67.9,-37.1,,,,,,True,,False,False,,
05075,355,160.0,,,,251.0,94.3,23.8,181.7,,,-195.0,,,,-104.0,-260.7,-331.2,-173.3,,,,,,True,False,False,True,,
05077,190,64.0,,,,363.0,6.5,443.1,478.3,,,-126.0,,,,173.0,-183.5,253.1,288.3,,,,,,False,False,False,False,,
05079,851,624.0,,,,418.0,2.6,596.4,500.2,,,-227.0,,,,-433.0,-848.4,-254.6,-350.8,,,,,,False,False,False,False,,
05081,178,280.0,,,,96.0,0.0,111.8,592.2,,,102.0,,,,-82.0,-178.0,-66.2,414.2,,,,,,True,False,True,False,,
05083,162,656.0,,,,340.0,140.1,111.8,684.4,,,494.0,,,,178.0,-21.9,-50.2,522.4,,,,,,True,True,True,False,,
05085,835,448.0,1141.3,,,767.0,342.4,237.3,672.9,,,-387.0,306.3,,,-68.0,-492.6,-597.7,-162.1,,,True,,,True,False,False,True,,
05087,116,56.0,,,,105.0,26.7,58.3,162.0,,,-60.0,,,,-11.0,-89.3,-57.7,46.0,,,,,,True,False,True,True,,
05089,82,64.0,,,,89.0,,19.2,81.8,,,-18.0,,,,7.0,,-62.8,-0.2,,,,,,True,,False,True,,
05091,500,224.0,,,,649.0,157.6,15.7,96.7,,,-276.0,,,,149.0,-342.4,-484.3,-403.3,,,,,,True,False,False,False,,
05093,716,1208.0,,,,956.0,12.6,338.9,953.7,,,492.0,,,,240.0,-703.4,-377.1,237.7,,,,,,True,False,True,True,,
05095,106,120.0,,,,158.0,,49.5,69.6,,,14.0,,,,52.0,,-56.5,-36.4,,,,,,False,,False,False,,
05097,133,64.0,,,,37.0,,6.0,,,,-69.0,,,,-96.0,,-127.0,,,,,,,False,,False,,,
05099,101,80.0,,,,115.0,16.7,22.2,80.8,,,-21.0,,,,14.0,-84.3,-78.8,-20.2,,,,,,True,False,False,True,,
05101,164,40.0,,,,56.0,8.4,15.4,,,,-124.0,,,,-108.0,-155.6,-148.6,,,,,,,True,False,False,,,
05103,181,120.0,,,,442.0,80.8,151.0,182.1,,,-61.0,,,,261.0,-100.2,-30.0,1.1,,,,,,False,False,True,True,,
05105,62,40.0,,,,74.0,,6.4,110.2,,,-22.0,,,,12.0,,-55.6,48.2,,,,,,True,,False,False,,
05107,267,280.0,,,,576.0,21.5,164.6,214.3,,,13.0,,,,309.0,-245.5,-102.4,-52.7,,,,,,False,False,False,False,,
05109,109,296.0,,,,64.0,58.0,190.1,454.9,,,187.0,,,,-45.0,-51.0,81.1,345.9,,,,,,True,True,True,False,,
05111,454,536.0,,,,484.0,118.5,91.0,865.7,,,82.0,,,,30.0,-335.5,-363.0,411.7,,,,,,True,False,False,False,,
05113,146,152.0,,,,170.0,94.7,67.2,220.4,,,6.0,,,,24.0,-51.3,-78.8,74.4,,,,,,False,False,False,False,,
05115,957,960.0,1029.9,,,812.0,214.6,427.9,530.7,,,3.0,72.9,,,-145.0,-742.4,-529.1,-426.3,,,False,,,False,False,False,False,,
05117,69,144.0,,,,135.0,53.6,19.4,187.3,,,75.0,,,,66.0,-15.4,-49.6,118.3,,,,,,True,True,True,False,,
05119,4331,4160.0,5777.2,,,4306.0,1317.3,4126.7,1893.9,,,-171.0,1446.2,,,-25.0,-3013.7,-204.3,-2437.1,,,False,,,True,False,False,False,,
