,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
08119,22,11.0,,10.2,,11.0,13.0,,,,,,19.5,,15.1,22.4,,,8.2,10.4,,,,,,6.3,-11.0,,-11.8,,-11.0,-9.0,,,,,,-2.5,,-6.9,0.4,,,-13.8,-11.6,,,,,,-15.7,,False,,False,True,,,,,,True,,True,True,,,False,False,,,,,,False
08121,3,0.0,,0.1,,0.0,0.0,,,,,,0.8,,1.6,1.1,1.0,,0.3,0.2,,,,,,2.7,-3.0,,-2.9,,-3.0,-3.0,,,,,,-2.2,,-1.4,-1.9,-2.0,,-2.7,-2.8,,,,,,-0.3,,True,,False,False,,,,,,True,,True,True,True,,True,True,,,,,,True
08123,105,171.0,83.0,173.1,,143.0,144.0,,,,,,217.5,,120.5,131.4,177.0,,145.3,179.0,142.0,,,,,219.2,66.0,-22.0,68.1,,38.0,39.0,,,,,,112.5,,15.5,26.4,72.0,,40.3,74.0,37.0,,,,,114.2,True,False,,True,True,,,,,,False,,True,True,False,,True,False,True,,,,,False
08125,0,1.0,,1.7,,1.0,0.0,,,,,,5.3,,1.1,0.4,,,3.1,0.8,,,,,,6.8,1.0,,1.7,,1.0,0.0,,,,,,5.3,,1.1,0.4,,,3.1,0.8,,,,,,6.8,,False,,False,True,,,,,,False,,False,True,,,False,True,,,,,,False
09001,204,163.0,86.0,180.0,288.9,128.0,104.0,,,,,,313.1,,48.9,125.4,172.0,,127.9,159.2,80.0,,,,,278.4,-41.0,-118.0,-24.0,84.9,-76.0,-100.0,,,,,,109.1,,-155.1,-78.6,-32.0,,-76.1,-44.8,-124.0,,,,,74.4,False,True,False,False,False,,,,,,False,,False,False,True,,False,False,False,,,,,False
09003,110,116.0,131.6,124.9,187.4,106.0,85.0,,,,,,284.6,,38.6,97.3,120.0,,92.6,144.6,68.0,,,,,36.7,6.0,21.6,14.9,77.4,-4.0,-25.0,,,,,,174.6,,-71.4,-12.7,10.0,,-17.4,34.6,-42.0,,,,,-73.3,False,False,False,True,False,,,,,,False,,False,False,False,,False,False,False,,,,,False
09005,23,13.0,20.1,13.6,,13.0,13.0,,,,,,37.3,,3.6,10.5,22.0,,8.7,13.7,15.0,,,,,5.5,-10.0,-2.9,-9.4,,-10.0,-10.0,,,,,,14.3,,-19.4,-12.5,-1.0,,-14.3,-9.3,-8.0,,,,,-17.5,True,True,,False,False,,,,,,False,,False,False,True,,False,True,True,,,,,False
09007,18,19.0,25.7,18.5,,16.0,17.0,,,,,,28.5,,0.8,8.7,15.0,,14.1,18.9,9.0,,,,,1.4,1.0,7.7,0.5,,-2.0,-1.0,,,,,,10.5,,-17.2,-9.3,-3.0,,-3.9,0.9,-9.0,,,,,-16.6,False,True,,False,False,,,,,,False,,False,False,False,,False,True,False,,,,,False
09009,171,104.0,220.0,113.5,125.8,104.0,82.0,,,,,,254.7,,35.0,79.8,121.0,,137.1,107.4,47.0,,,,,75.2,-67.0,49.0,-57.5,-45.2,-67.0,-89.0,,,,,,83.7,,-136.0,-91.2,-50.0,,-33.9,-63.6,-124.0,,,,,-95.8,True,True,True,False,False,,,,,,False,,False,False,True,,True,True,False,,,,,False
09011,44,31.0,26.7,31.8,,30.0,35.0,,,,,,92.7,,5.8,20.3,30.0,,52.1,30.3,19.0,,,,,6.1,-13.0,-17.3,-12.2,,-14.0,-9.0,,,,,,48.7,,-38.2,-23.7,-14.0,,8.1,-13.7,-25.0,,,,,-37.9,False,True,,False,True,,,,,,False,,False,False,False,,True,False,False,,,,,False
09013,0,37.0,18.2,34.7,,23.0,46.0,,,,,,50.2,,0.4,16.6,,,12.1,33.6,28.0,,,,,1.2,37.0,18.2,34.7,,23.0,46.0,,,,,,50.2,,0.4,16.6,,,12.1,33.6,28.0,,,,,1.2,True,True,,True,False,,,,,,False,,True,True,,,True,True,True,,,,,True
09015,29,33.0,24.2,32.6,,27.0,68.0,,,,,,36.6,,4.0,17.2,22.0,,34.8,26.6,,,,,,4.7,4.0,-4.8,3.6,,-2.0,39.0,,,,,,7.6,,-25.0,-11.8,-7.0,,5.8,-2.4,,,,,,-24.3,False,True,,True,False,,,,,,False,,False,False,False,,False,True,,,,,,False
10001,198,94.0,77.5,92.8,,76.0,78.0,,,,,,121.2,,56.5,67.3,82.0,,102.2,90.3,75.0,,,88.0,,72.8,-104.0,-120.5,-105.2,,-122.0,-120.0,,,,,,-76.8,,-141.5,-130.7,-116.0,,-95.8,-107.7,-123.0,,,-110.0,,-125.2,False,False,,False,False,,,,,,True,,False,False,False,,True,False,False,,,False,,False
10003,329,318.0,266.2,294.0,395.9,294.0,247.0,,,,,,337.6,,255.7,321.8,291.0,,341.3,325.1,216.0,,,299.0,,151.6,-11.0,-62.8,-35.0,66.9,-35.0,-82.0,,,,,,8.6,,-73.3,-7.2,-38.0,,12.3,-3.9,-113.0,,,-30.0,,-177.4,False,False,False,False,False,,,,,,True,,False,True,False,,False,True,False,,,False,,False
10005,351,191.0,98.4,195.0,185.8,143.0,193.0,,,,,,183.3,,143.0,121.3,194.0,,75.5,214.4,114.0,,,166.0,,158.1,-160.0,-252.6,-156.0,-165.2,-208.0,-158.0,,,,,,-167.7,,-208.0,-229.7,-157.0,,-275.5,-136.6,-237.0,,,-185.0,,-192.9,False,True,False,False,True,,,,,,False,,False,False,True,,False,True,False,,,False,,False
12001,456,498.0,895.9,496.9,,439.0,476.0,,,,,,522.0,,431.0,410.7,369.0,,447.5,419.3,384.0,,,460.0,,605.5,42.0,439.9,40.9,,-17.0,20.0,,,,,,66.0,,-25.0,-45.3,-87.0,,-8.5,-36.7,-72.0,,,4.0,,149.5,False,True,,True,True,,,,,,False,,True,False,False,,True,True,False,,,True,,False
12003,243,456.0,,448.4,,452.0,578.0,,,,,,45.0,,1069.2,383.1,,,2601.4,386.8,,,,321.0,,777.1,213.0,,205.4,,209.0,335.0,,,,,,-198.0,,826.2,140.1,,,2358.4,143.8,,,,78.0,,534.1,,True,,True,False,,,,,,True,,False,True,,,False,True,,,,True,,False
12005,399,768.0,701.6,754.6,,712.0,730.0,,,,,,620.3,,560.8,568.5,660.0,,693.8,805.9,878.0,,,666.0,,1050.1,369.0,302.6,355.6,,313.0,331.0,,,,,,221.3,,161.8,169.5,261.0,,294.8,406.9,479.0,,,267.0,,651.1,True,True,,True,True,,,,,,True,,True,True,True,,True,False,False,,,True,,False
12007,94,137.0,,139.9,,138.0,158.0,,,,,,80.8,,151.2,121.2,,,2692.9,134.7,,,,152.0,,232.6,43.0,,45.9,,44.0,64.0,,,,,,-13.2,,57.2,27.2,,,2598.9,40.7,,,,58.0,,138.6,,False,,False,False,,,,,,True,,False,True,,,False,True,,,,False,,False
12009,515,442.0,1215.1,443.1,412.7,442.0,377.0,,,,,,868.4,,546.9,496.2,449.0,,474.2,358.4,442.0,,,416.0,,701.0,-73.0,700.1,-71.9,-102.3,-73.0,-138.0,,,,,,353.4,,31.9,-18.8,-66.0,,-40.8,-156.6,-73.0,,,-99.0,,186.0,False,True,False,False,False,,,,,,False,,True,True,True,,True,False,False,,,False,,False
12011,4397,4817.0,13491.5,4536.2,3817.0,3891.0,3267.0,,,,,,3581.7,,4357.0,3890.8,3913.0,,3427.7,4382.5,3369.0,,,4244.0,,5187.6,420.0,9094.5,139.2,-580.0,-506.0,-1130.0,,,,,,-815.3,,-40.0,-506.2,-484.0,,-969.3,-14.5,-1028.0,,,-153.0,,790.6,False,True,False,False,False,,,,,,False,,True,False,False,,False,True,False,,,True,,False
12013,35,175.0,,179.4,,148.0,85.0,,,,,,52.5,,140.5,106.2,,,275.6,156.4,,,,109.0,,249.6,140.0,,144.4,,113.0,50.0,,,,,,17.5,,105.5,71.2,,,240.6,121.4,,,,74.0,,214.6,,False,,True,True,,,,,,True,,True,True,,,False,True,,,,True,,False
12015,155,230.0,322.9,249.4,,197.0,194.0,,,,,,317.6,,191.0,199.5,171.0,,188.0,215.3,192.0,,,216.0,,303.4,75.0,167.9,94.4,,42.0,39.0,,,,,,162.6,,36.0,44.5,16.0,,33.0,60.3,37.0,,,61.0,,148.4,False,False,,True,True,,,,,,False,,True,True,True,,True,True,True,,,True,,False
12017,236,286.0,332.8,275.7,,269.0,341.0,,,,,,235.9,,273.8,214.9,215.0,,250.9,264.1,220.0,,,272.0,,335.2,50.0,96.8,39.7,,33.0,105.0,,,,,,-0.1,,37.8,-21.1,-21.0,,14.9,28.1,-16.0,,,36.0,,99.2,False,True,,True,False,,,,,,True,,True,True,True,,True,True,True,,,True,,False
12019,195,392.0,591.7,403.1,,381.0,404.0,,,,,,428.1,,370.9,299.9,319.0,,350.1,424.9,287.0,,,356.0,,722.0,197.0,396.7,208.1,,186.0,209.0,,,,,,233.1,,175.9,104.9,124.0,,155.1,229.9,92.0,,,161.0,,527.0,False,False,,True,False,,,,,,False,,True,True,True,,True,False,True,,,True,,False
12021,575,603.0,1820.2,658.4,613.8,543.0,543.0,,,,,,423.2,,454.4,486.3,570.0,,495.5,725.6,444.0,,,532.0,,642.5,28.0,1245.2,83.4,38.8,-32.0,-32.0,,,,,,-151.8,,-120.6,-88.7,-5.0,,-79.5,150.6,-131.0,,,-43.0,,67.5,False,False,False,False,False,,,,,,False,,False,False,True,,False,False,False,,,False,,False
12023,192,285.0,474.8,381.1,,262.0,124.0,,,,,,313.4,,243.2,259.1,258.0,,119.6,326.4,,,,179.0,,495.9,93.0,282.8,189.1,,70.0,-68.0,,,,,,121.4,,51.2,67.1,66.0,,-72.4,134.4,,,,-13.0,,303.9,False,False,,True,True,,,,,,False,,True,True,True,,True,False,,,,True,,False
12027,74,54.0,,53.5,,49.0,44.0,,,,,,63.8,,35.7,62.1,65.0,,35.3,55.0,,,,53.0,,94.1,-20.0,,-20.5,,-25.0,-30.0,,,,,,-10.2,,-38.3,-11.9,-9.0,,-38.7,-19.0,,,,-21.0,,20.1,,False,,False,False,,,,,,True,,False,True,True,,False,True,,,,False,,False
12029,109,211.0,,207.1,,222.0,233.0,,,,,,63.4,,451.1,234.4,,,451.3,189.1,,,,154.0,,345.6,102.0,,98.1,,113.0,124.0,,,,,,-45.6,,342.1,125.4,,,342.3,80.1,,,,45.0,,236.6,,True,,False,False,,,,,,True,,False,False,,,False,True,,,,True,,False
12031,1343,1844.0,6846.1,1935.4,1707.9,1844.0,2128.0,,,,,,1804.0,,1869.6,1503.1,1624.0,,1460.5,1947.7,1375.0,,,1620.0,,2248.1,501.0,5503.1,592.4,364.9,501.0,785.0,,,,,,461.0,,526.6,160.1,281.0,,117.5,604.7,32.0,,,277.0,,905.1,False,False,True,False,False,,,,,,True,,False,True,True,,True,False,True,,,True,,False
12033,908,1389.0,1329.2,1300.8,963.3,1301.0,1801.0,,,,,,1017.1,,1692.8,1281.4,1252.0,,918.4,1469.9,1356.0,,,1203.0,,2526.7,481.0,421.2,392.8,55.3,393.0,893.0,,,,,,109.1,,784.8,373.4,344.0,,10.4,561.9,448.0,,,295.0,,1618.7,True,True,True,True,False,,,,,,True,,False,True,True,,True,False,True,,,True,,False
12035,102,133.0,169.1,136.9,,126.0,118.0,,,,,,189.6,,129.2,126.3,115.0,,92.3,125.2,,,,126.0,,204.9,31.0,67.1,34.9,,24.0,16.0,,,,,,87.6,,27.2,24.3,13.0,,-9.7,23.2,,,,24.0,,102.9,False,False,,True,True,,,,,,False,,True,True,True,,True,True,,,,True,,False
12037,66,282.0,,290.1,,257.0,258.0,,,,,,42.0,,452.3,163.0,,,0.0,256.3,,,,174.0,,476.5,216.0,,224.1,,191.0,192.0,,,,,,-24.0,,386.3,97.0,,,-66.0,190.3,,,,108.0,,410.5,,False,,True,True,,,,,,True,,False,True,,,True,True,,,,True,,False
12039,157,429.0,,433.3,,421.0,413.0,,,,,,220.7,,304.8,258.1,274.0,,583.1,437.2,,,,219.0,,636.0,272.0,,276.3,,264.0,256.0,,,,,,63.7,,147.8,101.1,117.0,,426.1,280.2,,,,62.0,,479.0,,False,,True,True,,,,,,True,,True,True,True,,False,False,,,,True,,False
12041,44,26.0,,21.9,,25.0,28.0,,,,,,38.0,,24.0,38.0,31.0,,11.7,26.6,,,,41.0,,77.3,-18.0,,-22.1,,-19.0,-16.0,,,,,,-6.0,,-20.0,-6.0,-13.0,,-32.4,-17.4,,,,-3.0,,33.3,,False,,False,True,,,,,,True,,False,True,True,,False,True,,,,True,,False
12043,18,10.0,,6.2,,8.0,17.0,,,,,,13.4,,1.6,10.3,14.0,,3.1,12.7,,,,5.0,,25.1,-8.0,,-11.8,,-10.0,-1.0,,,,,,-4.6,,-16.4,-7.7,-4.0,,-14.9,-5.3,,,,-13.0,,7.1,,False,,False,True,,,,,,True,,False,True,True,,False,True,,,,False,,True
12045,127,226.0,,228.3,,232.0,246.0,,,,,,94.6,,379.0,236.4,,,602.2,203.0,,,,57.0,,348.9,99.0,,101.3,,105.0,119.0,,,,,,-32.4,,252.0,109.4,,,475.2,76.0,,,,-70.0,,221.9,,False,,False,False,,,,,,True,,False,False,,,False,True,,,,True,,False
12047,17,43.0,,50.4,,33.0,30.0,,,,,,27.2,,13.8,22.3,34.0,,36.1,41.2,,,,30.0,,82.5,26.0,,33.4,,16.0,13.0,,,,,,10.2,,-3.2,5.3,17.0,,19.1,24.2,,,,13.0,,65.5,,False,,True,True,,,,,,True,,True,True,True,,True,True,,,,True,,False
12049,59,109.0,,110.9,,89.0,76.0,,,,,,66.1,,86.5,90.9,97.0,,80.6,99.1,,,,88.0,,199.8,50.0,,51.9,,30.0,17.0,,,,,,7.1,,27.5,31.9,38.0,,21.6,40.1,,,,29.0,,140.8,,False,,True,True,,,,,,True,,True,True,True,,True,True,,,,True,,False
12051,128,101.0,,102.4,,92.0,92.0,,,,,,76.4,,58.6,92.7,101.0,,74.0,111.5,,,,72.0,,197.5,-27.0,,-25.6,,-36.0,-36.0,,,,,,-51.6,,-69.4,-35.3,-27.0,,-54.0,-16.5,,,,-56.0,,69.5,,True,,False,False,,,,,,False,,False,False,False,,False,True,,,,False,,False
12053,225,268.0,422.7,265.0,,262.0,261.0,,,,,,295.4,,301.0,262.3,236.0,,215.5,253.8,260.0,,,249.0,,339.0,43.0,197.7,40.0,,37.0,36.0,,,,,,70.4,,76.0,37.3,11.0,,-9.5,28.8,35.0,,,24.0,,114.0,False,True,,True,True,,,,,,False,,False,True,True,,True,True,True,,,True,,False
12055,185,199.0,304.8,202.0,,182.0,163.0,,,,,,229.1,,169.0,182.1,149.0,,129.7,229.7,,,,169.0,,236.9,14.0,119.8,17.0,,-3.0,-22.0,,,,,,44.1,,-16.0,-2.9,-36.0,,-55.3,44.7,,,,-16.0,,51.9,False,False,,True,False,,,,,,False,,False,True,False,,False,False,,,,False,,False
12057,1772,2679.0,8428.5,2648.6,2254.3,2334.0,2585.0,,,,,,2380.0,,2414.1,2124.8,2172.0,,2249.4,2333.7,1844.0,,,2470.0,,2465.9,907.0,6656.5,876.6,482.3,562.0,813.0,,,,,,608.0,,642.1,352.8,400.0,,477.4,561.7,72.0,,,698.0,,693.9,False,True,True,True,True,,,,,,True,,True,True,True,,True,True,True,,,True,,True
12059,34,61.0,,64.1,,60.0,63.0,,,,,,59.6,,40.7,58.1,47.0,,69.7,57.1,,,,55.0,,87.7,27.0,,30.1,,26.0,29.0,,,,,,25.6,,6.7,24.1,13.0,,35.7,23.1,,,,21.0,,53.7,,False,,True,False,,,,,,True,,True,True,True,,False,True,,,,True,,False
12061,152,218.0,623.4,211.4,,189.0,163.0,,,,,,229.8,,192.1,212.1,182.0,,154.3,185.2,180.0,,,210.0,,310.6,66.0,471.4,59.4,,37.0,11.0,,,,,,77.8,,40.1,60.1,30.0,,2.3,33.2,28.0,,,58.0,,158.6,False,True,,True,True,,,,,,False,,True,True,True,,True,True,True,,,True,,False
12063,201,229.0,,258.6,,188.0,190.0,,,,,,213.6,,99.6,140.4,182.0,,218.2,186.4,,,,139.0,,317.8,28.0,,57.6,,-13.0,-11.0,,,,,,12.6,,-101.4,-60.6,-19.0,,17.2,-14.6,,,,-62.0,,116.8,,False,,True,True,,,,,,True,,False,False,True,,True,True,,,,False,,False
12065,19,111.0,,116.9,,109.0,193.0,,,,,,53.4,,20.2,65.3,82.0,,173.6,107.1,,,,154.0,,100.6,92.0,,97.9,,90.0,174.0,,,,,,34.4,,1.2,46.3,63.0,,154.6,88.1,,,,135.0,,81.6,,False,,True,False,,,,,,True,,True,True,True,,False,True,,,,False,,True
12067,802,23.0,,23.6,,22.0,22.0,,,,,,23.8,,35.6,36.4,,,18.8,20.0,,,,32.0,,41.8,-779.0,,-778.4,,-780.0,-780.0,,,,,,-778.2,,-766.4,-765.6,,,-783.2,-782.0,,,,-770.0,,-760.2,,True,,False,False,,,,,,True,,True,True,,,False,False,,,,True,,True
12069,514,461.0,952.5,434.5,381.1,446.0,423.0,,,,,,688.9,,523.2,461.8,437.0,,445.6,396.9,500.0,,,419.0,,856.5,-53.0,438.5,-79.5,-132.9,-68.0,-91.0,,,,,,174.9,,9.2,-52.2,-77.0,,-68.4,-117.1,-14.0,,,-95.0,,342.5,False,False,False,False,False,,,,,,False,,True,True,False,,False,False,True,,,False,,False
12071,874,880.0,3413.5,943.6,805.9,806.0,835.0,,,,,,909.0,,792.9,711.7,834.0,,687.9,877.7,598.0,,,752.0,,1139.3,6.0,2539.5,69.6,-68.1,-68.0,-39.0,,,,,,35.0,,-81.1,-162.3,-40.0,,-186.1,3.7,-276.0,,,-122.0,,265.3,False,False,False,False,False,,,,,,False,,False,False,False,,False,True,False,,,False,,False
12073,441,628.0,1202.3,629.9,,629.0,632.0,,,,,,694.7,,592.1,465.7,475.0,,641.6,634.0,620.0,,,623.0,,1153.3,187.0,761.3,188.9,,188.0,191.0,,,,,,253.7,,151.1,24.7,34.0,,200.6,193.0,179.0,,,182.0,,712.3,False,False,,False,False,,,,,,False,,True,True,True,,False,False,True,,,True,,False
12075,81,90.0,,87.8,,84.0,84.0,,,,,,98.5,,50.0,83.5,62.0,,76.4,99.3,,,,79.0,,121.9,9.0,,6.8,,3.0,3.0,,,,,,17.5,,-31.0,2.5,-19.0,,-4.6,18.3,,,,-2.0,,40.9,,True,,True,True,,,,,,False,,False,True,False,,True,False,,,,True,,False
12077,11,1.0,,0.0,,6.0,,,,,,,22.7,,1.5,21.4,,,58.6,5.6,,,,12.0,,66.5,-10.0,,-11.0,,-5.0,,,,,,,11.7,,-9.5,10.4,,,47.6,-5.4,,,,1.0,,55.5,,False,,True,,,,,,,False,,True,False,,,False,True,,,,True,,False
12079,54,82.0,,87.0,,74.0,73.0,,,,,,50.0,,31.2,46.7,45.0,,75.0,78.3,,,,66.0,,107.0,28.0,,33.0,,20.0,19.0,,,,,,-4.0,,-22.8,-7.3,-9.0,,21.0,24.3,,,,12.0,,53.0,,False,,True,True,,,,,,True,,True,True,True,,True,True,,,,True,,False
12081,536,544.0,1601.9,536.3,521.9,508.0,388.0,,,,,,610.5,,507.7,468.6,514.0,,390.1,536.5,378.0,,,477.0,,708.2,8.0,1065.9,0.3,-14.1,-28.0,-148.0,,,,,,74.5,,-28.3,-67.4,-22.0,,-145.9,0.5,-158.0,,,-59.0,,172.2,False,True,False,False,False,,,,,,False,,False,False,False,,False,True,False,,,False,,False
12083,901,1191.0,1197.5,1033.6,1190.3,1191.0,952.0,,,,,,1518.2,,1610.8,1408.0,1113.0,,1238.0,1069.0,1336.0,,,994.0,,1874.3,290.0,296.5,132.6,289.3,290.0,51.0,,,,,,617.2,,709.8,507.0,212.0,,337.0,168.0,435.0,,,93.0,,973.3,False,True,True,False,True,,,,,,False,,False,False,True,,False,True,False,,,True,,False
12085,111,176.0,593.9,179.2,,175.0,161.0,,,,,,135.1,,175.3,173.9,203.0,,180.8,165.8,161.0,,,164.0,,374.7,65.0,482.9,68.2,,64.0,50.0,,,,,,24.1,,64.3,62.9,92.0,,69.8,54.8,50.0,,,53.0,,263.7,False,False,,True,True,,,,,,True,,True,True,False,,False,True,True,,,True,,False
12086,13190,10010.0,20261.7,10278.9,9284.7,9285.0,7503.0,,,,,,9564.6,,9706.8,8186.0,8908.0,,7844.3,11418.0,7953.0,,,3026.0,,12251.7,-3180.0,7071.7,-2911.1,-3905.3,-3905.0,-5687.0,,,,,,-3625.4,,-3483.2,-5004.0,-4282.0,,-5345.7,-1772.0,-5237.0,,,-10164.0,,-938.3,False,True,False,False,False,,,,,,False,,False,False,False,,False,True,False,,,False,,True
12087,108,189.0,385.4,183.3,,157.0,157.0,,,,,,180.7,,147.7,137.5,136.0,,127.2,178.9,,,,166.0,,319.8,81.0,277.4,75.3,,49.0,49.0,,,,,,72.7,,39.7,29.5,28.0,,19.2,70.9,,,,58.0,,211.8,False,True,,True,True,,,,,,True,,True,True,True,,True,True,,,,True,,False
12089,97,140.0,265.1,148.3,,114.0,111.0,,,,,,162.2,,106.9,113.6,107.0,,114.2,126.0,,,,131.0,,223.5,43.0,168.1,51.3,,17.0,14.0,,,,,,65.2,,9.9,16.6,10.0,,17.2,29.0,,,,34.0,,126.5,False,False,,True,True,,,,,,False,,True,True,True,,True,True,,,,True,,False
12091,248,598.0,806.2,626.9,,581.0,612.0,,,,,,510.5,,527.5,454.9,426.0,,895.4,582.1,517.0,,,586.0,,817.3,350.0,558.2,378.9,,333.0,364.0,,,,,,262.5,,279.5,206.9,178.0,,647.4,334.1,269.0,,,338.0,,569.3,False,False,,True,False,,,,,,True,,True,True,True,,False,True,True,,,True,,False
12093,98,107.0,,111.5,,100.0,94.0,,,,,,96.8,,61.5,83.2,79.0,,112.0,109.9,,,,93.0,,143.8,9.0,,13.5,,2.0,-4.0,,,,,,-1.2,,-36.5,-14.8,-19.0,,14.0,11.9,,,,-5.0,,45.8,,False,,True,True,,,,,,True,,False,False,False,,False,False,,,,True,,False
12095,1785,1929.0,6613.0,1901.5,1862.3,1884.0,1757.0,,,,,,2796.7,,2108.8,1683.5,1912.0,,1884.0,1600.8,1613.0,,,1762.0,,2203.7,144.0,4828.0,116.5,77.3,99.0,-28.0,,,,,,1011.7,,323.8,-101.5,127.0,,99.0,-184.2,-172.0,,,-23.0,,418.7,False,True,True,True,True,,,,,,False,,False,True,True,,True,False,False,,,True,,False
12097,660,919.0,2260.4,955.5,930.9,915.0,750.0,,,,,,797.8,,915.3,766.2,776.0,,695.9,1004.6,695.0,,,790.0,,1048.6,259.0,1600.4,295.5,270.9,255.0,90.0,,,,,,137.8,,255.3,106.2,116.0,,35.9,344.6,35.0,,,130.0,,388.6,False,False,False,True,True,,,,,,True,,True,True,True,,True,False,True,,,True,,False
12099,2302,2746.0,5615.7,2726.4,2507.1,2507.0,2402.0,,,,,,2754.7,,2842.5,2463.2,2512.0,,2035.2,3215.8,2294.0,,,2449.0,,3037.6,444.0,3313.7,424.4,205.1,205.0,100.0,,,,,,452.7,,540.5,161.2,210.0,,-266.8,913.8,-8.0,,,147.0,,735.6,False,True,True,True,True,,,,,,False,,False,True,True,,True,False,True,,,True,,False
12101,424,588.0,1428.7,585.3,594.6,583.0,583.0,,,,,,1001.7,,613.2,552.0,529.0,,581.0,555.7,514.0,,,537.0,,796.8,164.0,1004.7,161.3,170.6,159.0,159.0,,,,,,577.7,,189.2,128.0,105.0,,157.0,131.7,90.0,,,113.0,,372.8,False,True,False,True,True,,,,,,False,,False,True,True,,True,True,True,,,True,,False
12103,935,1121.0,2248.3,1125.7,1051.2,1051.0,974.0,,,,,,1247.8,,1110.2,1061.6,1058.0,,978.1,919.9,840.0,,,1054.0,,1271.4,186.0,1313.3,190.7,116.2,116.0,39.0,,,,,,312.8,,175.2,126.6,123.0,,43.1,-15.1,-95.0,,,119.0,,336.4,False,False,True,True,True,,,,,,False,,True,True,True,,True,True,True,,,True,,False
12105,1188,1389.0,2459.1,1353.8,1037.6,1249.0,1309.0,,,,,,1281.3,,1434.6,1184.5,1129.0,,973.3,1248.9,1035.0,,,1298.0,,1810.4,201.0,1271.1,165.8,-150.4,61.0,121.0,,,,,,93.3,,246.6,-3.5,-59.0,,-214.7,60.9,-153.0,,,110.0,,622.4,False,True,True,True,True,,,,,,True,,False,True,True,,False,True,True,,,True,,False
12107,121,164.0,273.9,177.0,,164.0,164.0,,,,,,172.1,,127.0,138.3,126.0,,162.0,170.9,,,,146.0,,210.4,43.0,152.9,56.0,,43.0,43.0,,,,,,51.1,,6.0,17.3,5.0,,41.0,49.9,,,,25.0,,89.4,False,False,,False,False,,,,,,False,,True,True,True,,True,False,,,,True,,False
12109,355,329.0,808.7,342.7,,287.0,288.0,,,,,,345.1,,269.1,285.3,269.0,,216.9,322.5,221.0,,,288.0,,416.0,-26.0,453.7,-12.3,,-68.0,-67.0,,,,,,-9.9,,-85.9,-69.7,-86.0,,-138.1,-32.5,-134.0,,,-67.0,,61.0,False,True,,False,False,,,,,,True,,False,False,False,,False,False,False,,,False,,False
12111,497,589.0,1356.2,592.7,576.1,586.0,496.0,,,,,,596.2,,556.4,524.0,491.0,,623.9,581.6,586.0,,,532.0,,816.5,92.0,859.2,95.7,79.1,89.0,-1.0,,,,,,99.2,,59.4,27.0,-6.0,,126.9,84.6,89.0,,,35.0,,319.5,False,False,True,True,True,,,,,,False,,True,True,True,,False,True,True,,,True,,False
12113,316,458.0,688.6,414.5,,451.0,316.0,,,,,,405.7,,522.1,498.9,422.0,,444.5,403.4,538.0,,,312.0,,758.6,142.0,372.6,98.5,,135.0,0.0,,,,,,89.7,,206.1,182.9,106.0,,128.5,87.4,222.0,,,-4.0,,442.6,False,True,,True,True,,,,,,True,,False,False,True,,True,True,False,,,True,,False
