,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01115,1029,714.0,,3572.0,,,,484.0,1167.8,2178.3,,,,-315.0,,2543.0,,,,-545.0,138.8,1149.3,,,,,False,,,,False,True,False,,,
01117,2239,1710.0,,4543.0,,,,2613.0,2333.3,4759.0,3035.1,,,-529.0,,2304.0,,,,374.0,94.3,2520.0,796.1,,,,False,,,,True,True,False,False,,
01119,94,60.0,,0.0,,,,249.0,5.6,70.2,,,,-34.0,,-94.0,,,,155.0,-88.4,-23.8,,,,,False,,,,False,False,True,,,
01121,819,498.0,,2543.0,,,,1086.0,330.0,1862.5,470.8,,,-321.0,,1724.0,,,,267.0,-489.0,1043.5,-348.2,,,,False,,,,True,False,False,False,,
01123,300,294.0,,744.0,,,,415.0,137.9,349.2,,,,-6.0,,444.0,,,,115.0,-162.1,49.2,,,,,False,,,,False,False,False,,,
01125,2185,2322.0,,5196.0,,,,4080.0,2637.9,4773.8,1514.0,,,137.0,,3011.0,,,,1895.0,452.9,2588.8,-671.0,,,,False,,,,False,False,False,False,,
01127,685,804.0,,1617.0,,,,1498.0,320.5,1414.5,949.2,,,119.0,,932.0,,,,813.0,-364.5,729.5,264.2,,,,False,,,,False,False,False,False,,
01129,359,42.0,,95.0,,,,161.0,6.5,111.8,,,,-317.0,,-264.0,,,,-198.0,-352.5,-247.2,,,,,True,,,,True,False,True,,,
01131,158,114.0,,0.0,,,,133.0,17.3,241.7,,,,-44.0,,-158.0,,,,-25.0,-140.7,83.7,,,,,False,,,,True,False,False,,,
01133,211,228.0,,428.0,,,,253.0,144.2,601.7,,,,17.0,,217.0,,,,42.0,-66.8,390.7,,,,,False,,,,False,False,False,,,
02013,2,0.0,,0.0,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,False,,,,,,,,,
02016,85,0.0,,0.0,,,,,,,,,,-85.0,,-85.0,,,,,,,,,,,False,,,,,,,,,
02020,1990,774.0,,4787.0,,,,,657.1,2042.6,900.0,,,-1216.0,,2797.0,,,,,-1332.9,52.6,-1090.0,,,,False,,,,,False,True,True,,
02050,18,12.0,,0.0,,,,,1.2,,,,,-6.0,,-18.0,,,,,-16.8,,,,,,False,,,,,False,,,,
02060,0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,True,,,,,,,,,
02068,3,0.0,,0.0,,,,,,,,,,-3.0,,-3.0,,,,,,,,,,,False,,,,,,,,,
02070,2,0.0,,0.0,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,False,,,,,,,,,
02090,344,180.0,,3.0,,,,,128.6,249.3,,,,-164.0,,-341.0,,,,,-215.4,-94.7,,,,,False,,,,,False,True,,,
02100,2,0.0,,0.0,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,False,,,,,,,,,
02105,0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,True,,,,,,,,,
02110,172,12.0,,0.0,,,,,9.8,,,,,-160.0,,-172.0,,,,,-162.2,,,,,,False,,,,,False,,,,
02122,350,180.0,,0.0,,,,,18.1,683.0,,,,-170.0,,-350.0,,,,,-331.9,333.0,,,,,False,,,,,False,False,,,
02130,25,6.0,,0.0,,,,,2.3,,,,,-19.0,,-25.0,,,,,-22.7,,,,,,False,,,,,False,,,,
02150,42,6.0,,0.0,,,,,0.2,,,,,-36.0,,-42.0,,,,,-41.8,,,,,,False,,,,,False,,,,
02158,7,6.0,,0.0,,,,,,,,,,-1.0,,-7.0,,,,,,,,,,,False,,,,,,,,,
02164,25,0.0,,0.0,,,,,,,,,,-25.0,,-25.0,,,,,,,,,,,False,,,,,,,,,
02170,270,258.0,,0.0,,,,,501.4,644.1,,,,-12.0,,-270.0,,,,,231.4,374.1,,,,,False,,,,,False,False,,,
02180,14,18.0,,0.0,,,,,0.5,,,,,4.0,,-14.0,,,,,-13.5,,,,,,False,,,,,False,,,,
