,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,4820,4559.1,4792.0,4558.8,4573.0,4569.0,4633.0,4760.0,4609.9,4834.0,4566.0,4559.8,4807.4,4725.2,,4508.0,4607.6,4666.9,4625.0,4677.9,4759.6,4660.0,4685.1,4556.0,4589.0,4585.8,,4527.1,4643.6,4362.0,,4498.3,4718.7,4649.0,4390.1,4735.0,4569.9,,4519.6,4606.1,4715.0,4542.5,5204.7,4706.0,4695.0,4399.0,4633.0,-260.9,-28.0,-261.2,-247.0,-251.0,-187.0,-60.0,-210.1,14.0,-254.0,-260.2,-12.6,-94.8,,-312.0,-212.4,-153.1,-195.0,-142.1,-60.4,-160.0,-134.9,-264.0,-231.0,-234.2,,-292.9,-176.4,-458.0,,-321.7,-101.3,-171.0,-429.9,-85.0,-250.1,,-300.4,-213.9,-105.0,-277.5,384.7,-114.0,-125.0,-421.0,-187.0,True,False,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,False,True,True,False,True,True,,False,True,True,False,False,True,True,False,True
Massachusetts,10953,10843.3,10991.8,10788.4,10766.0,10786.3,10904.0,11071.0,10949.7,11564.0,11139.0,10869.4,11252.5,10973.8,,10929.0,11094.7,11460.1,10828.0,10805.8,11490.9,10907.0,10988.1,10676.0,10884.5,10925.1,,10622.7,10925.1,10630.5,,10726.5,10727.8,10837.0,11802.8,11214.0,10683.9,,10803.1,10900.9,11224.0,10580.8,12723.7,11074.0,10884.0,10535.7,10692.0,-109.7,38.8,-164.6,-187.0,-166.7,-49.0,118.0,-3.3,611.0,186.0,-83.6,299.5,20.8,,-24.0,141.7,507.1,-125.0,-147.2,537.9,-46.0,35.1,-277.0,-68.5,-27.9,,-330.3,-27.9,-322.5,,-226.5,-225.2,-116.0,849.8,261.0,-269.1,,-149.9,-52.1,271.0,-372.2,1770.7,121.0,-69.0,-417.3,-261.0,True,False,False,False,True,False,True,False,False,True,False,True,,True,False,False,False,False,False,True,True,False,True,True,,False,True,False,,False,False,False,False,False,False,,False,True,False,False,False,False,True,False,False
Michigan,10321,9607.4,10811.6,9720.5,9685.0,9668.8,10060.0,10133.0,9826.1,11188.0,10802.0,9132.9,10429.9,10255.3,,9571.0,10021.2,10399.5,9795.0,9875.8,10718.6,10858.5,9975.7,9254.0,10059.5,9818.7,9470.0,8873.3,9696.6,9107.5,,9031.8,10128.5,10431.0,11031.7,9210.0,9560.1,,9596.6,10099.4,11180.0,11194.5,14188.1,10712.0,9642.0,8518.0,9991.0,-713.6,490.6,-600.5,-636.0,-652.2,-261.0,-188.0,-494.9,867.0,481.0,-1188.1,108.9,-65.7,,-750.0,-299.8,78.5,-526.0,-445.2,397.6,537.5,-345.3,-1067.0,-261.5,-502.3,-851.0,-1447.7,-624.4,-1213.5,,-1289.2,-192.5,110.0,710.7,-1111.0,-760.9,,-724.4,-221.6,859.0,873.5,3867.1,391.0,-679.0,-1803.0,-330.0,True,True,True,True,True,True,True,False,True,False,True,True,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,,False,True,True,True,False,False,,False,True,False,False,False,True,True,False,True
Minnesota,3979,3678.1,4580.4,3699.7,3888.0,3683.0,3980.0,4220.0,3897.4,5348.0,4154.0,3794.2,,4679.2,,3825.0,3994.6,4508.0,3902.0,3906.5,4270.7,4394.0,4242.5,3656.0,3767.3,3898.6,3372.0,3318.5,4048.8,3744.0,,3589.3,3868.2,4411.0,3056.8,4731.0,3638.9,,3761.7,3785.2,4359.0,3712.7,5233.9,4420.0,4096.0,3077.4,3966.0,-300.9,601.4,-279.3,-91.0,-296.0,1.0,241.0,-81.6,1369.0,175.0,-184.8,,700.2,,-154.0,15.6,529.0,-77.0,-72.5,291.7,415.0,263.5,-323.0,-211.7,-80.4,-607.0,-660.5,69.8,-235.0,,-389.7,-110.8,432.0,-922.2,752.0,-340.1,,-217.3,-193.8,380.0,-266.3,1254.9,441.0,117.0,-901.6,-13.0,False,True,True,True,True,True,True,False,True,True,,False,,True,True,False,True,True,True,False,True,False,True,True,False,False,True,True,,False,True,False,False,False,False,,True,True,False,True,False,False,True,False,True
Mississippi,3949,3828.7,3909.5,3864.6,3830.0,3861.2,3868.0,3673.0,3837.3,3891.0,3705.0,3798.9,3819.8,3844.7,,3897.0,3905.2,3816.3,3945.0,3770.1,3904.9,3902.0,3890.6,3851.0,3866.7,3871.9,,3901.4,3925.1,3799.0,,3846.2,3826.2,3943.0,3927.0,3917.0,3863.2,,3820.8,3881.2,3974.0,3842.8,4115.7,3911.0,3802.0,3730.0,3870.0,-120.3,-39.5,-84.4,-119.0,-87.8,-81.0,-276.0,-111.7,-58.0,-244.0,-150.1,-129.2,-104.3,,-52.0,-43.8,-132.7,-4.0,-178.9,-44.1,-47.0,-58.4,-98.0,-82.3,-77.1,,-47.6,-23.9,-150.0,,-102.8,-122.8,-6.0,-22.0,-32.0,-85.8,,-128.2,-67.8,25.0,-106.2,166.7,-38.0,-147.0,-219.0,-79.0,True,True,True,True,True,False,True,True,False,False,False,True,,True,True,False,True,False,True,True,True,True,True,True,,True,True,False,,True,False,True,True,True,True,,False,True,True,True,False,True,False,False,True
Missouri,4276,4021.3,4453.9,4050.7,4193.0,4061.9,4156.0,4632.0,4097.8,4893.0,3953.0,3887.4,,4100.7,,4189.0,4261.3,4222.5,4099.0,4190.2,4562.4,3897.5,4106.5,4085.0,4104.6,3974.2,,4634.5,4370.7,4097.0,,3731.1,3521.4,4070.0,4087.0,4320.0,3628.9,,4314.3,4158.0,4306.0,3905.6,4644.2,4479.0,3788.0,3427.6,4112.0,-261.7,170.9,-232.3,-90.0,-221.1,-127.0,349.0,-185.2,610.0,-330.0,-395.6,,-182.3,,-94.0,-21.7,-60.5,-184.0,-92.8,279.4,-385.5,-176.5,-198.0,-178.4,-308.8,,351.5,87.7,-186.0,,-551.9,-761.6,-213.0,-196.0,37.0,-654.1,,31.3,-125.0,23.0,-377.4,361.2,196.0,-495.0,-855.4,-171.0,True,True,True,True,True,False,True,False,False,False,,True,,True,True,True,True,True,False,False,True,True,True,False,,False,True,True,,False,False,True,True,True,False,,True,True,True,False,False,True,False,False,True
Montana,734,702.9,701.1,705.7,712.0,721.0,757.0,738.0,716.5,779.0,749.0,658.9,875.5,792.1,,782.0,832.6,672.7,825.0,727.8,837.3,758.0,739.9,792.0,827.9,756.5,,611.5,793.8,748.0,,,719.1,815.0,961.9,812.0,603.5,,821.7,842.6,856.0,699.6,788.2,795.0,670.0,618.0,756.0,-31.1,-32.9,-28.3,-22.0,-13.0,23.0,4.0,-17.5,45.0,15.0,-75.1,141.5,58.1,,48.0,98.6,-61.3,91.0,-6.2,103.3,24.0,5.9,58.0,93.9,22.5,,-122.5,59.8,14.0,,,-14.9,81.0,227.9,78.0,-130.5,,87.7,108.6,122.0,-34.4,54.2,61.0,-64.0,-116.0,22.0,False,True,True,True,True,True,True,False,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,,False,False,True,,,True,False,False,False,False,,False,False,False,False,False,False,False,False,True
Nebraska,1194,996.1,1262.0,1008.6,1045.0,1007.0,1082.0,1154.0,1078.9,1317.0,1062.0,1024.1,1128.8,1109.4,,1085.0,1148.5,1086.6,1162.0,1077.4,1195.5,922.0,1092.0,1179.0,1067.6,1034.5,,910.7,1091.6,997.0,,,1138.8,1193.0,1061.8,1063.0,828.8,,1046.8,1082.0,1118.0,898.7,1182.4,1145.0,964.0,845.6,1023.0,-197.9,68.0,-185.4,-149.0,-187.0,-112.0,-40.0,-115.1,123.0,-132.0,-169.9,-65.2,-84.6,,-109.0,-45.5,-107.4,-32.0,-116.6,1.5,-272.0,-102.0,-15.0,-126.4,-159.5,,-283.3,-102.4,-197.0,,,-55.2,-1.0,-132.2,-131.0,-365.2,,-147.2,-112.0,-76.0,-295.3,-11.6,-49.0,-230.0,-348.4,-171.0,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,,False,True,True,,,True,True,True,True,False,,True,True,True,False,True,True,False,False,True
Nevada,2301,2074.7,2145.8,2074.8,2092.0,2082.1,2149.0,2230.0,2171.2,2236.0,2017.0,2021.8,2143.9,2201.9,,2087.0,2126.0,2149.9,2155.0,2204.1,2204.1,2142.0,2194.0,2086.0,2149.2,2162.7,,2231.3,2148.9,2370.0,,2240.6,2110.2,2176.0,1950.8,2193.0,2078.9,,2141.6,2164.5,2209.0,2084.1,2377.3,2185.0,2085.0,2013.7,2082.0,-226.3,-155.2,-226.2,-209.0,-218.9,-152.0,-71.0,-129.8,-65.0,-284.0,-279.2,-157.1,-99.1,,-214.0,-175.0,-151.1,-146.0,-96.9,-96.9,-159.0,-107.0,-215.0,-151.8,-138.3,,-69.7,-152.1,69.0,,-60.4,-190.8,-125.0,-350.2,-108.0,-222.1,,-159.4,-136.5,-92.0,-216.9,76.3,-116.0,-216.0,-287.3,-219.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,True
New Hampshire,559,527.6,572.5,529.7,539.0,529.0,556.0,573.0,551.5,559.0,567.0,565.0,618.2,582.1,,558.0,548.9,590.8,555.0,582.2,579.4,561.0,542.5,549.0,536.9,541.4,,537.2,546.2,549.0,,,535.4,589.0,577.6,563.0,529.9,,532.9,553.7,593.0,516.6,742.9,556.0,524.0,509.5,524.0,-31.4,13.5,-29.3,-20.0,-30.0,-3.0,14.0,-7.5,0.0,8.0,6.0,59.2,23.1,,-1.0,-10.1,31.8,-4.0,23.2,20.4,2.0,-16.5,-10.0,-22.1,-17.6,,-21.8,-12.8,-10.0,,,-23.6,30.0,18.6,4.0,-29.1,,-26.1,-5.3,34.0,-42.4,183.9,-3.0,-35.0,-49.5,-35.0,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,,,True,True,True,True,True,,True,True,False,False,False,True,False,False,False
New Jersey,17306,16957.4,17163.0,16897.9,16950.0,16929.2,17087.0,17331.0,17134.4,17274.0,17270.0,16954.0,17695.4,17097.9,,16925.0,16991.9,17597.8,17071.0,17318.9,17229.3,17213.0,17247.6,16941.0,17017.9,17030.7,,16942.0,17001.2,16600.0,,16752.0,17106.4,17100.0,17101.9,16945.0,16909.1,,16976.1,17033.9,17438.0,17094.8,20746.1,17156.0,17303.0,16638.0,17217.0,-348.6,-143.0,-408.1,-356.0,-376.8,-219.0,25.0,-171.6,-32.0,-36.0,-352.0,389.4,-208.1,,-381.0,-314.1,291.8,-235.0,12.9,-76.7,-93.0,-58.4,-365.0,-288.1,-275.3,,-364.0,-304.8,-706.0,,-554.0,-199.6,-206.0,-204.1,-361.0,-396.9,,-329.9,-272.1,132.0,-211.2,3440.1,-150.0,-3.0,-668.0,-89.0,True,False,False,False,True,True,True,True,True,False,False,True,,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,False,True,True,True,False,False,,True,True,True,True,False,True,True,False,True
New Mexico,1738,1492.1,1581.7,1514.5,1536.0,1520.0,1609.0,1574.0,1579.1,1758.0,1324.0,1512.3,1629.7,1670.3,,1527.0,1682.1,1655.6,1564.0,1516.9,1763.9,1627.0,1565.5,1469.0,1565.5,1597.6,,1440.0,1623.5,1654.0,,,1546.3,1625.0,4876.5,1673.0,1457.7,,1447.5,1581.7,1592.0,1626.6,1876.3,1649.0,1644.5,1291.0,1685.0,-245.9,-156.3,-223.5,-202.0,-218.0,-129.0,-164.0,-158.9,20.0,-414.0,-225.7,-108.3,-67.7,,-211.0,-55.9,-82.4,-174.0,-221.1,25.9,-111.0,-172.5,-269.0,-172.5,-140.4,,-298.0,-114.5,-84.0,,,-191.7,-113.0,3138.5,-65.0,-280.3,,-290.5,-156.3,-146.0,-111.4,138.3,-89.0,-93.5,-447.0,-53.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,False,True,True,,,True,True,False,True,False,,False,True,True,True,True,True,True,False,True
New York,34939,34400.6,34470.7,34372.9,34474.0,34419.1,34633.0,34792.0,34735.7,35381.0,34752.0,34484.4,35242.3,34768.6,,34626.0,34533.5,36143.2,34494.0,35209.5,34930.9,34975.0,34785.7,34602.0,34459.7,34595.2,,34433.1,34613.1,33910.0,,34364.8,34140.7,34886.0,35437.2,34961.0,34244.4,,34639.2,34474.2,34940.0,34447.2,39041.4,34680.0,34449.0,33885.5,34162.0,-538.4,-468.3,-566.1,-465.0,-519.9,-306.0,-147.0,-203.3,442.0,-187.0,-454.6,303.3,-170.4,,-313.0,-405.5,1204.2,-445.0,270.5,-8.1,36.0,-153.3,-337.0,-479.3,-343.8,,-505.9,-325.9,-1029.0,,-574.2,-798.3,-53.0,498.2,22.0,-694.6,,-299.8,-464.8,1.0,-491.8,4102.4,-259.0,-490.0,-1053.5,-777.0,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,False,True,True,True,False,,True,True,True,True,False,True,True,False,False
North Carolina,5516,5374.6,5187.3,5194.5,5235.0,5209.6,5355.0,5326.0,5364.0,5358.0,5282.0,5471.4,5339.2,5355.0,,5260.0,5513.7,5313.0,5513.0,5572.5,5504.3,5287.0,5411.2,5445.0,5366.5,5423.8,,5224.9,5340.2,5692.0,,5412.6,5254.2,5538.0,5001.1,5496.0,5209.2,,5513.9,5363.3,5538.0,5276.3,5604.6,5296.0,5429.0,5153.0,5144.0,-141.4,-328.7,-321.5,-281.0,-306.4,-161.0,-190.0,-152.0,-158.0,-234.0,-44.6,-176.8,-161.0,,-256.0,-2.3,-203.0,-3.0,56.5,-11.7,-229.0,-104.8,-71.0,-149.5,-92.2,,-291.1,-175.8,176.0,,-103.4,-261.8,22.0,-514.9,-20.0,-306.8,,-2.1,-152.7,22.0,-239.7,88.6,-220.0,-87.0,-363.0,-372.0,False,False,False,False,False,False,False,False,False,True,False,False,,False,True,False,True,True,True,False,True,True,False,True,,False,False,False,,True,False,True,False,True,False,,True,False,True,False,True,False,True,False,False
North Dakota,1013,1013.1,1065.0,1006.2,1002.0,1020.0,1074.0,1016.0,1042.0,1208.0,1074.0,1086.9,1140.3,1209.2,,1104.0,1134.8,944.2,1115.0,891.9,1237.5,1012.0,1067.4,1037.0,1086.5,1113.6,,1094.6,1140.8,1042.0,,,1052.2,1231.0,933.4,1071.0,939.9,,1100.8,1102.6,1118.0,992.8,1061.1,1150.0,1000.0,866.5,1056.0,0.1,52.0,-6.8,-11.0,7.0,61.0,3.0,29.0,195.0,61.0,73.9,127.3,196.2,,91.0,121.8,-68.8,102.0,-121.1,224.5,-1.0,54.4,24.0,73.5,100.6,,81.6,127.8,29.0,,,39.2,218.0,-79.6,58.0,-73.1,,87.8,89.6,105.0,-20.2,48.1,137.0,-13.0,-146.5,43.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Ohio,6946,6307.7,6747.5,6374.9,6587.0,6337.6,6636.0,7548.0,6736.0,7258.0,6206.0,6243.9,6517.9,6869.1,,6636.0,6628.2,7196.2,6729.0,7458.9,6961.1,7251.0,6963.2,6525.0,6624.5,6616.0,7026.0,9261.6,6673.9,6330.0,,6217.0,6438.1,6822.0,8543.9,6917.0,6093.4,,6276.3,6639.7,7162.0,6264.3,9166.1,6743.0,6464.0,6008.1,6566.0,-638.3,-198.5,-571.1,-359.0,-608.4,-310.0,602.0,-210.0,312.0,-740.0,-702.1,-428.1,-76.9,,-310.0,-317.8,250.2,-217.0,512.9,15.1,305.0,17.2,-421.0,-321.5,-330.0,80.0,2315.6,-272.1,-616.0,,-729.0,-507.9,-124.0,1597.9,-29.0,-852.6,,-669.7,-306.3,216.0,-681.7,2220.1,-203.0,-482.0,-937.9,-380.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,True,False,True,False,,False,True,True,False,False,True,True,False,True
Oklahoma,1874,1785.1,1871.5,1777.7,1809.0,1777.0,1870.0,1991.0,1869.4,2124.0,1784.0,1757.7,1833.4,1938.0,,1827.0,1944.1,2002.7,1986.0,1929.2,1991.8,1993.0,1960.9,1903.0,1794.5,1850.8,,1654.0,1880.9,1730.0,,,1771.7,1912.0,1707.6,2055.0,1727.3,,1883.2,1811.3,2060.0,1782.6,2044.8,1871.0,1785.0,1655.9,1780.0,-88.9,-2.5,-96.3,-65.0,-97.0,-4.0,117.0,-4.6,250.0,-90.0,-116.3,-40.6,64.0,,-47.0,70.1,128.7,112.0,55.2,117.8,119.0,86.9,29.0,-79.5,-23.2,,-220.0,6.9,-144.0,,,-102.3,38.0,-166.4,181.0,-146.7,,9.2,-62.7,186.0,-91.4,170.8,-3.0,-89.0,-218.1,-94.0,True,False,True,False,True,False,True,False,False,False,True,True,,True,True,False,False,True,False,False,True,True,True,True,,False,True,False,,,False,True,False,False,False,,True,True,False,False,False,True,False,False,False
Oregon,1027,849.6,886.2,846.9,895.0,849.0,918.0,946.0,926.6,1097.0,857.0,840.1,912.7,923.8,,905.0,959.0,1012.8,937.0,1125.8,1027.5,947.0,892.1,955.0,934.5,893.2,,822.4,906.3,906.0,,,855.6,976.0,955.6,959.0,826.1,,917.6,950.0,968.0,860.2,1011.2,974.0,857.0,814.0,853.0,-177.4,-140.8,-180.1,-132.0,-178.0,-109.0,-81.0,-100.4,70.0,-170.0,-186.9,-114.3,-103.2,,-122.0,-68.0,-14.2,-90.0,98.8,0.5,-80.0,-134.9,-72.0,-92.5,-133.8,,-204.6,-120.7,-121.0,,,-171.4,-51.0,-71.4,-68.0,-200.9,,-109.4,-77.0,-59.0,-166.8,-15.8,-53.0,-170.0,-213.0,-174.0,True,False,True,False,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,True,True,True,False,,True,True,True,True,True,True,True,False,True
Pennsylvania,11191,10104.3,10790.9,10036.8,10079.0,10004.9,10233.0,10581.0,10281.2,10832.0,10482.0,10131.1,,10584.5,,10017.0,10272.0,11005.4,10218.0,10754.1,10861.5,10330.5,10459.1,9955.0,10220.7,10243.3,,10510.0,10165.4,10388.0,,9905.7,9855.4,10098.0,10318.1,10753.0,9927.7,,9767.9,10225.2,10757.0,9920.2,13126.7,10573.0,10113.5,9575.8,10126.0,-1086.7,-400.1,-1154.2,-1112.0,-1186.1,-958.0,-610.0,-909.8,-359.0,-709.0,-1059.9,,-606.5,,-1174.0,-919.0,-185.6,-973.0,-436.9,-329.5,-860.5,-731.9,-1236.0,-970.3,-947.7,,-681.0,-1025.6,-803.0,,-1285.3,-1335.6,-1093.0,-872.9,-438.0,-1263.3,,-1423.1,-965.8,-434.0,-1270.8,1935.7,-618.0,-1077.5,-1615.2,-1065.0,True,False,False,False,True,True,True,True,True,True,,True,,False,True,True,True,True,True,True,True,False,True,True,,True,True,True,,False,False,False,True,True,False,,False,True,True,False,False,True,True,False,True
Rhode Island,1413,1339.7,1365.1,1344.1,1355.0,1344.9,1371.0,1400.0,1325.7,1389.0,1427.0,1421.4,1425.9,1403.5,,1349.0,1397.1,1460.4,1342.0,1381.3,1427.1,1352.0,1364.0,1329.0,1359.4,1375.1,,1428.0,1371.0,1349.0,,,1307.4,1333.0,1717.1,1389.0,1329.2,,1364.0,1375.3,1451.0,1341.8,1631.3,1365.0,1325.0,1258.3,1337.0,-73.3,-47.9,-68.9,-58.0,-68.1,-42.0,-13.0,-87.3,-24.0,14.0,8.4,12.9,-9.5,,-64.0,-15.9,47.4,-71.0,-31.7,14.1,-61.0,-49.0,-84.0,-53.6,-37.9,,15.0,-42.0,-64.0,,,-105.6,-80.0,304.1,-24.0,-83.8,,-49.0,-37.7,38.0,-71.2,218.3,-48.0,-88.0,-154.7,-76.0,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,False,False,True,False,,True,True,True,True,False,True,False,False,False
South Carolina,4517,4329.1,4333.3,4374.4,4414.0,4395.1,4413.0,4449.0,4434.7,4578.0,4328.0,4341.5,4328.9,4408.0,,4369.5,4424.9,4391.7,4521.0,4449.3,4436.0,4262.0,4383.6,4446.0,4448.0,4311.5,,4351.4,4402.6,4401.0,,4389.1,4290.2,4560.0,4728.5,4438.0,4417.5,,4448.3,4462.7,4504.0,4433.7,4679.9,4431.0,4280.0,4336.8,4434.0,-187.9,-183.7,-142.6,-103.0,-121.9,-104.0,-68.0,-82.3,61.0,-189.0,-175.5,-188.1,-109.0,,-147.5,-92.1,-125.3,4.0,-67.7,-81.0,-255.0,-133.4,-71.0,-69.0,-205.5,,-165.6,-114.4,-116.0,,-127.9,-226.8,43.0,211.5,-79.0,-99.5,,-68.7,-54.3,-13.0,-83.3,162.9,-86.0,-237.0,-180.2,-83.0,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,False,True,True,True,False,,True,True,True,,True,False,True,False,True,True,,True,True,True,True,True,True,False,True,True
South Dakota,1091,952.6,1004.1,922.6,820.0,915.0,986.0,917.0,899.4,1005.0,883.0,1024.8,,985.5,,967.0,1028.2,878.4,1063.0,765.2,999.0,981.0,970.1,938.0,1052.1,1009.5,,1146.1,1021.5,939.0,,,1006.6,1023.0,705.9,1098.0,687.9,,969.5,1073.2,1017.0,943.0,971.7,979.0,1223.0,747.9,967.0,-138.4,-86.9,-168.4,-271.0,-176.0,-105.0,-174.0,-191.6,-86.0,-208.0,-66.2,,-105.5,,-124.0,-62.8,-212.6,-28.0,-325.8,-92.0,-110.0,-120.9,-153.0,-38.9,-81.5,,55.1,-69.5,-152.0,,,-84.4,-68.0,-385.1,7.0,-403.1,,-121.5,-17.8,-74.0,-148.0,-119.3,-112.0,132.0,-343.1,-124.0,True,False,False,False,True,False,False,True,False,True,,True,,True,True,False,True,False,True,True,True,False,True,True,,True,True,False,,,True,True,False,True,False,,True,True,True,False,True,True,True,False,True
Tennessee,4905,4744.4,5253.2,4719.8,4800.0,4738.2,4798.0,4718.0,4672.7,5039.0,4425.0,4555.2,4697.2,4919.2,,4819.0,4950.0,4742.0,4890.0,4635.1,5408.8,5053.0,4950.9,4559.0,4931.4,4802.3,,4404.6,4912.5,4838.0,,4722.5,5241.6,4948.0,4315.5,4905.0,4508.9,,4650.2,4942.0,4891.0,4627.1,4576.5,4956.0,4576.5,4205.2,4783.0,-160.6,348.2,-185.2,-105.0,-166.8,-107.0,-187.0,-232.3,134.0,-480.0,-349.8,-207.8,14.2,,-86.0,45.0,-163.0,-15.0,-269.9,503.8,148.0,45.9,-346.0,26.4,-102.7,,-500.4,7.5,-67.0,,-182.5,336.6,43.0,-589.5,0.0,-396.1,,-254.8,37.0,-14.0,-277.9,-328.5,51.0,-328.5,-699.8,-122.0,False,False,True,False,True,False,False,True,False,False,False,True,,True,True,False,True,False,False,True,True,False,True,True,,False,True,True,,False,False,True,False,True,False,,False,True,True,False,False,True,False,False,True
