,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1738,1695.0,1764.9,1635.8,1643.0,1634.0,1716.0,1681.0,1688.4,1680.0,1820.7,1704.0,1672.0,1733.2,1751.0,,1604.3,1570.0,1717.0,1713.9,1564.8,1701.0,1598.3,1807.7,1840.0,1811.4,1659.0,1693.2,1730.6,,1495.2,1795.8,1857.0,,,1716.3,1699.0,3324.0,1730.0,1621.0,,1681.3,1703.3,1702.8,1856.0,1812.1,1863.1,1732.0,1747.0,1449.1,1758.0,-43.0,26.9,-102.2,-95.0,-104.0,-22.0,-57.0,-49.6,-58.0,82.7,-34.0,-66.0,-4.8,13.0,,-133.7,-168.0,-21.0,-24.1,-173.2,-37.0,-139.7,69.7,102.0,73.4,-79.0,-44.8,-7.4,,-242.8,57.8,119.0,,,-21.7,-39.0,1586.0,-8.0,-117.0,,-56.7,-34.7,-35.2,118.0,74.1,125.1,-6.0,9.0,-288.9,20.0,True,False,False,False,True,False,False,False,False,True,False,True,True,,False,False,True,True,False,True,False,False,False,False,False,False,True,,False,False,False,,,True,True,False,True,False,,False,True,True,False,False,False,True,True,False,True
New York,34900,34852.0,35037.8,34833.1,34902.0,34870.3,34936.0,34848.0,34955.2,35143.0,34675.7,35090.0,34826.8,35237.5,34840.1,,34981.3,34572.0,34941.0,34750.9,34766.8,34924.0,35203.8,35060.9,34787.0,35071.9,34984.0,34858.9,34939.4,,34709.9,34990.3,34291.0,,34525.4,34437.9,35184.0,35637.1,34761.0,35212.8,,34665.3,34883.4,35006.1,34959.0,34606.2,38060.1,35053.0,34940.0,34271.8,35131.0,-48.0,137.8,-66.9,2.0,-29.7,36.0,-52.0,55.2,243.0,-224.3,190.0,-73.2,337.5,-59.9,,81.3,-328.0,41.0,-149.1,-133.2,24.0,303.8,160.9,-113.0,171.9,84.0,-41.1,39.4,,-190.1,90.3,-609.0,,-374.6,-462.1,284.0,737.1,-139.0,312.8,,-234.7,-16.6,106.1,59.0,-293.8,3160.1,153.0,40.0,-628.2,231.0,False,False,True,True,True,False,False,False,False,False,False,False,False,,False,False,True,False,False,True,False,False,False,False,False,True,True,,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,True,False,False
North Carolina,5516,5457.4,5630.7,5502.6,5587.0,5503.3,5530.0,5451.0,5499.3,5252.0,5653.6,5547.0,5697.9,5548.6,5476.8,,5804.1,5461.0,5512.0,5500.9,5395.9,5636.0,5583.8,5566.6,5437.0,5556.4,5553.0,5443.2,5530.0,,5317.0,5605.6,5599.0,,5352.6,5642.7,5461.0,5628.9,5497.0,5572.2,,5695.7,5449.3,5663.8,5564.0,5401.9,5580.0,5546.0,5473.5,5284.3,5545.0,-58.6,114.7,-13.4,71.0,-12.7,14.0,-65.0,-16.7,-264.0,137.6,31.0,181.9,32.6,-39.2,,288.1,-55.0,-4.0,-15.1,-120.1,120.0,67.8,50.6,-79.0,40.4,37.0,-72.8,14.0,,-199.0,89.6,83.0,,-163.4,126.7,-55.0,112.9,-19.0,56.2,,179.7,-66.7,147.8,48.0,-114.1,64.0,30.0,-42.5,-231.7,29.0,False,True,False,True,True,False,True,False,False,True,False,True,True,,False,True,True,True,False,False,False,True,False,True,True,False,True,,False,False,False,,False,False,True,False,True,True,,False,False,False,True,False,False,True,True,False,True
North Dakota,1013,1050.3,1031.4,1074.3,1090.0,1068.0,1073.0,1015.0,1066.1,978.0,1199.6,1053.0,1147.1,1090.5,1047.1,,1069.0,1086.0,1099.0,1124.4,984.6,1147.0,953.2,1119.9,996.0,1048.2,1092.0,1103.1,1087.5,,1267.7,1105.3,1073.0,,,1054.0,1140.0,1019.1,1050.0,1019.7,,1214.4,1113.4,1058.6,1063.0,1021.6,1079.0,1089.0,1013.0,941.1,1073.0,37.3,18.4,61.3,77.0,55.0,60.0,2.0,53.1,-35.0,186.6,40.0,134.1,77.5,34.1,,56.0,73.0,86.0,111.4,-28.4,134.0,-59.8,106.9,-17.0,35.2,79.0,90.1,74.5,,254.7,92.3,60.0,,,41.0,127.0,6.1,37.0,6.7,,201.4,100.4,45.6,50.0,8.6,66.0,76.0,0.0,-71.9,60.0,True,False,False,False,False,True,False,True,False,False,False,False,True,,False,False,False,False,True,False,False,False,True,True,False,False,False,,False,False,False,,,False,False,True,True,True,,False,False,False,False,True,False,False,True,False,False
Ohio,6946,6504.9,6710.0,6502.0,6696.0,6525.0,6712.0,7267.0,6806.0,6662.0,7089.7,6647.0,6520.6,6742.8,6845.9,,6633.6,6452.0,6779.0,6712.1,6562.2,6817.0,7210.9,6931.1,6631.0,6796.6,6913.0,6658.4,6875.1,7676.5,7836.2,6707.8,6249.0,,6357.0,6830.9,6816.0,8316.6,6555.0,6613.6,,6727.3,6667.2,6949.6,6816.0,6401.7,8660.0,6881.0,6675.5,6208.8,6738.0,-441.1,-236.0,-444.0,-250.0,-421.0,-234.0,321.0,-140.0,-284.0,143.7,-299.0,-425.4,-203.2,-100.1,,-312.4,-494.0,-167.0,-233.9,-383.8,-129.0,264.9,-14.9,-315.0,-149.4,-33.0,-287.6,-70.9,730.5,890.2,-238.2,-697.0,,-589.0,-115.1,-130.0,1370.6,-391.0,-332.4,,-218.7,-278.8,3.6,-130.0,-544.3,1714.0,-65.0,-270.5,-737.2,-208.0,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,,False,True,True,False,True,True,,True,True,True,True,False,False,True,True,False,True
Oklahoma,1874,1830.9,1959.6,1843.0,1879.0,1840.0,1908.0,1911.0,1928.2,1954.0,1980.2,1938.0,1902.2,1929.2,1899.9,,1830.9,1846.0,1902.0,1941.5,1916.8,1958.0,1922.9,1880.3,1792.0,1917.5,2019.0,1839.2,1911.4,,1736.6,1910.5,1895.0,,,2006.7,1942.0,1818.5,1869.0,1865.0,,2122.9,1850.2,2008.2,1921.0,1823.5,2033.3,1956.0,1800.0,1729.7,1865.0,-43.1,85.6,-31.0,5.0,-34.0,34.0,37.0,54.2,80.0,106.2,64.0,28.2,55.2,25.9,,-43.1,-28.0,28.0,67.5,42.8,84.0,48.9,6.3,-82.0,43.5,145.0,-34.8,37.4,,-137.4,36.5,21.0,,,132.7,68.0,-55.5,-5.0,-9.0,,248.9,-23.8,134.2,47.0,-50.5,159.3,82.0,-74.0,-144.3,-9.0,False,True,True,True,True,True,False,False,False,False,True,False,True,,True,True,True,False,True,False,False,True,False,False,False,True,True,,False,True,True,,,False,False,False,True,True,,False,True,False,False,False,False,False,False,False,True
Oregon,1027,929.6,993.8,940.2,951.0,939.0,967.0,942.0,972.2,952.0,991.7,985.0,907.0,969.5,964.8,,878.0,902.0,986.0,953.6,912.3,993.0,1079.7,989.0,917.0,969.7,1003.0,974.5,955.7,,839.1,980.9,918.0,,,1084.4,1005.0,967.5,956.0,966.0,,1024.7,984.8,995.4,981.0,913.9,1013.9,975.0,903.0,861.3,992.0,-97.4,-33.2,-86.8,-76.0,-88.0,-60.0,-85.0,-54.8,-75.0,-35.3,-42.0,-120.0,-57.5,-62.2,,-149.0,-125.0,-41.0,-73.4,-114.7,-34.0,52.7,-38.0,-110.0,-57.3,-24.0,-52.5,-71.3,,-187.9,-46.1,-109.0,,,57.4,-22.0,-59.5,-71.0,-61.0,,-2.3,-42.2,-31.6,-46.0,-113.1,-13.1,-52.0,-124.0,-165.7,-35.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,False,True,True,False,True,True,True,False,True,True,True,True,,False,True,False,,,True,True,True,True,True,,True,True,True,True,False,True,True,False,False,True
Pennsylvania,11191,10792.9,11352.9,10814.1,10825.0,10820.7,10936.0,10842.0,10746.6,10938.0,10717.5,10728.0,10798.1,,11038.2,,10583.3,10652.0,11259.0,10672.4,10563.1,11168.0,10914.1,11160.8,11653.0,11173.7,10704.0,10916.4,10942.1,,10678.5,10939.7,10489.0,,10482.3,11238.2,10974.0,10838.8,11148.0,10918.9,,10435.7,10957.9,10901.1,11038.0,11836.3,12834.1,11213.0,10940.0,10047.3,12066.0,-398.1,161.9,-376.9,-366.0,-370.3,-255.0,-349.0,-444.4,-253.0,-473.5,-463.0,-392.9,,-152.8,,-607.7,-539.0,68.0,-518.6,-627.9,-23.0,-276.9,-30.2,462.0,-17.3,-487.0,-274.6,-248.9,,-512.5,-251.3,-702.0,,-708.7,47.2,-217.0,-352.2,-43.0,-272.1,,-755.3,-233.1,-289.9,-153.0,645.3,1643.1,22.0,-251.0,-1143.7,875.0,True,True,True,True,True,True,False,True,False,False,True,,True,,False,False,True,False,False,True,True,True,False,True,False,True,True,,False,True,False,,False,True,True,True,True,True,,False,True,True,True,False,False,True,True,False,False
Rhode Island,1413,1368.3,1404.5,1375.7,1372.0,1374.0,1392.0,1412.0,1350.0,1364.0,1415.2,1411.0,1524.8,1394.5,1414.6,,1394.7,1359.0,1388.0,1392.3,1409.4,1368.0,1385.2,1410.3,1403.0,1396.1,1380.0,1385.6,1412.9,,1454.2,1397.0,1374.0,,,1353.6,1372.0,1717.1,1333.0,1374.5,,1441.1,1395.9,1390.6,1419.0,1362.3,1626.9,1392.0,1355.0,1282.9,1385.0,-44.7,-8.5,-37.3,-41.0,-39.0,-21.0,-1.0,-63.0,-49.0,2.2,-2.0,111.8,-18.5,1.6,,-18.3,-54.0,-25.0,-20.7,-3.6,-45.0,-27.8,-2.7,-10.0,-16.9,-33.0,-27.4,-0.1,,41.2,-16.0,-39.0,,,-59.4,-41.0,304.1,-80.0,-38.5,,28.1,-17.1,-22.4,6.0,-50.7,213.9,-21.0,-58.0,-130.1,-28.0,True,True,True,True,True,True,False,False,True,True,False,True,True,,True,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,True,False,False,True,,True,True,True,True,False,False,True,False,False,True
South Carolina,4517,4600.6,4689.1,4593.0,4561.0,4602.1,4582.0,4523.0,4545.9,4403.0,4551.1,4549.0,4549.4,4591.8,4529.9,,4354.1,4621.0,4517.0,4488.7,4495.5,4720.0,4505.4,4512.5,4579.0,4619.2,4577.0,4612.9,4584.3,,4260.6,4625.0,4658.0,,4459.7,5003.1,4575.0,4783.9,4575.0,4646.4,,4639.7,4624.2,4686.5,4611.0,4605.1,4682.9,4618.0,4506.0,4442.7,4581.0,83.6,172.1,76.0,44.0,85.1,65.0,6.0,28.9,-114.0,34.1,32.0,32.4,74.8,12.9,,-162.9,104.0,0.0,-28.3,-21.5,203.0,-11.6,-4.5,62.0,102.2,60.0,95.9,67.3,,-256.4,108.0,141.0,,-57.3,486.1,58.0,266.9,58.0,129.4,,122.7,107.2,169.5,94.0,88.1,165.9,101.0,-11.0,-74.3,64.0,False,True,True,False,True,True,True,False,True,True,True,True,True,,False,False,True,True,True,False,True,True,True,False,True,False,True,,False,False,False,,True,False,True,False,True,False,,False,False,False,False,False,False,False,True,True,True
South Dakota,1091,1144.0,1164.1,1104.1,1124.0,1089.0,1137.0,946.0,993.3,914.0,1090.8,1029.0,1143.2,,1009.9,,924.9,1222.0,1162.0,1151.9,841.3,1182.0,869.4,1079.3,1034.0,1093.3,1034.0,1148.6,1143.4,,1025.4,1147.4,1198.0,,,1430.3,1080.0,794.5,1184.0,1037.2,,1175.6,1156.6,1050.3,1026.0,1150.3,1021.0,1143.0,1383.5,921.2,1393.0,53.0,73.1,13.1,33.0,-2.0,46.0,-145.0,-97.7,-177.0,-0.2,-62.0,52.2,,-81.1,,-166.1,131.0,71.0,60.9,-249.7,91.0,-221.6,-11.7,-57.0,2.3,-57.0,57.6,52.4,,-65.6,56.4,107.0,,,339.3,-11.0,-296.5,93.0,-53.8,,84.6,65.6,-40.7,-65.0,59.3,-70.0,52.0,292.5,-169.8,302.0,False,True,True,True,True,False,False,False,True,False,True,,False,,False,False,False,False,False,False,False,True,False,True,False,False,True,,False,False,False,,,False,True,False,False,False,,False,False,True,False,False,False,True,False,False,False
Tennessee,4905,4958.7,5282.5,4870.8,4963.0,4879.0,4979.0,4758.0,4902.1,5000.0,5045.7,5017.0,4901.8,4913.6,4915.6,,5023.9,4812.0,5005.0,5009.6,4923.6,4955.0,4746.6,4916.3,4979.0,5018.3,4886.0,5014.9,5035.0,,4316.1,5015.3,5279.5,,4854.6,5021.6,5004.0,4540.0,4915.0,4907.9,,5297.5,5010.7,5011.0,4983.0,4823.0,4726.9,5083.0,4882.5,4485.3,5016.0,53.7,377.5,-34.2,58.0,-26.0,74.0,-147.0,-2.9,95.0,140.7,112.0,-3.2,8.6,10.6,,118.9,-93.0,100.0,104.6,18.6,50.0,-158.4,11.3,74.0,113.3,-19.0,109.9,130.0,,-588.9,110.3,374.5,,-50.4,116.6,99.0,-365.0,10.0,2.9,,392.5,105.7,106.0,78.0,-82.0,-178.1,178.0,-22.5,-419.7,111.0,False,True,False,True,False,False,True,False,False,False,True,True,True,,False,False,False,False,True,True,False,True,False,False,True,False,False,,False,False,False,,True,False,False,False,True,True,,False,False,False,False,False,False,False,True,False,False
Texas,23055,22903.6,23299.7,22871.6,22968.0,22887.1,23094.0,22259.0,22803.4,22713.0,23195.3,22076.0,22518.8,23659.2,22791.0,,22241.1,22974.0,23487.0,23192.9,22309.1,23227.0,22200.2,23349.4,23679.0,23323.1,22925.0,23235.8,23022.4,,21999.5,23424.8,23340.0,,22882.2,24247.8,23255.0,22443.5,23091.0,22895.6,,22981.5,23261.2,23120.4,23132.0,22239.3,23511.4,23360.0,23076.0,21858.2,23096.0,-151.4,244.7,-183.4,-87.0,-167.9,39.0,-796.0,-251.6,-342.0,140.3,-979.0,-536.2,604.2,-264.0,,-813.9,-81.0,432.0,137.9,-745.9,172.0,-854.8,294.4,624.0,268.1,-130.0,180.8,-32.6,,-1055.5,369.8,285.0,,-172.8,1192.8,200.0,-611.5,36.0,-159.4,,-73.5,206.2,65.4,77.0,-815.7,456.4,305.0,21.0,-1196.8,41.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,True,False,True,False,False,False,False,False,False,True,False,True,,False,False,False,,False,False,False,False,True,False,,True,False,True,True,False,False,False,True,False,True
Utah,939,932.3,1007.3,941.2,956.0,941.0,968.0,958.0,1018.4,948.0,1045.9,941.0,930.1,956.5,746.2,,916.3,907.0,989.0,967.5,878.6,792.0,1036.7,999.1,964.0,1053.1,998.0,975.2,1003.6,,867.2,971.5,946.5,,,1018.7,974.0,880.2,950.0,953.4,,1214.5,986.2,987.3,968.0,913.0,1013.1,990.0,928.0,642.3,1025.0,-6.7,68.3,2.2,17.0,2.0,29.0,19.0,79.4,9.0,106.9,2.0,-8.9,17.5,-192.8,,-22.7,-32.0,50.0,28.5,-60.4,-147.0,97.7,60.1,25.0,114.1,59.0,36.2,64.6,,-71.8,32.5,7.5,,,79.7,35.0,-58.8,11.0,14.4,,275.5,47.2,48.3,29.0,-26.0,74.1,51.0,-11.0,-296.7,86.0,False,True,False,True,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Vermont,79,70.4,80.8,72.1,70.0,71.0,72.0,64.0,76.9,76.0,57.9,72.0,66.3,73.8,73.3,,62.0,68.0,67.0,65.6,62.7,83.0,87.6,74.8,65.0,64.6,84.0,71.0,78.9,,65.5,68.7,63.0,,,95.7,70.0,64.8,70.0,72.2,,70.3,82.3,80.9,71.0,63.6,88.9,77.0,77.0,63.2,,-8.6,1.8,-6.9,-9.0,-8.0,-7.0,-15.0,-2.1,-3.0,-21.1,-7.0,-12.7,-5.2,-5.7,,-17.0,-11.0,-12.0,-13.4,-16.3,4.0,8.6,-4.2,-14.0,-14.4,5.0,-8.0,-0.1,,-13.5,-10.3,-16.0,,,16.7,-9.0,-14.2,-9.0,-6.8,,-8.7,3.3,1.9,-8.0,-15.4,9.9,-2.0,-2.0,-15.8,,True,True,False,True,True,False,True,True,False,True,False,True,True,,False,False,False,False,False,True,False,True,False,False,True,True,True,,False,False,False,,,False,False,False,False,True,,False,True,True,True,False,False,True,True,False,
Virginia,4197,4194.3,4404.4,4213.0,4234.0,4216.0,4224.0,4197.0,4215.7,4047.0,4128.9,4139.0,4208.9,4217.1,4239.6,,4104.1,4205.0,4297.0,4140.7,4127.3,4354.0,4323.1,4220.2,4251.5,4271.3,4254.0,4196.7,4254.2,,3923.1,4287.0,4158.0,,4139.1,4338.7,4129.0,3960.2,4242.0,4223.8,,4335.8,4205.5,4333.7,4248.0,4319.7,4387.3,4291.0,4095.5,4079.1,4169.0,-2.7,207.4,16.0,37.0,19.0,27.0,0.0,18.7,-150.0,-68.1,-58.0,11.9,20.1,42.6,,-92.9,8.0,100.0,-56.3,-69.7,157.0,126.1,23.2,54.5,74.3,57.0,-0.3,57.2,,-273.9,90.0,-39.0,,-57.9,141.7,-68.0,-236.8,45.0,26.8,,138.8,8.5,136.7,51.0,122.7,190.3,94.0,-101.5,-117.9,-28.0,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Washington,2925,2804.7,2878.9,2817.8,2862.0,2819.0,2887.0,2878.0,2883.0,3004.0,2993.7,3001.0,2751.8,2962.3,2925.2,,2760.8,2730.0,2917.0,2901.3,2948.3,2870.0,2968.5,2940.9,2815.0,2844.7,2908.0,2901.2,2878.9,,2759.2,2851.3,2778.0,,2787.9,2797.5,2995.0,3100.1,2805.0,2837.4,,2997.5,2897.5,2899.0,2893.0,2796.3,3182.1,2943.0,2795.0,2697.9,2887.0,-120.3,-46.1,-107.2,-63.0,-106.0,-38.0,-47.0,-42.0,79.0,68.7,76.0,-173.2,37.3,0.2,,-164.2,-195.0,-8.0,-23.7,23.3,-55.0,43.5,15.9,-110.0,-80.3,-17.0,-23.8,-46.1,,-165.8,-73.7,-147.0,,-137.1,-127.5,70.0,175.1,-120.0,-87.6,,72.5,-27.5,-26.0,-32.0,-128.7,257.1,18.0,-130.0,-227.1,-38.0,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,,False,True,False,,False,False,True,False,True,True,,True,True,True,True,False,False,True,False,False,True
West Virginia,829,810.6,828.0,821.5,823.0,826.0,877.0,792.0,839.0,922.0,976.4,826.0,839.9,925.0,880.0,,782.7,801.0,874.0,866.2,840.3,905.0,852.9,930.8,904.0,852.1,879.0,893.5,856.4,,739.7,880.4,953.0,,,934.0,933.0,886.5,833.0,829.7,,871.6,905.1,883.3,895.0,782.7,839.2,887.0,966.5,716.8,921.0,-18.4,-1.0,-7.5,-6.0,-3.0,48.0,-37.0,10.0,93.0,147.4,-3.0,10.9,96.0,51.0,,-46.3,-28.0,45.0,37.2,11.3,76.0,23.9,101.8,75.0,23.1,50.0,64.5,27.4,,-89.3,51.4,124.0,,,105.0,104.0,57.5,4.0,0.7,,42.6,76.1,54.3,66.0,-46.3,10.2,58.0,137.5,-112.2,92.0,True,True,True,True,False,False,True,False,False,True,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,True,True,,False,False,False,False,False,True,False,False,False,False
Wisconsin,3934,3891.0,4432.2,3951.4,4156.0,3951.0,3951.0,4006.0,4066.5,3323.0,3666.6,3649.0,3924.2,4003.6,3712.7,,3900.4,4169.0,3817.0,3845.0,3561.6,4275.0,3844.4,3918.9,3768.0,4037.3,3937.0,3957.6,4045.9,3583.0,3878.0,4060.9,3631.0,,3455.5,5047.7,4269.0,3811.9,3763.0,4101.0,,4651.9,3962.0,4104.5,3868.0,4067.5,4492.7,4034.0,3611.0,3402.1,,-43.0,498.2,17.4,222.0,17.0,17.0,72.0,132.5,-611.0,-267.4,-285.0,-9.8,69.6,-221.3,,-33.6,235.0,-117.0,-89.0,-372.4,341.0,-89.6,-15.1,-166.0,103.3,3.0,23.6,111.9,-351.0,-56.0,126.9,-303.0,,-478.5,1113.7,335.0,-122.1,-171.0,167.0,,717.9,28.0,170.5,-66.0,133.5,558.7,100.0,-323.0,-531.9,,False,True,False,True,True,False,False,False,False,False,True,False,False,,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,
Wyoming,266,235.4,284.2,240.1,283.0,240.0,263.0,249.0,280.9,282.0,343.7,272.0,251.1,271.1,276.1,,252.9,200.0,304.0,252.3,237.1,275.0,250.4,291.3,227.0,248.8,294.0,278.0,277.2,,237.1,263.3,265.0,,,,307.0,234.3,254.0,216.8,,325.5,288.3,268.3,251.0,215.2,266.1,286.0,237.0,203.7,256.0,-30.6,18.2,-25.9,17.0,-26.0,-3.0,-17.0,14.9,16.0,77.7,6.0,-14.9,5.1,10.1,,-13.1,-66.0,38.0,-13.7,-28.9,9.0,-15.6,25.3,-39.0,-17.2,28.0,12.0,11.2,,-28.9,-2.7,-1.0,,,,41.0,-31.7,-12.0,-49.2,,59.5,22.3,2.3,-15.0,-50.8,0.1,20.0,-29.0,-62.3,-10.0,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,False,False,True,True,True,True,True,False,True,True,True,True,,True,True,True,,,,False,False,True,False,,False,True,True,True,False,True,True,True,False,True
US,281186,276421.3,282359.6,276445.0,,276407.1,278869.0,278241.0,279166.2,283321.0,284101.6,279449.0,277431.5,280144.6,,284023.0,276478.0,274762.0,280661.0,279827.7,273517.0,280182.0,278378.1,282834.3,278117.0,283162.3,281112.0,279537.0,281065.9,,272175.0,280974.9,276588.5,280846.3,272822.3,284980.7,284561.0,280626.7,277784.0,277504.0,269284.0,,280129.9,282057.9,283098.0,276319.9,308236.6,283854.0,277492.5,265017.8,288333.0,-4677.7,1260.6,-4654.0,,-4691.9,-2230.0,-2858.0,-1932.8,2222.0,3002.6,-1650.0,-3667.5,-954.4,,2924.0,-4621.0,-6337.0,-438.0,-1271.3,-7582.0,-917.0,-2720.9,1735.3,-2982.0,2063.3,13.0,-1562.0,-33.1,,-8924.0,-124.1,-4510.5,-252.7,-8276.7,3881.7,3462.0,-472.3,-3315.0,-3595.0,-11815.0,,-969.1,958.9,1999.0,-4779.1,27137.6,2755.0,-3606.5,-16081.2,7234.0,True,True,,False,True,True,True,True,True,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,False,,True,True,True,False,False,True,True,False,False
