,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
19159,95,75.0,,64.0,,,,,37.0,,220.0,23.1,,44.9,,,,88.0,-20.0,,-31.0,,,,,-58.0,,125.0,-71.9,,-50.1,,,,-7.0,,False,,,,,False,,False,False,,False,,,,True
19161,396,155.0,,121.0,,,,,145.0,,199.6,78.3,,42.8,0.0,,,163.0,-241.0,,-275.0,,,,,-251.0,,-196.4,-317.7,,-353.2,-396.0,,,-233.0,,False,,,,,False,,True,False,,False,False,,,True
19163,6102,2220.0,,4563.0,,,,,1422.0,,2056.2,1548.8,,2134.9,1398.6,,1030.8,0.0,-3882.0,,-1539.0,,,,,-4680.0,,-4045.8,-4553.2,,-3967.1,-4703.4,,-5071.2,-6102.0,,True,,,,,False,,False,False,,False,False,,False,False
19165,372,160.0,,97.0,,,,,129.0,,182.7,36.5,,85.1,146.0,,,141.0,-212.0,,-275.0,,,,,-243.0,,-189.3,-335.5,,-286.9,-226.0,,,-231.0,,False,,,,,False,,True,False,,False,False,,,False
19167,1206,1035.0,,855.0,,,,,873.0,,1335.0,383.2,,428.1,1028.2,,574.9,939.0,-171.0,,-351.0,,,,,-333.0,,129.0,-822.8,,-777.9,-177.8,,-631.1,-267.0,,False,,,,,False,,True,False,,False,False,,False,False
19169,2488,615.0,,711.0,,,,,723.0,,538.6,611.8,,387.9,0.0,,550.8,351.0,-1873.0,,-1777.0,,,,,-1765.0,,-1949.4,-1876.2,,-2100.1,-2488.0,,-1937.2,-2137.0,,True,,,,,True,,False,False,,False,False,,False,False
19171,555,210.0,,171.0,,,,,112.0,,264.0,81.5,,46.7,41.8,,,77.0,-345.0,,-384.0,,,,,-443.0,,-291.0,-473.4,,-508.3,-513.2,,,-478.0,,False,,,,,False,,True,False,,False,False,,,False
19173,195,110.0,,58.0,,,,,55.0,,243.6,27.4,,16.5,61.2,,,57.0,-85.0,,-137.0,,,,,-140.0,,48.6,-167.6,,-178.5,-133.8,,,-138.0,,False,,,,,False,,True,False,,False,False,,,False
19175,469,155.0,,181.0,,,,,125.0,,408.5,64.1,,42.5,70.9,,,0.0,-314.0,,-288.0,,,,,-344.0,,-60.5,-404.9,,-426.5,-398.1,,,-469.0,,True,,,,,False,,True,False,,False,False,,,False
19177,174,55.0,,64.0,,,,,61.0,,64.8,10.1,,23.5,0.0,,,69.0,-119.0,,-110.0,,,,,-113.0,,-109.2,-163.9,,-150.5,-174.0,,,-105.0,,True,,,,,True,,True,False,,False,False,,,True
19179,905,255.0,,203.0,,,,,393.0,,203.8,250.2,,35.8,1.0,,191.2,162.0,-650.0,,-702.0,,,,,-512.0,,-701.2,-654.8,,-869.2,-904.0,,-713.8,-743.0,,False,,,,,True,,False,False,,False,False,,False,False
19181,1356,465.0,,1197.0,,,,,359.0,,434.7,193.0,,139.5,585.2,,361.0,838.0,-891.0,,-159.0,,,,,-997.0,,-921.3,-1163.0,,-1216.5,-770.8,,-995.0,-518.0,,True,,,,,False,,False,False,,False,True,,False,True
19183,650,230.0,,224.0,,,,,139.0,,267.0,120.9,,62.5,239.4,,,168.0,-420.0,,-426.0,,,,,-511.0,,-383.0,-529.1,,-587.5,-410.6,,,-482.0,,False,,,,,False,,True,False,,False,True,,,False
19185,169,50.0,,0.0,,,,,60.0,,91.0,22.8,,1.8,28.7,,,57.0,-119.0,,-169.0,,,,,-109.0,,-78.0,-146.2,,-167.2,-140.3,,,-112.0,,False,,,,,True,,True,False,,False,False,,,True
19187,1613,570.0,,646.0,,,,,454.0,,940.0,321.5,,80.6,1.6,,293.4,260.0,-1043.0,,-967.0,,,,,-1159.0,,-673.0,-1291.5,,-1532.4,-1611.4,,-1319.6,-1353.0,,True,,,,,False,,True,False,,False,False,,False,False
19189,447,270.0,,159.0,,,,,92.0,,160.7,46.0,,132.1,202.5,,,125.0,-177.0,,-288.0,,,,,-355.0,,-286.3,-401.0,,-314.9,-244.5,,,-322.0,,False,,,,,False,,False,False,,False,False,,,False
19191,458,215.0,,235.0,,,,,162.0,,245.4,33.3,,53.6,0.0,,,343.0,-243.0,,-223.0,,,,,-296.0,,-212.6,-424.7,,-404.4,-458.0,,,-115.0,,True,,,,,False,,True,False,,False,False,,,True
19193,3071,2020.0,,1422.0,,,,,1813.0,,1884.8,1079.0,,806.5,67.4,,814.8,0.0,-1051.0,,-1649.0,,,,,-1258.0,,-1186.2,-1992.0,,-2264.5,-3003.6,,-2256.2,-3071.0,,False,,,,,False,,False,False,,False,False,,False,False
19195,204,45.0,,12.0,,,,,52.0,,22.6,23.8,,5.4,0.0,,,55.0,-159.0,,-192.0,,,,,-152.0,,-181.4,-180.2,,-198.6,-204.0,,,-149.0,,False,,,,,True,,False,False,,False,False,,,True
19197,454,130.0,,0.0,,,,,118.0,,211.1,151.4,,13.6,16.9,,,208.0,-324.0,,-454.0,,,,,-336.0,,-242.9,-302.6,,-440.4,-437.1,,,-246.0,,False,,,,,False,,True,True,,False,False,,,True
20001,194,35.0,,54.0,,,,,89.0,,268.2,38.3,,,1.4,,,4.0,-159.0,,-140.0,,,,,-105.0,,74.2,-155.7,,,-192.6,,,-190.0,,True,,,,,True,,True,True,,,False,,,False
20003,220,140.0,,67.0,,,,,83.0,,129.2,28.3,,0.6,59.3,,,116.0,-80.0,,-153.0,,,,,-137.0,,-90.8,-191.7,,-219.4,-160.7,,,-104.0,,False,,,,,False,,False,False,,False,False,,,False
20005,317,300.0,,223.0,,,,,159.0,,571.2,117.2,,13.6,148.3,,,148.0,-17.0,,-94.0,,,,,-158.0,,254.2,-199.8,,-303.4,-168.7,,,-169.0,,False,,,,,False,,False,False,,False,False,,,False
20007,136,40.0,,1.0,,,,,39.0,,1489.2,3.7,,0.5,,,,93.0,-96.0,,-135.0,,,,,-97.0,,1353.2,-132.3,,-135.5,,,,-43.0,,False,,,,,False,,False,False,,False,,,,True
20009,779,345.0,,334.0,,,,,337.0,,541.3,157.3,,17.8,275.1,,,532.0,-434.0,,-445.0,,,,,-442.0,,-237.7,-621.7,,-761.2,-503.9,,,-247.0,,False,,,,,False,,True,False,,False,False,,,True
20011,196,260.0,,487.0,,,,,175.0,,676.7,45.3,,10.0,122.4,,,89.0,64.0,,291.0,,,,,-21.0,,480.7,-150.7,,-186.0,-73.6,,,-107.0,,False,,,,,True,,False,False,,False,False,,,False
20013,416,135.0,,139.0,,,,,89.0,,290.5,47.5,,5.0,28.7,,,56.0,-281.0,,-277.0,,,,,-327.0,,-125.5,-368.5,,-411.0,-387.3,,,-360.0,,True,,,,,False,,True,False,,False,False,,,False
20015,1496,425.0,,499.0,,,,,402.0,,880.2,236.2,,35.6,349.6,,,298.0,-1071.0,,-997.0,,,,,-1094.0,,-615.8,-1259.8,,-1460.4,-1146.4,,,-1198.0,,True,,,,,False,,True,False,,False,False,,,False
20017,54,15.0,,0.0,,,,,27.0,,3.3,5.0,,2.7,,,,5.0,-39.0,,-54.0,,,,,-27.0,,-50.7,-49.0,,-51.3,,,,-49.0,,False,,,,,True,,False,False,,False,,,,False
20019,39,0.0,,0.0,,,,,32.0,,23.8,2.8,,0.3,,,,0.0,-39.0,,-39.0,,,,,-7.0,,-15.2,-36.2,,-38.7,,,,-39.0,,False,,,,,True,,True,True,,True,,,,False
20021,402,215.0,,75.0,,,,,331.0,,116.3,76.9,,35.0,0.1,,,95.0,-187.0,,-327.0,,,,,-71.0,,-285.7,-325.1,,-367.0,-401.9,,,-307.0,,False,,,,,True,,False,False,,False,False,,,False
20023,105,65.0,,0.0,,,,,50.0,,102.9,14.2,,3.7,,,,39.0,-40.0,,-105.0,,,,,-55.0,,-2.1,-90.8,,-101.3,,,,-66.0,,False,,,,,False,,True,False,,False,,,,False
20025,39,20.0,,0.0,,,,,48.0,,22.7,1.1,,2.1,,,,19.0,-19.0,,-39.0,,,,,9.0,,-16.3,-37.9,,-36.9,,,,-20.0,,False,,,,,True,,True,False,,False,,,,False
20027,334,65.0,,25.0,,,,,96.0,,3.4,14.5,,4.3,,,,200.0,-269.0,,-309.0,,,,,-238.0,,-330.6,-319.5,,-329.7,,,,-134.0,,False,,,,,True,,False,False,,False,,,,True
20029,399,65.0,,30.0,,,,,141.0,,172.0,22.6,,6.2,,,,172.0,-334.0,,-369.0,,,,,-258.0,,-227.0,-376.4,,-392.8,,,,-227.0,,False,,,,,True,,True,False,,False,,,,True
20031,130,0.0,,1.0,,,,,56.0,,30.1,14.3,,0.0,25.5,,,26.0,-130.0,,-129.0,,,,,-74.0,,-99.9,-115.7,,-130.0,-104.5,,,-104.0,,True,,,,,True,,True,True,,True,True,,,True
20033,25,5.0,,0.0,,,,,48.0,,25.7,0.9,,0.3,,,,16.0,-20.0,,-25.0,,,,,23.0,,0.7,-24.1,,-24.7,,,,-9.0,,False,,,,,False,,True,False,,False,,,,True
20035,785,230.0,,220.0,,,,,239.0,,267.5,184.5,,72.1,206.3,,,449.0,-555.0,,-565.0,,,,,-546.0,,-517.5,-600.5,,-712.9,-578.7,,,-336.0,,False,,,,,True,,True,False,,False,False,,,True
20037,777,475.0,,415.0,,,,,460.0,,37.2,155.1,,0.0,0.0,,282.4,446.0,-302.0,,-362.0,,,,,-317.0,,-739.8,-621.9,,-777.0,-777.0,,-494.6,-331.0,,False,,,,,False,,False,False,,False,False,,False,False
20039,138,35.0,,0.0,,,,,37.0,,217.2,4.8,,,,,,62.0,-103.0,,-138.0,,,,,-101.0,,79.2,-133.2,,,,,,-76.0,,False,,,,,True,,True,False,,,,,,True
20041,378,105.0,,114.0,,,,,156.0,,183.1,72.0,,14.7,46.2,,,190.0,-273.0,,-264.0,,,,,-222.0,,-194.9,-306.0,,-363.3,-331.8,,,-188.0,,True,,,,,True,,True,False,,False,False,,,True
20043,218,60.0,,45.0,,,,,57.0,,28.1,28.4,,0.0,38.5,,,37.0,-158.0,,-173.0,,,,,-161.0,,-189.9,-189.6,,-218.0,-179.5,,,-181.0,,False,,,,,False,,False,False,,False,False,,,False
20045,1534,580.0,,315.0,,,,,892.0,,803.3,398.9,,116.8,0.0,,395.6,532.0,-954.0,,-1219.0,,,,,-642.0,,-730.7,-1135.1,,-1417.2,-1534.0,,-1138.4,-1002.0,,False,,,,,True,,True,False,,False,False,,False,False
20047,96,20.0,,0.0,,,,,30.0,,30.1,5.1,,2.0,,,,11.0,-76.0,,-96.0,,,,,-66.0,,-65.9,-90.9,,-94.0,,,,-85.0,,False,,,,,True,,True,False,,False,,,,False
20049,29,0.0,,0.0,,,,,22.0,,1232.8,8.7,,,,,,53.0,-29.0,,-29.0,,,,,-7.0,,1203.8,-20.3,,,,,,24.0,,False,,,,,True,,False,True,,,,,,True
20051,852,475.0,,452.0,,,,,532.0,,546.8,164.4,,143.6,0.0,,495.7,547.0,-377.0,,-400.0,,,,,-320.0,,-305.2,-687.6,,-708.4,-852.0,,-356.3,-305.0,,False,,,,,True,,True,False,,False,False,,True,True
20053,397,90.0,,104.0,,,,,71.0,,2150.3,4.4,,8.6,0.0,,,134.0,-307.0,,-293.0,,,,,-326.0,,1753.3,-392.6,,-388.4,-397.0,,,-263.0,,True,,,,,False,,False,False,,False,False,,,True
20055,1846,770.0,,1289.0,,,,,781.0,,841.8,35.1,,244.1,72.7,,227.5,0.0,-1076.0,,-557.0,,,,,-1065.0,,-1004.2,-1810.9,,-1601.9,-1773.3,,-1618.5,-1846.0,,True,,,,,True,,True,False,,False,False,,False,False
20057,1181,625.0,,710.0,,,,,811.0,,560.2,565.4,,69.2,67.3,,229.9,0.0,-556.0,,-471.0,,,,,-370.0,,-620.8,-615.6,,-1111.8,-1113.7,,-951.1,-1181.0,,True,,,,,True,,False,False,,False,False,,False,False
20059,463,225.0,,336.0,,,,,195.0,,317.6,57.9,,39.9,0.0,,,177.0,-238.0,,-127.0,,,,,-268.0,,-145.4,-405.1,,-423.1,-463.0,,,-286.0,,True,,,,,False,,True,False,,False,False,,,False
20061,261,95.0,,88.0,,,,,279.0,,127.6,71.7,,20.6,0.0,,,166.0,-166.0,,-173.0,,,,,18.0,,-133.4,-189.3,,-240.4,-261.0,,,-95.0,,False,,,,,True,,True,False,,False,False,,,True
20063,124,90.0,,0.0,,,,,37.0,,370.6,11.2,,4.7,0.0,,,10.0,-34.0,,-124.0,,,,,-87.0,,246.6,-112.8,,-119.3,-124.0,,,-114.0,,False,,,,,False,,False,False,,False,False,,,False
20065,69,55.0,,0.0,,,,,26.0,,173.7,2.5,,,,,,25.0,-14.0,,-69.0,,,,,-43.0,,104.7,-66.5,,,,,,-44.0,,False,,,,,False,,False,False,,,,,,False
20067,273,245.0,,145.0,,,,,105.0,,208.5,39.8,,74.7,181.2,,,22.0,-28.0,,-128.0,,,,,-168.0,,-64.5,-233.2,,-198.3,-91.8,,,-251.0,,False,,,,,False,,False,False,,False,False,,,False
20069,202,165.0,,38.0,,,,,86.0,,163.9,16.3,,0.1,157.5,,,80.0,-37.0,,-164.0,,,,,-116.0,,-38.1,-185.7,,-201.9,-44.5,,,-122.0,,False,,,,,False,,False,False,,False,False,,,False
20071,58,0.0,,0.0,,,,,30.0,,457.9,1.7,,,,,,31.0,-58.0,,-58.0,,,,,-28.0,,399.9,-56.3,,,,,,-27.0,,False,,,,,True,,False,True,,,,,,True
20073,90,65.0,,2.0,,,,,56.0,,152.6,12.7,,2.3,,,,65.0,-25.0,,-88.0,,,,,-34.0,,62.6,-77.3,,-87.7,,,,-25.0,,False,,,,,False,,False,False,,False,,,,False
20075,75,20.0,,0.0,,,,,49.0,,14.0,2.3,,1.6,,,,51.0,-55.0,,-75.0,,,,,-26.0,,-61.0,-72.7,,-73.4,,,,-24.0,,False,,,,,True,,False,False,,False,,,,True
20077,142,65.0,,0.0,,,,,67.0,,27.3,5.8,,0.3,0.0,,,123.0,-77.0,,-142.0,,,,,-75.0,,-114.7,-136.2,,-141.7,-142.0,,,-19.0,,False,,,,,True,,False,False,,False,False,,,True
20079,1072,320.0,,915.0,,,,,237.0,,560.4,86.8,,25.7,143.0,,,370.0,-752.0,,-157.0,,,,,-835.0,,-511.6,-985.2,,-1046.3,-929.0,,,-702.0,,True,,,,,False,,True,False,,False,False,,,True
20081,80,0.0,,0.0,,,,,74.0,,5.1,9.8,,1.0,0.0,,,0.0,-80.0,,-80.0,,,,,-6.0,,-74.9,-70.2,,-79.0,-80.0,,,-80.0,,False,,,,,True,,True,True,,True,False,,,False
20083,93,0.0,,0.0,,,,,24.0,,7.3,2.5,,0.5,,,,0.0,-93.0,,-93.0,,,,,-69.0,,-85.7,-90.5,,-92.5,,,,-93.0,,False,,,,,True,,True,True,,True,,,,False
20085,287,85.0,,62.0,,,,,85.0,,88.4,36.4,,8.3,18.5,,,125.0,-202.0,,-225.0,,,,,-202.0,,-198.6,-250.6,,-278.7,-268.5,,,-162.0,,False,,,,,False,,True,False,,False,False,,,True
20087,353,130.0,,105.0,,,,,102.0,,153.8,70.7,,9.8,70.4,,,96.0,-223.0,,-248.0,,,,,-251.0,,-199.2,-282.3,,-343.2,-282.6,,,-257.0,,False,,,,,False,,True,False,,False,False,,,False
20089,30,10.0,,0.0,,,,,39.0,,16.3,2.7,,0.4,,,,70.0,-20.0,,-30.0,,,,,9.0,,-13.7,-27.3,,-29.6,,,,40.0,,False,,,,,True,,True,False,,False,,,,False
20091,10481,3730.0,,4547.0,,,,,3169.0,,3407.5,2802.8,,2837.5,4886.3,,2169.9,3725.0,-6751.0,,-5934.0,,,,,-7312.0,,-7073.5,-7678.2,,-7643.5,-5594.7,,-8311.1,-6756.0,,True,,,,,False,,False,False,,False,True,,False,False
20093,173,105.0,,0.0,,,,,53.0,,93.2,13.4,,8.7,115.0,,,56.0,-68.0,,-173.0,,,,,-120.0,,-79.8,-159.6,,-164.3,-58.0,,,-117.0,,False,,,,,False,,False,False,,False,True,,,False
20095,183,35.0,,26.0,,,,,59.0,,66.4,32.5,,,0.0,,,51.0,-148.0,,-157.0,,,,,-124.0,,-116.6,-150.5,,,-183.0,,,-132.0,,False,,,,,True,,True,False,,,False,,,True
20097,54,30.0,,1.0,,,,,23.0,,65.1,3.9,,1.1,,,,64.0,-24.0,,-53.0,,,,,-31.0,,11.1,-50.1,,-52.9,,,,10.0,,False,,,,,False,,True,False,,False,,,,True
20099,404,280.0,,257.0,,,,,218.0,,369.0,46.6,,105.0,146.0,,,345.0,-124.0,,-147.0,,,,,-186.0,,-35.0,-357.4,,-299.0,-258.0,,,-59.0,,False,,,,,False,,True,False,,False,False,,,True
20101,49,10.0,,0.0,,,,,33.0,,8.8,1.3,,0.3,,,,27.0,-39.0,,-49.0,,,,,-16.0,,-40.2,-47.7,,-48.7,,,,-22.0,,False,,,,,True,,False,False,,False,,,,True
20103,921,450.0,,,,,,,648.0,,446.9,499.2,,157.3,18.1,,305.0,506.0,-471.0,,,,,,,-273.0,,-474.1,-421.8,,-763.7,-902.9,,-616.0,-415.0,,,,,,,True,,False,True,,False,False,,False,True
20105,35,0.0,,0.0,,,,,31.0,,14.9,2.2,,,,,,3.0,-35.0,,-35.0,,,,,-4.0,,-20.1,-32.8,,,,,,-32.0,,False,,,,,True,,True,True,,,,,,True
20107,139,100.0,,67.0,,,,,72.0,,147.9,18.0,,42.9,40.7,,,194.0,-39.0,,-72.0,,,,,-67.0,,8.9,-121.0,,-96.1,-98.3,,,55.0,,False,,,,,False,,True,False,,False,False,,,False
20109,139,85.0,,0.0,,,,,41.0,,1156.2,11.4,,,,,,30.0,-54.0,,-139.0,,,,,-98.0,,1017.2,-127.6,,,,,,-109.0,,False,,,,,False,,False,False,,,,,,False
20111,987,260.0,,256.0,,,,,322.0,,230.3,128.4,,47.1,0.0,,248.0,177.0,-727.0,,-731.0,,,,,-665.0,,-756.7,-858.6,,-939.9,-987.0,,-739.0,-810.0,,False,,,,,True,,False,False,,False,False,,False,False
20113,910,90.0,,90.0,,,,,242.0,,195.9,62.4,,5.2,248.2,,,57.0,-820.0,,-820.0,,,,,-668.0,,-714.1,-847.6,,-904.8,-661.8,,,-853.0,,False,,,,,True,,True,False,,False,True,,,False
20115,242,45.0,,36.0,,,,,87.0,,93.5,24.7,,2.2,88.1,,,55.0,-197.0,,-206.0,,,,,-155.0,,-148.5,-217.3,,-239.8,-153.9,,,-187.0,,False,,,,,True,,True,False,,False,True,,,True
20117,300,55.0,,37.0,,,,,83.0,,548.2,16.5,,,,,,87.0,-245.0,,-263.0,,,,,-217.0,,248.2,-283.5,,,,,,-213.0,,False,,,,,True,,False,False,,,,,,True
20119,125,35.0,,0.0,,,,,52.0,,41.8,12.9,,0.6,0.0,,,23.0,-90.0,,-125.0,,,,,-73.0,,-83.2,-112.1,,-124.4,-125.0,,,-102.0,,False,,,,,True,,True,False,,False,False,,,False
20121,371,205.0,,172.0,,,,,264.0,,341.2,109.5,,13.6,74.9,,,93.0,-166.0,,-199.0,,,,,-107.0,,-29.8,-261.5,,-357.4,-296.1,,,-278.0,,False,,,,,True,,True,False,,False,False,,,False
20123,122,5.0,,2.0,,,,,85.0,,44.9,11.2,,1.5,,,,99.0,-117.0,,-120.0,,,,,-37.0,,-77.1,-110.8,,-120.5,,,,-23.0,,False,,,,,True,,True,True,,False,,,,True
20125,357,360.0,,520.0,,,,,309.0,,469.1,108.9,,4.9,44.3,,,520.0,3.0,,163.0,,,,,-48.0,,112.1,-248.1,,-352.1,-312.7,,,163.0,,False,,,,,False,,False,False,,False,False,,,False
20127,93,20.0,,0.0,,,,,41.0,,35.0,12.5,,1.0,,,,36.0,-73.0,,-93.0,,,,,-52.0,,-58.0,-80.5,,-92.0,,,,-57.0,,False,,,,,True,,True,False,,False,,,,True
20129,103,10.0,,0.0,,,,,38.0,,225.9,2.9,,0.7,,,,26.0,-93.0,,-103.0,,,,,-65.0,,122.9,-100.1,,-102.3,,,,-77.0,,False,,,,,True,,False,False,,False,,,,True
20131,631,230.0,,301.0,,,,,97.0,,813.9,35.7,,0.6,25.0,,,80.0,-401.0,,-330.0,,,,,-534.0,,182.9,-595.3,,-630.4,-606.0,,,-551.0,,True,,,,,False,,True,False,,False,False,,,False
20133,386,95.0,,52.0,,,,,187.0,,104.5,50.2,,9.0,0.0,,,191.0,-291.0,,-334.0,,,,,-199.0,,-281.5,-335.8,,-377.0,-386.0,,,-195.0,,False,,,,,True,,True,False,,False,False,,,True
20135,111,30.0,,,,,,,35.0,,27.8,11.3,,0.0,0.0,,,0.0,-81.0,,,,,,,-76.0,,-83.2,-99.7,,-111.0,-111.0,,,-111.0,,,,,,,True,,False,False,,False,False,,,False
20137,788,525.0,,239.0,,,,,91.0,,2783.8,3.6,,187.4,73.8,,,66.0,-263.0,,-549.0,,,,,-697.0,,1995.8,-784.4,,-600.6,-714.2,,,-722.0,,False,,,,,False,,False,False,,False,False,,,False
20139,280,105.0,,96.0,,,,,87.0,,161.3,37.8,,11.8,83.2,,,367.0,-175.0,,-184.0,,,,,-193.0,,-118.7,-242.2,,-268.2,-196.8,,,87.0,,False,,,,,False,,True,False,,False,False,,,True
20141,44,30.0,,,,,,,45.0,,199.0,3.7,,0.3,,,,77.0,-14.0,,,,,,,1.0,,155.0,-40.3,,-43.7,,,,33.0,,,,,,,True,,False,False,,False,,,,False
20143,88,65.0,,68.0,,,,,57.0,,716.9,14.3,,10.4,0.0,,,98.0,-23.0,,-20.0,,,,,-31.0,,628.9,-73.7,,-77.6,-88.0,,,10.0,,True,,,,,False,,False,False,,False,False,,,True
20145,180,45.0,,9.0,,,,,103.0,,44.8,21.3,,,0.0,,,0.0,-135.0,,-171.0,,,,,-77.0,,-135.2,-158.7,,,-180.0,,,-180.0,,False,,,,,True,,False,False,,,False,,,False
20147,204,45.0,,0.0,,,,,82.0,,92.9,1.5,,5.1,0.0,,,9.0,-159.0,,-204.0,,,,,-122.0,,-111.1,-202.5,,-198.9,-204.0,,,-195.0,,False,,,,,True,,True,False,,False,False,,,False
20149,263,215.0,,178.0,,,,,213.0,,55.5,118.8,,15.6,193.3,,,258.0,-48.0,,-85.0,,,,,-50.0,,-207.5,-144.2,,-247.4,-69.7,,,-5.0,,False,,,,,False,,False,False,,False,False,,,True
20151,336,70.0,,35.0,,,,,110.0,,111.7,15.0,,11.6,66.9,,,127.0,-266.0,,-301.0,,,,,-226.0,,-224.3,-321.0,,-324.4,-269.1,,,-209.0,,False,,,,,True,,True,False,,False,False,,,True
20153,71,65.0,,0.0,,,,,31.0,,423.1,51.7,,,,,,22.0,-6.0,,-71.0,,,,,-40.0,,352.1,-19.3,,,,,,-49.0,,False,,,,,False,,False,False,,,,,,False
20155,2444,1290.0,,1796.0,,,,,762.0,,2607.0,307.9,,1293.1,0.0,,603.2,587.0,-1154.0,,-648.0,,,,,-1682.0,,163.0,-2136.1,,-1150.9,-2444.0,,-1840.8,-1857.0,,True,,,,,False,,True,False,,True,False,,False,False
20157,173,80.0,,24.0,,,,,49.0,,96.2,9.2,,3.9,,,,87.0,-93.0,,-149.0,,,,,-124.0,,-76.8,-163.8,,-169.1,,,,-86.0,,False,,,,,False,,True,False,,False,,,,True
20159,216,90.0,,92.0,,,,,103.0,,121.3,24.1,,10.1,0.0,,,116.0,-126.0,,-124.0,,,,,-113.0,,-94.7,-191.9,,-205.9,-216.0,,,-100.0,,True,,,,,True,,True,False,,False,False,,,True
20161,1110,450.0,,456.0,,,,,670.0,,350.0,136.7,,103.1,0.0,,270.1,120.0,-660.0,,-654.0,,,,,-440.0,,-760.0,-973.3,,-1006.9,-1110.0,,-839.9,-990.0,,True,,,,,True,,False,False,,False,False,,False,False
20163,153,15.0,,4.0,,,,,69.0,,60.3,9.0,,0.1,0.0,,,33.0,-138.0,,-149.0,,,,,-84.0,,-92.7,-144.0,,-152.9,-153.0,,,-120.0,,False,,,,,True,,True,False,,False,False,,,True
20165,87,145.0,,0.0,,,,,40.0,,105.4,10.8,,,,,,59.0,58.0,,-87.0,,,,,-47.0,,18.4,-76.2,,,,,,-28.0,,False,,,,,True,,True,False,,,,,,True
20167,302,95.0,,35.0,,,,,92.0,,298.3,31.6,,,53.1,,,134.0,-207.0,,-267.0,,,,,-210.0,,-3.7,-270.4,,,-248.9,,,-168.0,,False,,,,,False,,True,False,,,False,,,True
20169,1049,355.0,,246.0,,,,,495.0,,514.0,257.0,,81.0,8.1,,,223.0,-694.0,,-803.0,,,,,-554.0,,-535.0,-792.0,,-968.0,-1040.9,,,-826.0,,False,,,,,True,,True,False,,False,False,,,False
20171,161,155.0,,80.0,,,,,82.0,,185.4,16.7,,32.0,54.5,,,59.0,-6.0,,-81.0,,,,,-79.0,,24.4,-144.3,,-129.0,-106.5,,,-102.0,,False,,,,,False,,False,False,,False,False,,,False
20173,12899,3250.0,,5164.0,,,,,2758.0,,2311.5,2507.0,,3249.1,136.5,,1779.8,2729.0,-9649.0,,-7735.0,,,,,-10141.0,,-10587.5,-10392.0,,-9649.9,-12762.5,,-11119.2,-10170.0,,True,,,,,False,,False,False,,False,False,,False,False
20175,755,505.0,,299.0,,,,,648.0,,255.6,230.2,,243.7,32.2,,252.8,0.0,-250.0,,-456.0,,,,,-107.0,,-499.4,-524.8,,-511.3,-722.8,,-502.2,-755.0,,False,,,,,True,,False,False,,False,False,,False,False
20177,3146,1045.0,,1706.0,,,,,1276.0,,961.8,712.1,,209.6,783.2,,631.7,1105.0,-2101.0,,-1440.0,,,,,-1870.0,,-2184.2,-2433.9,,-2936.4,-2362.8,,-2514.3,-2041.0,,True,,,,,True,,False,False,,False,False,,False,True
20179,177,225.0,,0.0,,,,,32.0,,1089.0,3.6,,57.0,49.3,,,35.0,48.0,,-177.0,,,,,-145.0,,912.0,-173.4,,-120.0,-127.7,,,-142.0,,False,,,,,False,,False,False,,False,False,,,False
20181,264,105.0,,68.0,,,,,73.0,,2822.7,9.8,,3.3,29.9,,,143.0,-159.0,,-196.0,,,,,-191.0,,2558.7,-254.2,,-260.7,-234.1,,,-121.0,,False,,,,,False,,False,False,,False,False,,,True
20183,89,30.0,,,,,,,54.0,,285.7,6.6,,0.4,,,,38.0,-59.0,,,,,,,-35.0,,196.7,-82.4,,-88.6,,,,-51.0,,,,,,,True,,False,False,,False,,,,True
20185,108,10.0,,0.0,,,,,42.0,,21.2,17.5,,4.8,,,,3.0,-98.0,,-108.0,,,,,-66.0,,-86.8,-90.5,,-103.2,,,,-105.0,,False,,,,,True,,True,True,,False,,,,False
