,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
New Jersey,49457,29392.0,23987.7,29370.2,30940.0,38145.0,,25843.0,30501.0,51471.4,38648.7,,18440.0,23875.0,28542.3,21184.5,33451.0,28683.5,38617.2,41669.0,42179.0,36416.2,39291.0,,40502.6,21612.4,26901.6,26990.5,39865.9,16561.2,29640.0,37924.6,-20065.0,-25469.3,-20086.8,-18517.0,-11312.0,,-23614.0,-18956.0,2014.4,-10808.3,,-31017.0,-25582.0,-20914.7,-28272.5,-16006.0,-20773.5,-10839.8,-7788.0,-7278.0,-13040.8,-10166.0,,-8954.4,-27844.6,-22555.4,-22466.5,-9591.1,-32895.8,-19817.0,-11532.4,False,False,True,True,,False,True,True,True,,False,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,True,False,True,True
New Mexico,25769,14362.0,17022.7,14462.0,15745.0,14362.0,,12204.3,4070.0,22689.5,18638.7,,15230.0,14618.0,15963.0,16681.9,15907.0,16035.5,23340.7,19170.0,19363.1,18028.4,18418.0,,19252.6,57044.3,12701.3,14905.7,16967.9,17095.2,12647.0,16941.4,-11407.0,-8746.3,-11307.0,-10024.0,-11407.0,,-13564.7,-21699.0,-3079.5,-7130.3,,-10539.0,-11151.0,-9806.0,-9087.1,-9862.0,-9733.5,-2428.3,-6599.0,-6405.9,-7740.6,-7351.0,,-6516.4,31275.3,-13067.7,-10863.3,-8801.1,-8673.8,-13122.0,-8827.6,True,True,True,False,,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,False,True
New York,65215,36130.0,63439.6,35797.6,38593.0,47771.0,,44708.8,20774.0,67718.1,47579.9,,20851.0,36142.0,32285.5,29024.8,39413.0,34387.0,43377.8,48245.5,57013.9,45353.0,47759.0,,54907.3,36218.7,29240.0,35209.2,52901.6,20645.0,38703.0,42143.8,-29085.0,-1775.4,-29417.4,-26622.0,-17444.0,,-20506.2,-44441.0,2503.1,-17635.1,,-44364.0,-29073.0,-32929.5,-36190.2,-25802.0,-30828.0,-21837.2,-16969.5,-8201.1,-19862.0,-17456.0,,-10307.7,-28996.3,-35975.0,-30005.8,-12313.4,-44570.0,-26512.0,-23071.2,True,False,True,True,,True,False,True,True,,False,True,False,False,True,False,True,True,True,True,True,,True,True,False,False,True,False,True,True
North Carolina,41016,33220.0,36578.2,33164.0,36505.0,34433.0,,32264.0,20652.0,45667.3,35224.6,,35659.0,30444.0,37344.8,36490.3,36979.0,35502.5,42122.9,36180.0,38356.3,38353.5,41889.0,,48315.5,23499.6,34465.7,41877.8,43668.6,32189.5,34020.0,45760.7,-7796.0,-4437.8,-7852.0,-4511.0,-6583.0,,-8752.0,-20364.0,4651.3,-5791.4,,-5357.0,-10572.0,-3671.2,-4525.7,-4037.0,-5513.5,1106.9,-4836.0,-2659.7,-2662.5,873.0,,7299.5,-17516.4,-6550.3,861.8,2652.6,-8826.5,-6996.0,4744.7,True,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,False,True,True
North Dakota,18336,18576.0,26216.6,18723.2,19539.0,16280.0,,16956.7,18761.0,24307.0,17172.3,,19475.0,17775.0,20025.9,31715.7,21354.0,22268.5,24419.1,22120.0,22527.9,18507.9,22992.0,,25565.0,15861.2,16932.6,17941.9,21617.8,25412.5,19154.0,20084.4,240.0,7880.6,387.2,1203.0,-2056.0,,-1379.3,425.0,5971.0,-1163.7,,1139.0,-561.0,1689.9,13379.7,3018.0,3932.5,6083.1,3784.0,4191.9,171.9,4656.0,,7229.0,-2474.8,-1403.4,-394.1,3281.8,7076.5,818.0,1748.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False
Ohio,97559,60060.0,92921.0,60505.8,64841.0,82518.0,,51576.1,20523.0,72820.5,70130.0,,62333.0,60440.0,56306.5,59073.6,67414.0,61792.5,90611.8,89243.5,89131.3,72182.7,79044.0,,82862.1,17570.0,42712.7,47158.1,84448.0,106559.4,61619.0,69281.4,-37499.0,-4638.0,-37053.2,-32718.0,-15041.0,,-45982.9,-77036.0,-24738.5,-27429.0,,-35226.0,-37119.0,-41252.5,-38485.4,-30145.0,-35766.5,-6947.2,-8315.5,-8427.7,-25376.3,-18515.0,,-14696.9,-79989.0,-54846.3,-50400.9,-13111.0,9000.4,-35940.0,-28277.6,True,True,True,True,,False,False,True,True,,True,True,False,False,True,True,True,True,True,True,True,,True,False,False,False,True,True,True,True
Oklahoma,39173,17978.0,21756.5,19060.9,19729.0,18403.0,,17512.0,15114.0,36706.4,17332.6,,17628.0,22492.0,21215.0,22733.9,21164.0,22317.0,19789.4,25514.5,33397.8,25802.9,18410.0,,16547.9,16806.1,14672.9,19728.5,26242.2,17223.1,16812.0,19298.5,-21195.0,-17416.5,-20112.1,-19444.0,-20770.0,,-21661.0,-24059.0,-2466.6,-21840.4,,-21545.0,-16681.0,-17958.0,-16439.1,-18009.0,-16856.0,-19383.6,-13658.5,-5775.2,-13370.1,-20763.0,,-22625.1,-22366.9,-24500.1,-19444.5,-12930.8,-21949.9,-22361.0,-19874.5,True,True,True,True,,False,False,True,False,,False,True,True,True,True,True,True,True,True,True,True,,False,False,False,True,True,False,False,True
Oregon,14081,9332.0,11639.0,9155.2,9772.0,11927.0,,8433.0,4088.0,10938.4,11155.8,,9896.0,9638.0,8875.9,10815.8,10369.0,8563.0,8672.0,12230.5,14967.0,12056.3,12402.0,,17205.6,7973.8,6739.3,7958.2,14534.1,10413.8,10692.0,10933.5,-4749.0,-2442.0,-4925.8,-4309.0,-2154.0,,-5648.0,-9993.0,-3142.6,-2925.2,,-4185.0,-4443.0,-5205.1,-3265.2,-3712.0,-5518.0,-5409.0,-1850.5,886.0,-2024.7,-1679.0,,3124.6,-6107.2,-7341.7,-6122.8,453.1,-3667.2,-3389.0,-3147.5,True,False,True,True,,False,False,True,True,,True,True,False,True,True,False,False,True,True,True,True,,True,False,False,False,True,True,True,True
Pennsylvania,74495,39404.0,49428.1,38879.2,41505.0,50062.0,,36667.2,23508.0,59462.1,43580.0,,38267.0,39193.0,40058.6,38832.6,44535.0,39604.5,49826.5,55568.0,53029.1,49860.9,51908.0,,49814.4,22566.6,35031.9,37623.5,55756.9,57622.8,40191.0,49520.0,-35091.0,-25066.9,-35615.8,-32990.0,-24433.0,,-37827.8,-50987.0,-15032.9,-30915.0,,-36228.0,-35302.0,-34436.4,-35662.4,-29960.0,-34890.5,-24668.5,-18927.0,-21465.9,-24634.1,-22587.0,,-24680.6,-51928.4,-39463.1,-36871.5,-18738.1,-16872.2,-34304.0,-24975.0,True,False,True,True,,False,False,True,True,,False,False,True,False,True,True,True,True,True,True,True,,True,False,False,False,True,True,True,True
Rhode Island,11621,7012.0,6649.2,7159.7,7423.0,5496.0,,6840.6,5688.0,15284.1,7304.6,,5383.0,8412.0,7724.7,6314.0,8067.0,6554.0,11002.0,13912.0,7688.6,9852.3,5743.0,,7574.9,11914.9,5555.1,7646.2,6266.0,6812.0,5044.0,9286.2,-4609.0,-4971.8,-4461.3,-4198.0,-6125.0,,-4780.4,-5933.0,3663.1,-4316.4,,-6238.0,-3209.0,-3896.3,-5307.0,-3554.0,-5067.0,-619.0,2291.0,-3932.4,-1768.7,-5878.0,,-4046.1,293.9,-6065.9,-3974.8,-5355.0,-4809.0,-6577.0,-2334.8,False,True,True,False,,False,False,True,True,,False,True,True,False,True,False,True,True,True,True,False,,True,True,False,True,False,False,False,True
South Carolina,20276,16260.0,8758.1,16468.7,16160.0,16896.0,,14741.2,6994.0,19513.3,22659.0,,16421.0,16592.0,15852.4,14582.2,16828.0,15341.5,13333.9,14498.5,18893.8,18722.5,19268.0,,20097.7,11422.9,11461.3,16368.1,22409.2,16096.7,15650.0,18786.2,-4016.0,-11517.9,-3807.3,-4116.0,-3380.0,,-5534.8,-13282.0,-762.7,2383.0,,-3855.0,-3684.0,-4423.6,-5693.8,-3448.0,-4934.5,-6942.1,-5777.5,-1382.2,-1553.5,-1008.0,,-178.3,-8853.1,-8814.7,-3907.9,2133.2,-4179.3,-4626.0,-1489.8,False,True,False,True,,False,False,True,True,,True,True,False,False,True,False,False,False,True,True,True,,True,False,False,True,True,False,False,True
South Dakota,18238,15968.0,23894.0,15629.0,18548.0,14645.0,,16105.0,14230.0,23485.4,13365.3,,20402.0,19325.0,19352.0,24067.0,17648.0,20186.0,23421.0,17571.0,19527.8,19591.0,21179.0,,19403.5,15300.0,13243.2,20072.7,18874.4,23309.2,3972.0,17577.7,-2270.0,5656.0,-2609.0,310.0,-3593.0,,-2133.0,-4008.0,5247.4,-4872.7,,2164.0,1087.0,1114.0,5829.0,-590.0,1948.0,5183.0,-667.0,1289.8,1353.0,2941.0,,1165.5,-2938.0,-4994.8,1834.7,636.4,5071.2,-14266.0,-660.3,False,False,True,False,,True,False,False,False,,True,True,True,False,True,True,False,True,True,True,False,,True,False,False,True,True,False,False,True
Tennessee,57672,35086.0,25797.1,34295.0,35494.0,33092.0,,30768.9,19465.0,62505.6,44186.2,,38749.0,41803.0,39662.1,34739.9,35712.0,35131.0,46779.6,37849.5,49605.5,44898.6,39694.0,,42108.2,9719.1,33925.2,43552.7,44238.5,33840.0,27437.0,45773.8,-22586.0,-31874.9,-23377.0,-22178.0,-24580.0,,-26903.1,-38207.0,4833.6,-13485.8,,-18923.0,-15869.0,-18009.9,-22932.1,-21960.0,-22541.0,-10892.4,-19822.5,-8066.5,-12773.4,-17978.0,,-15563.8,-47952.9,-23746.8,-14119.3,-13433.5,-23832.0,-30235.0,-11898.2,False,False,True,False,,False,False,True,True,,True,True,True,False,True,True,True,True,True,True,True,,True,False,False,True,True,False,False,True
Texas,146999,105600.0,143465.1,104783.2,110007.0,130447.0,,99399.6,35823.0,134585.6,128534.4,,107279.0,106136.0,109040.1,135877.0,119040.0,97303.5,123713.6,116881.0,121735.3,100374.3,125485.0,,125325.4,81060.0,76195.9,105782.0,149175.9,105145.0,112362.0,89173.2,-41399.0,-3533.9,-42215.8,-36992.0,-16552.0,,-47599.4,-111176.0,-12413.4,-18464.6,,-39720.0,-40863.0,-37958.9,-11122.0,-27959.0,-49695.5,-23285.4,-30118.0,-25263.7,-46624.7,-21514.0,,-21673.6,-65939.0,-70803.1,-41217.0,2176.9,-41854.0,-34637.0,-57825.8,True,False,True,True,,False,False,True,True,,True,True,True,True,True,False,True,True,True,False,True,,True,False,False,True,True,False,True,False
Utah,43744,31158.0,34419.5,30286.2,32333.0,31780.0,,27078.9,7539.0,43834.7,28002.6,,36205.0,33036.0,30304.6,21020.4,34451.0,31125.0,41115.1,39977.0,42946.8,32058.3,34390.0,,42748.2,29948.5,32479.8,29681.5,32148.3,45628.8,27233.0,40397.0,-12586.0,-9324.5,-13457.8,-11411.0,-11964.0,,-16665.1,-36205.0,90.7,-15741.4,,-7539.0,-10708.0,-13439.4,-22723.6,-9293.0,-12619.0,-2628.9,-3767.0,-797.2,-11685.7,-9354.0,,-995.8,-13795.5,-11264.2,-14062.5,-11595.7,1884.8,-16511.0,-3347.0,True,False,True,True,,False,False,True,False,,True,True,False,False,True,False,True,True,True,True,True,,True,False,True,False,True,True,False,True
Vermont,1199,336.0,3036.0,329.4,367.0,471.0,,29.6,260.0,521.5,596.6,,132.0,323.0,371.8,1049.7,447.0,358.0,516.1,536.0,531.6,1176.2,453.0,,469.7,414.8,296.6,362.9,897.8,219.0,372.0,283.8,-863.0,1837.0,-869.6,-832.0,-728.0,,-1169.4,-939.0,-677.5,-602.4,,-1067.0,-876.0,-827.2,-149.3,-752.0,-841.0,-682.9,-663.0,-667.4,-22.8,-746.0,,-729.3,-784.2,-902.4,-836.1,-301.2,-980.0,-827.0,-915.2,False,False,True,True,,False,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,False,True,False
Virginia,24806,19366.0,5267.2,19126.8,20156.0,21748.0,,18822.9,10436.0,26654.2,22794.0,,20454.0,18701.0,20277.2,23327.7,21011.0,19457.0,20406.1,21992.5,26209.6,24670.8,25269.0,,25460.4,9350.4,16473.1,19619.7,27428.4,17534.9,20943.0,21875.8,-5440.0,-19538.8,-5679.2,-4650.0,-3058.0,,-5983.1,-14370.0,1848.2,-2012.0,,-4352.0,-6105.0,-4528.8,-1478.3,-3795.0,-5349.0,-4399.9,-2813.5,1403.6,-135.2,463.0,,654.4,-15455.6,-8332.9,-5186.3,2622.4,-7271.1,-3863.0,-2930.2,False,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,False,True,True
Washington,25249,17020.0,19117.2,16766.9,17428.0,25938.0,,16475.3,6017.0,21729.0,19006.2,,17546.0,15838.0,12851.8,15314.2,18833.0,15878.5,15377.0,18979.0,25196.9,21243.4,21338.0,,26221.9,13644.6,15218.1,13415.9,25897.6,15414.2,20308.0,19186.8,-8229.0,-6131.8,-8482.1,-7821.0,689.0,,-8773.7,-19232.0,-3520.0,-6242.8,,-7703.0,-9411.0,-12397.2,-9934.8,-6416.0,-9370.5,-9872.0,-6270.0,-52.1,-4005.6,-3911.0,,972.9,-11604.4,-10030.9,-11833.1,648.6,-9834.8,-4941.0,-6062.2,True,False,True,True,,False,False,True,True,,True,False,False,False,True,False,False,True,True,True,True,,True,False,False,False,True,False,True,True
West Virginia,11989,6298.0,9195.7,6309.9,7568.0,8436.0,,6130.3,4439.0,9490.6,7803.7,,6793.0,7006.0,7568.3,12077.8,6681.0,7153.0,8436.0,9630.5,10577.9,,8272.0,,7649.3,5700.0,4505.5,6420.8,9442.4,7627.3,5801.0,9243.7,-5691.0,-2793.3,-5679.1,-4421.0,-3553.0,,-5858.7,-7550.0,-2498.4,-4185.3,,-5196.0,-4983.0,-4420.7,88.8,-5308.0,-4836.0,-3553.0,-2358.5,-1411.1,,-3717.0,,-4339.7,-6289.0,-7483.5,-5568.2,-2546.6,-4361.7,-6188.0,-2745.3,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,True,,True,,True,False,False,True,True,True,False,True
Wisconsin,94716,75522.0,79038.1,75040.7,81968.0,81194.0,,68648.9,32224.0,134001.4,79080.1,,83218.0,81408.0,89203.0,106818.6,86465.0,86893.0,83470.1,74874.0,94910.5,,94949.0,,109876.9,90773.2,86823.7,80085.7,86031.1,94860.6,60685.0,83130.7,-19194.0,-15677.9,-19675.3,-12748.0,-13522.0,,-26067.1,-62492.0,39285.4,-15635.9,,-11498.0,-13308.0,-5513.0,12102.6,-8251.0,-7823.0,-11245.9,-19842.0,194.5,,233.0,,15160.9,-3942.8,-7892.3,-14630.3,-8684.9,144.6,-34031.0,-11585.3,True,False,True,True,,False,False,False,True,,True,True,True,True,True,True,True,False,True,,True,,True,True,True,True,True,True,False,True
Wyoming,10813,6598.0,5763.2,6605.6,7262.0,5533.0,,5940.0,4981.0,10130.6,7741.6,,7726.0,6830.0,7546.4,11659.9,7582.0,7400.5,9447.3,9960.5,8963.5,,8291.0,,9568.7,9801.4,7163.3,6568.1,8683.1,10366.1,5042.0,8619.7,-4215.0,-5049.8,-4207.4,-3551.0,-5280.0,,-4873.0,-5832.0,-682.4,-3071.4,,-3087.0,-3983.0,-3266.6,846.9,-3231.0,-3412.5,-1365.7,-852.5,-1849.5,,-2522.0,,-1244.3,-1011.6,-3649.7,-4244.9,-2129.9,-446.9,-5771.0,-2193.3,False,True,True,False,,False,False,True,True,,True,True,True,True,True,True,True,True,True,,True,,True,True,True,False,True,True,False,True
US,2204552,1454308.0,1780217.2,1464241.9,1710205.0,1775028.0,2155534.0,1545633.5,988832.0,2039239.6,,1621930.0,1475695.0,1306632.0,1479552.7,1574562.7,1565605.0,,1882276.6,2010081.0,1998137.4,1591755.4,1821935.0,1565815.0,2163426.9,1035426.1,1679101.0,,1940559.9,2161973.6,1439204.0,1634454.8,-750244.0,-424334.8,-740310.1,-494347.0,-429524.0,-49018.0,-658918.5,-1215720.0,-165312.4,,-582622.0,-728857.0,-897920.0,-724999.3,-629989.3,-638947.0,,-322275.4,-194471.0,-206414.6,-612796.6,-382617.0,-638737.0,-41125.1,-1169125.9,-525451.0,,-263992.1,-42578.4,-765348.0,-570097.2,True,True,True,True,True,True,False,True,,True,True,False,True,True,True,,True,True,True,True,True,True,True,False,True,,True,True,False,True
