,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Nevada,12727,10260.0,11532.9,10148.2,10925.0,11170.0,,2643.0,11545.9,12084.7,12673.4,,11050.0,10192.0,10856.2,10714.4,11644.0,7659.5,9815.0,11393.3,11453.0,11868.8,12051.8,11446.0,,13921.5,2000.4,,8598.9,9701.2,12146.0,10949.6,11330.8,10930.0,16767.0,-2467.0,-1194.1,-2578.8,-1802.0,-1557.0,,-10084.0,-1181.1,-642.3,-53.6,,-1677.0,-2535.0,-1870.8,-2012.6,-1083.0,-5067.5,-2912.0,-1333.7,-1274.0,-858.2,-675.2,-1281.0,,1194.5,-10726.6,,-4128.1,-3025.8,-581.0,-1777.4,-1396.2,-1797.0,4040.0,True,False,True,True,,False,True,True,True,,True,False,True,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,False
New Hampshire,2882,2080.0,3309.3,2043.3,2461.0,2488.0,,1808.0,2578.7,2660.1,2902.7,,2038.0,2079.0,1623.2,2531.7,2455.0,1489.6,1807.5,3043.1,3025.0,2784.5,2756.2,2482.0,,3133.4,1683.3,,1939.2,1376.2,2561.3,3107.0,2877.5,2345.0,2556.3,-802.0,427.3,-838.7,-421.0,-394.0,,-1074.0,-303.3,-221.9,20.7,,-844.0,-803.0,-1258.8,-350.3,-427.0,-1392.4,-1074.5,161.1,143.0,-97.5,-125.8,-400.0,,251.4,-1198.7,,-942.8,-1505.8,-320.7,225.0,-4.5,-537.0,-325.7,True,False,True,True,,False,True,True,True,,False,False,False,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
New Jersey,31734,22154.0,29157.5,22335.4,24644.0,25548.0,,16639.0,33477.8,27673.5,25471.1,,16133.0,22619.0,20097.5,22816.4,27229.0,24692.7,20281.0,28652.8,30933.0,33779.3,30664.6,27755.0,,33671.1,18281.1,,20682.2,17874.7,27668.5,32932.0,34129.3,23739.0,37952.9,-9580.0,-2576.5,-9398.6,-7090.0,-6186.0,,-15095.0,1743.8,-4060.5,-6262.9,,-15601.0,-9115.0,-11636.5,-8917.6,-4505.0,-7041.3,-11453.0,-3081.2,-801.0,2045.3,-1069.4,-3979.0,,1937.1,-13452.9,,-11051.8,-13859.3,-4065.5,1198.0,2395.3,-7995.0,6218.9,True,True,True,True,,False,True,True,True,,False,True,False,True,True,True,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
New Mexico,16269,9500.0,9684.7,9526.5,9922.0,9667.0,,2781.0,15705.6,10370.5,10194.7,,9914.0,10176.0,10403.8,13884.6,11783.0,7057.0,10016.0,13024.6,11741.5,9636.4,10261.2,10128.0,,11137.3,35794.7,,8981.6,9238.2,10763.9,11701.3,7708.2,9126.0,11900.1,-6769.0,-6584.3,-6742.5,-6347.0,-6602.0,,-13488.0,-563.4,-5898.5,-6074.3,,-6355.0,-6093.0,-5865.2,-2384.4,-4486.0,-9212.0,-6253.0,-3244.4,-4527.5,-6632.6,-6007.8,-6141.0,,-5131.7,19525.7,,-7287.4,-7030.8,-5505.1,-4567.7,-8560.8,-7143.0,-4368.9,True,True,True,True,,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,False,True,True,False,False,True
New York,35759,30943.0,26433.3,31229.8,33620.0,36444.0,,14293.0,34826.0,41367.7,43690.4,,20479.0,32301.0,25181.4,48306.8,35728.0,36565.2,26440.0,40485.6,40696.5,38328.8,36317.3,33822.0,,43875.3,19128.0,,28756.1,21636.5,39697.5,51145.0,38975.8,34100.0,37118.4,-4816.0,-9325.7,-4529.2,-2139.0,685.0,,-21466.0,-933.0,5608.7,7931.4,,-15280.0,-3458.0,-10577.6,12547.8,-31.0,806.2,-9319.0,4726.6,4937.5,2569.8,558.3,-1937.0,,8116.3,-16631.0,,-7002.9,-14122.5,3938.5,15386.0,3216.8,-1659.0,1359.4,False,True,True,True,,False,True,False,False,,False,True,False,False,True,True,False,True,False,True,True,True,,False,False,,False,False,True,False,True,True,True
North Carolina,23143,17873.0,14330.0,17806.5,18840.0,17852.0,,10472.0,26778.0,19334.8,21368.4,,19560.0,18696.0,19395.5,15034.3,21551.0,16939.2,18247.0,19108.6,19964.0,22535.2,22936.4,21398.0,,21958.2,11624.7,,18984.9,21577.2,22765.1,16428.9,22052.9,18030.0,23339.9,-5270.0,-8813.0,-5336.5,-4303.0,-5291.0,,-12671.0,3635.0,-3808.2,-1774.6,,-3583.0,-4447.0,-3747.5,-8108.7,-1592.0,-6203.8,-4896.0,-4034.4,-3179.0,-607.8,-206.6,-1745.0,,-1184.8,-11518.3,,-4158.1,-1565.8,-377.9,-6714.1,-1090.1,-5113.0,196.9,False,False,True,False,,False,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,True,False,,True,True,True,False,True,True,True
North Dakota,8668,9668.0,10077.1,9656.5,10029.0,8680.0,,10507.0,10701.1,11599.2,13488.8,,9716.0,9866.0,11551.8,7079.6,11051.0,4114.2,11191.0,12623.9,8776.0,10012.0,10670.5,10410.0,,12030.6,7830.2,,9386.5,11302.4,10064.6,11189.7,8104.5,9681.0,11582.2,1000.0,1409.1,988.5,1361.0,12.0,,1839.0,2033.1,2931.2,4820.8,,1048.0,1198.0,2883.8,-1588.4,2383.0,-4553.8,2523.0,3955.9,108.0,1344.0,2002.5,1742.0,,3362.6,-837.8,,718.5,2634.4,1396.6,2521.7,-563.5,1013.0,2914.2,False,True,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,True,,True,False,False,False,True,False,False
Ohio,53043,44516.0,54773.4,44861.1,49186.0,52288.0,,11545.0,50929.4,56748.3,56758.3,,46538.0,48665.0,44024.8,58223.5,52609.0,38407.5,42864.5,53844.0,66252.5,63548.3,54729.0,54000.0,,65300.8,45215.9,,37963.9,35776.4,55216.2,70612.5,63793.0,45399.0,69287.9,-8527.0,1730.4,-8181.9,-3857.0,-755.0,,-41498.0,-2113.6,3705.3,3715.3,,-6505.0,-4378.0,-9018.2,5180.5,-434.0,-14635.5,-10178.5,801.0,13209.5,10505.3,1686.0,957.0,,12257.8,-7827.1,,-15079.1,-17266.6,2173.2,17569.5,10750.0,-7644.0,16244.9,True,True,True,True,,False,True,True,True,,True,True,False,True,True,False,False,True,False,False,True,True,,False,True,,False,False,True,False,False,True,False
Oklahoma,20719,18454.0,18827.2,18811.9,17982.0,20110.0,,8018.0,17795.3,21654.9,19140.4,,15933.0,20420.0,13620.7,22680.1,18165.0,7915.9,13783.5,19731.7,23529.5,24123.2,21293.9,20909.0,,23638.3,8296.5,,15785.9,10168.0,22420.4,14977.9,26343.9,15910.0,23825.8,-2265.0,-1891.8,-1907.1,-2737.0,-609.0,,-12701.0,-2923.7,935.9,-1578.6,,-4786.0,-299.0,-7098.3,1961.1,-2554.0,-12803.1,-6935.5,-987.3,2810.5,3404.2,574.9,190.0,,2919.3,-12422.5,,-4933.1,-10551.0,1701.4,-5741.1,5624.9,-4809.0,3106.8,True,True,False,True,,False,False,True,True,,False,True,False,True,False,False,False,True,False,False,True,True,,False,False,,False,False,True,False,False,False,False
Oregon,7650,6431.0,6475.9,6457.9,7104.0,7078.0,,2729.0,6151.7,8247.9,7549.3,,6729.0,7292.0,6529.1,8607.9,7881.0,6524.1,5999.5,10064.1,7922.5,7698.1,7531.6,7660.0,,8886.8,4167.4,,5492.3,5273.5,9462.5,8575.0,7692.0,7131.0,8156.1,-1219.0,-1174.1,-1192.1,-546.0,-572.0,,-4921.0,-1498.3,597.9,-100.7,,-921.0,-358.0,-1120.9,957.9,231.0,-1125.9,-1650.5,2414.1,272.5,48.1,-118.4,10.0,,1236.8,-3482.6,,-2157.7,-2376.5,1812.5,925.0,42.0,-519.0,506.1,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,False,False,True,True,True,True,,False,False,,False,False,False,True,True,True,True
Pennsylvania,42766,31729.0,43729.4,32224.9,39306.0,40037.0,,24634.0,40818.0,37806.0,35130.6,,31434.0,33004.0,29332.2,46130.4,38796.0,32731.0,28635.0,42612.0,42767.0,41467.5,38448.6,35093.0,,,17187.2,,30058.9,24402.4,39671.9,48042.4,39319.4,32926.0,43817.7,-11037.0,963.4,-10541.1,-3460.0,-2729.0,,-18132.0,-1948.0,-4960.0,-7635.4,,-11332.0,-9762.0,-13433.8,3364.4,-3970.0,-10035.0,-14131.0,-154.0,1.0,-1298.5,-4317.4,-7673.0,,,-25578.8,,-12707.1,-18363.6,-3094.1,5276.4,-3446.6,-9840.0,1051.7,True,True,True,True,,False,True,True,True,,False,True,False,True,True,True,False,True,True,True,True,True,,,False,,False,False,True,True,True,True,True
Rhode Island,6472,5149.0,5280.3,5146.9,5131.0,3842.0,,4484.0,83091.4,6171.0,4491.0,,4218.0,5612.0,4840.3,6491.3,6100.0,2981.4,4367.0,6416.4,4856.0,5115.3,6210.4,3341.0,,5062.2,6694.1,,4881.0,4605.8,4535.9,6551.2,2393.6,3992.0,5364.0,-1323.0,-1191.7,-1325.1,-1341.0,-2630.0,,-1988.0,76619.4,-301.0,-1981.0,,-2254.0,-860.0,-1631.7,19.3,-372.0,-3490.6,-2105.0,-55.6,-1616.0,-1356.7,-261.6,-3131.0,,-1409.8,222.1,,-1591.0,-1866.2,-1936.1,79.2,-4078.4,-2480.0,-1108.0,True,False,False,False,,False,False,True,False,,False,True,False,True,True,False,False,True,False,False,True,False,,False,True,,False,False,False,True,False,False,True
South Carolina,11004,9272.0,8180.1,9171.5,9364.0,9633.0,,3811.0,9941.2,12267.0,13235.0,,10046.0,9902.0,9315.4,7785.8,11301.0,6836.1,8563.5,7150.4,9359.0,12512.8,11976.2,11229.0,,13237.0,5545.1,,7881.1,9414.0,12670.6,8744.1,12402.6,10037.0,10861.7,-1732.0,-2823.9,-1832.5,-1640.0,-1371.0,,-7193.0,-1062.8,1263.0,2231.0,,-958.0,-1102.0,-1688.6,-3218.2,297.0,-4167.9,-2440.5,-3853.6,-1645.0,1508.8,972.2,225.0,,2233.0,-5458.9,,-3122.9,-1590.0,1666.6,-2259.9,1398.6,-967.0,-142.3,False,False,True,True,,False,True,True,False,,True,True,True,False,True,False,False,False,True,True,True,True,,False,False,,False,True,True,False,True,True,True
South Dakota,8032,10206.0,10601.8,10334.6,10270.0,9577.0,,8126.0,12741.0,11831.3,11973.9,,11341.0,9768.0,11454.3,8891.3,12346.0,3824.2,11002.5,12093.4,9627.0,10128.7,11296.3,11152.0,,13598.2,7651.0,,9213.9,10702.9,11614.5,11306.1,9842.1,0.0,13255.8,2174.0,2569.8,2302.6,2238.0,1545.0,,94.0,4709.0,3799.3,3941.9,,3309.0,1736.0,3422.3,859.3,4314.0,-4207.8,2970.5,4061.4,1595.0,2096.7,3264.3,3120.0,,5566.2,-381.0,,1181.9,2670.9,3582.5,3274.1,1810.1,-8032.0,5223.8,False,False,False,True,,True,False,False,False,,False,True,False,True,False,False,False,False,True,True,False,False,,False,True,,True,False,False,False,True,False,False
Tennessee,30767,26905.0,34695.2,26932.4,27528.0,27977.0,,11022.0,34070.2,25804.6,31968.9,,27309.0,27078.0,25553.2,32805.0,30833.0,15369.0,24057.0,31495.1,32571.0,35750.6,32838.1,34423.0,,31932.9,19314.9,,25889.9,22769.3,31876.7,22478.4,34046.2,26355.0,33087.9,-3862.0,3928.2,-3834.6,-3239.0,-2790.0,,-19745.0,3303.2,-4962.4,1201.9,,-3458.0,-3689.0,-5213.8,2038.0,66.0,-15398.0,-6710.0,728.1,1804.0,4983.6,2071.1,3656.0,,1165.9,-11452.1,,-4877.1,-7997.7,1109.7,-8288.6,3279.2,-4412.0,2320.9,False,True,True,True,,False,True,False,True,,True,True,False,True,True,False,False,True,True,False,True,True,,True,False,,False,False,True,False,True,False,True
Texas,85517,67168.0,78064.0,67289.4,67966.0,72487.0,,19312.0,77330.0,84813.9,69897.2,,67258.0,77092.0,67827.0,90983.4,73625.0,47948.5,59571.5,68606.9,74790.0,75997.1,62071.6,72359.0,,85787.2,40614.0,,57082.7,64414.1,88456.4,59659.2,68105.1,66306.0,70992.6,-18349.0,-7453.0,-18227.6,-17551.0,-13030.0,,-66205.0,-8187.0,-703.1,-15619.8,,-18259.0,-8425.0,-17690.0,5466.4,-11892.0,-37568.5,-25945.5,-16910.1,-10727.0,-9519.9,-23445.4,-13158.0,,270.2,-44903.0,,-28434.3,-21102.9,2939.4,-25857.8,-17411.9,-19211.0,-14524.4,True,True,True,True,,False,True,True,True,,True,True,True,True,True,False,False,True,True,True,False,True,,True,False,,False,False,True,False,True,False,True
Utah,22838,20906.0,18214.3,21092.7,20800.0,17060.0,,4963.0,23147.7,25396.2,23264.2,,23783.0,20750.0,21241.3,16486.5,21649.0,12634.9,20316.0,25257.8,22371.5,24101.9,23500.5,22695.0,,30663.2,15526.1,,20111.0,18227.5,19019.8,24481.9,18775.9,18364.0,17804.1,-1932.0,-4623.7,-1745.3,-2038.0,-5778.0,,-17875.0,309.7,2558.2,426.2,,945.0,-2088.0,-1596.7,-6351.5,-1189.0,-10203.1,-2522.0,2419.8,-466.5,1263.9,662.5,-143.0,,7825.2,-7311.9,,-2727.0,-4610.5,-3818.2,1643.9,-4062.1,-4474.0,-5033.9,False,True,False,False,,False,True,False,True,,True,False,True,False,True,False,False,False,True,True,True,True,,False,False,,False,False,False,True,False,False,False
Vermont,703,496.0,219.4,498.1,509.0,685.0,,200.0,436.2,662.1,741.9,,300.0,519.0,283.7,2051.2,575.0,446.3,382.0,855.8,898.0,537.8,762.2,468.0,,1085.7,228.8,,429.0,215.1,808.7,1078.6,790.6,571.0,550.2,-207.0,-483.6,-204.9,-194.0,-18.0,,-503.0,-266.8,-40.9,38.9,,-403.0,-184.0,-419.3,1348.2,-128.0,-256.7,-321.0,152.8,195.0,-165.2,59.2,-235.0,,382.7,-474.2,,-274.0,-487.9,105.7,375.6,87.6,-132.0,-152.8,False,True,True,True,,False,False,True,True,,False,True,False,False,True,False,False,True,True,True,True,False,,False,False,,False,False,True,False,True,True,True
Virginia,14880,9926.0,17577.0,9888.4,10536.0,10267.0,,6721.0,13321.1,11667.7,11511.0,,10417.0,11263.0,10854.3,10701.2,13350.0,10629.8,10395.5,10987.7,10253.5,9914.0,11661.6,10859.0,,10833.4,4540.7,,9153.8,11765.1,15307.1,9588.4,8642.7,10870.0,12022.9,-4954.0,2697.0,-4991.6,-4344.0,-4613.0,,-8159.0,-1558.9,-3212.3,-3369.0,,-4463.0,-3617.0,-4025.7,-4178.8,-1530.0,-4250.2,-4484.5,-3892.3,-4626.5,-4966.0,-3218.4,-4021.0,,-4046.6,-10339.3,,-5726.2,-3114.9,427.1,-5291.6,-6237.3,-4010.0,-2857.1,True,False,True,True,,False,True,True,True,,True,True,True,True,True,True,True,True,True,False,True,True,,True,False,,False,True,True,False,False,True,True
Washington,14538,11720.0,15219.4,11870.6,13366.0,15134.0,,3320.0,12724.6,14290.7,16795.0,,12525.0,12930.0,10188.5,15162.7,13710.0,11650.5,11015.0,19401.3,17486.0,16273.7,16029.8,14633.0,,15892.9,7100.1,,10721.6,9498.2,16104.7,13635.7,19839.3,13182.0,16390.8,-2818.0,681.4,-2667.4,-1172.0,596.0,,-11218.0,-1813.4,-247.3,2257.0,,-2013.0,-1608.0,-4349.5,624.7,-828.0,-2887.5,-3523.0,4863.3,2948.0,1735.7,1491.8,95.0,,1354.9,-7437.9,,-3816.4,-5039.8,1566.7,-902.3,5301.3,-1356.0,1852.8,True,True,True,True,,False,True,True,True,,True,True,False,True,True,False,False,False,False,True,True,True,,True,False,,False,False,True,True,False,True,True
West Virginia,6806,5183.0,6425.5,5149.0,5194.0,6495.0,,2475.0,5326.2,6223.9,6921.5,,5500.0,4666.0,4621.7,7466.5,5921.0,3558.5,4757.5,5153.3,5853.0,6645.4,6205.2,6056.0,,7510.7,2976.6,,4476.8,3913.1,7027.2,6637.2,7801.3,4889.0,5978.7,-1623.0,-380.5,-1657.0,-1612.0,-311.0,,-4331.0,-1479.8,-582.1,115.5,,-1306.0,-2140.0,-2184.3,660.5,-885.0,-3247.5,-2048.5,-1652.7,-953.0,-160.6,-600.8,-750.0,,704.7,-3829.4,,-2329.2,-2892.9,221.2,-168.8,995.3,-1917.0,-827.3,True,False,True,True,,False,True,True,True,,True,False,False,True,True,False,False,False,True,True,True,True,,True,False,,False,False,True,True,True,False,True
Wisconsin,48615,46101.0,25651.0,47427.8,50441.0,47747.0,,20511.0,66513.5,58190.8,47641.5,,53419.0,55759.0,52598.8,47382.2,55397.0,25246.6,50092.5,53391.1,53725.0,54761.1,52444.4,54273.0,,59642.2,46601.9,,48498.3,51534.6,47003.1,49361.5,41144.5,30256.0,70188.7,-2514.0,-22964.0,-1187.2,1826.0,-868.0,,-28104.0,17898.5,9575.8,-973.5,,4804.0,7144.0,3983.8,-1232.8,6782.0,-23368.4,1477.5,4776.1,5110.0,6146.1,3829.4,5658.0,,11027.2,-2013.1,,-116.7,2919.6,-1611.9,746.5,-7470.5,-18359.0,21573.7,False,True,True,True,,False,False,False,True,,False,False,False,True,False,False,True,False,False,False,False,False,,False,True,,True,False,True,True,False,False,False
Wyoming,5529,5284.0,5922.2,5300.9,5527.0,4303.0,,3411.0,6027.0,5814.3,5269.3,,5769.0,5760.0,4577.0,7860.3,6369.0,2698.2,5445.5,6160.4,6174.5,5192.8,5727.7,5688.0,,6555.1,5415.7,,5393.0,4127.7,5697.6,6568.2,4205.0,4424.0,6695.3,-245.0,393.2,-228.1,-2.0,-1226.0,,-2118.0,498.0,285.3,-259.7,,240.0,231.0,-952.0,2331.3,840.0,-2830.8,-83.5,631.4,645.5,-336.2,198.7,159.0,,1026.1,-113.3,,-136.0,-1401.3,168.6,1039.2,-1324.0,-1105.0,1166.3,False,True,True,False,,False,False,False,False,,True,True,False,False,False,False,True,False,False,False,True,True,,False,True,,True,False,True,False,False,False,False
US,1205378,1017810.0,1203809.9,1026024.3,1136360.0,1097233.0,1433233.0,686456.0,1412271.2,1267443.5,,1301350.0,1029273.0,1066389.0,1002619.3,1201568.3,1167623.0,745599.1,,1212974.1,1269858.5,1254017.9,1150067.7,1144947.0,1095232.5,1409296.5,672376.6,913900.0,1084384.1,,1207878.3,1298566.1,1115964.8,984428.0,1353019.8,-187568.0,-1568.1,-179353.7,-69018.0,-108145.0,227855.0,-518922.0,206893.2,62065.5,,95972.0,-176105.0,-138989.0,-202758.7,-3809.7,-37755.0,-459778.9,,7596.1,64480.5,48639.9,-55310.3,-60431.0,-110145.5,203918.5,-533001.4,-291478.0,-120993.9,,2500.3,93188.1,-89413.2,-220950.0,147641.8,True,True,True,True,False,False,False,True,,True,True,True,False,True,True,False,,True,True,True,True,True,True,False,False,False,True,,True,True,True,False,True
