,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
18105,1812,652.0,,657.4,,527.0,494.0,,,,,589.1,,898.0,,516.2,,747.5,624.5,,511.8,823.8,0.0,,,,890.0,492.0,,,410.0,,-1160.0,,-1154.6,,-1285.0,-1318.0,,,,,-1222.9,,-914.0,,-1295.8,,-1064.5,-1187.5,,-1300.2,-988.2,-1812.0,,,,-922.0,-1320.0,,,-1402.0,,,True,,False,False,,,,,False,,True,,False,,True,False,,False,True,False,,,,True,False,,,False,
18107,653,196.0,,190.3,,195.0,86.0,,,,,117.3,,309.0,,216.0,,121.3,194.5,,105.6,285.2,160.0,,,,,,,,365.0,238.1,-457.0,,-462.7,,-458.0,-567.0,,,,,-535.7,,-344.0,,-437.0,,-531.7,-458.5,,-547.4,-367.8,-493.0,,,,,,,,-288.0,-414.9,,False,,False,False,,,,,False,,True,,True,,False,False,,False,True,False,,,,,,,,True,True
18109,934,292.0,,292.9,,301.0,301.0,,,,,258.4,,551.0,,355.1,,471.9,396.5,,211.1,379.4,259.9,,,,,,,,257.0,257.3,-642.0,,-641.1,,-633.0,-633.0,,,,,-675.6,,-383.0,,-578.9,,-462.1,-537.5,,-722.9,-554.6,-674.1,,,,,,,,-677.0,-676.7,,True,,True,True,,,,,False,,True,,True,,True,True,,False,True,False,,,,,,,,False,False
18111,297,108.0,,108.2,,107.0,72.0,,,,,28.7,,116.0,,426.5,,42.1,,,31.8,116.6,33.6,,,,,,,,300.0,,-189.0,,-188.8,,-190.0,-225.0,,,,,-268.3,,-181.0,,129.5,,-254.9,,,-265.2,-180.4,-263.4,,,,,,,,3.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18113,1188,408.0,,410.3,,398.0,704.0,,,,,219.7,,391.0,,489.3,,283.8,487.5,,192.3,542.7,266.8,,,,198.8,,,,332.0,,-780.0,,-777.7,,-790.0,-484.0,,,,,-968.3,,-797.0,,-698.7,,-904.2,-700.5,,-995.7,-645.3,-921.2,,,,-989.2,,,,-856.0,,,True,,False,True,,,,,False,,False,,True,,False,True,,False,True,False,,,,False,,,,False,
18115,90,68.0,,60.9,,43.0,30.0,,,,,28.8,,36.0,,330.4,,12.8,,,12.9,68.0,30.4,,,,,,,,61.0,,-22.0,,-29.1,,-47.0,-60.0,,,,,-61.2,,-54.0,,240.4,,-77.2,,,-77.1,-22.0,-59.6,,,,,,,,-29.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,,,,,,,,False,
18117,218,184.0,,169.8,,172.0,273.0,,,,,117.8,,197.0,,214.9,,103.3,,,67.8,160.4,92.9,,,,,,,,136.0,,-34.0,,-48.2,,-46.0,55.0,,,,,-100.2,,-21.0,,-3.1,,-114.7,,,-150.2,-57.6,-125.1,,,,,,,,-82.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,False,False,,,,,,,,False,
18119,339,52.0,,51.1,,52.0,59.0,,,,,32.7,,154.0,,154.2,,39.5,,,7.4,63.9,33.4,,,,,,,,72.0,65.3,-287.0,,-287.9,,-287.0,-280.0,,,,,-306.3,,-185.0,,-184.8,,-299.5,,,-331.6,-275.1,-305.6,,,,,,,,-267.0,-273.7,,False,,False,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,True
18121,266,156.0,,166.9,,156.0,293.0,,,,,83.9,,155.0,,329.4,,55.4,,,49.6,152.1,67.6,,,,,,,,146.0,207.8,-110.0,,-99.1,,-110.0,27.0,,,,,-182.1,,-111.0,,63.4,,-210.6,,,-216.4,-113.9,-198.4,,,,,,,,-120.0,-58.2,,True,,False,True,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,False,True
18123,465,232.0,,238.1,,233.0,578.0,,,,,101.7,,167.0,,265.7,,91.1,,,259.3,316.6,52.7,,,,,,,,446.0,182.3,-233.0,,-226.9,,-232.0,113.0,,,,,-363.3,,-298.0,,-199.3,,-373.9,,,-205.7,-148.4,-412.3,,,,,,,,-19.0,-282.7,,True,,True,True,,,,,False,,False,,True,,False,,,True,True,False,,,,,,,,True,False
18125,154,132.0,,131.9,,109.0,234.0,,,,,62.1,,111.0,,161.1,,35.3,,,29.5,98.1,0.1,,,,,,,,71.0,,-22.0,,-22.1,,-45.0,80.0,,,,,-91.9,,-43.0,,7.1,,-118.7,,,-124.5,-55.9,-153.9,,,,,,,,-83.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,False,
18127,4254,1872.0,,1896.1,,1872.0,3197.0,,,,,1289.1,,1421.0,,1633.8,,1602.1,2176.5,,2483.4,2482.2,1115.3,,,,1254.2,6083.0,,,2489.0,,-2382.0,,-2357.9,,-2382.0,-1057.0,,,,,-2964.9,,-2833.0,,-2620.2,,-2651.9,-2077.5,,-1770.6,-1771.8,-3138.7,,,,-2999.8,1829.0,,,-1765.0,,,True,,False,True,,,,,False,,False,,False,,False,True,,True,True,False,,,,False,True,,,True,
18129,397,416.0,,449.0,,359.0,397.0,,,,,288.3,,160.0,,401.3,,108.3,,,326.2,360.9,30.1,,,,,,,,0.0,,19.0,,52.0,,-38.0,0.0,,,,,-108.7,,-237.0,,4.3,,-288.7,,,-70.8,-36.1,-366.9,,,,,,,,-397.0,,,False,,False,True,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,False,
18131,199,84.0,,78.2,,86.0,99.0,,,,,40.5,,125.0,,227.7,,31.2,,,51.6,137.5,43.7,,,,,,,,220.0,,-115.0,,-120.8,,-113.0,-100.0,,,,,-158.5,,-74.0,,28.7,,-167.8,,,-147.4,-61.5,-155.3,,,,,,,,21.0,,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18133,367,280.0,,272.8,,262.0,246.0,,,,,179.9,,296.0,,233.5,,148.4,256.0,,91.6,291.7,172.5,,,,,,,,255.0,,-87.0,,-94.2,,-105.0,-121.0,,,,,-187.1,,-71.0,,-133.5,,-218.6,-111.0,,-275.4,-75.3,-194.5,,,,,,,,-112.0,,,False,,False,False,,,,,False,,True,,False,,False,False,,False,True,False,,,,,,,,False,
18135,754,196.0,,183.2,,196.0,342.0,,,,,105.2,,224.0,,378.5,,117.4,,,99.1,218.1,76.7,,,,,,,,318.0,,-558.0,,-570.8,,-558.0,-412.0,,,,,-648.8,,-530.0,,-375.5,,-636.6,,,-654.9,-535.9,-677.3,,,,,,,,-436.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18137,705,228.0,,227.7,,228.0,333.0,,,,,136.5,,236.0,,278.6,,94.5,,,174.6,259.3,143.8,,,,,,,,168.0,,-477.0,,-477.3,,-477.0,-372.0,,,,,-568.5,,-469.0,,-426.4,,-610.5,,,-530.4,-445.7,-561.2,,,,,,,,-537.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,False,
18139,268,132.0,,146.0,,136.0,122.0,,,,,71.6,,156.0,,309.8,,43.9,,,36.3,137.1,55.9,,,,,,,,192.0,,-136.0,,-122.0,,-132.0,-146.0,,,,,-196.4,,-112.0,,41.8,,-224.1,,,-231.7,-130.9,-212.1,,,,,,,,-76.0,,,True,,True,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18141,6469,3356.0,,3384.7,3168.2,3005.0,3147.0,,,,,4947.8,,2614.0,,3595.5,,1977.4,3952.0,,2540.9,3979.4,2085.4,,,,2253.1,2289.0,,,3375.0,,-3113.0,,-3084.3,-3300.8,-3464.0,-3322.0,,,,,-1521.2,,-3855.0,,-2873.5,,-4491.6,-2517.0,,-3928.1,-2489.6,-4383.6,,,,-4215.9,-4180.0,,,-3094.0,,,True,False,False,False,,,,,True,,False,,True,,False,True,,False,True,False,,,,False,False,,,True,
18143,434,136.0,,135.3,,136.0,117.0,,,,,102.9,,222.0,,148.2,,133.2,,,86.5,191.0,83.8,,,,,,,,90.0,,-298.0,,-298.7,,-298.0,-317.0,,,,,-331.1,,-212.0,,-285.8,,-300.8,,,-347.5,-243.0,-350.2,,,,,,,,-344.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,False,
18145,791,428.0,,440.7,,410.0,1232.0,,,,,305.5,,410.0,,347.7,,353.3,334.5,,237.2,513.1,198.6,,,,,,,,456.0,,-363.0,,-350.3,,-381.0,441.0,,,,,-485.5,,-381.0,,-443.3,,-437.7,-456.5,,-553.8,-277.9,-592.4,,,,,,,,-335.0,,,True,,False,False,,,,,False,,False,,False,,False,False,,False,True,False,,,,,,,,True,
18147,378,180.0,,180.7,,140.0,136.0,,,,,123.2,,100.0,,183.0,,88.3,,,84.8,179.2,91.2,,,,,,,,114.0,,-198.0,,-197.3,,-238.0,-242.0,,,,,-254.8,,-278.0,,-195.0,,-289.7,,,-293.2,-198.8,-286.8,,,,,,,,-264.0,,,True,,False,False,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,False,
18149,434,240.0,,233.2,,238.0,341.0,,,,,138.1,,268.0,,357.3,,139.9,,,159.1,237.8,68.1,,,,,,,,196.0,,-194.0,,-200.8,,-196.0,-93.0,,,,,-295.9,,-166.0,,-76.7,,-294.1,,,-274.9,-196.2,-365.9,,,,,,,,-238.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,False,False,,,,,,,,False,
18151,716,288.0,,282.3,,288.0,369.0,,,,,133.7,,324.0,,455.7,,222.8,461.0,,171.3,332.2,161.7,,,,,,,,276.0,298.9,-428.0,,-433.7,,-428.0,-347.0,,,,,-582.3,,-392.0,,-260.3,,-493.2,-255.0,,-544.7,-383.8,-554.3,,,,,,,,-440.0,-417.1,,False,,False,True,,,,,False,,True,,True,,False,True,,False,True,False,,,,,,,,False,True
18153,360,192.0,,189.8,,169.0,0.0,,,,,95.5,,208.0,,263.7,,97.7,,,34.4,168.7,4.4,,,,,,,,245.0,,-168.0,,-170.2,,-191.0,-360.0,,,,,-264.5,,-152.0,,-96.3,,-262.3,,,-325.6,-191.3,-355.6,,,,,,,,-115.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,False,False,,,,,,,,True,
18155,146,52.0,,51.5,,49.0,47.0,,,,,12.4,,74.0,,105.5,,25.3,,,8.9,46.6,,,,,,,,,166.0,,-94.0,,-94.5,,-97.0,-99.0,,,,,-133.6,,-72.0,,-40.5,,-120.7,,,-137.1,-99.4,,,,,,,,,20.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,False,,,,,,,,,True,
18157,4029,1632.0,,1607.2,,1709.0,2295.0,,,,,1264.4,,1326.0,,1285.4,,1350.7,1829.0,,1735.9,1970.7,1350.8,,,,1934.8,2487.0,,,2033.0,,-2397.0,,-2421.8,,-2320.0,-1734.0,,,,,-2764.6,,-2703.0,,-2743.6,,-2678.3,-2200.0,,-2293.1,-2058.3,-2678.2,,,,-2094.2,-1542.0,,,-1996.0,,,False,,True,True,,,,,False,,False,,False,,False,True,,True,True,False,,,,True,True,,,True,
18159,239,76.0,,76.7,,74.0,10.0,,,,,47.8,,130.0,,124.2,,36.1,,,16.8,82.8,0.0,,,,,,,,116.0,,-163.0,,-162.3,,-165.0,-229.0,,,,,-191.2,,-109.0,,-114.8,,-202.9,,,-222.2,-156.2,-239.0,,,,,,,,-123.0,,,True,,False,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18161,139,60.0,,61.0,,43.0,33.0,,,,,19.7,,43.0,,213.2,,13.8,,,11.1,60.5,24.1,,,,,,,,102.0,105.0,-79.0,,-78.0,,-96.0,-106.0,,,,,-119.3,,-96.0,,74.2,,-125.2,,,-127.9,-78.5,-114.9,,,,,,,,-37.0,-34.0,,True,,False,False,,,,,False,,False,,True,,False,,,False,True,False,,,,,,,,True,True
18163,3080,2592.0,,2566.6,,2327.0,2624.0,,,,,1545.5,,1278.0,,2188.3,,1575.2,3125.5,,2326.0,2590.3,2122.2,,,,1477.8,2194.0,,,1908.0,,-488.0,,-513.4,,-753.0,-456.0,,,,,-1534.5,,-1802.0,,-891.7,,-1504.8,45.5,,-754.0,-489.7,-957.8,,,,-1602.2,-886.0,,,-1172.0,,,False,,False,True,,,,,False,,False,,False,,False,True,,False,False,False,,,,False,False,,,False,
18165,294,256.0,,249.0,,236.0,507.0,,,,,114.2,,155.0,,595.0,,45.4,,,128.2,242.3,74.5,,,,,,,,205.0,,-38.0,,-45.0,,-58.0,213.0,,,,,-179.8,,-139.0,,301.0,,-248.6,,,-165.8,-51.7,-219.5,,,,,,,,-89.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
18167,2825,1060.0,,1050.5,,948.0,992.0,,,,,634.7,,910.0,,1152.8,,693.6,1343.5,,459.1,1112.9,622.3,,,,731.7,,,,1034.0,,-1765.0,,-1774.5,,-1877.0,-1833.0,,,,,-2190.3,,-1915.0,,-1672.2,,-2131.4,-1481.5,,-2365.9,-1712.1,-2202.7,,,,-2093.3,,,,-1791.0,,,False,,False,False,,,,,False,,False,,True,,False,True,,False,True,False,,,,False,,,,False,
18169,982,264.0,,250.5,,262.0,544.0,,,,,138.2,,285.0,,556.4,,152.7,313.5,,85.1,265.4,116.2,,,,,,,,279.0,,-718.0,,-731.5,,-720.0,-438.0,,,,,-843.8,,-697.0,,-425.6,,-829.3,-668.5,,-896.9,-716.6,-865.8,,,,,,,,-703.0,,,False,,False,True,,,,,False,,True,,True,,False,True,,False,True,False,,,,,,,,True,
18171,135,68.0,,68.4,,69.0,87.0,,,,,44.8,,68.0,,247.1,,11.5,,,10.9,66.8,,,,,,,,,116.0,,-67.0,,-66.6,,-66.0,-48.0,,,,,-90.2,,-67.0,,112.1,,-123.5,,,-124.1,-68.2,,,,,,,,,-19.0,,,True,,True,True,,,,,False,,False,,False,,False,,,False,False,,,,,,,,,True,
18173,1049,700.0,,684.2,,564.0,424.0,,,,,565.1,,456.0,,541.1,,409.0,774.5,,560.4,695.5,479.8,,,,537.0,,,,499.0,,-349.0,,-364.8,,-485.0,-625.0,,,,,-483.9,,-593.0,,-507.9,,-640.0,-274.5,,-488.6,-353.5,-569.2,,,,-512.0,,,,-550.0,,,False,,False,False,,,,,False,,False,,False,,False,True,,False,False,False,,,,False,,,,False,
18175,291,168.0,,163.0,,164.0,336.0,,,,,78.4,,229.0,,303.8,,120.7,,,52.0,150.2,57.6,,,,,,,,299.0,,-123.0,,-128.0,,-127.0,45.0,,,,,-212.6,,-62.0,,12.8,,-170.3,,,-239.0,-140.8,-233.4,,,,,,,,8.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,False,False,,,,,,,,True,
18177,1498,904.0,,890.4,,853.0,858.0,,,,,501.8,,634.0,,1178.9,,602.2,937.5,,887.9,930.4,400.1,,,,542.3,,,,687.0,,-594.0,,-607.6,,-645.0,-640.0,,,,,-996.2,,-864.0,,-319.1,,-895.8,-560.5,,-610.1,-567.6,-1097.9,,,,-955.7,,,,-811.0,,,False,,False,False,,,,,False,,False,,True,,False,True,,False,True,False,,,,False,,,,False,
18179,687,176.0,,140.1,,185.0,481.0,,,,,93.4,,286.0,,511.1,,135.0,,,96.4,205.1,129.2,,,,,,,,125.0,,-511.0,,-546.9,,-502.0,-206.0,,,,,-593.6,,-401.0,,-175.9,,-552.0,,,-590.6,-481.9,-557.8,,,,,,,,-562.0,,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,False,
18181,526,184.0,,181.0,,183.0,338.0,,,,,117.3,,248.0,,211.7,,141.6,,,77.0,219.7,62.5,,,,,,,,191.0,,-342.0,,-345.0,,-343.0,-188.0,,,,,-408.7,,-278.0,,-314.3,,-384.4,,,-449.0,-306.3,-463.5,,,,,,,,-335.0,,,False,,False,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,True,
18183,772,200.0,,186.0,,195.0,193.0,,,,,103.3,,307.0,,406.5,,156.4,366.5,,171.0,247.3,127.8,,,,,,,,288.0,,-572.0,,-586.0,,-577.0,-579.0,,,,,-668.7,,-465.0,,-365.5,,-615.6,-405.5,,-601.0,-524.7,-644.2,,,,,,,,-484.0,,,False,,False,False,,,,,False,,True,,True,,False,True,,False,True,False,,,,,,,,True,
19001,250,132.0,,131.2,,128.0,134.0,,,,,38.9,,55.0,,664.1,,14.3,,,34.2,130.6,51.6,,,,,,,,120.0,,-118.0,,-118.8,,-122.0,-116.0,,,,,-211.1,,-195.0,,414.1,,-235.7,,,-215.8,-119.4,-198.4,,,,,,,,-130.0,,,False,,False,True,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
19003,72,52.0,,51.3,,39.0,26.0,,,,,29.3,,25.0,,122.6,,12.6,,,8.8,56.9,,,,,,,,,34.0,,-20.0,,-20.7,,-33.0,-46.0,,,,,-42.7,,-47.0,,50.6,,-59.4,,,-63.2,-15.1,,,,,,,,,-38.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,,,,,,,,,False,
19005,335,164.0,,154.9,,156.0,136.0,,,,,104.9,,162.0,,195.4,,34.8,,,42.8,149.0,141.4,,,,,,,,177.0,161.2,-171.0,,-180.1,,-179.0,-199.0,,,,,-230.1,,-173.0,,-139.6,,-300.2,,,-292.2,-186.0,-193.6,,,,,,,,-158.0,-173.8,,False,,False,False,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,True,False
19007,487,108.0,,105.4,,97.0,88.0,,,,,61.7,,111.0,,110.4,,30.2,,,24.9,101.2,37.4,,,,,,,,98.0,,-379.0,,-381.6,,-390.0,-399.0,,,,,-425.3,,-376.0,,-376.6,,-456.8,,,-462.1,-385.8,-449.6,,,,,,,,-389.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,False,False,,,,,,,,False,
19009,138,52.0,,53.0,,44.0,27.0,,,,,19.5,,44.0,,109.2,,7.9,,,6.0,50.5,0.0,,,,,,,,53.0,,-86.0,,-85.0,,-94.0,-111.0,,,,,-118.5,,-94.0,,-28.8,,-130.1,,,-132.0,-87.5,-138.0,,,,,,,,-85.0,,,True,,False,False,,,,,False,,False,,True,,False,,,False,False,False,,,,,,,,True,
19011,976,312.0,,298.7,,305.0,405.0,,,,,155.6,,192.0,,747.9,,82.5,,,136.4,327.0,248.7,,,,,,,,170.0,,-664.0,,-677.3,,-671.0,-571.0,,,,,-820.4,,-784.0,,-228.1,,-893.5,,,-839.6,-649.0,-727.3,,,,,,,,-806.0,,,False,,False,True,,,,,False,,False,,True,,False,,,False,True,False,,,,,,,,False,
19013,4635,1420.0,,1418.4,,1386.0,2358.0,,,,,1144.8,,1419.0,,1109.7,,744.8,1294.5,,1376.4,1759.9,60.8,,,,762.2,2535.0,,,1067.0,,-3215.0,,-3216.6,,-3249.0,-2277.0,,,,,-3490.2,,-3216.0,,-3525.3,,-3890.2,-3340.5,,-3258.6,-2875.1,-4574.2,,,,-3872.8,-2100.0,,,-3568.0,,,False,,False,True,,,,,False,,False,,False,,False,False,,False,True,False,,,,False,True,,,False,
19015,541,176.0,,178.0,,181.0,171.0,,,,,125.6,,234.0,,333.0,,132.5,,,54.4,202.4,179.7,,,,,,,,167.0,213.6,-365.0,,-363.0,,-360.0,-370.0,,,,,-415.4,,-307.0,,-208.0,,-408.5,,,-486.6,-338.6,-361.3,,,,,,,,-374.0,-327.4,,True,,True,False,,,,,False,,True,,True,,False,,,False,True,True,,,,,,,,False,True
19017,1079,204.0,,203.0,,205.0,233.0,,,,,125.2,,211.0,,293.4,,138.0,,,72.2,237.6,0.1,,,,,,,,177.0,165.5,-875.0,,-876.0,,-874.0,-846.0,,,,,-953.8,,-868.0,,-785.6,,-941.0,,,-1006.8,-841.4,-1078.9,,,,,,,,-902.0,-913.5,,False,,True,True,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,False,False
19019,621,220.0,,217.4,,217.0,205.0,,,,,129.1,,195.0,,315.1,,100.0,,,70.8,236.1,172.6,,,,,,,,177.0,,-401.0,,-403.6,,-404.0,-416.0,,,,,-491.9,,-426.0,,-305.9,,-521.0,,,-550.2,-384.9,-448.4,,,,,,,,-444.0,,,False,,False,False,,,,,False,,False,,True,,False,,,False,True,False,,,,,,,,False,
19021,643,212.0,,208.6,,134.0,0.0,,,,,135.9,,324.0,,189.8,,177.3,,,64.9,297.8,27.1,,,,74.7,,,,177.0,,-431.0,,-434.4,,-509.0,-643.0,,,,,-507.1,,-319.0,,-453.2,,-465.7,,,-578.1,-345.2,-615.9,,,,-568.3,,,,-466.0,,,False,,False,False,,,,,False,,True,,False,,False,,,False,True,False,,,,False,,,,False,
19023,516,104.0,,95.7,,107.0,84.0,,,,,76.4,,105.0,,201.5,,31.0,,,117.1,159.4,123.4,,,,,,,,87.0,,-412.0,,-420.4,,-409.0,-432.0,,,,,-439.6,,-411.0,,-314.5,,-485.0,,,-398.9,-356.6,-392.6,,,,,,,,-429.0,,,False,,True,False,,,,,False,,True,,True,,False,,,True,True,True,,,,,,,,False,
19025,677,172.0,,161.6,,142.0,126.0,,,,,107.9,,101.0,,171.1,,63.0,,,128.7,173.3,99.4,,,,,,,,110.0,,-505.0,,-515.4,,-535.0,-551.0,,,,,-569.1,,-576.0,,-505.9,,-614.0,,,-548.3,-503.7,-577.6,,,,,,,,-567.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,,,,,,,,False,
19027,749,376.0,,342.5,,359.0,179.0,,,,,252.2,,276.0,,461.3,,113.9,,,432.5,507.8,398.6,,,,333.1,,,,80.0,,-373.0,,-406.5,,-390.0,-570.0,,,,,-496.8,,-473.0,,-287.7,,-635.1,,,-316.5,-241.2,-350.4,,,,-415.9,,,,-669.0,,,False,,False,False,,,,,False,,False,,True,,False,,,True,True,True,,,,False,,,,False,
19029,352,352.0,,332.7,,276.0,532.0,,,,,118.4,,116.0,,1427.3,,65.0,,,89.9,261.4,171.5,,,,,,,,266.0,,0.0,,-19.3,,-76.0,180.0,,,,,-233.6,,-236.0,,1075.3,,-287.0,,,-262.1,-90.6,-180.5,,,,,,,,-86.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,False,
19031,532,384.0,,362.1,,325.0,431.0,,,,,118.5,,121.0,,1161.5,,63.2,,,142.7,328.1,142.9,,,,,,,,432.0,,-148.0,,-169.9,,-207.0,-101.0,,,,,-413.5,,-411.0,,629.5,,-468.8,,,-389.3,-203.9,-389.1,,,,,,,,-100.0,,,False,,False,True,,,,,False,,False,,False,,False,,,False,False,False,,,,,,,,True,
19033,1841,536.0,,575.3,,432.0,370.0,,,,,411.1,,555.0,,409.7,,106.2,401.5,,346.4,453.9,302.8,,,,406.0,,,,0.0,309.6,-1305.0,,-1265.7,,-1409.0,-1471.0,,,,,-1429.9,,-1286.0,,-1431.3,,-1734.8,-1439.5,,-1494.6,-1387.1,-1538.2,,,,-1435.0,,,,-1841.0,-1531.4,,True,,False,False,,,,,False,,True,,False,,False,False,,False,False,False,,,,False,,,,False,False
19035,340,144.0,,143.4,,142.0,92.0,,,,,79.6,,171.0,,165.2,,64.6,,,79.8,174.2,0.0,,,,,,,,92.0,,-196.0,,-196.6,,-198.0,-248.0,,,,,-260.4,,-169.0,,-174.8,,-275.4,,,-260.2,-165.8,-340.0,,,,,,,,-248.0,,,False,,False,False,,,,,False,,True,,True,,False,,,False,True,False,,,,,,,,False,
19037,421,112.0,,118.4,,90.0,35.0,,,,,80.8,,118.0,,81.2,,46.2,,,77.4,142.8,0.0,,,,,,,,90.0,,-309.0,,-302.6,,-331.0,-386.0,,,,,-340.2,,-303.0,,-339.8,,-374.8,,,-343.6,-278.2,-421.0,,,,,,,,-331.0,,,True,,False,False,,,,,False,,True,,False,,False,,,False,True,False,,,,,,,,False,
19039,109,168.0,,178.4,,101.0,69.0,,,,,78.3,,83.0,,131.1,,69.3,,,51.2,155.2,71.1,,,,,,,,133.0,,59.0,,69.4,,-8.0,-40.0,,,,,-30.7,,-26.0,,22.1,,-39.7,,,-57.8,46.2,-37.9,,,,,,,,24.0,,,False,,True,True,,,,,True,,True,,True,,True,,,True,True,True,,,,,,,,True,
19041,502,188.0,,190.2,,192.0,230.0,,,,,117.6,,317.0,,344.1,,108.5,,,75.1,188.3,238.8,,,,,,,,117.0,203.4,-314.0,,-311.8,,-310.0,-272.0,,,,,-384.4,,-185.0,,-157.9,,-393.5,,,-426.9,-313.7,-263.2,,,,,,,,-385.0,-298.6,,True,,True,True,,,,,False,,True,,True,,False,,,False,True,True,,,,,,,,False,True
19043,578,232.0,,224.7,,194.0,221.0,,,,,180.2,,174.0,,174.8,,77.1,,,160.2,248.7,132.2,,,,,,,,262.0,,-346.0,,-353.3,,-384.0,-357.0,,,,,-397.8,,-404.0,,-403.2,,-500.9,,,-417.8,-329.3,-445.8,,,,,,,,-316.0,,,False,,False,False,,,,,False,,False,,False,,False,,,False,True,False,,,,,,,,True,
19045,1541,460.0,,461.1,,460.0,408.0,,,,,377.7,,538.0,,401.3,,151.8,521.5,,493.0,611.0,361.1,,,,271.6,,,,470.0,,-1081.0,,-1079.9,,-1081.0,-1133.0,,,,,-1163.3,,-1003.0,,-1139.7,,-1389.2,-1019.5,,-1048.0,-930.0,-1179.9,,,,-1269.4,,,,-1071.0,,,True,,False,False,,,,,False,,True,,False,,False,True,,True,True,False,,,,False,,,,True,
