,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
13249,48,0.0,,0.0,,0.0,0.0,,,,,9.4,,19.0,,0.4,0.9,,,3.0,0.3,,2.0,,,,,,,0.0,,2.2,-48.0,,-48.0,,-48.0,-48.0,,,,,-38.6,,-29.0,,-47.6,-47.1,,,-45.0,-47.7,,-46.0,,,,,,,-48.0,,-45.8,,False,,False,False,,,,,True,,True,,True,True,,,True,True,,True,,,,,,,False,,True
13251,50,12.0,,15.0,,14.0,1.0,,,,,44.8,,53.0,,26.1,10.9,,,3.0,19.0,,19.0,,,,,,,13.0,,21.2,-38.0,,-35.0,,-36.0,-49.0,,,,,-5.2,,3.0,,-23.9,-39.1,,,-47.0,-31.0,,-31.0,,,,,,,-37.0,,-28.8,,True,,True,False,,,,,True,,True,,True,False,,,False,True,,True,,,,,,,True,,True
13253,121,12.0,,11.0,,12.0,0.0,,,,,39.2,,56.0,,24.5,5.8,,,9.0,16.9,,27.0,,,,,,,6.0,,22.1,-109.0,,-110.0,,-109.0,-121.0,,,,,-81.8,,-65.0,,-96.5,-115.2,,,-112.0,-104.1,,-94.0,,,,,,,-115.0,,-98.9,,False,,False,False,,,,,True,,True,,True,False,,,False,True,,True,,,,,,,False,,True
13255,641,204.0,,198.4,,202.0,181.0,,,,,240.8,,313.0,,258.3,102.1,340.0,,199.0,199.9,,328.0,,,,113.8,,,140.0,,253.6,-437.0,,-442.6,,-439.0,-460.0,,,,,-400.2,,-328.0,,-382.7,-538.9,-301.0,,-442.0,-441.1,,-313.0,,,,-527.2,,,-501.0,,-387.4,,False,,False,False,,,,,True,,True,,True,False,True,,False,False,,True,,,,False,,,False,,True
13257,147,90.0,,85.0,,82.0,40.0,,,,,127.8,,178.0,,79.9,50.0,,,30.0,67.7,,47.0,,,,99.6,,,47.0,,111.0,-57.0,,-62.0,,-65.0,-107.0,,,,,-19.2,,31.0,,-67.1,-97.0,,,-117.0,-79.3,,-100.0,,,,-47.4,,,-100.0,,-36.0,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,False,,,,True,,,False,,True
13259,55,108.0,,117.9,,36.0,14.0,,,,,54.1,,36.0,,95.6,12.1,,,11.0,20.6,,,,,,,,,0.0,,112.8,53.0,,62.9,,-19.0,-41.0,,,,,-0.9,,-19.0,,40.6,-42.9,,,-44.0,-34.4,,,,,,,,,-55.0,,57.8,,False,,True,True,,,,,True,,True,,True,True,,,True,True,,,,,,,,,False,,False
13261,229,24.0,,22.6,,20.0,0.0,,,,,75.2,,133.0,,13.4,22.7,30.0,,20.0,16.7,,23.0,,,,,,,23.0,,27.5,-205.0,,-206.4,,-209.0,-229.0,,,,,-153.8,,-96.0,,-215.6,-206.3,-199.0,,-209.0,-212.3,,-206.0,,,,,,,-206.0,,-201.5,,False,,False,False,,,,,True,,True,,False,False,True,,False,False,,False,,,,,,,False,,True
13263,51,6.0,,4.5,,6.0,0.0,,,,,15.2,,22.0,,12.7,7.5,,,10.0,15.6,,15.0,,,,,,,23.0,,4.6,-45.0,,-46.5,,-45.0,-51.0,,,,,-35.8,,-29.0,,-38.3,-43.5,,,-41.0,-35.4,,-36.0,,,,,,,-28.0,,-46.4,,False,,False,False,,,,,True,,True,,True,True,,,True,True,,True,,,,,,,True,,False
13265,7,15.0,,15.2,,7.0,0.0,,,,,16.2,,7.0,,12.1,2.2,,,5.0,2.0,,10.0,,,,,,,24.0,,18.3,8.0,,8.2,,0.0,-7.0,,,,,9.2,,0.0,,5.1,-4.8,,,-2.0,-5.0,,3.0,,,,,,,17.0,,11.3,,False,,True,True,,,,,False,,True,,True,True,,,True,True,,True,,,,,,,False,,False
13267,163,105.0,,97.7,,87.0,87.0,,,,,144.3,,96.0,,72.2,29.8,,,76.0,85.4,,137.0,,,,,,,96.0,,105.4,-58.0,,-65.3,,-76.0,-76.0,,,,,-18.7,,-67.0,,-90.8,-133.2,,,-87.0,-77.6,,-26.0,,,,,,,-67.0,,-57.6,,False,,False,False,,,,,True,,False,,False,False,,,False,False,,True,,,,,,,False,,True
13269,100,27.0,,26.3,,19.0,0.0,,,,,36.7,,43.0,,19.0,5.2,,,16.0,19.2,,22.0,,,,,,,41.0,,22.5,-73.0,,-73.7,,-81.0,-100.0,,,,,-63.3,,-57.0,,-81.0,-94.8,,,-84.0,-80.8,,-78.0,,,,,,,-59.0,,-77.5,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,False,,,,,,,True,,False
13271,149,9.0,,28.9,,36.0,35.0,,,,,83.2,,73.0,,350.9,17.5,,,37.0,26.9,,,,,,,,,5.0,,81.8,-140.0,,-120.1,,-113.0,-114.0,,,,,-65.8,,-76.0,,201.9,-131.5,,,-112.0,-122.1,,,,,,,,,-144.0,,-67.2,,True,,True,True,,,,,True,,True,,False,True,,,True,True,,,,,,,,,False,,True
13273,51,3.0,,4.8,,5.0,0.0,,,,,15.7,,33.0,,7.0,7.8,,,8.0,2.7,,7.0,,,,,,,1.0,,5.4,-48.0,,-46.2,,-46.0,-51.0,,,,,-35.3,,-18.0,,-44.0,-43.2,,,-43.0,-48.3,,-44.0,,,,,,,-50.0,,-45.6,,True,,True,False,,,,,True,,True,,True,True,,,True,False,,True,,,,,,,False,,True
13275,260,81.0,,72.0,,80.0,82.0,,,,,133.9,,162.0,,79.0,65.0,126.0,,80.0,94.5,,87.0,,,,62.4,,,93.0,,83.0,-179.0,,-188.0,,-180.0,-178.0,,,,,-126.1,,-98.0,,-181.0,-195.0,-134.0,,-180.0,-165.5,,-173.0,,,,-197.6,,,-167.0,,-177.0,,False,,False,True,,,,,True,,True,,False,False,True,,False,True,,True,,,,False,,,True,,True
13277,387,117.0,,119.3,,112.0,81.0,,,,,177.2,,185.0,,125.5,58.4,139.0,,72.0,106.6,,143.0,,,,73.6,,,102.0,,136.9,-270.0,,-267.7,,-275.0,-306.0,,,,,-209.8,,-202.0,,-261.5,-328.6,-248.0,,-315.0,-280.4,,-244.0,,,,-313.4,,,-285.0,,-250.1,,True,,False,False,,,,,True,,True,,True,False,True,,False,False,,True,,,,False,,,False,,True
13279,154,141.0,,129.1,,117.0,80.0,,,,,165.2,,119.0,,125.4,62.3,,,92.0,117.2,,130.0,,,,98.3,,,164.0,,171.0,-13.0,,-24.9,,-37.0,-74.0,,,,,11.2,,-35.0,,-28.6,-91.7,,,-62.0,-36.8,,-24.0,,,,-55.7,,,10.0,,17.0,,False,,False,False,,,,,True,,False,,False,False,,,False,False,,False,,,,False,,,True,,False
13281,89,81.0,,88.3,,77.0,33.0,,,,,88.2,,53.0,,84.6,20.2,,,77.0,69.9,,113.0,,,,,,,69.0,,91.3,-8.0,,-0.7,,-12.0,-56.0,,,,,-0.8,,-36.0,,-4.4,-68.8,,,-12.0,-19.1,,24.0,,,,,,,-20.0,,2.3,,True,,False,False,,,,,True,,False,,True,False,,,False,False,,False,,,,,,,False,,True
13283,68,45.0,,44.5,,32.0,0.0,,,,,46.0,,27.0,,53.5,14.2,,,31.0,27.4,,45.0,,,,,,,26.0,,48.2,-23.0,,-23.5,,-36.0,-68.0,,,,,-22.0,,-41.0,,-14.5,-53.8,,,-37.0,-40.6,,-23.0,,,,,,,-42.0,,-19.8,,False,,False,False,,,,,True,,False,,True,False,,,False,False,,False,,,,,,,False,,True
13285,768,147.0,,142.8,,147.0,263.0,,,,,221.3,,345.0,,225.3,101.0,315.5,,140.0,134.4,,177.0,,,,66.8,,,1.0,,188.5,-621.0,,-625.2,,-621.0,-505.0,,,,,-546.7,,-423.0,,-542.7,-667.0,-452.5,,-628.0,-633.6,,-591.0,,,,-701.2,,,-767.0,,-579.5,,False,,False,True,,,,,True,,True,,True,False,True,,False,False,,True,,,,False,,,False,,True
13287,89,15.0,,11.1,,9.0,0.0,,,,,24.9,,18.0,,9.6,12.5,,,7.0,9.8,,13.0,,,,,,,18.0,,15.1,-74.0,,-77.9,,-80.0,-89.0,,,,,-64.1,,-71.0,,-79.4,-76.5,,,-82.0,-79.2,,-76.0,,,,,,,-71.0,,-73.9,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,False,,,,,,,True,,True
13289,30,18.0,,18.9,,18.0,0.0,,,,,32.5,,30.0,,12.9,8.4,,,14.0,20.0,,20.0,,,,,,,25.0,,19.6,-12.0,,-11.1,,-12.0,-30.0,,,,,2.5,,0.0,,-17.1,-21.6,,,-16.0,-10.0,,-10.0,,,,,,,-5.0,,-10.4,,True,,False,False,,,,,True,,True,,False,False,,,False,True,,True,,,,,,,True,,True
13291,1615,93.0,,93.1,,78.0,21.0,,,,,118.4,,116.0,,73.2,45.0,,,76.0,77.4,,131.0,,,,,,,99.0,,92.6,-1522.0,,-1521.9,,-1537.0,-1594.0,,,,,-1496.6,,-1499.0,,-1541.8,-1570.0,,,-1539.0,-1537.6,,-1484.0,,,,,,,-1516.0,,-1522.4,,True,,False,False,,,,,True,,True,,False,False,,,False,False,,True,,,,,,,True,,False
13293,619,36.0,,39.0,,36.0,16.0,,,,,80.8,,152.0,,39.7,20.2,,,27.0,28.5,,31.0,,,,,,,36.0,,40.5,-583.0,,-580.0,,-583.0,-603.0,,,,,-538.2,,-467.0,,-579.3,-598.8,,,-592.0,-590.5,,-588.0,,,,,,,-583.0,,-578.5,,True,,False,False,,,,,True,,True,,True,False,,,False,False,,False,,,,,,,False,,True
13295,550,300.0,,314.2,,318.0,368.0,,,,,327.9,,601.0,,321.3,118.8,323.0,,389.0,307.3,,407.0,,,,293.3,,,275.0,,342.1,-250.0,,-235.8,,-232.0,-182.0,,,,,-222.1,,51.0,,-228.7,-431.2,-227.0,,-161.0,-242.7,,-143.0,,,,-256.7,,,-275.0,,-207.9,,True,,True,True,,,,,True,,True,,True,False,True,,True,True,,True,,,,False,,,False,,True
13297,700,234.0,,210.6,,249.0,120.0,,,,,382.9,,374.0,,672.8,216.3,626.0,,258.0,271.4,,,,,,201.8,,,138.0,,417.2,-466.0,,-489.4,,-451.0,-580.0,,,,,-317.1,,-326.0,,-27.2,-483.7,-74.0,,-442.0,-428.6,,,,,,-498.2,,,-562.0,,-282.8,,False,,True,False,,,,,True,,True,,True,False,True,,True,True,,,,,,False,,,False,,True
13299,803,126.0,,136.9,,102.0,112.0,,,,,179.7,,114.0,,63.2,57.5,170.5,,44.0,86.2,,73.0,,,,80.7,,,50.0,,140.5,-677.0,,-666.1,,-701.0,-691.0,,,,,-623.3,,-689.0,,-739.8,-745.5,-632.5,,-759.0,-716.8,,-730.0,,,,-722.3,,,-753.0,,-662.5,,True,,False,False,,,,,True,,False,,False,False,True,,False,False,,False,,,,False,,,False,,True
13301,44,18.0,,19.6,,12.0,0.0,,,,,22.7,,19.0,,6.2,2.8,,,12.0,7.8,,,,,,,,,51.0,,15.3,-26.0,,-24.4,,-32.0,-44.0,,,,,-21.3,,-25.0,,-37.8,-41.2,,,-32.0,-36.2,,,,,,,,,7.0,,-28.7,,True,,False,False,,,,,True,,True,,False,False,,,False,False,,,,,,,,,True,,False
13303,270,108.0,,115.7,,108.0,91.0,,,,,134.7,,99.0,,125.9,44.1,,,140.0,85.6,,166.0,,,,,,,91.0,,119.7,-162.0,,-154.3,,-162.0,-179.0,,,,,-135.3,,-171.0,,-144.1,-225.9,,,-130.0,-184.4,,-104.0,,,,,,,-179.0,,-150.3,,True,,False,False,,,,,True,,False,,True,False,,,True,False,,True,,,,,,,False,,True
13305,289,123.0,,124.5,,110.0,61.0,,,,,147.8,,102.0,,110.2,38.5,154.5,,125.0,110.3,,140.0,,,,76.5,,,6.0,,152.5,-166.0,,-164.5,,-179.0,-228.0,,,,,-141.2,,-187.0,,-178.8,-250.5,-134.5,,-164.0,-178.7,,-149.0,,,,-212.5,,,-283.0,,-136.5,,True,,False,False,,,,,True,,False,,False,False,True,,True,False,,True,,,,False,,,False,,True
13307,18,3.0,,2.5,,3.0,0.0,,,,,3.6,,8.0,,3.2,0.9,,,0.0,0.0,,0.0,,,,,,,0.0,,7.2,-15.0,,-15.5,,-15.0,-18.0,,,,,-14.4,,-10.0,,-14.8,-17.1,,,-18.0,-18.0,,-18.0,,,,,,,-18.0,,-10.8,,False,,False,False,,,,,True,,True,,True,False,,,False,False,,False,,,,,,,False,,True
13309,52,9.0,,8.4,,10.0,5.0,,,,,38.7,,25.0,,33.2,5.2,,,6.0,12.1,,,,,,,,,7.0,,21.0,-43.0,,-43.6,,-42.0,-47.0,,,,,-13.3,,-27.0,,-18.8,-46.8,,,-46.0,-39.9,,,,,,,,,-45.0,,-31.0,,False,,True,False,,,,,True,,True,,True,False,,,False,True,,,,,,,,,False,,True
13311,215,72.0,,69.7,,67.0,17.0,,,,,133.1,,136.0,,50.9,39.0,,,47.0,71.5,,84.0,,,,,,,63.0,,77.2,-143.0,,-145.3,,-148.0,-198.0,,,,,-81.9,,-79.0,,-164.1,-176.0,,,-168.0,-143.5,,-131.0,,,,,,,-152.0,,-137.8,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,True,,,,,,,False,,True
13313,1629,963.0,,953.0,,958.0,1035.0,,,,,841.2,,862.0,,863.9,486.4,893.5,,1380.0,1179.8,,1272.0,,,,705.1,,,1104.0,,1119.7,-666.0,,-676.0,,-671.0,-594.0,,,,,-787.8,,-767.0,,-765.1,-1142.6,-735.5,,-249.0,-449.2,,-357.0,,,,-923.9,,,-525.0,,-509.3,,False,,False,True,,,,,False,,False,,False,False,False,,True,True,,True,,,,False,,,True,,True
13315,98,12.0,,12.8,,12.0,0.0,,,,,25.0,,28.0,,16.8,3.3,,,8.0,7.7,,12.0,,,,,,,16.0,,11.5,-86.0,,-85.2,,-86.0,-98.0,,,,,-73.0,,-70.0,,-81.2,-94.7,,,-90.0,-90.3,,-86.0,,,,,,,-82.0,,-86.5,,True,,False,False,,,,,True,,True,,True,False,,,False,False,,False,,,,,,,True,,False
13317,106,75.0,,76.2,,59.0,0.0,,,,,72.6,,41.0,,52.2,9.8,,,91.0,58.2,,,,,,,,,89.0,,108.5,-31.0,,-29.8,,-47.0,-106.0,,,,,-33.4,,-65.0,,-53.8,-96.2,,,-15.0,-47.8,,,,,,,,,-17.0,,2.5,,True,,False,False,,,,,False,,False,,False,False,,,True,False,,,,,,,,,True,,True
13319,54,18.0,,19.1,,18.0,0.0,,,,,39.4,,27.0,,22.7,12.2,,,17.0,24.0,,22.0,,,,,,,27.0,,20.0,-36.0,,-34.9,,-36.0,-54.0,,,,,-14.6,,-27.0,,-31.3,-41.8,,,-37.0,-30.0,,-32.0,,,,,,,-27.0,,-34.0,,True,,False,False,,,,,True,,True,,True,False,,,False,True,,True,,,,,,,True,,True
13321,97,15.0,,10.3,,25.0,28.0,,,,,49.5,,73.0,,30.3,27.2,,,6.0,31.6,,44.0,,,,,,,10.0,,24.9,-82.0,,-86.7,,-72.0,-69.0,,,,,-47.5,,-24.0,,-66.7,-69.8,,,-91.0,-65.4,,-53.0,,,,,,,-87.0,,-72.1,,False,,True,True,,,,,True,,True,,True,True,,,False,True,,True,,,,,,,False,,True
15001,253,312.0,,319.9,,271.0,206.0,,,,,340.6,,,,608.1,651.4,263.5,,204.0,353.4,,284.0,,,,158.0,228.0,,335.0,,385.0,59.0,,66.9,,18.0,-47.0,,,,,87.6,,,,355.1,398.4,10.5,,-49.0,100.4,,31.0,,,,-95.0,-25.0,,82.0,,132.0,,False,,True,True,,,,,False,,,,False,False,True,,True,False,,True,,,,False,True,,False,,False
15003,1585,1026.0,,1025.5,1326.8,938.0,938.0,,,,,1702.5,,,,897.3,1244.1,1047.5,,804.0,1220.5,,918.0,,,,672.1,629.0,,306.0,,1083.8,-559.0,,-559.5,-258.2,-647.0,-647.0,,,,,117.5,,,,-687.7,-340.9,-537.5,,-781.0,-364.5,,-667.0,,,,-912.9,-956.0,,-1279.0,,-501.2,,False,True,False,False,,,,,True,,,,False,True,True,,False,True,,False,,,,False,False,,False,,True
15005,0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.4,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,0.4,0.0,,,,0.0,,0.0,,,,,,,,,,,True,,True,True,,,,,,,,,False,True,,,,True,,True,,,,,,,,,
15007,30,12.0,,11.2,,6.0,5.0,,,,,19.1,,,,22.7,19.4,4.5,,4.0,5.4,,5.0,,,,,,,10.0,,4.0,-18.0,,-18.8,,-24.0,-25.0,,,,,-10.9,,,,-7.3,-10.6,-25.5,,-26.0,-24.6,,-25.0,,,,,,,-20.0,,-26.0,,False,,False,False,,,,,True,,,,True,True,False,,False,False,,False,,,,,,,False,,False
15009,112,132.0,,106.3,,129.0,273.0,,,,,114.3,,,,554.1,109.4,146.5,,134.0,83.9,,296.0,,,,,127.0,,150.0,,292.4,20.0,,-5.7,,17.0,161.0,,,,,2.3,,,,442.1,-2.6,34.5,,22.0,-28.1,,184.0,,,,,15.0,,38.0,,180.4,,True,,True,False,,,,,True,,,,False,True,False,,False,False,,False,,,,,True,,False,,False
16001,6018,3441.0,,3358.3,3980.5,3635.0,3671.0,,,,,4078.5,,3642.0,,3669.8,2502.5,3354.5,,3607.0,3824.0,,5150.0,,,,1662.4,8265.0,,2455.0,,4348.1,-2577.0,,-2659.7,-2037.5,-2383.0,-2347.0,,,,,-1939.5,,-2376.0,,-2348.2,-3515.5,-2663.5,,-2411.0,-2194.0,,-868.0,,,,-4355.6,2247.0,,-3563.0,,-1669.9,,False,True,True,True,,,,,True,,True,,True,False,False,,True,True,,True,,,,False,True,,False,,True
16003,26,51.0,,51.3,,28.0,20.0,,,,,36.0,,7.0,,662.5,1.3,,,20.0,27.0,,50.0,,,,,,,37.0,,142.3,25.0,,25.3,,2.0,-6.0,,,,,10.0,,-19.0,,636.5,-24.7,,,-6.0,1.0,,24.0,,,,,,,11.0,,116.3,,False,,True,True,,,,,True,,True,,False,True,,,True,True,,True,,,,,,,True,,False
16005,1143,1326.0,,1239.8,,1268.0,1432.0,,,,,1130.1,,1196.0,,2893.7,292.1,1611.5,,1386.0,1134.6,,1843.0,,,,862.0,,,133.0,,1806.1,183.0,,96.8,,125.0,289.0,,,,,-12.9,,53.0,,1750.7,-850.9,468.5,,243.0,-8.4,,700.0,,,,-281.0,,,-1010.0,,663.1,,True,,True,False,,,,,True,,True,,False,False,False,,False,True,,False,,,,False,,,False,,False
16007,89,30.0,,30.5,,29.0,0.0,,,,,25.2,,42.0,,52.3,9.1,,,14.0,23.4,,32.0,,,,,,,21.0,,39.7,-59.0,,-58.5,,-60.0,-89.0,,,,,-63.8,,-47.0,,-36.7,-79.9,,,-75.0,-65.6,,-57.0,,,,,,,-68.0,,-49.3,,True,,False,False,,,,,False,,True,,True,False,,,False,False,,True,,,,,,,False,,True
16009,74,36.0,,39.1,,39.0,8.0,,,,,40.6,,79.0,,30.9,8.2,,,56.0,48.1,,36.0,,,,,,,80.0,,41.0,-38.0,,-34.9,,-35.0,-66.0,,,,,-33.4,,5.0,,-43.1,-65.8,,,-18.0,-25.9,,-38.0,,,,,,,6.0,,-33.0,,True,,True,False,,,,,True,,True,,False,False,,,True,True,,False,,,,,,,True,,True
16011,775,375.0,,368.5,,382.0,492.0,,,,,529.5,,838.0,,630.5,161.7,464.5,,399.0,325.9,,318.0,,,,,,,154.0,,392.2,-400.0,,-406.5,,-393.0,-283.0,,,,,-245.5,,63.0,,-144.5,-613.3,-310.5,,-376.0,-449.1,,-457.0,,,,,,,-621.0,,-382.8,,False,,True,True,,,,,True,,True,,True,False,True,,True,False,,False,,,,,,,False,,True
16013,285,156.0,,157.6,,157.0,237.0,,,,,130.3,,170.0,,129.3,37.1,,,160.0,164.8,,128.0,,,,,,,96.0,,184.3,-129.0,,-127.4,,-128.0,-48.0,,,,,-154.7,,-115.0,,-155.7,-247.9,,,-125.0,-120.2,,-157.0,,,,,,,-189.0,,-100.7,,True,,True,True,,,,,False,,True,,False,False,,,True,True,,False,,,,,,,False,,True
16015,38,36.0,,31.7,,21.0,4.0,,,,,30.3,,21.0,,28.3,5.9,,,8.0,15.7,,24.0,,,,,,,16.0,,40.2,-2.0,,-6.3,,-17.0,-34.0,,,,,-7.7,,-17.0,,-9.7,-32.1,,,-30.0,-22.3,,-14.0,,,,,,,-22.0,,2.2,,False,,False,False,,,,,False,,False,,False,False,,,False,False,,False,,,,,,,False,,False
16017,320,159.0,,163.1,,173.0,164.0,,,,,210.6,,235.0,,183.4,118.4,142.0,,198.0,178.5,,228.0,,,,,,,154.0,,174.0,-161.0,,-156.9,,-147.0,-156.0,,,,,-109.4,,-85.0,,-136.6,-201.6,-178.0,,-122.0,-141.5,,-92.0,,,,,,,-166.0,,-146.0,,True,,True,True,,,,,True,,True,,True,False,False,,True,True,,True,,,,,,,False,,True
16019,1924,1410.0,,1413.7,,1319.0,1262.0,,,,,1273.9,,1123.0,,1894.2,506.6,1755.5,,1268.0,1322.3,,1460.0,,,,844.6,,,930.0,,1600.4,-514.0,,-510.3,,-605.0,-662.0,,,,,-650.1,,-801.0,,-29.8,-1417.4,-168.5,,-656.0,-601.7,,-464.0,,,,-1079.4,,,-994.0,,-323.6,,True,,False,False,,,,,False,,False,,True,False,True,,False,False,,True,,,,False,,,False,,True
16021,125,213.0,,208.6,,211.0,165.0,,,,,165.1,,31.0,,501.9,14.0,,,361.0,188.8,,261.0,,,,,,,166.0,,277.8,88.0,,83.6,,86.0,40.0,,,,,40.1,,-94.0,,376.9,-111.0,,,236.0,63.8,,136.0,,,,,,,41.0,,152.8,,True,,True,True,,,,,True,,False,,False,False,,,False,True,,False,,,,,,,True,,False
16023,13,33.0,,22.9,,29.0,0.0,,,,,38.4,,13.0,,83.4,7.3,,,56.0,24.8,,55.0,,,,,,,12.0,,34.7,20.0,,9.9,,16.0,-13.0,,,,,25.4,,0.0,,70.4,-5.7,,,43.0,11.8,,42.0,,,,,,,-1.0,,21.7,,True,,True,True,,,,,False,,True,,False,True,,,False,True,,False,,,,,,,True,,False
16025,12,0.0,,0.2,,0.0,0.0,,,,,7.6,,3.0,,6.4,1.2,,,5.0,0.0,,6.0,,,,,,,0.0,,3.6,-12.0,,-11.8,,-12.0,-12.0,,,,,-4.4,,-9.0,,-5.6,-10.8,,,-7.0,-12.0,,-6.0,,,,,,,-12.0,,-8.4,,True,,False,False,,,,,True,,True,,True,True,,,True,True,,True,,,,,,,False,,True
16027,3337,1797.0,,1807.2,1946.7,1836.0,1798.0,,,,,2114.4,,1864.0,,1395.9,946.0,1779.0,,2292.5,2140.7,,2533.0,,,,927.8,2375.0,,1426.0,,2367.8,-1540.0,,-1529.8,-1390.3,-1501.0,-1539.0,,,,,-1222.6,,-1473.0,,-1941.1,-2391.0,-1558.0,,-1044.5,-1196.3,,-804.0,,,,-2409.2,-962.0,,-1911.0,,-969.2,,True,True,True,True,,,,,True,,True,,False,False,False,,True,True,,True,,,,False,True,,False,,True
16029,106,150.0,,145.0,,142.0,21.0,,,,,132.9,,48.0,,382.2,7.6,,,233.0,116.9,,145.0,,,,,,,59.0,,149.6,44.0,,39.0,,36.0,-85.0,,,,,26.9,,-58.0,,276.2,-98.4,,,127.0,10.9,,39.0,,,,,,,-47.0,,43.6,,True,,True,False,,,,,True,,False,,False,False,,,False,True,,True,,,,,,,False,,True
16031,536,411.0,,421.3,,417.0,858.0,,,,,437.6,,649.0,,707.2,36.8,,,365.5,355.6,,395.0,,,,261.3,,,232.0,,489.4,-125.0,,-114.7,,-119.0,322.0,,,,,-98.4,,113.0,,171.2,-499.2,,,-170.5,-180.4,,-141.0,,,,-274.7,,,-304.0,,-46.6,,True,,True,False,,,,,True,,True,,False,False,,,False,False,,False,,,,False,,,False,,True
16033,8,0.0,,0.2,,0.0,0.0,,,,,8.5,,6.0,,3.2,0.2,,,3.0,0.1,,0.0,,,,,,,0.0,,2.3,-8.0,,-7.8,,-8.0,-8.0,,,,,0.5,,-2.0,,-4.8,-7.8,,,-5.0,-7.9,,-8.0,,,,,,,-8.0,,-5.7,,True,,False,False,,,,,True,,True,,True,True,,,True,True,,False,,,,,,,False,,True
16035,213,51.0,,54.1,,51.0,0.0,,,,,75.6,,72.0,,75.5,14.4,,,23.0,50.8,,59.0,,,,,,,36.0,,54.2,-162.0,,-158.9,,-162.0,-213.0,,,,,-137.4,,-141.0,,-137.5,-198.6,,,-190.0,-162.2,,-154.0,,,,,,,-177.0,,-158.8,,True,,False,False,,,,,True,,True,,True,False,,,False,False,,True,,,,,,,False,,True
16037,34,12.0,,13.4,,10.0,0.0,,,,,22.2,,17.0,,7.4,4.8,,,18.0,8.7,,,,,,,,,19.0,,10.0,-22.0,,-20.6,,-24.0,-34.0,,,,,-11.8,,-17.0,,-26.6,-29.2,,,-16.0,-25.3,,,,,,,,,-15.0,,-24.0,,True,,False,False,,,,,True,,True,,False,False,,,True,False,,,,,,,,,True,,False
16039,233,198.0,,194.5,,224.0,230.0,,,,,257.3,,299.0,,213.5,54.0,,,250.0,224.4,,301.0,,,,,,,77.0,,244.9,-35.0,,-38.5,,-9.0,-3.0,,,,,24.3,,66.0,,-19.5,-179.0,,,17.0,-8.6,,68.0,,,,,,,-156.0,,11.9,,False,,True,True,,,,,True,,False,,True,False,,,True,True,,False,,,,,,,False,,True
