,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
New Mexico,32950,16350.0,22298.0,16256.3,18185.0,17999.0,,16485.3,5106.0,34106.9,20610.0,,19869.0,18193.3,21011.0,18438.0,7056.4,22261.0,33115.1,24787.5,17132.5,20533.9,20142.0,,25792.6,82601.5,12533.8,20323.2,13762.6,15261.0,18882.6,-16600.0,-10652.0,-16693.7,-14765.0,-14951.0,,-16464.7,-27844.0,1156.9,-12340.0,,-13081.0,-14756.7,-11939.0,-14512.0,-25893.6,-10689.0,165.1,-8162.5,-15817.5,-12416.1,-12808.0,,-7157.4,49651.5,-20416.2,-12626.8,-19187.4,-17689.0,-14067.4,True,False,True,True,,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,False,False,True
New York,85919,41133.0,23029.3,41765.1,43419.0,54999.0,,49633.2,23248.0,76109.2,48876.0,,28855.0,36058.8,36409.7,48689.0,69277.7,43695.0,61769.8,47142.0,53809.9,47271.4,39852.0,,25682.2,51295.9,33857.1,45483.9,25544.0,46527.0,48892.6,-44786.0,-62889.7,-44153.9,-42500.0,-30920.0,,-36285.8,-62671.0,-9809.8,-37043.0,,-57064.0,-49860.2,-49509.3,-37230.0,-16641.3,-42224.0,-24149.2,-38777.0,-32109.1,-38647.6,-46067.0,,-60236.8,-34623.1,-52061.9,-40435.1,-60375.0,-39392.0,-37026.4,False,True,True,True,,True,False,True,True,,False,False,False,True,True,True,True,True,True,True,False,,False,True,False,True,False,True,True
North Carolina,57626,49029.0,67529.9,49048.9,51771.0,58539.0,,45374.0,28382.0,76853.2,48029.8,,47575.0,52283.3,51718.0,53333.0,27307.7,50316.5,61494.8,48600.5,56853.0,51892.2,63959.0,,34954.8,35541.0,52664.5,58517.7,44637.3,52902.0,67003.8,-8597.0,9903.9,-8577.1,-5855.0,913.0,,-12252.0,-29244.0,19227.2,-9596.2,,-10051.0,-5342.7,-5908.0,-4293.0,-30318.3,-7309.5,3868.8,-9025.5,-773.0,-5733.8,6333.0,,-22671.2,-22085.0,-4961.5,891.7,-12988.7,-4724.0,9377.8,False,True,True,True,,False,False,False,False,,False,True,True,True,False,True,True,False,True,True,True,,False,False,True,True,False,True,False
North Dakota,27624,21126.0,11141.5,20950.9,21016.0,19531.0,,18362.5,9092.0,34647.2,21582.0,,21074.0,26696.3,30008.2,22435.0,3268.4,25529.5,32313.8,27604.5,29264.0,21978.5,22117.0,,17784.2,19671.6,17060.3,22978.5,31796.8,25014.0,23548.8,-6498.0,-16482.5,-6673.1,-6608.0,-8093.0,,-9261.5,-18532.0,7023.2,-6042.0,,-6550.0,-927.7,2384.2,-5189.0,-24355.6,-2094.5,4689.8,-19.5,1640.0,-5645.5,-5507.0,,-9839.8,-7952.4,-10563.7,-4645.5,4172.8,-2610.0,-4075.2,False,False,False,False,,False,False,False,True,,False,True,True,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Ohio,127589,59673.0,185256.9,59643.2,61037.0,77084.0,,55998.4,26142.0,84795.4,71113.3,,61434.0,61831.5,56565.5,69643.0,50696.0,67338.5,100471.5,97254.5,86755.1,63607.9,79328.0,,50425.6,19454.9,37183.2,60618.8,82053.7,62742.0,72703.8,-67916.0,57667.9,-67945.8,-66552.0,-50505.0,,-71590.6,-101447.0,-42793.6,-56475.7,,-66155.0,-65757.5,-71023.5,-57946.0,-76893.0,-60250.5,-27117.5,-30334.5,-40833.9,-63981.1,-48261.0,,-77163.4,-108134.1,-90405.8,-66970.2,-45535.3,-64847.0,-54885.2,True,False,True,True,,False,False,True,True,,True,True,False,True,False,True,True,True,True,True,True,,False,False,False,True,True,True,True
Oklahoma,48162,21231.0,37367.2,20559.5,23433.0,18704.0,,24650.9,16288.0,31516.0,22150.8,,28204.0,29141.9,31857.0,22424.0,12092.7,26572.5,29723.0,20439.5,26021.0,28994.9,23400.0,,18556.6,25424.0,11566.6,34962.0,23631.5,17600.0,26155.5,-26931.0,-10794.8,-27602.5,-24729.0,-29458.0,,-23511.1,-31874.0,-16646.0,-26011.2,,-19958.0,-19020.1,-16305.0,-25738.0,-36069.3,-21589.5,-18439.0,-27722.5,-22141.0,-19167.1,-24762.0,,-29605.4,-22738.0,-36595.4,-13200.0,-24530.5,-30562.0,-22006.5,True,False,True,False,,True,False,True,True,,True,True,True,True,False,True,True,False,True,True,True,,False,True,False,True,True,False,True
Oregon,18747,9546.0,10094.7,9425.6,9938.0,11444.0,,8967.2,5551.0,11380.8,10794.7,,9552.0,9817.8,11780.0,12617.0,8208.9,9663.5,11578.7,10764.5,13692.4,12205.7,13355.0,,9601.4,10926.5,6199.7,10046.4,9176.0,11552.0,12685.7,-9201.0,-8652.3,-9321.4,-8809.0,-7303.0,,-9779.8,-13196.0,-7366.2,-7952.3,,-9195.0,-8929.2,-6967.0,-6130.0,-10538.1,-9083.5,-7168.3,-7982.5,-5054.6,-6541.3,-5392.0,,-9145.6,-7820.5,-12547.3,-8700.6,-9571.0,-7195.0,-6061.3,True,False,True,True,,False,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,True,False,True,True
Pennsylvania,94197,46263.0,41907.6,46529.7,47672.0,62652.0,,46414.5,29852.0,69811.0,44964.2,,45187.0,45557.7,48536.7,52678.0,46454.0,50218.0,67271.4,59217.0,55283.1,47169.9,55287.0,,53567.9,20548.5,37349.6,47498.1,62608.1,49050.0,55293.6,-47934.0,-52289.4,-47667.3,-46525.0,-31545.0,,-47782.5,-64345.0,-24386.0,-49232.8,,-49010.0,-48639.3,-45660.3,-41519.0,-47743.0,-43979.0,-26925.6,-34980.0,-38913.9,-47027.1,-38910.0,,-40629.1,-73648.5,-56847.4,-46698.9,-31588.9,-45147.0,-38903.4,False,True,True,True,,True,False,True,False,,False,False,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,True
Rhode Island,15127,8268.0,7806.2,8406.0,9220.0,9677.0,,9196.2,7765.0,39532.3,6462.6,,25436.0,9598.9,8031.4,8970.0,2904.2,8987.5,14588.2,13480.0,9351.5,11153.1,7866.0,,14626.4,15778.4,5073.4,9951.7,6311.3,5693.0,11908.6,-6859.0,-7320.8,-6721.0,-5907.0,-5450.0,,-5930.8,-7362.0,24405.3,-8664.4,,10309.0,-5528.1,-7095.6,-6157.0,-12222.8,-6139.5,-538.8,-1647.0,-5775.5,-3973.9,-7261.0,,-500.6,651.4,-10053.6,-5175.3,-8815.7,-9434.0,-3218.4,False,True,True,True,,True,False,False,False,,False,True,False,True,False,True,True,True,True,True,False,,True,True,False,True,False,False,True
South Carolina,28406,21813.0,39850.6,22068.0,22101.0,24829.0,,22144.3,10345.0,26001.4,17549.9,,21123.0,21655.9,22214.9,24333.0,8545.1,21005.5,19092.5,22877.5,26804.9,25409.1,24611.0,,23064.5,15706.6,13779.0,22121.4,21751.4,20500.0,24350.2,-6593.0,11444.6,-6338.0,-6305.0,-3577.0,,-6261.7,-18061.0,-2404.6,-10856.1,,-7283.0,-6750.1,-6191.1,-4073.0,-19860.9,-7400.5,-9313.5,-5528.5,-1601.1,-2996.9,-3795.0,,-5341.5,-12699.4,-14627.0,-6284.6,-6654.6,-7906.0,-4055.8,False,True,True,True,,True,False,True,False,,False,False,True,True,False,False,False,True,True,True,True,,True,False,False,True,False,False,True
South Dakota,26222,23553.0,22443.9,23933.5,23820.0,25119.0,,20804.9,17709.0,42228.6,20236.4,,23231.0,27537.2,34489.4,26493.0,2249.9,28350.0,33580.1,32335.0,32283.3,25517.8,24721.0,,21672.1,20888.1,17026.8,23615.4,35111.9,9896.0,23057.1,-2669.0,-3778.1,-2288.5,-2402.0,-1103.0,,-5417.1,-8513.0,16006.6,-5985.6,,-2991.0,1315.2,8267.4,271.0,-23972.1,2128.0,7358.1,6113.0,6061.3,-704.2,-1501.0,,-4549.9,-5333.9,-9195.2,-2606.6,8889.9,-16326.0,-3164.9,False,True,True,True,,False,False,False,False,,False,True,False,True,False,True,False,False,False,True,True,,False,False,False,True,False,False,False
Tennessee,75215,49755.0,78635.1,49606.6,50922.0,45417.0,,54487.1,26394.0,63704.8,41234.6,,51137.0,62996.2,66093.9,60309.0,18240.0,60688.5,74984.3,46626.5,36483.3,45566.6,59840.0,,48245.4,15492.2,40973.7,67355.0,48154.4,42468.0,66030.1,-25460.0,3420.1,-25608.4,-24293.0,-29798.0,,-20727.9,-48821.0,-11510.2,-33980.4,,-24078.0,-12218.8,-9121.1,-14906.0,-56975.0,-14526.5,-230.7,-28588.5,-38731.7,-29648.4,-15375.0,,-26969.6,-59722.8,-34241.3,-7860.0,-27060.6,-32747.0,-9184.9,True,False,True,False,,True,False,True,False,,True,True,True,True,False,True,True,False,False,False,True,,False,False,False,True,False,False,True
Texas,250123,131697.0,120937.1,128896.1,136264.0,158296.0,,133496.8,47795.0,167444.3,105535.1,,157951.0,137463.4,169491.0,142816.0,65223.5,119169.5,173545.3,155338.5,139402.1,117469.2,148337.0,,99559.4,92124.9,79676.8,141250.0,131668.0,148854.0,99696.1,-118426.0,-129185.9,-121226.9,-113859.0,-91827.0,,-116626.2,-202328.0,-82678.7,-144587.9,,-92172.0,-112659.6,-80632.0,-107307.0,-184899.5,-130953.5,-76577.7,-94784.5,-110720.9,-132653.8,-101786.0,,-150563.6,-157998.1,-170446.2,-108873.0,-118455.0,-101269.0,-150426.9,False,False,True,True,,True,False,True,False,,True,True,True,True,False,False,True,True,True,False,True,,False,False,False,True,False,True,False
Utah,59323,34617.0,19041.6,34379.4,34378.0,30695.0,,32832.9,10398.0,60575.0,32857.0,,34956.0,38848.9,21332.9,29527.0,15233.8,38583.5,38847.6,41266.5,42312.7,36675.1,39067.0,,35117.5,45996.2,22085.5,40859.5,41440.8,30163.0,40786.3,-24706.0,-40281.4,-24943.6,-24945.0,-28628.0,,-26490.1,-48925.0,1252.0,-26466.0,,-24367.0,-20474.1,-37990.1,-29796.0,-44089.2,-20739.5,-20475.4,-18056.5,-17010.3,-22647.9,-20256.0,,-24205.5,-13326.8,-37237.5,-18463.5,-17882.2,-29160.0,-18536.7,False,False,False,False,,False,False,True,False,,True,True,False,False,False,True,True,True,True,True,True,,True,True,False,True,True,False,True
Vermont,1367,408.0,77.4,403.9,447.0,742.0,,58.5,154.0,487.4,583.4,,542.0,323.0,1480.9,568.0,469.0,537.5,696.5,443.5,452.9,1344.9,595.0,,715.9,180.8,343.6,472.7,193.3,545.0,440.5,-959.0,-1289.6,-963.1,-920.0,-625.0,,-1308.5,-1213.0,-879.6,-783.6,,-825.0,-1044.0,113.9,-799.0,-898.0,-829.5,-670.5,-923.5,-914.1,-22.1,-772.0,,-651.1,-1186.2,-1023.4,-894.3,-1173.7,-822.0,-926.5,False,False,True,True,,False,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,,True,False,False,True,False,True,True
Virginia,34489,26454.0,45864.1,26271.3,26415.0,32090.0,,24546.3,7084.0,42196.7,28240.3,,24436.0,25673.4,31995.1,29814.0,20168.2,26838.5,28543.3,29477.0,35875.0,30657.2,33239.0,,19850.3,14428.9,24149.4,25851.3,22567.4,28663.0,32264.0,-8035.0,11375.1,-8217.7,-8074.0,-2399.0,,-9942.7,-27405.0,7707.7,-6248.7,,-10053.0,-8815.6,-2493.9,-4675.0,-14320.8,-7650.5,-5945.7,-5012.0,1386.0,-3831.8,-1250.0,,-14638.7,-20060.1,-10339.6,-8637.7,-11921.6,-5826.0,-2225.0,False,False,False,True,,False,False,True,True,,False,False,True,True,False,True,True,True,True,True,True,,False,False,False,False,False,True,True
Washington,37121,15711.0,19440.5,16202.0,16970.0,18975.0,,17851.1,8619.0,21516.7,15389.9,,14770.0,16301.2,15184.6,17939.0,15599.5,17660.0,18436.2,18230.5,21956.7,20569.9,20454.0,,12320.0,17872.7,13099.8,18892.3,14688.9,17976.0,18756.8,-21410.0,-17680.5,-20919.0,-20151.0,-18146.0,,-19269.9,-28502.0,-15604.3,-21731.1,,-22351.0,-20819.8,-21936.4,-19182.0,-21521.5,-19461.0,-18684.8,-18890.5,-15164.3,-16551.1,-16667.0,,-24801.0,-19248.3,-24021.2,-18228.7,-22432.1,-19145.0,-18364.2,True,True,True,True,,True,False,True,False,,False,True,False,True,False,True,True,True,True,True,True,,False,True,False,True,False,True,True
West Virginia,15138,8232.0,12532.2,8484.1,8505.0,11395.0,,7099.4,5782.0,8860.8,8752.1,,6650.0,9049.5,17518.1,9410.0,4645.2,8490.0,11286.7,11795.0,11439.9,,10335.0,,6677.0,6945.7,5402.9,7505.2,9285.2,7946.0,11662.6,-6906.0,-2605.8,-6653.9,-6633.0,-3743.0,,-8038.6,-9356.0,-6277.2,-6385.9,,-8488.0,-6088.5,2380.1,-5728.0,-10492.8,-6648.0,-3851.3,-3343.0,-3698.1,,-4803.0,,-8461.0,-8192.3,-9735.1,-7632.8,-5852.8,-7192.0,-3475.4,True,True,True,True,,False,False,True,True,,False,True,True,True,False,True,True,True,True,,True,,False,False,False,False,True,False,True
Wisconsin,134350,92487.0,146873.7,91311.7,105423.0,102467.0,,89987.6,41421.0,168943.0,82901.9,,83501.0,123895.5,139718.1,97271.0,30189.8,108358.0,163235.0,104311.5,116332.8,,110262.0,,105101.2,149087.1,111943.6,115331.1,133491.4,68376.0,89084.1,-41863.0,12523.7,-43038.3,-28927.0,-31883.0,,-44362.4,-92929.0,34593.0,-51448.1,,-50849.0,-10454.5,5368.1,-37079.0,-104160.2,-25992.0,28885.0,-30038.5,-18017.2,,-24088.0,,-29248.8,14737.1,-22406.4,-19018.9,-858.6,-65974.0,-45265.9,True,False,True,True,,False,False,True,False,,False,True,True,True,False,True,True,True,True,,True,,True,True,True,True,True,False,False
Wyoming,14112,7479.0,20401.7,7439.4,8347.0,7499.0,,7707.6,4221.0,11629.5,9588.6,,8221.0,10475.7,19329.5,8240.0,1305.9,8925.0,12169.5,12435.5,9780.9,,9646.0,,8038.5,13343.8,8638.8,8276.4,13162.1,7107.0,11169.4,-6633.0,6289.7,-6672.6,-5765.0,-6613.0,,-6404.4,-9891.0,-2482.5,-4523.4,,-5891.0,-3636.3,5217.5,-5872.0,-12806.1,-5187.0,-1942.5,-1676.5,-4331.1,,-4466.0,,-6073.5,-768.2,-5473.2,-5835.6,-949.9,-7005.0,-2942.6,True,False,True,True,,True,False,True,True,,True,True,True,True,False,True,True,True,True,,True,,True,True,True,True,True,False,True
US,3047894,1645992.0,1722927.0,1643080.9,1847786.0,1959553.0,3331791.0,1893394.6,1063405.0,2587177.1,,1743300.0,1652779.0,1753161.0,1849177.8,,952053.5,,2359326.4,2259926.5,2074944.6,1680963.6,1942284.0,1954241.4,2158542.4,1301037.8,1754368.4,,1863177.3,1759455.5,1857304.9,-1401902.0,-1324967.0,-1404813.1,-1200108.0,-1088341.0,283897.0,-1154499.4,-1984489.0,-460716.9,,-1304594.0,-1395115.0,-1294733.0,-1198716.2,,-2095840.5,,-688567.6,-787967.5,-972949.4,-1366930.4,-1105610.0,-1093652.6,-889351.6,-1746856.2,-1293525.6,,-1184716.7,-1288438.5,-1190589.1,True,False,True,True,True,True,False,True,,True,True,True,True,,False,,True,True,True,True,True,True,True,False,True,,True,True,True
