,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
North Dakota,34666,22452.0,13926.9,22231.1,22403.0,17959.0,,20759.3,15718.0,36543.1,21275.7,,23376.0,28216.4,42638.9,26159.0,4243.7,28778.0,37897.7,18689.6,27894.7,,27819.0,9002.7,21466.0,25978.3,33998.6,14554.4,25577.0,-12214.0,-20739.1,-12434.9,-12263.0,-16707.0,,-13906.7,-18948.0,1877.1,-13390.3,,-11290.0,-6449.6,7972.9,-8507.0,-30422.3,-5888.0,3231.7,-15976.4,-6771.3,,-6847.0,-25663.3,-13200.0,-8687.7,-667.4,-20111.6,-9089.0,False,False,False,False,,False,False,True,False,,True,True,True,True,False,True,True,False,True,,True,False,False,True,True,False,True
Ohio,147480,62324.0,286399.9,62255.6,62840.0,77897.0,,62264.9,32908.0,91531.8,74423.9,,61442.0,78668.4,54621.7,69214.0,63447.9,72856.0,110997.7,49937.0,84364.5,,64228.5,7498.6,34499.5,50354.5,76922.3,90817.8,78162.0,-85156.0,138919.9,-85224.4,-84640.0,-69583.0,,-85215.1,-114572.0,-55948.2,-73056.1,,-86038.0,-68811.6,-92858.3,-78266.0,-84032.1,-74624.0,-36482.3,-97543.0,-63115.5,,-83251.5,-139981.4,-112980.5,-97125.5,-70557.7,-56662.2,-69318.0,False,False,True,True,,False,False,True,True,,False,True,False,True,True,True,True,False,True,,True,False,False,False,True,True,True
Oklahoma,55239,36868.0,53017.7,36838.0,36849.0,37243.0,,34680.7,29605.0,58323.0,35619.7,,37410.0,45426.8,41431.2,38426.0,16914.4,37953.5,41564.2,26297.5,42117.4,,23961.7,34024.7,19753.7,42167.0,38987.8,36698.4,33078.0,-18371.0,-2221.3,-18401.0,-18390.0,-17996.0,,-20558.3,-25634.0,3084.0,-19619.3,,-17829.0,-9812.2,-13807.8,-16813.0,-38324.6,-17285.5,-13674.8,-28941.5,-13121.6,,-31277.3,-21214.3,-35485.3,-13072.0,-16251.2,-18540.6,-22161.0,True,False,False,True,,False,False,True,False,,True,True,True,True,False,True,True,False,True,,False,False,False,True,True,False,False
Oregon,21929,9696.0,13976.5,9708.3,9828.0,10457.0,,8926.5,6434.0,14014.7,10734.6,,9892.0,11627.5,11759.3,14276.0,11288.2,10950.0,7246.3,8066.1,11035.6,,7890.1,13460.7,4792.1,14333.5,9482.0,15201.9,10152.0,-12233.0,-7952.5,-12220.7,-12101.0,-11472.0,,-13002.5,-15495.0,-7914.3,-11194.4,,-12037.0,-10301.5,-10169.7,-7653.0,-10640.8,-10979.0,-14682.7,-13862.9,-10893.4,,-14038.9,-8468.3,-17136.9,-7595.5,-12447.0,-6727.1,-11777.0,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,False,False,True,,False,True,False,True,False,True,True
Pennsylvania,109618,46808.0,57028.8,46248.2,48154.0,54479.0,,48509.9,38290.0,84061.2,58625.1,,45268.0,51731.4,44700.5,55080.0,63057.8,51934.5,78233.0,31094.1,56236.7,,41918.1,25422.0,26570.6,41966.8,45187.5,56412.5,47861.0,-62810.0,-52589.2,-63369.8,-61464.0,-55139.0,,-61108.1,-71328.0,-25556.8,-50992.9,,-64350.0,-57886.6,-64917.5,-54538.0,-46560.2,-57683.5,-31385.0,-78523.9,-53381.3,,-67699.9,-84195.9,-83047.4,-67651.2,-64430.5,-53205.5,-61757.0,True,False,True,True,,True,False,True,True,,False,True,False,True,True,True,True,False,True,,False,False,False,False,False,True,True
Rhode Island,17883,9708.0,11665.3,9015.3,8305.0,7046.0,,10102.2,7840.0,30044.0,9897.0,,7930.0,8146.6,7552.8,6370.0,4923.2,9760.0,14879.2,4418.6,10509.7,,9926.4,10254.8,5762.3,8253.6,6143.1,4585.5,7200.0,-8175.0,-6217.7,-8867.7,-9578.0,-10837.0,,-7780.8,-10043.0,12161.0,-7986.0,,-9953.0,-9736.4,-10330.2,-11513.0,-12959.8,-8123.0,-3003.8,-13464.4,-7373.3,,-7956.6,-7628.2,-12120.7,-9629.4,-11739.9,-13297.5,-10683.0,True,False,False,False,,True,False,False,True,,False,False,False,False,False,True,True,False,True,,True,True,False,False,False,False,False
South Carolina,35677,24508.0,56677.8,24078.1,25958.0,27264.0,,28028.1,12131.0,40837.7,16516.6,,27302.0,29189.0,23796.8,32394.0,8586.2,24042.0,24446.2,21117.4,33308.2,,16527.9,19008.0,11463.9,29496.5,27323.9,26930.9,22648.0,-11169.0,21000.8,-11598.9,-9719.0,-8413.0,,-7648.9,-23546.0,5160.7,-19160.4,,-8375.0,-6488.0,-11880.2,-3283.0,-27090.8,-11635.0,-11230.8,-14559.6,-2368.8,,-19149.1,-16669.0,-24213.1,-6180.5,-8353.1,-8746.1,-13029.0,False,False,True,True,,True,False,True,False,,True,True,False,True,False,False,False,False,True,,False,False,False,True,True,True,False
South Dakota,34073,22120.0,27944.8,22432.8,23261.0,19530.0,,20983.9,22662.0,39924.8,26896.0,,22296.0,32760.5,40553.2,25325.0,2979.2,28861.5,32449.5,24167.8,29481.8,,24809.6,18618.6,17438.2,27154.5,37461.2,21827.7,13895.0,-11953.0,-6128.2,-11640.2,-10812.0,-14543.0,,-13089.1,-11411.0,5851.8,-7177.0,,-11777.0,-1312.5,6480.2,-8748.0,-31093.8,-5211.5,-1623.5,-9905.2,-4591.2,,-9263.4,-15454.4,-16634.8,-6918.5,3388.2,-12245.3,-20178.0,True,True,True,False,,False,True,True,True,,True,True,True,True,False,True,True,True,True,,True,False,False,True,True,False,False
Tennessee,91800,71792.0,98487.1,67845.7,70946.0,99285.0,,65618.0,30206.0,96539.7,68443.0,,58616.0,79346.6,75554.0,89125.0,25524.6,71230.5,92646.2,69059.4,91094.2,,65855.8,3339.4,41337.1,56081.4,67583.1,110737.1,58058.0,-20008.0,6687.1,-23954.3,-20854.0,7485.0,,-26182.0,-61594.0,4739.7,-23357.0,,-33184.0,-12453.4,-16246.0,-2675.0,-66275.4,-20569.5,846.2,-22740.6,-705.8,,-25944.2,-88460.6,-50462.9,-35718.6,-24216.9,18937.1,-33742.0,True,False,False,True,,False,False,True,False,,False,True,True,True,False,False,True,False,True,,False,False,False,False,False,True,False
Texas,295343,159680.0,148562.8,159757.3,152715.0,202585.0,,148481.9,59337.0,225831.3,163170.8,,172117.0,143900.3,155589.7,170199.0,90240.2,122471.0,196123.2,90879.6,178750.1,,104593.0,98971.9,97511.5,123306.4,165522.4,195150.2,143651.0,-135663.0,-146780.2,-135585.7,-142628.0,-92758.0,,-146861.1,-236006.0,-69511.7,-132172.2,,-123226.0,-151442.7,-139753.3,-125144.0,-205102.8,-172872.0,-99219.8,-204463.4,-116592.9,,-190750.0,-196371.1,-197831.5,-172036.6,-129820.6,-100192.8,-151692.0,False,True,False,True,,False,False,True,True,,True,False,False,True,False,False,True,False,True,,False,False,False,False,True,True,False
Utah,70862,39280.0,25615.9,38330.2,37411.0,35606.0,,36940.7,14823.0,90156.6,36903.7,,38889.0,47427.9,23367.3,38347.0,16243.8,44921.5,46728.1,36799.4,49846.8,,35667.8,33516.1,23873.9,42534.1,47032.4,38895.0,35582.0,-31582.0,-45246.1,-32531.8,-33451.0,-35256.0,,-33921.3,-56039.0,19294.6,-33958.3,,-31973.0,-23434.1,-47494.7,-32515.0,-54618.2,-25940.5,-24133.9,-34062.6,-21015.2,,-35194.2,-37345.9,-46988.1,-28327.9,-23829.6,-31967.0,-35280.0,False,False,False,False,,False,False,True,False,,False,True,False,False,False,True,True,False,True,,False,False,False,True,True,False,False
Vermont,1503,468.0,91.5,457.2,457.0,912.0,,127.8,260.0,521.5,733.6,,374.0,386.2,1523.1,726.0,640.6,452.0,690.3,495.7,655.6,,283.4,146.6,366.8,460.8,221.4,3302.3,782.0,-1035.0,-1411.5,-1045.8,-1046.0,-591.0,,-1375.2,-1243.0,-981.5,-769.4,,-1129.0,-1116.8,20.1,-777.0,-862.4,-1051.0,-812.7,-1007.3,-847.4,,-1219.6,-1356.4,-1136.2,-1042.2,-1281.6,1799.3,-721.0,False,False,False,True,,False,False,True,True,,False,False,True,True,True,False,True,True,True,,False,False,False,False,False,False,True
Virginia,43307,27984.0,68787.2,27959.9,28679.0,29567.0,,29072.0,8448.0,39362.2,26612.2,,26332.0,33170.9,32013.6,33019.0,26299.5,30212.0,35433.3,20698.9,31376.2,,22473.6,19833.3,20196.0,32963.0,25414.7,27081.0,25704.0,-15323.0,25480.2,-15347.1,-14628.0,-13740.0,,-14235.0,-34859.0,-3944.8,-16694.8,,-16975.0,-10136.1,-11293.4,-10288.0,-17007.5,-13095.0,-7873.7,-22608.1,-11930.8,,-20833.4,-23473.7,-23111.0,-10344.0,-17892.3,-16226.0,-17603.0,False,False,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,,False,False,False,True,False,False,False
Washington,42860,18372.0,30614.6,18168.7,19122.0,19050.0,,20409.3,9879.0,23932.9,18147.6,,14934.0,21604.4,16768.7,20428.0,21174.5,20564.5,23134.9,14563.4,24889.9,,21531.9,18736.8,9761.7,23522.3,17716.3,24642.4,20782.0,-24488.0,-12245.4,-24691.3,-23738.0,-23810.0,,-22450.7,-32981.0,-18927.1,-24712.4,,-27926.0,-21255.6,-26091.3,-22432.0,-21685.5,-22295.5,-19725.1,-28296.6,-17970.1,,-21328.1,-24123.2,-33098.3,-19337.7,-25143.7,-18217.6,-22078.0,True,False,True,True,,True,False,True,False,,False,True,False,True,True,True,True,False,True,,True,True,False,True,False,True,True
West Virginia,17882,7644.0,19232.7,7652.0,7942.0,10320.0,,8442.4,5715.0,11867.0,7419.1,,6708.0,9448.6,23189.6,9443.0,6178.5,8847.5,12035.7,5412.7,8191.5,,6489.5,8159.1,3967.1,9453.3,8587.5,6726.3,5843.0,-10238.0,1350.7,-10230.0,-9940.0,-7562.0,,-9439.6,-12167.0,-6015.0,-10462.9,,-11174.0,-8433.4,5307.6,-8439.0,-11703.5,-9034.5,-5846.3,-12469.3,-9690.5,,-11392.5,-9722.9,-13914.9,-8428.7,-9294.5,-11155.7,-12039.0,True,True,True,True,,True,False,True,False,,False,True,True,True,False,True,True,False,True,,False,True,False,True,True,False,False
Wisconsin,167080,113416.0,206131.7,107985.2,111652.0,141322.0,,96118.9,46087.0,224907.6,100112.2,,110594.0,126860.5,146487.3,119193.0,35928.8,122818.5,211815.7,82040.3,138228.5,,75479.3,60869.4,108959.3,109738.7,159917.0,77956.6,58657.0,-53664.0,39051.7,-59094.8,-55428.0,-25758.0,,-70961.1,-120993.0,57827.6,-66967.8,,-56486.0,-40219.5,-20592.7,-47887.0,-131151.2,-44261.5,44735.7,-85039.7,-28851.5,,-91600.7,-106210.6,-58120.7,-57341.3,-7163.0,-89123.4,-108423.0,True,False,False,True,,False,False,False,False,,False,True,True,True,False,True,True,False,True,,False,False,False,False,True,False,False
Wyoming,16605,7956.0,31166.7,8225.2,8145.0,7476.0,,7331.0,3521.0,14906.7,12990.1,,7391.0,10907.1,17985.0,11335.0,2123.2,9366.5,12804.7,6732.5,9037.8,,8187.7,3577.2,6800.8,8631.4,17442.2,8498.3,6359.0,-8649.0,14561.7,-8379.8,-8460.0,-9129.0,,-9274.0,-13084.0,-1698.3,-3614.9,,-9214.0,-5697.9,1380.0,-5270.0,-14481.8,-7238.5,-3800.3,-9872.5,-7567.2,,-8417.3,-13027.8,-9804.2,-7973.6,837.2,-8106.7,-10246.0,False,True,True,False,,False,False,True,True,,False,True,True,True,False,True,True,False,True,,True,False,False,True,True,True,False
US,3613637,1875172.0,2342450.3,1867013.9,2033179.0,2213840.0,2347543.0,2402497.3,1109130.0,2929063.1,,2147375.0,1789261.0,2105425.1,1951806.6,2016314.0,1231941.6,,2802541.6,1255359.2,2462741.0,2252726.0,2484799.4,901423.2,1733400.0,,2321657.8,2104067.6,1941881.0,-1738465.0,-1271186.7,-1746623.1,-1580458.0,-1399797.0,-1266094.0,-1211139.7,-2504507.0,-684573.9,,-1466262.0,-1824376.0,-1508211.9,-1661830.4,-1597323.0,-2381695.4,,-811095.4,-2358277.8,-1150896.0,-1360911.0,-1128837.6,-2712213.8,-1880237.0,,-1291979.2,-1509569.4,-1671756.0,True,False,True,True,True,True,False,True,,True,False,True,True,True,False,,True,False,True,True,True,False,False,,True,True,True
