,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
06005,1100,1116.0,,1130.3,,1451.0,1838.0,,,,,831.4,,,,612.0,,9116.3,472.3,1386.5,,7348.5,1677.6,1263.5,1500.0,944.0,880.0,,,,,,,,,3615.5,16.0,,30.3,,351.0,738.0,,,,,-268.6,,,,-488.0,,8016.3,-627.7,286.5,,6248.5,577.6,163.5,400.0,-156.0,-220.0,,,,,,,,,2515.5,,False,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,,,,,False
06007,2648,1572.0,,1616.0,,2032.0,1609.0,,,,,3209.3,,,,3183.0,,2826.2,1537.4,1574.5,,2049.5,1764.1,1907.9,2578.0,2219.0,2815.4,,,,,1751.0,3156.0,,,2167.2,-1076.0,,-1032.0,,-616.0,-1039.0,,,,,561.3,,,,535.0,,178.2,-1110.6,-1073.5,,-598.5,-883.9,-740.1,-70.0,-429.0,167.4,,,,,-897.0,508.0,,,-480.8,,True,,True,True,,,,,True,,,,True,,True,False,True,,True,True,True,True,True,True,,,,,True,True,,,True
06009,489,336.0,,324.2,,408.0,582.0,,,,,360.7,,,,653.0,,892.3,222.0,343.0,,443.0,307.1,418.2,551.0,561.0,392.4,,,,,,,,,503.9,-153.0,,-164.8,,-81.0,93.0,,,,,-128.3,,,,164.0,,403.3,-267.0,-146.0,,-46.0,-181.9,-70.8,62.0,72.0,-96.6,,,,,,,,,14.9,,False,,True,True,,,,,True,,,,False,,False,False,True,,True,False,True,True,True,True,,,,,,,,,True
06011,428,399.0,,400.1,,392.0,515.0,,,,,402.7,,,,295.0,,760.8,220.9,,,567.0,331.6,402.8,496.0,384.0,361.5,,,,,,,,,624.6,-29.0,,-27.9,,-36.0,87.0,,,,,-25.3,,,,-133.0,,332.8,-207.1,,,139.0,-96.4,-25.2,68.0,-44.0,-66.5,,,,,,,,,196.6,,True,,False,False,,,,,True,,,,False,,False,False,,,False,False,True,False,False,False,,,,,,,,,False
06013,12004,10068.0,,9933.7,13227.1,12845.0,11239.0,,,,,24450.2,,16837.3,,9287.0,,21419.0,7023.0,11384.5,,15009.5,11856.0,10941.0,12863.0,10993.0,13770.0,,,,,7015.7,21463.0,,,17212.0,-1936.0,,-2070.3,1223.1,841.0,-765.0,,,,,12446.2,,4833.3,,-2717.0,,9415.0,-4981.0,-619.5,,3005.5,-148.0,-1063.0,859.0,-1011.0,1766.0,,,,,-4988.3,9459.0,,,5208.0,,False,True,True,True,,,,,False,,False,,False,,False,False,True,,False,True,True,True,True,True,,,,,False,False,,,False
06015,233,375.0,,371.3,,394.0,609.0,,,,,1088.2,,,,142.0,,970.8,192.8,,,565.0,275.2,375.2,557.0,410.0,380.5,,,,,,,,,1052.8,142.0,,138.3,,161.0,376.0,,,,,855.2,,,,-91.0,,737.8,-40.2,,,332.0,42.2,142.2,324.0,177.0,147.5,,,,,,,,,819.8,,True,,False,False,,,,,False,,,,True,,False,True,,,False,True,False,False,False,False,,,,,,,,,False
06017,2078,2463.0,,2450.1,,2452.0,3054.0,,,,,3022.8,,,,2595.0,,6931.9,2163.8,1925.0,,2367.0,1998.7,2302.3,3691.0,2480.0,2360.4,,,,,2268.3,2682.0,,,5182.9,385.0,,372.1,,374.0,976.0,,,,,944.8,,,,517.0,,4853.9,85.8,-153.0,,289.0,-79.3,224.3,1613.0,402.0,282.4,,,,,190.3,604.0,,,3104.9,,True,,True,False,,,,,False,,,,False,,False,True,True,,True,True,True,False,False,True,,,,,True,False,,,False
06019,24413,8889.0,,9083.0,10347.2,10534.0,14594.0,,,,,17272.5,,12599.4,,19720.0,,6500.0,7400.2,9336.5,,9221.5,12425.2,12066.9,11981.0,10614.0,16696.1,,,,,6282.0,14370.0,,,12753.1,-15524.0,,-15330.0,-14065.8,-13879.0,-9819.0,,,,,-7140.5,,-11813.6,,-4693.0,,-17913.0,-17012.8,-15076.5,,-15191.5,-11987.8,-12346.1,-12432.0,-13799.0,-7716.9,,,,,-18131.0,-10043.0,,,-11659.9,,True,True,True,True,,,,,True,,True,,True,,False,False,True,,True,True,True,True,True,True,,,,,False,True,,,True
06021,384,354.0,,341.8,,395.0,494.0,,,,,176.4,,,,423.0,,526.5,218.4,,,253.0,297.0,364.0,427.0,408.0,501.4,,,,,,,,,293.6,-30.0,,-42.2,,11.0,110.0,,,,,-207.6,,,,39.0,,142.5,-165.6,,,-131.0,-87.0,-20.0,43.0,24.0,117.4,,,,,,,,,-90.4,,False,,True,False,,,,,False,,,,False,,False,False,,,False,False,True,False,True,False,,,,,,,,,False
06023,552,651.0,,651.1,,805.0,833.0,,,,,2102.9,,,,818.0,,1496.7,578.2,745.5,,630.0,568.6,852.7,956.0,1011.0,1079.8,,,,,,583.0,,,1055.6,99.0,,99.1,,253.0,281.0,,,,,1550.9,,,,266.0,,944.7,26.2,193.5,,78.0,16.6,300.7,404.0,459.0,527.8,,,,,,31.0,,,503.6,,False,,False,False,,,,,False,,,,False,,False,True,False,,True,True,False,False,False,False,,,,,,True,,,False
06025,4116,6132.0,,6875.3,4853.5,4945.0,1769.0,,,,,4861.9,,,,3741.0,,3387.0,2537.1,4272.0,,6120.0,6537.0,6672.4,6014.0,5367.0,5601.1,,,,,4317.0,8632.0,,,6346.1,2016.0,,2759.3,737.5,829.0,-2347.0,,,,,745.9,,,,-375.0,,-729.0,-1578.9,156.0,,2004.0,2421.0,2556.4,1898.0,1251.0,1485.1,,,,,201.0,4516.0,,,2230.1,,False,True,True,False,,,,,True,,,,True,,True,True,True,,True,False,False,True,True,True,,,,,True,False,,,False
06027,247,180.0,,169.0,,180.0,0.0,,,,,276.1,,,,203.0,,195.9,44.3,,,231.5,165.5,208.6,230.0,226.0,134.2,,,,,,,,,228.3,-67.0,,-78.0,,-67.0,-247.0,,,,,29.1,,,,-44.0,,-51.1,-202.7,,,-15.5,-81.5,-38.4,-17.0,-21.0,-112.8,,,,,,,,,-18.7,,False,,False,False,,,,,True,,,,True,,True,False,,,True,False,True,True,True,False,,,,,,,,,True
06029,20419,16116.0,,16149.9,17440.5,18979.0,27859.0,,,,,32332.4,,30221.8,,13907.0,,18895.7,14149.8,18522.5,,24137.5,20241.5,17236.5,21533.0,15740.0,23823.1,,,,,11425.1,27993.0,,,19830.4,-4303.0,,-4269.1,-2978.5,-1440.0,7440.0,,,,,11913.4,,9802.8,,-6512.0,,-1523.3,-6269.2,-1896.5,,3718.5,-177.5,-3182.5,1114.0,-4679.0,3404.1,,,,,-8993.9,7574.0,,,-588.6,,True,True,True,False,,,,,False,,False,,False,,True,False,True,,True,True,True,True,False,True,,,,,False,False,,,True
06031,3196,4053.0,,4085.4,,3650.0,4625.0,,,,,2977.4,,,,3455.0,,4945.3,2305.0,3430.5,,4194.0,3563.4,3690.1,4492.0,3675.0,3695.3,,,,,3539.9,4633.0,,,2871.3,857.0,,889.4,,454.0,1429.0,,,,,-218.6,,,,259.0,,1749.3,-891.0,234.5,,998.0,367.4,494.1,1296.0,479.0,499.3,,,,,343.9,1437.0,,,-324.7,,False,,True,False,,,,,True,,,,True,,False,False,True,,False,True,True,False,True,True,,,,,True,False,,,True
06033,673,579.0,,591.8,,648.0,992.0,,,,,744.0,,855.4,,518.0,,1367.6,433.2,472.5,,891.5,566.0,640.5,818.0,743.0,573.6,,,,,,,,,1382.6,-94.0,,-81.2,,-25.0,319.0,,,,,71.0,,182.4,,-155.0,,694.6,-239.8,-200.5,,218.5,-107.0,-32.5,145.0,70.0,-99.4,,,,,,,,,709.6,,True,,True,False,,,,,True,,False,,False,,False,False,False,,False,False,True,False,True,False,,,,,,,,,False
06035,1564,2115.0,,2094.9,,1340.0,0.0,,,,,1426.2,,,,601.0,,2084.9,1063.2,2089.5,,1015.5,1407.3,1392.7,2267.0,995.0,1628.7,,,,,,,,,2454.7,551.0,,530.9,,-224.0,-1564.0,,,,,-137.8,,,,-963.0,,520.9,-500.8,525.5,,-548.5,-156.7,-171.3,703.0,-569.0,64.7,,,,,,,,,890.7,,True,,True,False,,,,,True,,,,False,,True,True,True,,True,True,True,False,False,True,,,,,,,,,False
06037,293902,220392.0,,220147.1,189511.4,250453.0,325738.0,,,,,177993.0,,506044.6,,182214.0,,411137.6,123851.2,279789.0,,415334.5,301370.2,145458.5,277592.0,197661.0,237540.0,,,,,167521.8,394256.0,,,437548.2,-73510.0,,-73754.9,-104390.6,-43449.0,31836.0,,,,,-115909.0,,212142.6,,-111688.0,,117235.6,-170050.8,-14113.0,,121432.5,7468.2,-148443.5,-16310.0,-96241.0,-56362.0,,,,,-126380.2,100354.0,,,143646.2,,False,False,True,True,,,,,False,,False,,False,,False,False,True,,False,True,False,True,False,True,,,,,False,False,,,False
06039,3104,3333.0,,3194.8,,3357.0,4637.0,,,,,2022.0,,,,3204.0,,7586.0,1818.8,2714.0,,11452.5,3262.5,3028.9,3866.0,3204.0,2826.6,,,,,2599.1,3720.0,,,7849.5,229.0,,90.8,,253.0,1533.0,,,,,-1082.0,,,,100.0,,4482.0,-1285.2,-390.0,,8348.5,158.5,-75.1,762.0,100.0,-277.4,,,,,-504.9,616.0,,,4745.5,,True,,False,False,,,,,False,,,,True,,False,False,False,,False,True,True,False,True,False,,,,,False,False,,,False
06041,1670,1197.0,,1212.1,,1514.0,1573.0,,,,,1205.4,,2080.2,,1361.0,,2037.3,1094.3,1239.0,,1451.0,1475.1,1551.7,1762.0,2146.0,3695.0,,,,,1034.8,1478.0,,,3007.6,-473.0,,-457.9,,-156.0,-97.0,,,,,-464.6,,410.2,,-309.0,,367.3,-575.7,-431.0,,-219.0,-194.9,-118.3,92.0,476.0,2025.0,,,,,-635.2,-192.0,,,1337.6,,True,,True,True,,,,,True,,True,,True,,True,False,True,,True,True,True,True,False,False,,,,,False,True,,,False
06043,91,57.0,,57.7,,71.0,72.0,,,,,144.1,,,,268.0,,71.2,31.2,,,53.0,77.0,111.3,52.0,173.0,123.1,,,,,,,,,38.4,-34.0,,-33.3,,-20.0,-19.0,,,,,53.1,,,,177.0,,-19.8,-59.8,,,-38.0,-14.0,20.3,-39.0,82.0,32.1,,,,,,,,,-52.6,,True,,True,True,,,,,False,,,,False,,True,False,,,False,True,True,False,False,True,,,,,,,,,False
06045,862,702.0,,690.9,,779.0,813.0,,,,,660.0,,,,647.0,,998.6,582.8,698.0,,980.0,663.5,894.0,1091.0,938.0,1006.7,,,,,,,,,977.1,-160.0,,-171.1,,-83.0,-49.0,,,,,-202.0,,,,-215.0,,136.6,-279.2,-164.0,,118.0,-198.5,32.0,229.0,76.0,144.7,,,,,,,,,115.1,,False,,True,True,,,,,False,,,,False,,True,False,False,,True,False,True,False,True,True,,,,,,,,,True
06047,4961,4776.0,,4955.1,,5789.0,6006.0,,,,,8509.1,,,,5112.0,,10359.4,2928.4,6076.5,,8283.5,4386.0,4779.0,5248.0,4663.0,6625.5,,,,,3425.5,6814.0,,,12290.5,-185.0,,-5.9,,828.0,1045.0,,,,,3548.1,,,,151.0,,5398.4,-2032.6,1115.5,,3322.5,-575.0,-182.0,287.0,-298.0,1664.5,,,,,-1535.5,1853.0,,,7329.5,,True,,False,False,,,,,False,,,,True,,False,False,False,,False,False,True,False,False,False,,,,,False,False,,,False
06049,86,174.0,,172.6,,158.0,0.0,,,,,401.5,,,,132.0,,278.7,121.2,,,230.0,158.9,190.0,187.0,164.0,147.2,,,,,,,,,309.6,88.0,,86.6,,72.0,-86.0,,,,,315.5,,,,46.0,,192.7,35.2,,,144.0,72.9,104.0,101.0,78.0,61.2,,,,,,,,,223.6,,True,,True,True,,,,,False,,,,True,,False,True,,,False,True,False,False,True,True,,,,,,,,,False
06051,211,321.0,,329.0,,230.0,88.0,,,,,788.8,,,,210.0,,366.2,56.1,,,229.5,225.0,264.3,309.0,276.0,417.6,,,,,,,,,179.3,110.0,,118.0,,19.0,-123.0,,,,,577.8,,,,-1.0,,155.2,-154.9,,,18.5,14.0,53.3,98.0,65.0,206.6,,,,,,,,,-31.7,,False,,True,False,,,,,False,,,,True,,False,False,,,True,True,True,True,True,False,,,,,,,,,True
06053,10044,5052.0,,5046.9,5139.3,5217.0,4261.0,,,,,8330.7,,6277.6,,4573.0,,7046.6,4553.5,6709.5,,5282.0,4663.3,5268.9,7808.0,5315.0,7047.1,,,,,5687.5,7917.0,,,5673.2,-4992.0,,-4997.1,-4904.7,-4827.0,-5783.0,,,,,-1713.3,,-3766.4,,-5471.0,,-2997.4,-5490.5,-3334.5,,-4762.0,-5380.7,-4775.1,-2236.0,-4729.0,-2996.9,,,,,-4356.5,-2127.0,,,-4370.8,,False,True,True,False,,,,,True,,True,,False,,True,False,True,,True,False,True,True,True,True,,,,,True,True,,,True
06055,1845,1866.0,,1886.8,,1873.0,2455.0,,,,,3235.8,,,,1149.0,,2964.8,1437.1,1562.5,,2146.5,1818.9,2032.1,2722.0,1985.0,1780.4,,,,,2094.1,2651.0,,,2742.4,21.0,,41.8,,28.0,610.0,,,,,1390.8,,,,-696.0,,1119.8,-407.9,-282.5,,301.5,-26.1,187.1,877.0,140.0,-64.6,,,,,249.1,806.0,,,897.4,,False,,False,False,,,,,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,,,False
06057,701,1179.0,,1125.1,,1270.0,1037.0,,,,,2372.7,,,,1295.0,,2166.6,696.9,1239.0,,1264.0,1025.6,1100.3,1723.0,1335.0,1263.9,,,,,,,,,1952.6,478.0,,424.1,,569.0,336.0,,,,,1671.7,,,,594.0,,1465.6,-4.1,538.0,,563.0,324.6,399.3,1022.0,634.0,562.9,,,,,,,,,1251.6,,True,,False,True,,,,,False,,,,False,,False,True,False,,False,True,True,False,False,False,,,,,,,,,False
06059,67800,43620.0,,41400.5,48905.6,54238.0,57732.0,,,,,64868.8,,110155.1,,35832.0,,84407.7,31489.6,63657.0,,66988.5,62831.2,50858.0,52528.0,45901.0,42979.8,,,,,40277.5,106586.0,,,60728.8,-24180.0,,-26399.5,-18894.4,-13562.0,-10068.0,,,,,-2931.2,,42355.1,,-31968.0,,16607.7,-36310.4,-4143.0,,-811.5,-4968.8,-16942.0,-15272.0,-21899.0,-24820.2,,,,,-27522.5,38786.0,,,-7071.2,,False,True,True,True,,,,,True,,False,,False,,True,False,True,,True,True,True,True,True,False,,,,,False,False,,,True
06061,5083,4329.0,,4340.1,,5256.0,4104.0,,,,,8547.8,,13923.6,,5308.0,,15587.8,3252.6,4428.5,,7158.0,5341.1,4832.2,6125.0,4535.0,4661.7,,,,,5336.6,9973.0,,,8802.3,-754.0,,-742.9,,173.0,-979.0,,,,,3464.8,,8840.6,,225.0,,10504.8,-1830.4,-654.5,,2075.0,258.1,-250.8,1042.0,-548.0,-421.3,,,,,253.6,4890.0,,,3719.3,,True,,True,False,,,,,False,,False,,True,,False,False,True,,False,True,True,False,True,True,,,,,True,False,,,False
06063,146,201.0,,193.9,,229.0,255.0,,,,,323.1,,,,394.0,,309.6,90.0,,,206.5,190.7,242.1,299.0,259.0,230.4,,,,,,,,,217.7,55.0,,47.9,,83.0,109.0,,,,,177.1,,,,248.0,,163.6,-56.0,,,60.5,44.7,96.1,153.0,113.0,84.4,,,,,,,,,71.7,,True,,False,False,,,,,False,,,,False,,False,False,,,False,True,False,False,False,False,,,,,,,,,False
06065,73345,60222.0,,58170.7,76935.9,73132.0,119234.0,,,,,57507.8,,149559.8,,51821.0,,211277.4,45861.5,83672.5,,87540.5,65947.2,52334.9,68563.0,54154.0,49321.5,,,,,45512.7,93365.0,,,156185.5,-13123.0,,-15174.3,3590.9,-213.0,45889.0,,,,,-15837.2,,76214.8,,-21524.0,,137932.4,-27483.5,10327.5,,14195.5,-7397.8,-21010.1,-4782.0,-19191.0,-24023.5,,,,,-27832.3,20020.0,,,82840.5,,False,True,True,False,,,,,False,,False,,False,,False,False,True,,False,True,False,True,False,False,,,,,False,False,,,False
06067,19483,19131.0,,19191.3,23129.7,21869.0,20970.0,,,,,34870.9,,32816.6,,16781.0,,25949.2,12670.3,21785.5,,22599.0,23574.3,20920.6,25685.0,19042.0,20796.4,,,,,15336.9,24754.0,,,23041.1,-352.0,,-291.7,3646.7,2386.0,1487.0,,,,,15387.9,,13333.6,,-2702.0,,6466.2,-6812.7,2302.5,,3116.0,4091.3,1437.6,6202.0,-441.0,1313.4,,,,,-4146.1,5271.0,,,3558.1,,True,False,False,False,,,,,False,,False,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,,,False
06069,1401,831.0,,840.2,,1008.0,1308.0,,,,,1208.4,,,,826.0,,1801.9,249.0,1002.0,,1226.5,996.6,1119.0,1346.0,856.0,1198.2,,,,,640.2,,,,2373.9,-570.0,,-560.8,,-393.0,-93.0,,,,,-192.6,,,,-575.0,,400.9,-1152.0,-399.0,,-174.5,-404.4,-282.0,-55.0,-545.0,-202.8,,,,,-760.8,,,,972.9,,True,,True,True,,,,,True,,,,False,,True,False,True,,True,True,True,True,True,True,,,,,False,,,,False
06071,79387,61059.0,,60170.4,46400.7,62216.0,129480.0,,,,,62679.6,,135505.2,,49141.0,,62382.7,40657.4,64306.0,,80178.0,71350.4,56455.7,73683.0,53336.0,45688.2,,,,,54074.4,89988.0,,,85903.6,-18328.0,,-19216.6,-32986.3,-17171.0,50093.0,,,,,-16707.4,,56118.2,,-30246.0,,-17004.3,-38729.6,-15081.0,,791.0,-8036.6,-22931.3,-5704.0,-26051.0,-33698.8,,,,,-25312.6,10601.0,,,6516.6,,False,False,True,False,,,,,True,,False,,False,,True,False,True,,True,True,False,True,False,False,,,,,False,True,,,True
06073,59544,36000.0,,35892.9,49840.1,45862.0,29106.0,,,,,80048.9,,94158.4,,31300.0,,58370.2,28701.6,53745.0,,59204.0,61762.7,45988.2,55623.0,38069.0,45127.5,,,,,36835.8,97801.0,,,81072.1,-23544.0,,-23651.1,-9703.9,-13682.0,-30438.0,,,,,20504.9,,34614.4,,-28244.0,,-1173.8,-30842.4,-5799.0,,-340.0,2218.7,-13555.8,-3921.0,-21475.0,-14416.5,,,,,-22708.2,38257.0,,,21528.1,,False,True,True,False,,,,,True,,False,,False,,True,False,True,,True,True,True,True,True,True,,,,,True,False,,,True
06075,5899,5241.0,,5271.5,5997.1,5935.0,4921.0,,,,,17046.6,,8312.7,,4130.0,,8185.0,5510.0,,,5895.0,5865.9,6242.6,7878.0,6581.0,10602.9,,,,,4695.5,6481.0,,,6387.8,-658.0,,-627.5,98.1,36.0,-978.0,,,,,11147.6,,2413.7,,-1769.0,,2286.0,-389.0,,,-4.0,-33.1,343.6,1979.0,682.0,4703.9,,,,,-1203.5,582.0,,,488.8,,True,True,True,False,,,,,False,,False,,False,,False,True,,,True,True,True,False,False,False,,,,,False,True,,,True
06077,14626,12714.0,,12859.5,15470.9,14964.0,31240.0,,,,,22424.5,,28851.9,,10719.0,,33754.7,9162.6,14474.0,,27800.5,11615.7,11009.7,12111.0,12637.0,11767.1,,,,,8057.4,16728.0,,,30239.4,-1912.0,,-1766.5,844.9,338.0,16614.0,,,,,7798.5,,14225.9,,-3907.0,,19128.7,-5463.4,-152.0,,13174.5,-3010.3,-3616.3,-2515.0,-1989.0,-2858.9,,,,,-6568.6,2102.0,,,15613.4,,True,True,True,False,,,,,False,,False,,False,,False,False,True,,False,False,False,False,False,False,,,,,False,False,,,False
06079,3708,2736.0,,2622.6,,2612.0,6328.0,,,,,6315.0,,3247.8,,2499.0,,1909.3,2090.2,1912.0,,2365.5,2599.2,2662.2,3795.0,3102.0,2953.9,,,,,2182.8,2778.0,,,3412.8,-972.0,,-1085.4,,-1096.0,2620.0,,,,,2607.0,,-460.2,,-1209.0,,-1798.7,-1617.8,-1796.0,,-1342.5,-1108.8,-1045.8,87.0,-606.0,-754.1,,,,,-1525.2,-930.0,,,-295.2,,False,,False,False,,,,,False,,True,,False,,False,False,False,,False,False,False,True,True,True,,,,,False,True,,,True
06081,7317,6768.0,,6677.1,8259.0,7934.0,9526.0,,,,,17617.4,,11646.9,,4609.0,,12908.3,6336.5,5619.5,,10064.0,6766.4,7289.4,8657.0,6955.0,8584.5,,,,,6943.4,7692.0,,,9894.2,-549.0,,-639.9,942.0,617.0,2209.0,,,,,10300.4,,4329.9,,-2708.0,,5591.3,-980.5,-1697.5,,2747.0,-550.6,-27.6,1340.0,-362.0,1267.5,,,,,-373.6,375.0,,,2577.2,,False,False,False,False,,,,,False,,False,,False,,False,False,False,,False,False,True,False,True,False,,,,,True,True,,,False
06083,4703,3150.0,,3178.8,,4215.0,5281.0,,,,,7729.9,,6079.8,,3759.0,,4458.3,3347.1,2408.0,,5607.5,4150.0,4698.6,4456.0,4300.0,5862.4,,,,,2460.1,3762.0,,,4416.1,-1553.0,,-1524.2,,-488.0,578.0,,,,,3026.9,,1376.8,,-944.0,,-244.7,-1355.9,-2295.0,,904.5,-553.0,-4.4,-247.0,-403.0,1159.4,,,,,-2242.9,-941.0,,,-286.9,,True,,True,True,,,,,False,,True,,True,,True,True,False,,True,True,True,True,True,True,,,,,False,True,,,True
06085,27507,22794.0,,22780.5,28014.0,27755.0,25283.0,,,,,51306.7,,56647.1,,16670.0,,59858.2,12050.1,30811.5,,44144.0,34060.2,26338.8,28985.0,21414.0,21786.4,,,,,15653.3,31703.0,,,38807.9,-4713.0,,-4726.5,507.0,248.0,-2224.0,,,,,23799.7,,29140.1,,-10837.0,,32351.2,-15456.9,3304.5,,16637.0,6553.2,-1168.2,1478.0,-6093.0,-5720.6,,,,,-11853.7,4196.0,,,11300.9,,False,True,True,True,,,,,False,,False,,False,,False,False,True,,False,False,True,True,False,False,,,,,False,True,,,False
06087,3382,2337.0,,2316.9,,2807.0,2889.0,,,,,6867.7,,3743.6,,1524.0,,2726.2,2322.7,1621.0,,3473.0,3005.2,3013.7,3709.0,2866.0,2724.8,,,,,2841.7,3855.0,,,4523.1,-1045.0,,-1065.1,,-575.0,-493.0,,,,,3485.7,,361.6,,-1858.0,,-655.8,-1059.3,-1761.0,,91.0,-376.8,-368.3,327.0,-516.0,-657.2,,,,,-540.3,473.0,,,1141.1,,False,,True,True,,,,,False,,True,,False,,True,False,False,,True,True,True,True,True,True,,,,,True,True,,,False
06089,1461,4089.0,,3999.9,,2935.0,6951.0,,,,,5357.7,,,,2163.0,,2203.8,1445.4,2964.0,,2933.0,2935.5,3561.7,5234.0,3889.0,3428.8,,,,,3647.6,2266.0,,,4000.6,2628.0,,2538.9,,1474.0,5490.0,,,,,3896.7,,,,702.0,,742.8,-15.6,1503.0,,1472.0,1474.5,2100.7,3773.0,2428.0,1967.8,,,,,2186.6,805.0,,,2539.6,,True,,True,False,,,,,False,,,,True,,True,True,True,,True,True,True,False,True,True,,,,,True,True,,,True
06091,20,0.0,,0.0,,10.0,0.0,,,,,6.1,,,,100.0,,5.3,4.4,,,20.0,21.3,33.8,0.0,25.0,22.3,,,,,,,,,3.7,-20.0,,-20.0,,-10.0,-20.0,,,,,-13.9,,,,80.0,,-14.7,-15.6,,,0.0,1.3,13.8,-20.0,5.0,2.3,,,,,,,,,-16.3,,False,,True,False,,,,,True,,,,False,,True,True,,,True,True,True,False,True,True,,,,,,,,,True
06093,262,384.0,,372.9,,389.0,407.0,,,,,435.8,,,,285.0,,232.8,360.5,402.5,,383.0,339.6,491.2,388.0,567.0,662.8,,,,,,,,,460.2,122.0,,110.9,,127.0,145.0,,,,,173.8,,,,23.0,,-29.2,98.5,140.5,,121.0,77.6,229.2,126.0,305.0,400.8,,,,,,,,,198.2,,True,,False,False,,,,,False,,,,True,,True,True,False,,True,True,False,False,False,False,,,,,,,,,False
06095,6660,3960.0,,3972.8,,4207.0,3619.0,,,,,7624.9,,3736.4,,4331.0,,6585.0,3634.1,4191.0,,10023.0,4026.5,4062.2,6122.0,4545.0,4923.8,,,,,4229.2,4082.0,,,5547.2,-2700.0,,-2687.2,,-2453.0,-3041.0,,,,,964.9,,-2923.6,,-2329.0,,-75.0,-3025.9,-2469.0,,3363.0,-2633.5,-2597.8,-538.0,-2115.0,-1736.2,,,,,-2430.8,-2578.0,,,-1112.8,,True,,True,False,,,,,True,,False,,True,,True,False,True,,False,True,True,True,True,True,,,,,True,True,,,True
06097,5038,3600.0,,3592.2,,4746.0,4261.0,,,,,7379.6,,7409.0,,3709.0,,7111.0,3069.3,3561.0,,6177.0,4947.6,5422.7,5565.0,4663.0,5271.5,,,,,3587.5,4874.0,,,7127.4,-1438.0,,-1445.8,,-292.0,-777.0,,,,,2341.6,,2371.0,,-1329.0,,2073.0,-1968.7,-1477.0,,1139.0,-90.4,384.7,527.0,-375.0,233.5,,,,,-1450.5,-164.0,,,2089.4,,False,,True,True,,,,,False,,False,,True,,False,False,False,,True,True,True,True,True,True,,,,,False,True,,,False
