,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nevada,44922,54963.0,66579.5,53231.5,59984.0,49014.0,,61604.7,61166.0,62277.8,77120.5,,67877.2,55872.0,58276.0,74461.0,54229.7,62146.0,35349.5,60506.0,85630.3,59926.0,55107.7,54893.1,64075.0,50919.0,,66468.6,65181.5,,61804.6,82659.4,,61289.0,54331.7,70006.8,10041.0,21657.5,8309.5,15062.0,4092.0,,16682.7,16244.0,17355.8,32198.5,,22955.2,10950.0,13354.0,29539.0,9307.7,17224.0,-9572.5,15584.0,40708.3,15004.0,10185.7,9971.1,19153.0,5997.0,,21546.6,20259.5,,16882.6,37737.4,,16367.0,9409.7,25084.8,False,True,False,True,,False,False,False,False,,False,False,False,False,True,False,True,False,False,False,False,True,False,True,,False,False,,False,False,,False,True,False
New Hampshire,14962,18318.0,28739.1,18325.2,22187.0,22229.0,,18938.8,24099.0,9548.3,21946.9,,30629.9,15312.0,22609.0,24459.2,28599.8,19918.0,15406.9,21928.0,35890.3,26811.5,20234.6,22427.8,20942.0,18006.0,,20376.7,30371.4,,23296.0,17330.0,,18303.0,26600.2,26857.4,3356.0,13777.1,3363.2,7225.0,7267.0,,3976.8,9137.0,-5413.7,6984.9,,15667.9,350.0,7647.0,9497.2,13637.8,4956.0,444.9,6966.0,20928.3,11849.5,5272.6,7465.8,5980.0,3044.0,,5414.7,15409.4,,8334.0,2368.0,,3341.0,11638.2,11895.4,False,False,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,,False,True,,True,False,False
New Jersey,91876,103530.0,110847.0,101622.8,110592.0,107382.0,,108750.1,160120.0,88291.7,128323.6,,117660.6,80381.0,114031.0,114116.6,111960.0,120959.0,88770.5,120184.0,123843.1,96894.0,96833.1,104374.1,110433.0,95917.0,,102635.9,196119.7,,116557.3,148220.3,,119980.0,141298.2,118882.4,11654.0,18971.0,9746.8,18716.0,15506.0,,16874.1,68244.0,-3584.3,36447.6,,25784.6,-11495.0,22155.0,22240.6,20084.0,29083.0,-3105.5,28308.0,31967.1,5018.0,4957.1,12498.1,18557.0,4041.0,,10759.9,104243.7,,24681.3,56344.3,,28104.0,49422.2,27006.4,False,True,False,False,,False,False,True,False,,False,True,False,False,False,False,True,False,False,True,True,False,False,True,,True,False,,False,False,,False,False,False
New Mexico,27021,34506.0,31187.4,35141.1,30585.0,29123.0,,34736.6,34611.0,26924.9,38116.0,,30911.4,40289.0,40508.0,47154.4,19362.2,30028.0,21615.3,44328.0,28785.7,32846.0,31907.4,33075.8,28135.0,24307.0,,28432.6,13823.5,,23667.1,61130.2,,30360.0,46914.4,28564.2,7485.0,4166.4,8120.1,3564.0,2102.0,,7715.6,7590.0,-96.1,11095.0,,3890.4,13268.0,13487.0,20133.4,-7658.8,3007.0,-5405.7,17307.0,1764.7,5825.0,4886.4,6054.8,1114.0,-2714.0,,1411.6,-13197.5,,-3353.9,34109.2,,3339.0,19893.4,1543.2,True,False,True,True,,False,False,True,False,,True,False,False,False,False,True,True,False,True,True,True,True,True,True,,True,False,,True,False,,True,False,True
New York,237437,206523.0,274040.0,211280.0,233300.0,208635.0,,258302.9,373235.0,188843.8,242881.6,,325142.0,194285.0,223616.0,281397.8,470684.2,225157.0,233022.6,247324.5,366720.7,210913.5,234893.8,249220.2,273154.0,213256.0,,270331.4,284945.3,,184499.9,292734.6,,240152.0,221789.7,301731.9,-30914.0,36603.0,-26157.0,-4137.0,-28802.0,,20865.9,135798.0,-48593.2,5444.6,,87705.0,-43152.0,-13821.0,43960.8,233247.2,-12280.0,-4414.4,9887.5,129283.7,-26523.5,-2543.2,11783.2,35717.0,-24181.0,,32894.4,47508.3,,-52937.1,55297.6,,2715.0,-15647.3,64294.9,False,True,True,True,,True,False,False,True,,False,False,True,False,False,True,True,True,False,True,True,True,False,True,,False,False,,False,False,,True,True,False
North Carolina,128661,123672.0,141129.7,122373.2,143608.0,147676.0,,134103.1,135182.0,106315.8,126209.0,,211685.8,123620.0,145248.0,141390.1,160340.7,139247.0,93471.0,135222.0,172330.3,150992.0,151717.3,138840.3,175614.0,122661.0,,160594.6,93858.6,,103036.1,133923.1,,161952.0,182864.9,147168.4,-4989.0,12468.7,-6287.8,14947.0,19015.0,,5442.1,6521.0,-22345.2,-2452.0,,83024.8,-5041.0,16587.0,12729.1,31679.7,10586.0,-35190.0,6561.0,43669.3,22331.0,23056.3,10179.3,46953.0,-6000.0,,31933.6,-34802.4,,-25624.9,5262.1,,33291.0,54203.9,18507.4,False,False,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
North Dakota,5301,15258.0,17226.9,15694.2,9282.0,4917.0,,12785.5,6188.0,6569.2,9584.1,,7592.7,14809.0,18023.0,12256.1,7708.8,17422.0,7366.4,7251.5,8635.5,4283.5,9399.2,10380.4,11397.0,16248.0,,1771.8,10579.4,,11783.7,25471.4,,14038.0,14157.4,8006.1,9957.0,11925.9,10393.2,3981.0,-384.0,,7484.5,887.0,1268.2,4283.1,,2291.7,9508.0,12722.0,6955.1,2407.8,12121.0,2065.4,1950.5,3334.5,-1017.5,4098.2,5079.4,6096.0,10947.0,,-3529.2,5278.4,,6482.7,20170.4,,8737.0,8856.4,2705.1,False,False,True,True,,True,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,False,,True,True,,True,False,,True,True,True
Ohio,161212,258087.0,233194.5,256469.3,255001.0,217169.0,,262718.3,347941.0,160746.9,342684.9,,307285.0,271929.0,281241.0,270919.1,315689.3,240916.0,154692.7,272845.5,263985.8,209295.0,251980.2,255913.1,258302.0,224004.0,,224751.2,128360.9,,337151.0,280265.2,250093.1,262003.0,336788.4,237402.2,96875.0,71982.5,95257.3,93789.0,55957.0,,101506.3,186729.0,-465.1,181472.9,,146073.0,110717.0,120029.0,109707.1,154477.3,79704.0,-6519.3,111633.5,102773.8,48083.0,90768.2,94701.1,97090.0,62792.0,,63539.2,-32851.1,,175939.0,119053.2,88881.1,100791.0,175576.4,76190.2,True,True,True,True,,False,False,True,False,,False,False,False,False,False,True,True,False,False,True,True,True,False,True,,True,True,,False,False,True,False,False,True
Oklahoma,62719,60273.0,80759.0,57471.4,62526.0,52718.0,,66057.5,140297.0,57143.8,77390.8,,75682.7,69611.0,79278.0,72308.8,42160.0,61615.0,36061.5,66649.0,64171.2,50447.0,66664.1,73572.6,71099.0,51140.0,,,47364.6,,60681.8,99262.1,,72023.0,76423.8,58107.9,-2446.0,18040.0,-5247.6,-193.0,-10001.0,,3338.5,77578.0,-5575.2,14671.8,,12963.7,6892.0,16559.0,9589.8,-20559.0,-1104.0,-26657.5,3930.0,1452.2,-12272.0,3945.1,10853.6,8380.0,-11579.0,,,-15354.4,,-2037.2,36543.1,,9304.0,13704.8,-4611.1,False,False,True,False,,False,False,False,False,,False,False,False,False,False,True,False,False,True,False,False,False,False,False,,,False,,True,False,,False,False,False
Oregon,23509,28788.0,42869.0,28535.2,31676.0,25226.0,,32542.7,44336.0,24044.0,41059.3,,31629.7,30895.0,33636.0,40845.1,34305.3,29585.0,26407.2,35748.0,33346.6,22128.0,28514.6,34365.0,36427.0,20770.0,,32102.6,55934.9,,38468.0,49576.6,,29808.0,37287.3,44865.2,5279.0,19360.0,5026.2,8167.0,1717.0,,9033.7,20827.0,535.0,17550.3,,8120.7,7386.0,10127.0,17336.1,10796.3,6076.0,2898.2,12239.0,9837.6,-1381.0,5005.6,10856.0,12918.0,-2739.0,,8593.6,32425.9,,14959.0,26067.6,,6299.0,13778.3,21356.2,False,True,False,True,,False,False,True,False,,False,False,False,False,False,False,True,False,False,True,True,False,False,True,,False,False,,False,False,,False,False,False
Pennsylvania,175250,209085.0,264310.7,209617.9,252503.0,219284.0,,233975.4,344636.0,184895.3,281333.5,,311055.7,218246.0,238086.0,282898.1,299965.7,220514.0,175587.4,255275.5,357928.1,257500.0,225877.0,207656.9,248373.0,186554.0,,297700.2,257508.0,,163487.4,283784.1,292097.9,267548.0,298094.7,263764.2,33835.0,89060.7,34367.9,77253.0,44034.0,,58725.4,169386.0,9645.3,106083.5,,135805.7,42996.0,62836.0,107648.1,124715.7,45264.0,337.4,80025.5,182678.1,82250.0,50627.0,32406.9,73123.0,11304.0,,122450.2,82258.0,,-11762.6,108534.1,116847.9,92298.0,122844.7,88514.2,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,True,False,True,,False,False,,True,False,False,False,False,False
Rhode Island,17131,26043.0,30575.8,26293.8,26016.0,20205.0,,28052.1,19762.0,88787.5,30213.4,,37638.4,20282.0,29807.0,30887.6,31702.6,29567.0,13188.8,25921.5,41821.2,23487.5,21813.7,28498.3,18601.0,22845.0,,26935.2,24555.3,,17625.6,36418.4,,22830.0,29209.2,36126.2,8912.0,13444.8,9162.8,8885.0,3074.0,,10921.1,2631.0,71656.5,13082.4,,20507.4,3151.0,12676.0,13756.6,14571.6,12436.0,-3942.2,8790.5,24690.2,6356.5,4682.7,11367.3,1470.0,5714.0,,9804.2,7424.3,,494.6,19287.4,,5699.0,12078.2,18995.2,False,False,True,True,,False,True,False,False,,False,True,False,False,False,False,True,True,False,True,True,False,True,True,,False,True,,True,False,,True,False,False
South Carolina,63920,58689.0,71781.2,59366.2,69513.0,76270.0,,62059.0,62637.0,56056.8,56073.0,,102242.0,50435.0,66887.0,66706.0,77591.1,77915.0,39159.3,52352.5,96797.9,75691.5,73342.9,69596.7,85788.0,61345.0,,80230.0,49246.4,,58286.1,59692.2,,81151.0,76633.0,63625.9,-5231.0,7861.2,-4553.8,5593.0,12350.0,,-1861.0,-1283.0,-7863.2,-7847.0,,38322.0,-13485.0,2967.0,2786.0,13671.1,13995.0,-24760.7,-11567.5,32877.9,11771.5,9422.9,5676.7,21868.0,-2575.0,,16310.0,-14673.6,,-5633.9,-4227.8,,17231.0,12713.0,-294.1,False,True,False,False,,True,True,False,False,,False,False,True,True,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True,,False,False,True
South Dakota,9422,15309.0,13422.2,15313.1,12572.0,10231.0,,14789.0,12255.0,10004.5,13435.3,,12117.0,18894.0,17038.0,15983.0,9066.7,14843.0,7071.1,10751.0,11849.6,9085.0,13350.1,13234.4,12655.0,14333.0,,11875.7,7453.7,,19851.5,25932.4,,12919.0,17994.5,12222.6,5887.0,4000.2,5891.1,3150.0,809.0,,5367.0,2833.0,582.5,4013.3,,2695.0,9472.0,7616.0,6561.0,-355.3,5421.0,-2350.9,1329.0,2427.6,-337.0,3928.1,3812.4,3233.0,4911.0,,2453.7,-1968.3,,10429.5,16510.4,,3497.0,8572.5,2800.6,True,False,True,True,,True,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,False,False,,True,False,True
Tennessee,161179,136293.0,162569.5,138905.4,145907.0,122623.0,,135224.5,101074.0,128670.9,160364.0,,251968.7,140331.0,149852.0,141688.9,151658.7,134188.0,70811.4,145190.0,148862.5,183898.0,184231.4,156773.3,172604.0,128459.0,,164155.4,106831.0,,125480.8,144407.9,,175161.0,170525.6,151920.5,-24886.0,1390.5,-22273.6,-15272.0,-38556.0,,-25954.5,-60105.0,-32508.1,-815.0,,90789.7,-20848.0,-11327.0,-19490.1,-9520.3,-26991.0,-90367.6,-15989.0,-12316.5,22719.0,23052.4,-4405.7,11425.0,-32720.0,,2976.4,-54348.0,,-35698.2,-16771.1,,13982.0,9346.6,-9258.5,True,True,True,False,,False,False,False,True,,False,True,True,True,True,False,False,True,True,True,True,True,True,False,,True,False,,False,True,,True,True,True
Texas,320600,267255.0,308627.8,268441.1,279226.0,295311.0,,278805.1,348240.0,272715.5,298835.9,,271180.2,267576.0,325623.0,347962.6,378111.2,233431.0,272467.8,506246.0,310022.7,255565.0,262879.8,273240.1,341333.0,219822.0,,301277.3,379617.6,,260016.9,418556.5,,280227.0,364812.7,305292.3,-53345.0,-11972.2,-52158.9,-41374.0,-25289.0,,-41794.9,27640.0,-47884.5,-21764.1,,-49419.8,-53024.0,5023.0,27362.6,57511.2,-87169.0,-48132.2,185646.0,-10577.3,-65035.0,-57720.2,-47359.9,20733.0,-100778.0,,-19322.7,59017.6,,-60583.1,97956.5,,-40373.0,44212.7,-15307.7,True,True,True,True,,True,True,True,True,,True,True,True,True,False,False,True,False,True,False,False,True,True,False,,True,False,,False,False,,True,True,True
Utah,49833,56931.0,51374.1,59137.1,53367.0,37777.0,,65522.5,89842.0,36963.2,49685.5,,59831.3,73024.0,72012.0,68203.1,39160.6,56091.0,28890.2,51648.0,57854.0,44528.0,51943.3,60600.2,62477.0,46173.0,,59179.0,48424.4,,45280.5,87560.8,,60014.0,67526.4,48289.8,7098.0,1541.1,9304.1,3534.0,-12056.0,,15689.5,40009.0,-12869.8,-147.5,,9998.3,23191.0,22179.0,18370.1,-10672.4,6258.0,-20942.8,1815.0,8021.0,-5305.0,2110.3,10767.2,12644.0,-3660.0,,9346.0,-1408.6,,-4552.5,37727.8,,10181.0,17693.4,-1543.2,True,False,True,False,,False,False,False,True,,False,False,False,False,False,True,False,True,False,True,True,False,False,True,,False,True,,True,False,,False,False,True
Vermont,2063,2196.0,3611.9,2115.4,2712.0,2742.0,,2572.6,7255.0,3114.0,3108.8,,3355.7,404.0,3248.0,2832.7,3220.8,2206.0,1791.2,2822.5,6132.9,2454.5,2561.7,3008.5,3031.0,1505.0,,3021.3,6078.3,,2761.1,3732.6,,2888.0,2904.3,2679.4,133.0,1548.9,52.4,649.0,679.0,,509.6,5192.0,1051.0,1045.8,,1292.7,-1659.0,1185.0,769.7,1157.8,143.0,-271.8,759.5,4069.9,391.5,498.7,945.5,968.0,-558.0,,958.3,4015.3,,698.1,1669.6,,825.0,841.3,616.4,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Virginia,80140,82326.0,95926.7,79405.6,91225.0,114199.0,,85239.4,68575.0,69602.6,81669.7,,123140.5,75200.0,83661.0,92188.4,119833.3,119665.0,64507.5,88980.5,107917.5,92609.0,87924.9,89609.1,107317.0,85042.0,,94593.4,47093.0,,83734.5,78816.9,,107772.0,114354.4,82322.2,2186.0,15786.7,-734.4,11085.0,34059.0,,5099.4,-11565.0,-10537.4,1529.7,,43000.5,-4940.0,3521.0,12048.4,39693.3,39525.0,-15632.5,8840.5,27777.5,12469.0,7784.9,9469.1,27177.0,4902.0,,14453.4,-33047.0,,3594.5,-1323.1,,27632.0,34214.4,2182.2,False,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,,False,False,True
Washington,38035,71826.0,59521.7,68831.8,70303.0,98427.0,,71164.3,104627.0,57406.7,88317.7,,74229.6,66745.0,59720.0,93440.1,69360.5,69703.0,61424.8,76835.5,66844.0,53772.0,76932.0,78470.6,69822.0,64287.0,,76036.1,108375.2,,96449.6,81125.9,,77609.0,78366.8,,33791.0,21486.7,30796.8,32268.0,60392.0,,33129.3,66592.0,19371.7,50282.7,,36194.6,28710.0,21685.0,55405.1,31325.5,31668.0,23389.8,38800.5,28809.0,15737.0,38897.0,40435.6,31787.0,26252.0,,38001.1,70340.2,,58414.6,43090.9,,39574.0,40331.8,,True,True,True,False,,True,False,True,False,,False,True,True,False,True,True,True,False,True,True,False,False,True,True,,False,False,,False,False,,False,False,
West Virginia,27176,25737.0,34007.2,25875.3,27696.0,27455.0,,26918.1,42584.0,20948.0,34035.5,,29708.6,29135.0,27157.0,31687.7,29335.0,26977.0,13042.3,29422.5,41960.6,25250.5,24824.9,27146.1,29873.0,21735.0,,29350.5,17537.7,,31889.2,35531.7,,30738.0,31855.8,28207.4,-1439.0,6831.2,-1300.7,520.0,279.0,,-257.9,15408.0,-6228.0,6859.5,,2532.6,1959.0,-19.0,4511.7,2159.0,-199.0,-14133.7,2246.5,14784.6,-1925.5,-2351.1,-29.9,2697.0,-5441.0,,2174.5,-9638.3,,4713.2,8355.7,,3562.0,4679.8,1031.4,False,True,True,True,,True,False,False,False,,False,False,True,False,False,True,False,False,False,False,False,True,False,False,,False,False,,False,False,,False,False,True
Wisconsin,57661,84219.0,92210.0,86543.4,73951.0,69675.0,,82162.9,49625.0,49386.9,84011.0,,69648.8,101311.0,88478.0,89461.5,43789.2,90775.0,48425.9,67314.5,64059.8,61796.0,79254.9,75642.8,72354.0,77023.0,,67502.7,38354.0,,74162.3,149963.7,81360.8,80951.0,104064.5,53344.9,26558.0,34549.0,28882.4,16290.0,12014.0,,24501.9,-8036.0,-8274.1,26350.0,,11987.8,43650.0,30817.0,31800.5,-13871.8,33114.0,-9235.1,9653.5,6398.8,4135.0,21593.9,17981.8,14693.0,19362.0,,9841.7,-19307.0,,16501.3,92302.7,23699.8,23290.0,46403.5,-4316.1,False,False,True,True,,True,True,True,True,,True,False,False,False,True,False,True,True,True,True,True,True,True,True,,True,True,,True,False,True,True,False,True
Wyoming,5666,8898.0,11425.9,8876.5,7340.0,6884.0,,8720.5,12538.0,5118.0,6588.2,,6141.0,11660.0,10370.0,9701.3,5032.3,8144.0,3589.8,6558.5,5087.6,4799.0,7906.9,8559.0,6006.0,6369.0,,3632.6,11897.3,,7708.7,19854.8,,10038.0,9271.0,6251.1,3232.0,5759.9,3210.5,1674.0,1218.0,,3054.5,6872.0,-548.0,922.2,,475.0,5994.0,4704.0,4035.3,-633.7,2478.0,-2076.2,892.5,-578.4,-867.0,2240.9,2893.0,340.0,703.0,,-2033.4,6231.3,,2042.7,14188.8,,4372.0,3605.0,585.1,False,True,True,True,,True,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,False,,True,False,,False,False,True
US,4273516,4442943.0,5370809.9,4457359.5,4927957.0,4659678.0,5076173.0,4892407.9,5502636.0,4688300.6,,4894351.0,5269930.3,4464563.0,4703673.0,5466041.5,5598345.8,,3368920.7,,5891230.9,4747476.0,4549163.1,4665112.9,5069818.0,5422958.0,4641498.0,5569474.4,4184048.0,4784247.0,4278266.5,,5433983.4,5057969.0,5954887.5,,169427.0,1097293.9,183843.5,654441.0,386162.0,802657.0,618891.9,1229120.0,414784.6,,620835.0,996414.3,191047.0,430157.0,1192525.5,1324829.8,,-904595.3,,1617714.9,473960.0,275647.1,391596.9,796302.0,1149442.0,367982.0,1295958.4,-89468.0,510731.0,4750.5,,1160467.4,784453.0,1681371.5,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,
