,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Nevada,13218,13795.0,16377.1,13953.0,13953.0,11448.0,,14996.3,15692.0,15281.1,10969.4,12150.6,,14236.6,16390.0,18530.6,12054.8,13861.0,8428.2,12546.5,12663.4,14988.5,12398.1,12801.8,15352.0,13225.0,,12570.3,18037.7,,13663.7,24242.6,14161.5,15011.0,2559.6,577.0,3159.1,735.0,735.0,-1770.0,,1778.3,2474.0,2063.1,-2248.6,-1067.4,,1018.6,3172.0,5312.6,-1163.2,643.0,-4789.8,-671.5,-554.6,1770.5,-819.9,-416.2,2134.0,7.0,,-647.7,4819.7,,445.7,11024.6,943.5,1793.0,-10658.4,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,True,False,True,,False,False,,True,False,False,False,False
New Hampshire,5273,4324.0,6228.4,4637.0,4637.0,3388.0,,5065.4,6260.0,3923.6,3589.4,7185.9,,4418.9,5032.0,6504.3,4990.3,4337.0,4715.7,5507.5,3961.6,5618.5,4355.2,4857.0,4856.0,4059.0,,3509.7,11621.9,,4367.2,7914.9,4143.4,5369.0,5021.1,-949.0,955.4,-636.0,-636.0,-1885.0,,-207.6,987.0,-1349.4,-1683.6,1912.9,,-854.1,-241.0,1231.3,-282.7,-936.0,-557.3,234.5,-1311.4,345.5,-917.8,-416.0,-417.0,-1214.0,,-1763.3,6348.9,,-905.8,2641.9,-1129.6,96.0,-251.9,False,True,True,False,,True,False,False,False,False,,True,True,False,True,True,True,True,False,True,True,True,True,False,,False,False,,True,False,False,True,True
New Jersey,29471,31484.0,31943.5,31103.7,30948.0,28586.0,,30580.9,40640.0,23590.8,36204.6,27868.9,,28126.3,32189.0,34452.1,24324.5,30592.0,31211.6,32551.0,32496.1,27892.5,24686.5,26838.2,31533.0,27830.0,,27003.4,62045.6,,31391.2,43024.1,31181.3,31101.0,20869.7,2013.0,2472.5,1632.7,1477.0,-885.0,,1109.9,11169.0,-5880.2,6733.6,-1602.1,,-1344.7,2718.0,4981.1,-5146.5,1121.0,1740.6,3080.0,3025.1,-1578.5,-4784.5,-2632.8,2062.0,-1641.0,,-2467.6,32574.6,,1920.2,13553.1,1710.3,1630.0,-8601.3,False,True,True,True,,True,False,False,False,True,,True,False,False,False,True,True,False,False,True,False,False,False,True,,False,False,,True,False,True,True,False
New Mexico,8153,8296.0,9250.7,8229.8,7864.0,6250.0,,8395.8,7864.0,6460.9,6505.7,6361.0,,7360.7,10098.0,10372.3,5761.4,8166.0,5274.1,4666.0,8313.4,6671.0,6472.9,6888.1,9115.0,6683.0,,7267.8,5865.7,,6882.8,12177.1,8690.5,8473.0,11714.6,143.0,1097.7,76.8,-289.0,-1903.0,,242.8,-289.0,-1692.1,-1647.3,-1792.0,,-792.3,1945.0,2219.3,-2391.6,13.0,-2878.9,-3487.0,160.4,-1482.0,-1680.1,-1264.9,962.0,-1470.0,,-885.2,-2287.3,,-1270.2,4024.1,537.5,320.0,3561.6,False,True,False,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
New York,87651,76437.0,101883.4,76863.8,76163.0,75563.0,,77637.5,116274.0,67650.9,80457.5,72948.6,,78272.3,74365.0,86113.8,73751.6,71498.0,83179.7,65643.0,78107.3,71236.5,66706.1,66479.4,87236.0,76662.0,,72579.6,108323.2,,78792.8,100120.0,83506.9,75904.0,27132.3,-11214.0,14232.4,-10787.2,-11488.0,-12088.0,,-10013.5,28623.0,-20000.1,-7193.5,-14702.4,,-9378.7,-13286.0,-1537.2,-13899.4,-16153.0,-4471.3,-22008.0,-9543.7,-16414.5,-20944.9,-21171.6,-415.0,-10989.0,,-15071.4,20672.2,,-8858.2,12469.0,-4144.1,-11747.0,-60518.7,False,True,False,False,,True,False,False,True,False,,True,False,True,False,False,True,False,True,False,False,False,True,True,,False,False,,True,False,True,False,False
North Carolina,44507,41662.0,49815.0,41439.0,41145.0,36904.0,,41398.8,52509.0,28367.4,39352.5,95432.9,,43018.8,46800.0,46922.3,40715.0,33360.0,31235.3,34110.5,57803.4,46454.5,32186.8,39796.0,44066.0,43823.0,,36256.4,32094.4,,40595.9,59108.4,39671.8,33772.0,41145.4,-2845.0,5308.0,-3068.0,-3362.0,-7603.0,,-3108.2,8002.0,-16139.6,-5154.5,50925.9,,-1488.2,2293.0,2415.3,-3792.0,-11147.0,-13271.7,-10396.5,13296.4,1947.5,-12320.2,-4711.0,-441.0,-684.0,,-8250.6,-12412.6,,-3911.1,14601.4,-4835.2,-10735.0,-3361.6,False,False,False,False,,False,False,False,False,False,,True,True,True,False,False,False,False,False,True,False,False,True,True,,False,False,,False,False,False,False,False
North Dakota,1537,1570.0,919.5,1668.1,1311.0,920.0,,1642.2,1029.0,1309.0,1294.0,1239.7,,1014.1,2467.0,1843.3,928.3,970.0,2091.3,704.0,1709.3,581.5,1153.8,1531.7,1515.0,1748.0,,959.1,1769.7,,2285.7,3578.9,1343.2,1649.0,672.7,33.0,-617.5,131.1,-226.0,-617.0,,105.2,-508.0,-228.0,-243.0,-297.3,,-522.9,930.0,306.3,-608.7,-567.0,554.3,-833.0,172.3,-955.5,-383.2,-5.3,-22.0,211.0,,-577.9,232.7,,748.7,2041.9,-193.8,112.0,-864.3,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,,False,False,False,False,False
Ohio,50005,50239.0,56645.1,50240.8,49551.0,42195.0,,54518.7,96329.0,42875.5,41439.9,60375.2,,47032.1,61752.0,74118.2,42849.8,49214.0,34762.4,26340.5,58044.3,45128.0,45499.3,48498.7,58052.0,45267.0,,40870.5,71059.6,,50763.2,90567.9,53204.6,60709.0,31699.7,234.0,6640.1,235.8,-454.0,-7810.0,,4513.7,46324.0,-7129.5,-8565.1,10370.2,,-2972.9,11747.0,24113.2,-7155.2,-791.0,-15242.6,-23664.5,8039.3,-4877.0,-4505.7,-1506.3,8047.0,-4738.0,,-9134.5,21054.6,,758.2,40562.9,3199.6,10704.0,-18305.3,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False
Oklahoma,19547,20640.0,25618.4,20311.1,20559.0,18020.0,,22257.3,31625.0,20612.7,25319.8,22256.5,,20395.2,24553.0,25917.9,20559.4,20914.0,11867.9,17341.0,21654.1,23354.5,16517.1,19195.3,23450.0,20251.0,,19742.4,16258.0,,19654.0,29646.0,20676.3,24530.0,14844.6,1093.0,6071.4,764.1,1012.0,-1527.0,,2710.3,12078.0,1065.7,5772.8,2709.5,,848.2,5006.0,6370.9,1012.4,1367.0,-7679.1,-2206.0,2107.1,3807.5,-3029.9,-351.7,3903.0,704.0,,195.4,-3289.0,,107.0,10099.0,1129.3,4983.0,-4702.4,False,True,True,False,,False,False,True,False,False,,True,False,False,True,False,False,False,False,False,False,True,False,True,,True,False,,True,False,False,False,False
Oregon,8022,6512.0,7421.0,6326.7,6616.0,5316.0,,7544.0,14805.0,7146.3,4372.5,9686.5,,6615.7,8502.0,8772.5,5971.1,6071.0,7323.8,6075.0,6954.4,6577.5,7095.7,7452.5,8401.0,6385.0,,6143.7,13758.3,,6479.4,13247.1,6530.8,8466.0,5798.1,-1510.0,-601.0,-1695.3,-1406.0,-2706.0,,-478.0,6783.0,-875.7,-3649.5,1664.5,,-1406.3,480.0,750.5,-2050.9,-1951.0,-698.2,-1947.0,-1067.6,-1444.5,-926.3,-569.5,379.0,-1637.0,,-1878.3,5736.3,,-1542.6,5225.1,-1491.2,444.0,-2223.9,True,False,True,False,,True,False,True,False,False,,True,True,True,False,False,True,False,True,True,True,True,True,False,,False,False,,False,False,True,True,False
Pennsylvania,51813,55872.0,65826.7,55355.4,55658.0,45087.0,,61100.9,122424.0,59660.8,49838.0,51177.5,,48043.5,62694.0,72349.5,54280.2,53164.0,43632.1,60412.0,56768.9,54430.5,45264.2,48912.1,64794.0,46939.0,,49226.9,88891.3,,52337.6,94950.9,58488.5,59624.0,67153.6,4059.0,14013.7,3542.4,3845.0,-6726.0,,9287.9,70611.0,7847.8,-1975.0,-635.5,,-3769.5,10881.0,20536.5,2467.2,1351.0,-8180.9,8599.0,4955.9,2617.5,-6548.8,-2900.9,12981.0,-4874.0,,-2586.1,37078.3,,524.6,43137.9,6675.5,7811.0,15340.6,False,True,True,False,,False,False,False,True,True,,True,False,False,True,True,False,False,False,True,False,True,False,False,,True,False,,True,False,False,False,False
Rhode Island,5883,4254.0,4923.1,4512.1,4512.0,5167.0,,5081.3,5026.0,207378.0,6430.3,2342.4,,5171.7,5665.0,6187.7,4241.0,3895.0,4122.4,2122.0,4075.3,4116.0,2796.3,4790.0,5076.0,3311.0,,5177.8,7615.4,,3876.5,10262.8,4591.9,3810.0,850.2,-1629.0,-959.9,-1370.9,-1371.0,-716.0,,-801.7,-857.0,201495.0,547.3,-3540.6,,-711.3,-218.0,304.7,-1642.0,-1988.0,-1760.6,-3761.0,-1807.7,-1767.0,-3086.7,-1093.0,-807.0,-2572.0,,-705.2,1732.4,,-2006.5,4379.8,-1291.1,-2073.0,-5032.8,True,True,True,True,,True,True,False,True,False,,True,True,True,False,False,False,False,False,False,False,True,True,False,,True,False,,False,False,True,False,False
South Carolina,23826,18355.0,27185.3,18320.3,22384.0,16534.0,,22679.0,23208.0,26583.9,20644.6,23732.9,,28324.9,22384.0,24314.0,22524.9,18936.0,13906.0,18909.5,31017.4,26590.5,26719.9,25760.4,21968.0,22014.0,,19428.2,23473.4,,18559.0,29456.5,17968.7,21208.0,22071.8,-5471.0,3359.3,-5505.7,-1442.0,-7292.0,,-1147.0,-618.0,2757.9,-3181.4,-93.1,,4498.9,-1442.0,488.0,-1301.1,-4890.0,-9920.0,-4916.5,7191.4,2764.5,2893.9,1934.4,-1858.0,-1812.0,,-4397.8,-352.6,,-5267.0,5630.5,-5857.3,-2618.0,-1754.2,True,False,True,False,,True,True,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,,True,False,False,True,True
South Dakota,2866,2627.0,2632.3,2649.3,2440.0,1957.0,,2970.3,2275.0,2759.2,1806.7,2813.0,,2256.1,3459.0,3394.3,1817.6,2140.0,2228.9,1470.0,2903.4,1978.5,2304.0,2500.6,2837.0,2434.0,,2379.4,1391.5,,3451.2,4098.6,2295.5,3131.0,1484.1,-239.0,-233.7,-216.7,-426.0,-909.0,,104.3,-591.0,-106.8,-1059.3,-53.0,,-609.9,593.0,528.3,-1048.4,-726.0,-637.1,-1396.0,37.4,-887.5,-562.0,-365.4,-29.0,-432.0,,-486.6,-1474.5,,585.2,1232.6,-570.5,265.0,-1381.9,True,True,False,False,,True,False,True,False,True,,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,,False,False,False,False,False
Tennessee,43240,57241.0,67553.9,55695.6,55696.0,44316.0,,59257.2,68525.0,33235.6,24493.5,78612.2,,51330.2,57370.0,70932.0,68696.5,51360.0,28419.2,44506.0,82295.6,78685.0,39977.6,46164.5,59477.0,49675.0,,44103.9,45607.9,,53401.4,79634.1,58835.9,55755.0,53486.1,14001.0,24313.9,12455.6,12456.0,1076.0,,16017.2,25285.0,-10004.4,-18746.5,35372.2,,8090.2,14130.0,27692.0,25456.5,8120.0,-14820.8,1266.0,39055.6,35445.0,-3262.4,2924.5,16237.0,6435.0,,863.9,2367.9,,10161.4,36394.1,15595.9,12515.0,10246.1,False,True,True,True,,False,False,True,False,False,,True,False,False,False,True,False,True,False,False,True,True,False,True,,True,True,,True,False,False,True,True
Texas,125315,83931.0,124718.5,84005.3,104297.0,80699.0,,105958.6,105656.0,114551.3,76166.3,57943.8,,145199.7,126357.0,118538.1,109494.0,102442.0,86677.5,56548.0,122805.1,110464.0,102602.7,111410.5,106532.0,97726.0,,73275.3,119574.0,,80313.6,141979.4,97333.6,90701.0,80271.1,-41384.0,-596.5,-41309.7,-21018.0,-44616.0,,-19356.4,-19659.0,-10763.7,-49148.7,-67371.2,,19884.7,1042.0,-6776.9,-15821.0,-22873.0,-38637.5,-68767.0,-2509.9,-14851.0,-22712.3,-13904.5,-18783.0,-27589.0,,-52039.7,-5741.0,,-45001.4,16664.4,-27981.4,-34614.0,-45043.9,True,True,True,False,,True,True,True,False,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,False,True,True,True,False
Utah,17576,15108.0,16352.6,15110.0,14664.0,9004.0,,16329.4,27527.0,11070.2,13071.5,18881.7,,12976.6,18219.0,18288.9,10925.0,14567.0,7835.8,7163.5,15697.9,12523.5,11108.8,13038.8,15722.0,15279.0,,13340.2,15822.0,,14164.0,22920.9,16208.6,16931.0,11459.8,-2468.0,-1223.4,-2466.0,-2912.0,-8572.0,,-1246.6,9951.0,-6505.8,-4504.5,1305.7,,-4599.4,643.0,712.9,-6651.0,-3009.0,-9740.2,-10412.5,-1878.1,-5052.5,-6467.2,-4537.2,-1854.0,-2297.0,,-4235.8,-1754.0,,-3412.0,5344.9,-1367.4,-645.0,-6116.2,True,True,False,False,,True,False,False,False,True,,False,True,True,False,False,False,False,True,False,False,False,True,True,,False,True,,False,False,True,True,False
Vermont,723,623.0,577.7,644.3,644.0,489.0,,622.6,1283.0,440.7,556.2,1324.7,,586.7,724.0,725.1,564.0,656.0,1134.5,726.0,1667.1,663.0,488.4,644.6,835.0,779.0,,540.5,910.5,,701.1,1070.7,626.1,674.0,397.2,-100.0,-145.3,-78.7,-79.0,-234.0,,-100.4,560.0,-282.3,-166.8,601.7,,-136.3,1.0,2.1,-159.0,-67.0,411.5,3.0,944.1,-60.0,-234.6,-78.4,112.0,56.0,,-182.5,187.5,,-21.9,347.7,-96.9,-49.0,-325.8,False,True,True,False,,False,False,False,False,False,,False,True,True,False,True,False,True,False,True,False,True,False,True,,False,False,,True,False,True,True,False
Virginia,29178,26605.0,33095.3,26026.0,27438.0,25662.0,,28281.2,28716.0,26219.1,32565.1,16841.8,,26880.8,30111.0,30356.4,27586.8,28151.0,22404.1,27995.0,33026.8,28709.5,25704.8,27545.3,29036.0,27677.0,,26058.4,15744.6,,25046.1,34962.0,27473.4,26424.0,25460.3,-2573.0,3917.3,-3152.0,-1740.0,-3516.0,,-896.8,-462.0,-2958.9,3387.1,-12336.2,,-2297.2,933.0,1178.4,-1591.2,-1027.0,-6773.9,-1183.0,3848.8,-468.5,-3473.2,-1632.7,-142.0,-1501.0,,-3119.6,-13433.4,,-4131.9,5784.0,-1704.6,-2754.0,-3717.7,False,False,True,False,,True,True,False,False,False,,True,True,True,True,True,False,True,False,True,False,True,True,True,,False,False,,False,False,True,False,False
Washington,10033,14119.0,15396.4,14037.6,14146.0,13689.0,,14142.1,17548.0,9384.8,14625.7,19512.5,,13156.5,16252.0,20049.8,10198.3,13571.0,12393.5,5953.5,14360.0,15809.0,9335.1,15108.8,15670.0,14366.0,,10931.6,29048.9,,14145.7,24045.3,14574.9,14968.0,20935.2,4086.0,5363.4,4004.6,4113.0,3656.0,,4109.1,7515.0,-648.2,4592.7,9479.5,,3123.5,6219.0,10016.8,165.3,3538.0,2360.5,-4079.5,4327.0,5776.0,-697.9,5075.8,5637.0,4333.0,,898.6,19015.9,,4112.7,14012.3,4541.9,4935.0,10902.2,False,True,False,True,,False,False,True,False,False,,True,False,False,True,True,True,True,False,False,True,False,False,False,,True,False,,False,False,False,False,False
West Virginia,9150,8962.0,10667.0,9109.0,8805.0,8092.0,,9166.8,13060.0,9059.8,9358.5,9271.9,,8892.9,8805.0,10738.7,8324.1,8859.0,6431.4,9501.5,8804.4,8785.5,7216.6,8080.9,10713.0,8366.0,,7788.5,9136.8,,8578.0,12333.9,10242.2,9260.0,6459.2,-188.0,1517.0,-41.0,-345.0,-1058.0,,16.8,3910.0,-90.2,208.5,121.9,,-257.1,-345.0,1588.7,-825.9,-291.0,-2718.6,351.5,-345.6,-364.5,-1933.4,-1069.1,1563.0,-784.0,,-1361.5,-13.2,,-572.0,3183.9,1092.2,110.0,-2690.8,False,True,False,False,,True,False,True,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,False,True,False
Wisconsin,17630,15343.0,22639.6,16191.0,15224.0,12806.0,,18640.5,11621.0,15855.1,8665.6,8799.8,,14864.4,22544.0,24076.8,13029.1,15957.0,13132.8,9548.0,17983.7,13368.0,14613.0,15509.8,18164.0,14955.0,,13070.6,12062.9,,15236.9,28856.0,10014.5,16995.0,14859.8,-2287.0,5009.6,-1439.0,-2406.0,-4824.0,,1010.5,-6009.0,-1774.9,-8964.4,-8830.2,,-2765.6,4914.0,6446.8,-4600.9,-1673.0,-4497.2,-8082.0,353.7,-4262.0,-3017.0,-2120.2,534.0,-2675.0,,-4559.4,-5567.1,,-2393.1,11226.0,-7615.5,-635.0,-2770.2,False,True,False,False,,True,False,True,False,False,,False,False,False,False,True,False,False,True,False,False,True,True,False,,False,False,,False,False,False,True,False
Wyoming,1427,1658.0,1267.0,1640.7,1493.0,1147.0,,1790.5,1738.0,850.1,1841.1,2879.1,,1228.1,2151.0,2088.1,1389.2,1316.0,1159.6,646.0,1377.6,973.0,965.5,1700.1,2065.0,1557.0,,1136.6,2418.7,,1669.7,3423.6,1797.6,1587.0,1168.5,231.0,-160.0,213.7,66.0,-280.0,,363.5,311.0,-576.9,414.1,1452.1,,-198.9,724.0,661.1,-37.8,-111.0,-267.4,-781.0,-49.4,-454.0,-461.5,273.1,638.0,130.0,,-290.4,991.7,,242.7,1996.6,370.6,160.0,-258.5,True,True,True,False,,False,False,False,False,False,,True,False,False,True,True,False,False,True,False,False,False,False,True,,False,False,,False,False,False,True,False
US,1434058,1327043.0,1598858.7,1303322.0,1418752.0,1215416.0,1467499.0,1423211.0,1722709.0,3580585.6,1415585.1,,1116560.0,1464084.6,1442134.0,1676230.5,1415460.0,1290530.0,1052637.6,,1817650.8,1349441.5,1246437.2,1255095.5,1520344.0,1425642.0,1453337.0,1286926.6,1526501.2,1352968.0,1269750.5,,1254942.7,1422044.0,1777063.6,-107015.0,164800.7,-130736.0,-15306.0,-218642.0,33441.0,-10847.0,288651.0,2146527.6,-18472.9,,-317498.0,30026.6,8076.0,242172.5,-18598.0,-143528.0,-381420.4,,383592.8,-84616.5,-187620.8,-178962.5,86286.0,-8416.0,19279.0,-147131.4,92443.2,-81090.0,-164307.5,,-179115.3,-12014.0,343005.6,False,False,True,False,True,True,False,False,True,,False,True,True,False,True,False,False,,False,True,False,False,True,True,True,False,True,True,False,,False,True,False
