,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Hampshire,21068,16828.0,45053.3,16987.7,20275.0,19708.0,,16740.3,38938.0,12006.5,29727.4,,25776.5,19893.0,23393.8,26408.5,25661.0,19468.1,22203.5,35661.9,19563.0,19977.6,22594.4,22846.2,24155.0,,20353.4,36392.2,,20392.6,20838.4,,20592.0,19768.4,4165.5,-4240.0,23985.3,-4080.3,-793.0,-1360.0,,-4327.7,17870.0,-9061.5,8659.4,,4708.5,-1175.0,2325.8,5340.5,4593.0,-1599.9,1135.5,14593.9,-1505.0,-1090.4,1526.4,1778.2,3087.0,,-714.6,15324.2,,-675.4,-229.6,,-476.0,-1299.6,-16902.5,False,True,True,True,,False,False,False,False,,False,True,True,False,False,True,True,False,True,True,True,True,True,,True,False,,True,True,,True,True,False
New Jersey,144683,129732.0,138545.2,131653.3,150137.0,146056.0,,131580.8,240570.0,166858.2,111157.2,,192757.8,121705.0,169513.1,128512.0,116446.0,130009.2,165918.5,176257.2,134082.5,162599.0,157585.3,160094.1,158974.0,,194419.6,244263.8,,232620.0,211789.3,,138441.0,193424.1,25848.5,-14951.0,-6137.8,-13029.7,5454.0,1373.0,,-13102.2,95887.0,22175.2,-33525.8,,48074.8,-22978.0,24830.1,-16171.0,-28237.0,-14673.8,21235.5,31574.2,-10600.5,17916.0,12902.3,15411.1,14291.0,,49736.6,99580.8,,87937.0,67106.3,,-6242.0,48741.1,-118834.5,True,True,True,True,,True,False,False,False,,False,False,False,False,False,True,False,False,True,False,True,False,True,,False,False,,False,False,,True,False,False
New Mexico,38523,51496.0,56381.0,53226.9,50972.0,37922.0,,55814.6,58732.0,67772.9,61691.4,,52575.1,48868.0,86059.6,45936.1,58004.0,36506.6,76432.5,39840.8,41872.5,46774.1,48715.6,51137.0,46584.0,,30438.3,22785.6,,52405.6,124203.8,,37662.0,59286.8,22454.1,12973.0,17858.0,14703.9,12449.0,-601.0,,17291.6,20209.0,29249.9,23168.4,,14052.1,10345.0,47536.6,7413.1,19481.0,-2016.4,37909.5,1317.8,3349.5,8251.1,10192.6,12614.0,8061.0,,-8084.7,-15737.4,,13882.6,85680.8,,-861.0,20763.8,-16068.9,False,False,True,True,,False,False,False,False,,False,True,False,True,False,True,False,True,True,True,True,True,True,,True,False,,False,False,,True,False,False
New York,306982,246748.0,254870.5,244924.3,319110.0,337875.0,,360594.9,485803.0,261291.0,477542.8,,543447.2,220992.0,293067.7,576206.9,288978.0,310400.4,334177.0,477813.2,368074.5,366867.3,310495.6,325808.9,343364.0,,313796.9,235615.4,,257851.7,326268.4,,334969.0,311971.4,60607.3,-60234.0,-52111.5,-62057.7,12128.0,30893.0,,53612.9,178821.0,-45691.0,170560.8,,236465.2,-85990.0,-13914.3,269224.9,-18004.0,3418.4,27195.0,170831.2,61092.5,59885.3,3513.6,18826.9,36382.0,,6814.9,-71366.6,,-49130.3,19286.4,,27987.0,4989.4,-246374.7,True,False,True,True,,True,False,True,False,,False,False,True,False,True,True,True,False,False,True,True,True,True,,True,False,,True,True,,True,True,False
North Carolina,169885,122376.0,166725.2,124422.2,141506.0,142370.0,,119866.0,119713.0,141508.0,68968.4,,206603.9,140859.0,172882.8,130206.7,120447.0,100799.3,130819.5,170055.5,161459.5,180127.0,159590.3,165291.4,166553.0,,159267.3,122466.0,,102920.9,172214.6,,182670.0,144282.1,26147.7,-47509.0,-3159.8,-45462.8,-28379.0,-27515.0,,-50019.0,-50172.0,-28377.0,-100916.6,,36718.9,-29026.0,2997.8,-39678.3,-49438.0,-69085.7,-39065.5,170.5,-8425.5,10242.0,-10294.7,-4593.6,-3332.0,,-10617.7,-47419.0,,-66964.1,2329.6,,12785.0,-25602.9,-143737.3,True,True,True,True,,False,False,True,False,,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,,False,True,,True,True,False
North Dakota,10387,18276.0,14051.9,17757.7,12744.0,7662.0,,20344.5,11344.0,18257.3,6436.8,,9851.4,19981.0,22644.8,6879.6,20486.0,8372.7,10807.5,10304.1,9501.0,13795.3,18344.5,16123.2,23533.0,,4540.1,16611.6,,8850.6,52348.0,,10977.0,20601.2,2663.1,7889.0,3664.9,7370.7,2357.0,-2725.0,,9957.5,957.0,7870.3,-3950.2,,-535.6,9594.0,12257.8,-3507.4,10099.0,-2014.3,420.5,-82.9,-886.0,3408.3,7957.5,5736.2,13146.0,,-5846.9,6224.6,,-1536.4,41961.0,,590.0,10214.2,-7723.9,True,True,True,True,,False,True,True,True,,True,False,False,True,False,True,True,True,True,True,False,True,False,,True,True,,True,False,,True,False,True
Ohio,247241,242916.0,357919.2,229475.0,257147.0,229880.0,,277706.5,484050.0,269992.8,353559.9,,292179.0,258877.0,353611.7,246896.2,233719.0,190491.6,315013.0,274318.6,216539.5,250784.9,271613.0,273543.5,282862.0,,252993.6,183048.6,,279745.5,485286.9,123134.2,225250.0,314491.7,59458.8,-4325.0,110678.2,-17766.0,9906.0,-17361.0,,30465.5,236809.0,22751.8,106318.9,,44938.0,11636.0,106370.7,-344.8,-13522.0,-56749.4,67772.0,27077.6,-30701.5,3543.9,24372.0,26302.5,35621.0,,5752.6,-64192.4,,32504.5,238045.9,-124106.8,-21991.0,67250.7,-187782.2,False,False,False,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False,False
Oklahoma,82810,77684.0,133053.6,74815.3,84474.0,72113.0,,91191.3,188704.0,73774.0,137652.2,,93338.0,95862.0,97927.0,65082.3,75412.0,45967.0,102323.5,74436.0,70357.5,82560.9,86581.9,89212.1,87018.0,,99446.7,40127.2,,87389.8,161434.3,,85201.0,104228.9,18713.0,-5126.0,50243.6,-7994.7,1664.0,-10697.0,,8381.3,105894.0,-9036.0,54842.2,,10528.0,13052.0,15117.0,-17727.7,-7398.0,-36843.0,19513.5,-8374.0,-12452.5,-249.1,3771.9,6402.1,4208.0,,16636.7,-42682.8,,4579.8,78624.3,,2391.0,21418.9,-64097.0,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,,True,False,,True,False,False
Oregon,33105,42948.0,82481.7,42919.7,50928.0,49003.0,,43855.5,63858.0,33793.1,49288.5,,62476.9,42252.0,62230.0,61188.6,56881.0,46548.8,54360.5,86305.4,45969.0,46436.3,55924.9,55490.4,50572.0,,45569.2,25616.9,,57802.6,65936.3,,50463.0,55951.8,10798.2,9843.0,49376.7,9814.7,17823.0,15898.0,,10750.5,30753.0,688.1,16183.5,,29371.9,9147.0,29125.0,28083.6,23776.0,13443.8,21255.5,53200.4,12864.0,13331.3,22819.9,22385.4,17467.0,,12464.2,-7488.1,,24697.6,32831.3,,17358.0,22846.8,-22306.8,False,True,False,False,,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,,False,False,False
Pennsylvania,244945,238760.0,309474.2,235643.6,292307.0,302745.0,,244397.0,459334.0,273469.3,341396.2,,385441.7,232408.0,315534.9,308718.1,213813.0,221564.0,320786.5,514592.2,287433.0,292773.1,267410.4,276677.1,287710.0,,361576.5,328012.7,,222758.6,383973.1,305446.5,318296.0,344470.9,53879.0,-6185.0,64529.2,-9301.4,47362.0,57800.0,,-548.0,214389.0,28524.3,96451.2,,140496.7,-12537.0,70589.9,63773.1,-31132.0,-23381.0,75841.5,269647.2,42488.0,47828.1,22465.4,31732.1,42765.0,,116631.5,83067.7,,-22186.4,139028.1,60501.5,73351.0,99525.9,-191066.0,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Rhode Island,25812,32732.0,34615.5,32035.3,30784.0,19277.0,,29653.6,25186.0,436230.3,24259.3,,23024.2,32184.0,41396.3,35604.9,37819.0,17678.2,33449.5,57777.6,29413.5,28764.1,34345.6,35503.6,37408.0,,28902.3,33016.6,,25419.6,46104.5,,28162.0,30202.6,5126.6,6920.0,8803.5,6223.3,4972.0,-6535.0,,3841.6,-626.0,410418.3,-1552.7,,-2787.8,6372.0,15584.3,9792.9,12007.0,-8133.8,7637.5,31965.6,3601.5,2952.1,8533.6,9691.6,11596.0,,3090.3,7204.6,,-392.4,20292.5,,2350.0,4390.6,-20685.4,False,True,True,True,,True,True,False,True,,True,True,False,False,False,False,False,False,True,True,False,False,False,,True,False,,True,False,,True,True,False
South Carolina,83483,57296.0,71083.5,57315.0,67930.0,75027.0,,48507.2,80003.0,63248.9,68252.7,,96758.4,62184.0,66250.7,46881.2,65221.0,42805.4,54322.5,75834.3,75004.0,84812.7,79925.3,78068.5,85718.0,,96367.1,62921.7,,66529.7,69072.6,,88634.0,66331.2,8132.3,-26187.0,-12399.5,-26168.0,-15553.0,-8456.0,,-34975.8,-3480.0,-20234.1,-15230.3,,13275.4,-21299.0,-17232.3,-36601.8,-18262.0,-40677.6,-29160.5,-7648.7,-8479.0,1329.7,-3557.7,-5414.5,2235.0,,12884.1,-20561.3,,-16953.3,-14410.4,,5151.0,-17151.8,-75350.7,True,True,True,True,,False,True,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,,True,True,,True,True,,True,True,False
South Dakota,14525,24820.0,20267.7,23562.1,21218.0,13427.0,,23761.8,19004.0,18926.0,15677.5,,16966.0,24393.0,26702.3,13722.1,27655.0,9377.2,17016.0,18461.5,17748.5,20309.7,22794.2,20965.6,29998.0,,25808.1,15385.3,,33374.9,48631.1,,18088.0,26496.6,2632.1,10295.0,5742.7,9037.1,6693.0,-1098.0,,9236.8,4479.0,4401.0,1152.5,,2441.0,9868.0,12177.3,-802.9,13130.0,-5147.8,2491.0,3936.5,3223.5,5784.7,8269.2,6440.6,15473.0,,11283.1,860.3,,18849.9,34106.1,,3563.0,11971.6,-11892.9,True,True,True,True,,True,True,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,False,,False,True,,False,False,,True,False,False
Tennessee,206610,136224.0,104871.8,137958.8,140479.0,143191.0,,132985.5,128237.0,165436.3,126631.0,,144423.4,147349.0,155729.4,122493.1,167652.0,76561.6,165085.0,186112.8,127146.0,117497.6,118850.8,123384.2,172161.0,,131200.1,117336.7,,131835.9,199926.3,,142604.0,157838.4,16940.9,-70386.0,-101738.2,-68651.2,-66131.0,-63419.0,,-73624.5,-78373.0,-41173.7,-79979.0,,-62186.6,-59261.0,-50880.6,-84116.9,-38958.0,-130048.4,-41525.0,-20497.2,-79464.0,-89112.4,-87759.2,-83225.8,-34449.0,,-75409.9,-89273.3,,-74774.1,-6683.7,,-64006.0,-48771.6,-189669.1,False,True,True,True,,False,False,True,False,,True,True,True,False,True,False,True,True,False,False,False,False,True,,False,False,,False,True,,True,True,False
Texas,426292,392264.0,377613.6,407428.9,411817.0,653460.0,,337380.5,487952.0,584559.6,340414.8,,389929.2,340030.0,497176.5,564242.8,269610.0,330360.6,358501.0,467378.3,409369.0,403519.4,327221.8,340839.3,522880.0,,343212.2,486450.2,,429980.9,448495.9,,462348.0,448526.9,54167.4,-34028.0,-48678.4,-18863.1,-14475.0,227168.0,,-88911.5,61660.0,158267.6,-85877.2,,-36362.8,-86262.0,70884.5,137950.8,-156682.0,-95931.4,-67791.0,41086.3,-16923.0,-22772.6,-99070.2,-85452.7,96588.0,,-83079.8,60158.2,,3688.9,22203.9,,36056.0,22234.9,-372124.6,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,True,,False,True,False
Utah,68810,83028.0,61966.4,78684.5,79990.0,90694.0,,84187.7,121506.0,67387.6,64274.1,,80355.7,82839.0,129605.4,50494.5,72140.0,51850.7,71144.0,81385.0,66023.0,81536.5,92658.7,89510.6,92127.0,,122687.3,67733.1,,75924.7,138084.8,,79713.0,67810.8,10841.1,14218.0,-6843.6,9874.5,11180.0,21884.0,,15377.7,52696.0,-1422.4,-4535.9,,11545.7,14029.0,60795.4,-18315.5,3330.0,-16959.3,2334.0,12575.0,-2787.0,12726.5,23848.7,20700.6,23317.0,,53877.3,-1076.9,,7114.7,69274.8,,10903.0,-999.2,-57968.9,True,True,True,False,,False,False,True,True,,True,True,False,False,True,False,True,True,True,True,False,False,False,,False,True,,True,False,,True,True,False
Vermont,2795,3444.0,6427.5,3539.6,4471.0,7182.0,,2815.2,14845.0,2473.9,9776.1,,4539.1,3449.0,4927.1,4894.8,5037.0,2677.2,3302.0,8830.0,3127.5,3979.4,4206.6,4356.4,6747.0,,4683.0,7278.9,,6875.3,4525.7,,4500.0,4080.5,779.4,649.0,3632.5,744.6,1676.0,4387.0,,20.2,12050.0,-321.1,6981.1,,1744.1,654.0,2132.1,2099.8,2242.0,-117.8,507.0,6035.0,332.5,1184.4,1411.6,1561.4,3952.0,,1888.0,4483.9,,4080.3,1730.7,,1705.0,1285.5,-2015.6,False,False,False,False,,True,False,True,False,,False,False,False,False,False,True,True,False,True,False,False,False,False,,False,False,,False,False,,False,False,False
Virginia,107582,70224.0,70107.1,71889.9,82968.0,70909.0,,82734.6,77637.0,109410.3,99251.8,,120691.1,70652.0,112290.7,93448.8,73999.0,77424.7,81416.5,118366.1,104438.5,114752.2,94124.6,97412.4,100625.0,,72444.2,62312.8,,74111.0,109700.8,,84884.0,82659.4,25306.3,-37358.0,-37474.9,-35692.1,-24614.0,-36673.0,,-24847.4,-29945.0,1828.3,-8330.2,,13109.1,-36930.0,4708.7,-14133.2,-33583.0,-30157.3,-26165.5,10784.1,-3143.5,7170.2,-13457.4,-10169.6,-6957.0,,-35137.8,-45269.2,,-33471.0,2118.8,,-22698.0,-24922.6,-82275.7,False,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,,True,True,False
Washington,63671,60636.0,165223.2,58666.5,67175.0,49762.0,,72274.0,192466.0,70886.9,30953.2,,54103.2,51519.0,99828.3,90157.0,84301.0,77380.4,108585.5,72920.0,32008.5,63159.4,80529.9,81815.8,72792.0,,18889.6,134984.8,,104055.2,149071.3,,44234.0,74083.7,,-3035.0,101552.2,-5004.5,3504.0,-13909.0,,8603.0,128795.0,7215.9,-32717.8,,-9567.8,-12152.0,36157.3,26486.0,20630.0,13709.4,44914.5,9249.0,-31662.5,-511.6,16858.9,18144.8,9121.0,,-44781.4,71313.8,,40384.2,85400.3,,-19437.0,10412.7,,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,,False,False,
West Virginia,35755,30908.0,30529.0,31811.8,34282.0,28648.0,,29322.6,55701.0,26292.0,25766.5,,47992.0,29493.0,41217.9,36223.1,34512.0,17266.8,34195.5,60024.6,32911.0,38457.6,34025.5,35156.9,38999.0,,31071.0,24076.7,,42187.9,49829.4,,39416.0,35417.9,7062.3,-4847.0,-5226.0,-3943.2,-1473.0,-7107.0,,-6432.4,19946.0,-9463.0,-9988.5,,12237.0,-6262.0,5462.9,468.1,-1243.0,-18488.2,-1559.5,24269.6,-2844.0,2702.6,-1729.5,-598.1,3244.0,,-4684.0,-11678.3,,6432.9,14074.4,,3661.0,-337.1,-28692.7,False,True,True,False,,False,False,False,False,,False,False,False,True,True,False,True,False,True,True,True,True,True,,True,False,,False,False,,True,True,False
Wisconsin,85734,131676.0,152840.6,133567.6,112824.0,97446.0,,128406.3,80691.0,131205.5,60634.0,,85622.6,106919.0,131137.1,60627.2,107830.0,68222.2,102919.0,88805.9,84272.5,119353.3,113316.4,103518.2,161775.0,,116292.6,61451.2,,118831.4,270694.2,125257.2,86474.0,150325.6,15108.1,45942.0,67106.6,47833.6,27090.0,11712.0,,42672.3,-5043.0,45471.5,-25100.0,,-111.4,21185.0,45403.1,-25106.8,22096.0,-17511.8,17185.0,3071.9,-1461.5,33619.3,27582.4,17784.2,76041.0,,30558.6,-24282.8,,33097.4,184960.2,39523.2,740.0,64591.6,-70625.9,False,False,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,,True,False,True,True,False,False
Wyoming,8632,15752.0,18988.8,15883.8,14183.0,12403.0,,15739.9,20985.0,10044.7,7666.6,,9899.5,15819.0,16709.4,9981.8,19654.0,5633.5,13976.5,6985.8,9051.5,12158.9,19919.8,18130.0,17126.0,,3654.4,25027.7,,14703.1,37765.1,,10067.0,18174.4,2607.3,7120.0,10356.8,7251.8,5551.0,3771.0,,7107.9,12353.0,1412.7,-965.4,,1267.5,7187.0,8077.4,1349.8,11022.0,-2998.5,5344.5,-1646.2,419.5,3526.9,11287.8,9498.0,8494.0,,-4977.6,16395.7,,6071.1,29133.1,,1435.0,9542.4,-6024.7,False,False,True,True,,True,False,True,True,,True,False,False,True,False,True,True,True,True,True,False,False,False,,True,False,,True,False,,True,False,True
US,5800051,5346544.0,6606944.8,5363363.7,6119623.0,6131379.0,7678117.0,6223223.7,7471041.0,8071369.2,,5843311.0,6734681.5,5292272.0,6819291.7,6033727.7,5131866.0,4273055.6,,7310844.4,5801107.5,5601621.5,5598510.4,5707544.4,8551136.0,5526389.0,7522671.5,4447737.0,5872402.0,5930535.8,,6422369.9,5935360.0,6441303.7,,-453507.0,806893.8,-436687.3,319572.0,331328.0,1878066.0,423172.7,1670990.0,2271318.2,,43260.0,934630.5,-507779.0,1019240.7,233676.7,-668185.0,-1526995.4,,1510793.4,1056.5,-198429.5,-201540.6,-92506.6,2751085.0,-273662.0,1722620.5,-1352314.0,72351.0,130484.8,,622318.9,135309.0,641252.7,,False,True,True,True,False,True,False,False,,True,False,False,False,True,False,False,,False,True,True,True,True,False,True,False,False,True,True,,False,True,False,
