,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
17015,79,94.0,,88.9,,95.0,60.0,,,,,94.0,86.8,,,112.0,,23.8,65.4,,,57.0,97.0,,105.0,100.0,108.8,,,,,,124.1,,,,132.4,15.0,,9.9,,16.0,-19.0,,,,,15.0,7.8,,,33.0,,-55.2,-13.6,,,-22.0,18.0,,26.0,21.0,29.8,,,,,,45.1,,,,53.4,,True,,False,False,,,,,True,True,,,False,,False,True,,,False,False,,False,False,False,,,,,,False,,,,False
17017,179,234.0,,231.8,,178.0,79.0,,,,,159.1,162.0,,,116.0,,240.0,149.3,,,154.0,205.0,,195.0,189.0,163.4,,,,,,205.9,,,,312.5,55.0,,52.8,,-1.0,-100.0,,,,,-19.9,-17.0,,,-63.0,,61.0,-29.7,,,-25.0,26.0,,16.0,10.0,-15.6,,,,,,26.9,,,,133.5,,True,,True,False,,,,,True,True,,,False,,False,True,,,True,True,,True,True,True,,,,,,True,,,,False
17019,1118,1108.0,,1081.1,,1067.0,752.0,,,,,1100.2,1301.8,,,1964.0,,509.7,1038.3,1236.5,,854.0,1079.0,,1182.0,1074.0,1322.9,,,,,1045.9,998.9,674.0,,,1654.1,-10.0,,-36.9,,-51.0,-366.0,,,,,-17.8,183.8,,,846.0,,-608.3,-79.7,118.5,,-264.0,-39.0,,64.0,-44.0,204.9,,,,,-72.1,-119.1,-444.0,,,536.1,,False,,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,False,False,False,,,,,False,False,False,,,False
17021,245,354.0,,375.9,,325.0,349.0,,,,,227.9,295.0,,,422.0,,691.2,195.6,340.0,,214.0,304.9,,404.0,315.0,335.5,,,,,244.3,310.7,,,,576.2,109.0,,130.9,,80.0,104.0,,,,,-17.1,50.0,,,177.0,,446.2,-49.4,95.0,,-31.0,59.9,,159.0,70.0,90.5,,,,,-0.7,65.7,,,,331.2,,False,,True,True,,,,,True,True,,,False,,False,True,True,,True,True,,False,True,True,,,,,True,True,,,,False
17023,166,204.0,,201.7,,174.0,157.0,,,,,125.2,149.8,,,241.0,,389.6,111.6,,,169.0,161.8,,259.0,169.0,205.8,,,,,,211.0,,,,213.1,38.0,,35.7,,8.0,-9.0,,,,,-40.8,-16.2,,,75.0,,223.6,-54.4,,,3.0,-4.2,,93.0,3.0,39.8,,,,,,45.0,,,,47.1,,True,,True,True,,,,,False,True,,,False,,False,False,,,True,True,,False,True,False,,,,,,False,,,,False
17025,88,126.0,,131.1,,111.0,120.0,,,,,111.8,79.3,,,176.0,,53.9,87.0,,,61.0,101.9,,104.0,108.0,144.3,,,,,,139.1,,,,147.1,38.0,,43.1,,23.0,32.0,,,,,23.8,-8.7,,,88.0,,-34.1,-1.0,,,-27.0,13.9,,16.0,20.0,56.3,,,,,,51.1,,,,59.1,,False,,True,True,,,,,True,True,,,False,,True,True,,,True,True,,True,True,False,,,,,,False,,,,False
17027,398,510.0,,508.6,,384.0,222.0,,,,,405.3,164.5,,,428.0,,328.2,368.6,396.0,,308.0,397.8,,460.0,466.0,398.7,,,,,364.5,437.6,,,,609.6,112.0,,110.6,,-14.0,-176.0,,,,,7.3,-233.5,,,30.0,,-69.8,-29.4,-2.0,,-90.0,-0.2,,62.0,68.0,0.7,,,,,-33.5,39.6,,,,211.6,,True,,True,False,,,,,True,False,,,True,,True,True,True,,True,True,,True,True,True,,,,,True,True,,,,False
17029,383,440.0,,448.9,,427.0,340.0,,,,,420.2,321.0,,,777.0,,473.8,254.3,384.0,,333.0,457.0,,495.0,428.0,485.9,,,,,331.2,465.4,,,,729.2,57.0,,65.9,,44.0,-43.0,,,,,37.2,-62.0,,,394.0,,90.8,-128.7,1.0,,-50.0,74.0,,112.0,45.0,102.9,,,,,-51.8,82.4,,,,346.2,,False,,True,True,,,,,True,False,,,False,,False,False,True,,True,False,,False,True,False,,,,,True,False,,,,False
17031,29118,38726.0,,38924.6,39001.9,33852.0,33213.0,,,,,28976.7,93333.2,,33029.4,43772.0,,30799.2,30535.2,44321.5,,28437.5,33852.3,,40358.0,35106.0,41812.0,,,,,27661.3,36916.8,27628.0,,,20727.6,9608.0,,9806.6,9883.9,4734.0,4095.0,,,,,-141.3,64215.2,,3911.4,14654.0,,1681.2,1417.2,15203.5,,-680.5,4734.3,,11240.0,5988.0,12694.0,,,,,-1456.7,7798.8,-1490.0,,,-8390.4,,False,False,True,True,,,,,True,False,,True,False,,True,True,False,,True,True,,False,True,False,,,,,True,True,True,,,True
17033,139,212.0,,219.6,,206.0,53.0,,,,,164.0,168.0,,,288.0,,227.2,156.6,,,209.0,184.9,,191.0,192.0,267.9,,,,,,210.8,,,,344.2,73.0,,80.6,,67.0,-86.0,,,,,25.0,29.0,,,149.0,,88.2,17.6,,,70.0,45.9,,52.0,53.0,128.9,,,,,,71.8,,,,205.2,,False,,True,False,,,,,True,True,,,False,,False,True,,,True,True,,True,True,False,,,,,,True,,,,False
17035,87,162.0,,150.0,,119.0,116.0,,,,,111.1,90.8,,,153.0,,77.3,83.7,,,92.0,123.9,,126.0,132.0,111.9,,,,,,154.0,,,,153.5,75.0,,63.0,,32.0,29.0,,,,,24.1,3.8,,,66.0,,-9.7,-3.3,,,5.0,36.9,,39.0,45.0,24.9,,,,,,67.0,,,,66.5,,True,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,True,,,,,,True,,,,True
17037,551,716.0,,685.5,,631.0,671.0,,,,,435.6,526.0,,,733.0,,343.7,558.7,694.0,,493.0,609.5,,713.0,664.0,759.1,,,,,518.5,793.5,,,,674.8,165.0,,134.5,,80.0,120.0,,,,,-115.4,-25.0,,,182.0,,-207.3,7.7,143.0,,-58.0,58.5,,162.0,113.0,208.1,,,,,-32.5,242.5,,,,123.8,,True,,True,True,,,,,True,True,,,False,,False,True,True,,True,True,,True,True,False,,,,,True,False,,,,True
17039,115,122.0,,128.0,,112.0,90.0,,,,,84.6,149.9,,,186.0,,88.2,78.5,,,113.0,138.1,,140.0,107.0,115.6,,,,,,161.4,,,,152.3,7.0,,13.0,,-3.0,-25.0,,,,,-30.4,34.9,,,71.0,,-26.8,-36.5,,,-2.0,23.1,,25.0,-8.0,0.6,,,,,,46.4,,,,37.3,,False,,True,False,,,,,False,False,,,False,,False,False,,,True,False,,False,False,True,,,,,,False,,,,False
17041,190,198.0,,189.7,,168.0,105.0,,,,,164.4,101.3,,,287.0,,82.8,115.7,,,141.0,164.4,,191.0,174.0,218.0,,,,,,172.7,,,,182.3,8.0,,-0.3,,-22.0,-85.0,,,,,-25.6,-88.7,,,97.0,,-107.2,-74.3,,,-49.0,-25.6,,1.0,-16.0,28.0,,,,,,-17.3,,,,-7.7,,True,,False,False,,,,,False,False,,,False,,False,False,,,False,False,,True,False,False,,,,,,False,,,,True
17043,5255,6682.0,,6176.9,6632.6,5792.0,5586.0,,,,,4746.3,5189.2,,5190.6,7269.0,,3395.7,5110.9,7376.0,,5049.0,5870.8,,7148.0,6271.0,6618.9,,,,,5433.2,6835.4,4234.0,,,10572.2,1427.0,,921.9,1377.6,537.0,331.0,,,,,-508.7,-65.8,,-64.4,2014.0,,-1859.3,-144.1,2121.0,,-206.0,615.8,,1893.0,1016.0,1363.9,,,,,178.2,1580.4,-1021.0,,,5317.2,,True,True,True,True,,,,,True,True,,True,False,,False,True,False,,True,True,,False,True,True,,,,,True,False,True,,,False
17045,110,312.0,,315.1,,255.0,289.0,,,,,185.1,194.7,,,279.0,,288.7,139.0,,,259.0,242.4,,268.0,234.0,162.7,,,,,,260.1,,,,253.1,202.0,,205.1,,145.0,179.0,,,,,75.1,84.7,,,169.0,,178.7,29.0,,,149.0,132.4,,158.0,124.0,52.7,,,,,,150.1,,,,143.1,,False,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,True,,,,,,True,,,,True
17047,63,80.0,,79.0,,65.0,70.0,,,,,49.9,36.4,,,73.0,,126.7,57.7,,,54.0,60.1,,68.0,67.0,56.3,,,,,,88.7,,,,85.0,17.0,,16.0,,2.0,7.0,,,,,-13.1,-26.6,,,10.0,,63.7,-5.3,,,-9.0,-2.9,,5.0,4.0,-6.7,,,,,,25.7,,,,22.0,,True,,True,True,,,,,True,False,,,True,,False,True,,,True,True,,True,True,True,,,,,,False,,,,False
17049,336,462.0,,447.8,,348.0,258.0,,,,,375.0,243.6,,,497.0,,239.1,279.0,425.0,,236.0,312.1,,445.0,418.0,344.1,,,,,,483.0,,,,528.7,126.0,,111.8,,12.0,-78.0,,,,,39.0,-92.4,,,161.0,,-96.9,-57.0,89.0,,-100.0,-23.9,,109.0,82.0,8.1,,,,,,147.0,,,,192.7,,True,,True,True,,,,,True,True,,,False,,True,True,True,,True,True,,True,True,True,,,,,,False,,,,False
17051,184,478.0,,496.4,,271.0,53.0,,,,,261.9,137.6,,,315.0,,421.2,292.5,,,122.0,271.5,,469.0,369.0,237.3,,,,,389.3,367.2,,,,573.6,294.0,,312.4,,87.0,-131.0,,,,,77.9,-46.4,,,131.0,,237.2,108.5,,,-62.0,87.5,,285.0,185.0,53.3,,,,,205.3,183.2,,,,389.6,,False,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,True,True,True,,,,,True,True,,,,False
17053,146,244.0,,232.0,,186.0,164.0,,,,,143.7,253.5,,,162.0,,212.3,121.0,,,223.0,199.4,,,181.0,139.0,,,,,,222.1,,,,284.9,98.0,,86.0,,40.0,18.0,,,,,-2.3,107.5,,,16.0,,66.3,-25.0,,,77.0,53.4,,,35.0,-7.0,,,,,,76.1,,,,138.9,,True,,True,True,,,,,True,False,,,True,,True,True,,,True,True,,,True,True,,,,,,True,,,,False
17055,523,662.0,,660.2,,537.0,383.0,,,,,450.8,499.5,,,483.0,,644.2,349.8,547.0,,644.0,546.9,,719.0,482.0,428.0,,,,,,574.6,,,,710.6,139.0,,137.2,,14.0,-140.0,,,,,-72.2,-23.5,,,-40.0,,121.2,-173.2,24.0,,121.0,23.9,,196.0,-41.0,-95.0,,,,,,51.6,,,,187.6,,True,,True,False,,,,,True,True,,,True,,True,False,True,,True,True,,False,True,True,,,,,,True,,,,False
17057,326,366.0,,364.8,,315.0,250.0,,,,,226.6,240.6,,,333.0,,174.0,213.7,357.5,,314.0,315.6,,408.0,324.0,279.4,,,,,,323.1,,,,390.3,40.0,,38.8,,-11.0,-76.0,,,,,-99.4,-85.4,,,7.0,,-152.0,-112.3,31.5,,-12.0,-10.4,,82.0,-2.0,-46.6,,,,,,-2.9,,,,64.3,,True,,True,False,,,,,False,False,,,True,,False,False,True,,True,True,,False,True,False,,,,,,True,,,,False
17059,56,76.0,,70.9,,54.0,39.0,,,,,46.7,86.8,,,62.0,,33.3,47.6,,,83.0,60.7,,85.0,51.0,39.5,,,,,,77.2,,,,74.5,20.0,,14.9,,-2.0,-17.0,,,,,-9.3,30.8,,,6.0,,-22.7,-8.4,,,27.0,4.7,,29.0,-5.0,-16.5,,,,,,21.2,,,,18.5,,True,,True,True,,,,,True,False,,,True,,False,True,,,False,True,,False,True,True,,,,,,False,,,,True
17061,75,132.0,,133.4,,118.0,112.0,,,,,94.2,35.3,,,169.0,,65.3,76.8,,,75.0,125.3,,104.0,113.0,141.8,,,,,,139.8,,,,180.3,57.0,,58.4,,43.0,37.0,,,,,19.2,-39.7,,,94.0,,-9.7,1.8,,,0.0,50.3,,29.0,38.0,66.8,,,,,,64.8,,,,105.3,,False,,True,True,,,,,True,True,,,False,,True,True,,,True,True,,True,True,False,,,,,,False,,,,False
17063,347,410.0,,416.5,,364.0,269.0,,,,,309.2,405.3,,,510.0,,184.0,306.0,505.0,,289.0,362.5,,448.0,398.0,396.3,,,,,329.0,466.5,,,,551.2,63.0,,69.5,,17.0,-78.0,,,,,-37.8,58.3,,,163.0,,-163.0,-41.0,158.0,,-58.0,15.5,,101.0,51.0,49.3,,,,,-18.0,119.5,,,,204.2,,False,,True,False,,,,,True,True,,,False,,False,True,False,,True,True,,False,True,True,,,,,True,False,,,,False
17065,78,128.0,,133.8,,78.0,40.0,,,,,63.2,69.1,,,115.0,,77.7,56.3,,,69.0,81.6,,134.0,88.0,74.4,,,,,,137.7,,,,147.4,50.0,,55.8,,0.0,-38.0,,,,,-14.8,-8.9,,,37.0,,-0.3,-21.7,,,-9.0,3.6,,56.0,10.0,-3.6,,,,,,59.7,,,,69.4,,False,,True,True,,,,,True,True,,,True,,True,True,,,True,True,,False,True,True,,,,,,False,,,,False
17067,139,116.0,,131.0,,113.0,51.0,,,,,110.9,124.9,,,158.0,,78.9,82.4,,,86.0,110.4,,112.0,119.0,119.1,,,,,,134.0,,,,182.3,-23.0,,-8.0,,-26.0,-88.0,,,,,-28.1,-14.1,,,19.0,,-60.1,-56.6,,,-53.0,-28.6,,-27.0,-20.0,-19.9,,,,,,-5.0,,,,43.3,,True,,False,False,,,,,False,True,,,True,,False,False,,,False,False,,False,True,True,,,,,,True,,,,False
17069,24,40.0,,39.0,,25.0,14.0,,,,,23.3,59.7,,,51.0,,21.4,24.4,,,21.0,26.7,,49.0,29.0,21.1,,,,,,46.4,,,,27.3,16.0,,15.0,,1.0,-10.0,,,,,-0.7,35.7,,,27.0,,-2.6,0.4,,,-3.0,2.7,,25.0,5.0,-2.9,,,,,,22.4,,,,3.3,,True,,True,True,,,,,True,False,,,False,,True,True,,,True,True,,False,True,True,,,,,,False,,,,True
17071,35,26.0,,28.8,,29.0,38.0,,,,,31.8,9.2,,,60.0,,14.1,31.6,,,15.0,26.0,,41.0,31.0,42.0,,,,,,54.1,,,,47.4,-9.0,,-6.2,,-6.0,3.0,,,,,-3.2,-25.8,,,25.0,,-20.9,-3.4,,,-20.0,-9.0,,6.0,-4.0,7.0,,,,,,19.1,,,,12.4,,True,,True,True,,,,,True,False,,,False,,False,True,,,False,False,,True,True,True,,,,,,False,,,,False
17073,298,332.0,,361.2,,321.0,214.0,,,,,307.5,253.5,,,405.0,,242.0,285.0,428.5,,217.0,310.4,,363.0,368.0,383.2,,,,,330.7,305.8,,,,611.8,34.0,,63.2,,23.0,-84.0,,,,,9.5,-44.5,,,107.0,,-56.0,-13.0,130.5,,-81.0,12.4,,65.0,70.0,85.2,,,,,32.7,7.8,,,,313.8,,False,,True,False,,,,,True,False,,,False,,False,True,False,,False,True,,False,False,False,,,,,True,True,,,,False
17075,177,258.0,,265.4,,228.0,164.0,,,,,182.6,276.3,,,326.0,,124.2,144.6,,,149.0,236.8,,281.0,244.0,280.7,,,,,238.6,240.0,,,,353.6,81.0,,88.4,,51.0,-13.0,,,,,5.6,99.3,,,149.0,,-52.8,-32.4,,,-28.0,59.8,,104.0,67.0,103.7,,,,,61.6,63.0,,,,176.6,,False,,True,True,,,,,True,False,,,False,,True,True,,,True,True,,False,True,False,,,,,True,True,,,,False
17077,298,440.0,,421.9,,413.0,441.0,,,,,342.7,462.3,,,458.0,,300.6,328.0,462.5,,315.0,397.9,,493.0,413.0,444.6,,,,,416.3,357.9,,,,574.3,142.0,,123.9,,115.0,143.0,,,,,44.7,164.3,,,160.0,,2.6,30.0,164.5,,17.0,99.9,,195.0,115.0,146.6,,,,,118.3,59.9,,,,276.3,,True,,True,False,,,,,True,False,,,False,,True,True,False,,True,True,,False,True,False,,,,,True,True,,,,False
17079,75,86.0,,85.9,,81.0,195.0,,,,,91.9,33.1,,,134.0,,67.8,57.9,,,45.0,72.3,,104.0,80.0,88.8,,,,,,138.7,,,,79.3,11.0,,10.9,,6.0,120.0,,,,,16.9,-41.9,,,59.0,,-7.2,-17.1,,,-30.0,-2.7,,29.0,5.0,13.8,,,,,,63.7,,,,4.3,,True,,True,False,,,,,False,False,,,False,,True,False,,,False,True,,False,True,False,,,,,,False,,,,True
17081,387,484.0,,482.1,,447.0,343.0,,,,,375.9,349.7,,,495.0,,309.8,328.2,463.0,,556.0,489.4,,480.0,405.0,489.5,,,,,305.8,365.1,,,,745.8,97.0,,95.1,,60.0,-44.0,,,,,-11.1,-37.3,,,108.0,,-77.2,-58.8,76.0,,169.0,102.4,,93.0,18.0,102.5,,,,,-81.2,-21.9,,,,358.8,,True,,True,True,,,,,True,True,,,False,,True,True,True,,False,False,,True,True,False,,,,,True,True,,,,False
17083,243,282.0,,272.9,,231.0,256.0,,,,,212.5,130.2,,,227.0,,141.2,162.2,,,206.0,234.8,,313.0,256.0,188.9,,,,,,248.7,,,,492.2,39.0,,29.9,,-12.0,13.0,,,,,-30.5,-112.8,,,-16.0,,-101.8,-80.8,,,-37.0,-8.2,,70.0,13.0,-54.1,,,,,,5.7,,,,249.2,,True,,True,True,,,,,True,False,,,True,,False,False,,,True,True,,False,True,False,,,,,,True,,,,False
17085,65,176.0,,179.0,,142.0,131.0,,,,,119.5,202.4,,,143.0,,66.2,100.0,,,111.0,168.8,,196.0,160.0,152.1,,,,,,192.9,,,,194.2,111.0,,114.0,,77.0,66.0,,,,,54.5,137.4,,,78.0,,1.2,35.0,,,46.0,103.8,,131.0,95.0,87.1,,,,,,127.9,,,,129.2,,False,,True,True,,,,,True,False,,,True,,True,True,,,True,True,,False,True,True,,,,,,False,,,,False
17087,102,94.0,,79.7,,92.0,28.0,,,,,93.8,103.1,,,152.0,,58.4,66.6,,,61.0,90.9,,119.0,101.0,110.9,,,,,,92.3,,,,128.0,-8.0,,-22.3,,-10.0,-74.0,,,,,-8.2,1.1,,,50.0,,-43.6,-35.4,,,-41.0,-11.1,,17.0,-1.0,8.9,,,,,,-9.7,,,,26.0,,False,,False,False,,,,,False,True,,,False,,False,False,,,False,False,,False,True,False,,,,,,False,,,,False
17089,3264,4392.0,,4592.4,3964.9,3882.0,3836.0,,,,,3120.8,2862.7,,3818.9,4590.0,,2454.1,3300.4,4817.0,,3754.0,4062.0,,4302.0,3962.0,4205.3,,,,,2974.4,4452.4,3345.0,,,2545.0,1128.0,,1328.4,700.9,618.0,572.0,,,,,-143.2,-401.3,,554.9,1326.0,,-809.9,36.4,1553.0,,490.0,798.0,,1038.0,698.0,941.3,,,,,-289.6,1188.4,81.0,,,-719.0,,False,True,True,True,,,,,True,True,,True,False,,True,True,False,,True,True,,True,True,True,,,,,True,False,True,,,True
17091,572,834.0,,833.2,,671.0,500.0,,,,,646.0,617.5,,,1235.0,,310.5,603.0,891.0,,362.0,624.1,,790.0,797.0,849.0,,,,,849.1,923.0,,,,708.8,262.0,,261.2,,99.0,-72.0,,,,,74.0,45.5,,,663.0,,-261.5,31.0,319.0,,-210.0,52.1,,218.0,225.0,277.0,,,,,277.1,351.0,,,,136.8,,True,,True,True,,,,,True,True,,,False,,True,True,False,,True,True,,True,True,False,,,,,False,False,,,,True
17093,768,1016.0,,980.1,,865.0,835.0,,,,,638.8,740.6,,,994.0,,447.3,761.7,992.0,,640.0,872.5,,980.0,906.0,1012.9,,,,,683.1,964.8,573.0,,,1080.5,248.0,,212.1,,97.0,67.0,,,,,-129.2,-27.4,,,226.0,,-320.7,-6.3,224.0,,-128.0,104.5,,212.0,138.0,244.9,,,,,-84.9,196.8,-195.0,,,312.5,,True,,True,True,,,,,True,True,,,True,,False,True,True,,True,True,,True,True,True,,,,,True,True,True,,,False
17095,430,556.0,,561.2,,480.0,436.0,,,,,402.0,413.8,,,475.0,,376.3,356.9,547.5,,417.0,498.4,,522.0,489.0,540.2,,,,,610.7,482.1,,,,655.1,126.0,,131.2,,50.0,6.0,,,,,-28.0,-16.2,,,45.0,,-53.7,-73.1,117.5,,-13.0,68.4,,92.0,59.0,110.2,,,,,180.7,52.1,,,,225.1,,False,,True,True,,,,,True,True,,,True,,True,True,True,,True,True,,True,True,True,,,,,False,True,,,,False
17097,3641,4882.0,,4769.3,5089.9,4170.0,3872.0,,,,,3789.4,3439.3,,3865.9,6012.0,,2283.5,3605.8,4853.0,,3444.5,4249.5,,4859.0,4678.0,5159.4,,,,,3305.5,4851.5,3217.0,,,3897.0,1241.0,,1128.3,1448.9,529.0,231.0,,,,,148.4,-201.7,,224.9,2371.0,,-1357.5,-35.2,1212.0,,-196.5,608.5,,1218.0,1037.0,1518.4,,,,,-335.5,1210.5,-424.0,,,256.0,,True,False,True,True,,,,,True,True,,True,False,,False,True,True,,True,True,,True,True,False,,,,,True,True,True,,,True
17099,709,796.0,,739.3,,750.0,564.0,,,,,599.7,429.3,,,961.0,,617.1,549.4,857.0,,614.0,710.5,,828.0,791.0,984.6,,,,,775.5,929.8,,,,884.6,87.0,,30.3,,41.0,-145.0,,,,,-109.3,-279.7,,,252.0,,-91.9,-159.6,148.0,,-95.0,1.5,,119.0,82.0,275.6,,,,,66.5,220.8,,,,175.6,,True,,True,False,,,,,False,False,,,False,,False,False,False,,False,True,,False,True,False,,,,,True,False,,,,False
17101,347,458.0,,451.0,,272.0,266.0,,,,,274.4,623.4,,,257.0,,161.6,210.7,,,372.0,469.2,,499.0,269.0,173.3,,,,,,344.5,,,,409.1,111.0,,104.0,,-75.0,-81.0,,,,,-72.6,276.4,,,-90.0,,-185.4,-136.3,,,25.0,122.2,,152.0,-78.0,-173.7,,,,,,-2.5,,,,62.1,,True,,True,True,,,,,True,False,,,True,,False,False,,,True,False,,False,True,False,,,,,,True,,,,True
17103,219,386.0,,355.1,,266.0,229.0,,,,,227.7,396.7,,,300.0,,206.7,199.3,326.5,,155.0,252.1,,328.0,351.0,337.0,,,,,341.8,351.4,,,,321.3,167.0,,136.1,,47.0,10.0,,,,,8.7,177.7,,,81.0,,-12.3,-19.7,107.5,,-64.0,33.1,,109.0,132.0,118.0,,,,,122.8,132.4,,,,102.3,,True,,True,True,,,,,True,False,,,True,,True,True,True,,True,True,,True,True,True,,,,,True,True,,,,True
17105,292,302.0,,283.4,,289.0,224.0,,,,,240.1,205.3,,,381.0,,240.8,219.7,302.0,,205.0,301.5,,315.0,291.0,351.5,,,,,240.4,298.6,,,,268.3,10.0,,-8.6,,-3.0,-68.0,,,,,-51.9,-86.7,,,89.0,,-51.2,-72.3,10.0,,-87.0,9.5,,23.0,-1.0,59.5,,,,,-51.6,6.6,,,,-23.7,,True,,True,False,,,,,False,False,,,False,,False,False,False,,False,True,,False,True,False,,,,,False,True,,,,False
17107,233,320.0,,299.6,,278.0,224.0,,,,,235.6,146.5,,,291.0,,791.4,266.8,,,140.5,261.5,,463.0,306.0,266.3,,,,,,363.4,,,,564.6,87.0,,66.6,,45.0,-9.0,,,,,2.6,-86.5,,,58.0,,558.4,33.8,,,-92.5,28.5,,230.0,73.0,33.3,,,,,,130.4,,,,331.6,,True,,True,True,,,,,True,True,,,True,,False,True,,,False,True,,False,True,True,,,,,,False,,,,False
17109,123,224.0,,228.9,,204.0,108.0,,,,,181.7,294.0,,,215.0,,115.0,144.7,183.0,,207.0,228.0,,233.0,212.0,195.4,,,,,,221.4,,,,271.6,101.0,,105.9,,81.0,-15.0,,,,,58.7,171.0,,,92.0,,-8.0,21.7,60.0,,84.0,105.0,,110.0,89.0,72.4,,,,,,98.4,,,,148.6,,False,,True,True,,,,,True,False,,,True,,True,True,True,,True,False,,False,True,True,,,,,,True,,,,False
17111,1854,2360.0,,2318.7,,2038.0,2389.0,,,,,1500.7,1873.2,,2295.9,2125.0,,1443.2,1347.1,2091.0,,1916.0,2151.9,,2366.0,2083.0,1948.8,,,,,1716.2,2899.3,1800.0,,,2294.7,506.0,,464.7,,184.0,535.0,,,,,-353.3,19.2,,441.9,271.0,,-410.8,-506.9,237.0,,62.0,297.9,,512.0,229.0,94.8,,,,,-137.8,1045.3,-54.0,,,440.7,,True,,True,False,,,,,True,True,,True,True,,True,False,True,,True,True,,False,True,True,,,,,True,False,True,,,True
17113,1129,1318.0,,1240.7,,1170.0,1186.0,,,,,1008.3,1061.6,,,1527.0,,875.9,1056.0,1347.0,,1062.0,1232.1,,1548.0,1137.0,1412.4,,,,,1423.9,1302.1,1014.0,,,1298.8,189.0,,111.7,,41.0,57.0,,,,,-120.7,-67.4,,,398.0,,-253.1,-73.0,218.0,,-67.0,103.1,,419.0,8.0,283.4,,,,,294.9,173.1,-115.0,,,169.8,,True,,True,True,,,,,True,True,,,False,,False,True,False,,True,True,,False,True,False,,,,,False,True,True,,,True
17115,474,552.0,,572.1,,530.0,297.0,,,,,575.2,483.5,,,1139.0,,236.1,408.0,662.0,,306.0,528.6,,536.0,507.0,702.4,,,,,466.9,996.3,,,,320.1,78.0,,98.1,,56.0,-177.0,,,,,101.2,9.5,,,665.0,,-237.9,-66.0,188.0,,-168.0,54.6,,62.0,33.0,228.4,,,,,-7.1,522.3,,,,-153.9,,False,,True,False,,,,,False,True,,,False,,False,True,False,,False,True,,True,True,False,,,,,True,False,,,,False
