,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nebraska,12847,15454.0,9711.4,15285.2,12496.0,11171.0,,14226.6,7027.0,15660.2,10228.4,,9189.9,15978.0,16423.1,7867.9,12900.0,14157.3,12658.0,12710.6,9887.0,13035.4,15976.4,16272.0,14954.0,,9688.0,20888.8,,9834.8,25409.6,16205.9,17160.7,12033.0,16723.1,14063.6,2607.0,-3135.6,2438.2,-351.0,-1676.0,,1379.6,-5820.0,2813.2,-2618.6,,-3657.1,3131.0,3576.1,-4979.1,53.0,1310.3,-189.0,-136.4,-2960.0,188.4,3129.4,3425.0,2107.0,,-3159.0,8041.8,,-3012.2,12562.6,3358.9,4313.7,-814.0,3876.1,1216.6,False,True,True,True,,True,False,False,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,False,False,,False,False,False,False,True,False,True
Nevada,27013,35818.0,39441.5,36236.0,34733.0,29880.0,,36912.9,29880.0,38043.9,46424.1,,34021.6,36464.0,41645.4,31364.6,38637.0,22791.2,36953.5,37569.5,28358.0,30079.4,34264.2,41047.0,33889.0,,35159.0,37431.2,,37383.4,42261.8,33482.8,34723.0,34111.0,36862.9,,8805.0,12428.5,9223.0,7720.0,2867.0,,9899.9,2867.0,11030.9,19411.1,,7008.6,9451.0,14632.4,4351.6,11624.0,-4221.8,9940.5,10556.5,1345.0,3066.4,7251.2,14034.0,6876.0,,8146.0,10418.2,,10370.4,15248.8,6469.8,7710.0,7098.0,9849.9,,False,False,True,True,,False,True,False,False,,True,False,False,True,False,True,False,False,True,True,True,False,True,,True,False,,False,False,True,True,True,False,
New Hampshire,10252,10730.0,13917.4,10989.9,12312.0,8955.0,,12705.3,12275.0,8368.7,17457.5,,13124.3,12944.0,15258.2,14805.4,12054.0,10894.5,13135.5,20698.0,10097.5,11363.6,15190.7,13923.0,11215.0,,12336.1,21121.2,,12407.1,12397.0,7789.6,12096.1,10424.0,15630.5,24922.2,478.0,3665.4,737.9,2060.0,-1297.0,,2453.3,2023.0,-1883.3,7205.5,,2872.3,2692.0,5006.2,4553.4,1802.0,642.5,2883.5,10446.0,-154.5,1111.6,4938.7,3671.0,963.0,,2084.1,10869.2,,2155.1,2145.0,-2462.4,1844.1,172.0,5378.5,14670.2,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,True,False,False
New Jersey,70118,61842.0,64209.0,61677.1,62964.0,54795.0,,63081.8,55521.0,49933.3,85816.8,,63405.3,61793.0,70755.8,54783.7,63186.0,69860.5,71239.5,66901.2,56380.0,60696.4,70706.7,66939.0,65018.0,,63891.0,118226.4,,62597.7,79009.8,55222.0,73169.4,62820.0,79532.0,82487.6,-8276.0,-5909.0,-8440.9,-7154.0,-15323.0,,-7036.2,-14597.0,-20184.7,15698.8,,-6712.7,-8325.0,637.8,-15334.3,-6932.0,-257.5,1121.5,-3216.8,-13738.0,-9421.6,588.7,-3179.0,-5100.0,,-6227.0,48108.4,,-7520.3,8891.8,-14896.0,3051.4,-7298.0,9414.0,12369.6,True,False,True,False,,True,False,False,False,,True,False,True,False,True,True,True,True,False,False,True,True,True,,True,False,,True,False,False,True,True,False,False
New Mexico,16449,21144.0,22867.3,21277.4,17959.0,16694.0,,20621.5,13466.0,18524.6,22292.4,,17827.2,22173.0,21008.7,16121.1,19017.0,9643.7,22781.0,18199.5,12981.0,16121.1,20148.6,22579.0,16170.0,,17474.1,13485.8,,15155.8,23770.4,21046.8,21273.3,20179.0,28186.0,17676.5,4695.0,6418.3,4828.4,1510.0,245.0,,4172.5,-2983.0,2075.6,5843.4,,1378.2,5724.0,4559.7,-327.9,2568.0,-6805.3,6332.0,1750.5,-3468.0,-327.9,3699.6,6130.0,-279.0,,1025.1,-2963.2,,-1293.2,7321.4,4597.8,4824.3,3730.0,11737.0,1227.5,False,False,True,True,,True,True,True,False,,True,False,True,True,True,False,False,True,True,True,True,False,True,,True,True,,True,False,True,False,True,False,True
New York,163887,146612.0,183114.2,147980.1,165718.0,142432.0,,159774.3,170691.0,95900.5,155182.5,,167114.1,145170.0,183548.2,198930.9,150556.0,179437.2,158882.0,229469.2,143236.5,142916.2,155425.1,180710.0,174462.0,,162978.6,204556.6,,198523.5,165701.0,123250.4,194976.8,151837.0,163621.7,207042.4,-17275.0,19227.2,-15906.9,1831.0,-21455.0,,-4112.7,6804.0,-67986.5,-8704.5,,3227.1,-18717.0,19661.2,35043.9,-13331.0,15550.2,-5005.0,65582.2,-20650.5,-20970.8,-8461.9,16823.0,10575.0,,-908.4,40669.6,,34636.5,1814.0,-40636.6,31089.8,-12050.0,-265.3,43155.4,False,True,True,False,,True,True,False,True,,True,False,False,False,True,True,True,False,False,False,True,True,True,,True,False,,False,True,False,False,True,True,False
North Carolina,86169,84984.0,103399.2,86303.4,95990.0,83614.0,,92558.5,97183.0,75330.3,99197.5,,111439.0,92117.0,106614.4,96679.5,97702.0,58757.6,90926.0,112006.3,96094.5,90782.9,97899.4,103364.0,92217.0,,105329.4,63572.4,,89808.1,89847.2,72388.1,103369.2,94672.0,126779.3,138489.3,-1185.0,17230.2,134.4,9821.0,-2555.0,,6389.5,11014.0,-10838.7,13028.5,,25270.0,5948.0,20445.4,10510.5,11533.0,-27411.4,4757.0,25837.3,9925.5,4613.9,11730.4,17195.0,6048.0,,19160.4,-22596.6,,3639.1,3678.2,-13780.9,17200.2,8503.0,40610.3,52320.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
North Dakota,3107,4388.0,7107.4,4960.3,3696.0,2563.0,,5244.7,4269.0,4200.0,4888.1,,3230.8,7642.0,4558.0,2587.8,3410.0,5101.9,2963.0,4114.5,1619.5,3537.7,5429.5,5450.0,4126.0,,2467.0,4262.5,,2834.7,11395.5,4816.9,3219.1,3689.0,6342.9,5125.7,1281.0,4000.4,1853.3,589.0,-544.0,,2137.7,1162.0,1093.0,1781.1,,123.8,4535.0,1451.0,-519.2,303.0,1994.9,-144.0,1007.5,-1487.5,430.7,2322.5,2343.0,1019.0,,-640.0,1155.5,,-272.3,8288.5,1709.9,112.1,582.0,3235.9,2018.7,False,False,True,True,,False,True,True,False,,True,False,False,True,True,False,True,True,False,True,False,False,True,,True,True,,True,False,False,True,True,False,False
Ohio,100244,121936.0,128015.6,134011.6,124497.0,102499.0,,137741.6,142423.0,111865.8,187327.2,,134745.8,134848.0,148541.3,102096.9,123094.0,91099.1,146659.5,148124.5,114480.5,121289.1,156318.7,152990.0,101059.0,,123727.4,146060.2,,116505.2,187466.8,101502.7,126696.5,118309.0,166609.9,193373.9,21692.0,27771.6,33767.6,24253.0,2255.0,,37497.6,42179.0,11621.8,87083.2,,34501.8,34604.0,48297.3,1852.9,22850.0,-9144.9,46415.5,47880.5,14236.5,21045.1,56074.7,52746.0,815.0,,23483.4,45816.2,,16261.2,87222.8,1258.7,26452.5,18065.0,66365.9,93129.9,False,False,False,True,,False,False,True,False,,False,False,False,True,False,True,False,False,True,True,False,False,True,,False,False,,True,False,True,False,True,False,False
Oklahoma,40187,45064.0,43605.3,45877.2,44736.0,38862.0,,42947.9,34782.0,47294.9,51339.4,,56301.6,48646.0,48256.0,36568.9,44073.0,26776.0,45005.5,42918.2,43985.0,48904.5,51992.5,51251.0,46249.0,,47862.5,33722.0,,43410.5,48548.5,43277.5,49919.7,47456.0,54641.5,42108.6,4877.0,3418.3,5690.2,4549.0,-1325.0,,2760.9,-5405.0,7107.9,11152.4,,16114.6,8459.0,8069.0,-3618.1,3886.0,-13411.0,4818.5,2731.2,3798.0,8717.5,11805.5,11064.0,6062.0,,7675.5,-6465.0,,3223.5,8361.5,3090.5,9732.7,7269.0,14454.5,1921.6,True,False,True,True,,True,False,False,False,,False,False,False,True,True,False,True,True,True,False,False,False,False,,False,False,,True,False,True,False,False,False,True
Oregon,14534,17950.0,21028.0,17426.5,17917.0,16864.0,,18547.5,21530.0,17132.1,24735.1,,16484.8,18144.0,22046.6,12460.8,18331.0,20416.6,20804.0,18194.6,16269.0,16495.5,19700.2,22847.0,17046.0,,16799.0,26833.2,,16397.9,24285.6,18574.5,19155.7,17340.0,20987.2,19955.2,3416.0,6494.0,2892.5,3383.0,2330.0,,4013.5,6996.0,2598.1,10201.1,,1950.8,3610.0,7512.6,-2073.2,3797.0,5882.6,6270.0,3660.6,1735.0,1961.5,5166.2,8313.0,2512.0,,2265.0,12299.2,,1863.9,9751.6,4040.5,4621.7,2806.0,6453.2,5421.2,False,True,True,True,,False,False,True,False,,True,False,False,True,False,False,False,False,True,True,False,False,True,,True,False,,True,False,False,False,True,False,False
Pennsylvania,107685,135130.0,155013.0,135482.8,137464.0,116771.0,,148313.1,145224.0,114938.9,166584.9,,123722.7,143467.0,179675.8,170302.5,136750.0,108953.1,153244.5,172131.4,110537.0,113320.9,133251.8,157881.0,135808.0,,126966.9,176764.7,,107182.2,163632.0,99125.5,171457.0,129048.0,197710.2,226422.4,27445.0,47328.0,27797.8,29779.0,9086.0,,40628.1,37539.0,7253.9,58899.9,,16037.7,35782.0,71990.8,62617.5,29065.0,1268.1,45559.5,64446.4,2852.0,5635.9,25566.8,50196.0,28123.0,,19281.9,69079.7,,-502.8,55947.0,-8559.5,63772.0,21363.0,90025.2,118737.4,False,False,False,True,,False,False,True,False,,True,False,False,False,False,True,False,False,True,True,True,False,False,,True,False,,True,False,True,False,True,False,False
Rhode Island,10137,13988.0,16138.3,14064.3,13928.0,12589.0,,15522.2,12646.0,190631.0,19576.6,,12946.8,15919.0,18834.5,11650.5,13941.0,10895.8,14488.0,14404.1,11663.5,11204.8,17256.1,15235.0,12642.0,,19614.5,15934.4,,13480.9,20321.6,12792.7,17890.4,9173.0,18392.4,25860.6,3851.0,6001.3,3927.3,3791.0,2452.0,,5385.2,2509.0,180494.0,9439.6,,2809.8,5782.0,8697.5,1513.5,3804.0,758.8,4351.0,4267.1,1526.5,1067.8,7119.1,5098.0,2505.0,,9477.5,5797.4,,3343.9,10184.6,2655.7,7753.4,-964.0,8255.4,15723.6,False,False,True,True,,False,True,False,False,,True,False,False,True,True,True,False,False,True,True,False,False,True,,False,False,,True,False,True,False,True,False,False
South Carolina,42181,43478.0,46532.9,43675.5,47051.0,44872.0,,46597.5,27544.0,40701.8,57987.2,,56716.0,45636.0,53594.9,52131.0,47959.0,26967.5,43363.5,59544.0,49404.0,45290.8,48234.8,52422.0,47871.0,,52902.9,44616.6,,41542.5,43103.5,42012.0,47712.0,41561.0,60582.5,70114.3,1297.0,4351.9,1494.5,4870.0,2691.0,,4416.5,-14637.0,-1479.2,15806.2,,14535.0,3455.0,11413.9,9950.0,5778.0,-15213.5,1182.5,17363.0,7223.0,3109.8,6053.8,10241.0,5690.0,,10721.9,2435.6,,-638.5,922.5,-169.0,5531.0,-620.0,18401.5,27933.3,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,True,True,True,False,True,False,False
South Dakota,5493,7858.0,6010.8,7775.0,6716.0,5275.0,,7726.0,2819.0,6125.5,7160.2,,5214.9,9121.0,9118.9,4622.5,8103.0,5015.8,6936.5,6519.3,4328.0,6039.6,7518.6,8003.0,8124.0,,5542.5,1726.4,,11146.2,10359.7,8171.0,7750.1,7151.0,9395.1,7335.7,2365.0,517.8,2282.0,1223.0,-218.0,,2233.0,-2674.0,632.5,1667.2,,-278.1,3628.0,3625.9,-870.5,2610.0,-477.2,1443.5,1026.3,-1165.0,546.6,2025.6,2510.0,2631.0,,49.5,-3766.6,,5653.2,4866.7,2678.0,2257.1,1658.0,3902.1,1842.7,True,True,True,True,,True,False,True,True,,True,False,False,True,False,True,True,True,True,True,True,False,False,,True,False,,False,False,False,True,True,False,True
Tennessee,100481,121396.0,145545.3,120229.7,134285.0,102892.0,,134089.7,106371.0,119183.5,105646.2,,183170.9,131721.0,126929.4,237043.4,147282.0,53779.0,120270.5,120039.0,180612.5,149545.7,138698.3,133936.0,116765.0,,155592.7,90818.6,,123002.2,98976.3,86104.5,130755.0,148700.0,161937.4,194520.2,20915.0,45064.3,19748.7,33804.0,2411.0,,33608.7,5890.0,18702.5,5165.2,,82689.9,31240.0,26448.4,136562.4,46801.0,-46702.0,19789.5,19558.0,80131.5,49064.7,38217.3,33455.0,16284.0,,55111.7,-9662.4,,22521.2,-1504.7,-14376.5,30274.0,48219.0,61456.4,94039.2,False,True,False,True,,False,True,True,True,,False,False,False,False,False,False,True,True,False,False,False,False,True,,False,True,,False,True,True,False,False,False,False
Texas,216014,222708.0,227117.1,228931.8,224067.0,273366.0,,222256.3,204048.0,209780.4,306759.5,,386108.4,237213.0,270050.0,224206.5,213268.0,192727.9,345464.0,241207.4,205349.5,221773.2,210774.3,263401.0,248568.0,,230399.1,237443.2,,222904.6,225379.7,248712.4,207699.3,220338.0,305523.6,181354.2,6694.0,11103.1,12917.8,8053.0,57352.0,,6242.3,-11966.0,-6233.6,90745.5,,170094.4,21199.0,54036.0,8192.5,-2746.0,-23286.1,129450.0,25193.4,-10664.5,5759.2,-5239.7,47387.0,32554.0,,14385.1,21429.2,,6890.6,9365.7,32698.4,-8314.7,4324.0,89509.6,-34659.8,False,False,False,False,,True,False,True,False,,False,False,False,False,True,False,False,False,False,True,True,False,False,,False,False,,False,False,False,False,True,False,False
Utah,32684,34298.0,29259.4,33394.9,32573.0,19876.0,,38189.9,19719.0,26022.1,43581.3,,32322.5,38265.0,42074.0,20749.1,37689.0,20084.8,33767.0,32922.5,25713.0,30344.4,35989.0,36467.0,32131.0,,34714.1,33947.0,,30878.0,42654.7,21834.1,35022.5,34607.0,26423.4,38188.0,1614.0,-3424.6,710.9,-111.0,-12808.0,,5505.9,-12965.0,-6661.9,10897.3,,-361.5,5581.0,9390.0,-11934.9,5005.0,-12599.2,1083.0,238.5,-6971.0,-2339.6,3305.0,3783.0,-553.0,,2030.1,1263.0,,-1806.0,9970.7,-10849.9,2338.5,1923.0,-6260.6,5504.0,False,True,True,False,,False,False,False,False,,True,False,False,False,False,False,True,True,False,False,False,False,True,,False,True,,False,False,False,False,False,False,False
Vermont,1346,1434.0,1285.5,1258.2,1456.0,1343.0,,1404.3,1701.0,1129.1,2857.2,,1431.3,1605.0,1732.1,1458.2,1474.0,2595.1,1555.5,3584.8,1446.5,1358.6,1763.6,2046.0,1708.0,,,3752.7,,2466.6,1916.8,1700.9,1318.7,1341.0,1522.6,2282.3,88.0,-60.5,-87.8,110.0,-3.0,,58.3,355.0,-216.9,1511.2,,85.3,259.0,386.1,112.2,128.0,1249.1,209.5,2238.8,100.5,12.6,417.6,700.0,362.0,,,2406.7,,1120.6,570.8,354.9,-27.3,-5.0,176.6,936.3,True,True,False,True,,True,False,False,False,,True,False,False,False,False,False,False,False,False,True,False,False,False,,,False,,False,False,False,True,True,False,False
Virginia,55783,48714.0,67474.3,49306.2,55611.0,48537.0,,54511.0,57275.0,53242.8,62327.8,,53459.4,48989.0,65111.8,69489.3,48697.0,49220.4,55591.0,67653.2,55611.5,50322.3,61427.2,62709.0,58879.0,,58792.1,31507.3,,45556.5,55585.6,46885.9,59761.9,51967.0,65038.6,74736.9,-7069.0,11691.3,-6476.8,-172.0,-7246.0,,-1272.0,1492.0,-2540.2,6544.8,,-2323.6,-6794.0,9328.8,13706.3,-7086.0,-6562.6,-192.0,11870.2,-171.5,-5460.7,5644.2,6926.0,3096.0,,3009.1,-24275.7,,-10226.5,-197.4,-8897.1,3978.9,-3816.0,9255.6,18953.9,False,True,True,False,,True,True,True,True,,True,True,False,False,False,True,True,False,True,True,True,True,True,,True,False,,False,True,False,True,True,False,False
Washington,24152,27766.0,34693.5,26086.0,27043.0,20464.0,,26776.1,28378.0,24117.2,43251.3,,44677.3,35531.0,40769.0,21337.9,34529.0,28261.8,27599.5,33228.4,28916.5,21777.5,38202.4,37215.0,23880.0,,21119.8,56221.4,,27781.6,53801.6,28269.8,34206.4,22312.0,37456.4,,3614.0,10541.5,1934.0,2891.0,-3688.0,,2624.1,4226.0,-34.8,19099.3,,20525.3,11379.0,16617.0,-2814.1,10377.0,4109.8,3447.5,9076.4,4764.5,-2374.5,14050.4,13063.0,-272.0,,-3032.2,32069.4,,3629.6,29649.6,4117.8,10054.4,-1840.0,13304.4,,False,True,True,False,,True,False,True,False,,False,False,False,True,False,False,True,False,False,True,False,False,True,,True,False,,False,False,False,False,True,False,
West Virginia,18112,18128.0,21913.2,18370.7,18451.0,18262.0,,18345.1,13832.0,17320.9,23589.4,,19866.7,17719.0,21440.3,17599.4,18159.0,12495.4,19909.5,18670.0,18355.5,16909.3,20038.8,22665.0,18970.0,,19875.5,17744.8,,20137.6,19802.3,15365.5,21229.9,18846.0,22046.4,22917.0,16.0,3801.2,258.7,339.0,150.0,,233.1,-4280.0,-791.1,5477.4,,1754.7,-393.0,3328.3,-512.6,47.0,-5616.6,1797.5,558.0,243.5,-1202.7,1926.8,4553.0,858.0,,1763.5,-367.2,,2025.6,1690.3,-2746.5,3117.9,734.0,3934.4,4805.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Wisconsin,32973,49376.0,42405.0,49344.7,43719.0,43800.0,,45928.0,12400.0,35073.2,59780.3,,41268.5,47010.0,60401.3,30085.6,51555.0,33730.4,41035.0,39345.1,33339.0,44525.8,44887.4,51777.0,53176.0,,41339.9,28103.7,,44972.5,63857.8,40719.4,50446.5,45241.0,64078.4,44943.0,16403.0,9432.0,16371.7,10746.0,10827.0,,12955.0,-20573.0,2100.2,26807.3,,8295.5,14037.0,27428.3,-2887.4,18582.0,757.4,8062.0,6372.1,366.0,11552.8,11914.4,18804.0,20203.0,,8366.9,-4869.3,,11999.5,30884.8,7746.4,17473.5,12268.0,31105.4,11970.0,True,True,True,True,,True,False,True,False,,True,True,False,True,False,True,True,True,True,True,True,False,False,,True,True,,True,False,True,False,True,False,True
Wyoming,3085,5162.0,3221.1,5113.5,3854.0,3499.0,,4426.6,3842.0,3647.4,2662.2,,3000.8,5265.0,5293.2,2303.3,4434.0,2773.0,4186.5,3079.1,2148.0,3780.0,4931.1,5814.0,4957.0,,1768.5,5366.1,,4538.0,7534.8,4805.1,6247.2,3854.0,4108.1,3740.2,2077.0,136.1,2028.5,769.0,414.0,,1341.6,757.0,562.4,-422.8,,-84.2,2180.0,2208.2,-781.7,1349.0,-312.0,1101.5,-5.9,-937.0,695.0,1846.1,2729.0,1872.0,,-1316.5,2281.1,,1453.0,4449.8,1720.1,3162.2,769.0,1023.1,655.2,True,True,True,True,,True,True,True,True,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,,True,False,True,False,True,True,True
US,2786158,3024744.0,3311679.1,2989920.7,3107522.0,2861603.0,4052087.0,3110777.4,3152266.0,3354747.5,,2943994.0,3189351.7,3118789.0,3702559.0,3356431.7,,2324766.4,,3717167.4,2672618.0,3046281.6,3225567.1,3486178.0,3135965.0,3038628.0,3363394.5,3025767.5,2985547.0,2864570.7,,2671641.5,3302510.5,3086394.0,4267689.8,,238586.0,525521.1,203762.7,321364.0,75445.0,1265929.0,324619.4,366108.0,568589.5,,157836.0,403193.7,332631.0,916401.0,570273.7,,-461391.6,,931009.4,-113540.0,260123.6,439409.1,700020.0,349807.0,252470.0,577236.5,239609.5,199389.0,78412.7,,-114516.5,516352.5,300236.0,1481531.8,,False,True,False,True,False,False,False,False,,True,False,False,False,False,,False,,False,True,False,False,False,False,False,False,False,True,True,,True,False,False,False,
