,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Dakota,1467,1478.4,1511.9,1488.7,1481.8,1500.0,1481.0,1490.0,1484.0,1460.0,1488.9,,1479.2,1493.0,1496.4,,1489.0,1479.1,,1542.2,1575.0,1608.9,1526.0,1491.6,1481.2,1466.0,1489.8,1501.0,1474.7,1482.6,1495.4,1485.8,1494.0,,,1494.6,1503.0,1496.0,1234.5,1485.0,1448.6,,1520.8,1490.0,1492.1,1480.0,,1500.0,1516.0,11.4,44.9,21.7,14.8,33.0,14.0,23.0,17.0,-7.0,21.9,,12.2,26.0,29.4,,22.0,12.1,,75.2,108.0,141.9,59.0,24.6,14.2,-1.0,22.8,34.0,7.7,15.6,28.4,18.8,27.0,,,27.6,36.0,29.0,-232.5,18.0,-18.4,,53.8,23.0,25.1,13.0,,33.0,49.0,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,,False,False
Ohio,18015,12500.7,12745.5,12519.9,12399.3,12544.0,12443.5,12282.0,12176.0,12004.0,12396.2,,12051.2,12166.0,12614.0,,12067.2,12047.5,,12268.0,12633.0,12976.8,12589.0,13032.3,12162.6,12075.0,12350.2,12751.0,12157.8,12501.8,12547.2,12265.2,13376.5,,12575.8,12147.8,12310.0,12314.0,14349.7,12009.0,12502.0,,12519.8,12282.0,12624.0,12222.0,,12054.6,12241.0,332.7,577.5,351.9,231.3,376.0,275.5,114.0,8.0,-164.0,228.2,,-116.8,-2.0,446.0,,-100.8,-120.5,,100.0,465.0,808.8,421.0,864.3,-5.4,-93.0,182.2,583.0,-10.2,333.8,379.2,97.2,1208.5,,407.8,-20.2,142.0,146.0,2181.7,-159.0,334.0,,351.8,114.0,456.0,54.0,,-113.4,73.0,False,False,True,False,True,True,True,True,True,,True,True,False,,True,True,,True,False,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,True,True,False,True,False,,False,True,False,True,,True,True
Oklahoma,4155,4312.7,4513.7,4290.4,4318.8,4261.0,4323.0,4207.0,4098.0,3837.0,4228.8,,3986.7,4062.0,4110.3,,4087.9,4021.7,,4202.2,4419.0,3876.2,4338.0,4275.3,4001.7,4348.0,4237.3,4286.0,4422.6,4242.9,4210.5,4201.8,4299.5,,,4257.3,4070.0,4133.0,3476.6,4262.0,4271.1,,4278.0,4105.0,4397.5,4180.0,,3898.3,4130.0,157.7,358.7,135.4,163.8,106.0,168.0,52.0,-57.0,-318.0,73.8,,-168.3,-93.0,-44.7,,-67.1,-133.3,,47.2,264.0,-278.8,183.0,120.3,-153.3,193.0,82.3,131.0,267.6,87.9,55.5,46.8,144.5,,,102.3,-85.0,-22.0,-678.4,107.0,116.1,,123.0,-50.0,242.5,25.0,,-256.7,-25.0,False,True,False,True,False,True,True,False,True,,False,True,True,,True,True,,True,False,False,False,True,True,False,True,True,False,True,True,True,True,,,True,True,True,False,True,True,,True,True,False,True,,False,True
Oregon,2154,2177.0,2079.6,2243.6,2211.6,2153.0,2197.0,2186.0,2155.0,2138.0,2239.2,,2123.4,2186.0,2187.3,,2133.3,2125.5,,2131.5,2401.0,2344.0,2210.0,2375.0,2191.0,2066.0,2118.9,2285.0,,2194.9,2165.1,2153.7,2223.0,,,2119.9,2204.0,2195.0,2359.0,2145.0,2239.1,,2231.2,2176.0,2291.9,2203.0,,2137.0,2240.0,23.0,-74.4,89.6,57.6,-1.0,43.0,32.0,1.0,-16.0,85.2,,-30.6,32.0,33.3,,-20.7,-28.5,,-22.5,247.0,190.0,56.0,221.0,37.0,-88.0,-35.1,131.0,,40.9,11.1,-0.3,69.0,,,-34.1,50.0,41.0,205.0,-9.0,85.1,,77.2,22.0,137.9,49.0,,-17.0,86.0,False,False,False,True,False,False,True,True,False,,False,False,False,,True,False,,True,False,False,False,False,False,False,False,False,,False,True,True,False,,,False,False,False,False,True,False,,False,True,False,False,,True,False
Pennsylvania,23540,24717.0,25370.9,25221.0,24889.9,24455.0,24887.1,24492.0,24319.0,24181.0,24384.8,,24125.6,24047.0,24282.1,,23998.4,23899.2,,24519.9,25721.0,22703.8,24559.0,24087.2,24262.2,23928.0,24301.9,24713.0,24287.4,24820.0,24687.0,24890.9,24514.0,,24539.6,24070.1,24559.0,24450.0,24651.0,24118.0,24400.3,,24798.3,24190.0,24643.0,24491.0,,23486.6,24866.0,1177.0,1830.9,1681.0,1349.9,915.0,1347.1,952.0,779.0,641.0,844.8,,585.6,507.0,742.1,,458.4,359.2,,979.9,2181.0,-836.2,1019.0,547.2,722.2,388.0,761.9,1173.0,747.4,1280.0,1147.0,1350.9,974.0,,999.6,530.1,1019.0,910.0,1111.0,578.0,860.3,,1258.3,650.0,1103.0,951.0,,-53.4,1326.0,False,False,False,True,False,True,True,True,True,,True,True,True,,True,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,True,,False,True,True,True,,True,False
Rhode Island,2485,2356.9,2299.9,2351.3,2336.9,2345.0,2367.0,2350.0,2342.0,2394.0,2315.5,,2354.3,2301.0,2901.0,,2364.6,2392.9,,2349.4,2425.0,2301.4,2396.0,2305.1,2340.9,2308.0,2284.3,2378.0,2155.0,2389.9,2385.8,2326.1,2328.0,,,2337.6,2391.0,2336.0,2260.8,2203.0,2314.1,,2422.6,2350.0,2381.2,2304.0,,2190.5,2431.0,58.9,1.9,53.3,38.9,47.0,69.0,52.0,44.0,96.0,17.5,,56.3,3.0,603.0,,66.6,94.9,,51.4,127.0,3.4,98.0,7.1,42.9,10.0,-13.7,80.0,-143.0,91.9,87.8,28.1,30.0,,,39.6,93.0,38.0,-37.2,-95.0,16.1,,124.6,52.0,83.2,6.0,,-107.5,133.0,True,True,True,True,False,True,True,False,True,,True,True,False,,False,False,,True,False,True,False,True,True,True,True,False,False,False,False,True,True,,,True,False,True,True,False,True,,False,True,False,True,,False,False
South Carolina,8256,8456.3,8991.0,8277.1,8597.5,8562.0,8619.0,8246.0,8134.0,8054.0,8323.1,,8175.0,8666.0,8209.2,,8268.5,7847.2,,7561.6,8521.0,10410.0,8214.0,8178.2,8167.4,7700.0,8165.0,8372.0,8642.2,8130.7,8313.5,8348.3,8072.0,,8472.0,8174.1,8430.0,8328.0,8795.9,8246.0,8591.6,,8224.5,8073.0,8253.6,8226.0,,7544.6,8520.0,200.3,735.0,21.1,341.5,306.0,363.0,-10.0,-122.0,-202.0,67.1,,-81.0,410.0,-46.8,,12.5,-408.8,,-694.4,265.0,2154.0,-42.0,-77.8,-88.6,-556.0,-91.0,116.0,386.2,-125.3,57.5,92.3,-184.0,,216.0,-81.9,174.0,72.0,539.9,-10.0,335.6,,-31.5,-183.0,-2.4,-30.0,,-711.4,264.0,False,True,False,False,False,True,True,False,True,,True,False,True,,True,False,,False,False,False,True,True,True,False,True,True,False,True,True,True,True,,False,True,True,True,False,True,False,,True,True,True,True,,False,False
South Dakota,1859,1986.6,1997.6,1877.1,2012.6,1962.0,2012.0,1901.0,1887.0,1809.0,1884.3,,1764.5,1895.0,1888.6,,1910.2,1859.9,,1807.6,1906.0,2033.0,1929.0,1879.5,1865.9,1845.0,1881.2,1898.0,1906.3,1983.6,1905.3,1970.4,1987.0,,,1887.2,1864.0,1888.0,1722.7,1904.0,1799.1,,2020.3,1895.0,1996.1,1893.0,,1906.4,1914.0,127.6,138.6,18.1,153.6,103.0,153.0,42.0,28.0,-50.0,25.3,,-94.5,36.0,29.6,,51.2,0.9,,-51.4,47.0,174.0,70.0,20.5,6.9,-14.0,22.2,39.0,47.3,124.6,46.3,111.4,128.0,,,28.2,5.0,29.0,-136.3,45.0,-59.9,,161.3,36.0,137.1,34.0,,47.4,55.0,False,True,False,True,False,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,,True,True,True,False,True,True,,False,True,False,True,,True,True
Tennessee,11115,11910.0,12036.4,11204.5,11909.6,11382.0,11838.7,11027.0,10735.0,10170.0,10779.5,,10475.3,10644.0,11339.4,,10692.2,10520.7,,10355.6,11809.0,9706.0,11216.0,10507.8,10513.1,10949.0,11206.4,10928.0,11914.0,11129.5,11182.0,11222.4,11193.0,,11109.0,11024.9,10652.0,11051.0,10051.6,10845.0,12116.8,,11172.3,10948.0,11668.8,11029.0,,10311.6,10932.0,795.0,921.4,89.5,794.6,267.0,723.7,-88.0,-380.0,-945.0,-335.5,,-639.7,-471.0,224.4,,-422.8,-594.3,,-759.4,694.0,-1409.0,101.0,-607.2,-601.9,-166.0,91.4,-187.0,799.0,14.5,67.0,107.4,78.0,,-6.0,-90.1,-463.0,-64.0,-1063.4,-270.0,1001.8,,57.3,-167.0,553.8,-86.0,,-803.4,-183.0,False,True,True,True,True,True,True,False,True,,True,True,True,,True,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,False,True,False,,True,True,True,True,,False,True
Texas,42041,43254.0,46244.7,43619.1,43550.6,43253.0,43521.0,42841.0,42601.0,43015.0,42892.0,,42507.0,42841.0,43134.5,,42025.8,42247.5,,42691.8,44689.0,44111.1,44390.0,42184.9,43006.2,42580.0,43421.0,43857.0,45644.0,42905.1,43806.7,43113.1,42581.5,,45267.3,42514.9,43481.0,43051.0,40470.8,41787.0,42054.5,,42944.5,42124.0,42596.0,43110.0,,39989.3,43212.0,1213.0,4203.7,1578.1,1509.6,1212.0,1480.0,800.0,560.0,974.0,851.0,,466.0,800.0,1093.5,,-15.2,206.5,,650.8,2648.0,2070.1,2349.0,143.9,965.2,539.0,1380.0,1816.0,3603.0,864.1,1765.7,1072.1,540.5,,3226.3,473.9,1440.0,1010.0,-1570.2,-254.0,13.5,,903.5,83.0,555.0,1069.0,,-2051.7,1171.0,False,False,False,True,False,True,True,True,True,,True,True,True,,True,True,,True,False,False,False,True,True,True,False,False,False,True,False,True,True,,False,True,False,True,False,True,True,,True,True,True,True,,False,True
Utah,1842,1865.0,1923.1,1884.0,1902.1,1926.0,1906.0,1878.0,1846.0,1787.0,1935.3,,1804.7,2001.0,1833.8,,1833.0,1849.3,,1944.3,1962.0,2129.4,1941.0,1460.3,1857.9,1808.0,1858.2,1945.0,,1906.8,1877.6,1836.5,2025.0,,,1861.0,1862.0,1853.0,1555.6,1800.0,1913.2,,1943.7,1832.0,1931.2,1840.0,,1262.9,1885.0,23.0,81.1,42.0,60.1,84.0,64.0,36.0,4.0,-55.0,93.3,,-37.3,159.0,-8.2,,-9.0,7.3,,102.3,120.0,287.4,99.0,-381.7,15.9,-34.0,16.2,103.0,,64.8,35.6,-5.5,183.0,,,19.0,20.0,11.0,-286.4,-42.0,71.2,,101.7,-10.0,89.2,-2.0,,-579.1,43.0,False,False,False,False,False,False,True,False,False,,False,False,True,,True,True,,False,False,False,False,False,True,False,True,False,,False,False,True,False,,,True,True,True,False,False,False,,False,True,False,True,,False,False
Vermont,196,185.4,186.6,186.7,179.5,190.0,182.0,195.0,201.0,182.0,231.8,,205.8,229.0,182.3,,209.1,201.3,,222.7,229.0,257.0,237.0,258.8,213.6,181.0,184.1,248.0,178.9,184.1,213.9,184.7,173.0,,,180.6,218.0,195.0,229.4,189.0,179.9,,222.7,189.0,187.5,185.0,,187.9,211.0,-10.6,-9.4,-9.3,-16.5,-6.0,-14.0,-1.0,5.0,-14.0,35.8,,9.8,33.0,-13.7,,13.1,5.3,,26.7,33.0,61.0,41.0,62.8,17.6,-15.0,-11.9,52.0,-17.1,-11.9,17.9,-11.3,-23.0,,,-15.4,22.0,-1.0,33.4,-7.0,-16.1,,26.7,-7.0,-8.5,-11.0,,-8.1,15.0,True,True,False,True,False,True,True,False,False,,True,False,False,,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,True,False,True,False,,False,True,True,False,,True,False
Virginia,7197,7566.9,7863.2,7543.6,7524.3,7686.0,7559.4,7535.0,7451.0,7285.0,7693.6,,7357.2,7378.0,7653.4,,7371.9,7399.7,,7600.5,7741.0,8343.0,7823.0,7952.5,7474.9,7531.0,7523.0,7624.0,7701.7,7551.3,7642.8,7468.7,7849.0,,7307.0,7545.8,7568.0,7850.0,8028.0,7118.0,7454.2,,7563.2,7416.0,7870.3,7607.0,,6912.3,7635.0,369.9,666.2,346.6,327.3,489.0,362.4,338.0,254.0,88.0,496.6,,160.2,181.0,456.4,,174.9,202.7,,403.5,544.0,1146.0,626.0,755.5,277.9,334.0,326.0,427.0,504.7,354.3,445.8,271.7,652.0,,110.0,348.8,371.0,653.0,831.0,-79.0,257.2,,366.2,219.0,673.3,410.0,,-284.7,438.0,False,True,True,False,True,True,True,True,False,,True,True,False,,True,True,,False,False,False,False,False,True,True,True,False,False,True,False,True,False,,True,True,False,False,False,True,True,,True,True,False,False,,True,False
Washington,4822,4773.6,4717.4,4919.9,4789.5,4723.0,4798.0,4784.0,4749.0,4833.0,4865.2,,4884.4,4734.0,4617.9,,4655.6,4722.1,,4726.3,5016.0,4615.4,4900.0,5006.5,4753.5,4689.0,4647.6,4917.0,4717.1,4791.8,4829.8,4779.4,5141.0,,4718.1,4562.1,4704.0,4821.0,4947.9,4684.0,4762.2,,4789.6,4830.0,4889.2,4762.0,,4580.6,4870.0,-48.4,-104.6,97.9,-32.5,-99.0,-24.0,-38.0,-73.0,11.0,43.2,,62.4,-88.0,-204.1,,-166.4,-99.9,,-95.7,194.0,-206.6,78.0,184.5,-68.5,-133.0,-174.4,95.0,-104.9,-30.2,7.8,-42.6,319.0,,-103.9,-259.9,-118.0,-1.0,125.9,-138.0,-59.8,,-32.4,8.0,67.2,-60.0,,-241.4,48.0,False,False,True,False,True,True,False,True,True,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,True,False,,False,False,False,True,False,False,False,,True,True,False,False,,False,True
West Virginia,2254,2392.6,2328.0,2420.6,2415.2,2406.0,2444.0,2346.0,2320.0,2182.0,2383.7,,2374.6,2376.0,2296.6,,2322.3,2269.9,,2226.4,2474.0,2262.5,2383.0,2474.5,2337.7,2208.0,2280.0,2366.0,2355.2,2357.0,2367.8,2344.0,2594.0,,,2284.5,2383.0,2308.0,2711.2,2253.0,2520.5,,2390.9,2285.0,2489.4,2314.0,,2257.9,2346.0,138.6,74.0,166.6,161.2,152.0,190.0,92.0,66.0,-72.0,129.7,,120.6,122.0,42.6,,68.3,15.9,,-27.6,220.0,8.5,129.0,220.5,83.7,-46.0,26.0,112.0,101.2,103.0,113.8,90.0,340.0,,,30.5,129.0,54.0,457.2,-1.0,266.5,,136.9,31.0,235.4,60.0,,3.9,92.0,True,False,False,False,False,True,True,True,True,,True,True,True,,True,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,,True,True,True,False,True,False,,True,True,False,True,,True,True
Wisconsin,6871,7131.1,7144.5,7131.0,7138.7,7116.0,7167.8,7003.0,6924.0,6836.0,7050.1,,6715.3,6941.0,6910.1,,6858.0,6982.8,,6964.9,7323.0,7945.3,7171.0,7136.7,6918.9,6999.0,6994.7,7140.0,6966.8,7043.6,7060.1,6974.7,7288.5,,7269.6,7006.8,6913.0,7025.0,5702.9,6829.0,7048.8,,7068.4,6881.0,6987.0,6997.0,,6944.1,7078.0,260.1,273.5,260.0,267.7,245.0,296.8,132.0,53.0,-35.0,179.1,,-155.7,70.0,39.1,,-13.0,111.8,,93.9,452.0,1074.3,300.0,265.7,47.9,128.0,123.7,269.0,95.8,172.6,189.1,103.7,417.5,,398.6,135.8,42.0,154.0,-1168.1,-42.0,177.8,,197.4,10.0,116.0,126.0,,73.1,207.0,False,True,False,True,False,True,True,True,True,,True,True,True,,True,True,,True,False,False,False,False,True,True,True,False,True,True,True,True,False,,False,True,True,True,False,True,True,,True,True,True,True,,True,True
Wyoming,662,667.4,685.1,694.1,678.8,700.0,671.0,681.0,668.0,635.0,666.2,,721.0,697.0,686.3,,689.3,639.3,,790.2,696.0,690.7,696.0,666.2,651.5,704.0,642.5,665.0,,667.0,688.4,638.9,702.0,,,634.8,655.0,684.0,681.1,637.0,621.8,,703.9,660.0,695.0,670.0,,656.4,696.0,5.4,23.1,32.1,16.8,38.0,9.0,19.0,6.0,-27.0,4.2,,59.0,35.0,24.3,,27.3,-22.7,,128.2,34.0,28.7,34.0,4.2,-10.5,42.0,-19.5,3.0,,5.0,26.4,-23.1,40.0,,,-27.2,-7.0,22.0,19.1,-25.0,-40.2,,41.9,-2.0,33.0,8.0,,-5.6,34.0,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,False,False,False,True,False,False,False,True,,True,False,False,False,,,False,False,False,False,False,False,,False,True,False,False,,False,False
US,499023,504389.7,509461.3,502321.6,506053.1,,505707.4,496187.0,492857.0,485107.0,495581.0,495159.0,484511.0,494655.0,502012.7,502786.5,485922.9,,515880.0,489290.5,508724.0,495938.3,504618.0,489725.4,488881.7,489135.5,499044.9,503727.0,503262.3,498284.4,499841.8,496447.7,508898.5,495877.2,502978.9,494888.4,492082.0,488948.0,490086.4,485324.0,486396.2,509606.0,499762.5,491124.0,502628.7,493414.0,495419.3,474150.4,496187.0,12967.7,18039.3,10899.6,14631.1,,14285.4,4765.0,1435.0,-6315.0,4159.0,3737.0,-6911.0,3233.0,10590.7,11364.5,-5499.1,,24458.0,-2131.5,17302.0,4516.3,13196.0,-1696.6,-2540.3,-2286.5,7622.9,12305.0,11840.3,6862.4,8419.8,5025.7,17476.5,4455.2,11556.9,3466.4,660.0,-2474.0,-1335.6,-6098.0,-5025.8,18184.0,8340.5,-298.0,11206.7,1992.0,3997.3,-17271.6,4765.0,False,True,False,,False,True,True,True,True,True,True,True,True,True,True,,False,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True
